Year,ServBasico,Province,County,Municipality,Unidad,GeoCode,Value
2014,BSRVSAN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,99.8
2015,BSRVSAN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,99.9
2016,BSRVSAN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,99.9
2017,BSRVSAN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,99.9
2018,BSRVSAN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,99.9
2019,BSRVSAN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,99.9
2020,BSRVSAN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,99.9
2021,BSRVSAN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,99.9
2022,BSRVSAN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,100.0
2010,BSRVH2O,,,Amurrio,Percentage,Amurrio,99.9
2011,BSRVH2O,,,Amurrio,Percentage,Amurrio,100.0
2013,BSRVH2O,,,Amurrio,Percentage,Amurrio,100.0
2014,BSRVH2O,,,Amurrio,Percentage,Amurrio,100.0
2015,BSRVH2O,,,Amurrio,Percentage,Amurrio,100.0
2016,BSRVH2O,,,Amurrio,Percentage,Amurrio,99.9
2017,BSRVH2O,,,Amurrio,Percentage,Amurrio,99.9
2018,BSRVH2O,,,Amurrio,Percentage,Amurrio,99.9
2019,BSRVH2O,,,Amurrio,Percentage,Amurrio,99.9
2020,BSRVH2O,,,Amurrio,Percentage,Amurrio,100.0
2021,BSRVH2O,,,Amurrio,Percentage,Amurrio,99.9
2022,BSRVH2O,,,Amurrio,Percentage,Amurrio,99.9
2010,BSRVSAN,,,Amurrio,Percentage,Amurrio,99.6
2011,BSRVSAN,,,Amurrio,Percentage,Amurrio,99.8
2013,BSRVSAN,,,Amurrio,Percentage,Amurrio,99.7
2014,BSRVSAN,,,Amurrio,Percentage,Amurrio,99.7
2015,BSRVSAN,,,Amurrio,Percentage,Amurrio,99.7
2016,BSRVSAN,,,Amurrio,Percentage,Amurrio,99.8
2017,BSRVSAN,,,Amurrio,Percentage,Amurrio,99.7
2018,BSRVSAN,,,Amurrio,Percentage,Amurrio,99.7
2019,BSRVSAN,,,Amurrio,Percentage,Amurrio,99.7
2020,BSRVSAN,,,Amurrio,Percentage,Amurrio,99.7
2021,BSRVSAN,,,Amurrio,Percentage,Amurrio,99.8
2022,BSRVSAN,,,Amurrio,Percentage,Amurrio,99.8
2010,BSRVH2O,,,Aramaio,Percentage,Aramaio,100.0
2011,BSRVH2O,,,Aramaio,Percentage,Aramaio,100.0
2013,BSRVH2O,,,Aramaio,Percentage,Aramaio,100.0
2014,BSRVH2O,,,Aramaio,Percentage,Aramaio,100.0
2015,BSRVH2O,,,Aramaio,Percentage,Aramaio,100.0
2016,BSRVH2O,,,Aramaio,Percentage,Aramaio,100.0
2017,BSRVH2O,,,Aramaio,Percentage,Aramaio,100.0
2018,BSRVH2O,,,Aramaio,Percentage,Aramaio,100.0
2019,BSRVH2O,,,Aramaio,Percentage,Aramaio,100.0
2020,BSRVH2O,,,Aramaio,Percentage,Aramaio,100.0
2021,BSRVH2O,,,Aramaio,Percentage,Aramaio,100.0
2022,BSRVH2O,,,Aramaio,Percentage,Aramaio,100.0
2010,BSRVSAN,,,Aramaio,Percentage,Aramaio,100.0
2011,BSRVSAN,,,Aramaio,Percentage,Aramaio,100.0
2013,BSRVSAN,,,Aramaio,Percentage,Aramaio,100.0
2014,BSRVSAN,,,Aramaio,Percentage,Aramaio,100.0
2015,BSRVSAN,,,Aramaio,Percentage,Aramaio,100.0
2016,BSRVSAN,,,Aramaio,Percentage,Aramaio,100.0
2017,BSRVSAN,,,Aramaio,Percentage,Aramaio,100.0
2018,BSRVSAN,,,Aramaio,Percentage,Aramaio,100.0
2019,BSRVSAN,,,Aramaio,Percentage,Aramaio,100.0
2020,BSRVSAN,,,Aramaio,Percentage,Aramaio,100.0
2021,BSRVSAN,,,Aramaio,Percentage,Aramaio,100.0
2022,BSRVSAN,,,Aramaio,Percentage,Aramaio,100.0
2010,BSRVH2O,,,Artziniega,Percentage,Artziniega,99.0
2011,BSRVH2O,,,Artziniega,Percentage,Artziniega,99.0
2013,BSRVH2O,,,Artziniega,Percentage,Artziniega,99.0
2014,BSRVH2O,,,Artziniega,Percentage,Artziniega,98.9
2015,BSRVH2O,,,Artziniega,Percentage,Artziniega,98.9
2016,BSRVH2O,,,Artziniega,Percentage,Artziniega,99.0
2017,BSRVH2O,,,Artziniega,Percentage,Artziniega,99.0
2018,BSRVH2O,,,Artziniega,Percentage,Artziniega,99.0
2019,BSRVH2O,,,Artziniega,Percentage,Artziniega,99.3
2020,BSRVH2O,,,Artziniega,Percentage,Artziniega,99.3
2021,BSRVH2O,,,Artziniega,Percentage,Artziniega,99.2
2022,BSRVH2O,,,Artziniega,Percentage,Artziniega,99.2
2010,BSRVSAN,,,Artziniega,Percentage,Artziniega,99.7
2011,BSRVSAN,,,Artziniega,Percentage,Artziniega,99.7
2013,BSRVSAN,,,Artziniega,Percentage,Artziniega,99.7
2014,BSRVSAN,,,Artziniega,Percentage,Artziniega,99.9
2015,BSRVSAN,,,Artziniega,Percentage,Artziniega,99.9
2016,BSRVSAN,,,Artziniega,Percentage,Artziniega,99.9
2017,BSRVSAN,,,Artziniega,Percentage,Artziniega,100.0
2018,BSRVSAN,,,Artziniega,Percentage,Artziniega,99.9
2019,BSRVSAN,,,Artziniega,Percentage,Artziniega,99.9
2020,BSRVSAN,,,Artziniega,Percentage,Artziniega,99.9
2021,BSRVSAN,,,Artziniega,Percentage,Artziniega,99.7
2022,BSRVSAN,,,Artziniega,Percentage,Artziniega,99.7
2010,BSRVH2O,,,Armiñón,Percentage,Armiñón,98.9
2011,BSRVH2O,,,Armiñón,Percentage,Armiñón,98.9
2013,BSRVH2O,,,Armiñón,Percentage,Armiñón,100.0
2014,BSRVH2O,,,Armiñón,Percentage,Armiñón,100.0
2015,BSRVH2O,,,Armiñón,Percentage,Armiñón,100.0
2016,BSRVH2O,,,Armiñón,Percentage,Armiñón,100.0
2017,BSRVH2O,,,Armiñón,Percentage,Armiñón,100.0
2018,BSRVH2O,,,Armiñón,Percentage,Armiñón,100.0
2019,BSRVH2O,,,Armiñón,Percentage,Armiñón,98.9
2020,BSRVH2O,,,Armiñón,Percentage,Armiñón,98.9
2021,BSRVH2O,,,Armiñón,Percentage,Armiñón,100.0
2022,BSRVH2O,,,Armiñón,Percentage,Armiñón,100.0
2010,BSRVSAN,,,Armiñón,Percentage,Armiñón,98.9
2011,BSRVSAN,,,Armiñón,Percentage,Armiñón,96.8
2013,BSRVSAN,,,Armiñón,Percentage,Armiñón,98.0
2014,BSRVSAN,,,Armiñón,Percentage,Armiñón,98.0
2015,BSRVSAN,,,Armiñón,Percentage,Armiñón,97.9
2016,BSRVSAN,,,Armiñón,Percentage,Armiñón,97.9
2017,BSRVSAN,,,Armiñón,Percentage,Armiñón,97.9
2018,BSRVSAN,,,Armiñón,Percentage,Armiñón,97.8
2019,BSRVSAN,,,Armiñón,Percentage,Armiñón,97.8
2020,BSRVSAN,,,Armiñón,Percentage,Armiñón,97.9
2021,BSRVSAN,,,Armiñón,Percentage,Armiñón,97.9
2022,BSRVSAN,,,Armiñón,Percentage,Armiñón,97.9
2010,BSRVH2O,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,100.0
2011,BSRVH2O,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,100.0
2013,BSRVH2O,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,100.0
2014,BSRVH2O,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,100.0
2015,BSRVH2O,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,100.0
2016,BSRVH2O,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,100.0
2017,BSRVH2O,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,100.0
2018,BSRVH2O,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,100.0
2019,BSRVH2O,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,100.0
2020,BSRVH2O,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,100.0
2021,BSRVH2O,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,100.0
2022,BSRVH2O,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,100.0
2010,BSRVSAN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,98.2
2011,BSRVSAN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,97.4
2013,BSRVSAN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,98.6
2014,BSRVSAN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,98.6
2015,BSRVSAN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,98.6
2016,BSRVSAN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,98.9
2017,BSRVSAN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,99.4
2018,BSRVSAN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,99.5
2019,BSRVSAN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,99.5
2020,BSRVSAN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,99.2
2021,BSRVSAN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,99.2
2022,BSRVSAN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,99.2
2010,BSRVH2O,,,Asparrena,Percentage,Asparrena,100.0
2011,BSRVH2O,,,Asparrena,Percentage,Asparrena,100.0
2013,BSRVH2O,,,Asparrena,Percentage,Asparrena,100.0
2014,BSRVH2O,,,Asparrena,Percentage,Asparrena,100.0
2015,BSRVH2O,,,Asparrena,Percentage,Asparrena,100.0
2016,BSRVH2O,,,Asparrena,Percentage,Asparrena,100.0
2017,BSRVH2O,,,Asparrena,Percentage,Asparrena,100.0
2018,BSRVH2O,,,Asparrena,Percentage,Asparrena,100.0
2019,BSRVH2O,,,Asparrena,Percentage,Asparrena,100.0
2020,BSRVH2O,,,Asparrena,Percentage,Asparrena,100.0
2021,BSRVH2O,,,Asparrena,Percentage,Asparrena,100.0
2022,BSRVH2O,,,Asparrena,Percentage,Asparrena,100.0
2010,BSRVSAN,,,Asparrena,Percentage,Asparrena,98.6
2011,BSRVSAN,,,Asparrena,Percentage,Asparrena,98.6
2013,BSRVSAN,,,Asparrena,Percentage,Asparrena,98.6
2014,BSRVSAN,,,Asparrena,Percentage,Asparrena,98.6
2015,BSRVSAN,,,Asparrena,Percentage,Asparrena,98.6
2016,BSRVSAN,,,Asparrena,Percentage,Asparrena,98.6
2017,BSRVSAN,,,Asparrena,Percentage,Asparrena,98.6
2018,BSRVSAN,,,Asparrena,Percentage,Asparrena,98.6
2019,BSRVSAN,,,Asparrena,Percentage,Asparrena,98.6
2020,BSRVSAN,,,Asparrena,Percentage,Asparrena,98.8
2021,BSRVSAN,,,Asparrena,Percentage,Asparrena,98.8
2022,BSRVSAN,,,Asparrena,Percentage,Asparrena,98.8
2010,BSRVH2O,,ES0101,,Percentage,ES0101,99.3
2011,BSRVH2O,,ES0101,,Percentage,ES0101,99.5
2013,BSRVH2O,,ES0101,,Percentage,ES0101,99.6
2014,BSRVH2O,,ES0101,,Percentage,ES0101,99.6
2015,BSRVH2O,,ES0101,,Percentage,ES0101,99.6
2016,BSRVH2O,,ES0101,,Percentage,ES0101,99.6
2017,BSRVH2O,,ES0101,,Percentage,ES0101,99.5
2018,BSRVH2O,,ES0101,,Percentage,ES0101,99.5
2019,BSRVH2O,,ES0101,,Percentage,ES0101,99.5
2020,BSRVH2O,,ES0101,,Percentage,ES0101,99.5
2021,BSRVH2O,,ES0101,,Percentage,ES0101,99.6
2022,BSRVH2O,,ES0101,,Percentage,ES0101,99.6
2010,BSRVSAN,,ES0101,,Percentage,ES0101,96.6
2011,BSRVSAN,,ES0101,,Percentage,ES0101,97.4
2013,BSRVSAN,,ES0101,,Percentage,ES0101,97.5
2014,BSRVSAN,,ES0101,,Percentage,ES0101,97.3
2015,BSRVSAN,,ES0101,,Percentage,ES0101,97.3
2016,BSRVSAN,,ES0101,,Percentage,ES0101,97.4
2017,BSRVSAN,,ES0101,,Percentage,ES0101,97.5
2018,BSRVSAN,,ES0101,,Percentage,ES0101,97.5
2019,BSRVSAN,,ES0101,,Percentage,ES0101,97.6
2020,BSRVSAN,,ES0101,,Percentage,ES0101,97.6
2021,BSRVSAN,,ES0101,,Percentage,ES0101,97.6
2022,BSRVSAN,,ES0101,,Percentage,ES0101,97.7
2010,BSRVH2O,,,Ayala/Aiara,Percentage,Ayala/Aiara,99.4
2011,BSRVH2O,,,Ayala/Aiara,Percentage,Ayala/Aiara,99.4
2013,BSRVH2O,,,Ayala/Aiara,Percentage,Ayala/Aiara,99.5
2014,BSRVH2O,,,Ayala/Aiara,Percentage,Ayala/Aiara,99.5
2015,BSRVH2O,,,Ayala/Aiara,Percentage,Ayala/Aiara,99.5
2016,BSRVH2O,,,Ayala/Aiara,Percentage,Ayala/Aiara,99.6
2017,BSRVH2O,,,Ayala/Aiara,Percentage,Ayala/Aiara,99.6
2018,BSRVH2O,,,Ayala/Aiara,Percentage,Ayala/Aiara,99.6
2019,BSRVH2O,,,Ayala/Aiara,Percentage,Ayala/Aiara,99.6
2020,BSRVH2O,,,Ayala/Aiara,Percentage,Ayala/Aiara,99.6
2021,BSRVH2O,,,Ayala/Aiara,Percentage,Ayala/Aiara,99.6
2022,BSRVH2O,,,Ayala/Aiara,Percentage,Ayala/Aiara,99.6
2010,BSRVSAN,,,Ayala/Aiara,Percentage,Ayala/Aiara,99.0
2011,BSRVSAN,,,Ayala/Aiara,Percentage,Ayala/Aiara,98.9
2013,BSRVSAN,,,Ayala/Aiara,Percentage,Ayala/Aiara,99.2
2014,BSRVSAN,,,Ayala/Aiara,Percentage,Ayala/Aiara,99.2
2015,BSRVSAN,,,Ayala/Aiara,Percentage,Ayala/Aiara,99.2
2016,BSRVSAN,,,Ayala/Aiara,Percentage,Ayala/Aiara,99.2
2017,BSRVSAN,,,Ayala/Aiara,Percentage,Ayala/Aiara,99.3
2018,BSRVSAN,,,Ayala/Aiara,Percentage,Ayala/Aiara,99.3
2019,BSRVSAN,,,Ayala/Aiara,Percentage,Ayala/Aiara,99.3
2020,BSRVSAN,,,Ayala/Aiara,Percentage,Ayala/Aiara,99.3
2021,BSRVSAN,,,Ayala/Aiara,Percentage,Ayala/Aiara,99.4
2022,BSRVSAN,,,Ayala/Aiara,Percentage,Ayala/Aiara,99.4
2010,BSRVH2O,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,100.0
2011,BSRVH2O,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,100.0
2013,BSRVH2O,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,100.0
2014,BSRVH2O,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,100.0
2015,BSRVH2O,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,100.0
2016,BSRVH2O,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,100.0
2017,BSRVH2O,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,100.0
2018,BSRVH2O,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,100.0
2019,BSRVH2O,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,100.0
2020,BSRVH2O,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,100.0
2021,BSRVH2O,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,100.0
2022,BSRVH2O,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,100.0
2010,BSRVSAN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,100.0
2011,BSRVSAN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,100.0
2013,BSRVSAN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,100.0
2014,BSRVSAN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,100.0
2015,BSRVSAN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,100.0
2016,BSRVSAN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,100.0
2017,BSRVSAN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,100.0
2018,BSRVSAN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,100.0
2019,BSRVSAN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,100.0
2020,BSRVSAN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,100.0
2021,BSRVSAN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,100.0
2022,BSRVSAN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,100.0
2010,BSRVH2O,,,Barrundia,Percentage,Barrundia,100.0
2011,BSRVH2O,,,Barrundia,Percentage,Barrundia,100.0
2013,BSRVH2O,,,Barrundia,Percentage,Barrundia,100.0
2014,BSRVH2O,,,Barrundia,Percentage,Barrundia,100.0
2015,BSRVH2O,,,Barrundia,Percentage,Barrundia,100.0
2016,BSRVH2O,,,Barrundia,Percentage,Barrundia,100.0
2017,BSRVH2O,,,Barrundia,Percentage,Barrundia,100.0
2018,BSRVH2O,,,Barrundia,Percentage,Barrundia,100.0
2019,BSRVH2O,,,Barrundia,Percentage,Barrundia,100.0
2020,BSRVH2O,,,Barrundia,Percentage,Barrundia,100.0
2021,BSRVH2O,,,Barrundia,Percentage,Barrundia,100.0
2022,BSRVH2O,,,Barrundia,Percentage,Barrundia,100.0
2010,BSRVSAN,,,Barrundia,Percentage,Barrundia,97.2
2011,BSRVSAN,,,Barrundia,Percentage,Barrundia,97.5
2013,BSRVSAN,,,Barrundia,Percentage,Barrundia,97.5
2014,BSRVSAN,,,Barrundia,Percentage,Barrundia,97.5
2015,BSRVSAN,,,Barrundia,Percentage,Barrundia,97.5
2016,BSRVSAN,,,Barrundia,Percentage,Barrundia,97.5
2017,BSRVSAN,,,Barrundia,Percentage,Barrundia,98.0
2018,BSRVSAN,,,Barrundia,Percentage,Barrundia,98.0
2019,BSRVSAN,,,Barrundia,Percentage,Barrundia,98.0
2020,BSRVSAN,,,Barrundia,Percentage,Barrundia,97.7
2021,BSRVSAN,,,Barrundia,Percentage,Barrundia,97.8
2022,BSRVSAN,,,Barrundia,Percentage,Barrundia,97.8
2010,BSRVH2O,,,Berantevilla,Percentage,Berantevilla,100.0
2011,BSRVH2O,,,Berantevilla,Percentage,Berantevilla,100.0
2013,BSRVH2O,,,Berantevilla,Percentage,Berantevilla,100.0
2014,BSRVH2O,,,Berantevilla,Percentage,Berantevilla,100.0
2015,BSRVH2O,,,Berantevilla,Percentage,Berantevilla,100.0
2016,BSRVH2O,,,Berantevilla,Percentage,Berantevilla,100.0
2017,BSRVH2O,,,Berantevilla,Percentage,Berantevilla,100.0
2018,BSRVH2O,,,Berantevilla,Percentage,Berantevilla,100.0
2019,BSRVH2O,,,Berantevilla,Percentage,Berantevilla,100.0
2020,BSRVH2O,,,Berantevilla,Percentage,Berantevilla,100.0
2021,BSRVH2O,,,Berantevilla,Percentage,Berantevilla,100.0
2022,BSRVH2O,,,Berantevilla,Percentage,Berantevilla,100.0
2010,BSRVSAN,,,Berantevilla,Percentage,Berantevilla,97.3
2011,BSRVSAN,,,Berantevilla,Percentage,Berantevilla,98.4
2013,BSRVSAN,,,Berantevilla,Percentage,Berantevilla,98.4
2014,BSRVSAN,,,Berantevilla,Percentage,Berantevilla,97.9
2015,BSRVSAN,,,Berantevilla,Percentage,Berantevilla,98.4
2016,BSRVSAN,,,Berantevilla,Percentage,Berantevilla,98.9
2017,BSRVSAN,,,Berantevilla,Percentage,Berantevilla,98.9
2018,BSRVSAN,,,Berantevilla,Percentage,Berantevilla,99.4
2019,BSRVSAN,,,Berantevilla,Percentage,Berantevilla,99.5
2020,BSRVSAN,,,Berantevilla,Percentage,Berantevilla,98.9
2021,BSRVSAN,,,Berantevilla,Percentage,Berantevilla,99.0
2022,BSRVSAN,,,Berantevilla,Percentage,Berantevilla,99.0
2010,BSRVH2O,,,Bernedo,Percentage,Bernedo,100.0
2011,BSRVH2O,,,Bernedo,Percentage,Bernedo,100.0
2013,BSRVH2O,,,Bernedo,Percentage,Bernedo,100.0
2014,BSRVH2O,,,Bernedo,Percentage,Bernedo,100.0
2015,BSRVH2O,,,Bernedo,Percentage,Bernedo,100.0
2016,BSRVH2O,,,Bernedo,Percentage,Bernedo,100.0
2017,BSRVH2O,,,Bernedo,Percentage,Bernedo,100.0
2018,BSRVH2O,,,Bernedo,Percentage,Bernedo,100.0
2019,BSRVH2O,,,Bernedo,Percentage,Bernedo,100.0
2020,BSRVH2O,,,Bernedo,Percentage,Bernedo,100.0
2021,BSRVH2O,,,Bernedo,Percentage,Bernedo,100.0
2022,BSRVH2O,,,Bernedo,Percentage,Bernedo,100.0
2010,BSRVSAN,,,Bernedo,Percentage,Bernedo,96.2
2011,BSRVSAN,,,Bernedo,Percentage,Bernedo,96.1
2013,BSRVSAN,,,Bernedo,Percentage,Bernedo,95.9
2014,BSRVSAN,,,Bernedo,Percentage,Bernedo,95.9
2015,BSRVSAN,,,Bernedo,Percentage,Bernedo,96.2
2016,BSRVSAN,,,Bernedo,Percentage,Bernedo,96.5
2017,BSRVSAN,,,Bernedo,Percentage,Bernedo,96.4
2018,BSRVSAN,,,Bernedo,Percentage,Bernedo,96.5
2019,BSRVSAN,,,Bernedo,Percentage,Bernedo,96.4
2020,BSRVSAN,,,Bernedo,Percentage,Bernedo,97.2
2021,BSRVSAN,,,Bernedo,Percentage,Bernedo,97.0
2022,BSRVSAN,,,Bernedo,Percentage,Bernedo,96.7
2010,BSRVH2O,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,100.0
2011,BSRVH2O,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,100.0
2013,BSRVH2O,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,100.0
2014,BSRVH2O,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,100.0
2015,BSRVH2O,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,100.0
2016,BSRVH2O,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,100.0
2017,BSRVH2O,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,100.0
2018,BSRVH2O,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,100.0
2019,BSRVH2O,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,100.0
2020,BSRVH2O,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,100.0
2021,BSRVH2O,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,100.0
2022,BSRVH2O,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,100.0
2010,BSRVSAN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,99.0
2011,BSRVSAN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,99.0
2013,BSRVSAN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,99.0
2014,BSRVSAN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,98.8
2015,BSRVSAN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,98.8
2016,BSRVSAN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,98.8
2017,BSRVSAN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,99.0
2018,BSRVSAN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,98.8
2019,BSRVSAN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,98.8
2020,BSRVSAN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,99.2
2021,BSRVSAN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,99.2
2022,BSRVSAN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,99.4
