Year,Territorio,Units,Value
2021,Arratzua-Ubarrundia,Por 10.000,0.0
2020,Ibarrangelu,Por 10.000,62.9
2021,Idiazabal,Por 10.000,26.2
2019,Gernika-Bermeo,Por 10.000,39.3
2021,Yécora/Iekora,Por 10.000,86.2
2020,Larrabetzu,Por 10.000,28.1
2019,Irun,Por 10.000,49.3
2021,Lemoa,Por 10.000,28.3
2019,Laguardia,Por 10.000,27.7
2019,Lekeitio,Por 10.000,16.4
2020,Larraul,Por 10.000,0.0
2021,Markina-Ondarroa,Por 10.000,19.5
2019,Zambrana,Por 10.000,47.8
2019,Maruri-Jatabe,Por 10.000,0.0
2019,Goierri,Por 10.000,18.5
2020,Meñaka,Por 10.000,0.0
2021,Bernedo,Por 10.000,0.0
2021,Muxika,Por 10.000,28.6
2020,Legorreta,Por 10.000,27.6
2019,Mungia,Por 10.000,26.9
2019,Lantarón,Por 10.000,48.4
2021,Muskiz,Por 10.000,32.1
2021,Arrasate/Mondragón,Por 10.000,27.1
2019,Ondarroa,Por 10.000,18.8
2021,Leza,Por 10.000,0.0
2020,Sukarrieta,Por 10.000,0.0
2019,Mutiloa,Por 10.000,0.0
2021,Errigoiti,Por 10.000,45.2
2020,Aizarnazabal,Por 10.000,0.0
2019,Lezama,Por 10.000,24.4
2021,Tolosaldea,Por 10.000,27.5
2020,Sestao,Por 10.000,87.4
2019,Aramaio,Por 10.000,0.0
2021,Trucios-Turtzioz,Por 10.000,0.0
2019,Orio,Por 10.000,23.1
2019,Urduliz,Por 10.000,23.1
2019,Alegia,Por 10.000,46.8
2020,Bedia,Por 10.000,0.0
2020,Pasaia,Por 10.000,41.5
2021,Zaldibar,Por 10.000,6.6
2020,Arraia-Maeztu,Por 10.000,29.7
2019,Zaratamo,Por 10.000,23.9
2021,Errenteria,Por 10.000,59.5
2020,Loiu,Por 10.000,27.1
2020,Amezketa,Por 10.000,22.5
2021,Forua,Por 10.000,0.0
2019,Donostia / San Sebastián,Por 10.000,38.1
2019,Murueta,Por 10.000,187.5
2020,Kripan,Por 10.000,0.0
2020,Ajangiz,Por 10.000,0.0
2021,Tolosa,Por 10.000,37.5
2021,Arratzu,Por 10.000,0.0
2019,Bidasoa Beherea / Bajo Bidasoa,Por 10.000,46.7
2021,Usurbil,Por 10.000,9.8
2020,Anoeta,Por 10.000,29.9
2020,Bergara,Por 10.000,16.1
2020,Arabako Lautada / Llanada Alavesa,Por 10.000,35.1
2019,Villabona,Por 10.000,40.3
2019,Antzuola,Por 10.000,36.4
2021,Urretxu,Por 10.000,53.1
2019,Navaridas,Por 10.000,0.0
2020,Zaldibia,Por 10.000,0.0
2021,Aretxabaleta,Por 10.000,16.9
2019,Zarautz,Por 10.000,13.4
2021,Zierbena,Por 10.000,85.5
2021,Zumaia,Por 10.000,21.8
2020,Asteasu,Por 10.000,13.2
2020,Mendaro,Por 10.000,29.5
2021,Oyón-Oion,Por 10.000,17.1
2019,Lasarte-Oria,Por 10.000,33.1
2019,Ataun,Por 10.000,23.8
2021,Baliarrain,Por 10.000,0.0
2019,Kuartango,Por 10.000,0.0
2020,Orendain,Por 10.000,87.0
2021,Azkoitia,Por 10.000,11.9
2019,Altzaga,Por 10.000,0.0
2019,Alegría-Dulantzi,Por 10.000,26.5
2021,Azpeitia,Por 10.000,17.2
2022,,Por 10.000,39.9
2019,Azpeitia,Por 10.000,10.7
2021,Urnieta,Por 10.000,26.0
2020,Beasain,Por 10.000,21.8
2019,Ziortza-Bolibar,Por 10.000,0.0
2021,Abadiño,Por 10.000,31.0
2021,Erriberagoitia/Ribera Alta,Por 10.000,52.5
2020,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,50.3
2019,Debabarrena / Bajo Deba,Por 10.000,26.5
2019,Amorebieta-Etxano,Por 10.000,26.0
2019,Elburgo/Burgelu,Por 10.000,0.0
2021,Arakaldo,Por 10.000,0.0
2020,Belauntza,Por 10.000,0.0
2020,Arantzazu,Por 10.000,0.0
2020,Añana,Por 10.000,0.0
2019,Munitibar-Arbatzegi Gerrikaitz,Por 10.000,0.0
2020,Berastegi,Por 10.000,0.0
2021,Arrankudiaga-Zollo,Por 10.000,38.7
2020,Arratia Nerbioi / Arratia-Nervión,Por 10.000,40.1
2019,Berrobi,Por 10.000,33.6
2020,Arrieta,Por 10.000,36.1
2021,Gorbeialdea / Estribaciones del Gorbea,Por 10.000,25.5
2019,Arrigorriaga,Por 10.000,21.2
2021,Zegama,Por 10.000,13.4
2021,Barakaldo,Por 10.000,46.3
2019,Elciego,Por 10.000,18.8
2020,Barrika,Por 10.000,13.4
2020,Zerain,Por 10.000,68.0
2019,Basauri,Por 10.000,41.6
2019,Agurain/Salvatierra,Por 10.000,22.6
2021,Bermeo,Por 10.000,43.3
2019,Zestoa,Por 10.000,16.3
2020,Berriatua,Por 10.000,17.4
2020,Baños de Ebro/Mañueta,Por 10.000,146.0
2019,Berriz,Por 10.000,21.4
2021,Deba,Por 10.000,25.6
2019,Bilbo Handia / Gran Bilbao,Por 10.000,39.5
2019,Samaniego,Por 10.000,0.0
2021,Busturia,Por 10.000,35.5
2021,Debagoiena / Alto Deba,Por 10.000,27.0
2020,Karrantza Harana/Valle de Carranza,Por 10.000,66.6
2021,Iruraiz-Gauna,Por 10.000,0.0
2019,Artea,Por 10.000,0.0
2020,Eibar,Por 10.000,41.2
2021,Zeberio,Por 10.000,37.4
2021,Urkabustaiz,Por 10.000,0.0
2020,Dima,Por 10.000,69.7
2019,Elduain,Por 10.000,0.0
2019,Durango,Por 10.000,31.4
2021,Armiñón,Por 10.000,0.0
2021,Etxebarri,Por 10.000,24.0
2021,Elgeta,Por 10.000,0.0
2021,Durangaldea / Duranguesado,Por 10.000,25.1
2019,Valdegovía/Gaubea,Por 10.000,41.7
2020,Etxebarria,Por 10.000,27.3
2020,Eskoriatza,Por 10.000,4.9
2019,Elantxobe,Por 10.000,56.8
2021,Labastida/Bastida,Por 10.000,0.0
2021,Ereño,Por 10.000,0.0
2019,Ezkio-Itsaso,Por 10.000,0.0
2020,Ermua,Por 10.000,18.7
2020,Harana/Valle de Arana,Por 10.000,0.0
2019,Fruiz,Por 10.000,0.0
2021,Gaintza,Por 10.000,0.0
2021,Galdames,Por 10.000,25.5
2020,Barrundia,Por 10.000,48.2
2020,Gamiz-Fika,Por 10.000,14.4
2020,Gabiria,Por 10.000,0.0
2019,Garai,Por 10.000,0.0
2020,Legutio,Por 10.000,44.2
2019,Enkartazioak / Encartaciones,Por 10.000,27.8
2019,Getaria,Por 10.000,14.1
2021,Gautegiz Arteaga,Por 10.000,46.2
2022,Arabako Mendialdea / Montaña Alavesa,Por 10.000,13.9
2020,Gordexola,Por 10.000,48.4
2019,Donostialdea,Por 10.000,40.2
2019,Gorliz,Por 10.000,3.3
2020,Vitoria-Gasteiz,Por 10.000,34.4
2021,Güeñes,Por 10.000,23.5
2021,Hernialde,Por 10.000,0.0
2020,Gernika-Lumo,Por 10.000,43.4
2020,Amurrio,Por 10.000,30.3
2019,Gizaburuaga,Por 10.000,103.1
2020,Ibarra,Por 10.000,37.3
2021,Ispaster,Por 10.000,0.0
2022,Arabako Kantaurialdea / Cantábrica Alavesa,Por 10.000,41.7
2021,Gernika-Bermeo,Por 10.000,34.5
2019,Idiazabal,Por 10.000,0.0
2020,Izurtza,Por 10.000,0.0
2021,Lagrán,Por 10.000,0.0
2019,Lanestosa,Por 10.000,0.0
2021,Irun,Por 10.000,51.8
2021,Laukiz,Por 10.000,15.5
2019,Yécora/Iekora,Por 10.000,0.0
2020,Leioa,Por 10.000,36.8
2020,Irura,Por 10.000,69.1
2019,Lemoa,Por 10.000,27.7
2019,Bernedo,Por 10.000,0.0
2021,Lekeitio,Por 10.000,16.4
2019,Itsasondo,Por 10.000,82.6
2020,Mallabia,Por 10.000,17.1
2021,Zambrana,Por 10.000,0.0
2019,Mañaria,Por 10.000,77.5
2021,Lazkao,Por 10.000,20.7
2019,Markina-Ondarroa,Por 10.000,16.2
2021,Lanciego/Lantziego,Por 10.000,28.4
2021,Maruri-Jatabe,Por 10.000,0.0
2021,Goierri,Por 10.000,26.0
2020,Mendata,Por 10.000,0.0
2020,Zuia,Por 10.000,17.7
2019,Mendexa,Por 10.000,41.3
2020,Leaburu,Por 10.000,0.0
2021,Ugao-Miraballes,Por 10.000,54.4
2019,Arratzua-Ubarrundia,Por 10.000,21.4
2020,Morga,Por 10.000,0.0
2019,Legazpi,Por 10.000,24.0
2019,Muxika,Por 10.000,13.7
2019,Iruña Oka/Iruña de Oca,Por 10.000,29.2
2021,Mungia,Por 10.000,28.0
2021,Lezo,Por 10.000,52.3
2021,Plentzia-Mungia,Por 10.000,34.4
2020,Lapuebla de Labarca,Por 10.000,23.6
2020,Aulesti,Por 10.000,0.0
2020,Lizartza,Por 10.000,0.0
2019,Muskiz,Por 10.000,42.0
2020,Abaltzisketa,Por 10.000,71.4
2021,Ondarroa,Por 10.000,14.3
2019,Arrasate/Mondragón,Por 10.000,32.1
2020,Urduña/Orduña,Por 10.000,24.9
2020,Campezo/Kanpezu,Por 10.000,0.0
2019,Orozko,Por 10.000,7.5
2021,Mutiloa,Por 10.000,0.0
2021,Plentzia,Por 10.000,30.4
2021,Aduna,Por 10.000,0.0
2020,Portugalete,Por 10.000,35.9
2020,Olaberria,Por 10.000,44.2
2019,Errigoiti,Por 10.000,45.0
2020,Leza,Por 10.000,90.1
2021,Lezama,Por 10.000,32.7
2019,Oñati,Por 10.000,15.5
2020,Santurtzi,Por 10.000,37.8
2019,Aizarnazabal,Por 10.000,0.0
2019,Ortuella,Por 10.000,65.2
2019,Tolosaldea,Por 10.000,23.5
2021,Sopela,Por 10.000,42.9
2021,Alegría-Dulantzi,Por 10.000,32.7
2020,Sopuerta,Por 10.000,23.1
2021,Orio,Por 10.000,26.4
2019,Trucios-Turtzioz,Por 10.000,39.4
2020,Alegia,Por 10.000,23.0
2021,Urduliz,Por 10.000,39.5
2020,Ormaiztegi,Por 10.000,0.0
2020,Balmaseda,Por 10.000,40.3
2021,Arraia-Maeztu,Por 10.000,55.7
2019,Atxondo,Por 10.000,14.2
2019,Oiartzun,Por 10.000,28.3
2021,Areatza,Por 10.000,30.9
2019,Alkiza,Por 10.000,0.0
2020,Igorre,Por 10.000,32.5
2021,Soraluze-Placencia de las Armas,Por 10.000,37.3
2019,Zaldibar,Por 10.000,26.4
2019,Zigoitia,Por 10.000,0.0
2021,Zaratamo,Por 10.000,71.7
2020,Errezil,Por 10.000,36.8
2020,Derio,Por 10.000,22.9
2019,Altzo,Por 10.000,0.0
2019,Erandio,Por 10.000,75.5
2019,Errenteria,Por 10.000,55.9
2021,Sondika,Por 10.000,46.9
2020,Moreda de Álava/Moreda Araba,Por 10.000,0.0
2020,Zamudio,Por 10.000,36.6
2021,Donostia / San Sebastián,Por 10.000,30.9
2019,Forua,Por 10.000,0.0
2021,Andoain,Por 10.000,25.6
2021,Murueta,Por 10.000,0.0
2021,Urola Kosta,Por 10.000,17.7
2020,Nabarniz,Por 10.000,0.0
2021,Añana (comarca),Por 10.000,38.5
2019,Iurreta,Por 10.000,0.0
2020,Segura,Por 10.000,26.7
2021,Alonsotegi,Por 10.000,59.4
2021,Bidasoa Beherea / Bajo Bidasoa,Por 10.000,44.3
2020,Zierbena,Por 10.000,84.2
2019,Tolosa,Por 10.000,21.1
2019,Arratzu,Por 10.000,0.0
2019,Arabako Errioxa / Rioja Alavesa,Por 10.000,21.4
2019,Urnieta,Por 10.000,16.1
2021,Anoeta,Por 10.000,29.3
2020,Usurbil,Por 10.000,19.5
2020,Arabako Errioxa / Rioja Alavesa,Por 10.000,26.6
2021,Bergara,Por 10.000,44.7
2019,Anoeta,Por 10.000,10.2
2019,Bergara,Por 10.000,23.9
2020,Añana (comarca),Por 10.000,42.4
2020,Villabona,Por 10.000,30.5
2020,Antzuola,Por 10.000,18.5
2021,Ordizia,Por 10.000,31.5
2020,Navaridas,Por 10.000,0.0
2019,Ordizia,Por 10.000,21.6
2021,Arama,Por 10.000,0.0
2020,Urretxu,Por 10.000,26.5
2022,Arabako Lautada / Llanada Alavesa,Por 10.000,42.9
2021,Zaldibia,Por 10.000,12.4
2019,Arama,Por 10.000,0.0
2019,Zaldibia,Por 10.000,0.0
2021,Okondo,Por 10.000,0.0
2020,Zarautz,Por 10.000,10.8
2020,Aretxabaleta,Por 10.000,14.2
2021,Zumarraga,Por 10.000,9.1
2021,Arabako Errioxa / Rioja Alavesa,Por 10.000,19.5
2019,Zumarraga,Por 10.000,11.2
2021,Asteasu,Por 10.000,13.5
2020,Zumaia,Por 10.000,12.0
2019,Okondo,Por 10.000,17.5
2021,Mendaro,Por 10.000,0.0
2019,Asteasu,Por 10.000,52.3
2019,Mendaro,Por 10.000,18.9
2019,Arabako Lautada / Llanada Alavesa,Por 10.000,38.8
2020,Lasarte-Oria,Por 10.000,37.8
2020,Ataun,Por 10.000,47.9
2021,Astigarraga,Por 10.000,25.5
2020,Oyón-Oion,Por 10.000,40.2
2019,Astigarraga,Por 10.000,37.5
2021,Aia,Por 10.000,0.0
2020,Baliarrain,Por 10.000,0.0
2020,Tolosa,Por 10.000,21.8
2021,Orendain,Por 10.000,0.0
2019,Aia,Por 10.000,32.3
2019,Orendain,Por 10.000,92.6
2020,Peñacerrada-Urizaharra,Por 10.000,78.1
2020,Altzaga,Por 10.000,0.0
2020,Azkoitia,Por 10.000,27.1
2021,Gaztelu,Por 10.000,0.0
2019,Zierbena,Por 10.000,14.1
2019,Gaztelu,Por 10.000,0.0
2020,Artziniega,Por 10.000,20.9
2019,Peñacerrada-Urizaharra,Por 10.000,0.0
2020,Bidasoa Beherea / Bajo Bidasoa,Por 10.000,40.0
2022,Añana (comarca),Por 10.000,52.7
2021,Kuartango,Por 10.000,58.5
2021,Peñacerrada-Urizaharra,Por 10.000,0.0
2020,Arratzu,Por 10.000,0.0
2020,Erriberagoitia/Ribera Alta,Por 10.000,27.1
2019,Artziniega,Por 10.000,41.4
2021,Ayala/Aiara,Por 10.000,20.8
2019,Kripan,Por 10.000,0.0
2019,Erriberagoitia/Ribera Alta,Por 10.000,56.8
2022,Debabarrena / Bajo Deba,Por 10.000,52.3
2020,Abadiño,Por 10.000,18.1
2020,Elburgo/Burgelu,Por 10.000,0.0
2021,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,52.9
2020,Debabarrena / Bajo Deba,Por 10.000,34.0
2019,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,33.4
2019,Ribera Baja/Erriberabeitia,Por 10.000,0.0
2020,Amorebieta-Etxano,Por 10.000,25.8
2021,Beizama,Por 10.000,0.0
2021,Amoroto,Por 10.000,0.0
2019,Ayala/Aiara,Por 10.000,20.6
2019,Amoroto,Por 10.000,48.1
2019,Beizama,Por 10.000,0.0
2020,Arakaldo,Por 10.000,0.0
2020,Ribera Baja/Erriberabeitia,Por 10.000,66.7
2021,Arantzazu,Por 10.000,49.5
2019,Belauntza,Por 10.000,0.0
2019,Arantzazu,Por 10.000,161.3
2021,Elburgo/Burgelu,Por 10.000,0.0
2020,Munitibar-Arbatzegi Gerrikaitz,Por 10.000,0.0
2021,Berastegi,Por 10.000,0.0
2021,Artzentales,Por 10.000,29.4
2019,Añana,Por 10.000,0.0
2019,Artzentales,Por 10.000,30.5
2019,Berastegi,Por 10.000,0.0
2020,Arrankudiaga-Zollo,Por 10.000,0.0
2021,Arratia Nerbioi / Arratia-Nervión,Por 10.000,33.4
2020,Berrobi,Por 10.000,34.0
2019,Arratia Nerbioi / Arratia-Nervión,Por 10.000,33.7
2019,Gorbeialdea / Estribaciones del Gorbea,Por 10.000,14.3
2021,Arrieta,Por 10.000,0.0
2021,Bidania-Goiatz,Por 10.000,0.0
2019,Arrieta,Por 10.000,0.0
2021,Elciego,Por 10.000,19.6
2020,Arrigorriaga,Por 10.000,40.6
2019,Bidania-Goiatz,Por 10.000,0.0
2021,Bakio,Por 10.000,57.1
2022,Gorbeialdea / Estribaciones del Gorbea,Por 10.000,25.3
2019,Bakio,Por 10.000,38.1
2020,Zegama,Por 10.000,13.5
2020,Barakaldo,Por 10.000,40.0
2019,Baños de Ebro/Mañueta,Por 10.000,0.0
2021,Barrika,Por 10.000,64.9
2021,Zerain,Por 10.000,0.0
2019,Barrika,Por 10.000,0.0
2020,Agurain/Salvatierra,Por 10.000,49.7
2020,Basauri,Por 10.000,34.0
2019,Zerain,Por 10.000,137.9
2021,Berango,Por 10.000,18.3
2021,Elvillar/Bilar,Por 10.000,0.0
2019,Berango,Por 10.000,21.5
2020,Zestoa,Por 10.000,27.3
2020,Bermeo,Por 10.000,60.6
2021,Agurain/Salvatierra,Por 10.000,19.4
2021,Berriatua,Por 10.000,35.1
2021,Zizurkil,Por 10.000,34.5
2019,Berriatua,Por 10.000,0.0
2019,Armiñón,Por 10.000,0.0
2020,Berriz,Por 10.000,34.9
2019,Zizurkil,Por 10.000,13.2
2022,Bilbo Handia / Gran Bilbao,Por 10.000,41.8
2020,Samaniego,Por 10.000,0.0
2020,Bilbo Handia / Gran Bilbao,Por 10.000,37.1
2020,Deba,Por 10.000,11.0
2021,Bilbao,Por 10.000,31.1
2020,Elvillar/Bilar,Por 10.000,55.9
2019,Bilbao,Por 10.000,39.0
2022,Debagoiena / Alto Deba,Por 10.000,36.1
2020,Busturia,Por 10.000,60.3
2021,San Millán/Donemiliaga,Por 10.000,30.3
2021,Karrantza Harana/Valle de Carranza,Por 10.000,37.5
2020,Debagoiena / Alto Deba,Por 10.000,15.7
2019,Karrantza Harana/Valle de Carranza,Por 10.000,22.0
2021,Baños de Ebro/Mañueta,Por 10.000,73.0
2020,Artea,Por 10.000,27.9
2021,Eibar,Por 10.000,43.7
2021,Zeanuri,Por 10.000,48.1
2019,San Millán/Donemiliaga,Por 10.000,94.0
2019,Zeanuri,Por 10.000,16.6
2019,Eibar,Por 10.000,28.4
2020,Zeberio,Por 10.000,37.2
2019,Iruraiz-Gauna,Por 10.000,0.0
2021,Dima,Por 10.000,28.1
2020,Elduain,Por 10.000,166.7
2019,Dima,Por 10.000,14.1
2020,Urkabustaiz,Por 10.000,43.6
2020,Durango,Por 10.000,27.2
2021,Elgoibar,Por 10.000,39.7
2021,Ea,Por 10.000,25.0
2021,Amurrio,Por 10.000,17.1
2019,Ea,Por 10.000,25.2
2019,Elgoibar,Por 10.000,27.4
2020,Etxebarri,Por 10.000,45.0
2021,Valdegovía/Gaubea,Por 10.000,57.1
2022,Durangaldea / Duranguesado,Por 10.000,34.1
2020,Elgeta,Por 10.000,0.0
2020,Durangaldea / Duranguesado,Por 10.000,23.5
2020,Labastida/Bastida,Por 10.000,26.0
2021,Etxebarria,Por 10.000,0.0
2021,Eskoriatza,Por 10.000,53.5
2019,Etxebarria,Por 10.000,26.0
2020,Valdegovía/Gaubea,Por 10.000,40.2
2020,Elantxobe,Por 10.000,0.0
2019,Eskoriatza,Por 10.000,14.7
2021,Elorrio,Por 10.000,10.6
2021,Barrundia,Por 10.000,24.3
2019,Elorrio,Por 10.000,18.5
2020,Ezkio-Itsaso,Por 10.000,0.0
2020,Ereño,Por 10.000,0.0
2019,Harana/Valle de Arana,Por 10.000,0.0
2021,Ermua,Por 10.000,31.6
2021,Hondarribia,Por 10.000,17.4
2019,Ermua,Por 10.000,14.9
2019,Labastida/Bastida,Por 10.000,26.8
2020,Fruiz,Por 10.000,0.0
2019,Hondarribia,Por 10.000,37.4
2021,Galdakao,Por 10.000,28.8
2021,Villabuena de Álava/Eskuernaga,Por 10.000,70.9
2019,Galdakao,Por 10.000,33.5
2020,Gaintza,Por 10.000,0.0
2020,Galdames,Por 10.000,0.0
2020,Armiñón,Por 10.000,0.0
2021,Gamiz-Fika,Por 10.000,0.0
2021,Gabiria,Por 10.000,0.0
2019,Gamiz-Fika,Por 10.000,14.1
2020,Villabuena de Álava/Eskuernaga,Por 10.000,0.0
2020,Garai,Por 10.000,0.0
2019,Gabiria,Por 10.000,0.0
2022,Enkartazioak / Encartaciones,Por 10.000,36.9
2019,Arabako Mendialdea / Montaña Alavesa,Por 10.000,7.5
2020,Enkartazioak / Encartaciones,Por 10.000,34.5
2020,Getaria,Por 10.000,14.2
2021,Gatika,Por 10.000,0.0
2019,Legutio,Por 10.000,46.3
2019,Gatika,Por 10.000,12.1
2022,Donostialdea,Por 10.000,41.8
2020,Gautegiz Arteaga,Por 10.000,23.7
2021,Berantevilla,Por 10.000,43.1
2021,Gordexola,Por 10.000,24.3
2020,Donostialdea,Por 10.000,34.5
2019,Gordexola,Por 10.000,12.1
2021,Vitoria-Gasteiz,Por 10.000,36.8
2020,Gorliz,Por 10.000,35.8
2021,Hernani,Por 10.000,39.1
2021,Getxo,Por 10.000,21.0
2020,Arabako Mendialdea / Montaña Alavesa,Por 10.000,14.6
2019,Getxo,Por 10.000,29.2
2019,Hernani,Por 10.000,41.9
2020,Güeñes,Por 10.000,23.6
2019,Vitoria-Gasteiz,Por 10.000,39.7
2021,Gernika-Lumo,Por 10.000,32.1
2020,Hernialde,Por 10.000,66.2
2019,Gernika-Lumo,Por 10.000,48.1
2020,Alegría-Dulantzi,Por 10.000,39.5
