Year,Series,Institución,Territorio,Units,Value
2011,SG_DMK_JDC,,,Ratio,1.22
2022,Sector público (total),,Araba/Álava,Ratio,1.27
2011,Sector público (total),,Bizkaia,Ratio,1.1
2021,Sector público (total),,Araba/Álava,Ratio,1.25
2017,SG_DMK_PARLMP_LC,,,Ratio,1.07
2013,Sector público (total),,,Ratio,1.15
2010,SG_DMK_PARLMP_LC,,,Ratio,0.91
2015,SG_DMK_PARLMP_LC,,,Ratio,0.99
2011,Sector público (total),,Gipuzkoa,Ratio,1.14
2012,Sector público (total),,,Ratio,1.14
2021,SG_DMK_JDC,,,Ratio,1.23
2013,Sector público (total),,Bizkaia,Ratio,1.12
2012,Sector público (total),,Gipuzkoa,Ratio,1.17
2023,Sector público (total),,Gipuzkoa,Ratio,1.31
2020,Sector público (total),,Gipuzkoa,Ratio,1.24
2010,SG_DMK_JDC,,,Ratio,1.15
2021,Sector público (total),,Gipuzkoa,Ratio,1.25
2014,Sector público (total),,Bizkaia,Ratio,1.13
2020,SG_DMK_PARLMP_LC,,,Ratio,1.01
2010,Sector público (total),,Araba/Álava,Ratio,1.16
2022,Sector público (total),,Gipuzkoa,Ratio,1.23
2021,Sector público (total),,,Ratio,1.23
2016,SG_DMK_JDC,,,Ratio,1.2
2014,SG_DMK_PARLMP_LC,,,Ratio,0.99
2023,SG_DMK_PARLMP_LC,,,Ratio,0.99
2016,Sector público (total),,Gipuzkoa,Ratio,1.19
2013,SG_DMK_JDC,,,Ratio,1.23
2013,Sector público (total),,Gipuzkoa,Ratio,1.18
2023,SG_DMK_JDC,,,Ratio,1.22
2015,Sector público (total),,Bizkaia,Ratio,1.14
2014,Sector público (total),,Araba/Álava,Ratio,1.2
2015,Sector público (total),,,Ratio,1.16
2012,SG_DMK_JDC,,,Ratio,1.17
2018,Sector público (total),,,Ratio,1.16
2018,SG_DMK_PARLMP_LC,,,Ratio,1.07
2013,SG_DMK_PARLMP_LC,,,Ratio,0.99
2023,Sector público (total),,Bizkaia,Ratio,1.29
2011,SG_DMK_PARLMP_LC,,,Ratio,0.91
2016,Sector público (total),,,Ratio,1.17
2019,SG_DMK_PARLMP_LC,,,Ratio,1.07
2015,Sector público (total),,Gipuzkoa,Ratio,1.18
2015,SG_DMK_JDC,,,Ratio,1.24
2023,Sector público (total),,Araba/Álava,Ratio,1.28
2015,Sector público (total),,Araba/Álava,Ratio,1.2
2019,Sector público (total),,Gipuzkoa,Ratio,1.23
2021,Sector público (total),Sector público autonómico,Bizkaia,Ratio,1.33
2011,Sector público (total),Sector público autonómico,,Ratio,1.31
2020,Sector público (total),Sector público autonómico,Araba/Álava,Ratio,1.32
2017,Sector público (total),Sector público autonómico,Gipuzkoa,Ratio,1.4
2016,Sector público (total),Sector público autonómico,Bizkaia,Ratio,1.32
2019,Sector público (total),Sector público autonómico,,Ratio,1.37
2022,Sector público (total),Sector público autonómico,Araba/Álava,Ratio,1.32
2016,Sector público (total),Sector público autonómico,,Ratio,1.34
2011,Sector público (total),Sector público autonómico,Araba/Álava,Ratio,1.29
2014,Sector público (total),Sector público autonómico,Gipuzkoa,Ratio,1.37
2023,Sector público (total),Sector público autonómico,Gipuzkoa,Ratio,1.47
2011,Sector público (total),Sector público autonómico,Gipuzkoa,Ratio,1.35
2014,Sector público (total),Sector público autonómico,Bizkaia,Ratio,1.32
2012,Sector público (total),Sector público autonómico,Gipuzkoa,Ratio,1.37
2014,Sector público (total),Sector público autonómico,Araba/Álava,Ratio,1.31
2013,Sector público (total),Sector público autonómico,,Ratio,1.33
2013,Sector público (total),Sector público autonómico,Gipuzkoa,Ratio,1.38
2023,Sector público (total),Sector público autonómico,,Ratio,1.4
2015,Sector público (total),Sector público autonómico,,Ratio,1.33
2021,Sector público (total),Sector público autonómico,Gipuzkoa,Ratio,1.42
2018,Sector público (total),Sector público autonómico,Gipuzkoa,Ratio,1.34
2022,Sector público (total),Sector público autonómico,Gipuzkoa,Ratio,1.39
2020,Sector público (total),Sector público autonómico,Gipuzkoa,Ratio,1.4
2021,Sector público (total),Sector público autonómico,Araba/Álava,Ratio,1.33
2018,Sector público (total),Sector público autonómico,Bizkaia,Ratio,1.26
2022,Sector público (total),Sector público autonómico,Bizkaia,Ratio,1.33
2012,Sector público (total),Sector público autonómico,,Ratio,1.32
2020,Sector público (total),Sector público autonómico,,Ratio,1.34
2010,Sector público (total),Sector público autonómico,,Ratio,1.31
2010,Sector público (total),Sector público autonómico,Araba/Álava,Ratio,1.28
2023,Sector público (total),Sector público autonómico,Bizkaia,Ratio,1.41
2018,Sector público (total),Sector público autonómico,Araba/Álava,Ratio,1.31
2017,Sector público (total),Sector público autonómico,Araba/Álava,Ratio,1.32
2021,Sector público (total),Sector público autonómico,,Ratio,1.36
2012,Sector público (total),Sector público autonómico,Bizkaia,Ratio,1.3
2017,Sector público (total),Sector público autonómico,Bizkaia,Ratio,1.33
2016,Sector público (total),Sector público autonómico,Gipuzkoa,Ratio,1.38
2015,Sector público (total),Sector público autonómico,Bizkaia,Ratio,1.32
2012,Sector público (total),Sector público autonómico,Araba/Álava,Ratio,1.29
2010,Sector público (total),Sector público autonómico,Gipuzkoa,Ratio,1.34
2015,Sector público (total),Sector público autonómico,Gipuzkoa,Ratio,1.37
2013,Sector público (total),Sector público autonómico,Araba/Álava,Ratio,1.3
2013,Sector público (total),Sector público autonómico,Bizkaia,Ratio,1.31
2020,Sector público (total),Sector público autonómico,Bizkaia,Ratio,1.32
2011,Sector público (total),Sector público autonómico,Bizkaia,Ratio,1.29
2019,Sector público (total),Sector público autonómico,Gipuzkoa,Ratio,1.42
2010,Sector público (total),Sector público autonómico,Bizkaia,Ratio,1.3
2017,Sector público (total),Sector público autonómico,,Ratio,1.35
2016,Sector público (total),Sector público autonómico,Araba/Álava,Ratio,1.31
2015,Sector público (total),Sector público autonómico,Araba/Álava,Ratio,1.32
2014,Sector público (total),Sector público autonómico,,Ratio,1.33
2018,Sector público (total),Sector público autonómico,,Ratio,1.3
2019,Sector público (total),Sector público autonómico,Araba/Álava,Ratio,1.34
2022,Sector público (total),Sector público autonómico,,Ratio,1.34
2023,Sector público (total),Sector público autonómico,Araba/Álava,Ratio,1.32
2019,Sector público (total),Sector público autonómico,Bizkaia,Ratio,1.35
2022,Sector público (total),Diputaciones forales,Araba/Álava,Ratio,1.38
2011,Sector público (total),Instituciones sanitarias autonómicas,,Ratio,1.49
2020,Sector público (total),Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.48
2019,Sector público (total),Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.61
2022,Sector público (total),Centros educativos no universitarios autonómicos,,Ratio,1.46
2023,Sector público (total),Centros educativos no universitarios autonómicos,,Ratio,1.48
2019,Sector público (total),Centros educativos no universitarios autonómicos,,Ratio,1.5
2020,Sector público (total),Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.62
2016,Sector público (total),Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.59
2014,Sector público (total),Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.59
2012,Sector público (total),Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.56
2010,Sector público (total),Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.54
2018,Sector público (total),Centros educativos no universitarios autonómicos,,Ratio,1.48
2017,Sector público (total),Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.6
2013,Sector público (total),Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.58
2015,Sector público (total),Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.47
2020,Sector público (total),Diputaciones forales,,Ratio,1.27
2021,Sector público (total),Diputaciones forales,Gipuzkoa,Ratio,1.22
2010,Sector público (total),Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.49
2014,Sector público (total),Instituciones sanitarias autonómicas,,Ratio,1.53
2018,Sector público (total),Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.42
2012,Sector público (total),Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.54
2011,Sector público (total),Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.5
2021,Sector público (total),Centros educativos no universitarios autonómicos,,Ratio,1.49
2022,Sector público (total),Diputaciones forales,Gipuzkoa,Ratio,1.26
2019,Sector público (total),Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.48
2016,Sector público (total),Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.55
2023,Sector público (total),Diputaciones forales,Gipuzkoa,Ratio,1.26
2014,Sector público (total),Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.47
2019,Sector público (total),Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.5
2021,Sector público (total),Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.49
2023,Sector público (total),Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.48
2014,Sector público (total),Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.47
2012,Sector público (total),Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.47
2023,Sector público (total),Diputaciones forales,,Ratio,1.29
2014,Sector público (total),Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.5
2019,Sector público (total),Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.51
2018,Sector público (total),Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.47
2013,Sector público (total),Centros educativos no universitarios autonómicos,,Ratio,1.48
2022,Sector público (total),Diputaciones forales,,Ratio,1.29
2015,Sector público (total),Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.48
2017,Sector público (total),Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.49
2010,Sector público (total),Centros educativos no universitarios autonómicos,,Ratio,1.47
2021,Sector público (total),Diputaciones forales,,Ratio,1.27
2011,Sector público (total),Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.46
2022,Sector público (total),Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.46
2020,Sector público (total),Centros educativos no universitarios autonómicos,,Ratio,1.48
2011,Sector público (total),Centros educativos no universitarios autonómicos,,Ratio,1.48
2023,Sector público (total),Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.49
2019,Sector público (total),Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.55
2023,Sector público (total),Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.61
2021,Sector público (total),Diputaciones forales,Araba/Álava,Ratio,1.36
2022,Sector público (total),Instituciones sanitarias autonómicas,,Ratio,1.57
2022,Sector público (total),Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.57
2023,Sector público (total),Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.54
2017,Sector público (total),Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.47
2020,Sector público (total),Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.55
2010,Sector público (total),Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.53
2013,Sector público (total),Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.5
2010,Sector público (total),Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.45
2017,Sector público (total),Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.52
2013,Sector público (total),Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.49
2021,Sector público (total),Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.55
2016,Sector público (total),Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.49
2015,Sector público (total),Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.5
2020,Sector público (total),Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.54
2010,Sector público (total),Instituciones sanitarias autonómicas,,Ratio,1.5
2020,Sector público (total),Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.46
2016,Sector público (total),Instituciones sanitarias autonómicas,,Ratio,1.54
2013,Sector público (total),Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.46
2015,Sector público (total),Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.5
2020,Sector público (total),Diputaciones forales,Gipuzkoa,Ratio,1.2
2022,Sector público (total),Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.44
2016,Sector público (total),Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.47
2018,Sector público (total),Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.45
2022,Sector público (total),Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.61
2016,Sector público (total),Centros educativos no universitarios autonómicos,,Ratio,1.48
2012,Sector público (total),Instituciones sanitarias autonómicas,,Ratio,1.51
2020,Sector público (total),Instituciones sanitarias autonómicas,,Ratio,1.56
2022,Sector público (total),Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.56
2016,Sector público (total),Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.51
2012,Sector público (total),Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.48
2019,Sector público (total),Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.53
2010,Sector público (total),Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.46
2021,Sector público (total),Instituciones sanitarias autonómicas,,Ratio,1.57
2015,Sector público (total),Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.58
2018,Sector público (total),Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.48
2014,Sector público (total),Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.5
2013,Sector público (total),Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.47
2021,Sector público (total),Diputaciones forales,Bizkaia,Ratio,1.25
2023,Sector público (total),Instituciones sanitarias autonómicas,,Ratio,1.57
2017,Sector público (total),Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.55
2021,Sector público (total),Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.55
2017,Sector público (total),Instituciones sanitarias autonómicas,,Ratio,1.55
2018,Sector público (total),Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.56
2011,Sector público (total),Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.53
2015,Sector público (total),Centros educativos no universitarios autonómicos,,Ratio,1.49
2023,Sector público (total),Diputaciones forales,Bizkaia,Ratio,1.26
2020,Sector público (total),Diputaciones forales,Bizkaia,Ratio,1.25
2014,Sector público (total),Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.54
2023,Sector público (total),Diputaciones forales,Araba/Álava,Ratio,1.37
2011,Sector público (total),Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.53
2015,Sector público (total),Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.54
2015,Sector público (total),Instituciones sanitarias autonómicas,,Ratio,1.53
2011,Sector público (total),Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.46
2020,Sector público (total),Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.49
2019,Sector público (total),Instituciones sanitarias autonómicas,,Ratio,1.56
2017,Sector público (total),Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.51
2023,Sector público (total),Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.57
2017,Sector público (total),Centros educativos no universitarios autonómicos,,Ratio,1.49
2022,Sector público (total),Diputaciones forales,Bizkaia,Ratio,1.26
2012,Sector público (total),Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.5
2013,Sector público (total),Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.55
2021,Sector público (total),Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.62
2018,Sector público (total),Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.49
2016,Sector público (total),Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.47
2020,Sector público (total),Diputaciones forales,Araba/Álava,Ratio,1.38
2013,Sector público (total),Instituciones sanitarias autonómicas,,Ratio,1.53
2018,Sector público (total),Instituciones sanitarias autonómicas,,Ratio,1.47
2011,Sector público (total),Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.48
2022,Sector público (total),Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.46
2010,Sector público (total),Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.46
2012,Sector público (total),Centros educativos no universitarios autonómicos,,Ratio,1.49
2012,Sector público (total),Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.47
2014,Sector público (total),Centros educativos no universitarios autonómicos,,Ratio,1.48
2023,Sector público (total),Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.47
2021,Sector público (total),Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.47
2021,Sector público (total),Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.49
2019,Sector público (total),Policía autonómica,Araba/Álava,Ratio,0.21
2016,Sector público (total),Policía autonómica,Araba/Álava,Ratio,0.21
2012,Sector público (total),Universidades,Bizkaia,Ratio,0.95
2023,Sector público (total),Policía autonómica,Araba/Álava,Ratio,0.26
2022,Sector público (total),Universidades,Bizkaia,Ratio,1.06
2014,Sector público (total),Policía autonómica,Araba/Álava,Ratio,0.2
2013,Sector público (total),Policía autonómica,,Ratio,0.22
2022,Sector público (total),Policía autonómica,Araba/Álava,Ratio,0.26
2017,Sector público (total),Policía autonómica,Araba/Álava,Ratio,0.21
2016,Sector público (total),Universidades,Gipuzkoa,Ratio,1.04
2011,Sector público (total),Policía autonómica,Araba/Álava,Ratio,0.19
2020,Sector público (total),Policía autonómica,Araba/Álava,Ratio,0.22
2015,Sector público (total),Universidades,Gipuzkoa,Ratio,1.02
2020,Sector público (total),Universidades,Gipuzkoa,Ratio,1.1
2021,Sector público (total),Universidades,,Ratio,1.06
2018,Sector público (total),Universidades,Gipuzkoa,Ratio,1.07
2011,Sector público (total),Policía autonómica,,Ratio,0.22
2010,Sector público (total),Policía autonómica,Araba/Álava,Ratio,0.19
2017,Sector público (total),Universidades,Gipuzkoa,Ratio,1.04
2017,Sector público (total),Policía autonómica,,Ratio,0.22
2011,Sector público (total),Universidades,Gipuzkoa,Ratio,0.77
2017,Sector público (total),Universidades,,Ratio,1.04
2011,Sector público (total),Universidades,,Ratio,0.78
2021,Sector público (total),Policía autonómica,Araba/Álava,Ratio,0.22
2021,Sector público (total),Policía autonómica,,Ratio,0.26
2020,Sector público (total),Policía autonómica,,Ratio,0.26
2015,Sector público (total),Policía autonómica,Gipuzkoa,Ratio,0.27
2023,Sector público (total),Policía autonómica,Gipuzkoa,Ratio,0.36
2022,Sector público (total),Universidades,Araba/Álava,Ratio,1.05
2019,Sector público (total),Policía autonómica,,Ratio,0.24
2018,Sector público (total),Policía autonómica,Gipuzkoa,Ratio,0.28
2019,Sector público (total),Universidades,Araba/Álava,Ratio,1.02
2019,Sector público (total),Policía autonómica,Gipuzkoa,Ratio,0.3
2010,Sector público (total),Policía autonómica,Gipuzkoa,Ratio,0.24
2018,Sector público (total),Universidades,,Ratio,1.03
2021,Sector público (total),Policía autonómica,Gipuzkoa,Ratio,0.33
2016,Sector público (total),Policía autonómica,Gipuzkoa,Ratio,0.27
2012,Sector público (total),Policía autonómica,Gipuzkoa,Ratio,0.26
2013,Sector público (total),Policía autonómica,Gipuzkoa,Ratio,0.26
2016,Sector público (total),Policía autonómica,,Ratio,0.22
2014,Sector público (total),Policía autonómica,Gipuzkoa,Ratio,0.27
2022,Sector público (total),Policía autonómica,Gipuzkoa,Ratio,0.36
2012,Sector público (total),Policía autonómica,,Ratio,0.22
2012,Sector público (total),Universidades,Gipuzkoa,Ratio,1.01
2015,Sector público (total),Policía autonómica,,Ratio,0.23
2022,Sector público (total),Universidades,,Ratio,1.07
2014,Sector público (total),Policía autonómica,,Ratio,0.22
2019,Sector público (total),Universidades,Bizkaia,Ratio,1.03
2018,Sector público (total),Policía autonómica,,Ratio,0.24
2010,Sector público (total),Universidades,Bizkaia,Ratio,0.74
2023,Sector público (total),Policía autonómica,,Ratio,0.3
2017,Sector público (total),Universidades,Araba/Álava,Ratio,1.03
2015,Sector público (total),Universidades,,Ratio,1.0
2011,Sector público (total),Universidades,Araba/Álava,Ratio,0.89
2018,Sector público (total),Universidades,Bizkaia,Ratio,1.02
2010,Sector público (total),Policía autonómica,,Ratio,0.2
2016,Sector público (total),Universidades,,Ratio,1.01
2013,Sector público (total),Policía autonómica,Araba/Álava,Ratio,0.21
2013,Sector público (total),Universidades,,Ratio,0.98
2011,Sector público (total),Policía autonómica,Gipuzkoa,Ratio,0.27
2022,Sector público (total),Universidades,Gipuzkoa,Ratio,1.11
2012,Sector público (total),Policía autonómica,Araba/Álava,Ratio,0.19
2010,Sector público (total),Universidades,Araba/Álava,Ratio,0.89
2011,Sector público (total),Universidades,Bizkaia,Ratio,0.75
2015,Sector público (total),Universidades,Bizkaia,Ratio,0.99
2021,Sector público (total),Universidades,Gipuzkoa,Ratio,1.11
2017,Sector público (total),Policía autonómica,Gipuzkoa,Ratio,0.26
2010,Sector público (total),Universidades,,Ratio,0.77
2018,Sector público (total),Universidades,Araba/Álava,Ratio,1.03
2012,Sector público (total),Universidades,,Ratio,0.97
2022,Sector público (total),Policía autonómica,,Ratio,0.3
2021,Sector público (total),Universidades,Bizkaia,Ratio,1.05
2014,Sector público (total),Universidades,Araba/Álava,Ratio,0.98
2022,Sector público (total),Policía autonómica,Bizkaia,Ratio,0.27
2017,Sector público (total),Universidades,Bizkaia,Ratio,1.04
2013,Sector público (total),Universidades,Bizkaia,Ratio,0.96
2014,Sector público (total),Universidades,,Ratio,0.99
2023,Sector público (total),Universidades,,Ratio,1.06
2020,Sector público (total),Universidades,Bizkaia,Ratio,1.04
2016,Sector público (total),Universidades,Bizkaia,Ratio,0.99
2014,Sector público (total),Universidades,Bizkaia,Ratio,0.97
2017,Sector público (total),Policía autonómica,Bizkaia,Ratio,0.21
2020,Sector público (total),Policía autonómica,Bizkaia,Ratio,0.24
2018,Sector público (total),Policía autonómica,Bizkaia,Ratio,0.22
2016,Sector público (total),Policía autonómica,Bizkaia,Ratio,0.2
2019,Sector público (total),Policía autonómica,Bizkaia,Ratio,0.22
2014,Sector público (total),Policía autonómica,Bizkaia,Ratio,0.2
2015,Sector público (total),Policía autonómica,Bizkaia,Ratio,0.21
2010,Sector público (total),Policía autonómica,Bizkaia,Ratio,0.19
2011,Sector público (total),Policía autonómica,Bizkaia,Ratio,0.2
2013,Sector público (total),Policía autonómica,Bizkaia,Ratio,0.2
2021,Sector público (total),Universidades,Araba/Álava,Ratio,1.04
2021,Sector público (total),Policía autonómica,Bizkaia,Ratio,0.25
2020,Sector público (total),Policía autonómica,Gipuzkoa,Ratio,0.31
2012,Sector público (total),Policía autonómica,Bizkaia,Ratio,0.2
2023,Sector público (total),Policía autonómica,Bizkaia,Ratio,0.27
2013,Sector público (total),Universidades,Araba/Álava,Ratio,0.99
2020,Sector público (total),Universidades,Araba/Álava,Ratio,1.02
2016,Sector público (total),Universidades,Araba/Álava,Ratio,1.03
2012,Sector público (total),Universidades,Araba/Álava,Ratio,0.99
2023,Sector público (total),Universidades,Araba/Álava,Ratio,1.06
2015,Sector público (total),Universidades,Araba/Álava,Ratio,0.99
2019,Sector público (total),Universidades,Gipuzkoa,Ratio,1.09
2013,Sector público (total),Universidades,Gipuzkoa,Ratio,1.02
2014,Sector público (total),Universidades,Gipuzkoa,Ratio,1.01
2015,Sector público (total),Policía autonómica,Araba/Álava,Ratio,0.2
2010,Sector público (total),Universidades,Gipuzkoa,Ratio,0.76
2019,Sector público (total),Universidades,,Ratio,1.04
2020,Sector público (total),Universidades,,Ratio,1.05
2018,Sector público (total),Policía autonómica,Araba/Álava,Ratio,0.21
2017,Sector público (total),Administración de Justicia autonómica,Gipuzkoa,Ratio,1.6
2010,Sector público (total),Administración de Justicia autonómica,Gipuzkoa,Ratio,1.6
2012,Sector público (total),Administración de Justicia autonómica,,Ratio,1.55
2013,Sector público (total),Administración de Justicia autonómica,Gipuzkoa,Ratio,1.58
2011,Sector público (total),Administración de Justicia autonómica,Gipuzkoa,Ratio,1.61
2015,Sector público (total),Administración de Justicia autonómica,Gipuzkoa,Ratio,1.55
2018,Sector público (total),Administración de Justicia autonómica,Araba/Álava,Ratio,1.56
2018,Sector público (total),Administración de Justicia autonómica,,Ratio,1.54
2020,Sector público (total),Administración de Justicia autonómica,,Ratio,1.55
2023,Sector público (total),Administración de Justicia autonómica,Araba/Álava,Ratio,1.55
2017,Sector público (total),Administración de Justicia autonómica,Bizkaia,Ratio,1.5
2012,Sector público (total),Administración de Justicia autonómica,Gipuzkoa,Ratio,1.6
2019,Sector público (total),Administración de Justicia autonómica,Gipuzkoa,Ratio,1.6
2015,Sector público (total),Administración de Justicia autonómica,,Ratio,1.52
2010,Sector público (total),Administración de Justicia autonómica,Araba/Álava,Ratio,1.59
2013,Sector público (total),Administración de Justicia autonómica,,Ratio,1.54
2014,Sector público (total),Administración de Justicia autonómica,,Ratio,1.53
2021,Sector público (total),Administración de Justicia autonómica,Bizkaia,Ratio,1.51
2016,Sector público (total),Administración de Justicia autonómica,Bizkaia,Ratio,1.51
2013,Sector público (total),Administración de Justicia autonómica,Bizkaia,Ratio,1.5
2012,Sector público (total),Administración de Justicia autonómica,Bizkaia,Ratio,1.51
2015,Sector público (total),Administración de Justicia autonómica,Bizkaia,Ratio,1.51
2010,Sector público (total),Administración de Justicia autonómica,Bizkaia,Ratio,1.51
2017,Sector público (total),Administración de Justicia autonómica,,Ratio,1.53
2014,Sector público (total),Administración de Justicia autonómica,Bizkaia,Ratio,1.49
2011,Sector público (total),Administración de Justicia autonómica,Bizkaia,Ratio,1.5
2016,Sector público (total),Administración de Justicia autonómica,,Ratio,1.53
2011,Sector público (total),Administración de Justicia autonómica,,Ratio,1.55
