Year,Series,Sexua,Jabetza mota,Lurralde historikoa,Units,Value
2013,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,,Gipuzkoa,PT,37.1
2009,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,,Gipuzkoa,PT,31.1
2013,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Emakumea,,Gipuzkoa,PT,57.5
2016,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Emakumea,,Gipuzkoa,PT,53.2
2009,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,Jabetzan,,PT,35.1
2016,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,Jabetzan,,PT,40.4
2013,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,Jabetzan,,PT,38.4
2013,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,Jabetzan,Araba / Álava,PT,28.2
2016,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,Jabetzan,Araba / Álava,PT,35.6
2009,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,Jabetzan,Araba / Álava,PT,30.7
2009,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,Jabetzan,Bizkaia,PT,39.0
2016,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,Jabetzan,Bizkaia,PT,43.3
2013,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,Jabetzan,Bizkaia,PT,42.9
2009,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,Jabetzan,Gipuzkoa,PT,32.5
2013,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,Jabetzan,Gipuzkoa,PT,37.3
2016,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,Jabetzan,Gipuzkoa,PT,38.4
2013,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,Errentamenduan,,PT,33.9
2016,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,Errentamenduan,,PT,29.8
2009,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,Errentamenduan,,PT,26.4
2016,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,Errentamenduan,Araba / Álava,PT,28.9
2013,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,Errentamenduan,Araba / Álava,PT,33.0
2009,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,Errentamenduan,Araba / Álava,PT,23.2
2016,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,Errentamenduan,Bizkaia,PT,35.5
2013,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,Errentamenduan,Bizkaia,PT,36.7
2009,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,Errentamenduan,Bizkaia,PT,30.6
2013,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,Errentamenduan,Gipuzkoa,PT,30.3
2009,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,Errentamenduan,Gipuzkoa,PT,23.1
2016,"Emakumeen proportzioa nekazaritza-lurren jabeen edo eskubideen titularren artean, edukitze-motaren arabera banakatuta",Emakumea,Errentamenduan,Gipuzkoa,PT,19.0
2009,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,,PT,53.9
2013,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,,PT,56.7
2016,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,,PT,50.7
2009,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,Araba / Álava,PT,49.2
2013,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,Araba / Álava,PT,48.5
2016,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,Araba / Álava,PT,42.6
2013,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,Bizkaia,PT,61.4
2009,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,Bizkaia,PT,57.1
2016,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,Bizkaia,PT,52.9
2013,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,Gipuzkoa,PT,56.9
2009,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,Gipuzkoa,PT,53.4
2016,Jabetza-eskubideak edo nekazaritza-lurren gaineko eskubide seguruak dituzten nekazarien guztizkoaren proportzioa,Gizona,,Gipuzkoa,PT,52.8
