Year,Sexua,Lurralde historikoa,Units,Value
2019,Gizona,Bizkaia,Porcentaje,91.3
2018,Gizona,Bizkaia,Porcentaje,89.6
2014,Gizona,Bizkaia,Porcentaje,79.1
2017,Gizona,Bizkaia,Porcentaje,83.9
2016,Gizona,Bizkaia,Porcentaje,85.0
2015,Gizona,Bizkaia,Porcentaje,83.8
2013,Gizona,Bizkaia,Porcentaje,78.5
2012,Gizona,Bizkaia,Porcentaje,65.3
2011,Gizona,Bizkaia,Porcentaje,67.3
2010,Gizona,Bizkaia,Porcentaje,58.1
2009,Gizona,Bizkaia,Porcentaje,61.2
2008,Gizona,Bizkaia,Porcentaje,58.8
2014,Gizona,Gipuzkoa,Porcentaje,77.5
2009,Gizona,Gipuzkoa,Porcentaje,60.1
2013,Gizona,Gipuzkoa,Porcentaje,75.4
2012,Gizona,Gipuzkoa,Porcentaje,71.6
2011,Gizona,Gipuzkoa,Porcentaje,67.2
2010,Gizona,Gipuzkoa,Porcentaje,65.4
2023,Gizona,Gipuzkoa,Porcentaje,94.8
2022,Gizona,Gipuzkoa,Porcentaje,92.9
2021,Gizona,Gipuzkoa,Porcentaje,93.2
2020,Gizona,Gipuzkoa,Porcentaje,92.3
2019,Gizona,Gipuzkoa,Porcentaje,87.2
2018,Gizona,Gipuzkoa,Porcentaje,87.3
2008,Gizona,Gipuzkoa,Porcentaje,57.9
2017,Gizona,Gipuzkoa,Porcentaje,84.8
2016,Gizona,Gipuzkoa,Porcentaje,83.4
2015,Gizona,Gipuzkoa,Porcentaje,81.5
