Year,Series,Sexua,Lurralde historikoa,Units,Value
2020,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,Porcentaje,86.2
2018,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,Porcentaje,70.5
2019,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,Porcentaje,71.0
2013,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,Porcentaje,69.6
2016,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,Porcentaje,69.9
2022,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,Porcentaje,71.6
2010,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,Porcentaje,69.1
2021,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,Porcentaje,71.5
2014,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,Porcentaje,69.6
2020,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,Porcentaje,71.2
2024,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,Porcentaje,72.8
2017,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,Porcentaje,70.1
2023,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,Porcentaje,71.9
2011,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,Porcentaje,69.2
2015,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,Porcentaje,69.7
2012,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,Porcentaje,69.2
2014,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,Porcentaje,66.2
2012,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,Porcentaje,65.5
2022,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,Porcentaje,69.5
2019,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,Porcentaje,68.8
2015,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,Porcentaje,66.3
2018,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,Porcentaje,68.0
2020,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,Porcentaje,69.0
2013,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,Porcentaje,66.0
2016,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,Porcentaje,66.8
2010,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,Porcentaje,65.4
2011,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,Porcentaje,65.5
2021,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,Porcentaje,69.5
2023,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,Porcentaje,69.9
2024,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,Porcentaje,71.2
2017,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,Porcentaje,67.4
2023,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,Porcentaje,69.7
2021,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,Porcentaje,69.3
2018,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,Porcentaje,68.2
2011,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,Porcentaje,67.0
2016,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,Porcentaje,67.6
2017,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,Porcentaje,67.9
2014,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,Porcentaje,67.5
2013,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,Porcentaje,67.5
2010,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,Porcentaje,66.9
2020,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,Porcentaje,68.9
2019,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,Porcentaje,68.6
2012,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,Porcentaje,67.1
2015,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,Porcentaje,67.5
2024,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,Porcentaje,70.6
2022,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,Porcentaje,69.2
2018,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,Porcentaje,75.4
2023,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,Porcentaje,76.4
2022,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,Porcentaje,76.3
2019,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,Porcentaje,75.9
2020,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,Porcentaje,76.1
2017,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,Porcentaje,75.1
2015,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,Porcentaje,74.8
2010,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,Porcentaje,74.4
2024,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,Porcentaje,77.1
2013,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,Porcentaje,74.5
2014,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,Porcentaje,74.6
2012,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,Porcentaje,74.2
2011,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,Porcentaje,74.3
2016,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,Porcentaje,75.0
2021,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,Porcentaje,76.2
2018,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,Porcentaje,99.7
2013,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,Porcentaje,100.0
2020,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,Porcentaje,98.6
2021,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,Porcentaje,97.2
2014,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,Porcentaje,100.0
2016,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,Porcentaje,100.0
2015,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,Porcentaje,100.0
2023,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,Porcentaje,95.0
2011,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,Porcentaje,100.0
2012,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,Porcentaje,100.0
2017,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,Porcentaje,100.0
2024,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,Porcentaje,95.4
2022,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,Porcentaje,96.2
2019,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,Porcentaje,99.3
2010,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,Porcentaje,100.0
2018,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,Porcentaje,98.8
2011,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,Porcentaje,98.2
