Year,Series,Lurralde historikoa,Units,Value
2011,SL_TLF_UEM,ES211,PT,7.8
2018,SL_TLF_UEM,ES211,PT,11.2
2010,SL_TLF_UEM,ES211,PT,10.0
2017,SL_TLF_UEM,ES211,PT,11.9
2012,SL_TLF_UEM,ES211,PT,9.4
2013,SL_TLF_UEM,ES211,PT,15.1
2019,SL_TLF_UEM,ES211,PT,10.8
2021,SL_TLF_UEM,ES211,PT,10.6
2023,SL_TLF_UEM,ES211,PT,7.9
2016,SL_TLF_UEM,ES211,PT,14.1
2015,SL_TLF_UEM,ES211,PT,16.3
2022,SL_TLF_UEM,ES211,PT,9.5
2014,SL_TLF_UEM,ES211,PT,17.1
2020,SL_TLF_UEM,ES211,PT,11.1
2019,SL_TLF_UEM,ES213,PT,11.1
2021,SL_TLF_UEM,ES213,PT,11.2
2018,SL_TLF_UEM,ES213,PT,11.9
2016,SL_TLF_UEM,ES213,PT,15.3
2013,SL_TLF_UEM,ES213,PT,16.7
2010,SL_TLF_UEM,ES213,PT,10.0
2014,SL_TLF_UEM,ES213,PT,17.2
2011,SL_TLF_UEM,ES213,PT,13.2
2022,SL_TLF_UEM,ES213,PT,9.3
2017,SL_TLF_UEM,ES213,PT,12.9
2012,SL_TLF_UEM,ES213,PT,14.2
2020,SL_TLF_UEM,ES213,PT,11.9
2015,SL_TLF_UEM,ES213,PT,17.0
2023,SL_TLF_UEM,ES213,PT,8.7
2015,SL_TLF_UEM,ES212,PT,13.3
2020,SL_TLF_UEM,ES212,PT,8.2
2018,SL_TLF_UEM,ES212,PT,8.1
2023,SL_TLF_UEM,ES212,PT,6.4
2010,SL_TLF_UEM,ES212,PT,7.4
2022,SL_TLF_UEM,ES212,PT,7.0
2021,SL_TLF_UEM,ES212,PT,8.0
2019,SL_TLF_UEM,ES212,PT,7.4
2017,SL_TLF_UEM,ES212,PT,9.3
2014,SL_TLF_UEM,ES212,PT,13.9
2013,SL_TLF_UEM,ES212,PT,12.5
2012,SL_TLF_UEM,ES212,PT,8.9
2011,SL_TLF_UEM,ES212,PT,8.2
2016,SL_TLF_UEM,ES212,PT,11.3
2017,FP_CPI_TOTL_ZG,,PT,2.0
2011,FP_CPI_TOTL_ZG,,PT,3.1
2010,FP_CPI_TOTL_ZG,,PT,1.7
2015,FP_CPI_TOTL_ZG,,PT,-0.3
2014,FP_CPI_TOTL_ZG,,PT,0.2
2023,FP_CPI_TOTL_ZG,,PT,3.6
2020,FP_CPI_TOTL_ZG,,PT,-0.1
2012,FP_CPI_TOTL_ZG,,PT,2.3
2021,FP_CPI_TOTL_ZG,,PT,3.1
2018,FP_CPI_TOTL_ZG,,PT,1.6
2019,FP_CPI_TOTL_ZG,,PT,1.0
2016,FP_CPI_TOTL_ZG,,PT,0.0
2013,FP_CPI_TOTL_ZG,,PT,1.6
2022,FP_CPI_TOTL_ZG,,PT,8.0
2015,FP_CPI_TOTL_ZG,ES211,PT,-0.2
2018,FP_CPI_TOTL_ZG,ES211,PT,1.4
2011,FP_CPI_TOTL_ZG,ES211,PT,3.1
2019,FP_CPI_TOTL_ZG,ES211,PT,0.9
2014,FP_CPI_TOTL_ZG,ES211,PT,0.1
2017,FP_CPI_TOTL_ZG,ES211,PT,2.1
2012,FP_CPI_TOTL_ZG,ES211,PT,2.1
2022,FP_CPI_TOTL_ZG,ES211,PT,8.1
2010,FP_CPI_TOTL_ZG,ES211,PT,1.8
2016,FP_CPI_TOTL_ZG,ES211,PT,-0.1
2020,FP_CPI_TOTL_ZG,ES211,PT,-0.3
2023,FP_CPI_TOTL_ZG,ES211,PT,3.0
2021,FP_CPI_TOTL_ZG,ES211,PT,3.2
2013,FP_CPI_TOTL_ZG,ES211,PT,1.3
2021,FP_CPI_TOTL_ZG,ES213,PT,3.1
2022,FP_CPI_TOTL_ZG,ES213,PT,8.3
2020,FP_CPI_TOTL_ZG,ES213,PT,0.0
2023,FP_CPI_TOTL_ZG,ES213,PT,3.6
2010,FP_CPI_TOTL_ZG,ES213,PT,1.8
2016,FP_CPI_TOTL_ZG,ES213,PT,0.1
2019,FP_CPI_TOTL_ZG,ES213,PT,0.9
2012,FP_CPI_TOTL_ZG,ES213,PT,2.4
2014,FP_CPI_TOTL_ZG,ES213,PT,0.2
2018,FP_CPI_TOTL_ZG,ES213,PT,1.6
2015,FP_CPI_TOTL_ZG,ES213,PT,-0.4
2017,FP_CPI_TOTL_ZG,ES213,PT,2.0
2013,FP_CPI_TOTL_ZG,ES213,PT,1.6
2011,FP_CPI_TOTL_ZG,ES213,PT,3.1
2021,FP_CPI_TOTL_ZG,ES212,PT,3.1
2020,FP_CPI_TOTL_ZG,ES212,PT,-0.2
2023,FP_CPI_TOTL_ZG,ES212,PT,3.9
2018,FP_CPI_TOTL_ZG,ES212,PT,1.8
2010,FP_CPI_TOTL_ZG,ES212,PT,1.5
2013,FP_CPI_TOTL_ZG,ES212,PT,1.6
2019,FP_CPI_TOTL_ZG,ES212,PT,1.1
2017,FP_CPI_TOTL_ZG,ES212,PT,1.9
2022,FP_CPI_TOTL_ZG,ES212,PT,7.7
2016,FP_CPI_TOTL_ZG,ES212,PT,0.0
2015,FP_CPI_TOTL_ZG,ES212,PT,-0.1
2014,FP_CPI_TOTL_ZG,ES212,PT,0.2
2012,FP_CPI_TOTL_ZG,ES212,PT,2.3
2011,FP_CPI_TOTL_ZG,ES212,PT,3.0
2014,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",,PT,0.4
2022,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",,PT,0.5
2020,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",,PT,0.5
2016,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",,PT,0.4
2021,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",,PT,0.5
2013,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",,PT,0.4
2017,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",,PT,0.4
2019,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",,PT,0.5
2018,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",,PT,0.5
2015,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",,PT,0.4
2021,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,PT,14.3
2020,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,PT,15.0
2013,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,PT,12.8
2010,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,PT,7.6
2014,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,PT,13.4
2016,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,PT,14.0
2015,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,PT,13.8
2017,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,PT,13.8
2019,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,PT,11.8
2012,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,PT,11.0
2011,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,PT,8.3
2018,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,PT,13.1
2018,GC_BAL_CASH_GD_ZS,,PT,0.7
2017,GC_BAL_CASH_GD_ZS,,PT,1.5
2020,GC_BAL_CASH_GD_ZS,,PT,-1.0
2012,GC_BAL_CASH_GD_ZS,,PT,-1.4
2021,GC_BAL_CASH_GD_ZS,,PT,0.8
2010,GC_BAL_CASH_GD_ZS,,PT,-2.7
2011,GC_BAL_CASH_GD_ZS,,PT,-2.6
2013,GC_BAL_CASH_GD_ZS,,PT,-1.2
2019,GC_BAL_CASH_GD_ZS,,PT,0.5
2014,GC_BAL_CASH_GD_ZS,,PT,-1.0
2015,GC_BAL_CASH_GD_ZS,,PT,-0.6
2016,GC_BAL_CASH_GD_ZS,,PT,-0.6
