Year,Teknologia berriztagarri mota,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2014,,,,Alegría-Dulantzi,W_PER_CAPITA,Alegría-Dulantzi,77.8
2020,,,,Alegría-Dulantzi,W_PER_CAPITA,Alegría-Dulantzi,80.3
2022,,,,Alegría-Dulantzi,W_PER_CAPITA,Alegría-Dulantzi,82.3
2015,,,,Alegría-Dulantzi,W_PER_CAPITA,Alegría-Dulantzi,78.5
2020,,,,Alkiza,W_PER_CAPITA,Alkiza,333.9
2016,,,,Alkiza,W_PER_CAPITA,Alkiza,333.0
2017,,,,Alkiza,W_PER_CAPITA,Alkiza,328.2
2012,,,,Alkiza,W_PER_CAPITA,Alkiza,295.4
2013,,,,Alkiza,W_PER_CAPITA,Alkiza,311.1
2023,,,,Alkiza,W_PER_CAPITA,Alkiza,394.5
2018,,,,Alkiza,W_PER_CAPITA,Alkiza,335.8
2014,,,,Alkiza,W_PER_CAPITA,Alkiza,319.3
2010,,,,Alkiza,W_PER_CAPITA,Alkiza,236.2
2019,,,,Alkiza,W_PER_CAPITA,Alkiza,332.0
2011,,,,Alkiza,W_PER_CAPITA,Alkiza,226.9
2015,,,,Alkiza,W_PER_CAPITA,Alkiza,336.4
2021,,,,Alkiza,W_PER_CAPITA,Alkiza,400.3
2022,,,,Alkiza,W_PER_CAPITA,Alkiza,385.7
2013,,,,ES48912,W_PER_CAPITA,ES48912,322.9
2023,,,,ES48912,W_PER_CAPITA,ES48912,303.7
2012,,,,ES48912,W_PER_CAPITA,ES48912,323.4
2016,,,,ES48912,W_PER_CAPITA,ES48912,325.0
2021,,,,ES48912,W_PER_CAPITA,ES48912,311.5
2017,,,,ES48912,W_PER_CAPITA,ES48912,324.1
2010,,,,ES48912,W_PER_CAPITA,ES48912,333.3
2015,,,,ES48912,W_PER_CAPITA,ES48912,323.0
2019,,,,ES48912,W_PER_CAPITA,ES48912,326.7
2018,,,,ES48912,W_PER_CAPITA,ES48912,323.3
2014,,,,ES48912,W_PER_CAPITA,ES48912,321.6
2011,,,,ES48912,W_PER_CAPITA,ES48912,329.4
2020,,,,ES48912,W_PER_CAPITA,ES48912,313.0
2022,,,,ES48912,W_PER_CAPITA,ES48912,311.6
2020,,,,ES20906,W_PER_CAPITA,ES20906,27.6
2010,,,,ES20906,W_PER_CAPITA,ES20906,0.0
2011,,,,ES20906,W_PER_CAPITA,ES20906,0.0
2017,,,,ES20906,W_PER_CAPITA,ES20906,0.0
2023,,,,ES20906,W_PER_CAPITA,ES20906,100.6
2021,,,,ES20906,W_PER_CAPITA,ES20906,27.5
2019,,,,ES20906,W_PER_CAPITA,ES20906,0.0
2014,,,,ES20906,W_PER_CAPITA,ES20906,0.0
2012,,,,ES20906,W_PER_CAPITA,ES20906,0.0
2015,,,,ES20906,W_PER_CAPITA,ES20906,0.0
2022,,,,ES20906,W_PER_CAPITA,ES20906,28.3
2013,,,,ES20906,W_PER_CAPITA,ES20906,0.0
2016,,,,ES20906,W_PER_CAPITA,ES20906,0.0
2018,,,,ES20906,W_PER_CAPITA,ES20906,0.0
2015,,,,Altzo,W_PER_CAPITA,Altzo,21.3
2012,,,,Altzo,W_PER_CAPITA,Altzo,8.5
2013,,,,Altzo,W_PER_CAPITA,Altzo,8.7
2019,,,,Altzo,W_PER_CAPITA,Altzo,20.0
2014,,,,Altzo,W_PER_CAPITA,Altzo,8.7
2021,,,,Altzo,W_PER_CAPITA,Altzo,393.4
2016,,,,Altzo,W_PER_CAPITA,Altzo,22.0
2010,,,,Altzo,W_PER_CAPITA,Altzo,8.5
2023,,,,Altzo,W_PER_CAPITA,Altzo,414.4
2018,,,,Altzo,W_PER_CAPITA,Altzo,21.3
2020,,,,Altzo,W_PER_CAPITA,Altzo,24.5
2011,,,,Altzo,W_PER_CAPITA,Altzo,8.4
2022,,,,Altzo,W_PER_CAPITA,Altzo,372.6
2017,,,,Altzo,W_PER_CAPITA,Altzo,21.8
2010,,,,Amezketa,W_PER_CAPITA,Amezketa,630.9
2015,,,,Amezketa,W_PER_CAPITA,Amezketa,668.4
2021,,,,Amezketa,W_PER_CAPITA,Amezketa,682.4
2019,,,,Amezketa,W_PER_CAPITA,Amezketa,674.5
2023,,,,Amezketa,W_PER_CAPITA,Amezketa,713.5
2014,,,,Amezketa,W_PER_CAPITA,Amezketa,657.9
2013,,,,Amezketa,W_PER_CAPITA,Amezketa,635.9
2018,,,,Amezketa,W_PER_CAPITA,Amezketa,684.1
2012,,,,Amezketa,W_PER_CAPITA,Amezketa,631.9
2016,,,,Amezketa,W_PER_CAPITA,Amezketa,673.7
2020,,,,Amezketa,W_PER_CAPITA,Amezketa,675.1
2022,,,,Amezketa,W_PER_CAPITA,Amezketa,702.4
2017,,,,Amezketa,W_PER_CAPITA,Amezketa,672.3
2011,,,,Amezketa,W_PER_CAPITA,Amezketa,631.4
2017,,,,ES48003,W_PER_CAPITA,ES48003,16.3
2022,,,,ES48003,W_PER_CAPITA,ES48003,36.6
2015,,,,ES48003,W_PER_CAPITA,ES48003,12.8
2020,,,,ES48003,W_PER_CAPITA,ES48003,25.4
2010,,,,ES48003,W_PER_CAPITA,ES48003,10.0
2021,,,,ES48003,W_PER_CAPITA,ES48003,36.3
2013,,,,ES48003,W_PER_CAPITA,ES48003,12.3
2023,,,,ES48003,W_PER_CAPITA,ES48003,90.0
2012,,,,ES48003,W_PER_CAPITA,ES48003,12.2
2018,,,,ES48003,W_PER_CAPITA,ES48003,17.3
2019,,,,ES48003,W_PER_CAPITA,ES48003,21.1
2014,,,,ES48003,W_PER_CAPITA,ES48003,13.0
2016,,,,ES48003,W_PER_CAPITA,ES48003,14.1
2011,,,,ES48003,W_PER_CAPITA,ES48003,11.1
2021,,,,ES48004,W_PER_CAPITA,ES48004,387.7
2017,,,,ES48004,W_PER_CAPITA,ES48004,42.2
2018,,,,ES48004,W_PER_CAPITA,ES48004,43.3
2020,,,,ES48004,W_PER_CAPITA,ES48004,43.6
2015,,,,ES48004,W_PER_CAPITA,ES48004,42.4
2010,,,,ES48004,W_PER_CAPITA,ES48004,22.7
2022,,,,ES48004,W_PER_CAPITA,ES48004,394.8
2016,,,,ES48004,W_PER_CAPITA,ES48004,42.2
2013,,,,ES48004,W_PER_CAPITA,ES48004,23.3
2014,,,,ES48004,W_PER_CAPITA,ES48004,44.4
2012,,,,ES48004,W_PER_CAPITA,ES48004,24.0
2019,,,,ES48004,W_PER_CAPITA,ES48004,42.7
2011,,,,ES48004,W_PER_CAPITA,ES48004,23.1
2023,,,,ES48004,W_PER_CAPITA,ES48004,441.3
2018,,,,Amurrio,W_PER_CAPITA,Amurrio,21.2
2020,,,,Amurrio,W_PER_CAPITA,Amurrio,23.4
2017,,,,Amurrio,W_PER_CAPITA,Amurrio,19.4
2021,,,,Amurrio,W_PER_CAPITA,Amurrio,28.5
2011,,,,Amurrio,W_PER_CAPITA,Amurrio,16.8
2014,,,,Amurrio,W_PER_CAPITA,Amurrio,16.8
2022,,,,Amurrio,W_PER_CAPITA,Amurrio,29.8
2015,,,,Amurrio,W_PER_CAPITA,Amurrio,16.8
2023,,,,Amurrio,W_PER_CAPITA,Amurrio,54.7
2013,,,,Amurrio,W_PER_CAPITA,Amurrio,16.5
2010,,,,Amurrio,W_PER_CAPITA,Amurrio,15.9
2012,,,,Amurrio,W_PER_CAPITA,Amurrio,16.7
2019,,,,Amurrio,W_PER_CAPITA,Amurrio,23.1
2016,,,,Amurrio,W_PER_CAPITA,Amurrio,18.1
2022,,,,Andoain,W_PER_CAPITA,Andoain,375.3
2023,,,,Andoain,W_PER_CAPITA,Andoain,402.5
2014,,,,Andoain,W_PER_CAPITA,Andoain,357.9
2017,,,,Andoain,W_PER_CAPITA,Andoain,356.7
2015,,,,Andoain,W_PER_CAPITA,Andoain,359.2
2010,,,,Andoain,W_PER_CAPITA,Andoain,355.8
2012,,,,Andoain,W_PER_CAPITA,Andoain,358.0
2011,,,,Andoain,W_PER_CAPITA,Andoain,355.3
2021,,,,Andoain,W_PER_CAPITA,Andoain,375.2
2020,,,,Andoain,W_PER_CAPITA,Andoain,359.7
2018,,,,Andoain,W_PER_CAPITA,Andoain,356.4
2019,,,,Andoain,W_PER_CAPITA,Andoain,356.8
2016,,,,Andoain,W_PER_CAPITA,Andoain,356.8
2013,,,,Andoain,W_PER_CAPITA,Andoain,357.6
2013,,,,Anoeta,W_PER_CAPITA,Anoeta,183.5
2010,,,,Anoeta,W_PER_CAPITA,Anoeta,155.8
2022,,,,Anoeta,W_PER_CAPITA,Anoeta,225.4
2011,,,,Anoeta,W_PER_CAPITA,Anoeta,156.4
2015,,,,Anoeta,W_PER_CAPITA,Anoeta,175.5
2014,,,,Anoeta,W_PER_CAPITA,Anoeta,178.7
2020,,,,Anoeta,W_PER_CAPITA,Anoeta,174.0
2017,,,,Anoeta,W_PER_CAPITA,Anoeta,176.7
2012,,,,Anoeta,W_PER_CAPITA,Anoeta,183.6
2019,,,,Anoeta,W_PER_CAPITA,Anoeta,172.6
2021,,,,Anoeta,W_PER_CAPITA,Anoeta,227.3
2016,,,,Anoeta,W_PER_CAPITA,Anoeta,177.4
2018,,,,Anoeta,W_PER_CAPITA,Anoeta,172.1
2023,,,,Anoeta,W_PER_CAPITA,Anoeta,309.2
2019,,,,Antzuola,W_PER_CAPITA,Antzuola,14.0
2017,,,,Antzuola,W_PER_CAPITA,Antzuola,11.1
2014,,,,Antzuola,W_PER_CAPITA,Antzuola,10.5
2020,,,,Antzuola,W_PER_CAPITA,Antzuola,18.5
2012,,,,Antzuola,W_PER_CAPITA,Antzuola,7.7
2013,,,,Antzuola,W_PER_CAPITA,Antzuola,7.7
2022,,,,Antzuola,W_PER_CAPITA,Antzuola,52.4
2018,,,,Antzuola,W_PER_CAPITA,Antzuola,12.3
2016,,,,Antzuola,W_PER_CAPITA,Antzuola,11.2
2010,,,,Antzuola,W_PER_CAPITA,Antzuola,7.8
2023,,,,Antzuola,W_PER_CAPITA,Antzuola,52.5
2011,,,,Antzuola,W_PER_CAPITA,Antzuola,7.8
2021,,,,Antzuola,W_PER_CAPITA,Antzuola,49.8
2015,,,,Antzuola,W_PER_CAPITA,Antzuola,10.7
2013,,,,Añana,W_PER_CAPITA,Añana,33.9
2017,,,,Añana,W_PER_CAPITA,Añana,33.3
2015,,,,Añana,W_PER_CAPITA,Añana,35.2
2011,,,,Añana,W_PER_CAPITA,Añana,34.5
2016,,,,Añana,W_PER_CAPITA,Añana,33.5
2018,,,,Añana,W_PER_CAPITA,Añana,32.3
2022,,,,Añana,W_PER_CAPITA,Añana,33.7
2023,,,,Añana,W_PER_CAPITA,Añana,35.9
2014,,,,Añana,W_PER_CAPITA,Añana,35.9
2019,,,,Añana,W_PER_CAPITA,Añana,33.5
2012,,,,Añana,W_PER_CAPITA,Añana,36.1
2010,,,,Añana,W_PER_CAPITA,Añana,34.7
2020,,,,Añana,W_PER_CAPITA,Añana,34.3
2021,,,,Añana,W_PER_CAPITA,Añana,33.7
2023,,,,ES48005,W_PER_CAPITA,ES48005,36.0
2016,,,,ES48005,W_PER_CAPITA,ES48005,0.0
2019,,,,ES48005,W_PER_CAPITA,ES48005,0.0
2022,,,,ES48005,W_PER_CAPITA,ES48005,35.4
2013,,,,ES48005,W_PER_CAPITA,ES48005,0.0
2017,,,,ES48005,W_PER_CAPITA,ES48005,0.0
2014,,,,ES48005,W_PER_CAPITA,ES48005,0.0
2020,,,,ES48005,W_PER_CAPITA,ES48005,0.0
2018,,,,ES48005,W_PER_CAPITA,ES48005,0.0
2010,,,,ES48005,W_PER_CAPITA,ES48005,0.0
2021,,,,ES48005,W_PER_CAPITA,ES48005,37.3
2015,,,,ES48005,W_PER_CAPITA,ES48005,0.0
2011,,,,ES48005,W_PER_CAPITA,ES48005,0.0
2012,,,,ES48005,W_PER_CAPITA,ES48005,0.0
2017,,,,Arama,W_PER_CAPITA,Arama,110.0
2013,,,,Arama,W_PER_CAPITA,Arama,104.5
2021,,,,Arama,W_PER_CAPITA,Arama,116.2
2012,,,,Arama,W_PER_CAPITA,Arama,104.5
2011,,,,Arama,W_PER_CAPITA,Arama,115.0
2015,,,,Arama,W_PER_CAPITA,Arama,109.5
2018,,,,Arama,W_PER_CAPITA,Arama,113.9
2023,,,,Arama,W_PER_CAPITA,Arama,143.8
2022,,,,Arama,W_PER_CAPITA,Arama,117.9
2016,,,,Arama,W_PER_CAPITA,Arama,109.0
2014,,,,Arama,W_PER_CAPITA,Arama,108.0
2010,,,,Arama,W_PER_CAPITA,Arama,0.0
2020,,,,Arama,W_PER_CAPITA,Arama,112.2
2019,,,,Arama,W_PER_CAPITA,Arama,112.7
2019,,,,Aramaio,W_PER_CAPITA,Aramaio,73.0
2020,,,,Aramaio,W_PER_CAPITA,Aramaio,74.6
2018,,,,Aramaio,W_PER_CAPITA,Aramaio,71.7
2011,,,,Aramaio,W_PER_CAPITA,Aramaio,37.5
2010,,,,Aramaio,W_PER_CAPITA,Aramaio,38.0
2014,,,,Aramaio,W_PER_CAPITA,Aramaio,52.8
2015,,,,Aramaio,W_PER_CAPITA,Aramaio,54.0
2022,,,,Aramaio,W_PER_CAPITA,Aramaio,95.4
2013,,,,Aramaio,W_PER_CAPITA,Aramaio,52.6
2017,,,,Aramaio,W_PER_CAPITA,Aramaio,54.6
2016,,,,Aramaio,W_PER_CAPITA,Aramaio,54.7
2012,,,,Aramaio,W_PER_CAPITA,Aramaio,44.8
2023,,,,Aramaio,W_PER_CAPITA,Aramaio,228.0
2021,,,,Aramaio,W_PER_CAPITA,Aramaio,83.0
2014,,,,ES48006,W_PER_CAPITA,ES48006,18.2
2020,,,,ES48006,W_PER_CAPITA,ES48006,27.1
2018,,,,ES48006,W_PER_CAPITA,ES48006,19.6
2011,,,,ES48006,W_PER_CAPITA,ES48006,16.6
2015,,,,ES48006,W_PER_CAPITA,ES48006,19.6
2021,,,,ES48006,W_PER_CAPITA,ES48006,38.6
2012,,,,ES48006,W_PER_CAPITA,ES48006,17.4
2016,,,,ES48006,W_PER_CAPITA,ES48006,19.8
2019,,,,ES48006,W_PER_CAPITA,ES48006,19.1
2013,,,,ES48006,W_PER_CAPITA,ES48006,19.2
2010,,,,ES48006,W_PER_CAPITA,ES48006,17.1
2022,,,,ES48006,W_PER_CAPITA,ES48006,39.3
2023,,,,ES48006,W_PER_CAPITA,ES48006,323.4
2017,,,,ES48006,W_PER_CAPITA,ES48006,20.1
2016,,,,ES48093,W_PER_CAPITA,ES48093,36.7
2012,,,,ES48093,W_PER_CAPITA,ES48093,33.9
2020,,,,ES48093,W_PER_CAPITA,ES48093,62.6
2014,,,,ES48093,W_PER_CAPITA,ES48093,37.9
2017,,,,ES48093,W_PER_CAPITA,ES48093,36.2
2021,,,,ES48093,W_PER_CAPITA,ES48093,65.2
2015,,,,ES48093,W_PER_CAPITA,ES48093,37.0
2022,,,,ES48093,W_PER_CAPITA,ES48093,65.3
2018,,,,ES48093,W_PER_CAPITA,ES48093,36.4
2011,,,,ES48093,W_PER_CAPITA,ES48093,34.1
2013,,,,ES48093,W_PER_CAPITA,ES48093,34.7
2010,,,,ES48093,W_PER_CAPITA,ES48093,29.3
2023,,,,ES48093,W_PER_CAPITA,ES48093,75.4
2019,,,,ES48093,W_PER_CAPITA,ES48093,35.9
2023,,,,Aretxabaleta,W_PER_CAPITA,Aretxabaleta,351.5
2011,,,,Aretxabaleta,W_PER_CAPITA,Aretxabaleta,306.2
2019,,,,Aretxabaleta,W_PER_CAPITA,Aretxabaleta,329.7
2016,,,,Aretxabaleta,W_PER_CAPITA,Aretxabaleta,317.9
2018,,,,Aretxabaleta,W_PER_CAPITA,Aretxabaleta,327.2
2010,,,,Aretxabaleta,W_PER_CAPITA,Aretxabaleta,308.4
2020,,,,Aretxabaleta,W_PER_CAPITA,Aretxabaleta,329.6
2021,,,,Aretxabaleta,W_PER_CAPITA,Aretxabaleta,335.0
2017,,,,Aretxabaleta,W_PER_CAPITA,Aretxabaleta,318.4
2012,,,,Aretxabaleta,W_PER_CAPITA,Aretxabaleta,319.6
2013,,,,Aretxabaleta,W_PER_CAPITA,Aretxabaleta,316.5
2015,,,,Aretxabaleta,W_PER_CAPITA,Aretxabaleta,317.2
2014,,,,Aretxabaleta,W_PER_CAPITA,Aretxabaleta,317.7
2022,,,,Aretxabaleta,W_PER_CAPITA,Aretxabaleta,334.3
2019,,,,Armiñón,W_PER_CAPITA,Armiñón,449.3
2010,,,,Armiñón,W_PER_CAPITA,Armiñón,497.5
2016,,,,Armiñón,W_PER_CAPITA,Armiñón,445.3
2023,,,,Armiñón,W_PER_CAPITA,Armiñón,421.0
