Year,Sexua,Lurralde historikoa,Units,Value
2021,Gizona,Gipuzkoa,Porcentaje,98.0
2020,Gizona,Gipuzkoa,Porcentaje,96.4
2019,Gizona,Gipuzkoa,Porcentaje,94.9
2018,Gizona,Gipuzkoa,Porcentaje,94.4
2017,Gizona,Gipuzkoa,Porcentaje,94.3
2016,Gizona,Gipuzkoa,Porcentaje,94.6
2015,Gizona,Gipuzkoa,Porcentaje,95.7
2014,Gizona,Gipuzkoa,Porcentaje,91.7
2013,Gizona,Gipuzkoa,Porcentaje,91.8
2012,Gizona,Gipuzkoa,Porcentaje,91.2
2011,Gizona,Gipuzkoa,Porcentaje,89.7
