Year,Sexua,Lurralde historikoa,Units,Value
2022,Gizona,Araba / Álava,PT,7.8
2016,Gizona,Araba / Álava,PT,6.1
2020,Gizona,Araba / Álava,PT,8.2
2017,Gizona,Araba / Álava,PT,6.1
2012,Gizona,Araba / Álava,PT,9.8
2015,Gizona,Araba / Álava,PT,5.7
2019,Gizona,Araba / Álava,PT,9.0
2018,Gizona,Bizkaia,PT,16.8
2017,Gizona,Bizkaia,PT,13.4
2016,Gizona,Bizkaia,PT,15.7
2015,Gizona,Bizkaia,PT,15.4
2014,Gizona,Bizkaia,PT,11.9
2013,Gizona,Bizkaia,PT,14.2
2012,Gizona,Bizkaia,PT,18.1
2023,Gizona,Bizkaia,PT,16.8
2022,Gizona,Bizkaia,PT,16.1
2021,Gizona,Bizkaia,PT,13.7
2020,Gizona,Bizkaia,PT,14.3
2019,Gizona,Bizkaia,PT,19.3
2018,Gizona,Gipuzkoa,PT,21.1
2017,Gizona,Gipuzkoa,PT,17.7
2016,Gizona,Gipuzkoa,PT,17.2
2015,Gizona,Gipuzkoa,PT,15.0
2014,Gizona,Gipuzkoa,PT,10.2
2013,Gizona,Gipuzkoa,PT,10.0
2012,Gizona,Gipuzkoa,PT,15.6
2023,Gizona,Gipuzkoa,PT,18.3
2022,Gizona,Gipuzkoa,PT,15.3
2021,Gizona,Gipuzkoa,PT,13.9
2020,Gizona,Gipuzkoa,PT,22.2
2019,Gizona,Gipuzkoa,PT,16.9
