Year,Series,Sexo,Tipo de renta,Territorio,Comarca,Municipio,Units,GeoCode,Value
2018,Renta personal media,,Renta total,,,Alonsotegi,Euros,Alonsotegi,17294.0
2017,Renta personal media,,Renta total,,,Alonsotegi,Euros,Alonsotegi,17141.0
2020,Renta personal media,,Renta total,,,Alonsotegi,Euros,Alonsotegi,18576.0
2015,Renta personal media,,Renta total,,,Alonsotegi,Euros,Alonsotegi,16456.0
2013,Renta personal media,,Renta total,,,Alonsotegi,Euros,Alonsotegi,15839.0
2021,Renta personal media,,Renta total,,,Alonsotegi,Euros,Alonsotegi,19375.0
2014,Renta personal media,,Renta total,,,Alonsotegi,Euros,Alonsotegi,16137.0
2019,Renta personal media,,Renta total,,,Alonsotegi,Euros,Alonsotegi,18504.0
2011,Renta personal media,,Renta total,,,Alonsotegi,Euros,Alonsotegi,16301.0
2019,Renta personal media,,Renta total,,,Altzaga,Euros,Altzaga,23037.0
2016,Renta personal media,,Renta total,,,Altzaga,Euros,Altzaga,21426.0
2011,Renta personal media,,Renta total,,,Altzaga,Euros,Altzaga,21184.0
2017,Renta personal media,,Renta total,,,Altzaga,Euros,Altzaga,22711.0
2021,Renta personal media,,Renta total,,,Altzaga,Euros,Altzaga,22787.0
2018,Renta personal media,,Renta total,,,Altzaga,Euros,Altzaga,21865.0
2014,Renta personal media,,Renta total,,,Altzaga,Euros,Altzaga,20767.0
2020,Renta personal media,,Renta total,,,Altzaga,Euros,Altzaga,21767.0
2013,Renta personal media,,Renta total,,,Altzaga,Euros,Altzaga,19715.0
2009,Renta personal media,,Renta total,,,Altzaga,Euros,Altzaga,20552.0
2015,Renta personal media,,Renta total,,,Altzaga,Euros,Altzaga,20698.0
2018,Renta personal media,,Renta total,,,Altzo,Euros,Altzo,23165.0
2013,Renta personal media,,Renta total,,,Altzo,Euros,Altzo,20029.0
2019,Renta personal media,,Renta total,,,Altzo,Euros,Altzo,25569.0
2020,Renta personal media,,Renta total,,,Altzo,Euros,Altzo,25781.0
2011,Renta personal media,,Renta total,,,Altzo,Euros,Altzo,20318.0
2016,Renta personal media,,Renta total,,,Altzo,Euros,Altzo,21424.0
2021,Renta personal media,,Renta total,,,Altzo,Euros,Altzo,26018.0
2014,Renta personal media,,Renta total,,,Altzo,Euros,Altzo,21019.0
2017,Renta personal media,,Renta total,,,Altzo,Euros,Altzo,23422.0
2015,Renta personal media,,Renta total,,,Altzo,Euros,Altzo,20919.0
2009,Renta personal media,,Renta total,,,Altzo,Euros,Altzo,20469.0
2013,Renta personal media,,Renta total,,,Amezketa,Euros,Amezketa,19101.0
2015,Renta personal media,,Renta total,,,Amezketa,Euros,Amezketa,20020.0
2019,Renta personal media,,Renta total,,,Amezketa,Euros,Amezketa,24849.0
2011,Renta personal media,,Renta total,,,Amezketa,Euros,Amezketa,19754.0
2020,Renta personal media,,Renta total,,,Amezketa,Euros,Amezketa,23815.0
2017,Renta personal media,,Renta total,,,Amezketa,Euros,Amezketa,22662.0
2016,Renta personal media,,Renta total,,,Amezketa,Euros,Amezketa,21165.0
2014,Renta personal media,,Renta total,,,Amezketa,Euros,Amezketa,19539.0
2021,Renta personal media,,Renta total,,,Amezketa,Euros,Amezketa,26035.0
2018,Renta personal media,,Renta total,,,Amezketa,Euros,Amezketa,23152.0
2009,Renta personal media,,Renta total,,,Amezketa,Euros,Amezketa,18559.0
2015,Renta personal media,,Renta total,,,Amorebieta-Etxano,Euros,Amorebieta-Etxano,19813.0
2019,Renta personal media,,Renta total,,,Amorebieta-Etxano,Euros,Amorebieta-Etxano,22606.0
2016,Renta personal media,,Renta total,,,Amorebieta-Etxano,Euros,Amorebieta-Etxano,20108.0
2013,Renta personal media,,Renta total,,,Amorebieta-Etxano,Euros,Amorebieta-Etxano,19244.0
2017,Renta personal media,,Renta total,,,Amorebieta-Etxano,Euros,Amorebieta-Etxano,21281.0
2011,Renta personal media,,Renta total,,,Amorebieta-Etxano,Euros,Amorebieta-Etxano,19264.0
2009,Renta personal media,,Renta total,,,Amorebieta-Etxano,Euros,Amorebieta-Etxano,20063.0
2020,Renta personal media,,Renta total,,,Amorebieta-Etxano,Euros,Amorebieta-Etxano,22329.0
2014,Renta personal media,,Renta total,,,Amorebieta-Etxano,Euros,Amorebieta-Etxano,19418.0
2021,Renta personal media,,Renta total,,,Amorebieta-Etxano,Euros,Amorebieta-Etxano,23373.0
2018,Renta personal media,,Renta total,,,Amorebieta-Etxano,Euros,Amorebieta-Etxano,21588.0
2009,Renta personal media,,Renta total,,,Amoroto,Euros,Amoroto,18070.0
2011,Renta personal media,,Renta total,,,Amoroto,Euros,Amoroto,18022.0
2020,Renta personal media,,Renta total,,,Amoroto,Euros,Amoroto,20947.0
2013,Renta personal media,,Renta total,,,Amoroto,Euros,Amoroto,18734.0
2019,Renta personal media,,Renta total,,,Amoroto,Euros,Amoroto,21585.0
2016,Renta personal media,,Renta total,,,Amoroto,Euros,Amoroto,19570.0
2017,Renta personal media,,Renta total,,,Amoroto,Euros,Amoroto,20428.0
2018,Renta personal media,,Renta total,,,Amoroto,Euros,Amoroto,20562.0
2021,Renta personal media,,Renta total,,,Amoroto,Euros,Amoroto,22518.0
2015,Renta personal media,,Renta total,,,Amoroto,Euros,Amoroto,19728.0
2014,Renta personal media,,Renta total,,,Amoroto,Euros,Amoroto,19149.0
2021,Renta personal media,,Renta total,,,Amurrio,Euros,Amurrio,21819.0
2019,Renta personal media,,Renta total,,,Amurrio,Euros,Amurrio,21462.0
2014,Renta personal media,,Renta total,,,Amurrio,Euros,Amurrio,19368.0
2020,Renta personal media,,Renta total,,,Amurrio,Euros,Amurrio,20748.0
2017,Renta personal media,,Renta total,,,Amurrio,Euros,Amurrio,19735.0
2009,Renta personal media,,Renta total,,,Amurrio,Euros,Amurrio,18556.0
2018,Renta personal media,,Renta total,,,Amurrio,Euros,Amurrio,20283.0
2011,Renta personal media,,Renta total,,,Amurrio,Euros,Amurrio,19311.0
2013,Renta personal media,,Renta total,,,Amurrio,Euros,Amurrio,19241.0
2015,Renta personal media,,Renta total,,,Amurrio,Euros,Amurrio,19394.0
2016,Renta personal media,,Renta total,,,Amurrio,Euros,Amurrio,18951.0
2016,Renta personal media,,Renta total,,,Andoain,Euros,Andoain,19266.0
2011,Renta personal media,,Renta total,,,Andoain,Euros,Andoain,18381.0
2019,Renta personal media,,Renta total,,,Andoain,Euros,Andoain,20959.0
2013,Renta personal media,,Renta total,,,Andoain,Euros,Andoain,18146.0
2018,Renta personal media,,Renta total,,,Andoain,Euros,Andoain,19955.0
2020,Renta personal media,,Renta total,,,Andoain,Euros,Andoain,21416.0
2014,Renta personal media,,Renta total,,,Andoain,Euros,Andoain,18113.0
2009,Renta personal media,,Renta total,,,Andoain,Euros,Andoain,18348.0
2017,Renta personal media,,Renta total,,,Andoain,Euros,Andoain,19644.0
2021,Renta personal media,,Renta total,,,Andoain,Euros,Andoain,21747.0
2015,Renta personal media,,Renta total,,,Andoain,Euros,Andoain,18741.0
2015,Renta personal media,,Renta total,,,Anoeta,Euros,Anoeta,18642.0
2009,Renta personal media,,Renta total,,,Anoeta,Euros,Anoeta,18362.0
2017,Renta personal media,,Renta total,,,Anoeta,Euros,Anoeta,20009.0
2021,Renta personal media,,Renta total,,,Anoeta,Euros,Anoeta,22736.0
2019,Renta personal media,,Renta total,,,Anoeta,Euros,Anoeta,21598.0
2020,Renta personal media,,Renta total,,,Anoeta,Euros,Anoeta,21891.0
2011,Renta personal media,,Renta total,,,Anoeta,Euros,Anoeta,19054.0
2013,Renta personal media,,Renta total,,,Anoeta,Euros,Anoeta,18771.0
2018,Renta personal media,,Renta total,,,Anoeta,Euros,Anoeta,20857.0
2016,Renta personal media,,Renta total,,,Anoeta,Euros,Anoeta,19379.0
2014,Renta personal media,,Renta total,,,Anoeta,Euros,Anoeta,18440.0
2019,Renta personal media,,Renta total,,,Antzuola,Euros,Antzuola,27158.0
2021,Renta personal media,,Renta total,,,Antzuola,Euros,Antzuola,27629.0
2009,Renta personal media,,Renta total,,,Antzuola,Euros,Antzuola,21863.0
2018,Renta personal media,,Renta total,,,Antzuola,Euros,Antzuola,26402.0
2017,Renta personal media,,Renta total,,,Antzuola,Euros,Antzuola,26209.0
2015,Renta personal media,,Renta total,,,Antzuola,Euros,Antzuola,23880.0
2013,Renta personal media,,Renta total,,,Antzuola,Euros,Antzuola,22174.0
2014,Renta personal media,,Renta total,,,Antzuola,Euros,Antzuola,22106.0
2011,Renta personal media,,Renta total,,,Antzuola,Euros,Antzuola,22297.0
2020,Renta personal media,,Renta total,,,Antzuola,Euros,Antzuola,26374.0
2016,Renta personal media,,Renta total,,,Antzuola,Euros,Antzuola,24507.0
2011,Renta personal media,,Renta total,,,Añana,Euros,Añana,17402.0
2019,Renta personal media,,Renta total,,,Añana,Euros,Añana,20319.0
2017,Renta personal media,,Renta total,,,Añana,Euros,Añana,17781.0
2016,Renta personal media,,Renta total,,,Añana,Euros,Añana,18693.0
2014,Renta personal media,,Renta total,,,Añana,Euros,Añana,14972.0
2020,Renta personal media,,Renta total,,,Añana,Euros,Añana,21415.0
2009,Renta personal media,,Renta total,,,Añana,Euros,Añana,16079.0
2018,Renta personal media,,Renta total,,,Añana,Euros,Añana,18082.0
2013,Renta personal media,,Renta total,,,Añana,Euros,Añana,17315.0
2021,Renta personal media,,Renta total,,,Añana,Euros,Añana,23465.0
2015,Renta personal media,,Renta total,,,Añana,Euros,Añana,16667.0
2013,Renta personal media,,Renta total,,,Arakaldo,Euros,Arakaldo,18638.0
2009,Renta personal media,,Renta total,,,Arakaldo,Euros,Arakaldo,22075.0
2020,Renta personal media,,Renta total,,,Arakaldo,Euros,Arakaldo,22825.0
2014,Renta personal media,,Renta total,,,Arakaldo,Euros,Arakaldo,21267.0
2019,Renta personal media,,Renta total,,,Arakaldo,Euros,Arakaldo,24590.0
2017,Renta personal media,,Renta total,,,Arakaldo,Euros,Arakaldo,24599.0
2018,Renta personal media,,Renta total,,,Arakaldo,Euros,Arakaldo,24073.0
2011,Renta personal media,,Renta total,,,Arakaldo,Euros,Arakaldo,20925.0
2016,Renta personal media,,Renta total,,,Arakaldo,Euros,Arakaldo,23201.0
2021,Renta personal media,,Renta total,,,Arakaldo,Euros,Arakaldo,23746.0
2015,Renta personal media,,Renta total,,,Arakaldo,Euros,Arakaldo,22495.0
2018,Renta personal media,,Renta total,,,Arama,Euros,Arama,27337.0
2011,Renta personal media,,Renta total,,,Arama,Euros,Arama,27309.0
2020,Renta personal media,,Renta total,,,Arama,Euros,Arama,26779.0
2016,Renta personal media,,Renta total,,,Arama,Euros,Arama,29115.0
2017,Renta personal media,,Renta total,,,Arama,Euros,Arama,26744.0
2021,Renta personal media,,Renta total,,,Arama,Euros,Arama,30795.0
2009,Renta personal media,,Renta total,,,Arama,Euros,Arama,22886.0
2014,Renta personal media,,Renta total,,,Arama,Euros,Arama,26847.0
2019,Renta personal media,,Renta total,,,Arama,Euros,Arama,28018.0
2015,Renta personal media,,Renta total,,,Arama,Euros,Arama,25810.0
2013,Renta personal media,,Renta total,,,Arama,Euros,Arama,23610.0
2020,Renta personal media,,Renta total,,,Aramaio,Euros,Aramaio,23349.0
2015,Renta personal media,,Renta total,,,Aramaio,Euros,Aramaio,22708.0
2013,Renta personal media,,Renta total,,,Aramaio,Euros,Aramaio,21107.0
2014,Renta personal media,,Renta total,,,Aramaio,Euros,Aramaio,21832.0
2021,Renta personal media,,Renta total,,,Aramaio,Euros,Aramaio,23976.0
2018,Renta personal media,,Renta total,,,Aramaio,Euros,Aramaio,23754.0
2009,Renta personal media,,Renta total,,,Aramaio,Euros,Aramaio,21567.0
2011,Renta personal media,,Renta total,,,Aramaio,Euros,Aramaio,23416.0
2019,Renta personal media,,Renta total,,,Aramaio,Euros,Aramaio,26138.0
2017,Renta personal media,,Renta total,,,Aramaio,Euros,Aramaio,23529.0
2016,Renta personal media,,Renta total,,,Aramaio,Euros,Aramaio,23924.0
2009,Renta personal media,,Renta total,,,Arantzazu,Euros,Arantzazu,21557.0
2017,Renta personal media,,Renta total,,,Arantzazu,Euros,Arantzazu,22824.0
2015,Renta personal media,,Renta total,,,Arantzazu,Euros,Arantzazu,22859.0
2011,Renta personal media,,Renta total,,,Arantzazu,Euros,Arantzazu,21951.0
2013,Renta personal media,,Renta total,,,Arantzazu,Euros,Arantzazu,21771.0
2019,Renta personal media,,Renta total,,,Arantzazu,Euros,Arantzazu,23313.0
2014,Renta personal media,,Renta total,,,Arantzazu,Euros,Arantzazu,20891.0
2016,Renta personal media,,Renta total,,,Arantzazu,Euros,Arantzazu,22492.0
2021,Renta personal media,,Renta total,,,Arantzazu,Euros,Arantzazu,23656.0
2020,Renta personal media,,Renta total,,,Arantzazu,Euros,Arantzazu,23587.0
2018,Renta personal media,,Renta total,,,Arantzazu,Euros,Arantzazu,22993.0
2017,Renta personal media,,Renta total,,,Areatza,Euros,Areatza,19488.0
2019,Renta personal media,,Renta total,,,Areatza,Euros,Areatza,20909.0
2009,Renta personal media,,Renta total,,,Areatza,Euros,Areatza,17359.0
2014,Renta personal media,,Renta total,,,Areatza,Euros,Areatza,18668.0
2020,Renta personal media,,Renta total,,,Areatza,Euros,Areatza,19948.0
2016,Renta personal media,,Renta total,,,Areatza,Euros,Areatza,18856.0
2013,Renta personal media,,Renta total,,,Areatza,Euros,Areatza,18161.0
2021,Renta personal media,,Renta total,,,Areatza,Euros,Areatza,20930.0
2011,Renta personal media,,Renta total,,,Areatza,Euros,Areatza,17780.0
2015,Renta personal media,,Renta total,,,Areatza,Euros,Areatza,18189.0
2018,Renta personal media,,Renta total,,,Areatza,Euros,Areatza,20017.0
2015,Renta personal media,,Renta total,,,Aretxabaleta,Euros,Aretxabaleta,21565.0
2019,Renta personal media,,Renta total,,,Aretxabaleta,Euros,Aretxabaleta,25272.0
2009,Renta personal media,,Renta total,,,Aretxabaleta,Euros,Aretxabaleta,22482.0
2016,Renta personal media,,Renta total,,,Aretxabaleta,Euros,Aretxabaleta,22353.0
2021,Renta personal media,,Renta total,,,Aretxabaleta,Euros,Aretxabaleta,25516.0
2017,Renta personal media,,Renta total,,,Aretxabaleta,Euros,Aretxabaleta,24059.0
2020,Renta personal media,,Renta total,,,Aretxabaleta,Euros,Aretxabaleta,24908.0
2018,Renta personal media,,Renta total,,,Aretxabaleta,Euros,Aretxabaleta,24171.0
2014,Renta personal media,,Renta total,,,Aretxabaleta,Euros,Aretxabaleta,19917.0
2011,Renta personal media,,Renta total,,,Aretxabaleta,Euros,Aretxabaleta,21282.0
2013,Renta personal media,,Renta total,,,Aretxabaleta,Euros,Aretxabaleta,20421.0
2017,Renta personal media,,Renta total,,,Armiñón,Euros,Armiñón,18666.0
2013,Renta personal media,,Renta total,,,Armiñón,Euros,Armiñón,16973.0
2014,Renta personal media,,Renta total,,,Armiñón,Euros,Armiñón,17324.0
2016,Renta personal media,,Renta total,,,Armiñón,Euros,Armiñón,17167.0
2021,Renta personal media,,Renta total,,,Armiñón,Euros,Armiñón,24889.0
2018,Renta personal media,,Renta total,,,Armiñón,Euros,Armiñón,20062.0
2019,Renta personal media,,Renta total,,,Armiñón,Euros,Armiñón,21256.0
2011,Renta personal media,,Renta total,,,Armiñón,Euros,Armiñón,18705.0
