Year,Okupazioa,Lurralde historikoa,Units,Value
2020,Goi-zuzendaritza,Bizkaia,PT,32.8
2023,Goi-zuzendaritza,Gipuzkoa,PT,26.3
2022,Goi-zuzendaritza,Gipuzkoa,PT,24.9
2020,Goi-zuzendaritza,Gipuzkoa,PT,26.9
2019,Goi-zuzendaritza,Gipuzkoa,PT,29.6
2018,Goi-zuzendaritza,Gipuzkoa,PT,33.8
2015,Goi-zuzendaritza,Gipuzkoa,PT,26.1
2013,Goi-zuzendaritza,Gipuzkoa,PT,33.8
2012,Goi-zuzendaritza,Gipuzkoa,PT,27.0
2014,Goi-zuzendaritza,Gipuzkoa,PT,32.4
2011,Goi-zuzendaritza,Gipuzkoa,PT,25.4
2010,Goi-zuzendaritza,Gipuzkoa,PT,28.4
2017,Goi-zuzendaritza,Gipuzkoa,PT,33.7
2016,Goi-zuzendaritza,Gipuzkoa,PT,33.2
2021,Goi-zuzendaritza,Gipuzkoa,PT,29.1
2011,Enpresaria,,PT,34.5
2010,Enpresaria,,PT,32.6
2015,Enpresaria,,PT,33.7
2018,Enpresaria,,PT,35.4
2013,Enpresaria,,PT,34.7
2020,Enpresaria,,PT,34.4
2019,Enpresaria,,PT,35.1
2021,Enpresaria,,PT,33.5
2023,Enpresaria,,PT,35.2
2022,Enpresaria,,PT,33.1
2017,Enpresaria,,PT,34.5
2016,Enpresaria,,PT,34.7
2012,Enpresaria,,PT,36.0
2014,Enpresaria,,PT,35.2
2011,Enpresaria,Araba / Álava,PT,31.8
2017,Enpresaria,Araba / Álava,PT,32.8
2022,Enpresaria,Araba / Álava,PT,30.7
2019,Enpresaria,Araba / Álava,PT,34.6
2015,Enpresaria,Araba / Álava,PT,36.7
2013,Enpresaria,Araba / Álava,PT,31.8
2010,Enpresaria,Araba / Álava,PT,35.2
2012,Enpresaria,Araba / Álava,PT,33.6
2014,Enpresaria,Araba / Álava,PT,33.3
2018,Enpresaria,Araba / Álava,PT,36.0
2016,Enpresaria,Araba / Álava,PT,34.9
2020,Enpresaria,Araba / Álava,PT,30.9
2021,Enpresaria,Araba / Álava,PT,31.3
2023,Enpresaria,Araba / Álava,PT,27.8
2018,Enpresaria,Bizkaia,PT,35.0
2023,Enpresaria,Bizkaia,PT,37.0
2022,Enpresaria,Bizkaia,PT,34.6
2021,Enpresaria,Bizkaia,PT,33.5
2019,Enpresaria,Bizkaia,PT,34.9
2017,Enpresaria,Bizkaia,PT,33.8
2020,Enpresaria,Bizkaia,PT,35.8
2016,Enpresaria,Bizkaia,PT,34.0
2015,Enpresaria,Bizkaia,PT,33.0
2014,Enpresaria,Bizkaia,PT,34.9
2013,Enpresaria,Bizkaia,PT,35.7
2012,Enpresaria,Bizkaia,PT,36.9
2011,Enpresaria,Bizkaia,PT,36.6
2010,Enpresaria,Bizkaia,PT,33.5
2012,Enpresaria,Gipuzkoa,PT,35.6
2016,Enpresaria,Gipuzkoa,PT,35.6
2013,Enpresaria,Gipuzkoa,PT,34.5
2019,Enpresaria,Gipuzkoa,PT,35.6
2021,Enpresaria,Gipuzkoa,PT,34.3
2020,Enpresaria,Gipuzkoa,PT,33.4
2023,Enpresaria,Gipuzkoa,PT,35.5
2022,Enpresaria,Gipuzkoa,PT,32.0
2018,Enpresaria,Gipuzkoa,PT,35.7
2017,Enpresaria,Gipuzkoa,PT,36.2
2015,Enpresaria,Gipuzkoa,PT,33.2
2014,Enpresaria,Gipuzkoa,PT,36.4
2011,Enpresaria,Gipuzkoa,PT,32.6
2010,Enpresaria,Gipuzkoa,PT,30.5
