Year,Lurralde historikoa,Sexua,Units,Value
2017,Gipuzkoa,Emakumea,PER_1000_LIVE_BIRTHS,0.37
2016,Gipuzkoa,Emakumea,PER_1000_LIVE_BIRTHS,0.68
2014,Gipuzkoa,Emakumea,PER_1000_LIVE_BIRTHS,0.96
2011,Gipuzkoa,Emakumea,PER_1000_LIVE_BIRTHS,1.75
2020,,Gizona,PER_1000_LIVE_BIRTHS,1.44
2021,,Gizona,PER_1000_LIVE_BIRTHS,1.75
2019,,Gizona,PER_1000_LIVE_BIRTHS,2.15
2017,,Gizona,PER_1000_LIVE_BIRTHS,1.47
2022,,Gizona,PER_1000_LIVE_BIRTHS,2.7
2012,,Gizona,PER_1000_LIVE_BIRTHS,1.58
2014,,Gizona,PER_1000_LIVE_BIRTHS,1.72
2013,,Gizona,PER_1000_LIVE_BIRTHS,1.93
2010,,Gizona,PER_1000_LIVE_BIRTHS,1.76
2018,,Gizona,PER_1000_LIVE_BIRTHS,2.06
2011,,Gizona,PER_1000_LIVE_BIRTHS,0.84
2015,,Gizona,PER_1000_LIVE_BIRTHS,1.64
2016,,Gizona,PER_1000_LIVE_BIRTHS,1.61
2023,,Gizona,PER_1000_LIVE_BIRTHS,1.89
2013,Araba / Álava,Gizona,PER_1000_LIVE_BIRTHS,2.47
2011,Araba / Álava,Gizona,PER_1000_LIVE_BIRTHS,1.72
2017,Araba / Álava,Gizona,PER_1000_LIVE_BIRTHS,0.67
2016,Araba / Álava,Gizona,PER_1000_LIVE_BIRTHS,1.94
2021,Araba / Álava,Gizona,PER_1000_LIVE_BIRTHS,3.24
2015,Araba / Álava,Gizona,PER_1000_LIVE_BIRTHS,1.22
2022,Araba / Álava,Gizona,PER_1000_LIVE_BIRTHS,5.1
2012,Araba / Álava,Gizona,PER_1000_LIVE_BIRTHS,2.3
2020,Araba / Álava,Gizona,PER_1000_LIVE_BIRTHS,1.62
2023,Araba / Álava,Gizona,PER_1000_LIVE_BIRTHS,4.28
2014,Araba / Álava,Gizona,PER_1000_LIVE_BIRTHS,1.79
2018,Araba / Álava,Gizona,PER_1000_LIVE_BIRTHS,2.89
2019,Araba / Álava,Gizona,PER_1000_LIVE_BIRTHS,0.76
2010,Araba / Álava,Gizona,PER_1000_LIVE_BIRTHS,2.3
2022,Bizkaia,Gizona,PER_1000_LIVE_BIRTHS,2.3
2021,Bizkaia,Gizona,PER_1000_LIVE_BIRTHS,1.38
2020,Bizkaia,Gizona,PER_1000_LIVE_BIRTHS,1.05
2019,Bizkaia,Gizona,PER_1000_LIVE_BIRTHS,2.76
2018,Bizkaia,Gizona,PER_1000_LIVE_BIRTHS,2.23
2017,Bizkaia,Gizona,PER_1000_LIVE_BIRTHS,1.81
2016,Bizkaia,Gizona,PER_1000_LIVE_BIRTHS,1.7
2015,Bizkaia,Gizona,PER_1000_LIVE_BIRTHS,1.43
2014,Bizkaia,Gizona,PER_1000_LIVE_BIRTHS,1.41
2013,Bizkaia,Gizona,PER_1000_LIVE_BIRTHS,1.0
2012,Bizkaia,Gizona,PER_1000_LIVE_BIRTHS,1.5
2011,Bizkaia,Gizona,PER_1000_LIVE_BIRTHS,0.93
2010,Bizkaia,Gizona,PER_1000_LIVE_BIRTHS,2.4
2023,Bizkaia,Gizona,PER_1000_LIVE_BIRTHS,1.76
2015,Gipuzkoa,Gizona,PER_1000_LIVE_BIRTHS,2.19
2014,Gipuzkoa,Gizona,PER_1000_LIVE_BIRTHS,2.16
2013,Gipuzkoa,Gizona,PER_1000_LIVE_BIRTHS,3.11
2012,Gipuzkoa,Gizona,PER_1000_LIVE_BIRTHS,1.37
2011,Gipuzkoa,Gizona,PER_1000_LIVE_BIRTHS,0.28
2017,Gipuzkoa,Gizona,PER_1000_LIVE_BIRTHS,1.38
2010,Gipuzkoa,Gizona,PER_1000_LIVE_BIRTHS,0.55
2023,Gipuzkoa,Gizona,PER_1000_LIVE_BIRTHS,0.86
2022,Gipuzkoa,Gizona,PER_1000_LIVE_BIRTHS,2.11
2021,Gipuzkoa,Gizona,PER_1000_LIVE_BIRTHS,1.57
2020,Gipuzkoa,Gizona,PER_1000_LIVE_BIRTHS,1.93
2019,Gipuzkoa,Gizona,PER_1000_LIVE_BIRTHS,1.92
2018,Gipuzkoa,Gizona,PER_1000_LIVE_BIRTHS,1.41
2016,Gipuzkoa,Gizona,PER_1000_LIVE_BIRTHS,1.3
