Year,Zerbitzu publikoak,Sexua,Lurralde historikoa,Units,Value
2017,Irakaskuntza,,Gipuzkoa,PT,72.7
2018,Irakaskuntza,,Gipuzkoa,PT,82.2
2016,Irakaskuntza,,Gipuzkoa,PT,63.6
2022,Irakaskuntza,,Gipuzkoa,PT,64.4
2019,Irakaskuntza,,Gipuzkoa,PT,80.3
2023,Irakaskuntza,,Gipuzkoa,PT,67.7
2020,Irakaskuntza,,Gipuzkoa,PT,66.0
2021,Irakaskuntza,,Gipuzkoa,PT,53.9
2022,Irakaskuntza,Emakumea,,PT,63.0
2019,Irakaskuntza,Emakumea,,PT,68.9
2021,Irakaskuntza,Emakumea,,PT,59.6
2023,Irakaskuntza,Emakumea,,PT,67.2
2018,Irakaskuntza,Emakumea,,PT,70.4
2017,Irakaskuntza,Emakumea,,PT,70.6
2016,Irakaskuntza,Emakumea,,PT,51.9
2020,Irakaskuntza,Emakumea,,PT,50.7
2021,Irakaskuntza,Emakumea,Araba / Álava,PT,52.7
2023,Irakaskuntza,Emakumea,Araba / Álava,PT,53.7
2018,Irakaskuntza,Emakumea,Araba / Álava,PT,80.0
2017,Irakaskuntza,Emakumea,Araba / Álava,PT,63.6
2019,Irakaskuntza,Emakumea,Araba / Álava,PT,20.0
2016,Irakaskuntza,Emakumea,Araba / Álava,PT,77.8
2020,Irakaskuntza,Emakumea,Araba / Álava,PT,20.0
2022,Irakaskuntza,Emakumea,Araba / Álava,PT,38.6
2016,Irakaskuntza,Emakumea,Bizkaia,PT,42.9
2021,Irakaskuntza,Emakumea,Bizkaia,PT,55.1
2019,Irakaskuntza,Emakumea,Bizkaia,PT,60.9
2022,Irakaskuntza,Emakumea,Bizkaia,PT,74.0
2023,Irakaskuntza,Emakumea,Bizkaia,PT,70.0
2018,Irakaskuntza,Emakumea,Bizkaia,PT,57.1
2017,Irakaskuntza,Emakumea,Bizkaia,PT,72.2
2020,Irakaskuntza,Emakumea,Bizkaia,PT,50.0
2018,Irakaskuntza,Emakumea,Gipuzkoa,PT,78.3
2023,Irakaskuntza,Emakumea,Gipuzkoa,PT,69.1
2016,Irakaskuntza,Emakumea,Gipuzkoa,PT,50.0
2021,Irakaskuntza,Emakumea,Gipuzkoa,PT,63.0
2019,Irakaskuntza,Emakumea,Gipuzkoa,PT,81.8
2020,Irakaskuntza,Emakumea,Gipuzkoa,PT,66.7
2017,Irakaskuntza,Emakumea,Gipuzkoa,PT,72.7
2022,Irakaskuntza,Emakumea,Gipuzkoa,PT,62.9
2023,Irakaskuntza,Gizona,,PT,63.0
2019,Irakaskuntza,Gizona,,PT,75.9
2016,Irakaskuntza,Gizona,,PT,68.6
2017,Irakaskuntza,Gizona,,PT,68.5
2022,Irakaskuntza,Gizona,,PT,58.9
2020,Irakaskuntza,Gizona,,PT,62.9
2021,Irakaskuntza,Gizona,,PT,47.9
2018,Irakaskuntza,Gizona,,PT,71.4
2017,Irakaskuntza,Gizona,Araba / Álava,PT,57.1
2019,Irakaskuntza,Gizona,Araba / Álava,PT,57.1
2020,Irakaskuntza,Gizona,Araba / Álava,PT,50.0
2016,Irakaskuntza,Gizona,Araba / Álava,PT,77.8
2021,Irakaskuntza,Gizona,Araba / Álava,PT,66.9
2018,Irakaskuntza,Gizona,Araba / Álava,PT,71.4
2023,Irakaskuntza,Gizona,Araba / Álava,PT,59.1
2022,Irakaskuntza,Gizona,Araba / Álava,PT,45.6
2020,Irakaskuntza,Gizona,Bizkaia,PT,66.7
2021,Irakaskuntza,Gizona,Bizkaia,PT,50.6
2019,Irakaskuntza,Gizona,Bizkaia,PT,78.9
2022,Irakaskuntza,Gizona,Bizkaia,PT,51.2
2023,Irakaskuntza,Gizona,Bizkaia,PT,60.8
2016,Irakaskuntza,Gizona,Bizkaia,PT,54.5
2018,Irakaskuntza,Gizona,Bizkaia,PT,59.3
2017,Irakaskuntza,Gizona,Bizkaia,PT,72.2
2021,Irakaskuntza,Gizona,Gipuzkoa,PT,42.1
2017,Irakaskuntza,Gizona,Gipuzkoa,PT,72.7
2020,Irakaskuntza,Gizona,Gipuzkoa,PT,65.2
2022,Irakaskuntza,Gizona,Gipuzkoa,PT,65.7
2019,Irakaskuntza,Gizona,Gipuzkoa,PT,78.6
2023,Irakaskuntza,Gizona,Gipuzkoa,PT,66.1
2018,Irakaskuntza,Gizona,Gipuzkoa,PT,86.4
2016,Irakaskuntza,Gizona,Gipuzkoa,PT,80.0
2017,Osasun-laguntza,,,PT,79.0
2013,Osasun-laguntza,,,PT,50.9
2018,Osasun-laguntza,,,PT,84.3
2011,Osasun-laguntza,,,PT,73.1
2014,Osasun-laguntza,,,PT,69.5
2019,Osasun-laguntza,,,PT,81.5
2022,Osasun-laguntza,,,PT,59.5
2021,Osasun-laguntza,,,PT,75.0
2023,Osasun-laguntza,,,PT,62.7
2020,Osasun-laguntza,,,PT,77.2
2012,Osasun-laguntza,,,PT,70.1
2016,Osasun-laguntza,,,PT,67.2
2015,Osasun-laguntza,,,PT,67.5
2017,Osasun-laguntza,,Araba / Álava,PT,73.1
2023,Osasun-laguntza,,Araba / Álava,PT,63.2
2019,Osasun-laguntza,,Araba / Álava,PT,71.4
2021,Osasun-laguntza,,Araba / Álava,PT,79.5
2016,Osasun-laguntza,,Araba / Álava,PT,84.2
2020,Osasun-laguntza,,Araba / Álava,PT,63.0
2018,Osasun-laguntza,,Araba / Álava,PT,95.0
2022,Osasun-laguntza,,Araba / Álava,PT,61.6
2021,Osasun-laguntza,,Bizkaia,PT,74.7
2019,Osasun-laguntza,,Bizkaia,PT,73.9
2022,Osasun-laguntza,,Bizkaia,PT,58.8
2017,Osasun-laguntza,,Bizkaia,PT,66.7
2016,Osasun-laguntza,,Bizkaia,PT,54.7
2023,Osasun-laguntza,,Bizkaia,PT,49.7
2020,Osasun-laguntza,,Bizkaia,PT,80.8
2018,Osasun-laguntza,,Bizkaia,PT,76.4
2018,Osasun-laguntza,,Gipuzkoa,PT,89.1
2016,Osasun-laguntza,,Gipuzkoa,PT,74.5
2020,Osasun-laguntza,,Gipuzkoa,PT,80.7
2019,Osasun-laguntza,,Gipuzkoa,PT,89.1
2021,Osasun-laguntza,,Gipuzkoa,PT,74.5
2022,Osasun-laguntza,,Gipuzkoa,PT,59.4
2023,Osasun-laguntza,,Gipuzkoa,PT,70.6
2017,Osasun-laguntza,,Gipuzkoa,PT,93.8
2016,Osasun-laguntza,Emakumea,,PT,61.3
2017,Osasun-laguntza,Emakumea,,PT,76.7
2021,Osasun-laguntza,Emakumea,,PT,66.3
2019,Osasun-laguntza,Emakumea,,PT,80.0
2023,Osasun-laguntza,Emakumea,,PT,55.3
2020,Osasun-laguntza,Emakumea,,PT,74.6
2022,Osasun-laguntza,Emakumea,,PT,63.5
2018,Osasun-laguntza,Emakumea,,PT,84.7
2022,Osasun-laguntza,Emakumea,Araba / Álava,PT,77.3
2021,Osasun-laguntza,Emakumea,Araba / Álava,PT,44.3
2020,Osasun-laguntza,Emakumea,Araba / Álava,PT,62.5
2023,Osasun-laguntza,Emakumea,Araba / Álava,PT,46.7
2017,Osasun-laguntza,Emakumea,Araba / Álava,PT,75.0
2018,Osasun-laguntza,Emakumea,Araba / Álava,PT,100.0
2016,Osasun-laguntza,Emakumea,Araba / Álava,PT,77.8
2019,Osasun-laguntza,Emakumea,Araba / Álava,PT,66.7
2020,Osasun-laguntza,Emakumea,Bizkaia,PT,80.0
2023,Osasun-laguntza,Emakumea,Bizkaia,PT,39.9
2017,Osasun-laguntza,Emakumea,Bizkaia,PT,60.0
2021,Osasun-laguntza,Emakumea,Bizkaia,PT,63.4
2018,Osasun-laguntza,Emakumea,Bizkaia,PT,68.0
2022,Osasun-laguntza,Emakumea,Bizkaia,PT,70.2
2019,Osasun-laguntza,Emakumea,Bizkaia,PT,72.0
2016,Osasun-laguntza,Emakumea,Bizkaia,PT,48.1
2016,Osasun-laguntza,Emakumea,Gipuzkoa,PT,69.2
2017,Osasun-laguntza,Emakumea,Gipuzkoa,PT,95.7
2018,Osasun-laguntza,Emakumea,Gipuzkoa,PT,95.8
2022,Osasun-laguntza,Emakumea,Gipuzkoa,PT,54.7
2020,Osasun-laguntza,Emakumea,Gipuzkoa,PT,76.7
2023,Osasun-laguntza,Emakumea,Gipuzkoa,PT,67.8
2021,Osasun-laguntza,Emakumea,Gipuzkoa,PT,70.3
2019,Osasun-laguntza,Emakumea,Gipuzkoa,PT,88.2
2018,Osasun-laguntza,Gizona,,PT,83.9
2023,Osasun-laguntza,Gizona,,PT,70.8
2019,Osasun-laguntza,Gizona,,PT,83.1
2017,Osasun-laguntza,Gizona,,PT,81.4
2021,Osasun-laguntza,Gizona,,PT,85.3
2020,Osasun-laguntza,Gizona,,PT,80.0
2016,Osasun-laguntza,Gizona,,PT,73.7
2022,Osasun-laguntza,Gizona,,PT,55.6
2017,Osasun-laguntza,Gizona,Araba / Álava,PT,71.4
2022,Osasun-laguntza,Gizona,Araba / Álava,PT,44.8
2021,Osasun-laguntza,Gizona,Araba / Álava,PT,100.0
2016,Osasun-laguntza,Gizona,Araba / Álava,PT,90.0
2023,Osasun-laguntza,Gizona,Araba / Álava,PT,73.3
2019,Osasun-laguntza,Gizona,Araba / Álava,PT,75.0
2020,Osasun-laguntza,Gizona,Araba / Álava,PT,63.6
2018,Osasun-laguntza,Gizona,Araba / Álava,PT,90.0
2023,Osasun-laguntza,Gizona,Bizkaia,PT,63.1
2018,Osasun-laguntza,Gizona,Bizkaia,PT,83.3
2016,Osasun-laguntza,Gizona,Bizkaia,PT,61.5
2017,Osasun-laguntza,Gizona,Bizkaia,PT,75.0
2019,Osasun-laguntza,Gizona,Bizkaia,PT,76.2
2020,Osasun-laguntza,Gizona,Bizkaia,PT,81.5
2021,Osasun-laguntza,Gizona,Bizkaia,PT,89.8
2022,Osasun-laguntza,Gizona,Bizkaia,PT,44.3
2021,Osasun-laguntza,Gizona,Gipuzkoa,PT,79.6
2023,Osasun-laguntza,Gizona,Gipuzkoa,PT,74.0
2019,Osasun-laguntza,Gizona,Gipuzkoa,PT,90.0
2016,Osasun-laguntza,Gizona,Gipuzkoa,PT,81.0
2017,Osasun-laguntza,Gizona,Gipuzkoa,PT,92.0
2022,Osasun-laguntza,Gizona,Gipuzkoa,PT,63.4
2020,Osasun-laguntza,Gizona,Gipuzkoa,PT,85.2
2018,Osasun-laguntza,Gizona,Gipuzkoa,PT,81.8
2016,Pentsioen kudeaketa,,,PT,23.5
2017,Pentsioen kudeaketa,,,PT,40.2
2019,Pentsioen kudeaketa,,,PT,30.9
2012,Pentsioen kudeaketa,,,PT,36.0
2015,Pentsioen kudeaketa,,,PT,21.5
2021,Pentsioen kudeaketa,,,PT,39.2
2011,Pentsioen kudeaketa,,,PT,32.0
2013,Pentsioen kudeaketa,,,PT,21.2
2023,Pentsioen kudeaketa,,,PT,52.4
2020,Pentsioen kudeaketa,,,PT,42.2
2018,Pentsioen kudeaketa,,,PT,19.1
2022,Pentsioen kudeaketa,,,PT,37.0
2014,Pentsioen kudeaketa,,,PT,21.3
2017,Pentsioen kudeaketa,,Araba / Álava,PT,65.2
2016,Pentsioen kudeaketa,,Araba / Álava,PT,21.4
2020,Pentsioen kudeaketa,,Araba / Álava,PT,37.0
2022,Pentsioen kudeaketa,,Araba / Álava,PT,28.9
2018,Pentsioen kudeaketa,,Araba / Álava,PT,11.1
2021,Pentsioen kudeaketa,,Araba / Álava,PT,27.6
2023,Pentsioen kudeaketa,,Araba / Álava,PT,58.7
2019,Pentsioen kudeaketa,,Araba / Álava,PT,0.0
2016,Pentsioen kudeaketa,,Bizkaia,PT,20.5
2018,Pentsioen kudeaketa,,Bizkaia,PT,25.0
2022,Pentsioen kudeaketa,,Bizkaia,PT,42.4
2021,Pentsioen kudeaketa,,Bizkaia,PT,56.1
2017,Pentsioen kudeaketa,,Bizkaia,PT,22.2
2023,Pentsioen kudeaketa,,Bizkaia,PT,42.7
2019,Pentsioen kudeaketa,,Bizkaia,PT,25.6
2020,Pentsioen kudeaketa,,Bizkaia,PT,43.5
2022,Pentsioen kudeaketa,,Gipuzkoa,PT,36.3
2019,Pentsioen kudeaketa,,Gipuzkoa,PT,39.3
2018,Pentsioen kudeaketa,,Gipuzkoa,PT,15.6
2016,Pentsioen kudeaketa,,Gipuzkoa,PT,27.3
2020,Pentsioen kudeaketa,,Gipuzkoa,PT,43.6
2021,Pentsioen kudeaketa,,Gipuzkoa,PT,32.3
2017,Pentsioen kudeaketa,,Gipuzkoa,PT,41.9
2023,Pentsioen kudeaketa,,Gipuzkoa,PT,56.0
2020,Pentsioen kudeaketa,Emakumea,,PT,36.4
2023,Pentsioen kudeaketa,Emakumea,,PT,48.5
2022,Pentsioen kudeaketa,Emakumea,,PT,34.3
2018,Pentsioen kudeaketa,Emakumea,,PT,19.3
2021,Pentsioen kudeaketa,Emakumea,,PT,34.1
2017,Pentsioen kudeaketa,Emakumea,,PT,45.1
2019,Pentsioen kudeaketa,Emakumea,,PT,24.2
2016,Pentsioen kudeaketa,Emakumea,,PT,20.0
2017,Pentsioen kudeaketa,Emakumea,Araba / Álava,PT,63.6
2020,Pentsioen kudeaketa,Emakumea,Araba / Álava,PT,33.3
2018,Pentsioen kudeaketa,Emakumea,Araba / Álava,PT,20.0
2019,Pentsioen kudeaketa,Emakumea,Araba / Álava,PT,0.0
2022,Pentsioen kudeaketa,Emakumea,Araba / Álava,PT,38.6
2023,Pentsioen kudeaketa,Emakumea,Araba / Álava,PT,70.7
2021,Pentsioen kudeaketa,Emakumea,Araba / Álava,PT,0.0
2016,Pentsioen kudeaketa,Emakumea,Araba / Álava,PT,28.6
2018,Pentsioen kudeaketa,Emakumea,Bizkaia,PT,30.4
2019,Pentsioen kudeaketa,Emakumea,Bizkaia,PT,20.8
2020,Pentsioen kudeaketa,Emakumea,Bizkaia,PT,31.8
2021,Pentsioen kudeaketa,Emakumea,Bizkaia,PT,44.5
2022,Pentsioen kudeaketa,Emakumea,Bizkaia,PT,33.4
2023,Pentsioen kudeaketa,Emakumea,Bizkaia,PT,34.0
2017,Pentsioen kudeaketa,Emakumea,Bizkaia,PT,20.0
2016,Pentsioen kudeaketa,Emakumea,Bizkaia,PT,16.7
2018,Pentsioen kudeaketa,Emakumea,Gipuzkoa,PT,8.3
2019,Pentsioen kudeaketa,Emakumea,Gipuzkoa,PT,29.4
2023,Pentsioen kudeaketa,Emakumea,Gipuzkoa,PT,52.2
2022,Pentsioen kudeaketa,Emakumea,Gipuzkoa,PT,33.2
2017,Pentsioen kudeaketa,Emakumea,Gipuzkoa,PT,60.0
2020,Pentsioen kudeaketa,Emakumea,Gipuzkoa,PT,41.4
2021,Pentsioen kudeaketa,Emakumea,Gipuzkoa,PT,31.8
2016,Pentsioen kudeaketa,Emakumea,Gipuzkoa,PT,20.8
2023,Pentsioen kudeaketa,Gizona,,PT,57.1
2019,Pentsioen kudeaketa,Gizona,,PT,39.6
2016,Pentsioen kudeaketa,Gizona,,PT,27.7
2021,Pentsioen kudeaketa,Gizona,,PT,45.7
2022,Pentsioen kudeaketa,Gizona,,PT,39.5
2020,Pentsioen kudeaketa,Gizona,,PT,48.4
2018,Pentsioen kudeaketa,Gizona,,PT,19.0
2017,Pentsioen kudeaketa,Gizona,,PT,35.3
2016,Pentsioen kudeaketa,Gizona,Araba / Álava,PT,14.3
2020,Pentsioen kudeaketa,Gizona,Araba / Álava,PT,41.7
2019,Pentsioen kudeaketa,Gizona,Araba / Álava,PT,0.0
2022,Pentsioen kudeaketa,Gizona,Araba / Álava,PT,18.5
2018,Pentsioen kudeaketa,Gizona,Araba / Álava,PT,0.0
2023,Pentsioen kudeaketa,Gizona,Araba / Álava,PT,51.0
2017,Pentsioen kudeaketa,Gizona,Araba / Álava,PT,66.7
2021,Pentsioen kudeaketa,Gizona,Araba / Álava,PT,43.2
2021,Pentsioen kudeaketa,Gizona,Bizkaia,PT,74.0
2023,Pentsioen kudeaketa,Gizona,Bizkaia,PT,56.4
2018,Pentsioen kudeaketa,Gizona,Bizkaia,PT,20.7
2016,Pentsioen kudeaketa,Gizona,Bizkaia,PT,25.0
2017,Pentsioen kudeaketa,Gizona,Bizkaia,PT,25.0
2020,Pentsioen kudeaketa,Gizona,Bizkaia,PT,54.2
2022,Pentsioen kudeaketa,Gizona,Bizkaia,PT,55.2
2019,Pentsioen kudeaketa,Gizona,Bizkaia,PT,33.3
2019,Pentsioen kudeaketa,Gizona,Gipuzkoa,PT,51.9
2020,Pentsioen kudeaketa,Gizona,Gipuzkoa,PT,46.2
2023,Pentsioen kudeaketa,Gizona,Gipuzkoa,PT,60.9
2022,Pentsioen kudeaketa,Gizona,Gipuzkoa,PT,38.1
2016,Pentsioen kudeaketa,Gizona,Gipuzkoa,PT,35.0
2017,Pentsioen kudeaketa,Gizona,Gipuzkoa,PT,26.1
2018,Pentsioen kudeaketa,Gizona,Gipuzkoa,PT,23.8
2021,Pentsioen kudeaketa,Gizona,Gipuzkoa,PT,32.9
2021,Justizia-administrazioa,,,PT,16.9
2016,Justizia-administrazioa,,,PT,11.4
2015,Justizia-administrazioa,,,PT,11.2
2019,Justizia-administrazioa,,,PT,19.4
2022,Justizia-administrazioa,,,PT,20.6
2013,Justizia-administrazioa,,,PT,13.5
2012,Justizia-administrazioa,,,PT,9.5
2017,Justizia-administrazioa,,,PT,19.4
2018,Justizia-administrazioa,,,PT,19.4
2011,Justizia-administrazioa,,,PT,15.0
2014,Justizia-administrazioa,,,PT,12.0
2020,Justizia-administrazioa,,,PT,17.5
2023,Justizia-administrazioa,,,PT,22.4
2019,Justizia-administrazioa,,Araba / Álava,PT,0.0
2020,Justizia-administrazioa,,Araba / Álava,PT,22.2
2016,Justizia-administrazioa,,Araba / Álava,PT,10.5
2021,Justizia-administrazioa,,Araba / Álava,PT,8.9
2023,Justizia-administrazioa,,Araba / Álava,PT,14.5
2022,Justizia-administrazioa,,Araba / Álava,PT,15.0
2018,Justizia-administrazioa,,Araba / Álava,PT,12.5
2017,Justizia-administrazioa,,Araba / Álava,PT,23.1
2022,Justizia-administrazioa,,Bizkaia,PT,30.0
2017,Justizia-administrazioa,,Bizkaia,PT,18.9
2023,Justizia-administrazioa,,Bizkaia,PT,33.1
2020,Justizia-administrazioa,,Bizkaia,PT,16.3
2016,Justizia-administrazioa,,Bizkaia,PT,10.4
2018,Justizia-administrazioa,,Bizkaia,PT,26.5
2019,Justizia-administrazioa,,Bizkaia,PT,12.5
2021,Justizia-administrazioa,,Bizkaia,PT,21.2
2017,Justizia-administrazioa,,Gipuzkoa,PT,17.8
2021,Justizia-administrazioa,,Gipuzkoa,PT,16.0
2019,Justizia-administrazioa,,Gipuzkoa,PT,27.1
2023,Justizia-administrazioa,,Gipuzkoa,PT,18.6
2018,Justizia-administrazioa,,Gipuzkoa,PT,14.0
2022,Justizia-administrazioa,,Gipuzkoa,PT,16.7
2020,Justizia-administrazioa,,Gipuzkoa,PT,16.0
2016,Justizia-administrazioa,,Gipuzkoa,PT,13.2
2016,Justizia-administrazioa,Emakumea,,PT,13.5
2023,Justizia-administrazioa,Emakumea,,PT,27.0
2019,Justizia-administrazioa,Emakumea,,PT,17.9
2018,Justizia-administrazioa,Emakumea,,PT,16.7
2022,Justizia-administrazioa,Emakumea,,PT,17.5
2020,Justizia-administrazioa,Emakumea,,PT,17.7
2017,Justizia-administrazioa,Emakumea,,PT,25.5
2021,Justizia-administrazioa,Emakumea,,PT,10.6
2018,Justizia-administrazioa,Emakumea,Araba / Álava,PT,14.3
2020,Justizia-administrazioa,Emakumea,Araba / Álava,PT,26.7
2017,Justizia-administrazioa,Emakumea,Araba / Álava,PT,16.7
2016,Justizia-administrazioa,Emakumea,Araba / Álava,PT,11.1
2019,Justizia-administrazioa,Emakumea,Araba / Álava,PT,0.0
2023,Justizia-administrazioa,Emakumea,Araba / Álava,PT,29.1
2022,Justizia-administrazioa,Emakumea,Araba / Álava,PT,11.0
2021,Justizia-administrazioa,Emakumea,Araba / Álava,PT,0.0
2017,Justizia-administrazioa,Emakumea,Bizkaia,PT,27.8
2019,Justizia-administrazioa,Emakumea,Bizkaia,PT,9.1
2021,Justizia-administrazioa,Emakumea,Bizkaia,PT,22.8
2022,Justizia-administrazioa,Emakumea,Bizkaia,PT,28.4
2018,Justizia-administrazioa,Emakumea,Bizkaia,PT,20.0
2016,Justizia-administrazioa,Emakumea,Bizkaia,PT,8.3
2020,Justizia-administrazioa,Emakumea,Bizkaia,PT,18.2
2023,Justizia-administrazioa,Emakumea,Bizkaia,PT,35.9
2018,Justizia-administrazioa,Emakumea,Gipuzkoa,PT,14.3
2016,Justizia-administrazioa,Emakumea,Gipuzkoa,PT,21.1
2017,Justizia-administrazioa,Emakumea,Gipuzkoa,PT,28.6
2019,Justizia-administrazioa,Emakumea,Gipuzkoa,PT,25.8
2020,Justizia-administrazioa,Emakumea,Gipuzkoa,PT,12.0
2021,Justizia-administrazioa,Emakumea,Gipuzkoa,PT,5.0
2022,Justizia-administrazioa,Emakumea,Gipuzkoa,PT,11.9
2023,Justizia-administrazioa,Emakumea,Gipuzkoa,PT,20.3
2016,Justizia-administrazioa,Gizona,,PT,9.4
2018,Justizia-administrazioa,Gizona,,PT,21.7
2023,Justizia-administrazioa,Gizona,,PT,17.1
2022,Justizia-administrazioa,Gizona,,PT,23.6
2019,Justizia-administrazioa,Gizona,,PT,21.2
2021,Justizia-administrazioa,Gizona,,PT,24.3
2017,Justizia-administrazioa,Gizona,,PT,14.0
2020,Justizia-administrazioa,Gizona,,PT,17.2
2020,Justizia-administrazioa,Gizona,Araba / Álava,PT,16.7
2023,Justizia-administrazioa,Gizona,Araba / Álava,PT,5.2
2016,Justizia-administrazioa,Gizona,Araba / Álava,PT,10.0
2017,Justizia-administrazioa,Gizona,Araba / Álava,PT,28.6
2019,Justizia-administrazioa,Gizona,Araba / Álava,PT,0.0
2022,Justizia-administrazioa,Gizona,Araba / Álava,PT,19.7
2021,Justizia-administrazioa,Gizona,Araba / Álava,PT,14.5
2018,Justizia-administrazioa,Gizona,Araba / Álava,PT,11.1
