Year,Series,Sexua,Lurralde historikoa,Units,Value
2012,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Bizkaia,PER_100000_POP,1.8
2016,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Bizkaia,PER_100000_POP,1.8
2019,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Bizkaia,PER_100000_POP,1.6
2015,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Bizkaia,PER_100000_POP,1.8
2017,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Bizkaia,PER_100000_POP,2.2
2013,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Bizkaia,PER_100000_POP,1.8
2014,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Bizkaia,PER_100000_POP,1.8
2011,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Bizkaia,PER_100000_POP,1.6
2022,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Bizkaia,PER_100000_POP,2.1
2020,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Bizkaia,PER_100000_POP,2.0
2023,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Bizkaia,PER_100000_POP,2.3
2020,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Gipuzkoa,PER_100000_POP,1.0
2019,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Gipuzkoa,PER_100000_POP,1.8
2013,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Gipuzkoa,PER_100000_POP,1.7
2010,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Gipuzkoa,PER_100000_POP,0.6
2017,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Gipuzkoa,PER_100000_POP,1.7
2021,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Gipuzkoa,PER_100000_POP,1.8
2023,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Gipuzkoa,PER_100000_POP,1.0
2018,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Gipuzkoa,PER_100000_POP,1.0
2011,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Gipuzkoa,PER_100000_POP,1.0
2014,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Gipuzkoa,PER_100000_POP,1.7
2022,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Gipuzkoa,PER_100000_POP,1.5
2015,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Gipuzkoa,PER_100000_POP,1.1
2012,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Gipuzkoa,PER_100000_POP,0.4
2016,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Gipuzkoa,PER_100000_POP,2.2
2019,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,,PER_100000_POP,0.8
2015,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,,PER_100000_POP,1.2
2013,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,,PER_100000_POP,0.4
2023,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,,PER_100000_POP,1.2
2020,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,,PER_100000_POP,1.0
2021,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,,PER_100000_POP,1.2
2012,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,,PER_100000_POP,0.4
2016,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,,PER_100000_POP,1.3
2022,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,,PER_100000_POP,1.6
2014,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,,PER_100000_POP,1.2
2017,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,,PER_100000_POP,0.8
2018,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,,PER_100000_POP,1.3
2011,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,,PER_100000_POP,0.4
2010,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,,PER_100000_POP,0.7
2022,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Araba / Álava,PER_100000_POP,2.4
2015,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Araba / Álava,PER_100000_POP,1.8
2019,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Araba / Álava,PER_100000_POP,0.6
2018,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Araba / Álava,PER_100000_POP,3.0
2017,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Araba / Álava,PER_100000_POP,1.2
2023,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Araba / Álava,PER_100000_POP,1.8
2020,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Araba / Álava,PER_100000_POP,1.2
2011,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Araba / Álava,PER_100000_POP,0.0
2013,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Araba / Álava,PER_100000_POP,0.0
2016,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Araba / Álava,PER_100000_POP,1.2
2021,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Araba / Álava,PER_100000_POP,0.0
2012,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Araba / Álava,PER_100000_POP,0.0
2010,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Araba / Álava,PER_100000_POP,1.3
2014,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Araba / Álava,PER_100000_POP,1.2
2010,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Bizkaia,PER_100000_POP,0.8
2017,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Bizkaia,PER_100000_POP,0.8
2022,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Bizkaia,PER_100000_POP,1.4
2014,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Bizkaia,PER_100000_POP,1.0
2020,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Bizkaia,PER_100000_POP,0.8
2016,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Bizkaia,PER_100000_POP,0.8
2018,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Bizkaia,PER_100000_POP,1.0
2012,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Bizkaia,PER_100000_POP,0.7
2015,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Bizkaia,PER_100000_POP,1.5
2011,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Bizkaia,PER_100000_POP,0.7
2019,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Bizkaia,PER_100000_POP,0.8
2021,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Bizkaia,PER_100000_POP,1.5
2023,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Bizkaia,PER_100000_POP,1.3
2013,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Bizkaia,PER_100000_POP,0.3
2011,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Gipuzkoa,PER_100000_POP,0.3
2019,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Gipuzkoa,PER_100000_POP,0.8
2020,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Gipuzkoa,PER_100000_POP,1.1
2018,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Gipuzkoa,PER_100000_POP,1.1
2016,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Gipuzkoa,PER_100000_POP,1.9
2022,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Gipuzkoa,PER_100000_POP,1.6
2023,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Gipuzkoa,PER_100000_POP,0.8
2017,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Gipuzkoa,PER_100000_POP,0.5
2014,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Gipuzkoa,PER_100000_POP,1.4
2012,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Gipuzkoa,PER_100000_POP,0.3
2013,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Gipuzkoa,PER_100000_POP,0.6
2010,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Gipuzkoa,PER_100000_POP,0.3
2021,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Gipuzkoa,PER_100000_POP,1.4
2015,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Emakumea,Gipuzkoa,PER_100000_POP,0.3
2018,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,,PER_100000_POP,1.5
2012,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,,PER_100000_POP,2.0
2021,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,,PER_100000_POP,2.4
2014,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,,PER_100000_POP,2.5
2022,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,,PER_100000_POP,2.2
2010,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,,PER_100000_POP,2.0
2015,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,,PER_100000_POP,2.1
2023,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,,PER_100000_POP,2.4
2013,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,,PER_100000_POP,3.0
2011,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,,PER_100000_POP,2.2
2020,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,,PER_100000_POP,2.6
2019,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,,PER_100000_POP,2.5
2017,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,,PER_100000_POP,3.2
2016,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,,PER_100000_POP,2.4
2023,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Araba / Álava,PER_100000_POP,2.4
2011,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Araba / Álava,PER_100000_POP,1.3
2022,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Araba / Álava,PER_100000_POP,1.2
2012,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Araba / Álava,PER_100000_POP,1.3
2015,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Araba / Álava,PER_100000_POP,1.9
2017,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Araba / Álava,PER_100000_POP,2.5
2010,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Araba / Álava,PER_100000_POP,0.6
2016,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Araba / Álava,PER_100000_POP,0.6
2013,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Araba / Álava,PER_100000_POP,1.9
2019,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Araba / Álava,PER_100000_POP,2.5
2014,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Araba / Álava,PER_100000_POP,3.1
2020,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Araba / Álava,PER_100000_POP,4.3
2021,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Araba / Álava,PER_100000_POP,3.1
2018,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Araba / Álava,PER_100000_POP,1.9
2010,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Bizkaia,PER_100000_POP,3.0
2013,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Bizkaia,PER_100000_POP,3.4
2022,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Bizkaia,PER_100000_POP,2.9
2023,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Bizkaia,PER_100000_POP,3.3
2020,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Bizkaia,PER_100000_POP,3.3
2018,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Bizkaia,PER_100000_POP,1.8
2019,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Bizkaia,PER_100000_POP,2.4
2016,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Bizkaia,PER_100000_POP,2.7
2014,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Bizkaia,PER_100000_POP,2.5
2021,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Bizkaia,PER_100000_POP,2.2
2017,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Bizkaia,PER_100000_POP,3.6
2015,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Bizkaia,PER_100000_POP,2.2
2012,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Bizkaia,PER_100000_POP,3.1
2011,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Bizkaia,PER_100000_POP,2.7
2023,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Gipuzkoa,PER_100000_POP,1.1
2021,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Gipuzkoa,PER_100000_POP,2.3
2020,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Gipuzkoa,PER_100000_POP,0.9
2018,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Gipuzkoa,PER_100000_POP,0.9
2011,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Gipuzkoa,PER_100000_POP,1.7
2016,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Gipuzkoa,PER_100000_POP,2.6
2019,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Gipuzkoa,PER_100000_POP,2.8
2013,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Gipuzkoa,PER_100000_POP,2.9
2017,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Gipuzkoa,PER_100000_POP,2.9
2014,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Gipuzkoa,PER_100000_POP,2.0
2015,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Gipuzkoa,PER_100000_POP,2.0
2012,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Gipuzkoa,PER_100000_POP,0.6
2010,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Gipuzkoa,PER_100000_POP,0.9
2022,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,Gizona,Gipuzkoa,PER_100000_POP,1.4
