Year,Lurraldea,Eskualdea,Udalerria,Unidad,GeoCode,Value
2019,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),0.0
2020,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),0.0
2021,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),0.0
2022,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),0.0
2010,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,0.0
2011,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,0.0
2012,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,0.0
2013,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,0.0
2014,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,0.0
2015,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,0.0
2016,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,0.0
2017,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,0.0
2018,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,0.0
2019,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,0.0
2020,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,0.0
2021,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,0.0
2022,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,0.0
2010,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,0.0
2011,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,0.0
2012,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,0.0
2013,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,0.0
2014,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,0.0
2015,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,0.0
2016,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,0.0
2017,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,0.0
2018,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,0.0
2019,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,0.0
2020,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,0.0
2021,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,0.0
2022,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,0.0
2010,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,0.0
2011,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,0.0
2012,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,0.0
2013,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,0.0
2014,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,0.0
2015,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,0.0
2016,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,0.0
2017,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,0.0
2018,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,0.0
2019,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,0.0
2020,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,0.0
2021,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,0.0
2022,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,0.0
2010,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,0.0
2011,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,0.0
2012,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,0.0
2013,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,0.0
2014,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,0.0
2015,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,0.0
2016,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,0.0
2017,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,0.0
2018,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,0.0
2019,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,0.0
2020,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,0.0
2021,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,0.0
2022,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,0.0
2010,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,0.0
2011,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,0.0
2012,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,0.0
2013,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,0.0
2014,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,0.0
2015,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,0.0
2016,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,0.0
2017,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,0.0
2018,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,0.0
2019,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,0.0
2020,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,0.0
2021,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,0.0
2022,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,0.0
2010,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,0.0
2011,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,0.0
2012,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,0.0
2013,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,0.0
2014,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,0.0
2015,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,0.0
2016,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,0.0
2017,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,0.0
2018,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,0.0
2019,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,0.0
2020,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,0.0
2021,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,0.0
2022,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,0.0
2010,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,0.0
2011,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,0.0
2012,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,0.0
2013,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,0.0
2014,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,0.0
2015,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,0.0
2016,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,0.0
2017,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,0.0
2018,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,0.0
2019,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,0.0
2020,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,0.0
2021,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,0.0
2022,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,0.0
2010,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2011,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2012,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2013,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2014,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2015,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2016,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2017,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2018,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2019,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2020,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2021,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2022,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2010,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,10.3
2011,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,7.5
2012,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,7.4
2013,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,6.0
2014,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,4.6
2015,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,1.7
2016,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,1.5
2017,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,1.5
2018,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,1.5
2019,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,0.5
2020,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,0.7
2021,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,0.3
2022,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,0.7
2010,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,0.0
2011,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,0.0
2012,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,0.0
2013,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,0.0
2014,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,0.0
2015,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,0.0
2016,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,0.0
2017,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,0.0
2018,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,0.0
2019,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,0.0
2020,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,0.0
2021,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,0.0
2022,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,0.0
2010,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,0.0
2011,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,0.0
2012,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,0.0
2013,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,0.0
2014,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,0.0
2015,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,0.0
2016,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,0.0
2017,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,0.0
2018,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,0.0
2019,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,0.0
2020,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,0.0
2021,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,0.0
2022,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,0.0
2010,,,Elciego,1.000 biztanle bakoitzeko,Elciego,0.0
2011,,,Elciego,1.000 biztanle bakoitzeko,Elciego,0.0
2012,,,Elciego,1.000 biztanle bakoitzeko,Elciego,0.0
2013,,,Elciego,1.000 biztanle bakoitzeko,Elciego,0.0
2014,,,Elciego,1.000 biztanle bakoitzeko,Elciego,0.0
2015,,,Elciego,1.000 biztanle bakoitzeko,Elciego,0.0
2016,,,Elciego,1.000 biztanle bakoitzeko,Elciego,0.0
2017,,,Elciego,1.000 biztanle bakoitzeko,Elciego,0.0
2018,,,Elciego,1.000 biztanle bakoitzeko,Elciego,0.0
2019,,,Elciego,1.000 biztanle bakoitzeko,Elciego,0.0
2020,,,Elciego,1.000 biztanle bakoitzeko,Elciego,0.0
2021,,,Elciego,1.000 biztanle bakoitzeko,Elciego,0.0
2022,,,Elciego,1.000 biztanle bakoitzeko,Elciego,0.0
2010,,,Elvillar/Bilar,1.000 biztanle bakoitzeko,Elvillar/Bilar,0.0
2011,,,Elvillar/Bilar,1.000 biztanle bakoitzeko,Elvillar/Bilar,0.0
2012,,,Elvillar/Bilar,1.000 biztanle bakoitzeko,Elvillar/Bilar,0.0
2013,,,Elvillar/Bilar,1.000 biztanle bakoitzeko,Elvillar/Bilar,0.0
2014,,,Elvillar/Bilar,1.000 biztanle bakoitzeko,Elvillar/Bilar,0.0
2015,,,Elvillar/Bilar,1.000 biztanle bakoitzeko,Elvillar/Bilar,0.0
2016,,,Elvillar/Bilar,1.000 biztanle bakoitzeko,Elvillar/Bilar,0.0
2017,,,Elvillar/Bilar,1.000 biztanle bakoitzeko,Elvillar/Bilar,0.0
2018,,,Elvillar/Bilar,1.000 biztanle bakoitzeko,Elvillar/Bilar,0.0
2019,,,Elvillar/Bilar,1.000 biztanle bakoitzeko,Elvillar/Bilar,0.0
2020,,,Elvillar/Bilar,1.000 biztanle bakoitzeko,Elvillar/Bilar,0.0
2021,,,Elvillar/Bilar,1.000 biztanle bakoitzeko,Elvillar/Bilar,0.0
2022,,,Elvillar/Bilar,1.000 biztanle bakoitzeko,Elvillar/Bilar,0.0
2010,,,Iruraiz-Gauna,1.000 biztanle bakoitzeko,Iruraiz-Gauna,0.0
2011,,,Iruraiz-Gauna,1.000 biztanle bakoitzeko,Iruraiz-Gauna,0.0
2012,,,Iruraiz-Gauna,1.000 biztanle bakoitzeko,Iruraiz-Gauna,0.0
2013,,,Iruraiz-Gauna,1.000 biztanle bakoitzeko,Iruraiz-Gauna,0.0
2014,,,Iruraiz-Gauna,1.000 biztanle bakoitzeko,Iruraiz-Gauna,0.0
2015,,,Iruraiz-Gauna,1.000 biztanle bakoitzeko,Iruraiz-Gauna,0.0
2016,,,Iruraiz-Gauna,1.000 biztanle bakoitzeko,Iruraiz-Gauna,0.0
2017,,,Iruraiz-Gauna,1.000 biztanle bakoitzeko,Iruraiz-Gauna,0.0
2018,,,Iruraiz-Gauna,1.000 biztanle bakoitzeko,Iruraiz-Gauna,0.0
2019,,,Iruraiz-Gauna,1.000 biztanle bakoitzeko,Iruraiz-Gauna,0.0
2020,,,Iruraiz-Gauna,1.000 biztanle bakoitzeko,Iruraiz-Gauna,0.0
2021,,,Iruraiz-Gauna,1.000 biztanle bakoitzeko,Iruraiz-Gauna,0.0
2022,,,Iruraiz-Gauna,1.000 biztanle bakoitzeko,Iruraiz-Gauna,0.0
2010,,,Labastida/Bastida,1.000 biztanle bakoitzeko,Labastida/Bastida,0.0
2011,,,Labastida/Bastida,1.000 biztanle bakoitzeko,Labastida/Bastida,0.0
2012,,,Labastida/Bastida,1.000 biztanle bakoitzeko,Labastida/Bastida,0.0
2013,,,Labastida/Bastida,1.000 biztanle bakoitzeko,Labastida/Bastida,0.0
2014,,,Labastida/Bastida,1.000 biztanle bakoitzeko,Labastida/Bastida,0.0
2015,,,Labastida/Bastida,1.000 biztanle bakoitzeko,Labastida/Bastida,0.0
2016,,,Labastida/Bastida,1.000 biztanle bakoitzeko,Labastida/Bastida,0.0
2017,,,Labastida/Bastida,1.000 biztanle bakoitzeko,Labastida/Bastida,0.0
2018,,,Labastida/Bastida,1.000 biztanle bakoitzeko,Labastida/Bastida,0.0
2019,,,Labastida/Bastida,1.000 biztanle bakoitzeko,Labastida/Bastida,0.0
2020,,,Labastida/Bastida,1.000 biztanle bakoitzeko,Labastida/Bastida,0.0
2021,,,Labastida/Bastida,1.000 biztanle bakoitzeko,Labastida/Bastida,0.0
2022,,,Labastida/Bastida,1.000 biztanle bakoitzeko,Labastida/Bastida,0.0
2010,,Arabako Mendialdea / Montaña Alavesa,,1.000 biztanle bakoitzeko,Arabako Mendialdea / Montaña Alavesa,0.0
2011,,Arabako Mendialdea / Montaña Alavesa,,1.000 biztanle bakoitzeko,Arabako Mendialdea / Montaña Alavesa,0.0
2012,,Arabako Mendialdea / Montaña Alavesa,,1.000 biztanle bakoitzeko,Arabako Mendialdea / Montaña Alavesa,0.0
2013,,Arabako Mendialdea / Montaña Alavesa,,1.000 biztanle bakoitzeko,Arabako Mendialdea / Montaña Alavesa,0.0
2014,,Arabako Mendialdea / Montaña Alavesa,,1.000 biztanle bakoitzeko,Arabako Mendialdea / Montaña Alavesa,0.0
2015,,Arabako Mendialdea / Montaña Alavesa,,1.000 biztanle bakoitzeko,Arabako Mendialdea / Montaña Alavesa,0.0
2016,,Arabako Mendialdea / Montaña Alavesa,,1.000 biztanle bakoitzeko,Arabako Mendialdea / Montaña Alavesa,0.0
