Year,Tipo de valor,Territorio,Comarca,Municipio,Units,GeoCode,Serie,Value
2017,Real,,,,Euro per cápita,,Valor añadido del sector manufacturo,6328.8
2021,Real,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,18.3
2017,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,Valor añadido del sector manufacturo,9602.0
2012,Real,Araba/Álava,,,Porcentaje,Araba/Álava,Valor añadido del sector manufacturo en proporción al PIB,25.2
2012,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,Valor añadido del sector manufacturo,8497.7
2018,Real,Araba/Álava,,,Porcentaje,Araba/Álava,Valor añadido del sector manufacturo en proporción al PIB,25.9
2011,Real,Araba/Álava,,,Porcentaje,Araba/Álava,Valor añadido del sector manufacturo en proporción al PIB,26.0
2013,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,Valor añadido del sector manufacturo,8558.7
2019,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,Valor añadido del sector manufacturo,9362.5
2021,Real,Araba/Álava,,,Porcentaje,Araba/Álava,Valor añadido del sector manufacturo en proporción al PIB,24.7
2017,Real,Araba/Álava,,,Porcentaje,Araba/Álava,Valor añadido del sector manufacturo en proporción al PIB,26.4
2014,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,Valor añadido del sector manufacturo,8868.3
2015,Real,Araba/Álava,,,Porcentaje,Araba/Álava,Valor añadido del sector manufacturo en proporción al PIB,26.3
2022,Real,Araba/Álava,,,Porcentaje,Araba/Álava,Valor añadido del sector manufacturo en proporción al PIB,25.0
2016,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,Valor añadido del sector manufacturo,9394.4
2015,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,Valor añadido del sector manufacturo,9128.8
2021,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,Valor añadido del sector manufacturo,8710.3
2018,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,Valor añadido del sector manufacturo,9537.7
2019,Real,Araba/Álava,,,Porcentaje,Araba/Álava,Valor añadido del sector manufacturo en proporción al PIB,25.1
2020,Real,Araba/Álava,,,Porcentaje,Araba/Álava,Valor añadido del sector manufacturo en proporción al PIB,24.0
2020,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,Valor añadido del sector manufacturo,7977.7
2011,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,Valor añadido del sector manufacturo,9004.5
2022,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,Valor añadido del sector manufacturo,9162.6
2013,Real,Araba/Álava,,,Porcentaje,Araba/Álava,Valor añadido del sector manufacturo en proporción al PIB,25.7
2010,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,Valor añadido del sector manufacturo,8657.0
2010,Real,Araba/Álava,,,Porcentaje,Araba/Álava,Valor añadido del sector manufacturo en proporción al PIB,25.0
2014,Real,Araba/Álava,,,Porcentaje,Araba/Álava,Valor añadido del sector manufacturo en proporción al PIB,26.2
2016,Real,Araba/Álava,,,Porcentaje,Araba/Álava,Valor añadido del sector manufacturo en proporción al PIB,26.3
2022,Real,Bizkaia,,,Porcentaje,Bizkaia,Valor añadido del sector manufacturo en proporción al PIB,13.0
2014,Real,Bizkaia,,,Euro per cápita,Bizkaia,Valor añadido del sector manufacturo,4145.6
2010,Real,Bizkaia,,,Porcentaje,Bizkaia,Valor añadido del sector manufacturo en proporción al PIB,14.7
2013,Real,Bizkaia,,,Euro per cápita,Bizkaia,Valor añadido del sector manufacturo,4013.4
2021,Real,Bizkaia,,,Porcentaje,Bizkaia,Valor añadido del sector manufacturo en proporción al PIB,13.5
2015,Real,Bizkaia,,,Porcentaje,Bizkaia,Valor añadido del sector manufacturo en proporción al PIB,14.1
2018,Real,Bizkaia,,,Porcentaje,Bizkaia,Valor añadido del sector manufacturo en proporción al PIB,14.1
2022,Real,Bizkaia,,,Euro per cápita,Bizkaia,Valor añadido del sector manufacturo,4541.4
2017,Real,Bizkaia,,,Porcentaje,Bizkaia,Valor añadido del sector manufacturo en proporción al PIB,14.4
2020,Real,Bizkaia,,,Euro per cápita,Bizkaia,Valor añadido del sector manufacturo,4106.4
2013,Real,Bizkaia,,,Porcentaje,Bizkaia,Valor añadido del sector manufacturo en proporción al PIB,13.9
2016,Real,Bizkaia,,,Porcentaje,Bizkaia,Valor añadido del sector manufacturo en proporción al PIB,14.4
2018,Real,Bizkaia,,,Euro per cápita,Bizkaia,Valor añadido del sector manufacturo,4698.7
2021,Real,Bizkaia,,,Euro per cápita,Bizkaia,Valor añadido del sector manufacturo,4420.2
2019,Real,Bizkaia,,,Porcentaje,Bizkaia,Valor añadido del sector manufacturo en proporción al PIB,14.1
2012,Real,Bizkaia,,,Porcentaje,Bizkaia,Valor añadido del sector manufacturo en proporción al PIB,13.9
2011,Real,Bizkaia,,,Porcentaje,Bizkaia,Valor añadido del sector manufacturo en proporción al PIB,14.8
2017,Real,Bizkaia,,,Euro per cápita,Bizkaia,Valor añadido del sector manufacturo,4675.7
2015,Real,Bizkaia,,,Euro per cápita,Bizkaia,Valor añadido del sector manufacturo,4297.1
2019,Real,Bizkaia,,,Euro per cápita,Bizkaia,Valor añadido del sector manufacturo,4771.3
2012,Real,Bizkaia,,,Euro per cápita,Bizkaia,Valor añadido del sector manufacturo,4076.9
2011,Real,Bizkaia,,,Euro per cápita,Bizkaia,Valor añadido del sector manufacturo,4430.9
2014,Real,Bizkaia,,,Porcentaje,Bizkaia,Valor añadido del sector manufacturo en proporción al PIB,14.1
2010,Real,Bizkaia,,,Euro per cápita,Bizkaia,Valor añadido del sector manufacturo,4393.1
2020,Real,Bizkaia,,,Porcentaje,Bizkaia,Valor añadido del sector manufacturo en proporción al PIB,13.4
2016,Real,Bizkaia,,,Euro per cápita,Bizkaia,Valor añadido del sector manufacturo,4520.3
2013,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,Valor añadido del sector manufacturo,6688.8
2011,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,Valor añadido del sector manufacturo,7308.4
2020,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,Valor añadido del sector manufacturo en proporción al PIB,21.6
2015,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,Valor añadido del sector manufacturo en proporción al PIB,22.3
2022,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,Valor añadido del sector manufacturo en proporción al PIB,22.8
2012,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,Valor añadido del sector manufacturo en proporción al PIB,22.6
2013,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,Valor añadido del sector manufacturo en proporción al PIB,22.0
2019,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,Valor añadido del sector manufacturo,7842.4
2014,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,Valor añadido del sector manufacturo,6785.8
2012,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,Valor añadido del sector manufacturo,7025.1
2017,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,Valor añadido del sector manufacturo,7475.5
2020,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,Valor añadido del sector manufacturo,6934.0
2014,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,Valor añadido del sector manufacturo en proporción al PIB,22.0
2019,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,Valor añadido del sector manufacturo en proporción al PIB,22.0
2018,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,Valor añadido del sector manufacturo en proporción al PIB,22.2
2018,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,Valor añadido del sector manufacturo,7749.2
2021,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,Valor añadido del sector manufacturo,7685.1
2017,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,Valor añadido del sector manufacturo en proporción al PIB,22.2
2010,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,Valor añadido del sector manufacturo,7105.3
2010,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,Valor añadido del sector manufacturo en proporción al PIB,22.5
2015,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,Valor añadido del sector manufacturo,7117.6
2016,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,Valor añadido del sector manufacturo en proporción al PIB,22.5
2021,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,Valor añadido del sector manufacturo en proporción al PIB,22.6
2016,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,Valor añadido del sector manufacturo,7394.8
2022,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,Valor añadido del sector manufacturo,8075.6
2011,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,Valor añadido del sector manufacturo en proporción al PIB,23.1
2014,Nominal,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,18.3
2010,Nominal,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,19.5
2017,Nominal,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,18.8
2018,Nominal,,,,Euro per cápita,,Valor añadido del sector manufacturo,6595.3
2011,Nominal,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,19.6
2013,Nominal,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,18.7
2017,Nominal,,,,Euro per cápita,,Valor añadido del sector manufacturo,6376.3
2015,Nominal,,,,Euro per cápita,,Valor añadido del sector manufacturo,5935.6
2016,Nominal,,,,Euro per cápita,,Valor añadido del sector manufacturo,6169.0
2012,Nominal,,,,Euro per cápita,,Valor añadido del sector manufacturo,5721.0
2015,Nominal,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,18.8
2014,Nominal,,,,Euro per cápita,,Valor añadido del sector manufacturo,5599.1
2019,Nominal,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,18.4
2018,Nominal,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,18.7
2021,Nominal,,,,Euro per cápita,,Valor añadido del sector manufacturo,6660.2
2022,Nominal,,,,Euro per cápita,,Valor añadido del sector manufacturo,7544.3
2013,Nominal,,,,Euro per cápita,,Valor añadido del sector manufacturo,5572.2
2011,Nominal,,,,Euro per cápita,,Valor añadido del sector manufacturo,6045.7
2021,Nominal,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,18.7
2016,Nominal,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,18.8
2022,Nominal,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,19.2
2010,Nominal,,,,Euro per cápita,,Valor añadido del sector manufacturo,5971.3
2019,Nominal,,,,Euro per cápita,,Valor añadido del sector manufacturo,6682.3
2012,Nominal,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,19.0
2020,Nominal,,,,Euro per cápita,,Valor añadido del sector manufacturo,5747.7
2020,Nominal,,,,Porcentaje,,Valor añadido del sector manufacturo en proporción al PIB,17.6
2014,Nominal,,,Abadiño,Euro per cápita,Abadiño,Valor añadido del sector manufacturo,31641.9
2018,Nominal,,,Abadiño,Porcentaje,Abadiño,Valor añadido del sector manufacturo en proporción al PIB,47.1
2016,Nominal,,,Abadiño,Porcentaje,Abadiño,Valor añadido del sector manufacturo en proporción al PIB,44.9
2020,Nominal,,,Abadiño,Porcentaje,Abadiño,Valor añadido del sector manufacturo en proporción al PIB,43.0
2015,Nominal,,,Abadiño,Euro per cápita,Abadiño,Valor añadido del sector manufacturo,31306.4
2017,Nominal,,,Abadiño,Porcentaje,Abadiño,Valor añadido del sector manufacturo en proporción al PIB,44.6
2017,Nominal,,,Abadiño,Euro per cápita,Abadiño,Valor añadido del sector manufacturo,35385.7
2018,Nominal,,,Abadiño,Euro per cápita,Abadiño,Valor añadido del sector manufacturo,37497.8
2014,Nominal,,,Abadiño,Porcentaje,Abadiño,Valor añadido del sector manufacturo en proporción al PIB,45.2
2016,Nominal,,,Abadiño,Euro per cápita,Abadiño,Valor añadido del sector manufacturo,35772.2
2019,Nominal,,,Abadiño,Euro per cápita,Abadiño,Valor añadido del sector manufacturo,38760.4
2015,Nominal,,,Abadiño,Porcentaje,Abadiño,Valor añadido del sector manufacturo en proporción al PIB,41.5
2021,Nominal,,,Abadiño,Porcentaje,Abadiño,Valor añadido del sector manufacturo en proporción al PIB,33.3
2021,Nominal,,,Abadiño,Euro per cápita,Abadiño,Valor añadido del sector manufacturo,29705.7
2019,Nominal,,,Abadiño,Porcentaje,Abadiño,Valor añadido del sector manufacturo en proporción al PIB,47.6
2020,Nominal,,,Abadiño,Euro per cápita,Abadiño,Valor añadido del sector manufacturo,29952.5
2017,Nominal,,,Abaltzisketa,Euro per cápita,Abaltzisketa,Valor añadido del sector manufacturo,107.3
2015,Nominal,,,Abaltzisketa,Porcentaje,Abaltzisketa,Valor añadido del sector manufacturo en proporción al PIB,2.4
2018,Nominal,,,Abaltzisketa,Porcentaje,Abaltzisketa,Valor añadido del sector manufacturo en proporción al PIB,0.7
2021,Nominal,,,Abaltzisketa,Porcentaje,Abaltzisketa,Valor añadido del sector manufacturo en proporción al PIB,2.0
2019,Nominal,,,Abaltzisketa,Euro per cápita,Abaltzisketa,Valor añadido del sector manufacturo,174.5
2014,Nominal,,,Abaltzisketa,Porcentaje,Abaltzisketa,Valor añadido del sector manufacturo en proporción al PIB,0.9
2020,Nominal,,,Abaltzisketa,Porcentaje,Abaltzisketa,Valor añadido del sector manufacturo en proporción al PIB,2.7
2014,Nominal,,,Abaltzisketa,Euro per cápita,Abaltzisketa,Valor añadido del sector manufacturo,156.7
2017,Nominal,,,Abaltzisketa,Porcentaje,Abaltzisketa,Valor añadido del sector manufacturo en proporción al PIB,0.5
2021,Nominal,,,Abaltzisketa,Euro per cápita,Abaltzisketa,Valor añadido del sector manufacturo,389.5
2018,Nominal,,,Abaltzisketa,Euro per cápita,Abaltzisketa,Valor añadido del sector manufacturo,155.8
2020,Nominal,,,Abaltzisketa,Euro per cápita,Abaltzisketa,Valor añadido del sector manufacturo,557.2
2019,Nominal,,,Abaltzisketa,Porcentaje,Abaltzisketa,Valor añadido del sector manufacturo en proporción al PIB,0.7
2016,Nominal,,,Abaltzisketa,Euro per cápita,Abaltzisketa,Valor añadido del sector manufacturo,391.2
2015,Nominal,,,Abaltzisketa,Euro per cápita,Abaltzisketa,Valor añadido del sector manufacturo,372.8
2016,Nominal,,,Abaltzisketa,Porcentaje,Abaltzisketa,Valor añadido del sector manufacturo en proporción al PIB,2.3
2020,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Euro per cápita,Abanto y Ciérvana-Abanto Zierbena,Valor añadido del sector manufacturo,11358.5
2020,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,Valor añadido del sector manufacturo en proporción al PIB,35.4
2017,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Euro per cápita,Abanto y Ciérvana-Abanto Zierbena,Valor añadido del sector manufacturo,11529.4
2014,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Euro per cápita,Abanto y Ciérvana-Abanto Zierbena,Valor añadido del sector manufacturo,8977.2
2021,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Euro per cápita,Abanto y Ciérvana-Abanto Zierbena,Valor añadido del sector manufacturo,12209.5
2015,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,Valor añadido del sector manufacturo en proporción al PIB,34.3
2019,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Euro per cápita,Abanto y Ciérvana-Abanto Zierbena,Valor añadido del sector manufacturo,11978.9
2018,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,Valor añadido del sector manufacturo en proporción al PIB,34.3
2017,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,Valor añadido del sector manufacturo en proporción al PIB,37.3
2015,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Euro per cápita,Abanto y Ciérvana-Abanto Zierbena,Valor añadido del sector manufacturo,9814.7
2016,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Euro per cápita,Abanto y Ciérvana-Abanto Zierbena,Valor añadido del sector manufacturo,10150.5
2019,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,Valor añadido del sector manufacturo en proporción al PIB,34.5
2021,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,Valor añadido del sector manufacturo en proporción al PIB,36.1
2016,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,Valor añadido del sector manufacturo en proporción al PIB,34.5
2014,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,Valor añadido del sector manufacturo en proporción al PIB,32.3
2018,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Euro per cápita,Abanto y Ciérvana-Abanto Zierbena,Valor añadido del sector manufacturo,11104.3
2018,Nominal,,,Aduna,Euro per cápita,Aduna,Valor añadido del sector manufacturo,81393.8
2016,Nominal,,,Aduna,Porcentaje,Aduna,Valor añadido del sector manufacturo en proporción al PIB,47.8
2020,Nominal,,,Aduna,Porcentaje,Aduna,Valor añadido del sector manufacturo en proporción al PIB,37.9
2016,Nominal,,,Aduna,Euro per cápita,Aduna,Valor añadido del sector manufacturo,58027.5
2014,Nominal,,,Aduna,Porcentaje,Aduna,Valor añadido del sector manufacturo en proporción al PIB,44.9
2020,Nominal,,,Aduna,Euro per cápita,Aduna,Valor añadido del sector manufacturo,67750.3
2021,Nominal,,,Aduna,Euro per cápita,Aduna,Valor añadido del sector manufacturo,98033.3
2017,Nominal,,,Aduna,Euro per cápita,Aduna,Valor añadido del sector manufacturo,68308.0
2015,Nominal,,,Aduna,Euro per cápita,Aduna,Valor añadido del sector manufacturo,54815.1
2017,Nominal,,,Aduna,Porcentaje,Aduna,Valor añadido del sector manufacturo en proporción al PIB,50.5
2018,Nominal,,,Aduna,Porcentaje,Aduna,Valor añadido del sector manufacturo en proporción al PIB,54.6
2014,Nominal,,,Aduna,Euro per cápita,Aduna,Valor añadido del sector manufacturo,53487.1
2015,Nominal,,,Aduna,Porcentaje,Aduna,Valor añadido del sector manufacturo en proporción al PIB,44.6
2019,Nominal,,,Aduna,Porcentaje,Aduna,Valor añadido del sector manufacturo en proporción al PIB,54.0
2021,Nominal,,,Aduna,Porcentaje,Aduna,Valor añadido del sector manufacturo en proporción al PIB,47.9
2019,Nominal,,,Aduna,Euro per cápita,Aduna,Valor añadido del sector manufacturo,87023.9
2020,Nominal,,,Agurain/Salvatierra,Euro per cápita,Agurain/Salvatierra,Valor añadido del sector manufacturo,6647.7
2019,Nominal,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,Valor añadido del sector manufacturo en proporción al PIB,23.8
2015,Nominal,,,Agurain/Salvatierra,Euro per cápita,Agurain/Salvatierra,Valor añadido del sector manufacturo,6892.6
2017,Nominal,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,Valor añadido del sector manufacturo en proporción al PIB,26.3
2019,Nominal,,,Agurain/Salvatierra,Euro per cápita,Agurain/Salvatierra,Valor añadido del sector manufacturo,7903.3
2021,Nominal,,,Agurain/Salvatierra,Euro per cápita,Agurain/Salvatierra,Valor añadido del sector manufacturo,8239.2
2014,Nominal,,,Agurain/Salvatierra,Euro per cápita,Agurain/Salvatierra,Valor añadido del sector manufacturo,6366.9
2017,Nominal,,,Agurain/Salvatierra,Euro per cápita,Agurain/Salvatierra,Valor añadido del sector manufacturo,8119.4
2018,Nominal,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,Valor añadido del sector manufacturo en proporción al PIB,23.5
2016,Nominal,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,Valor añadido del sector manufacturo en proporción al PIB,25.9
2015,Nominal,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,Valor añadido del sector manufacturo en proporción al PIB,24.7
2018,Nominal,,,Agurain/Salvatierra,Euro per cápita,Agurain/Salvatierra,Valor añadido del sector manufacturo,7798.4
2020,Nominal,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,Valor añadido del sector manufacturo en proporción al PIB,22.2
2016,Nominal,,,Agurain/Salvatierra,Euro per cápita,Agurain/Salvatierra,Valor añadido del sector manufacturo,7410.8
2014,Nominal,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,Valor añadido del sector manufacturo en proporción al PIB,23.4
2021,Nominal,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,Valor añadido del sector manufacturo en proporción al PIB,23.4
2021,Nominal,,,Aia,Euro per cápita,Aia,Valor añadido del sector manufacturo,16288.4
2016,Nominal,,,Aia,Porcentaje,Aia,Valor añadido del sector manufacturo en proporción al PIB,36.8
2020,Nominal,,,Aia,Euro per cápita,Aia,Valor añadido del sector manufacturo,14666.5
2015,Nominal,,,Aia,Euro per cápita,Aia,Valor añadido del sector manufacturo,11624.8
2020,Nominal,,,Aia,Porcentaje,Aia,Valor añadido del sector manufacturo en proporción al PIB,41.4
2017,Nominal,,,Aia,Porcentaje,Aia,Valor añadido del sector manufacturo en proporción al PIB,38.0
2014,Nominal,,,Aia,Euro per cápita,Aia,Valor añadido del sector manufacturo,11722.4
2021,Nominal,,,Aia,Porcentaje,Aia,Valor añadido del sector manufacturo en proporción al PIB,42.8
2018,Nominal,,,Aia,Porcentaje,Aia,Valor añadido del sector manufacturo en proporción al PIB,43.4
2016,Nominal,,,Aia,Euro per cápita,Aia,Valor añadido del sector manufacturo,12816.9
2018,Nominal,,,Aia,Euro per cápita,Aia,Valor añadido del sector manufacturo,15913.9
2019,Nominal,,,Aia,Porcentaje,Aia,Valor añadido del sector manufacturo en proporción al PIB,37.7
2014,Nominal,,,Aia,Porcentaje,Aia,Valor añadido del sector manufacturo en proporción al PIB,37.0
2017,Nominal,,,Aia,Euro per cápita,Aia,Valor añadido del sector manufacturo,13330.5
2019,Nominal,,,Aia,Euro per cápita,Aia,Valor añadido del sector manufacturo,14641.7
2015,Nominal,,,Aia,Porcentaje,Aia,Valor añadido del sector manufacturo en proporción al PIB,37.0
2015,Nominal,,,Aizarnazabal,Euro per cápita,Aizarnazabal,Valor añadido del sector manufacturo,20116.6
2018,Nominal,,,Aizarnazabal,Porcentaje,Aizarnazabal,Valor añadido del sector manufacturo en proporción al PIB,41.0
2021,Nominal,,,Aizarnazabal,Porcentaje,Aizarnazabal,Valor añadido del sector manufacturo en proporción al PIB,56.1
2016,Nominal,,,Aizarnazabal,Euro per cápita,Aizarnazabal,Valor añadido del sector manufacturo,19981.6
2018,Nominal,,,Aizarnazabal,Euro per cápita,Aizarnazabal,Valor añadido del sector manufacturo,24634.4
2021,Nominal,,,Aizarnazabal,Euro per cápita,Aizarnazabal,Valor añadido del sector manufacturo,60837.8
2020,Nominal,,,Aizarnazabal,Euro per cápita,Aizarnazabal,Valor añadido del sector manufacturo,24997.4
2017,Nominal,,,Aizarnazabal,Euro per cápita,Aizarnazabal,Valor añadido del sector manufacturo,23554.4
2014,Nominal,,,Aizarnazabal,Euro per cápita,Aizarnazabal,Valor añadido del sector manufacturo,19790.6
2015,Nominal,,,Aizarnazabal,Porcentaje,Aizarnazabal,Valor añadido del sector manufacturo en proporción al PIB,39.7
2019,Nominal,,,Aizarnazabal,Porcentaje,Aizarnazabal,Valor añadido del sector manufacturo en proporción al PIB,37.7
2020,Nominal,,,Aizarnazabal,Porcentaje,Aizarnazabal,Valor añadido del sector manufacturo en proporción al PIB,35.7
2019,Nominal,,,Aizarnazabal,Euro per cápita,Aizarnazabal,Valor añadido del sector manufacturo,29060.1
2017,Nominal,,,Aizarnazabal,Porcentaje,Aizarnazabal,Valor añadido del sector manufacturo en proporción al PIB,41.9
2014,Nominal,,,Aizarnazabal,Porcentaje,Aizarnazabal,Valor añadido del sector manufacturo en proporción al PIB,41.2
2016,Nominal,,,Aizarnazabal,Porcentaje,Aizarnazabal,Valor añadido del sector manufacturo en proporción al PIB,39.7
2020,Nominal,,,Ajangiz,Porcentaje,Ajangiz,Valor añadido del sector manufacturo en proporción al PIB,72.1
2016,Nominal,,,Ajangiz,Euro per cápita,Ajangiz,Valor añadido del sector manufacturo,155419.6
2017,Nominal,,,Ajangiz,Euro per cápita,Ajangiz,Valor añadido del sector manufacturo,163856.5
2018,Nominal,,,Ajangiz,Euro per cápita,Ajangiz,Valor añadido del sector manufacturo,165767.3
2020,Nominal,,,Ajangiz,Euro per cápita,Ajangiz,Valor añadido del sector manufacturo,151428.3
2017,Nominal,,,Ajangiz,Porcentaje,Ajangiz,Valor añadido del sector manufacturo en proporción al PIB,75.9
2014,Nominal,,,Ajangiz,Euro per cápita,Ajangiz,Valor añadido del sector manufacturo,135038.5
2015,Nominal,,,Ajangiz,Euro per cápita,Ajangiz,Valor añadido del sector manufacturo,164191.7
2019,Nominal,,,Ajangiz,Porcentaje,Ajangiz,Valor añadido del sector manufacturo en proporción al PIB,71.8
2018,Nominal,,,Ajangiz,Porcentaje,Ajangiz,Valor añadido del sector manufacturo en proporción al PIB,72.8
2021,Nominal,,,Ajangiz,Euro per cápita,Ajangiz,Valor añadido del sector manufacturo,148415.1
2021,Nominal,,,Ajangiz,Porcentaje,Ajangiz,Valor añadido del sector manufacturo en proporción al PIB,66.2
2014,Nominal,,,Ajangiz,Porcentaje,Ajangiz,Valor añadido del sector manufacturo en proporción al PIB,71.3
