Year,Series,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2014,Edateko ura duten etxebizitzen proportzioa,,,Agurain / Salvatierra,Porcentaje,Agurain / Salvatierra,100.0
2015,Edateko ura duten etxebizitzen proportzioa,,,Agurain / Salvatierra,Porcentaje,Agurain / Salvatierra,100.0
2010,Edateko ura duten etxebizitzen proportzioa,,,Agurain / Salvatierra,Porcentaje,Agurain / Salvatierra,100.0
2022,Edateko ura duten etxebizitzen proportzioa,,,Agurain / Salvatierra,Porcentaje,Agurain / Salvatierra,100.0
2013,Edateko ura duten etxebizitzen proportzioa,,,Agurain / Salvatierra,Porcentaje,Agurain / Salvatierra,100.0
2016,Edateko ura duten etxebizitzen proportzioa,,,Agurain / Salvatierra,Porcentaje,Agurain / Salvatierra,100.0
2019,Edateko ura duten etxebizitzen proportzioa,,,Agurain / Salvatierra,Porcentaje,Agurain / Salvatierra,100.0
2020,Edateko ura duten etxebizitzen proportzioa,,,Agurain / Salvatierra,Porcentaje,Agurain / Salvatierra,100.0
2021,Edateko ura duten etxebizitzen proportzioa,,,Agurain / Salvatierra,Porcentaje,Agurain / Salvatierra,100.0
2019,Edateko ura duten etxebizitzen proportzioa,,,Aia,Porcentaje,Aia,99.7
2021,Edateko ura duten etxebizitzen proportzioa,,,Aia,Porcentaje,Aia,99.7
2022,Edateko ura duten etxebizitzen proportzioa,,,Aia,Porcentaje,Aia,99.7
2015,Edateko ura duten etxebizitzen proportzioa,,,Aia,Porcentaje,Aia,99.7
2020,Edateko ura duten etxebizitzen proportzioa,,,Aia,Porcentaje,Aia,99.7
2013,Edateko ura duten etxebizitzen proportzioa,,,Aia,Porcentaje,Aia,99.7
2018,Edateko ura duten etxebizitzen proportzioa,,,Aia,Porcentaje,Aia,99.7
2023,Edateko ura duten etxebizitzen proportzioa,,,Aia,Porcentaje,Aia,99.7
2014,Edateko ura duten etxebizitzen proportzioa,,,Aia,Porcentaje,Aia,99.7
2016,Edateko ura duten etxebizitzen proportzioa,,,Aia,Porcentaje,Aia,99.7
2010,Edateko ura duten etxebizitzen proportzioa,,,Aia,Porcentaje,Aia,99.7
2014,Edateko ura duten etxebizitzen proportzioa,,,Aizarnazabal,Porcentaje,Aizarnazabal,99.6
2015,Edateko ura duten etxebizitzen proportzioa,,,Aizarnazabal,Porcentaje,Aizarnazabal,99.6
2020,Edateko ura duten etxebizitzen proportzioa,,,Aizarnazabal,Porcentaje,Aizarnazabal,99.6
2019,Edateko ura duten etxebizitzen proportzioa,,,Aizarnazabal,Porcentaje,Aizarnazabal,99.6
2022,Edateko ura duten etxebizitzen proportzioa,,,Aizarnazabal,Porcentaje,Aizarnazabal,99.6
2023,Edateko ura duten etxebizitzen proportzioa,,,Aizarnazabal,Porcentaje,Aizarnazabal,99.6
2018,Edateko ura duten etxebizitzen proportzioa,,,Aizarnazabal,Porcentaje,Aizarnazabal,99.6
2021,Edateko ura duten etxebizitzen proportzioa,,,Aizarnazabal,Porcentaje,Aizarnazabal,99.6
2013,Edateko ura duten etxebizitzen proportzioa,,,Aizarnazabal,Porcentaje,Aizarnazabal,99.6
2016,Edateko ura duten etxebizitzen proportzioa,,,Aizarnazabal,Porcentaje,Aizarnazabal,99.6
2010,Edateko ura duten etxebizitzen proportzioa,,,Aizarnazabal,Porcentaje,Aizarnazabal,99.6
2016,Edateko ura duten etxebizitzen proportzioa,,,Ajangiz,Porcentaje,Ajangiz,100.0
2020,Edateko ura duten etxebizitzen proportzioa,,,Ajangiz,Porcentaje,Ajangiz,100.0
2021,Edateko ura duten etxebizitzen proportzioa,,,Ajangiz,Porcentaje,Ajangiz,100.0
2023,Edateko ura duten etxebizitzen proportzioa,,,Ajangiz,Porcentaje,Ajangiz,100.0
2013,Edateko ura duten etxebizitzen proportzioa,,,Ajangiz,Porcentaje,Ajangiz,100.0
2022,Edateko ura duten etxebizitzen proportzioa,,,Ajangiz,Porcentaje,Ajangiz,100.0
2018,Edateko ura duten etxebizitzen proportzioa,,,Ajangiz,Porcentaje,Ajangiz,100.0
2010,Edateko ura duten etxebizitzen proportzioa,,,Ajangiz,Porcentaje,Ajangiz,100.0
2019,Edateko ura duten etxebizitzen proportzioa,,,Ajangiz,Porcentaje,Ajangiz,100.0
2015,Edateko ura duten etxebizitzen proportzioa,,,Ajangiz,Porcentaje,Ajangiz,100.0
2014,Edateko ura duten etxebizitzen proportzioa,,,Ajangiz,Porcentaje,Ajangiz,100.0
2018,Edateko ura duten etxebizitzen proportzioa,,,Albiztur,Porcentaje,Albiztur,100.0
2020,Edateko ura duten etxebizitzen proportzioa,,,Albiztur,Porcentaje,Albiztur,100.0
2023,Edateko ura duten etxebizitzen proportzioa,,,Albiztur,Porcentaje,Albiztur,100.0
2013,Edateko ura duten etxebizitzen proportzioa,,,Albiztur,Porcentaje,Albiztur,100.0
2021,Edateko ura duten etxebizitzen proportzioa,,,Albiztur,Porcentaje,Albiztur,100.0
2019,Edateko ura duten etxebizitzen proportzioa,,,Albiztur,Porcentaje,Albiztur,100.0
2022,Edateko ura duten etxebizitzen proportzioa,,,Albiztur,Porcentaje,Albiztur,100.0
2015,Edateko ura duten etxebizitzen proportzioa,,,Albiztur,Porcentaje,Albiztur,100.0
2016,Edateko ura duten etxebizitzen proportzioa,,,Albiztur,Porcentaje,Albiztur,100.0
2014,Edateko ura duten etxebizitzen proportzioa,,,Albiztur,Porcentaje,Albiztur,100.0
2010,Edateko ura duten etxebizitzen proportzioa,,,Albiztur,Porcentaje,Albiztur,100.0
2023,Edateko ura duten etxebizitzen proportzioa,,,Alegia,Porcentaje,Alegia,100.0
2015,Edateko ura duten etxebizitzen proportzioa,,,Alegia,Porcentaje,Alegia,100.0
2010,Edateko ura duten etxebizitzen proportzioa,,,Alegia,Porcentaje,Alegia,100.0
2018,Edateko ura duten etxebizitzen proportzioa,,,Alegia,Porcentaje,Alegia,100.0
2016,Edateko ura duten etxebizitzen proportzioa,,,Alegia,Porcentaje,Alegia,100.0
2019,Edateko ura duten etxebizitzen proportzioa,,,Alegia,Porcentaje,Alegia,100.0
2013,Edateko ura duten etxebizitzen proportzioa,,,Alegia,Porcentaje,Alegia,100.0
2021,Edateko ura duten etxebizitzen proportzioa,,,Alegia,Porcentaje,Alegia,100.0
2014,Edateko ura duten etxebizitzen proportzioa,,,Alegia,Porcentaje,Alegia,100.0
2020,Edateko ura duten etxebizitzen proportzioa,,,Alegia,Porcentaje,Alegia,100.0
2022,Edateko ura duten etxebizitzen proportzioa,,,Alegia,Porcentaje,Alegia,100.0
2022,Edateko ura duten etxebizitzen proportzioa,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,99.9
2014,Edateko ura duten etxebizitzen proportzioa,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,99.9
2018,Edateko ura duten etxebizitzen proportzioa,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,99.9
2021,Edateko ura duten etxebizitzen proportzioa,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,100.0
2015,Edateko ura duten etxebizitzen proportzioa,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,99.9
2010,Edateko ura duten etxebizitzen proportzioa,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,99.8
2016,Edateko ura duten etxebizitzen proportzioa,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,99.9
2013,Edateko ura duten etxebizitzen proportzioa,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,99.9
2023,Edateko ura duten etxebizitzen proportzioa,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,99.9
2019,Edateko ura duten etxebizitzen proportzioa,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,99.9
2020,Edateko ura duten etxebizitzen proportzioa,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,99.9
2022,Edateko ura duten etxebizitzen proportzioa,,,Alkiza,Porcentaje,Alkiza,100.0
2018,Edateko ura duten etxebizitzen proportzioa,,,Alkiza,Porcentaje,Alkiza,100.0
2023,Edateko ura duten etxebizitzen proportzioa,,,Alkiza,Porcentaje,Alkiza,100.0
2016,Edateko ura duten etxebizitzen proportzioa,,,Alkiza,Porcentaje,Alkiza,100.0
2019,Edateko ura duten etxebizitzen proportzioa,,,Alkiza,Porcentaje,Alkiza,100.0
2010,Edateko ura duten etxebizitzen proportzioa,,,Alkiza,Porcentaje,Alkiza,100.0
2020,Edateko ura duten etxebizitzen proportzioa,,,Alkiza,Porcentaje,Alkiza,100.0
2015,Edateko ura duten etxebizitzen proportzioa,,,Alkiza,Porcentaje,Alkiza,100.0
2014,Edateko ura duten etxebizitzen proportzioa,,,Alkiza,Porcentaje,Alkiza,100.0
2021,Edateko ura duten etxebizitzen proportzioa,,,Alkiza,Porcentaje,Alkiza,100.0
2013,Edateko ura duten etxebizitzen proportzioa,,,Alkiza,Porcentaje,Alkiza,100.0
2023,Edateko ura duten etxebizitzen proportzioa,,,Alonsotegi,Porcentaje,Alonsotegi,99.4
2018,Edateko ura duten etxebizitzen proportzioa,,,Alonsotegi,Porcentaje,Alonsotegi,99.5
2021,Edateko ura duten etxebizitzen proportzioa,,,Alonsotegi,Porcentaje,Alonsotegi,99.5
2016,Edateko ura duten etxebizitzen proportzioa,,,Alonsotegi,Porcentaje,Alonsotegi,99.5
2010,Edateko ura duten etxebizitzen proportzioa,,,Alonsotegi,Porcentaje,Alonsotegi,99.4
2019,Edateko ura duten etxebizitzen proportzioa,,,Alonsotegi,Porcentaje,Alonsotegi,99.4
2022,Edateko ura duten etxebizitzen proportzioa,,,Alonsotegi,Porcentaje,Alonsotegi,99.4
2013,Edateko ura duten etxebizitzen proportzioa,,,Alonsotegi,Porcentaje,Alonsotegi,99.4
2015,Edateko ura duten etxebizitzen proportzioa,,,Alonsotegi,Porcentaje,Alonsotegi,99.4
2020,Edateko ura duten etxebizitzen proportzioa,,,Alonsotegi,Porcentaje,Alonsotegi,99.5
2014,Edateko ura duten etxebizitzen proportzioa,,,Alonsotegi,Porcentaje,Alonsotegi,99.4
2010,Edateko ura duten etxebizitzen proportzioa,,,Altzaga,Porcentaje,Altzaga,100.0
2018,Edateko ura duten etxebizitzen proportzioa,,,Altzaga,Porcentaje,Altzaga,100.0
2023,Edateko ura duten etxebizitzen proportzioa,,,Altzaga,Porcentaje,Altzaga,100.0
2016,Edateko ura duten etxebizitzen proportzioa,,,Altzaga,Porcentaje,Altzaga,100.0
2019,Edateko ura duten etxebizitzen proportzioa,,,Altzaga,Porcentaje,Altzaga,100.0
2013,Edateko ura duten etxebizitzen proportzioa,,,Altzaga,Porcentaje,Altzaga,100.0
2015,Edateko ura duten etxebizitzen proportzioa,,,Altzaga,Porcentaje,Altzaga,100.0
2022,Edateko ura duten etxebizitzen proportzioa,,,Altzaga,Porcentaje,Altzaga,100.0
2021,Edateko ura duten etxebizitzen proportzioa,,,Altzaga,Porcentaje,Altzaga,100.0
2020,Edateko ura duten etxebizitzen proportzioa,,,Altzaga,Porcentaje,Altzaga,100.0
2014,Edateko ura duten etxebizitzen proportzioa,,,Altzaga,Porcentaje,Altzaga,100.0
2019,Edateko ura duten etxebizitzen proportzioa,,,Altzo,Porcentaje,Altzo,100.0
2015,Edateko ura duten etxebizitzen proportzioa,,,Altzo,Porcentaje,Altzo,100.0
2014,Edateko ura duten etxebizitzen proportzioa,,,Altzo,Porcentaje,Altzo,100.0
2023,Edateko ura duten etxebizitzen proportzioa,,,Altzo,Porcentaje,Altzo,100.0
2018,Edateko ura duten etxebizitzen proportzioa,,,Altzo,Porcentaje,Altzo,100.0
2013,Edateko ura duten etxebizitzen proportzioa,,,Altzo,Porcentaje,Altzo,100.0
2022,Edateko ura duten etxebizitzen proportzioa,,,Altzo,Porcentaje,Altzo,100.0
2020,Edateko ura duten etxebizitzen proportzioa,,,Altzo,Porcentaje,Altzo,100.0
2021,Edateko ura duten etxebizitzen proportzioa,,,Altzo,Porcentaje,Altzo,100.0
2010,Edateko ura duten etxebizitzen proportzioa,,,Altzo,Porcentaje,Altzo,100.0
2016,Edateko ura duten etxebizitzen proportzioa,,,Altzo,Porcentaje,Altzo,100.0
2023,Edateko ura duten etxebizitzen proportzioa,,,Amezketa,Porcentaje,Amezketa,100.0
2020,Edateko ura duten etxebizitzen proportzioa,,,Amezketa,Porcentaje,Amezketa,100.0
2015,Edateko ura duten etxebizitzen proportzioa,,,Amezketa,Porcentaje,Amezketa,100.0
2016,Edateko ura duten etxebizitzen proportzioa,,,Amezketa,Porcentaje,Amezketa,100.0
2010,Edateko ura duten etxebizitzen proportzioa,,,Amezketa,Porcentaje,Amezketa,100.0
2021,Edateko ura duten etxebizitzen proportzioa,,,Amezketa,Porcentaje,Amezketa,100.0
2014,Edateko ura duten etxebizitzen proportzioa,,,Amezketa,Porcentaje,Amezketa,100.0
2022,Edateko ura duten etxebizitzen proportzioa,,,Amezketa,Porcentaje,Amezketa,100.0
2019,Edateko ura duten etxebizitzen proportzioa,,,Amezketa,Porcentaje,Amezketa,100.0
2013,Edateko ura duten etxebizitzen proportzioa,,,Amezketa,Porcentaje,Amezketa,100.0
2018,Edateko ura duten etxebizitzen proportzioa,,,Amezketa,Porcentaje,Amezketa,100.0
2016,Edateko ura duten etxebizitzen proportzioa,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,99.9
2023,Edateko ura duten etxebizitzen proportzioa,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,99.9
2014,Edateko ura duten etxebizitzen proportzioa,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,99.9
2019,Edateko ura duten etxebizitzen proportzioa,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,99.9
2022,Edateko ura duten etxebizitzen proportzioa,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,99.9
2021,Edateko ura duten etxebizitzen proportzioa,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,99.9
2013,Edateko ura duten etxebizitzen proportzioa,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,99.9
2010,Edateko ura duten etxebizitzen proportzioa,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,99.9
2018,Edateko ura duten etxebizitzen proportzioa,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,99.9
2020,Edateko ura duten etxebizitzen proportzioa,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,99.9
2015,Edateko ura duten etxebizitzen proportzioa,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,99.9
2019,Edateko ura duten etxebizitzen proportzioa,,,Amoroto,Porcentaje,Amoroto,100.0
2013,Edateko ura duten etxebizitzen proportzioa,,,Amoroto,Porcentaje,Amoroto,100.0
2021,Edateko ura duten etxebizitzen proportzioa,,,Amoroto,Porcentaje,Amoroto,100.0
2020,Edateko ura duten etxebizitzen proportzioa,,,Amoroto,Porcentaje,Amoroto,100.0
2010,Edateko ura duten etxebizitzen proportzioa,,,Amoroto,Porcentaje,Amoroto,100.0
2023,Edateko ura duten etxebizitzen proportzioa,,,Amoroto,Porcentaje,Amoroto,100.0
2018,Edateko ura duten etxebizitzen proportzioa,,,Amoroto,Porcentaje,Amoroto,100.0
2022,Edateko ura duten etxebizitzen proportzioa,,,Amoroto,Porcentaje,Amoroto,100.0
2015,Edateko ura duten etxebizitzen proportzioa,,,Amoroto,Porcentaje,Amoroto,100.0
2016,Edateko ura duten etxebizitzen proportzioa,,,Amoroto,Porcentaje,Amoroto,100.0
2014,Edateko ura duten etxebizitzen proportzioa,,,Amoroto,Porcentaje,Amoroto,100.0
2022,Edateko ura duten etxebizitzen proportzioa,,,Amurrio,Porcentaje,Amurrio,99.9
2014,Edateko ura duten etxebizitzen proportzioa,,,Amurrio,Porcentaje,Amurrio,100.0
2016,Edateko ura duten etxebizitzen proportzioa,,,Amurrio,Porcentaje,Amurrio,99.9
2021,Edateko ura duten etxebizitzen proportzioa,,,Amurrio,Porcentaje,Amurrio,99.9
2010,Edateko ura duten etxebizitzen proportzioa,,,Amurrio,Porcentaje,Amurrio,99.9
2020,Edateko ura duten etxebizitzen proportzioa,,,Amurrio,Porcentaje,Amurrio,100.0
2023,Edateko ura duten etxebizitzen proportzioa,,,Amurrio,Porcentaje,Amurrio,99.9
2013,Edateko ura duten etxebizitzen proportzioa,,,Amurrio,Porcentaje,Amurrio,100.0
2018,Edateko ura duten etxebizitzen proportzioa,,,Amurrio,Porcentaje,Amurrio,99.9
2015,Edateko ura duten etxebizitzen proportzioa,,,Amurrio,Porcentaje,Amurrio,100.0
2019,Edateko ura duten etxebizitzen proportzioa,,,Amurrio,Porcentaje,Amurrio,99.9
2010,Edateko ura duten etxebizitzen proportzioa,,,Andoain,Porcentaje,Andoain,100.0
2013,Edateko ura duten etxebizitzen proportzioa,,,Andoain,Porcentaje,Andoain,100.0
2018,Edateko ura duten etxebizitzen proportzioa,,,Andoain,Porcentaje,Andoain,100.0
2023,Edateko ura duten etxebizitzen proportzioa,,,Andoain,Porcentaje,Andoain,99.9
2020,Edateko ura duten etxebizitzen proportzioa,,,Andoain,Porcentaje,Andoain,100.0
2022,Edateko ura duten etxebizitzen proportzioa,,,Andoain,Porcentaje,Andoain,99.9
2015,Edateko ura duten etxebizitzen proportzioa,,,Andoain,Porcentaje,Andoain,99.9
2016,Edateko ura duten etxebizitzen proportzioa,,,Andoain,Porcentaje,Andoain,100.0
2014,Edateko ura duten etxebizitzen proportzioa,,,Andoain,Porcentaje,Andoain,99.9
2021,Edateko ura duten etxebizitzen proportzioa,,,Andoain,Porcentaje,Andoain,100.0
2019,Edateko ura duten etxebizitzen proportzioa,,,Andoain,Porcentaje,Andoain,100.0
2015,Edateko ura duten etxebizitzen proportzioa,,,Anoeta,Porcentaje,Anoeta,100.0
2023,Edateko ura duten etxebizitzen proportzioa,,,Anoeta,Porcentaje,Anoeta,100.0
2020,Edateko ura duten etxebizitzen proportzioa,,,Anoeta,Porcentaje,Anoeta,100.0
2021,Edateko ura duten etxebizitzen proportzioa,,,Anoeta,Porcentaje,Anoeta,100.0
2018,Edateko ura duten etxebizitzen proportzioa,,,Anoeta,Porcentaje,Anoeta,100.0
2022,Edateko ura duten etxebizitzen proportzioa,,,Anoeta,Porcentaje,Anoeta,100.0
2014,Edateko ura duten etxebizitzen proportzioa,,,Anoeta,Porcentaje,Anoeta,100.0
2010,Edateko ura duten etxebizitzen proportzioa,,,Anoeta,Porcentaje,Anoeta,100.0
2016,Edateko ura duten etxebizitzen proportzioa,,,Anoeta,Porcentaje,Anoeta,100.0
2013,Edateko ura duten etxebizitzen proportzioa,,,Anoeta,Porcentaje,Anoeta,100.0
2019,Edateko ura duten etxebizitzen proportzioa,,,Anoeta,Porcentaje,Anoeta,100.0
2020,Edateko ura duten etxebizitzen proportzioa,,,Antzuola,Porcentaje,Antzuola,99.9
2018,Edateko ura duten etxebizitzen proportzioa,,,Antzuola,Porcentaje,Antzuola,99.9
2015,Edateko ura duten etxebizitzen proportzioa,,,Antzuola,Porcentaje,Antzuola,99.9
2021,Edateko ura duten etxebizitzen proportzioa,,,Antzuola,Porcentaje,Antzuola,99.9
2023,Edateko ura duten etxebizitzen proportzioa,,,Antzuola,Porcentaje,Antzuola,99.9
2016,Edateko ura duten etxebizitzen proportzioa,,,Antzuola,Porcentaje,Antzuola,99.9
2013,Edateko ura duten etxebizitzen proportzioa,,,Antzuola,Porcentaje,Antzuola,99.9
2010,Edateko ura duten etxebizitzen proportzioa,,,Antzuola,Porcentaje,Antzuola,99.9
2019,Edateko ura duten etxebizitzen proportzioa,,,Antzuola,Porcentaje,Antzuola,99.9
2014,Edateko ura duten etxebizitzen proportzioa,,,Antzuola,Porcentaje,Antzuola,99.9
2022,Edateko ura duten etxebizitzen proportzioa,,,Antzuola,Porcentaje,Antzuola,99.9
2018,Edateko ura duten etxebizitzen proportzioa,,,Añana,Porcentaje,Añana,100.0
2013,Edateko ura duten etxebizitzen proportzioa,,,Añana,Porcentaje,Añana,100.0
2016,Edateko ura duten etxebizitzen proportzioa,,,Añana,Porcentaje,Añana,100.0
2022,Edateko ura duten etxebizitzen proportzioa,,,Añana,Porcentaje,Añana,100.0
2015,Edateko ura duten etxebizitzen proportzioa,,,Añana,Porcentaje,Añana,100.0
2021,Edateko ura duten etxebizitzen proportzioa,,,Añana,Porcentaje,Añana,100.0
2020,Edateko ura duten etxebizitzen proportzioa,,,Añana,Porcentaje,Añana,100.0
2023,Edateko ura duten etxebizitzen proportzioa,,,Añana,Porcentaje,Añana,100.0
2010,Edateko ura duten etxebizitzen proportzioa,,,Añana,Porcentaje,Añana,100.0
2014,Edateko ura duten etxebizitzen proportzioa,,,Añana,Porcentaje,Añana,100.0
2019,Edateko ura duten etxebizitzen proportzioa,,,Añana,Porcentaje,Añana,100.0
2021,Edateko ura duten etxebizitzen proportzioa,,,Arakaldo,Porcentaje,Arakaldo,100.0
2015,Edateko ura duten etxebizitzen proportzioa,,,Arakaldo,Porcentaje,Arakaldo,100.0
2016,Edateko ura duten etxebizitzen proportzioa,,,Arakaldo,Porcentaje,Arakaldo,100.0
2019,Edateko ura duten etxebizitzen proportzioa,,,Arakaldo,Porcentaje,Arakaldo,100.0
2013,Edateko ura duten etxebizitzen proportzioa,,,Arakaldo,Porcentaje,Arakaldo,100.0
2014,Edateko ura duten etxebizitzen proportzioa,,,Arakaldo,Porcentaje,Arakaldo,100.0
