Year,Series,Lurralde historikoa,Units,Value
2011,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,PER_1000000_POP,4782.9
2016,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,PER_1000000_POP,6805.1
2020,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,PER_1000000_POP,7887.6
2012,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,PER_1000000_POP,6543.7
2013,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,PER_1000000_POP,6478.7
2011,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,PER_1000000_POP,6424.6
2015,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,PER_1000000_POP,6633.7
2018,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,PER_1000000_POP,7658.9
2017,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,PER_1000000_POP,7317.1
2019,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,PER_1000000_POP,7839.7
2010,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,PER_1000000_POP,6331.9
2022,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,PER_1000000_POP,8859.8
2021,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,PER_1000000_POP,8478.4
2014,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,PER_1000000_POP,6547.1
