Year,Territorio,Comarca,Municipio,Units,GeoCode,Desaggregation,Value
2016,,,ES48911,PT,ES48911,All,3.7
2014,,,ES48911,PT,ES48911,All,4.5
2022,,,ES48911,PT,ES48911,All,4.0
2020,,,ES48911,PT,ES48911,All,3.8
2018,,,ES48911,PT,ES48911,All,3.7
2023,,,ES48911,PT,ES48911,All,14.9
2012,,,ES48911,PT,ES48911,All,4.0
2010,,,ES48911,PT,ES48911,All,1.8
2014,,,ES20004,PT,ES20004,All,0.0
2015,,,ES20004,PT,ES20004,All,0.0
2012,,,ES20004,PT,ES20004,All,0.0
2022,,,ES20004,PT,ES20004,All,0.0
2013,,,ES20004,PT,ES20004,All,0.0
2011,,,ES20004,PT,ES20004,All,0.0
2023,,,ES20004,PT,ES20004,All,0.0
2017,,,ES20004,PT,ES20004,All,0.0
2021,,,ES20004,PT,ES20004,All,0.0
2018,,,ES20004,PT,ES20004,All,0.0
2020,,,ES20004,PT,ES20004,All,0.0
2010,,,ES20004,PT,ES20004,All,0.0
2019,,,ES20004,PT,ES20004,All,0.0
2016,,,ES20004,PT,ES20004,All,0.0
2016,,,ES20005,PT,ES20005,All,0.0
2012,,,ES20005,PT,ES20005,All,0.0
2017,,,ES20005,PT,ES20005,All,0.5
2013,,,ES20005,PT,ES20005,All,0.0
2021,,,ES20005,PT,ES20005,All,0.5
2014,,,ES20005,PT,ES20005,All,0.0
2020,,,ES20005,PT,ES20005,All,0.5
2018,,,ES20005,PT,ES20005,All,0.5
2019,,,ES20005,PT,ES20005,All,0.5
2010,,,ES20005,PT,ES20005,All,0.0
2015,,,ES20005,PT,ES20005,All,0.0
2022,,,ES20005,PT,ES20005,All,0.5
2023,,,ES20005,PT,ES20005,All,0.5
2011,,,ES20005,PT,ES20005,All,0.0
2023,,,ES01001,PT,ES01001,All,1.4
2016,,,ES01001,PT,ES01001,All,0.3
2017,,,ES01001,PT,ES01001,All,0.3
2010,,,ES01001,PT,ES01001,All,0.2
2020,,,ES01001,PT,ES01001,All,1.0
2015,,,ES01001,PT,ES01001,All,0.3
2021,,,ES01001,PT,ES01001,All,1.0
2012,,,ES01001,PT,ES01001,All,0.2
2018,,,ES01001,PT,ES01001,All,0.5
2014,,,ES01001,PT,ES01001,All,0.3
2022,,,ES01001,PT,ES01001,All,1.4
2013,,,ES01001,PT,ES01001,All,0.5
2019,,,ES01001,PT,ES01001,All,1.0
2011,,,ES01001,PT,ES01001,All,0.2
2020,,,ES20006,PT,ES20006,All,0.4
2023,,,ES20006,PT,ES20006,All,2.6
2014,,,ES20006,PT,ES20006,All,0.2
2010,,,ES20006,PT,ES20006,All,0.2
2013,,,ES20006,PT,ES20006,All,0.2
2021,,,ES20006,PT,ES20006,All,0.4
2022,,,ES20006,PT,ES20006,All,3.0
2018,,,ES20006,PT,ES20006,All,0.2
2017,,,ES20006,PT,ES20006,All,0.2
2019,,,ES20006,PT,ES20006,All,0.2
2016,,,ES20006,PT,ES20006,All,0.2
2012,,,ES20006,PT,ES20006,All,0.2
2011,,,ES20006,PT,ES20006,All,0.2
2015,,,ES20006,PT,ES20006,All,0.2
2016,,,ES48912,PT,ES48912,All,0.1
2022,,,ES48912,PT,ES48912,All,0.2
2013,,,ES48912,PT,ES48912,All,0.1
2023,,,ES48912,PT,ES48912,All,0.2
2011,,,ES48912,PT,ES48912,All,0.0
2018,,,ES48912,PT,ES48912,All,0.1
2021,,,ES48912,PT,ES48912,All,0.0
2012,,,ES48912,PT,ES48912,All,0.5
2020,,,ES48912,PT,ES48912,All,0.1
2010,,,ES48912,PT,ES48912,All,0.0
2019,,,ES48912,PT,ES48912,All,0.1
2015,,,ES48912,PT,ES48912,All,0.1
2017,,,ES48912,PT,ES48912,All,0.1
2014,,,ES48912,PT,ES48912,All,0.7
2019,,,ES20906,PT,ES20906,All,6.0
2023,,,ES20906,PT,ES20906,All,14.5
2013,,,ES20906,PT,ES20906,All,3.4
2014,,,ES20906,PT,ES20906,All,4.9
2016,,,ES20906,PT,ES20906,All,4.3
2011,,,ES20906,PT,ES20906,All,0.0
2018,,,ES20906,PT,ES20906,All,5.3
2017,,,ES20906,PT,ES20906,All,6.8
2022,,,ES20906,PT,ES20906,All,9.7
2020,,,ES20906,PT,ES20906,All,9.6
2012,,,ES20906,PT,ES20906,All,0.0
2015,,,ES20906,PT,ES20906,All,5.0
2010,,,ES20906,PT,ES20906,All,0.0
2021,,,ES20906,PT,ES20906,All,9.7
2023,,,ES20007,PT,ES20007,All,22.8
2021,,,ES20007,PT,ES20007,All,22.1
2020,,,ES20007,PT,ES20007,All,22.1
2011,,,ES20007,PT,ES20007,All,13.9
2010,,,ES20007,PT,ES20007,All,14.2
2013,,,ES20007,PT,ES20007,All,14.5
2022,,,ES20007,PT,ES20007,All,23.0
2016,,,ES20007,PT,ES20007,All,13.3
2017,,,ES20007,PT,ES20007,All,13.6
2012,,,ES20007,PT,ES20007,All,14.5
2018,,,ES20007,PT,ES20007,All,12.8
2019,,,ES20007,PT,ES20007,All,23.3
2015,,,ES20007,PT,ES20007,All,12.8
2014,,,ES20007,PT,ES20007,All,14.3
2022,,,ES20008,PT,ES20008,All,1.2
2013,,,ES20008,PT,ES20008,All,0.0
2010,,,ES20008,PT,ES20008,All,0.0
2015,,,ES20008,PT,ES20008,All,0.0
2023,,,ES20008,PT,ES20008,All,1.2
2011,,,ES20008,PT,ES20008,All,0.0
2016,,,ES20008,PT,ES20008,All,0.0
2014,,,ES20008,PT,ES20008,All,0.0
2019,,,ES20008,PT,ES20008,All,0.6
2021,,,ES20008,PT,ES20008,All,0.6
2012,,,ES20008,PT,ES20008,All,0.0
2017,,,ES20008,PT,ES20008,All,0.0
2018,,,ES20008,PT,ES20008,All,0.0
2020,,,ES20008,PT,ES20008,All,0.6
2016,,,ES48003,PT,ES48003,All,0.9
2018,,,ES48003,PT,ES48003,All,1.8
2015,,,ES48003,PT,ES48003,All,0.2
2011,,,ES48003,PT,ES48003,All,1.6
2012,,,ES48003,PT,ES48003,All,1.1
2010,,,ES48003,PT,ES48003,All,1.6
2023,,,ES48003,PT,ES48003,All,4.2
2013,,,ES48003,PT,ES48003,All,1.2
2014,,,ES48003,PT,ES48003,All,0.1
2022,,,ES48003,PT,ES48003,All,3.6
2017,,,ES48003,PT,ES48003,All,1.2
2021,,,ES48003,PT,ES48003,All,3.3
2019,,,ES48003,PT,ES48003,All,2.5
2020,,,ES48003,PT,ES48003,All,2.7
2022,,,ES48004,PT,ES48004,All,7.8
2017,,,ES48004,PT,ES48004,All,1.8
2019,,,ES48004,PT,ES48004,All,3.0
2010,,,ES48004,PT,ES48004,All,1.5
2018,,,ES48004,PT,ES48004,All,1.8
2011,,,ES48004,PT,ES48004,All,1.9
2014,,,ES48004,PT,ES48004,All,2.1
2015,,,ES48004,PT,ES48004,All,1.9
2020,,,ES48004,PT,ES48004,All,9.6
2021,,,ES48004,PT,ES48004,All,9.4
2012,,,ES48004,PT,ES48004,All,1.9
2023,,,ES48004,PT,ES48004,All,8.9
2013,,,ES48004,PT,ES48004,All,2.9
2016,,,ES48004,PT,ES48004,All,1.8
2018,,,ES01002,PT,ES01002,All,1.8
2020,,,ES01002,PT,ES01002,All,1.9
2017,,,ES01002,PT,ES01002,All,1.8
2015,,,ES01002,PT,ES01002,All,1.5
2012,,,ES01002,PT,ES01002,All,1.4
2011,,,ES01002,PT,ES01002,All,1.3
2016,,,ES01002,PT,ES01002,All,1.7
2023,,,ES01002,PT,ES01002,All,2.2
2022,,,ES01002,PT,ES01002,All,2.1
2021,,,ES01002,PT,ES01002,All,2.1
2013,,,ES01002,PT,ES01002,All,1.5
2014,,,ES01002,PT,ES01002,All,1.5
2019,,,ES01002,PT,ES01002,All,1.9
2010,,,ES01002,PT,ES01002,All,1.2
2011,,,ES20009,PT,ES20009,All,4.0
2023,,,ES20009,PT,ES20009,All,5.5
2018,,,ES20009,PT,ES20009,All,4.5
2010,,,ES20009,PT,ES20009,All,3.9
2014,,,ES20009,PT,ES20009,All,4.2
2017,,,ES20009,PT,ES20009,All,4.3
2022,,,ES20009,PT,ES20009,All,5.5
2021,,,ES20009,PT,ES20009,All,4.5
2015,,,ES20009,PT,ES20009,All,4.2
2012,,,ES20009,PT,ES20009,All,4.0
2016,,,ES20009,PT,ES20009,All,4.2
2020,,,ES20009,PT,ES20009,All,4.8
2019,,,ES20009,PT,ES20009,All,4.8
2013,,,ES20009,PT,ES20009,All,4.0
2018,,,ES20010,PT,ES20010,All,10.8
2015,,,ES20010,PT,ES20010,All,11.0
2022,,,ES20010,PT,ES20010,All,12.6
2013,,,ES20010,PT,ES20010,All,10.4
2019,,,ES20010,PT,ES20010,All,12.5
2020,,,ES20010,PT,ES20010,All,12.7
2012,,,ES20010,PT,ES20010,All,10.4
2010,,,ES20010,PT,ES20010,All,9.9
2011,,,ES20010,PT,ES20010,All,10.2
2014,,,ES20010,PT,ES20010,All,11.0
2021,,,ES20010,PT,ES20010,All,12.7
2023,,,ES20010,PT,ES20010,All,11.7
2017,,,ES20010,PT,ES20010,All,10.5
2016,,,ES20010,PT,ES20010,All,12.4
2018,,,ES20011,PT,ES20011,All,10.7
2023,,,ES20011,PT,ES20011,All,25.5
2019,,,ES20011,PT,ES20011,All,18.1
2022,,,ES20011,PT,ES20011,All,23.2
2016,,,ES20011,PT,ES20011,All,4.8
2012,,,ES20011,PT,ES20011,All,4.1
2017,,,ES20011,PT,ES20011,All,8.1
2021,,,ES20011,PT,ES20011,All,17.0
2013,,,ES20011,PT,ES20011,All,4.1
2015,,,ES20011,PT,ES20011,All,4.4
2010,,,ES20011,PT,ES20011,All,4.1
2011,,,ES20011,PT,ES20011,All,4.1
2020,,,ES20011,PT,ES20011,All,16.9
2014,,,ES20011,PT,ES20011,All,4.1
2012,,,ES01049,PT,ES01049,All,0.0
2017,,,ES01049,PT,ES01049,All,0.9
2022,,,ES01049,PT,ES01049,All,1.1
2015,,,ES01049,PT,ES01049,All,0.4
2020,,,ES01049,PT,ES01049,All,1.1
2023,,,ES01049,PT,ES01049,All,1.2
2019,,,ES01049,PT,ES01049,All,1.0
2014,,,ES01049,PT,ES01049,All,0.4
2016,,,ES01049,PT,ES01049,All,0.4
2011,,,ES01049,PT,ES01049,All,0.0
2018,,,ES01049,PT,ES01049,All,0.4
2013,,,ES01049,PT,ES01049,All,0.1
2021,,,ES01049,PT,ES01049,All,1.0
2010,,,ES01049,PT,ES01049,All,0.0
2010,,,ES48005,PT,ES48005,All,0.0
2023,,,ES48005,PT,ES48005,All,0.0
2015,,,ES48005,PT,ES48005,All,0.0
2011,,,ES48005,PT,ES48005,All,0.0
2012,,,ES48005,PT,ES48005,All,0.0
2016,,,ES48005,PT,ES48005,All,0.0
2019,,,ES48005,PT,ES48005,All,0.0
2021,,,ES48005,PT,ES48005,All,0.4
2020,,,ES48005,PT,ES48005,All,0.4
2017,,,ES48005,PT,ES48005,All,0.0
2022,,,ES48005,PT,ES48005,All,0.4
2018,,,ES48005,PT,ES48005,All,0.0
2013,,,ES48005,PT,ES48005,All,0.0
2014,,,ES48005,PT,ES48005,All,0.0
2016,,,ES20012,PT,ES20012,All,0.0
2022,,,ES20012,PT,ES20012,All,0.0
2017,,,ES20012,PT,ES20012,All,0.0
2019,,,ES20012,PT,ES20012,All,0.0
2015,,,ES20012,PT,ES20012,All,0.0
2013,,,ES20012,PT,ES20012,All,0.0
2014,,,ES20012,PT,ES20012,All,0.0
2023,,,ES20012,PT,ES20012,All,0.0
2010,,,ES20012,PT,ES20012,All,0.0
2012,,,ES20012,PT,ES20012,All,0.0
2011,,,ES20012,PT,ES20012,All,0.0
2018,,,ES20012,PT,ES20012,All,0.0
2021,,,ES20012,PT,ES20012,All,0.0
2020,,,ES20012,PT,ES20012,All,0.0
2014,,,ES01003,PT,ES01003,All,1.1
2016,,,ES01003,PT,ES01003,All,2.5
2012,,,ES01003,PT,ES01003,All,0.8
2018,,,ES01003,PT,ES01003,All,2.2
2011,,,ES01003,PT,ES01003,All,0.7
2020,,,ES01003,PT,ES01003,All,2.5
2010,,,ES01003,PT,ES01003,All,0.7
2013,,,ES01003,PT,ES01003,All,0.8
2015,,,ES01003,PT,ES01003,All,2.4
2022,,,ES01003,PT,ES01003,All,4.2
2021,,,ES01003,PT,ES01003,All,2.4
2019,,,ES01003,PT,ES01003,All,2.4
2017,,,ES01003,PT,ES01003,All,2.3
2023,,,ES01003,PT,ES01003,All,3.6
2018,,,ES48006,PT,ES48006,All,0.1
2013,,,ES48006,PT,ES48006,All,0.0
2014,,,ES48006,PT,ES48006,All,0.0
2019,,,ES48006,PT,ES48006,All,0.2
2011,,,ES48006,PT,ES48006,All,0.0
2017,,,ES48006,PT,ES48006,All,0.2
2010,,,ES48006,PT,ES48006,All,0.0
2023,,,ES48006,PT,ES48006,All,0.2
2015,,,ES48006,PT,ES48006,All,0.0
2021,,,ES48006,PT,ES48006,All,0.2
2012,,,ES48006,PT,ES48006,All,0.0
2016,,,ES48006,PT,ES48006,All,0.2
2022,,,ES48006,PT,ES48006,All,0.2
2020,,,ES48006,PT,ES48006,All,0.2
2014,,,ES48093,PT,ES48093,All,0.4
2016,,,ES48093,PT,ES48093,All,0.4
2015,,,ES48093,PT,ES48093,All,0.4
2019,,,ES48093,PT,ES48093,All,0.4
2020,,,ES48093,PT,ES48093,All,0.6
2021,,,ES48093,PT,ES48093,All,21.5
2017,,,ES48093,PT,ES48093,All,0.4
2018,,,ES48093,PT,ES48093,All,0.4
2013,,,ES48093,PT,ES48093,All,0.4
2012,,,ES48093,PT,ES48093,All,0.4
2023,,,ES48093,PT,ES48093,All,21.6
2010,,,ES48093,PT,ES48093,All,0.0
2022,,,ES48093,PT,ES48093,All,21.7
2011,,,ES48093,PT,ES48093,All,0.0
2010,,,ES20013,PT,ES20013,All,2.5
2013,,,ES20013,PT,ES20013,All,8.7
2017,,,ES20013,PT,ES20013,All,7.5
2019,,,ES20013,PT,ES20013,All,4.9
2016,,,ES20013,PT,ES20013,All,9.3
2011,,,ES20013,PT,ES20013,All,2.5
2021,,,ES20013,PT,ES20013,All,7.4
2014,,,ES20013,PT,ES20013,All,9.1
2012,,,ES20013,PT,ES20013,All,2.5
2023,,,ES20013,PT,ES20013,All,13.4
2018,,,ES20013,PT,ES20013,All,7.4
2020,,,ES20013,PT,ES20013,All,4.9
2022,,,ES20013,PT,ES20013,All,7.9
2015,,,ES20013,PT,ES20013,All,9.5
2022,,,ES01006,PT,ES01006,All,0.6
2015,,,ES01006,PT,ES01006,All,0.0
2011,,,ES01006,PT,ES01006,All,0.0
2012,,,ES01006,PT,ES01006,All,0.0
2023,,,ES01006,PT,ES01006,All,0.6
2010,,,ES01006,PT,ES01006,All,0.0
2017,,,ES01006,PT,ES01006,All,0.0
2014,,,ES01006,PT,ES01006,All,0.0
2018,,,ES01006,PT,ES01006,All,0.0
2021,,,ES01006,PT,ES01006,All,0.6
2020,,,ES01006,PT,ES01006,All,0.6
2016,,,ES01006,PT,ES01006,All,0.0
2019,,,ES01006,PT,ES01006,All,0.0
2013,,,ES01006,PT,ES01006,All,0.0
2023,,,ES01037,PT,ES01037,All,18.8
2010,,,ES01037,PT,ES01037,All,5.4
2012,,,ES01037,PT,ES01037,All,6.8
2011,,,ES01037,PT,ES01037,All,6.4
2021,,,ES01037,PT,ES01037,All,15.5
2016,,,ES01037,PT,ES01037,All,4.8
2022,,,ES01037,PT,ES01037,All,16.8
2019,,,ES01037,PT,ES01037,All,5.7
2020,,,ES01037,PT,ES01037,All,12.3
2018,,,ES01037,PT,ES01037,All,5.0
2013,,,ES01037,PT,ES01037,All,6.9
2015,,,ES01037,PT,ES01037,All,5.7
2017,,,ES01037,PT,ES01037,All,4.9
2014,,,ES01037,PT,ES01037,All,8.1
2023,,,ES48009,PT,ES48009,All,0.0
2018,,,ES48009,PT,ES48009,All,0.2
2022,,,ES48009,PT,ES48009,All,0.0
2020,,,ES48009,PT,ES48009,All,0.2
2015,,,ES48009,PT,ES48009,All,0.2
2017,,,ES48009,PT,ES48009,All,0.2
2021,,,ES48009,PT,ES48009,All,0.0
2011,,,ES48009,PT,ES48009,All,0.2
2012,,,ES48009,PT,ES48009,All,0.2
2019,,,ES48009,PT,ES48009,All,0.2
2013,,,ES48009,PT,ES48009,All,0.2
2010,,,ES48009,PT,ES48009,All,0.0
2014,,,ES48009,PT,ES48009,All,0.2
2016,,,ES48009,PT,ES48009,All,0.2
2016,,,ES20055,PT,ES20055,All,1.4
2010,,,ES20055,PT,ES20055,All,1.0
2019,,,ES20055,PT,ES20055,All,1.5
2017,,,ES20055,PT,ES20055,All,1.2
2011,,,ES20055,PT,ES20055,All,0.9
2023,,,ES20055,PT,ES20055,All,2.2
2014,,,ES20055,PT,ES20055,All,1.3
2013,,,ES20055,PT,ES20055,All,1.1
2020,,,ES20055,PT,ES20055,All,1.8
2012,,,ES20055,PT,ES20055,All,0.9
2021,,,ES20055,PT,ES20055,All,2.4
2015,,,ES20055,PT,ES20055,All,1.2
2018,,,ES20055,PT,ES20055,All,1.2
2022,,,ES20055,PT,ES20055,All,2.0
2020,,,ES48914,PT,ES48914,All,0.9
2014,,,ES48914,PT,ES48914,All,0.9
2017,,,ES48914,PT,ES48914,All,0.9
2011,,,ES48914,PT,ES48914,All,0.9
2015,,,ES48914,PT,ES48914,All,0.9
2010,,,ES48914,PT,ES48914,All,0.9
2012,,,ES48914,PT,ES48914,All,0.9
2018,,,ES48914,PT,ES48914,All,0.9
2019,,,ES48914,PT,ES48914,All,0.9
2021,,,ES48914,PT,ES48914,All,0.9
2022,,,ES48914,PT,ES48914,All,1.0
2023,,,ES48914,PT,ES48914,All,1.0
2016,,,ES48914,PT,ES48914,All,0.9
2013,,,ES48914,PT,ES48914,All,0.9
2020,,,ES01008,PT,ES01008,All,0.1
2021,,,ES01008,PT,ES01008,All,0.1
2015,,,ES01008,PT,ES01008,All,0.1
2013,,,ES01008,PT,ES01008,All,0.1
2014,,,ES01008,PT,ES01008,All,0.1
2018,,,ES01008,PT,ES01008,All,0.1
2022,,,ES01008,PT,ES01008,All,0.1
2012,,,ES01008,PT,ES01008,All,0.2
2011,,,ES01008,PT,ES01008,All,0.2
2010,,,ES01008,PT,ES01008,All,0.2
2023,,,ES01008,PT,ES01008,All,0.1
2017,,,ES01008,PT,ES01008,All,0.1
2019,,,ES01008,PT,ES01008,All,0.1
2016,,,ES01008,PT,ES01008,All,0.1
2018,,,ES48010,PT,ES48010,All,1.9
2010,,,ES48010,PT,ES48010,All,0.0
2014,,,ES48010,PT,ES48010,All,0.2
2022,,,ES48010,PT,ES48010,All,5.5
2017,,,ES48010,PT,ES48010,All,1.4
2016,,,ES48010,PT,ES48010,All,1.4
2021,,,ES48010,PT,ES48010,All,5.5
2020,,,ES48010,PT,ES48010,All,5.5
2011,,,ES48010,PT,ES48010,All,0.0
2023,,,ES48010,PT,ES48010,All,5.5
2013,,,ES48010,PT,ES48010,All,0.1
2019,,,ES48010,PT,ES48010,All,1.8
2015,,,ES48010,PT,ES48010,All,0.2
2012,,,ES48010,PT,ES48010,All,0.1
2014,,,ES48011,PT,ES48011,All,0.0
2021,,,ES48011,PT,ES48011,All,0.0
2010,,,ES48011,PT,ES48011,All,0.0
2015,,,ES48011,PT,ES48011,All,0.0
2023,,,ES48011,PT,ES48011,All,0.0
2016,,,ES48011,PT,ES48011,All,0.0
2019,,,ES48011,PT,ES48011,All,0.0
2012,,,ES48011,PT,ES48011,All,0.0
2018,,,ES48011,PT,ES48011,All,0.0
2020,,,ES48011,PT,ES48011,All,0.0
2022,,,ES48011,PT,ES48011,All,0.0
2011,,,ES48011,PT,ES48011,All,0.0
2017,,,ES48011,PT,ES48011,All,0.0
2013,,,ES48011,PT,ES48011,All,0.0
2023,,,ES48023,PT,ES48023,All,3.2
2016,,,ES48023,PT,ES48023,All,2.7
2021,,,ES48023,PT,ES48023,All,3.2
2017,,,ES48023,PT,ES48023,All,2.9
2015,,,ES48023,PT,ES48023,All,2.7
2022,,,ES48023,PT,ES48023,All,3.1
2013,,,ES48023,PT,ES48023,All,2.7
2020,,,ES48023,PT,ES48023,All,3.0
2012,,,ES48023,PT,ES48023,All,2.7
2014,,,ES48023,PT,ES48023,All,2.7
2010,,,ES48023,PT,ES48023,All,0.8
2011,,,ES48023,PT,ES48023,All,2.8
2019,,,ES48023,PT,ES48023,All,3.0
2018,,,ES48023,PT,ES48023,All,2.9
2013,,,ES48008,PT,ES48008,All,2.8
2014,,,ES48008,PT,ES48008,All,2.9
2012,,,ES48008,PT,ES48008,All,2.7
2020,,,ES48008,PT,ES48008,All,2.8
2015,,,ES48008,PT,ES48008,All,2.9
2023,,,ES48008,PT,ES48008,All,2.8
2021,,,ES48008,PT,ES48008,All,3.3
2018,,,ES48008,PT,ES48008,All,2.8
2022,,,ES48008,PT,ES48008,All,3.4
2011,,,ES48008,PT,ES48008,All,2.7
2019,,,ES48008,PT,ES48008,All,2.9
2017,,,ES48008,PT,ES48008,All,2.9
2016,,,ES48008,PT,ES48008,All,2.9
2010,,,ES48008,PT,ES48008,All,2.0
2019,,,ES01004,PT,ES01004,All,0.0
2015,,,ES01004,PT,ES01004,All,0.0
2023,,,ES01004,PT,ES01004,All,0.0
2016,,,ES01004,PT,ES01004,All,0.0
2022,,,ES01004,PT,ES01004,All,0.0
2014,,,ES01004,PT,ES01004,All,0.0
2012,,,ES01004,PT,ES01004,All,0.1
2021,,,ES01004,PT,ES01004,All,0.0
2017,,,ES01004,PT,ES01004,All,0.0
2011,,,ES01004,PT,ES01004,All,2.2
2018,,,ES01004,PT,ES01004,All,0.0
2020,,,ES01004,PT,ES01004,All,0.0
2010,,,ES01004,PT,ES01004,All,0.0
2013,,,ES01004,PT,ES01004,All,0.0
2021,,,ES01009,PT,ES01009,All,0.0
2022,,,ES01009,PT,ES01009,All,0.0
2023,,,ES01009,PT,ES01009,All,0.0
2017,,,ES01009,PT,ES01009,All,0.0
2015,,,ES01009,PT,ES01009,All,0.0
2012,,,ES01009,PT,ES01009,All,0.0
2014,,,ES01009,PT,ES01009,All,0.0
2020,,,ES01009,PT,ES01009,All,0.0
2016,,,ES01009,PT,ES01009,All,0.0
