Year,Erakundea,Lurralde historikoa,Units,Value
2021,Foru-gobernuetako sailburuak,Araba / Álava,PT,66.7
2019,Foru-gobernuetako sailburuak,Araba / Álava,PT,66.7
2016,Foru-gobernuetako sailburuak,Araba / Álava,PT,50.0
2017,Foru-gobernuetako sailburuak,Araba / Álava,PT,50.0
2015,Foru-gobernuetako sailburuak,Araba / Álava,PT,50.0
2013,Foru-gobernuetako sailburuak,Araba / Álava,PT,50.0
2010,Foru-gobernuetako sailburuak,Araba / Álava,PT,40.0
2014,Foru-gobernuetako sailburuak,Araba / Álava,PT,50.0
2012,Foru-gobernuetako sailburuak,Araba / Álava,PT,50.0
2020,Foru-gobernuetako sailburuak,Araba / Álava,PT,66.7
2011,Foru-gobernuetako sailburuak,Araba / Álava,PT,50.0
2017,Foru-gobernuetako sailburuak,Bizkaia,PT,55.6
2014,Foru-gobernuetako sailburuak,Bizkaia,PT,40.0
2018,Foru-gobernuetako sailburuak,Bizkaia,PT,55.6
2012,Foru-gobernuetako sailburuak,Bizkaia,PT,40.0
2020,Foru-gobernuetako sailburuak,Bizkaia,PT,50.0
2021,Foru-gobernuetako sailburuak,Bizkaia,PT,50.0
2019,Foru-gobernuetako sailburuak,Bizkaia,PT,50.0
2016,Foru-gobernuetako sailburuak,Bizkaia,PT,55.6
2015,Foru-gobernuetako sailburuak,Bizkaia,PT,55.6
2013,Foru-gobernuetako sailburuak,Bizkaia,PT,40.0
2010,Foru-gobernuetako sailburuak,Bizkaia,PT,33.3
2022,Foru-gobernuetako sailburuak,Bizkaia,PT,50.0
2011,Foru-gobernuetako sailburuak,Bizkaia,PT,40.0
2021,Foru-gobernuetako sailburuak,Gipuzkoa,PT,50.0
2019,Foru-gobernuetako sailburuak,Gipuzkoa,PT,50.0
2017,Foru-gobernuetako sailburuak,Gipuzkoa,PT,44.4
2011,Foru-gobernuetako sailburuak,Gipuzkoa,PT,37.5
2010,Foru-gobernuetako sailburuak,Gipuzkoa,PT,36.4
2014,Foru-gobernuetako sailburuak,Gipuzkoa,PT,37.5
2015,Foru-gobernuetako sailburuak,Gipuzkoa,PT,44.4
2018,Foru-gobernuetako sailburuak,Gipuzkoa,PT,44.4
2012,Foru-gobernuetako sailburuak,Gipuzkoa,PT,37.5
2016,Foru-gobernuetako sailburuak,Gipuzkoa,PT,44.4
2013,Foru-gobernuetako sailburuak,Gipuzkoa,PT,37.5
2020,Foru-gobernuetako sailburuak,Gipuzkoa,PT,50.0
2022,Foru-gobernuetako sailburuak,Gipuzkoa,PT,50.0
2010,Batzar Nagusietako hautetsiak,,PT,41.2
2021,Batzar Nagusietako hautetsiak,,PT,54.2
2015,Batzar Nagusietako hautetsiak,,PT,48.1
2020,Batzar Nagusietako hautetsiak,,PT,54.2
2017,Batzar Nagusietako hautetsiak,,PT,48.1
2018,Batzar Nagusietako hautetsiak,,PT,48.1
2012,Batzar Nagusietako hautetsiak,,PT,48.4
2022,Batzar Nagusietako hautetsiak,,PT,54.2
2019,Batzar Nagusietako hautetsiak,,PT,54.2
2016,Batzar Nagusietako hautetsiak,,PT,48.1
2011,Batzar Nagusietako hautetsiak,,PT,48.4
2013,Batzar Nagusietako hautetsiak,,PT,48.4
2014,Batzar Nagusietako hautetsiak,,PT,48.4
2010,Batzar Nagusietako hautetsiak,Araba / Álava,PT,41.2
2014,Batzar Nagusietako hautetsiak,Araba / Álava,PT,51.0
2012,Batzar Nagusietako hautetsiak,Araba / Álava,PT,51.0
2020,Batzar Nagusietako hautetsiak,Araba / Álava,PT,56.9
2022,Batzar Nagusietako hautetsiak,Araba / Álava,PT,56.9
2021,Batzar Nagusietako hautetsiak,Araba / Álava,PT,56.9
2019,Batzar Nagusietako hautetsiak,Araba / Álava,PT,56.9
2018,Batzar Nagusietako hautetsiak,Araba / Álava,PT,45.1
2017,Batzar Nagusietako hautetsiak,Araba / Álava,PT,45.1
2016,Batzar Nagusietako hautetsiak,Araba / Álava,PT,45.1
2015,Batzar Nagusietako hautetsiak,Araba / Álava,PT,45.1
2013,Batzar Nagusietako hautetsiak,Araba / Álava,PT,51.0
2011,Batzar Nagusietako hautetsiak,Araba / Álava,PT,51.0
2022,Batzar Nagusietako hautetsiak,Bizkaia,PT,51.0
2021,Batzar Nagusietako hautetsiak,Bizkaia,PT,51.0
2019,Batzar Nagusietako hautetsiak,Bizkaia,PT,51.0
2018,Batzar Nagusietako hautetsiak,Bizkaia,PT,49.0
2017,Batzar Nagusietako hautetsiak,Bizkaia,PT,49.0
2015,Batzar Nagusietako hautetsiak,Bizkaia,PT,49.0
2014,Batzar Nagusietako hautetsiak,Bizkaia,PT,45.1
2013,Batzar Nagusietako hautetsiak,Bizkaia,PT,45.1
2012,Batzar Nagusietako hautetsiak,Bizkaia,PT,45.1
2011,Batzar Nagusietako hautetsiak,Bizkaia,PT,45.1
2010,Batzar Nagusietako hautetsiak,Bizkaia,PT,39.2
2020,Batzar Nagusietako hautetsiak,Bizkaia,PT,51.0
2016,Batzar Nagusietako hautetsiak,Bizkaia,PT,49.0
2010,Batzar Nagusietako hautetsiak,Gipuzkoa,PT,43.1
2011,Batzar Nagusietako hautetsiak,Gipuzkoa,PT,49.0
2013,Batzar Nagusietako hautetsiak,Gipuzkoa,PT,49.0
2017,Batzar Nagusietako hautetsiak,Gipuzkoa,PT,50.0
2019,Batzar Nagusietako hautetsiak,Gipuzkoa,PT,54.9
2022,Batzar Nagusietako hautetsiak,Gipuzkoa,PT,54.9
2018,Batzar Nagusietako hautetsiak,Gipuzkoa,PT,50.0
2020,Batzar Nagusietako hautetsiak,Gipuzkoa,PT,54.9
2021,Batzar Nagusietako hautetsiak,Gipuzkoa,PT,54.9
2016,Batzar Nagusietako hautetsiak,Gipuzkoa,PT,50.0
2015,Batzar Nagusietako hautetsiak,Gipuzkoa,PT,50.0
2014,Batzar Nagusietako hautetsiak,Gipuzkoa,PT,49.0
2012,Batzar Nagusietako hautetsiak,Gipuzkoa,PT,49.0
2013,Alkatetzak,,PT,22.3
2022,Alkatetzak,,PT,30.3
2014,Alkatetzak,,PT,23.1
2017,Alkatetzak,,PT,25.2
2011,Alkatetzak,,PT,22.0
2023,Alkatetzak,,PT,33.1
2012,Alkatetzak,,PT,22.0
2024,Alkatetzak,,PT,34.3
2019,Alkatetzak,,PT,29.2
2015,Alkatetzak,,PT,25.2
2010,Alkatetzak,,PT,19.9
2021,Alkatetzak,,PT,30.3
2018,Alkatetzak,,PT,25.2
2016,Alkatetzak,,PT,25.2
2020,Alkatetzak,,PT,29.2
2020,Zinegotziak,,PT,47.8
2024,Zinegotziak,,PT,46.5
2022,Zinegotziak,,PT,47.5
2016,Zinegotziak,,PT,41.4
2017,Zinegotziak,,PT,41.4
2010,Zinegotziak,,PT,27.8
2015,Zinegotziak,,PT,41.4
2011,Zinegotziak,,PT,40.4
2012,Zinegotziak,,PT,40.4
2021,Zinegotziak,,PT,47.5
2018,Zinegotziak,,PT,41.4
2013,Zinegotziak,,PT,40.5
2023,Zinegotziak,,PT,48.3
2019,Zinegotziak,,PT,47.8
2014,Zinegotziak,,PT,40.3
