Year,Series,Enfermedad no transmisible,Sexo,Territorio,Units,Value
2016,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,Por 100.000 habitantes,553.9
2012,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,Por 100.000 habitantes,524.5
2013,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,Por 100.000 habitantes,546.6
2020,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,Por 100.000 habitantes,491.8
2017,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,Por 100.000 habitantes,567.5
2022,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,Por 100.000 habitantes,538.1
2015,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,Por 100.000 habitantes,574.1
2021,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,Por 100.000 habitantes,536.3
2019,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,Por 100.000 habitantes,546.4
2018,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,Por 100.000 habitantes,538.3
2010,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,Por 100.000 habitantes,521.0
2010,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,Por 100.000 habitantes,654.2
2014,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,Por 100.000 habitantes,669.0
2016,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,Por 100.000 habitantes,689.2
2011,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,Por 100.000 habitantes,662.9
2020,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,Por 100.000 habitantes,651.0
2012,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,Por 100.000 habitantes,669.6
2022,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,Por 100.000 habitantes,659.6
2015,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,Por 100.000 habitantes,696.8
2019,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,Por 100.000 habitantes,676.6
2017,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,Por 100.000 habitantes,684.1
2021,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,Por 100.000 habitantes,648.0
2013,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,Por 100.000 habitantes,642.3
2018,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,Por 100.000 habitantes,691.0
2011,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,Por 100.000 habitantes,605.6
2021,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,Por 100.000 habitantes,621.2
2013,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,Por 100.000 habitantes,595.4
2019,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,Por 100.000 habitantes,597.6
2014,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,Por 100.000 habitantes,599.2
2012,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,Por 100.000 habitantes,608.3
2015,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,Por 100.000 habitantes,613.5
2020,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,Por 100.000 habitantes,592.1
2017,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,Por 100.000 habitantes,624.4
2010,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,Por 100.000 habitantes,596.9
2022,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,Por 100.000 habitantes,613.0
2016,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,Por 100.000 habitantes,603.6
2018,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,Por 100.000 habitantes,631.8
2017,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,Por 100.000 habitantes,581.7
2021,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,Por 100.000 habitantes,566.5
2020,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,Por 100.000 habitantes,550.5
2010,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,Por 100.000 habitantes,536.9
2014,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,Por 100.000 habitantes,556.0
2015,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,Por 100.000 habitantes,586.7
2013,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,Por 100.000 habitantes,538.5
2022,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,Por 100.000 habitantes,573.5
2018,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,Por 100.000 habitantes,580.4
2011,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,Por 100.000 habitantes,553.0
2019,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,Por 100.000 habitantes,567.0
2016,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,Por 100.000 habitantes,572.1
2012,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,Por 100.000 habitantes,554.2
2019,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,Por 100.000 habitantes,471.7
2016,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,Por 100.000 habitantes,468.7
2014,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,Por 100.000 habitantes,437.9
2011,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,Por 100.000 habitantes,453.0
2021,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,Por 100.000 habitantes,464.5
2018,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,Por 100.000 habitantes,448.8
2010,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,Por 100.000 habitantes,453.1
2020,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,Por 100.000 habitantes,426.3
2013,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,Por 100.000 habitantes,470.1
2022,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,Por 100.000 habitantes,498.7
2017,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,Por 100.000 habitantes,500.8
2012,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,Por 100.000 habitantes,454.1
2015,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,Por 100.000 habitantes,526.7
2016,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,Por 100.000 habitantes,620.9
2021,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,Por 100.000 habitantes,591.7
2022,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,Por 100.000 habitantes,607.0
2014,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,Por 100.000 habitantes,605.0
2010,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,Por 100.000 habitantes,563.5
2020,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,Por 100.000 habitantes,594.9
2019,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,Por 100.000 habitantes,601.9
2017,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,Por 100.000 habitantes,614.1
2018,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,Por 100.000 habitantes,620.5
2011,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,Por 100.000 habitantes,583.9
2012,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,Por 100.000 habitantes,587.6
2013,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,Por 100.000 habitantes,564.5
2015,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,Por 100.000 habitantes,619.1
2014,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,Por 100.000 habitantes,528.7
2015,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,Por 100.000 habitantes,560.7
2020,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,Por 100.000 habitantes,535.3
2013,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,Por 100.000 habitantes,526.4
2017,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,Por 100.000 habitantes,565.7
2011,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,Por 100.000 habitantes,546.6
2021,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,Por 100.000 habitantes,572.4
2012,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,Por 100.000 habitantes,543.8
2019,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,Por 100.000 habitantes,554.0
2010,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,Por 100.000 habitantes,530.0
2018,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,Por 100.000 habitantes,575.1
2016,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,Por 100.000 habitantes,539.6
2022,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,Por 100.000 habitantes,553.8
2017,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,Por 100.000 habitantes,716.5
2015,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,Por 100.000 habitantes,719.8
2011,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,Por 100.000 habitantes,702.9
2019,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,Por 100.000 habitantes,699.3
2020,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,Por 100.000 habitantes,668.5
2010,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,Por 100.000 habitantes,699.3
2014,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,Por 100.000 habitantes,689.1
2016,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,Por 100.000 habitantes,714.0
2013,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,Por 100.000 habitantes,691.4
2012,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,Por 100.000 habitantes,706.3
2021,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,Por 100.000 habitantes,681.7
2018,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,Por 100.000 habitantes,721.4
2022,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,Por 100.000 habitantes,681.6
2017,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,Por 100.000 habitantes,636.3
2012,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,Por 100.000 habitantes,595.7
2021,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,Por 100.000 habitantes,610.6
2018,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,Por 100.000 habitantes,630.8
2020,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,Por 100.000 habitantes,559.6
2019,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,Por 100.000 habitantes,623.6
2011,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,Por 100.000 habitantes,626.0
2010,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,Por 100.000 habitantes,589.2
2015,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,Por 100.000 habitantes,622.7
2013,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,Por 100.000 habitantes,624.5
2022,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,Por 100.000 habitantes,579.0
2014,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,Por 100.000 habitantes,555.5
2016,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,Por 100.000 habitantes,641.5
2011,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,Por 100.000 habitantes,747.2
2010,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,Por 100.000 habitantes,750.8
2016,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,Por 100.000 habitantes,762.8
2021,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,Por 100.000 habitantes,708.7
2013,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,Por 100.000 habitantes,725.7
2015,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,Por 100.000 habitantes,780.4
2012,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,Por 100.000 habitantes,757.3
2014,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,Por 100.000 habitantes,738.0
2017,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,Por 100.000 habitantes,759.5
2022,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,Por 100.000 habitantes,716.3
2020,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,Por 100.000 habitantes,711.4
2019,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,Por 100.000 habitantes,757.1
2018,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Bizkaia,Por 100.000 habitantes,767.2
2021,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,Por 100.000 habitantes,672.4
2012,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,Por 100.000 habitantes,675.4
2010,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,Por 100.000 habitantes,666.4
2019,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,Por 100.000 habitantes,643.3
2017,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,Por 100.000 habitantes,685.7
2018,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,Por 100.000 habitantes,691.1
2011,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,Por 100.000 habitantes,666.9
2013,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,Por 100.000 habitantes,667.2
2020,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,Por 100.000 habitantes,651.5
2022,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,Por 100.000 habitantes,675.0
2014,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,Por 100.000 habitantes,672.6
2016,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,Por 100.000 habitantes,670.5
2015,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Gipuzkoa,Por 100.000 habitantes,668.6
2019,Tasa de mortalidad,Enfermedades cardiovasculares,,,Por 100.000 habitantes,256.3
2010,Tasa de mortalidad,Enfermedades cardiovasculares,,,Por 100.000 habitantes,261.3
2011,Tasa de mortalidad,Enfermedades cardiovasculares,,,Por 100.000 habitantes,259.7
2018,Tasa de mortalidad,Enfermedades cardiovasculares,,,Por 100.000 habitantes,265.0
2017,Tasa de mortalidad,Enfermedades cardiovasculares,,,Por 100.000 habitantes,264.6
2014,Tasa de mortalidad,Enfermedades cardiovasculares,,,Por 100.000 habitantes,248.1
2016,Tasa de mortalidad,Enfermedades cardiovasculares,,,Por 100.000 habitantes,263.8
2022,Tasa de mortalidad,Enfermedades cardiovasculares,,,Por 100.000 habitantes,263.1
2015,Tasa de mortalidad,Enfermedades cardiovasculares,,,Por 100.000 habitantes,266.4
2020,Tasa de mortalidad,Enfermedades cardiovasculares,,,Por 100.000 habitantes,255.5
2012,Tasa de mortalidad,Enfermedades cardiovasculares,,,Por 100.000 habitantes,263.2
2013,Tasa de mortalidad,Enfermedades cardiovasculares,,,Por 100.000 habitantes,248.6
2021,Tasa de mortalidad,Enfermedades cardiovasculares,,,Por 100.000 habitantes,270.2
2013,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,Por 100.000 habitantes,206.2
2017,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,Por 100.000 habitantes,213.2
2018,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,Por 100.000 habitantes,209.3
2015,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,Por 100.000 habitantes,220.1
2012,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,Por 100.000 habitantes,207.1
2019,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,Por 100.000 habitantes,204.2
2010,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,Por 100.000 habitantes,216.1
2014,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,Por 100.000 habitantes,191.6
2020,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,Por 100.000 habitantes,190.5
2016,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,Por 100.000 habitantes,218.3
2022,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,Por 100.000 habitantes,218.9
2011,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,Por 100.000 habitantes,201.4
2021,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,Por 100.000 habitantes,217.6
2012,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,Por 100.000 habitantes,285.8
2018,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,Por 100.000 habitantes,287.8
2021,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,Por 100.000 habitantes,276.1
2013,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,Por 100.000 habitantes,263.0
