Year,Sexua,Lurralde historikoa,Units,Value
2019,Gizona,Bizkaia,PT,96.7
2018,Gizona,Bizkaia,PT,95.7
2017,Gizona,Bizkaia,PT,96.6
2016,Gizona,Bizkaia,PT,96.5
2015,Gizona,Bizkaia,PT,95.6
2014,Gizona,Bizkaia,PT,93.5
2013,Gizona,Bizkaia,PT,93.1
2012,Gizona,Bizkaia,PT,92.3
2011,Gizona,Bizkaia,PT,91.8
2010,Gizona,Bizkaia,PT,90.7
2009,Gizona,Bizkaia,PT,87.9
2008,Gizona,Bizkaia,PT,88.4
2010,Gizona,Gipuzkoa,PT,89.1
2009,Gizona,Gipuzkoa,PT,87.5
2008,Gizona,Gipuzkoa,PT,85.7
2024,Gizona,Gipuzkoa,PT,97.8
2023,Gizona,Gipuzkoa,PT,99.0
2022,Gizona,Gipuzkoa,PT,97.6
2021,Gizona,Gipuzkoa,PT,98.0
2020,Gizona,Gipuzkoa,PT,96.4
2019,Gizona,Gipuzkoa,PT,94.9
2018,Gizona,Gipuzkoa,PT,94.4
2017,Gizona,Gipuzkoa,PT,94.3
2016,Gizona,Gipuzkoa,PT,94.6
2015,Gizona,Gipuzkoa,PT,95.7
2014,Gizona,Gipuzkoa,PT,91.7
2013,Gizona,Gipuzkoa,PT,91.8
2012,Gizona,Gipuzkoa,PT,91.2
2011,Gizona,Gipuzkoa,PT,89.7
