Year,Edad,Nivel educativo,Territorio,Comarca,Municipio,Units,GeoCode,Value
2013,10 años y más,Estudios primarios,,,Altzaga,Porcentaje,Altzaga,38.2
2021,10 años y más,Estudios primarios,,,Altzaga,Porcentaje,Altzaga,30.2
2016,10 años y más,Estudios primarios,,,Altzo,Porcentaje,Altzo,35.2
2010,10 años y más,Estudios primarios,,,Altzo,Porcentaje,Altzo,39.3
2014,10 años y más,Estudios primarios,,,Altzo,Porcentaje,Altzo,38.2
2018,10 años y más,Estudios primarios,,,Altzo,Porcentaje,Altzo,33.8
2021,10 años y más,Estudios primarios,,,Altzo,Porcentaje,Altzo,31.1
2013,10 años y más,Estudios primarios,,,Altzo,Porcentaje,Altzo,37.5
2015,10 años y más,Estudios primarios,,,Altzo,Porcentaje,Altzo,36.9
2020,10 años y más,Estudios primarios,,,Altzo,Porcentaje,Altzo,32.6
2019,10 años y más,Estudios primarios,,,Altzo,Porcentaje,Altzo,31.8
2015,10 años y más,Estudios primarios,,,Amezketa,Porcentaje,Amezketa,57.1
2016,10 años y más,Estudios primarios,,,Amezketa,Porcentaje,Amezketa,57.7
2010,10 años y más,Estudios primarios,,,Amezketa,Porcentaje,Amezketa,61.0
2013,10 años y más,Estudios primarios,,,Amezketa,Porcentaje,Amezketa,59.6
2019,10 años y más,Estudios primarios,,,Amezketa,Porcentaje,Amezketa,51.6
2021,10 años y más,Estudios primarios,,,Amezketa,Porcentaje,Amezketa,49.3
2020,10 años y más,Estudios primarios,,,Amezketa,Porcentaje,Amezketa,50.9
2014,10 años y más,Estudios primarios,,,Amezketa,Porcentaje,Amezketa,59.2
2018,10 años y más,Estudios primarios,,,Amezketa,Porcentaje,Amezketa,54.1
2019,10 años y más,Estudios primarios,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,31.5
2016,10 años y más,Estudios primarios,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,34.0
2021,10 años y más,Estudios primarios,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,30.2
2014,10 años y más,Estudios primarios,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,35.5
2013,10 años y más,Estudios primarios,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,35.8
2018,10 años y más,Estudios primarios,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,32.4
2020,10 años y más,Estudios primarios,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,30.6
2010,10 años y más,Estudios primarios,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,38.0
2015,10 años y más,Estudios primarios,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,35.0
2016,10 años y más,Estudios primarios,,,Amoroto,Porcentaje,Amoroto,46.0
2020,10 años y más,Estudios primarios,,,Amoroto,Porcentaje,Amoroto,41.1
2014,10 años y más,Estudios primarios,,,Amoroto,Porcentaje,Amoroto,48.8
2015,10 años y más,Estudios primarios,,,Amoroto,Porcentaje,Amoroto,47.9
2018,10 años y más,Estudios primarios,,,Amoroto,Porcentaje,Amoroto,43.2
2013,10 años y más,Estudios primarios,,,Amoroto,Porcentaje,Amoroto,50.3
2021,10 años y más,Estudios primarios,,,Amoroto,Porcentaje,Amoroto,38.7
2019,10 años y más,Estudios primarios,,,Amoroto,Porcentaje,Amoroto,42.3
2010,10 años y más,Estudios primarios,,,Amoroto,Porcentaje,Amoroto,53.0
2015,10 años y más,Estudios primarios,,,Amurrio,Porcentaje,Amurrio,36.9
2020,10 años y más,Estudios primarios,,,Amurrio,Porcentaje,Amurrio,33.2
2016,10 años y más,Estudios primarios,,,Amurrio,Porcentaje,Amurrio,36.0
2021,10 años y más,Estudios primarios,,,Amurrio,Porcentaje,Amurrio,32.0
2019,10 años y más,Estudios primarios,,,Amurrio,Porcentaje,Amurrio,33.8
2014,10 años y más,Estudios primarios,,,Amurrio,Porcentaje,Amurrio,37.1
2010,10 años y más,Estudios primarios,,,Amurrio,Porcentaje,Amurrio,39.4
2018,10 años y más,Estudios primarios,,,Amurrio,Porcentaje,Amurrio,34.9
2013,10 años y más,Estudios primarios,,,Amurrio,Porcentaje,Amurrio,37.8
2015,10 años y más,Estudios primarios,,,Andoain,Porcentaje,Andoain,38.3
2021,10 años y más,Estudios primarios,,,Andoain,Porcentaje,Andoain,33.7
2019,10 años y más,Estudios primarios,,,Andoain,Porcentaje,Andoain,35.3
2016,10 años y más,Estudios primarios,,,Andoain,Porcentaje,Andoain,37.7
2010,10 años y más,Estudios primarios,,,Andoain,Porcentaje,Andoain,40.0
2013,10 años y más,Estudios primarios,,,Andoain,Porcentaje,Andoain,38.8
2014,10 años y más,Estudios primarios,,,Andoain,Porcentaje,Andoain,38.6
2020,10 años y más,Estudios primarios,,,Andoain,Porcentaje,Andoain,34.6
2018,10 años y más,Estudios primarios,,,Andoain,Porcentaje,Andoain,36.3
2015,10 años y más,Estudios primarios,,,Anoeta,Porcentaje,Anoeta,39.3
2010,10 años y más,Estudios primarios,,,Anoeta,Porcentaje,Anoeta,43.5
2020,10 años y más,Estudios primarios,,,Anoeta,Porcentaje,Anoeta,34.3
2019,10 años y más,Estudios primarios,,,Anoeta,Porcentaje,Anoeta,35.2
2014,10 años y más,Estudios primarios,,,Anoeta,Porcentaje,Anoeta,40.8
2016,10 años y más,Estudios primarios,,,Anoeta,Porcentaje,Anoeta,39.1
2021,10 años y más,Estudios primarios,,,Anoeta,Porcentaje,Anoeta,33.4
2018,10 años y más,Estudios primarios,,,Anoeta,Porcentaje,Anoeta,36.6
2013,10 años y más,Estudios primarios,,,Anoeta,Porcentaje,Anoeta,41.2
2013,10 años y más,Estudios primarios,,,Antzuola,Porcentaje,Antzuola,32.5
2019,10 años y más,Estudios primarios,,,Antzuola,Porcentaje,Antzuola,28.5
2016,10 años y más,Estudios primarios,,,Antzuola,Porcentaje,Antzuola,31.0
2010,10 años y más,Estudios primarios,,,Antzuola,Porcentaje,Antzuola,33.1
2021,10 años y más,Estudios primarios,,,Antzuola,Porcentaje,Antzuola,27.2
2020,10 años y más,Estudios primarios,,,Antzuola,Porcentaje,Antzuola,27.6
2014,10 años y más,Estudios primarios,,,Antzuola,Porcentaje,Antzuola,32.0
2018,10 años y más,Estudios primarios,,,Antzuola,Porcentaje,Antzuola,30.3
2015,10 años y más,Estudios primarios,,,Antzuola,Porcentaje,Antzuola,31.6
2015,10 años y más,Estudios primarios,,,Añana,Porcentaje,Añana,50.3
2018,10 años y más,Estudios primarios,,,Añana,Porcentaje,Añana,45.3
2021,10 años y más,Estudios primarios,,,Añana,Porcentaje,Añana,44.2
2019,10 años y más,Estudios primarios,,,Añana,Porcentaje,Añana,46.5
2013,10 años y más,Estudios primarios,,,Añana,Porcentaje,Añana,50.0
2014,10 años y más,Estudios primarios,,,Añana,Porcentaje,Añana,49.7
2016,10 años y más,Estudios primarios,,,Añana,Porcentaje,Añana,50.0
2020,10 años y más,Estudios primarios,,,Añana,Porcentaje,Añana,47.1
2010,10 años y más,Estudios primarios,,,Añana,Porcentaje,Añana,57.6
2020,10 años y más,Estudios primarios,,,Arakaldo,Porcentaje,Arakaldo,26.4
2013,10 años y más,Estudios primarios,,,Arakaldo,Porcentaje,Arakaldo,36.3
2014,10 años y más,Estudios primarios,,,Arakaldo,Porcentaje,Arakaldo,37.4
2010,10 años y más,Estudios primarios,,,Arakaldo,Porcentaje,Arakaldo,41.7
2019,10 años y más,Estudios primarios,,,Arakaldo,Porcentaje,Arakaldo,27.4
2021,10 años y más,Estudios primarios,,,Arakaldo,Porcentaje,Arakaldo,27.3
2015,10 años y más,Estudios primarios,,,Arakaldo,Porcentaje,Arakaldo,29.1
2016,10 años y más,Estudios primarios,,,Arakaldo,Porcentaje,Arakaldo,26.1
2018,10 años y más,Estudios primarios,,,Arakaldo,Porcentaje,Arakaldo,27.1
2020,10 años y más,Estudios primarios,,,Arama,Porcentaje,Arama,24.2
2018,10 años y más,Estudios primarios,,,Arama,Porcentaje,Arama,21.5
2014,10 años y más,Estudios primarios,,,Arama,Porcentaje,Arama,28.4
2016,10 años y más,Estudios primarios,,,Arama,Porcentaje,Arama,26.6
2015,10 años y más,Estudios primarios,,,Arama,Porcentaje,Arama,25.1
2019,10 años y más,Estudios primarios,,,Arama,Porcentaje,Arama,24.3
2013,10 años y más,Estudios primarios,,,Arama,Porcentaje,Arama,29.8
2021,10 años y más,Estudios primarios,,,Arama,Porcentaje,Arama,24.9
2010,10 años y más,Estudios primarios,,,Arama,Porcentaje,Arama,31.4
2016,10 años y más,Estudios primarios,,,Aramaio,Porcentaje,Aramaio,34.4
2015,10 años y más,Estudios primarios,,,Aramaio,Porcentaje,Aramaio,34.6
2021,10 años y más,Estudios primarios,,,Aramaio,Porcentaje,Aramaio,27.8
2013,10 años y más,Estudios primarios,,,Aramaio,Porcentaje,Aramaio,35.8
2014,10 años y más,Estudios primarios,,,Aramaio,Porcentaje,Aramaio,34.9
2019,10 años y más,Estudios primarios,,,Aramaio,Porcentaje,Aramaio,30.2
2010,10 años y más,Estudios primarios,,,Aramaio,Porcentaje,Aramaio,38.9
2018,10 años y más,Estudios primarios,,,Aramaio,Porcentaje,Aramaio,31.5
2020,10 años y más,Estudios primarios,,,Aramaio,Porcentaje,Aramaio,29.5
2013,10 años y más,Estudios primarios,,,Arantzazu,Porcentaje,Arantzazu,30.6
2015,10 años y más,Estudios primarios,,,Arantzazu,Porcentaje,Arantzazu,32.1
2021,10 años y más,Estudios primarios,,,Arantzazu,Porcentaje,Arantzazu,24.7
2016,10 años y más,Estudios primarios,,,Arantzazu,Porcentaje,Arantzazu,29.7
2018,10 años y más,Estudios primarios,,,Arantzazu,Porcentaje,Arantzazu,26.3
2010,10 años y más,Estudios primarios,,,Arantzazu,Porcentaje,Arantzazu,36.4
2019,10 años y más,Estudios primarios,,,Arantzazu,Porcentaje,Arantzazu,24.0
2020,10 años y más,Estudios primarios,,,Arantzazu,Porcentaje,Arantzazu,22.5
2014,10 años y más,Estudios primarios,,,Arantzazu,Porcentaje,Arantzazu,29.3
2020,10 años y más,Estudios primarios,,,Areatza,Porcentaje,Areatza,29.3
2014,10 años y más,Estudios primarios,,,Areatza,Porcentaje,Areatza,36.0
2015,10 años y más,Estudios primarios,,,Areatza,Porcentaje,Areatza,35.1
2021,10 años y más,Estudios primarios,,,Areatza,Porcentaje,Areatza,28.2
2010,10 años y más,Estudios primarios,,,Areatza,Porcentaje,Areatza,40.0
2016,10 años y más,Estudios primarios,,,Areatza,Porcentaje,Areatza,34.5
2013,10 años y más,Estudios primarios,,,Areatza,Porcentaje,Areatza,38.4
2018,10 años y más,Estudios primarios,,,Areatza,Porcentaje,Areatza,31.1
2019,10 años y más,Estudios primarios,,,Areatza,Porcentaje,Areatza,29.0
2014,10 años y más,Estudios primarios,,,Aretxabaleta,Porcentaje,Aretxabaleta,32.3
2013,10 años y más,Estudios primarios,,,Aretxabaleta,Porcentaje,Aretxabaleta,32.7
2018,10 años y más,Estudios primarios,,,Aretxabaleta,Porcentaje,Aretxabaleta,30.0
2016,10 años y más,Estudios primarios,,,Aretxabaleta,Porcentaje,Aretxabaleta,31.6
2015,10 años y más,Estudios primarios,,,Aretxabaleta,Porcentaje,Aretxabaleta,32.2
2020,10 años y más,Estudios primarios,,,Aretxabaleta,Porcentaje,Aretxabaleta,28.5
2021,10 años y más,Estudios primarios,,,Aretxabaleta,Porcentaje,Aretxabaleta,27.5
2019,10 años y más,Estudios primarios,,,Aretxabaleta,Porcentaje,Aretxabaleta,29.0
2010,10 años y más,Estudios primarios,,,Aretxabaleta,Porcentaje,Aretxabaleta,33.7
2021,10 años y más,Estudios primarios,,,Armiñón,Porcentaje,Armiñón,29.8
2016,10 años y más,Estudios primarios,,,Armiñón,Porcentaje,Armiñón,34.9
2020,10 años y más,Estudios primarios,,,Armiñón,Porcentaje,Armiñón,30.5
2018,10 años y más,Estudios primarios,,,Armiñón,Porcentaje,Armiñón,33.3
2014,10 años y más,Estudios primarios,,,Armiñón,Porcentaje,Armiñón,38.6
2019,10 años y más,Estudios primarios,,,Armiñón,Porcentaje,Armiñón,31.5
2015,10 años y más,Estudios primarios,,,Armiñón,Porcentaje,Armiñón,33.3
2010,10 años y más,Estudios primarios,,,Armiñón,Porcentaje,Armiñón,43.7
2013,10 años y más,Estudios primarios,,,Armiñón,Porcentaje,Armiñón,35.8
2010,10 años y más,Estudios primarios,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,48.3
2019,10 años y más,Estudios primarios,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,38.3
2015,10 años y más,Estudios primarios,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,43.5
2016,10 años y más,Estudios primarios,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,43.0
2021,10 años y más,Estudios primarios,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,34.6
2020,10 años y más,Estudios primarios,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,37.0
2013,10 años y más,Estudios primarios,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,44.1
2014,10 años y más,Estudios primarios,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,43.3
2018,10 años y más,Estudios primarios,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,41.3
2014,10 años y más,Estudios primarios,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,34.1
2016,10 años y más,Estudios primarios,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,33.1
2015,10 años y más,Estudios primarios,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,33.0
2013,10 años y más,Estudios primarios,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,35.3
2019,10 años y más,Estudios primarios,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,30.8
2018,10 años y más,Estudios primarios,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,31.9
2021,10 años y más,Estudios primarios,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,28.2
2010,10 años y más,Estudios primarios,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,38.8
2020,10 años y más,Estudios primarios,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,30.0
2020,10 años y más,Estudios primarios,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,32.6
2014,10 años y más,Estudios primarios,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,37.7
2019,10 años y más,Estudios primarios,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,33.4
2016,10 años y más,Estudios primarios,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,36.4
2018,10 años y más,Estudios primarios,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,34.6
2015,10 años y más,Estudios primarios,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,37.1
2013,10 años y más,Estudios primarios,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,37.9
2021,10 años y más,Estudios primarios,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,31.8
2010,10 años y más,Estudios primarios,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,39.8
2021,10 años y más,Estudios primarios,,,Arratzu,Porcentaje,Arratzu,31.0
2018,10 años y más,Estudios primarios,,,Arratzu,Porcentaje,Arratzu,31.7
2016,10 años y más,Estudios primarios,,,Arratzu,Porcentaje,Arratzu,32.9
