Year,Series,Tipo de valor,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2022,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,22.8
2012,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,22.6
2013,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,22.0
2019,Valor añadido del sector manufacturo per cápita,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,7842.4
2014,Valor añadido del sector manufacturo per cápita,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,6785.8
2012,Valor añadido del sector manufacturo per cápita,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,7025.1
2017,Valor añadido del sector manufacturo per cápita,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,7475.5
2020,Valor añadido del sector manufacturo per cápita,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,6934.0
2014,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,22.0
2019,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,22.0
2018,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,22.2
2018,Valor añadido del sector manufacturo per cápita,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,7749.2
2021,Valor añadido del sector manufacturo per cápita,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,7685.1
2017,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,22.2
2010,Valor añadido del sector manufacturo per cápita,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,7105.3
2010,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,22.5
2015,Valor añadido del sector manufacturo per cápita,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,7117.6
2016,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,22.5
2021,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,22.6
2016,Valor añadido del sector manufacturo per cápita,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,7394.8
2022,Valor añadido del sector manufacturo per cápita,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,8075.6
2011,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,23.1
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,,Porcentaje,,18.3
2010,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,,Porcentaje,,19.5
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,,Porcentaje,,18.8
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,,Euro per cápita,,6595.3
2011,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,,Porcentaje,,19.6
2013,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,,Porcentaje,,18.7
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,,Euro per cápita,,6376.3
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,,Euro per cápita,,5935.6
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,,Euro per cápita,,6169.0
2012,Valor añadido del sector manufacturo per cápita,Nominal,,,,Euro per cápita,,5721.0
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,,Porcentaje,,18.8
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,,Euro per cápita,,5599.1
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,,Porcentaje,,18.4
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,,Porcentaje,,18.7
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,,Euro per cápita,,6660.2
2022,Valor añadido del sector manufacturo per cápita,Nominal,,,,Euro per cápita,,7544.3
2013,Valor añadido del sector manufacturo per cápita,Nominal,,,,Euro per cápita,,5572.2
2011,Valor añadido del sector manufacturo per cápita,Nominal,,,,Euro per cápita,,6045.7
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,,Porcentaje,,18.7
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,,Porcentaje,,18.8
2022,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,,Porcentaje,,19.2
2010,Valor añadido del sector manufacturo per cápita,Nominal,,,,Euro per cápita,,5971.3
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,,Euro per cápita,,6682.3
2012,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,,Porcentaje,,19.0
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,,Euro per cápita,,5747.7
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,,Porcentaje,,17.6
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Abadiño,Euro per cápita,Abadiño,31641.9
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Abadiño,Porcentaje,Abadiño,47.1
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Abadiño,Porcentaje,Abadiño,44.9
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Abadiño,Porcentaje,Abadiño,43.0
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Abadiño,Euro per cápita,Abadiño,31306.4
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Abadiño,Porcentaje,Abadiño,44.6
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Abadiño,Euro per cápita,Abadiño,35385.7
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Abadiño,Euro per cápita,Abadiño,37497.8
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Abadiño,Porcentaje,Abadiño,45.2
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Abadiño,Euro per cápita,Abadiño,35772.2
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Abadiño,Euro per cápita,Abadiño,38760.4
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Abadiño,Porcentaje,Abadiño,41.5
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Abadiño,Porcentaje,Abadiño,33.3
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Abadiño,Euro per cápita,Abadiño,29705.7
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Abadiño,Porcentaje,Abadiño,47.6
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Abadiño,Euro per cápita,Abadiño,29952.5
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Abaltzisketa,Euro per cápita,Abaltzisketa,107.3
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Abaltzisketa,Porcentaje,Abaltzisketa,2.4
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.7
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Abaltzisketa,Porcentaje,Abaltzisketa,2.0
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Abaltzisketa,Euro per cápita,Abaltzisketa,174.5
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.9
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Abaltzisketa,Porcentaje,Abaltzisketa,2.7
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Abaltzisketa,Euro per cápita,Abaltzisketa,156.7
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.5
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Abaltzisketa,Euro per cápita,Abaltzisketa,389.5
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Abaltzisketa,Euro per cápita,Abaltzisketa,155.8
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Abaltzisketa,Euro per cápita,Abaltzisketa,557.2
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.7
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Abaltzisketa,Euro per cápita,Abaltzisketa,391.2
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Abaltzisketa,Euro per cápita,Abaltzisketa,372.8
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Abaltzisketa,Porcentaje,Abaltzisketa,2.3
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Euro per cápita,Abanto y Ciérvana-Abanto Zierbena,11358.5
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,35.4
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Euro per cápita,Abanto y Ciérvana-Abanto Zierbena,11529.4
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Euro per cápita,Abanto y Ciérvana-Abanto Zierbena,8977.2
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Euro per cápita,Abanto y Ciérvana-Abanto Zierbena,12209.5
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,34.3
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Euro per cápita,Abanto y Ciérvana-Abanto Zierbena,11978.9
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,34.3
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,37.3
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Euro per cápita,Abanto y Ciérvana-Abanto Zierbena,9814.7
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Euro per cápita,Abanto y Ciérvana-Abanto Zierbena,10150.5
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,34.5
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,36.1
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,34.5
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,32.3
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Abanto y Ciérvana-Abanto Zierbena,Euro per cápita,Abanto y Ciérvana-Abanto Zierbena,11104.3
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Aduna,Euro per cápita,Aduna,81393.8
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aduna,Porcentaje,Aduna,47.8
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aduna,Porcentaje,Aduna,37.9
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Aduna,Euro per cápita,Aduna,58027.5
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aduna,Porcentaje,Aduna,44.9
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Aduna,Euro per cápita,Aduna,67750.3
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Aduna,Euro per cápita,Aduna,98033.3
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Aduna,Euro per cápita,Aduna,68308.0
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Aduna,Euro per cápita,Aduna,54815.1
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aduna,Porcentaje,Aduna,50.5
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aduna,Porcentaje,Aduna,54.6
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Aduna,Euro per cápita,Aduna,53487.1
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aduna,Porcentaje,Aduna,44.6
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aduna,Porcentaje,Aduna,54.0
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aduna,Porcentaje,Aduna,47.9
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Aduna,Euro per cápita,Aduna,87023.9
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Agurain/Salvatierra,Euro per cápita,Agurain/Salvatierra,6647.7
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,23.8
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Agurain/Salvatierra,Euro per cápita,Agurain/Salvatierra,6892.6
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,26.3
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Agurain/Salvatierra,Euro per cápita,Agurain/Salvatierra,7903.3
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Agurain/Salvatierra,Euro per cápita,Agurain/Salvatierra,8239.2
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Agurain/Salvatierra,Euro per cápita,Agurain/Salvatierra,6366.9
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Agurain/Salvatierra,Euro per cápita,Agurain/Salvatierra,8119.4
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,23.5
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,25.9
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,24.7
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Agurain/Salvatierra,Euro per cápita,Agurain/Salvatierra,7798.4
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,22.2
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Agurain/Salvatierra,Euro per cápita,Agurain/Salvatierra,7410.8
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,23.4
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,23.4
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Aia,Euro per cápita,Aia,16288.4
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aia,Porcentaje,Aia,36.8
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Aia,Euro per cápita,Aia,14666.5
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Aia,Euro per cápita,Aia,11624.8
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aia,Porcentaje,Aia,41.4
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aia,Porcentaje,Aia,38.0
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Aia,Euro per cápita,Aia,11722.4
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aia,Porcentaje,Aia,42.8
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aia,Porcentaje,Aia,43.4
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Aia,Euro per cápita,Aia,12816.9
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Aia,Euro per cápita,Aia,15913.9
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aia,Porcentaje,Aia,37.7
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aia,Porcentaje,Aia,37.0
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Aia,Euro per cápita,Aia,13330.5
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Aia,Euro per cápita,Aia,14641.7
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aia,Porcentaje,Aia,37.0
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Aizarnazabal,Euro per cápita,Aizarnazabal,20116.6
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aizarnazabal,Porcentaje,Aizarnazabal,41.0
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aizarnazabal,Porcentaje,Aizarnazabal,56.1
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Aizarnazabal,Euro per cápita,Aizarnazabal,19981.6
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Aizarnazabal,Euro per cápita,Aizarnazabal,24634.4
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Aizarnazabal,Euro per cápita,Aizarnazabal,60837.8
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Aizarnazabal,Euro per cápita,Aizarnazabal,24997.4
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Aizarnazabal,Euro per cápita,Aizarnazabal,23554.4
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Aizarnazabal,Euro per cápita,Aizarnazabal,19790.6
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aizarnazabal,Porcentaje,Aizarnazabal,39.7
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aizarnazabal,Porcentaje,Aizarnazabal,37.7
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aizarnazabal,Porcentaje,Aizarnazabal,35.7
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Aizarnazabal,Euro per cápita,Aizarnazabal,29060.1
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aizarnazabal,Porcentaje,Aizarnazabal,41.9
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aizarnazabal,Porcentaje,Aizarnazabal,41.2
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aizarnazabal,Porcentaje,Aizarnazabal,39.7
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ajangiz,Porcentaje,Ajangiz,72.1
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Ajangiz,Euro per cápita,Ajangiz,155419.6
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Ajangiz,Euro per cápita,Ajangiz,163856.5
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Ajangiz,Euro per cápita,Ajangiz,165767.3
