Year,Territorio histórico,Comarca,Municipio,Units,GeoCode,Desaggregation,Value
2013,,,Abaltzisketa,Porcentaje,Abaltzisketa,All,1.1
2019,,,Abaltzisketa,Porcentaje,Abaltzisketa,All,0.8
2011,,,Abaltzisketa,Porcentaje,Abaltzisketa,All,1.1
2019,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,All,0.1
2021,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,All,0.3
2014,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,All,0.0
2022,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,All,0.3
2010,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,All,0.0
2011,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,All,0.0
2015,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,All,0.0
2018,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,All,1.9
2017,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,All,0.0
2013,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,All,0.0
2012,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,All,0.0
2020,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,All,0.3
2016,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,All,0.0
2023,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,All,0.3
2013,,,Aduna,Porcentaje,Aduna,All,0.0
2021,,,Aduna,Porcentaje,Aduna,All,0.0
2014,,,Aduna,Porcentaje,Aduna,All,0.0
2020,,,Aduna,Porcentaje,Aduna,All,0.0
2011,,,Aduna,Porcentaje,Aduna,All,0.0
2010,,,Aduna,Porcentaje,Aduna,All,0.0
2016,,,Aduna,Porcentaje,Aduna,All,0.0
2012,,,Aduna,Porcentaje,Aduna,All,0.0
2023,,,Aduna,Porcentaje,Aduna,All,0.0
2022,,,Aduna,Porcentaje,Aduna,All,0.0
2018,,,Aduna,Porcentaje,Aduna,All,0.0
2019,,,Aduna,Porcentaje,Aduna,All,0.0
2017,,,Aduna,Porcentaje,Aduna,All,0.0
2015,,,Aduna,Porcentaje,Aduna,All,0.0
2014,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,All,0.3
2010,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,All,0.4
2021,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,All,0.1
2019,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,All,0.4
2016,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,All,0.4
2015,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,All,0.3
2011,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,All,0.3
2013,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,All,0.3
2020,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,All,0.4
2018,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,All,0.4
2017,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,All,0.4
2023,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,All,0.1
2022,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,All,0.0
2012,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,All,0.3
2022,,,Aia,Porcentaje,Aia,All,2.1
2017,,,Aia,Porcentaje,Aia,All,0.6
2013,,,Aia,Porcentaje,Aia,All,0.5
2016,,,Aia,Porcentaje,Aia,All,0.5
2010,,,Aia,Porcentaje,Aia,All,0.4
2020,,,Aia,Porcentaje,Aia,All,1.2
2019,,,Aia,Porcentaje,Aia,All,1.6
2011,,,Aia,Porcentaje,Aia,All,0.7
2023,,,Aia,Porcentaje,Aia,All,2.1
2014,,,Aia,Porcentaje,Aia,All,0.5
2012,,,Aia,Porcentaje,Aia,All,0.7
2021,,,Aia,Porcentaje,Aia,All,1.9
2015,,,Aia,Porcentaje,Aia,All,0.5
2018,,,Aia,Porcentaje,Aia,All,0.6
2022,,,Aizarnazabal,Porcentaje,Aizarnazabal,All,0.9
2014,,,Aizarnazabal,Porcentaje,Aizarnazabal,All,1.6
2015,,,Aizarnazabal,Porcentaje,Aizarnazabal,All,1.6
2012,,,Aizarnazabal,Porcentaje,Aizarnazabal,All,2.3
2019,,,Aizarnazabal,Porcentaje,Aizarnazabal,All,1.6
2017,,,Aizarnazabal,Porcentaje,Aizarnazabal,All,1.5
2016,,,Aizarnazabal,Porcentaje,Aizarnazabal,All,1.7
2013,,,Aizarnazabal,Porcentaje,Aizarnazabal,All,2.3
2023,,,Aizarnazabal,Porcentaje,Aizarnazabal,All,0.9
2010,,,Aizarnazabal,Porcentaje,Aizarnazabal,All,2.4
2021,,,Aizarnazabal,Porcentaje,Aizarnazabal,All,0.9
2018,,,Aizarnazabal,Porcentaje,Aizarnazabal,All,1.6
2011,,,Aizarnazabal,Porcentaje,Aizarnazabal,All,2.3
2020,,,Aizarnazabal,Porcentaje,Aizarnazabal,All,1.6
2011,,,Ajangiz,Porcentaje,Ajangiz,All,4.0
2017,,,Ajangiz,Porcentaje,Ajangiz,All,3.8
2019,,,Ajangiz,Porcentaje,Ajangiz,All,3.8
2013,,,Ajangiz,Porcentaje,Ajangiz,All,4.5
2015,,,Ajangiz,Porcentaje,Ajangiz,All,4.0
2021,,,Ajangiz,Porcentaje,Ajangiz,All,4.0
2016,,,Ajangiz,Porcentaje,Ajangiz,All,3.7
2014,,,Ajangiz,Porcentaje,Ajangiz,All,4.5
2022,,,Ajangiz,Porcentaje,Ajangiz,All,4.0
2020,,,Ajangiz,Porcentaje,Ajangiz,All,3.8
2018,,,Ajangiz,Porcentaje,Ajangiz,All,3.7
2023,,,Ajangiz,Porcentaje,Ajangiz,All,14.9
2012,,,Ajangiz,Porcentaje,Ajangiz,All,4.0
2010,,,Ajangiz,Porcentaje,Ajangiz,All,1.8
2014,,,Albiztur,Porcentaje,Albiztur,All,0.0
2015,,,Albiztur,Porcentaje,Albiztur,All,0.0
2012,,,Albiztur,Porcentaje,Albiztur,All,0.0
2022,,,Albiztur,Porcentaje,Albiztur,All,0.0
2013,,,Albiztur,Porcentaje,Albiztur,All,0.0
2011,,,Albiztur,Porcentaje,Albiztur,All,0.0
2023,,,Albiztur,Porcentaje,Albiztur,All,0.0
2017,,,Albiztur,Porcentaje,Albiztur,All,0.0
2021,,,Albiztur,Porcentaje,Albiztur,All,0.0
2018,,,Albiztur,Porcentaje,Albiztur,All,0.0
2020,,,Albiztur,Porcentaje,Albiztur,All,0.0
2010,,,Albiztur,Porcentaje,Albiztur,All,0.0
2019,,,Albiztur,Porcentaje,Albiztur,All,0.0
2016,,,Albiztur,Porcentaje,Albiztur,All,0.0
2016,,,Alegia,Porcentaje,Alegia,All,0.0
2012,,,Alegia,Porcentaje,Alegia,All,0.0
2017,,,Alegia,Porcentaje,Alegia,All,0.5
2013,,,Alegia,Porcentaje,Alegia,All,0.0
2021,,,Alegia,Porcentaje,Alegia,All,0.5
2014,,,Alegia,Porcentaje,Alegia,All,0.0
2020,,,Alegia,Porcentaje,Alegia,All,0.5
2018,,,Alegia,Porcentaje,Alegia,All,0.5
2019,,,Alegia,Porcentaje,Alegia,All,0.5
2010,,,Alegia,Porcentaje,Alegia,All,0.0
2015,,,Alegia,Porcentaje,Alegia,All,0.0
2022,,,Alegia,Porcentaje,Alegia,All,0.5
2023,,,Alegia,Porcentaje,Alegia,All,0.5
2011,,,Alegia,Porcentaje,Alegia,All,0.0
2023,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,All,1.4
2016,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,All,0.3
2017,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,All,0.3
2010,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,All,0.2
2020,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,All,1.0
2015,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,All,0.3
2021,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,All,1.0
2012,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,All,0.2
2018,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,All,0.5
2014,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,All,0.3
2022,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,All,1.4
2013,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,All,0.5
2019,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,All,1.0
2011,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,All,0.2
2020,,,Alkiza,Porcentaje,Alkiza,All,0.4
2023,,,Alkiza,Porcentaje,Alkiza,All,2.6
2014,,,Alkiza,Porcentaje,Alkiza,All,0.2
2010,,,Alkiza,Porcentaje,Alkiza,All,0.2
2013,,,Alkiza,Porcentaje,Alkiza,All,0.2
2021,,,Alkiza,Porcentaje,Alkiza,All,0.4
2022,,,Alkiza,Porcentaje,Alkiza,All,3.0
2018,,,Alkiza,Porcentaje,Alkiza,All,0.2
2017,,,Alkiza,Porcentaje,Alkiza,All,0.2
2019,,,Alkiza,Porcentaje,Alkiza,All,0.2
2016,,,Alkiza,Porcentaje,Alkiza,All,0.2
2012,,,Alkiza,Porcentaje,Alkiza,All,0.2
2011,,,Alkiza,Porcentaje,Alkiza,All,0.2
2015,,,Alkiza,Porcentaje,Alkiza,All,0.2
2016,,,Alonsotegi,Porcentaje,Alonsotegi,All,0.1
2022,,,Alonsotegi,Porcentaje,Alonsotegi,All,0.2
2013,,,Alonsotegi,Porcentaje,Alonsotegi,All,0.1
2023,,,Alonsotegi,Porcentaje,Alonsotegi,All,0.2
2011,,,Alonsotegi,Porcentaje,Alonsotegi,All,0.0
2018,,,Alonsotegi,Porcentaje,Alonsotegi,All,0.1
2021,,,Alonsotegi,Porcentaje,Alonsotegi,All,0.0
2012,,,Alonsotegi,Porcentaje,Alonsotegi,All,0.5
2020,,,Alonsotegi,Porcentaje,Alonsotegi,All,0.1
2010,,,Alonsotegi,Porcentaje,Alonsotegi,All,0.0
2019,,,Alonsotegi,Porcentaje,Alonsotegi,All,0.1
2015,,,Alonsotegi,Porcentaje,Alonsotegi,All,0.1
2017,,,Alonsotegi,Porcentaje,Alonsotegi,All,0.1
2014,,,Alonsotegi,Porcentaje,Alonsotegi,All,0.7
2019,,,Altzaga,Porcentaje,Altzaga,All,6.0
2023,,,Altzaga,Porcentaje,Altzaga,All,14.5
2013,,,Altzaga,Porcentaje,Altzaga,All,3.4
2014,,,Altzaga,Porcentaje,Altzaga,All,4.9
2016,,,Altzaga,Porcentaje,Altzaga,All,4.3
2011,,,Altzaga,Porcentaje,Altzaga,All,0.0
2018,,,Altzaga,Porcentaje,Altzaga,All,5.3
2017,,,Altzaga,Porcentaje,Altzaga,All,6.8
2022,,,Altzaga,Porcentaje,Altzaga,All,9.7
2020,,,Altzaga,Porcentaje,Altzaga,All,9.6
2012,,,Altzaga,Porcentaje,Altzaga,All,0.0
2015,,,Altzaga,Porcentaje,Altzaga,All,5.0
2010,,,Altzaga,Porcentaje,Altzaga,All,0.0
2021,,,Altzaga,Porcentaje,Altzaga,All,9.7
2023,,,Altzo,Porcentaje,Altzo,All,22.8
2021,,,Altzo,Porcentaje,Altzo,All,22.1
2020,,,Altzo,Porcentaje,Altzo,All,22.1
2011,,,Altzo,Porcentaje,Altzo,All,13.9
2010,,,Altzo,Porcentaje,Altzo,All,14.2
2013,,,Altzo,Porcentaje,Altzo,All,14.5
2022,,,Altzo,Porcentaje,Altzo,All,23.0
2016,,,Altzo,Porcentaje,Altzo,All,13.3
2017,,,Altzo,Porcentaje,Altzo,All,13.6
2012,,,Altzo,Porcentaje,Altzo,All,14.5
2018,,,Altzo,Porcentaje,Altzo,All,12.8
2019,,,Altzo,Porcentaje,Altzo,All,23.3
2015,,,Altzo,Porcentaje,Altzo,All,12.8
2014,,,Altzo,Porcentaje,Altzo,All,14.3
2022,,,Amezketa,Porcentaje,Amezketa,All,1.2
2013,,,Amezketa,Porcentaje,Amezketa,All,0.0
2010,,,Amezketa,Porcentaje,Amezketa,All,0.0
2015,,,Amezketa,Porcentaje,Amezketa,All,0.0
2023,,,Amezketa,Porcentaje,Amezketa,All,1.2
2011,,,Amezketa,Porcentaje,Amezketa,All,0.0
2016,,,Amezketa,Porcentaje,Amezketa,All,0.0
2014,,,Amezketa,Porcentaje,Amezketa,All,0.0
2019,,,Amezketa,Porcentaje,Amezketa,All,0.6
2021,,,Amezketa,Porcentaje,Amezketa,All,0.6
2012,,,Amezketa,Porcentaje,Amezketa,All,0.0
2017,,,Amezketa,Porcentaje,Amezketa,All,0.0
2018,,,Amezketa,Porcentaje,Amezketa,All,0.0
2020,,,Amezketa,Porcentaje,Amezketa,All,0.6
2016,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,All,0.9
2018,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,All,1.8
2015,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,All,0.2
2011,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,All,1.6
2012,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,All,1.1
2010,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,All,1.6
2023,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,All,4.2
2013,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,All,1.2
2014,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,All,0.1
2022,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,All,3.6
2017,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,All,1.2
2021,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,All,3.3
2019,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,All,2.5
2020,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,All,2.7
2022,,,Amoroto,Porcentaje,Amoroto,All,7.8
2017,,,Amoroto,Porcentaje,Amoroto,All,1.8
2019,,,Amoroto,Porcentaje,Amoroto,All,3.0
2010,,,Amoroto,Porcentaje,Amoroto,All,1.5
2018,,,Amoroto,Porcentaje,Amoroto,All,1.8
2011,,,Amoroto,Porcentaje,Amoroto,All,1.9
2014,,,Amoroto,Porcentaje,Amoroto,All,2.1
2015,,,Amoroto,Porcentaje,Amoroto,All,1.9
2020,,,Amoroto,Porcentaje,Amoroto,All,9.6
2021,,,Amoroto,Porcentaje,Amoroto,All,9.4
2012,,,Amoroto,Porcentaje,Amoroto,All,1.9
2023,,,Amoroto,Porcentaje,Amoroto,All,8.9
2013,,,Amoroto,Porcentaje,Amoroto,All,2.9
2016,,,Amoroto,Porcentaje,Amoroto,All,1.8
2018,,,Amurrio,Porcentaje,Amurrio,All,1.8
2020,,,Amurrio,Porcentaje,Amurrio,All,1.9
2017,,,Amurrio,Porcentaje,Amurrio,All,1.8
2015,,,Amurrio,Porcentaje,Amurrio,All,1.5
2012,,,Amurrio,Porcentaje,Amurrio,All,1.4
2011,,,Amurrio,Porcentaje,Amurrio,All,1.3
2016,,,Amurrio,Porcentaje,Amurrio,All,1.7
2023,,,Amurrio,Porcentaje,Amurrio,All,2.2
2022,,,Amurrio,Porcentaje,Amurrio,All,2.1
2021,,,Amurrio,Porcentaje,Amurrio,All,2.1
2013,,,Amurrio,Porcentaje,Amurrio,All,1.5
2014,,,Amurrio,Porcentaje,Amurrio,All,1.5
2019,,,Amurrio,Porcentaje,Amurrio,All,1.9
2010,,,Amurrio,Porcentaje,Amurrio,All,1.2
2011,,,Andoain,Porcentaje,Andoain,All,4.0
2023,,,Andoain,Porcentaje,Andoain,All,5.5
2018,,,Andoain,Porcentaje,Andoain,All,4.5
2010,,,Andoain,Porcentaje,Andoain,All,3.9
2014,,,Andoain,Porcentaje,Andoain,All,4.2
2017,,,Andoain,Porcentaje,Andoain,All,4.3
2022,,,Andoain,Porcentaje,Andoain,All,5.5
2021,,,Andoain,Porcentaje,Andoain,All,4.5
2015,,,Andoain,Porcentaje,Andoain,All,4.2
2012,,,Andoain,Porcentaje,Andoain,All,4.0
2016,,,Andoain,Porcentaje,Andoain,All,4.2
2020,,,Andoain,Porcentaje,Andoain,All,4.8
2019,,,Andoain,Porcentaje,Andoain,All,4.8
2013,,,Andoain,Porcentaje,Andoain,All,4.0
2018,,,Anoeta,Porcentaje,Anoeta,All,10.8
2015,,,Anoeta,Porcentaje,Anoeta,All,11.0
2022,,,Anoeta,Porcentaje,Anoeta,All,12.6
2013,,,Anoeta,Porcentaje,Anoeta,All,10.4
2019,,,Anoeta,Porcentaje,Anoeta,All,12.5
2020,,,Anoeta,Porcentaje,Anoeta,All,12.7
2012,,,Anoeta,Porcentaje,Anoeta,All,10.4
2010,,,Anoeta,Porcentaje,Anoeta,All,9.9
2011,,,Anoeta,Porcentaje,Anoeta,All,10.2
2014,,,Anoeta,Porcentaje,Anoeta,All,11.0
2021,,,Anoeta,Porcentaje,Anoeta,All,12.7
2023,,,Anoeta,Porcentaje,Anoeta,All,11.7
2017,,,Anoeta,Porcentaje,Anoeta,All,10.5
2016,,,Anoeta,Porcentaje,Anoeta,All,12.4
2018,,,Antzuola,Porcentaje,Antzuola,All,10.7
2023,,,Antzuola,Porcentaje,Antzuola,All,25.5
2019,,,Antzuola,Porcentaje,Antzuola,All,18.1
2022,,,Antzuola,Porcentaje,Antzuola,All,23.2
2016,,,Antzuola,Porcentaje,Antzuola,All,4.8
2012,,,Antzuola,Porcentaje,Antzuola,All,4.1
2017,,,Antzuola,Porcentaje,Antzuola,All,8.1
2021,,,Antzuola,Porcentaje,Antzuola,All,17.0
2013,,,Antzuola,Porcentaje,Antzuola,All,4.1
2015,,,Antzuola,Porcentaje,Antzuola,All,4.4
2010,,,Antzuola,Porcentaje,Antzuola,All,4.1
2011,,,Antzuola,Porcentaje,Antzuola,All,4.1
2020,,,Antzuola,Porcentaje,Antzuola,All,16.9
2014,,,Antzuola,Porcentaje,Antzuola,All,4.1
2012,,,Añana,Porcentaje,Añana,All,0.0
2017,,,Añana,Porcentaje,Añana,All,0.9
2022,,,Añana,Porcentaje,Añana,All,1.1
2015,,,Añana,Porcentaje,Añana,All,0.4
2020,,,Añana,Porcentaje,Añana,All,1.1
2023,,,Añana,Porcentaje,Añana,All,1.2
2019,,,Añana,Porcentaje,Añana,All,1.0
2014,,,Añana,Porcentaje,Añana,All,0.4
2016,,,Añana,Porcentaje,Añana,All,0.4
2011,,,Añana,Porcentaje,Añana,All,0.0
2018,,,Añana,Porcentaje,Añana,All,0.4
2013,,,Añana,Porcentaje,Añana,All,0.1
2021,,,Añana,Porcentaje,Añana,All,1.0
2010,,,Añana,Porcentaje,Añana,All,0.0
2010,,,Arakaldo,Porcentaje,Arakaldo,All,0.0
2023,,,Arakaldo,Porcentaje,Arakaldo,All,0.0
2015,,,Arakaldo,Porcentaje,Arakaldo,All,0.0
2011,,,Arakaldo,Porcentaje,Arakaldo,All,0.0
2012,,,Arakaldo,Porcentaje,Arakaldo,All,0.0
2016,,,Arakaldo,Porcentaje,Arakaldo,All,0.0
2019,,,Arakaldo,Porcentaje,Arakaldo,All,0.0
2021,,,Arakaldo,Porcentaje,Arakaldo,All,0.4
2020,,,Arakaldo,Porcentaje,Arakaldo,All,0.4
2017,,,Arakaldo,Porcentaje,Arakaldo,All,0.0
2022,,,Arakaldo,Porcentaje,Arakaldo,All,0.4
2018,,,Arakaldo,Porcentaje,Arakaldo,All,0.0
2013,,,Arakaldo,Porcentaje,Arakaldo,All,0.0
2014,,,Arakaldo,Porcentaje,Arakaldo,All,0.0
2016,,,Arama,Porcentaje,Arama,All,0.0
2022,,,Arama,Porcentaje,Arama,All,0.0
2017,,,Arama,Porcentaje,Arama,All,0.0
2019,,,Arama,Porcentaje,Arama,All,0.0
2015,,,Arama,Porcentaje,Arama,All,0.0
2013,,,Arama,Porcentaje,Arama,All,0.0
2014,,,Arama,Porcentaje,Arama,All,0.0
2023,,,Arama,Porcentaje,Arama,All,0.0
2010,,,Arama,Porcentaje,Arama,All,0.0
2012,,,Arama,Porcentaje,Arama,All,0.0
2011,,,Arama,Porcentaje,Arama,All,0.0
2018,,,Arama,Porcentaje,Arama,All,0.0
2021,,,Arama,Porcentaje,Arama,All,0.0
2020,,,Arama,Porcentaje,Arama,All,0.0
2014,,,Aramaio,Porcentaje,Aramaio,All,1.1
2016,,,Aramaio,Porcentaje,Aramaio,All,2.5
2012,,,Aramaio,Porcentaje,Aramaio,All,0.8
2018,,,Aramaio,Porcentaje,Aramaio,All,2.2
2011,,,Aramaio,Porcentaje,Aramaio,All,0.7
2020,,,Aramaio,Porcentaje,Aramaio,All,2.5
2010,,,Aramaio,Porcentaje,Aramaio,All,0.7
2013,,,Aramaio,Porcentaje,Aramaio,All,0.8
2015,,,Aramaio,Porcentaje,Aramaio,All,2.4
2022,,,Aramaio,Porcentaje,Aramaio,All,4.2
2021,,,Aramaio,Porcentaje,Aramaio,All,2.4
2019,,,Aramaio,Porcentaje,Aramaio,All,2.4
2017,,,Aramaio,Porcentaje,Aramaio,All,2.3
2023,,,Aramaio,Porcentaje,Aramaio,All,3.6
2018,,,Arantzazu,Porcentaje,Arantzazu,All,0.1
2013,,,Arantzazu,Porcentaje,Arantzazu,All,0.0
2014,,,Arantzazu,Porcentaje,Arantzazu,All,0.0
2019,,,Arantzazu,Porcentaje,Arantzazu,All,0.2
2011,,,Arantzazu,Porcentaje,Arantzazu,All,0.0
2017,,,Arantzazu,Porcentaje,Arantzazu,All,0.2
2010,,,Arantzazu,Porcentaje,Arantzazu,All,0.0
2023,,,Arantzazu,Porcentaje,Arantzazu,All,0.2
2015,,,Arantzazu,Porcentaje,Arantzazu,All,0.0
2021,,,Arantzazu,Porcentaje,Arantzazu,All,0.2
2012,,,Arantzazu,Porcentaje,Arantzazu,All,0.0
2016,,,Arantzazu,Porcentaje,Arantzazu,All,0.2
2022,,,Arantzazu,Porcentaje,Arantzazu,All,0.2
2020,,,Arantzazu,Porcentaje,Arantzazu,All,0.2
2014,,,Areatza,Porcentaje,Areatza,All,0.4
2016,,,Areatza,Porcentaje,Areatza,All,0.4
2015,,,Areatza,Porcentaje,Areatza,All,0.4
2019,,,Areatza,Porcentaje,Areatza,All,0.4
2020,,,Areatza,Porcentaje,Areatza,All,0.6
2021,,,Areatza,Porcentaje,Areatza,All,21.5
2017,,,Areatza,Porcentaje,Areatza,All,0.4
2018,,,Areatza,Porcentaje,Areatza,All,0.4
2013,,,Areatza,Porcentaje,Areatza,All,0.4
2012,,,Areatza,Porcentaje,Areatza,All,0.4
2023,,,Areatza,Porcentaje,Areatza,All,21.6
2010,,,Areatza,Porcentaje,Areatza,All,0.0
2022,,,Areatza,Porcentaje,Areatza,All,21.7
2011,,,Areatza,Porcentaje,Areatza,All,0.0
2010,,,Aretxabaleta,Porcentaje,Aretxabaleta,All,2.5
2013,,,Aretxabaleta,Porcentaje,Aretxabaleta,All,8.7
2017,,,Aretxabaleta,Porcentaje,Aretxabaleta,All,7.5
2019,,,Aretxabaleta,Porcentaje,Aretxabaleta,All,4.9
2016,,,Aretxabaleta,Porcentaje,Aretxabaleta,All,9.3
2011,,,Aretxabaleta,Porcentaje,Aretxabaleta,All,2.5
2021,,,Aretxabaleta,Porcentaje,Aretxabaleta,All,7.4
2014,,,Aretxabaleta,Porcentaje,Aretxabaleta,All,9.1
2012,,,Aretxabaleta,Porcentaje,Aretxabaleta,All,2.5
2023,,,Aretxabaleta,Porcentaje,Aretxabaleta,All,13.4
2018,,,Aretxabaleta,Porcentaje,Aretxabaleta,All,7.4
2020,,,Aretxabaleta,Porcentaje,Aretxabaleta,All,4.9
2022,,,Aretxabaleta,Porcentaje,Aretxabaleta,All,7.9
2015,,,Aretxabaleta,Porcentaje,Aretxabaleta,All,9.5
2022,,,Armiñón,Porcentaje,Armiñón,All,0.6
2015,,,Armiñón,Porcentaje,Armiñón,All,0.0
2011,,,Armiñón,Porcentaje,Armiñón,All,0.0
2012,,,Armiñón,Porcentaje,Armiñón,All,0.0
2023,,,Armiñón,Porcentaje,Armiñón,All,0.6
2010,,,Armiñón,Porcentaje,Armiñón,All,0.0
2017,,,Armiñón,Porcentaje,Armiñón,All,0.0
2014,,,Armiñón,Porcentaje,Armiñón,All,0.0
2018,,,Armiñón,Porcentaje,Armiñón,All,0.0
2021,,,Armiñón,Porcentaje,Armiñón,All,0.6
2020,,,Armiñón,Porcentaje,Armiñón,All,0.6
2016,,,Armiñón,Porcentaje,Armiñón,All,0.0
