Year,Series,Actividad económica,Forma de medir el empleo,Sexo,Territorio histórico,Units,Value
2015,Personas ocupadas en el sector manufacturero,Manufactura,,,Araba/Álava,Porcentaje,27.3
2017,Personas ocupadas en el sector manufacturero,Manufactura,,,Araba/Álava,Porcentaje,24.9
2010,Personas ocupadas en el sector manufacturero,Manufactura,,,Araba/Álava,Porcentaje,28.0
2021,Personas ocupadas en el sector manufacturero,Manufactura,,,Araba/Álava,Porcentaje,25.3
2018,Personas ocupadas en el sector manufacturero,Manufactura,,,Araba/Álava,Porcentaje,23.5
2016,Personas ocupadas en el sector manufacturero,Manufactura,,,Araba/Álava,Porcentaje,27.5
2020,Personas ocupadas en el sector manufacturero,Manufactura,,,Bizkaia,Porcentaje,15.8
2014,Personas ocupadas en el sector manufacturero,Manufactura,,,Bizkaia,Porcentaje,17.8
2013,Personas ocupadas en el sector manufacturero,Manufactura,,,Bizkaia,Porcentaje,18.3
2016,Personas ocupadas en el sector manufacturero,Manufactura,,,Bizkaia,Porcentaje,15.9
2011,Personas ocupadas en el sector manufacturero,Manufactura,,,Bizkaia,Porcentaje,18.8
2019,Personas ocupadas en el sector manufacturero,Manufactura,,,Bizkaia,Porcentaje,15.8
2018,Personas ocupadas en el sector manufacturero,Manufactura,,,Bizkaia,Porcentaje,17.3
2023,Personas ocupadas en el sector manufacturero,Manufactura,,,Bizkaia,Porcentaje,14.6
2022,Personas ocupadas en el sector manufacturero,Manufactura,,,Bizkaia,Porcentaje,14.9
2010,Personas ocupadas en el sector manufacturero,Manufactura,,,Bizkaia,Porcentaje,18.6
2012,Personas ocupadas en el sector manufacturero,Manufactura,,,Bizkaia,Porcentaje,18.9
2017,Personas ocupadas en el sector manufacturero,Manufactura,,,Bizkaia,Porcentaje,17.4
2021,Personas ocupadas en el sector manufacturero,Manufactura,,,Bizkaia,Porcentaje,15.8
2015,Personas ocupadas en el sector manufacturero,Manufactura,,,Bizkaia,Porcentaje,15.7
2023,Personas ocupadas en el sector manufacturero,Manufactura,,,Gipuzkoa,Porcentaje,23.5
2011,Personas ocupadas en el sector manufacturero,Manufactura,,,Gipuzkoa,Porcentaje,26.9
2015,Personas ocupadas en el sector manufacturero,Manufactura,,,Gipuzkoa,Porcentaje,22.3
2018,Personas ocupadas en el sector manufacturero,Manufactura,,,Gipuzkoa,Porcentaje,25.2
2020,Personas ocupadas en el sector manufacturero,Manufactura,,,Gipuzkoa,Porcentaje,25.5
2017,Personas ocupadas en el sector manufacturero,Manufactura,,,Gipuzkoa,Porcentaje,22.7
2010,Personas ocupadas en el sector manufacturero,Manufactura,,,Gipuzkoa,Porcentaje,27.1
2012,Personas ocupadas en el sector manufacturero,Manufactura,,,Gipuzkoa,Porcentaje,25.3
2021,Personas ocupadas en el sector manufacturero,Manufactura,,,Gipuzkoa,Porcentaje,24.1
2016,Personas ocupadas en el sector manufacturero,Manufactura,,,Gipuzkoa,Porcentaje,22.4
2019,Personas ocupadas en el sector manufacturero,Manufactura,,,Gipuzkoa,Porcentaje,25.9
2014,Personas ocupadas en el sector manufacturero,Manufactura,,,Gipuzkoa,Porcentaje,23.1
2013,Personas ocupadas en el sector manufacturero,Manufactura,,,Gipuzkoa,Porcentaje,24.1
2022,Personas ocupadas en el sector manufacturero,Manufactura,,,Gipuzkoa,Porcentaje,23.4
2020,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,,Porcentaje,9.1
2018,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,,Porcentaje,9.3
2017,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,,Porcentaje,8.6
2013,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,,Porcentaje,8.6
2010,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,,Porcentaje,10.2
2012,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,,Porcentaje,10.0
2021,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,,Porcentaje,9.1
2019,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,,Porcentaje,9.4
2011,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,,Porcentaje,9.7
2016,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,,Porcentaje,8.6
2014,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,,Porcentaje,8.4
2023,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,,Porcentaje,7.9
2015,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,,Porcentaje,8.8
2022,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,,Porcentaje,8.6
2019,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Araba/Álava,Porcentaje,11.3
2021,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Araba/Álava,Porcentaje,11.3
2022,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Araba/Álava,Porcentaje,10.0
2020,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Araba/Álava,Porcentaje,11.1
2015,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Araba/Álava,Porcentaje,13.2
2023,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Araba/Álava,Porcentaje,10.5
2010,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Araba/Álava,Porcentaje,11.5
2012,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Araba/Álava,Porcentaje,12.4
2014,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Araba/Álava,Porcentaje,8.6
2013,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Araba/Álava,Porcentaje,10.5
2011,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Araba/Álava,Porcentaje,11.5
2016,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Araba/Álava,Porcentaje,10.5
2018,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Araba/Álava,Porcentaje,10.0
2017,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Araba/Álava,Porcentaje,7.9
2017,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Bizkaia,Porcentaje,7.8
2012,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Bizkaia,Porcentaje,8.3
2020,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Bizkaia,Porcentaje,6.6
2013,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Bizkaia,Porcentaje,7.3
2019,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Bizkaia,Porcentaje,6.7
2011,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Bizkaia,Porcentaje,7.6
2018,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Bizkaia,Porcentaje,7.6
2021,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Bizkaia,Porcentaje,7.1
2022,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Bizkaia,Porcentaje,6.2
2014,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Bizkaia,Porcentaje,7.9
2023,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Bizkaia,Porcentaje,5.6
2015,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Bizkaia,Porcentaje,7.0
2010,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Bizkaia,Porcentaje,8.3
2016,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Bizkaia,Porcentaje,7.3
2011,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Gipuzkoa,Porcentaje,12.2
2020,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Gipuzkoa,Porcentaje,12.2
2014,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Gipuzkoa,Porcentaje,9.2
2022,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Gipuzkoa,Porcentaje,11.9
2023,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Gipuzkoa,Porcentaje,10.4
2021,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Gipuzkoa,Porcentaje,11.4
2017,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Gipuzkoa,Porcentaje,10.1
2015,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Gipuzkoa,Porcentaje,9.8
2012,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Gipuzkoa,Porcentaje,11.7
2018,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Gipuzkoa,Porcentaje,11.7
2010,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Gipuzkoa,Porcentaje,12.6
2019,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Gipuzkoa,Porcentaje,12.7
2016,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Gipuzkoa,Porcentaje,9.8
2013,Personas ocupadas en el sector manufacturero,Manufactura,,Mujer,Gipuzkoa,Porcentaje,9.8
2019,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,,Porcentaje,30.5
2011,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,,Porcentaje,33.9
2014,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,,Porcentaje,31.3
2015,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,,Porcentaje,29.3
2017,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,,Porcentaje,30.8
2012,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,,Porcentaje,32.8
2021,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,,Porcentaje,30.0
2023,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,,Porcentaje,29.0
2016,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,,Porcentaje,29.9
2018,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,,Porcentaje,31.3
2013,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,,Porcentaje,32.0
2022,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,,Porcentaje,28.9
2020,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,,Porcentaje,30.9
2010,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,,Porcentaje,33.1
2014,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Araba/Álava,Porcentaje,36.5
2019,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Araba/Álava,Porcentaje,35.8
2020,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Araba/Álava,Porcentaje,37.1
2010,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Araba/Álava,Porcentaje,41.3
2023,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Araba/Álava,Porcentaje,34.7
2017,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Araba/Álava,Porcentaje,39.5
2012,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Araba/Álava,Porcentaje,39.0
2018,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Araba/Álava,Porcentaje,35.5
2016,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Araba/Álava,Porcentaje,41.8
2021,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Araba/Álava,Porcentaje,37.4
2022,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Araba/Álava,Porcentaje,37.7
2015,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Araba/Álava,Porcentaje,38.9
2013,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Araba/Álava,Porcentaje,35.7
2011,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Araba/Álava,Porcentaje,40.3
2019,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Bizkaia,Porcentaje,24.1
2015,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Bizkaia,Porcentaje,23.8
2022,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Bizkaia,Porcentaje,23.1
2017,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Bizkaia,Porcentaje,26.1
2020,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Bizkaia,Porcentaje,24.5
2010,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Bizkaia,Porcentaje,27.1
2023,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Bizkaia,Porcentaje,23.1
2021,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Bizkaia,Porcentaje,24.0
2014,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Bizkaia,Porcentaje,26.8
2011,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Bizkaia,Porcentaje,28.4
2016,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Bizkaia,Porcentaje,24.1
2013,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Bizkaia,Porcentaje,27.9
2018,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Bizkaia,Porcentaje,26.2
2012,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Bizkaia,Porcentaje,28.1
2018,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Gipuzkoa,Porcentaje,37.0
2015,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Gipuzkoa,Porcentaje,33.3
2016,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Gipuzkoa,Porcentaje,33.2
2013,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Gipuzkoa,Porcentaje,36.7
2019,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Gipuzkoa,Porcentaje,37.7
2021,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Gipuzkoa,Porcentaje,35.7
2010,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Gipuzkoa,Porcentaje,38.9
2014,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Gipuzkoa,Porcentaje,35.5
2012,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Gipuzkoa,Porcentaje,37.3
2023,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Gipuzkoa,Porcentaje,35.5
2020,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Gipuzkoa,Porcentaje,37.5
2022,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Gipuzkoa,Porcentaje,33.6
2017,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Gipuzkoa,Porcentaje,34.0
2011,Personas ocupadas en el sector manufacturero,Manufactura,,Hombre,Gipuzkoa,Porcentaje,39.4
2021,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,,Porcentaje,19.1
2015,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,,Porcentaje,19.7
2018,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,,Porcentaje,19.6
2017,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,,Porcentaje,19.7
2011,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,,Porcentaje,21.0
2020,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,,Porcentaje,19.2
2010,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,,Porcentaje,21.4
2014,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,,Porcentaje,19.8
2012,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,,Porcentaje,20.6
2013,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,,Porcentaje,20.3
2019,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,,Porcentaje,19.6
2016,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,,Porcentaje,19.6
2015,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Araba/Álava,Porcentaje,25.4
2013,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Araba/Álava,Porcentaje,26.0
2016,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Araba/Álava,Porcentaje,25.3
2020,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Araba/Álava,Porcentaje,24.6
2019,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Araba/Álava,Porcentaje,25.0
2011,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Araba/Álava,Porcentaje,26.4
2021,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Araba/Álava,Porcentaje,24.3
2010,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Araba/Álava,Porcentaje,26.5
2017,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Araba/Álava,Porcentaje,25.4
2012,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Araba/Álava,Porcentaje,26.0
2014,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Araba/Álava,Porcentaje,25.6
2018,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Araba/Álava,Porcentaje,25.3
2021,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Bizkaia,Porcentaje,14.8
2015,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Bizkaia,Porcentaje,15.4
2017,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Bizkaia,Porcentaje,15.5
2010,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Bizkaia,Porcentaje,17.2
2011,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Bizkaia,Porcentaje,16.7
2012,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Bizkaia,Porcentaje,16.3
2014,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Bizkaia,Porcentaje,15.5
2018,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Bizkaia,Porcentaje,15.3
2013,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Bizkaia,Porcentaje,15.9
2020,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Bizkaia,Porcentaje,15.0
2019,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Bizkaia,Porcentaje,15.3
2016,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Bizkaia,Porcentaje,15.4
2012,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Gipuzkoa,Porcentaje,24.5
2017,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Gipuzkoa,Porcentaje,23.4
2021,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Gipuzkoa,Porcentaje,23.1
2015,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Gipuzkoa,Porcentaje,23.5
2014,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Gipuzkoa,Porcentaje,23.6
2010,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Gipuzkoa,Porcentaje,25.3
2013,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Gipuzkoa,Porcentaje,24.2
2011,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Gipuzkoa,Porcentaje,25.0
2018,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Gipuzkoa,Porcentaje,23.4
2019,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Gipuzkoa,Porcentaje,23.4
2016,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Gipuzkoa,Porcentaje,23.3
2020,Empleo en el sector manufacturero,Manufactura,Personas empleadas,,Gipuzkoa,Porcentaje,23.1
2010,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,,Porcentaje,21.3
2012,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,,Porcentaje,21.0
2014,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,,Porcentaje,20.5
2017,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,,Porcentaje,20.5
2015,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,,Porcentaje,20.3
2018,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,,Porcentaje,20.2
2020,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,,Porcentaje,19.6
2016,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,,Porcentaje,20.3
2019,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,,Porcentaje,20.2
2021,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,,Porcentaje,19.7
2011,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,,Porcentaje,21.4
2013,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,,Porcentaje,20.6
2010,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Araba/Álava,Porcentaje,26.4
2020,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Araba/Álava,Porcentaje,24.8
2011,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Araba/Álava,Porcentaje,27.0
2016,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Araba/Álava,Porcentaje,26.3
2021,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Araba/Álava,Porcentaje,24.5
2015,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Araba/Álava,Porcentaje,26.1
2017,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Araba/Álava,Porcentaje,26.5
2014,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Araba/Álava,Porcentaje,26.5
2019,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Araba/Álava,Porcentaje,25.6
2013,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Araba/Álava,Porcentaje,26.8
2018,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Araba/Álava,Porcentaje,26.3
2012,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Araba/Álava,Porcentaje,26.6
2021,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Bizkaia,Porcentaje,15.4
2014,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Bizkaia,Porcentaje,16.0
2015,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Bizkaia,Porcentaje,15.9
2011,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Bizkaia,Porcentaje,17.1
2012,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Bizkaia,Porcentaje,16.7
2010,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Bizkaia,Porcentaje,17.2
2017,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Bizkaia,Porcentaje,16.1
2018,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Bizkaia,Porcentaje,15.8
2019,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Bizkaia,Porcentaje,15.8
2020,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Bizkaia,Porcentaje,15.2
2016,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Bizkaia,Porcentaje,16.0
2013,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Bizkaia,Porcentaje,16.3
2017,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Gipuzkoa,Porcentaje,24.0
2014,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Gipuzkoa,Porcentaje,24.2
2015,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Gipuzkoa,Porcentaje,24.1
2019,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Gipuzkoa,Porcentaje,24.0
2013,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Gipuzkoa,Porcentaje,24.2
2020,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Gipuzkoa,Porcentaje,23.5
2010,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Gipuzkoa,Porcentaje,25.1
2018,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Gipuzkoa,Porcentaje,23.8
2011,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Gipuzkoa,Porcentaje,25.3
2012,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Gipuzkoa,Porcentaje,24.8
2016,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Gipuzkoa,Porcentaje,23.8
2021,Empleo en el sector manufacturero,Manufactura,Horas trabajadas,,Gipuzkoa,Porcentaje,23.8
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Navaridas,Porcentaje,19.8
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Aia,Porcentaje,40.7
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Maruri-Jatabe,Porcentaje,1.5
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zigoitia,Porcentaje,23.7
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Okondo,Porcentaje,38.2
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Aulesti,Porcentaje,18.0
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Markina-Xemein,Porcentaje,25.8
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Olaberria,Porcentaje,57.3
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Plentzia-Mungia,Porcentaje,22.8
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Plentzia-Mungia,Porcentaje,21.9
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Okondo,Porcentaje,36.1
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mundaka,Porcentaje,12.8
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lantarón,Porcentaje,73.4
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Muxika,Porcentaje,36.4
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mutiloa,Porcentaje,1.0
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Iruña Oka/Iruña de Oca,Porcentaje,25.9
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Harana/Valle de Arana,Porcentaje,9.4
