Year,Series,Territorio,Units,Value
2014,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Bizkaia,Porcentaje,30.2
2018,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Bizkaia,Porcentaje,25.7
2021,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Bizkaia,Porcentaje,22.9
2020,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Bizkaia,Porcentaje,25.1
2012,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Bizkaia,Porcentaje,30.5
2011,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Bizkaia,Porcentaje,29.8
2016,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Gipuzkoa,Porcentaje,24.9
2020,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Gipuzkoa,Porcentaje,23.1
2012,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Gipuzkoa,Porcentaje,25.6
2013,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Gipuzkoa,Porcentaje,27.0
2011,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Gipuzkoa,Porcentaje,26.0
2015,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Gipuzkoa,Porcentaje,25.3
2018,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Gipuzkoa,Porcentaje,24.1
2017,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Gipuzkoa,Porcentaje,25.3
2019,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Gipuzkoa,Porcentaje,23.3
2010,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Gipuzkoa,Porcentaje,25.3
2022,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Gipuzkoa,Porcentaje,22.9
2021,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Gipuzkoa,Porcentaje,22.7
2014,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Gipuzkoa,Porcentaje,26.2
