Year,Zerbitzu publikoak,Sexua,Lurralde historikoa,Units,Value
2020,Irakaskuntza,,,Porcentaje,56.5
2015,Irakaskuntza,,,Porcentaje,59.4
2014,Irakaskuntza,,,Porcentaje,54.0
2012,Irakaskuntza,,,Porcentaje,66.0
2019,Irakaskuntza,,,Porcentaje,72.2
2011,Irakaskuntza,,,Porcentaje,66.7
2021,Irakaskuntza,,,Porcentaje,54.4
2017,Irakaskuntza,,,Porcentaje,69.5
2020,Irakaskuntza,,Araba / Álava,Porcentaje,33.3
2017,Irakaskuntza,,Araba / Álava,Porcentaje,60.0
2018,Irakaskuntza,,Araba / Álava,Porcentaje,76.5
2021,Irakaskuntza,,Araba / Álava,Porcentaje,61.2
2016,Irakaskuntza,,Araba / Álava,Porcentaje,77.8
2023,Irakaskuntza,,Araba / Álava,Porcentaje,57.0
2019,Irakaskuntza,,Araba / Álava,Porcentaje,41.7
2022,Irakaskuntza,,Araba / Álava,Porcentaje,42.0
2019,Irakaskuntza,,Bizkaia,Porcentaje,69.0
2023,Irakaskuntza,,Bizkaia,Porcentaje,66.2
2017,Irakaskuntza,,Bizkaia,Porcentaje,72.2
2021,Irakaskuntza,,Bizkaia,Porcentaje,53.2
2018,Irakaskuntza,,Bizkaia,Porcentaje,58.3
2016,Irakaskuntza,,Bizkaia,Porcentaje,48.8
2022,Irakaskuntza,,Bizkaia,Porcentaje,63.9
2020,Irakaskuntza,,Bizkaia,Porcentaje,58.8
2017,Irakaskuntza,,Gipuzkoa,Porcentaje,72.7
2018,Irakaskuntza,,Gipuzkoa,Porcentaje,82.2
2016,Irakaskuntza,,Gipuzkoa,Porcentaje,63.6
2022,Irakaskuntza,,Gipuzkoa,Porcentaje,64.4
2019,Irakaskuntza,,Gipuzkoa,Porcentaje,80.3
2023,Irakaskuntza,,Gipuzkoa,Porcentaje,67.7
2020,Irakaskuntza,,Gipuzkoa,Porcentaje,66.0
2021,Irakaskuntza,,Gipuzkoa,Porcentaje,53.9
2022,Irakaskuntza,Emakumea,,Porcentaje,63.0
2019,Irakaskuntza,Emakumea,,Porcentaje,68.9
2021,Irakaskuntza,Emakumea,,Porcentaje,59.6
2023,Irakaskuntza,Emakumea,,Porcentaje,67.2
2018,Irakaskuntza,Emakumea,,Porcentaje,70.4
2017,Irakaskuntza,Emakumea,,Porcentaje,70.6
2016,Irakaskuntza,Emakumea,,Porcentaje,51.9
2020,Irakaskuntza,Emakumea,,Porcentaje,50.7
2021,Irakaskuntza,Emakumea,Araba / Álava,Porcentaje,52.7
2023,Irakaskuntza,Emakumea,Araba / Álava,Porcentaje,53.7
2018,Irakaskuntza,Emakumea,Araba / Álava,Porcentaje,80.0
2017,Irakaskuntza,Emakumea,Araba / Álava,Porcentaje,63.6
2019,Irakaskuntza,Emakumea,Araba / Álava,Porcentaje,20.0
2016,Irakaskuntza,Emakumea,Araba / Álava,Porcentaje,77.8
2020,Irakaskuntza,Emakumea,Araba / Álava,Porcentaje,20.0
2022,Irakaskuntza,Emakumea,Araba / Álava,Porcentaje,38.6
2016,Irakaskuntza,Emakumea,Bizkaia,Porcentaje,42.9
2021,Irakaskuntza,Emakumea,Bizkaia,Porcentaje,55.1
2019,Irakaskuntza,Emakumea,Bizkaia,Porcentaje,60.9
2022,Irakaskuntza,Emakumea,Bizkaia,Porcentaje,74.0
2023,Irakaskuntza,Emakumea,Bizkaia,Porcentaje,70.0
2018,Irakaskuntza,Emakumea,Bizkaia,Porcentaje,57.1
2017,Irakaskuntza,Emakumea,Bizkaia,Porcentaje,72.2
2020,Irakaskuntza,Emakumea,Bizkaia,Porcentaje,50.0
2018,Irakaskuntza,Emakumea,Gipuzkoa,Porcentaje,78.3
2023,Irakaskuntza,Emakumea,Gipuzkoa,Porcentaje,69.1
2016,Irakaskuntza,Emakumea,Gipuzkoa,Porcentaje,50.0
2021,Irakaskuntza,Emakumea,Gipuzkoa,Porcentaje,63.0
2019,Irakaskuntza,Emakumea,Gipuzkoa,Porcentaje,81.8
2020,Irakaskuntza,Emakumea,Gipuzkoa,Porcentaje,66.7
2017,Irakaskuntza,Emakumea,Gipuzkoa,Porcentaje,72.7
2022,Irakaskuntza,Emakumea,Gipuzkoa,Porcentaje,62.9
2023,Irakaskuntza,Gizona,,Porcentaje,63.0
2019,Irakaskuntza,Gizona,,Porcentaje,75.9
2016,Irakaskuntza,Gizona,,Porcentaje,68.6
2017,Irakaskuntza,Gizona,,Porcentaje,68.5
2022,Irakaskuntza,Gizona,,Porcentaje,58.9
2020,Irakaskuntza,Gizona,,Porcentaje,62.9
2021,Irakaskuntza,Gizona,,Porcentaje,47.9
2018,Irakaskuntza,Gizona,,Porcentaje,71.4
2017,Irakaskuntza,Gizona,Araba / Álava,Porcentaje,57.1
2019,Irakaskuntza,Gizona,Araba / Álava,Porcentaje,57.1
2020,Irakaskuntza,Gizona,Araba / Álava,Porcentaje,50.0
2016,Irakaskuntza,Gizona,Araba / Álava,Porcentaje,77.8
2021,Irakaskuntza,Gizona,Araba / Álava,Porcentaje,66.9
2018,Irakaskuntza,Gizona,Araba / Álava,Porcentaje,71.4
2023,Irakaskuntza,Gizona,Araba / Álava,Porcentaje,59.1
2022,Irakaskuntza,Gizona,Araba / Álava,Porcentaje,45.6
2020,Irakaskuntza,Gizona,Bizkaia,Porcentaje,66.7
2021,Irakaskuntza,Gizona,Bizkaia,Porcentaje,50.6
2019,Irakaskuntza,Gizona,Bizkaia,Porcentaje,78.9
2022,Irakaskuntza,Gizona,Bizkaia,Porcentaje,51.2
2023,Irakaskuntza,Gizona,Bizkaia,Porcentaje,60.8
2016,Irakaskuntza,Gizona,Bizkaia,Porcentaje,54.5
2018,Irakaskuntza,Gizona,Bizkaia,Porcentaje,59.3
2017,Irakaskuntza,Gizona,Bizkaia,Porcentaje,72.2
2021,Irakaskuntza,Gizona,Gipuzkoa,Porcentaje,42.1
2017,Irakaskuntza,Gizona,Gipuzkoa,Porcentaje,72.7
2020,Irakaskuntza,Gizona,Gipuzkoa,Porcentaje,65.2
2022,Irakaskuntza,Gizona,Gipuzkoa,Porcentaje,65.7
2019,Irakaskuntza,Gizona,Gipuzkoa,Porcentaje,78.6
2023,Irakaskuntza,Gizona,Gipuzkoa,Porcentaje,66.1
2018,Irakaskuntza,Gizona,Gipuzkoa,Porcentaje,86.4
2016,Irakaskuntza,Gizona,Gipuzkoa,Porcentaje,80.0
2017,Osasun-arreta,,,Porcentaje,79.0
2013,Osasun-arreta,,,Porcentaje,50.9
2018,Osasun-arreta,,,Porcentaje,84.3
2011,Osasun-arreta,,,Porcentaje,73.1
2014,Osasun-arreta,,,Porcentaje,69.5
2019,Osasun-arreta,,,Porcentaje,81.5
2022,Osasun-arreta,,,Porcentaje,59.5
2021,Osasun-arreta,,,Porcentaje,75.0
2023,Osasun-arreta,,,Porcentaje,62.7
2020,Osasun-arreta,,,Porcentaje,77.2
2012,Osasun-arreta,,,Porcentaje,70.1
2016,Osasun-arreta,,,Porcentaje,67.2
2015,Osasun-arreta,,,Porcentaje,67.5
2017,Osasun-arreta,,Araba / Álava,Porcentaje,73.1
2023,Osasun-arreta,,Araba / Álava,Porcentaje,63.2
2019,Osasun-arreta,,Araba / Álava,Porcentaje,71.4
2021,Osasun-arreta,,Araba / Álava,Porcentaje,79.5
2016,Osasun-arreta,,Araba / Álava,Porcentaje,84.2
2020,Osasun-arreta,,Araba / Álava,Porcentaje,63.0
2018,Osasun-arreta,,Araba / Álava,Porcentaje,95.0
2022,Osasun-arreta,,Araba / Álava,Porcentaje,61.6
2021,Osasun-arreta,,Bizkaia,Porcentaje,74.7
2019,Osasun-arreta,,Bizkaia,Porcentaje,73.9
2022,Osasun-arreta,,Bizkaia,Porcentaje,58.8
2017,Osasun-arreta,,Bizkaia,Porcentaje,66.7
2016,Osasun-arreta,,Bizkaia,Porcentaje,54.7
2023,Osasun-arreta,,Bizkaia,Porcentaje,49.7
2020,Osasun-arreta,,Bizkaia,Porcentaje,80.8
2018,Osasun-arreta,,Bizkaia,Porcentaje,76.4
2018,Osasun-arreta,,Gipuzkoa,Porcentaje,89.1
2016,Osasun-arreta,,Gipuzkoa,Porcentaje,74.5
2020,Osasun-arreta,,Gipuzkoa,Porcentaje,80.7
2019,Osasun-arreta,,Gipuzkoa,Porcentaje,89.1
2021,Osasun-arreta,,Gipuzkoa,Porcentaje,74.5
2022,Osasun-arreta,,Gipuzkoa,Porcentaje,59.4
2023,Osasun-arreta,,Gipuzkoa,Porcentaje,70.6
2017,Osasun-arreta,,Gipuzkoa,Porcentaje,93.8
2016,Osasun-arreta,Emakumea,,Porcentaje,61.3
2017,Osasun-arreta,Emakumea,,Porcentaje,76.7
2021,Osasun-arreta,Emakumea,,Porcentaje,66.3
2019,Osasun-arreta,Emakumea,,Porcentaje,80.0
2023,Osasun-arreta,Emakumea,,Porcentaje,55.3
2020,Osasun-arreta,Emakumea,,Porcentaje,74.6
2022,Osasun-arreta,Emakumea,,Porcentaje,63.5
2018,Osasun-arreta,Emakumea,,Porcentaje,84.7
2022,Osasun-arreta,Emakumea,Araba / Álava,Porcentaje,77.3
2021,Osasun-arreta,Emakumea,Araba / Álava,Porcentaje,44.3
2020,Osasun-arreta,Emakumea,Araba / Álava,Porcentaje,62.5
2023,Osasun-arreta,Emakumea,Araba / Álava,Porcentaje,46.7
2017,Osasun-arreta,Emakumea,Araba / Álava,Porcentaje,75.0
2018,Osasun-arreta,Emakumea,Araba / Álava,Porcentaje,100.0
2016,Osasun-arreta,Emakumea,Araba / Álava,Porcentaje,77.8
2019,Osasun-arreta,Emakumea,Araba / Álava,Porcentaje,66.7
2020,Osasun-arreta,Emakumea,Bizkaia,Porcentaje,80.0
2023,Osasun-arreta,Emakumea,Bizkaia,Porcentaje,39.9
2017,Osasun-arreta,Emakumea,Bizkaia,Porcentaje,60.0
2021,Osasun-arreta,Emakumea,Bizkaia,Porcentaje,63.4
2018,Osasun-arreta,Emakumea,Bizkaia,Porcentaje,68.0
2022,Osasun-arreta,Emakumea,Bizkaia,Porcentaje,70.2
2019,Osasun-arreta,Emakumea,Bizkaia,Porcentaje,72.0
2016,Osasun-arreta,Emakumea,Bizkaia,Porcentaje,48.1
2016,Osasun-arreta,Emakumea,Gipuzkoa,Porcentaje,69.2
2017,Osasun-arreta,Emakumea,Gipuzkoa,Porcentaje,95.7
2018,Osasun-arreta,Emakumea,Gipuzkoa,Porcentaje,95.8
2022,Osasun-arreta,Emakumea,Gipuzkoa,Porcentaje,54.7
2020,Osasun-arreta,Emakumea,Gipuzkoa,Porcentaje,76.7
2023,Osasun-arreta,Emakumea,Gipuzkoa,Porcentaje,67.8
2021,Osasun-arreta,Emakumea,Gipuzkoa,Porcentaje,70.3
2019,Osasun-arreta,Emakumea,Gipuzkoa,Porcentaje,88.2
2018,Osasun-arreta,Gizona,,Porcentaje,83.9
2023,Osasun-arreta,Gizona,,Porcentaje,70.8
2019,Osasun-arreta,Gizona,,Porcentaje,83.1
2017,Osasun-arreta,Gizona,,Porcentaje,81.4
2021,Osasun-arreta,Gizona,,Porcentaje,85.3
2020,Osasun-arreta,Gizona,,Porcentaje,80.0
2016,Osasun-arreta,Gizona,,Porcentaje,73.7
2022,Osasun-arreta,Gizona,,Porcentaje,55.6
2017,Osasun-arreta,Gizona,Araba / Álava,Porcentaje,71.4
2022,Osasun-arreta,Gizona,Araba / Álava,Porcentaje,44.8
2021,Osasun-arreta,Gizona,Araba / Álava,Porcentaje,100.0
2016,Osasun-arreta,Gizona,Araba / Álava,Porcentaje,90.0
2023,Osasun-arreta,Gizona,Araba / Álava,Porcentaje,73.3
2019,Osasun-arreta,Gizona,Araba / Álava,Porcentaje,75.0
2020,Osasun-arreta,Gizona,Araba / Álava,Porcentaje,63.6
2018,Osasun-arreta,Gizona,Araba / Álava,Porcentaje,90.0
2023,Osasun-arreta,Gizona,Bizkaia,Porcentaje,63.1
2018,Osasun-arreta,Gizona,Bizkaia,Porcentaje,83.3
2016,Osasun-arreta,Gizona,Bizkaia,Porcentaje,61.5
2017,Osasun-arreta,Gizona,Bizkaia,Porcentaje,75.0
2019,Osasun-arreta,Gizona,Bizkaia,Porcentaje,76.2
2020,Osasun-arreta,Gizona,Bizkaia,Porcentaje,81.5
2021,Osasun-arreta,Gizona,Bizkaia,Porcentaje,89.8
2022,Osasun-arreta,Gizona,Bizkaia,Porcentaje,44.3
2021,Osasun-arreta,Gizona,Gipuzkoa,Porcentaje,79.6
2023,Osasun-arreta,Gizona,Gipuzkoa,Porcentaje,74.0
2019,Osasun-arreta,Gizona,Gipuzkoa,Porcentaje,90.0
2016,Osasun-arreta,Gizona,Gipuzkoa,Porcentaje,81.0
2017,Osasun-arreta,Gizona,Gipuzkoa,Porcentaje,92.0
2022,Osasun-arreta,Gizona,Gipuzkoa,Porcentaje,63.4
2020,Osasun-arreta,Gizona,Gipuzkoa,Porcentaje,85.2
2018,Osasun-arreta,Gizona,Gipuzkoa,Porcentaje,81.8
2016,Pentsioen kudeaketa,,,Porcentaje,23.5
2017,Pentsioen kudeaketa,,,Porcentaje,40.2
2019,Pentsioen kudeaketa,,,Porcentaje,30.9
2012,Pentsioen kudeaketa,,,Porcentaje,36.0
2015,Pentsioen kudeaketa,,,Porcentaje,21.5
2021,Pentsioen kudeaketa,,,Porcentaje,39.2
2011,Pentsioen kudeaketa,,,Porcentaje,32.0
2013,Pentsioen kudeaketa,,,Porcentaje,21.2
2023,Pentsioen kudeaketa,,,Porcentaje,52.4
2020,Pentsioen kudeaketa,,,Porcentaje,42.2
2018,Pentsioen kudeaketa,,,Porcentaje,19.1
2022,Pentsioen kudeaketa,,,Porcentaje,37.0
2014,Pentsioen kudeaketa,,,Porcentaje,21.3
2017,Pentsioen kudeaketa,,Araba / Álava,Porcentaje,65.2
2016,Pentsioen kudeaketa,,Araba / Álava,Porcentaje,21.4
2020,Pentsioen kudeaketa,,Araba / Álava,Porcentaje,37.0
2022,Pentsioen kudeaketa,,Araba / Álava,Porcentaje,28.9
2018,Pentsioen kudeaketa,,Araba / Álava,Porcentaje,11.1
2021,Pentsioen kudeaketa,,Araba / Álava,Porcentaje,27.6
2023,Pentsioen kudeaketa,,Araba / Álava,Porcentaje,58.7
2019,Pentsioen kudeaketa,,Araba / Álava,Porcentaje,0.0
2016,Pentsioen kudeaketa,,Bizkaia,Porcentaje,20.5
2018,Pentsioen kudeaketa,,Bizkaia,Porcentaje,25.0
2022,Pentsioen kudeaketa,,Bizkaia,Porcentaje,42.4
2021,Pentsioen kudeaketa,,Bizkaia,Porcentaje,56.1
2017,Pentsioen kudeaketa,,Bizkaia,Porcentaje,22.2
2023,Pentsioen kudeaketa,,Bizkaia,Porcentaje,42.7
2019,Pentsioen kudeaketa,,Bizkaia,Porcentaje,25.6
2020,Pentsioen kudeaketa,,Bizkaia,Porcentaje,43.5
2022,Pentsioen kudeaketa,,Gipuzkoa,Porcentaje,36.3
2019,Pentsioen kudeaketa,,Gipuzkoa,Porcentaje,39.3
2018,Pentsioen kudeaketa,,Gipuzkoa,Porcentaje,15.6
2016,Pentsioen kudeaketa,,Gipuzkoa,Porcentaje,27.3
2020,Pentsioen kudeaketa,,Gipuzkoa,Porcentaje,43.6
2021,Pentsioen kudeaketa,,Gipuzkoa,Porcentaje,32.3
2017,Pentsioen kudeaketa,,Gipuzkoa,Porcentaje,41.9
2023,Pentsioen kudeaketa,,Gipuzkoa,Porcentaje,56.0
2020,Pentsioen kudeaketa,Emakumea,,Porcentaje,36.4
2023,Pentsioen kudeaketa,Emakumea,,Porcentaje,48.5
2022,Pentsioen kudeaketa,Emakumea,,Porcentaje,34.3
2018,Pentsioen kudeaketa,Emakumea,,Porcentaje,19.3
2021,Pentsioen kudeaketa,Emakumea,,Porcentaje,34.1
2017,Pentsioen kudeaketa,Emakumea,,Porcentaje,45.1
2019,Pentsioen kudeaketa,Emakumea,,Porcentaje,24.2
2016,Pentsioen kudeaketa,Emakumea,,Porcentaje,20.0
2017,Pentsioen kudeaketa,Emakumea,Araba / Álava,Porcentaje,63.6
2020,Pentsioen kudeaketa,Emakumea,Araba / Álava,Porcentaje,33.3
2018,Pentsioen kudeaketa,Emakumea,Araba / Álava,Porcentaje,20.0
2019,Pentsioen kudeaketa,Emakumea,Araba / Álava,Porcentaje,0.0
2022,Pentsioen kudeaketa,Emakumea,Araba / Álava,Porcentaje,38.6
2023,Pentsioen kudeaketa,Emakumea,Araba / Álava,Porcentaje,70.7
2021,Pentsioen kudeaketa,Emakumea,Araba / Álava,Porcentaje,0.0
2016,Pentsioen kudeaketa,Emakumea,Araba / Álava,Porcentaje,28.6
2018,Pentsioen kudeaketa,Emakumea,Bizkaia,Porcentaje,30.4
2019,Pentsioen kudeaketa,Emakumea,Bizkaia,Porcentaje,20.8
2020,Pentsioen kudeaketa,Emakumea,Bizkaia,Porcentaje,31.8
2021,Pentsioen kudeaketa,Emakumea,Bizkaia,Porcentaje,44.5
2022,Pentsioen kudeaketa,Emakumea,Bizkaia,Porcentaje,33.4
2023,Pentsioen kudeaketa,Emakumea,Bizkaia,Porcentaje,34.0
2017,Pentsioen kudeaketa,Emakumea,Bizkaia,Porcentaje,20.0
2016,Pentsioen kudeaketa,Emakumea,Bizkaia,Porcentaje,16.7
2018,Pentsioen kudeaketa,Emakumea,Gipuzkoa,Porcentaje,8.3
2019,Pentsioen kudeaketa,Emakumea,Gipuzkoa,Porcentaje,29.4
2023,Pentsioen kudeaketa,Emakumea,Gipuzkoa,Porcentaje,52.2
2022,Pentsioen kudeaketa,Emakumea,Gipuzkoa,Porcentaje,33.2
2017,Pentsioen kudeaketa,Emakumea,Gipuzkoa,Porcentaje,60.0
2020,Pentsioen kudeaketa,Emakumea,Gipuzkoa,Porcentaje,41.4
2021,Pentsioen kudeaketa,Emakumea,Gipuzkoa,Porcentaje,31.8
2016,Pentsioen kudeaketa,Emakumea,Gipuzkoa,Porcentaje,20.8
2023,Pentsioen kudeaketa,Gizona,,Porcentaje,57.1
2019,Pentsioen kudeaketa,Gizona,,Porcentaje,39.6
2016,Pentsioen kudeaketa,Gizona,,Porcentaje,27.7
2021,Pentsioen kudeaketa,Gizona,,Porcentaje,45.7
2022,Pentsioen kudeaketa,Gizona,,Porcentaje,39.5
2020,Pentsioen kudeaketa,Gizona,,Porcentaje,48.4
2018,Pentsioen kudeaketa,Gizona,,Porcentaje,19.0
2017,Pentsioen kudeaketa,Gizona,,Porcentaje,35.3
2016,Pentsioen kudeaketa,Gizona,Araba / Álava,Porcentaje,14.3
2020,Pentsioen kudeaketa,Gizona,Araba / Álava,Porcentaje,41.7
2019,Pentsioen kudeaketa,Gizona,Araba / Álava,Porcentaje,0.0
2022,Pentsioen kudeaketa,Gizona,Araba / Álava,Porcentaje,18.5
2018,Pentsioen kudeaketa,Gizona,Araba / Álava,Porcentaje,0.0
2023,Pentsioen kudeaketa,Gizona,Araba / Álava,Porcentaje,51.0
2017,Pentsioen kudeaketa,Gizona,Araba / Álava,Porcentaje,66.7
2021,Pentsioen kudeaketa,Gizona,Araba / Álava,Porcentaje,43.2
2021,Pentsioen kudeaketa,Gizona,Bizkaia,Porcentaje,74.0
2023,Pentsioen kudeaketa,Gizona,Bizkaia,Porcentaje,56.4
2018,Pentsioen kudeaketa,Gizona,Bizkaia,Porcentaje,20.7
2016,Pentsioen kudeaketa,Gizona,Bizkaia,Porcentaje,25.0
2017,Pentsioen kudeaketa,Gizona,Bizkaia,Porcentaje,25.0
2020,Pentsioen kudeaketa,Gizona,Bizkaia,Porcentaje,54.2
2022,Pentsioen kudeaketa,Gizona,Bizkaia,Porcentaje,55.2
2019,Pentsioen kudeaketa,Gizona,Bizkaia,Porcentaje,33.3
2019,Pentsioen kudeaketa,Gizona,Gipuzkoa,Porcentaje,51.9
2020,Pentsioen kudeaketa,Gizona,Gipuzkoa,Porcentaje,46.2
2023,Pentsioen kudeaketa,Gizona,Gipuzkoa,Porcentaje,60.9
2022,Pentsioen kudeaketa,Gizona,Gipuzkoa,Porcentaje,38.1
2016,Pentsioen kudeaketa,Gizona,Gipuzkoa,Porcentaje,35.0
2017,Pentsioen kudeaketa,Gizona,Gipuzkoa,Porcentaje,26.1
2018,Pentsioen kudeaketa,Gizona,Gipuzkoa,Porcentaje,23.8
2021,Pentsioen kudeaketa,Gizona,Gipuzkoa,Porcentaje,32.9
2021,Justizia-administrazioa,,,Porcentaje,16.9
2016,Justizia-administrazioa,,,Porcentaje,11.4
2015,Justizia-administrazioa,,,Porcentaje,11.2
2019,Justizia-administrazioa,,,Porcentaje,19.4
2022,Justizia-administrazioa,,,Porcentaje,20.6
2013,Justizia-administrazioa,,,Porcentaje,13.5
2012,Justizia-administrazioa,,,Porcentaje,9.5
2017,Justizia-administrazioa,,,Porcentaje,19.4
2018,Justizia-administrazioa,,,Porcentaje,19.4
2011,Justizia-administrazioa,,,Porcentaje,15.0
2014,Justizia-administrazioa,,,Porcentaje,12.0
2020,Justizia-administrazioa,,,Porcentaje,17.5
2023,Justizia-administrazioa,,,Porcentaje,22.4
2019,Justizia-administrazioa,,Araba / Álava,Porcentaje,0.0
2020,Justizia-administrazioa,,Araba / Álava,Porcentaje,22.2
2016,Justizia-administrazioa,,Araba / Álava,Porcentaje,10.5
2021,Justizia-administrazioa,,Araba / Álava,Porcentaje,8.9
2023,Justizia-administrazioa,,Araba / Álava,Porcentaje,14.5
2022,Justizia-administrazioa,,Araba / Álava,Porcentaje,15.0
2018,Justizia-administrazioa,,Araba / Álava,Porcentaje,12.5
2017,Justizia-administrazioa,,Araba / Álava,Porcentaje,23.1
2022,Justizia-administrazioa,,Bizkaia,Porcentaje,30.0
2017,Justizia-administrazioa,,Bizkaia,Porcentaje,18.9
2023,Justizia-administrazioa,,Bizkaia,Porcentaje,33.1
2020,Justizia-administrazioa,,Bizkaia,Porcentaje,16.3
2016,Justizia-administrazioa,,Bizkaia,Porcentaje,10.4
2018,Justizia-administrazioa,,Bizkaia,Porcentaje,26.5
2019,Justizia-administrazioa,,Bizkaia,Porcentaje,12.5
2021,Justizia-administrazioa,,Bizkaia,Porcentaje,21.2
2017,Justizia-administrazioa,,Gipuzkoa,Porcentaje,17.8
2021,Justizia-administrazioa,,Gipuzkoa,Porcentaje,16.0
2019,Justizia-administrazioa,,Gipuzkoa,Porcentaje,27.1
2023,Justizia-administrazioa,,Gipuzkoa,Porcentaje,18.6
2018,Justizia-administrazioa,,Gipuzkoa,Porcentaje,14.0
