Year,Series,Lurralde historikoa,Units,Value
2022,Turismoak sortutako BPGren hazkunde-tasa,Bizkaia,Porcentaje,56.5
2017,Turismoak sortutako BPGren hazkunde-tasa,Bizkaia,Porcentaje,4.4
2013,Turismoak sortutako BPGren hazkunde-tasa,Bizkaia,Porcentaje,1.6
2016,Turismoak sortutako BPGren hazkunde-tasa,Bizkaia,Porcentaje,6.3
2018,Turismoak sortutako BPGren hazkunde-tasa,Bizkaia,Porcentaje,2.7
2020,Turismoak sortutako BPGren hazkunde-tasa,Bizkaia,Porcentaje,-48.6
2015,Turismoak sortutako BPGren hazkunde-tasa,Bizkaia,Porcentaje,9.1
2019,Turismoak sortutako BPGren hazkunde-tasa,Bizkaia,Porcentaje,3.0
2011,Turismoak sortutako BPGren hazkunde-tasa,Bizkaia,Porcentaje,2.9
2021,Turismoak sortutako BPGren hazkunde-tasa,Bizkaia,Porcentaje,13.7
2022,Turismoak sortutako BPGren hazkunde-tasa,Gipuzkoa,Porcentaje,46.7
2011,Turismoak sortutako BPGren hazkunde-tasa,Gipuzkoa,Porcentaje,-0.1
2018,Turismoak sortutako BPGren hazkunde-tasa,Gipuzkoa,Porcentaje,3.0
2020,Turismoak sortutako BPGren hazkunde-tasa,Gipuzkoa,Porcentaje,-45.9
2019,Turismoak sortutako BPGren hazkunde-tasa,Gipuzkoa,Porcentaje,5.7
2012,Turismoak sortutako BPGren hazkunde-tasa,Gipuzkoa,Porcentaje,2.4
2017,Turismoak sortutako BPGren hazkunde-tasa,Gipuzkoa,Porcentaje,1.5
2016,Turismoak sortutako BPGren hazkunde-tasa,Gipuzkoa,Porcentaje,6.9
2013,Turismoak sortutako BPGren hazkunde-tasa,Gipuzkoa,Porcentaje,0.8
2021,Turismoak sortutako BPGren hazkunde-tasa,Gipuzkoa,Porcentaje,18.6
2014,Turismoak sortutako BPGren hazkunde-tasa,Gipuzkoa,Porcentaje,5.3
2015,Turismoak sortutako BPGren hazkunde-tasa,Gipuzkoa,Porcentaje,8.3
