Year,Series,Sexua,Adina,Lurralde historikoa,Units,Value
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Bizkaia,Porcentaje,20.7
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Bizkaia,Porcentaje,23.4
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Bizkaia,Porcentaje,23.0
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Bizkaia,Porcentaje,17.7
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Gipuzkoa,Porcentaje,20.1
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Gipuzkoa,Porcentaje,13.7
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Gipuzkoa,Porcentaje,17.4
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Gipuzkoa,Porcentaje,24.4
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Gipuzkoa,Porcentaje,17.8
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Gipuzkoa,Porcentaje,23.8
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Gipuzkoa,Porcentaje,25.9
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Gipuzkoa,Porcentaje,21.8
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Gipuzkoa,Porcentaje,20.6
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Gipuzkoa,Porcentaje,13.2
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Gipuzkoa,Porcentaje,13.5
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Gipuzkoa,Porcentaje,18.4
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Gipuzkoa,Porcentaje,20.6
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,15-64 urte,Gipuzkoa,Porcentaje,22.9
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,,Porcentaje,10.6
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,,Porcentaje,3.0
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,,Porcentaje,9.1
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,,Porcentaje,12.2
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,,Porcentaje,13.5
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,,Porcentaje,10.5
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,,Porcentaje,15.7
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,,Porcentaje,12.7
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,,Porcentaje,14.0
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,,Porcentaje,8.5
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,,Porcentaje,3.0
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,,Porcentaje,9.6
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,,Porcentaje,11.7
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,,Porcentaje,2.8
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Araba / Álava,Porcentaje,16.8
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Araba / Álava,Porcentaje,11.1
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Araba / Álava,Porcentaje,13.1
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Araba / Álava,Porcentaje,2.0
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Araba / Álava,Porcentaje,16.6
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Araba / Álava,Porcentaje,2.3
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Araba / Álava,Porcentaje,15.7
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Araba / Álava,Porcentaje,10.0
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Araba / Álava,Porcentaje,13.2
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Araba / Álava,Porcentaje,10.7
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Araba / Álava,Porcentaje,10.7
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Araba / Álava,Porcentaje,9.8
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Araba / Álava,Porcentaje,2.3
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Araba / Álava,Porcentaje,13.4
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Bizkaia,Porcentaje,9.4
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Bizkaia,Porcentaje,11.1
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Bizkaia,Porcentaje,13.1
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Bizkaia,Porcentaje,12.4
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Bizkaia,Porcentaje,2.2
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Bizkaia,Porcentaje,14.2
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Bizkaia,Porcentaje,8.5
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Bizkaia,Porcentaje,1.9
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Bizkaia,Porcentaje,11.7
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Bizkaia,Porcentaje,9.5
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Bizkaia,Porcentaje,14.6
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Bizkaia,Porcentaje,2.8
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Bizkaia,Porcentaje,11.5
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Bizkaia,Porcentaje,11.3
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Gipuzkoa,Porcentaje,4.0
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Gipuzkoa,Porcentaje,4.7
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Gipuzkoa,Porcentaje,12.6
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Gipuzkoa,Porcentaje,17.2
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Gipuzkoa,Porcentaje,15.4
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Gipuzkoa,Porcentaje,7.8
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Gipuzkoa,Porcentaje,9.3
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Gipuzkoa,Porcentaje,4.4
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Gipuzkoa,Porcentaje,12.0
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Gipuzkoa,Porcentaje,9.5
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Gipuzkoa,Porcentaje,9.0
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Gipuzkoa,Porcentaje,11.0
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Gipuzkoa,Porcentaje,8.1
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,,25-64 urte,Gipuzkoa,Porcentaje,11.7
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,,Porcentaje,81.1
