Year,Sex,Province,Units,Value
2017,F,Bizkaia,"Per 1,000 live births",2.44
2014,F,Bizkaia,"Per 1,000 live births",2.93
2021,F,Bizkaia,"Per 1,000 live births",2.7
2013,F,Bizkaia,"Per 1,000 live births",2.75
2012,F,Bizkaia,"Per 1,000 live births",3.2
2015,F,Bizkaia,"Per 1,000 live births",5.42
2011,F,Bizkaia,"Per 1,000 live births",4.72
2010,F,Bizkaia,"Per 1,000 live births",4.24
2020,F,Bizkaia,"Per 1,000 live births",3.14
2022,F,Gipuzkoa,"Per 1,000 live births",2.8
2021,F,Gipuzkoa,"Per 1,000 live births",2.51
2020,F,Gipuzkoa,"Per 1,000 live births",2.87
2019,F,Gipuzkoa,"Per 1,000 live births",2.77
2018,F,Gipuzkoa,"Per 1,000 live births",3.41
2017,F,Gipuzkoa,"Per 1,000 live births",1.49
2023,F,Gipuzkoa,"Per 1,000 live births",2.22
2016,F,Gipuzkoa,"Per 1,000 live births",2.73
2015,F,Gipuzkoa,"Per 1,000 live births",1.58
2014,F,Gipuzkoa,"Per 1,000 live births",2.88
2013,F,Gipuzkoa,"Per 1,000 live births",2.61
2012,F,Gipuzkoa,"Per 1,000 live births",3.7
2011,F,Gipuzkoa,"Per 1,000 live births",2.91
2010,F,Gipuzkoa,"Per 1,000 live births",3.66
2021,M,,"Per 1,000 live births",3.1
2023,M,,"Per 1,000 live births",3.19
2019,M,,"Per 1,000 live births",3.8
2013,M,,"Per 1,000 live births",2.95
2020,M,,"Per 1,000 live births",3.27
2016,M,,"Per 1,000 live births",3.43
2015,M,,"Per 1,000 live births",3.49
2010,M,,"Per 1,000 live births",3.24
2018,M,,"Per 1,000 live births",3.52
2017,M,,"Per 1,000 live births",3.29
2012,M,,"Per 1,000 live births",2.8
2022,M,,"Per 1,000 live births",4.7
2014,M,,"Per 1,000 live births",2.94
2011,M,,"Per 1,000 live births",2.51
2021,M,Araba/Álava,"Per 1,000 live births",4.05
2022,M,Araba/Álava,"Per 1,000 live births",6.8
2012,M,Araba/Álava,"Per 1,000 live births",2.3
2015,M,Araba/Álava,"Per 1,000 live births",3.67
2013,M,Araba/Álava,"Per 1,000 live births",4.33
2020,M,Araba/Álava,"Per 1,000 live births",4.85
2011,M,Araba/Álava,"Per 1,000 live births",2.29
2018,M,Araba/Álava,"Per 1,000 live births",5.77
2016,M,Araba/Álava,"Per 1,000 live births",3.88
2014,M,Araba/Álava,"Per 1,000 live births",3.58
2010,M,Araba/Álava,"Per 1,000 live births",3.45
2023,M,Araba/Álava,"Per 1,000 live births",6.85
2017,M,Araba/Álava,"Per 1,000 live births",3.34
2019,M,Araba/Álava,"Per 1,000 live births",2.29
2023,M,Bizkaia,"Per 1,000 live births",3.22
2022,M,Bizkaia,"Per 1,000 live births",4.31
2021,M,Bizkaia,"Per 1,000 live births",2.76
2020,M,Bizkaia,"Per 1,000 live births",2.88
2019,M,Bizkaia,"Per 1,000 live births",3.76
2018,M,Bizkaia,"Per 1,000 live births",3.22
2016,M,Bizkaia,"Per 1,000 live births",3.83
2017,M,Bizkaia,"Per 1,000 live births",3.17
2015,M,Bizkaia,"Per 1,000 live births",3.47
2014,M,Bizkaia,"Per 1,000 live births",2.22
2013,M,Bizkaia,"Per 1,000 live births",2.2
2012,M,Bizkaia,"Per 1,000 live births",3.19
2011,M,Bizkaia,"Per 1,000 live births",2.78
2010,M,Bizkaia,"Per 1,000 live births",4.07
2020,M,Gipuzkoa,"Per 1,000 live births",3.09
2019,M,Gipuzkoa,"Per 1,000 live births",4.61
2018,M,Gipuzkoa,"Per 1,000 live births",2.83
2017,M,Gipuzkoa,"Per 1,000 live births",3.44
2016,M,Gipuzkoa,"Per 1,000 live births",2.6
2015,M,Gipuzkoa,"Per 1,000 live births",3.44
2011,M,Gipuzkoa,"Per 1,000 live births",2.2
2014,M,Gipuzkoa,"Per 1,000 live births",3.71
2012,M,Gipuzkoa,"Per 1,000 live births",2.46
2013,M,Gipuzkoa,"Per 1,000 live births",3.42
2010,M,Gipuzkoa,"Per 1,000 live births",1.91
2023,M,Gipuzkoa,"Per 1,000 live births",1.3
2022,M,Gipuzkoa,"Per 1,000 live births",4.22
2021,M,Gipuzkoa,"Per 1,000 live births",3.15
