Year,Series,Waste treatment operation,Province,Units,Value
2017,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,%,0.2
2011,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,Kg per capita,0.2
2021,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,%,0.0
2018,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,%,0.1
2010,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,%,0.9
2018,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,Kg per capita,0.2
2016,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,Kg per capita,1.1
2020,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,Kg per capita,0.5
2014,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,Kg per capita,1.3
2015,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,%,0.6
2016,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,%,0.8
2013,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,%,0.1
2021,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,Kg per capita,0.1
2015,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,Kg per capita,0.9
2014,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,%,0.8
2019,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,Kg per capita,0.3
2012,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,%,0.1
2011,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,%,0.1
2017,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,Kg per capita,0.2
2020,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,%,0.3
2013,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,Kg per capita,0.2
2010,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,Kg per capita,1.4
2022,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,Kg per capita,0.2
2013,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,Kg per capita,40.0
2018,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,Kg per capita,51.1
2015,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,Kg per capita,45.1
2011,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,Kg per capita,49.3
2021,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,%,34.2
2020,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,%,39.6
2020,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,Kg per capita,57.3
2022,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,Kg per capita,62.1
2016,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,%,32.2
2011,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,%,32.6
2022,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,%,39.5
2014,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,%,31.5
2017,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,%,34.6
2018,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,%,34.2
2010,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,%,36.4
2015,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,%,29.9
2019,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,Kg per capita,50.6
2012,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,%,38.1
2012,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,Kg per capita,52.2
2021,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,Kg per capita,51.6
2014,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,Kg per capita,46.9
2019,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,%,33.7
2016,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,Kg per capita,47.6
2013,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,%,30.6
2010,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,Kg per capita,59.3
2017,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,Kg per capita,50.2
