Year,Institución,Territorio,Units,Value
2011,Sector público (total),Gipuzkoa,Ratio,1.14
2023,Sector público (total),Gipuzkoa,Ratio,1.31
2012,Sector público (total),Gipuzkoa,Ratio,1.17
2022,Sector público (total),Gipuzkoa,Ratio,1.23
2018,Sector público (total),Gipuzkoa,Ratio,1.17
2013,Sector público (total),Gipuzkoa,Ratio,1.18
2019,Sector público (total),Gipuzkoa,Ratio,1.23
2017,Sector público (total),Gipuzkoa,Ratio,1.21
2014,Sector público (total),Gipuzkoa,Ratio,1.17
2019,Sector público autonómico,,Ratio,1.37
2015,Sector público autonómico,,Ratio,1.33
2017,Sector público autonómico,,Ratio,1.35
2013,Sector público autonómico,,Ratio,1.33
2023,Sector público autonómico,,Ratio,1.4
2021,Sector público autonómico,,Ratio,1.36
2022,Sector público autonómico,,Ratio,1.34
2012,Sector público autonómico,,Ratio,1.32
2016,Sector público autonómico,,Ratio,1.34
2010,Sector público autonómico,,Ratio,1.31
2018,Sector público autonómico,,Ratio,1.3
2020,Sector público autonómico,,Ratio,1.34
2014,Sector público autonómico,,Ratio,1.33
2011,Sector público autonómico,,Ratio,1.31
2023,Sector público autonómico,Araba/Álava,Ratio,1.32
2022,Sector público autonómico,Araba/Álava,Ratio,1.32
2018,Sector público autonómico,Araba/Álava,Ratio,1.31
2021,Sector público autonómico,Araba/Álava,Ratio,1.33
2019,Sector público autonómico,Araba/Álava,Ratio,1.34
2016,Sector público autonómico,Araba/Álava,Ratio,1.31
2010,Sector público autonómico,Araba/Álava,Ratio,1.28
2017,Sector público autonómico,Araba/Álava,Ratio,1.32
2013,Sector público autonómico,Araba/Álava,Ratio,1.3
2014,Sector público autonómico,Araba/Álava,Ratio,1.31
2020,Sector público autonómico,Araba/Álava,Ratio,1.32
2015,Sector público autonómico,Araba/Álava,Ratio,1.32
2011,Sector público autonómico,Araba/Álava,Ratio,1.29
2012,Sector público autonómico,Araba/Álava,Ratio,1.29
2022,Sector público autonómico,Bizkaia,Ratio,1.33
2017,Sector público autonómico,Bizkaia,Ratio,1.33
2013,Sector público autonómico,Bizkaia,Ratio,1.31
2018,Sector público autonómico,Bizkaia,Ratio,1.26
2015,Sector público autonómico,Bizkaia,Ratio,1.32
2021,Sector público autonómico,Bizkaia,Ratio,1.33
2016,Sector público autonómico,Bizkaia,Ratio,1.32
2010,Sector público autonómico,Bizkaia,Ratio,1.3
2020,Sector público autonómico,Bizkaia,Ratio,1.32
2012,Sector público autonómico,Bizkaia,Ratio,1.3
2011,Sector público autonómico,Bizkaia,Ratio,1.29
2014,Sector público autonómico,Bizkaia,Ratio,1.32
2019,Sector público autonómico,Bizkaia,Ratio,1.35
2023,Sector público autonómico,Bizkaia,Ratio,1.41
2022,Sector público autonómico,Gipuzkoa,Ratio,1.39
2021,Sector público autonómico,Gipuzkoa,Ratio,1.42
2020,Sector público autonómico,Gipuzkoa,Ratio,1.4
2016,Sector público autonómico,Gipuzkoa,Ratio,1.38
2017,Sector público autonómico,Gipuzkoa,Ratio,1.4
2018,Sector público autonómico,Gipuzkoa,Ratio,1.34
2012,Sector público autonómico,Gipuzkoa,Ratio,1.37
2011,Sector público autonómico,Gipuzkoa,Ratio,1.35
2013,Sector público autonómico,Gipuzkoa,Ratio,1.38
2019,Sector público autonómico,Gipuzkoa,Ratio,1.42
2023,Sector público autonómico,Gipuzkoa,Ratio,1.47
2014,Sector público autonómico,Gipuzkoa,Ratio,1.37
2010,Sector público autonómico,Gipuzkoa,Ratio,1.34
2015,Sector público autonómico,Gipuzkoa,Ratio,1.37
2023,Instituciones sanitarias autonómicas,,Ratio,1.57
2019,Instituciones sanitarias autonómicas,,Ratio,1.56
2022,Instituciones sanitarias autonómicas,,Ratio,1.57
2016,Instituciones sanitarias autonómicas,,Ratio,1.54
2017,Instituciones sanitarias autonómicas,,Ratio,1.55
2010,Centros educativos no universitarios autonómicos,,Ratio,1.47
2022,Diputaciones forales,,Ratio,1.29
2021,Instituciones sanitarias autonómicas,,Ratio,1.57
2023,Diputaciones forales,,Ratio,1.29
2018,Instituciones sanitarias autonómicas,,Ratio,1.47
2013,Instituciones sanitarias autonómicas,,Ratio,1.53
2020,Diputaciones forales,,Ratio,1.27
2019,Centros educativos no universitarios autonómicos,,Ratio,1.5
2012,Centros educativos no universitarios autonómicos,,Ratio,1.49
2022,Centros educativos no universitarios autonómicos,,Ratio,1.46
2010,Instituciones sanitarias autonómicas,,Ratio,1.5
2011,Instituciones sanitarias autonómicas,,Ratio,1.49
2021,Centros educativos no universitarios autonómicos,,Ratio,1.49
2020,Centros educativos no universitarios autonómicos,,Ratio,1.48
2017,Centros educativos no universitarios autonómicos,,Ratio,1.49
2018,Centros educativos no universitarios autonómicos,,Ratio,1.48
2021,Diputaciones forales,,Ratio,1.27
2014,Centros educativos no universitarios autonómicos,,Ratio,1.48
2015,Instituciones sanitarias autonómicas,,Ratio,1.53
2015,Centros educativos no universitarios autonómicos,,Ratio,1.49
2023,Centros educativos no universitarios autonómicos,,Ratio,1.48
2020,Instituciones sanitarias autonómicas,,Ratio,1.56
2016,Centros educativos no universitarios autonómicos,,Ratio,1.48
2013,Centros educativos no universitarios autonómicos,,Ratio,1.48
2011,Centros educativos no universitarios autonómicos,,Ratio,1.48
2012,Instituciones sanitarias autonómicas,,Ratio,1.51
2014,Instituciones sanitarias autonómicas,,Ratio,1.53
2020,Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.46
2015,Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.47
2011,Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.53
2022,Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.57
2012,Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.47
2014,Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.47
2020,Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.55
2023,Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.57
2018,Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.45
2021,Diputaciones forales,Araba/Álava,Ratio,1.36
2022,Diputaciones forales,Araba/Álava,Ratio,1.38
2023,Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.47
2019,Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.48
2013,Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.55
2010,Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.53
2022,Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.44
2016,Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.55
2017,Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.55
2013,Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.47
2023,Diputaciones forales,Araba/Álava,Ratio,1.37
2019,Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.55
2021,Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.55
2014,Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.54
2010,Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.46
2020,Diputaciones forales,Araba/Álava,Ratio,1.38
2017,Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.47
2015,Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.54
2011,Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.48
2018,Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.56
2012,Instituciones sanitarias autonómicas,Araba/Álava,Ratio,1.54
2016,Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.47
2021,Centros educativos no universitarios autonómicos,Araba/Álava,Ratio,1.47
2018,Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.42
2013,Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.49
2019,Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.53
2023,Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.54
2010,Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.46
2020,Diputaciones forales,Bizkaia,Ratio,1.25
2015,Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.5
2016,Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.49
2023,Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.49
2012,Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.48
2022,Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.46
2011,Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.46
2019,Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.51
2020,Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.54
2010,Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.49
2014,Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.5
2011,Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.5
2021,Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.55
2014,Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.5
2022,Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.56
2017,Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.52
2016,Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.51
2020,Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.49
2015,Instituciones sanitarias autonómicas,Bizkaia,Ratio,1.5
2013,Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.5
2022,Diputaciones forales,Bizkaia,Ratio,1.26
2012,Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.5
2021,Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.49
2023,Diputaciones forales,Bizkaia,Ratio,1.26
2018,Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.49
2021,Diputaciones forales,Bizkaia,Ratio,1.25
2017,Centros educativos no universitarios autonómicos,Bizkaia,Ratio,1.51
2016,Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.59
2013,Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.58
2011,Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.53
2010,Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.54
2023,Diputaciones forales,Gipuzkoa,Ratio,1.26
2023,Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.61
2012,Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.56
2015,Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.48
2014,Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.59
2018,Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.48
2013,Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.46
2020,Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.62
2014,Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.47
2021,Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.49
2016,Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.47
2017,Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.6
2022,Diputaciones forales,Gipuzkoa,Ratio,1.26
2019,Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.5
2018,Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.47
2010,Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.45
2015,Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.58
2023,Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.48
2011,Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.46
2022,Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.61
2021,Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.62
2019,Instituciones sanitarias autonómicas,Gipuzkoa,Ratio,1.61
2020,Diputaciones forales,Gipuzkoa,Ratio,1.2
2021,Diputaciones forales,Gipuzkoa,Ratio,1.22
2022,Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.46
2020,Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.48
2017,Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.49
2012,Centros educativos no universitarios autonómicos,Gipuzkoa,Ratio,1.47
2021,Universidades,,Ratio,1.06
2013,Policía autonómica,,Ratio,0.22
2022,Policía autonómica,,Ratio,0.3
2023,Universidades,,Ratio,1.06
2010,Policía autonómica,,Ratio,0.2
2018,Universidades,,Ratio,1.03
2019,Universidades,,Ratio,1.04
2016,Policía autonómica,,Ratio,0.22
2015,Universidades,,Ratio,1.0
2014,Universidades,,Ratio,0.99
2016,Universidades,,Ratio,1.01
2011,Policía autonómica,,Ratio,0.22
2012,Policía autonómica,,Ratio,0.22
2018,Policía autonómica,,Ratio,0.24
2021,Policía autonómica,,Ratio,0.26
2011,Universidades,,Ratio,0.78
2017,Universidades,,Ratio,1.04
2023,Policía autonómica,,Ratio,0.3
2017,Policía autonómica,,Ratio,0.22
2013,Universidades,,Ratio,0.98
2010,Universidades,,Ratio,0.77
2020,Universidades,,Ratio,1.05
2014,Policía autonómica,,Ratio,0.22
2015,Policía autonómica,,Ratio,0.23
2012,Universidades,,Ratio,0.97
2019,Policía autonómica,,Ratio,0.24
2022,Universidades,,Ratio,1.07
2020,Policía autonómica,,Ratio,0.26
2018,Policía autonómica,Araba/Álava,Ratio,0.21
2017,Policía autonómica,Araba/Álava,Ratio,0.21
2013,Policía autonómica,Araba/Álava,Ratio,0.21
2010,Policía autonómica,Araba/Álava,Ratio,0.19
2011,Policía autonómica,Araba/Álava,Ratio,0.19
2016,Policía autonómica,Araba/Álava,Ratio,0.21
2017,Universidades,Araba/Álava,Ratio,1.03
2015,Policía autonómica,Araba/Álava,Ratio,0.2
2012,Policía autonómica,Araba/Álava,Ratio,0.19
2014,Policía autonómica,Araba/Álava,Ratio,0.2
2021,Universidades,Araba/Álava,Ratio,1.04
2013,Universidades,Araba/Álava,Ratio,0.99
2011,Universidades,Araba/Álava,Ratio,0.89
2019,Policía autonómica,Araba/Álava,Ratio,0.21
2020,Policía autonómica,Araba/Álava,Ratio,0.22
2023,Policía autonómica,Araba/Álava,Ratio,0.26
2012,Universidades,Araba/Álava,Ratio,0.99
2019,Universidades,Araba/Álava,Ratio,1.02
2018,Universidades,Araba/Álava,Ratio,1.03
2022,Universidades,Araba/Álava,Ratio,1.05
2014,Universidades,Araba/Álava,Ratio,0.98
2023,Universidades,Araba/Álava,Ratio,1.06
2020,Universidades,Araba/Álava,Ratio,1.02
2016,Universidades,Araba/Álava,Ratio,1.03
2015,Universidades,Araba/Álava,Ratio,0.99
2010,Universidades,Araba/Álava,Ratio,0.89
2022,Policía autonómica,Araba/Álava,Ratio,0.26
2021,Policía autonómica,Araba/Álava,Ratio,0.22
2017,Universidades,Bizkaia,Ratio,1.04
2020,Universidades,Bizkaia,Ratio,1.04
2022,Universidades,Bizkaia,Ratio,1.06
2016,Policía autonómica,Bizkaia,Ratio,0.2
2019,Universidades,Bizkaia,Ratio,1.03
2010,Policía autonómica,Bizkaia,Ratio,0.19
2016,Universidades,Bizkaia,Ratio,0.99
2012,Universidades,Bizkaia,Ratio,0.95
2013,Universidades,Bizkaia,Ratio,0.96
2021,Universidades,Bizkaia,Ratio,1.05
2023,Policía autonómica,Bizkaia,Ratio,0.27
2022,Policía autonómica,Bizkaia,Ratio,0.27
2010,Universidades,Bizkaia,Ratio,0.74
2014,Universidades,Bizkaia,Ratio,0.97
2018,Universidades,Bizkaia,Ratio,1.02
2021,Policía autonómica,Bizkaia,Ratio,0.25
2020,Policía autonómica,Bizkaia,Ratio,0.24
2017,Policía autonómica,Bizkaia,Ratio,0.21
2015,Policía autonómica,Bizkaia,Ratio,0.21
2013,Policía autonómica,Bizkaia,Ratio,0.2
2011,Policía autonómica,Bizkaia,Ratio,0.2
2012,Policía autonómica,Bizkaia,Ratio,0.2
2015,Universidades,Bizkaia,Ratio,0.99
2014,Policía autonómica,Bizkaia,Ratio,0.2
2019,Policía autonómica,Bizkaia,Ratio,0.22
2018,Policía autonómica,Bizkaia,Ratio,0.22
2011,Universidades,Bizkaia,Ratio,0.75
2019,Policía autonómica,Gipuzkoa,Ratio,0.3
2020,Policía autonómica,Gipuzkoa,Ratio,0.31
2023,Policía autonómica,Gipuzkoa,Ratio,0.36
2022,Universidades,Gipuzkoa,Ratio,1.11
2021,Universidades,Gipuzkoa,Ratio,1.11
2019,Universidades,Gipuzkoa,Ratio,1.09
2018,Universidades,Gipuzkoa,Ratio,1.07
2016,Universidades,Gipuzkoa,Ratio,1.04
2015,Universidades,Gipuzkoa,Ratio,1.02
2013,Universidades,Gipuzkoa,Ratio,1.02
2012,Universidades,Gipuzkoa,Ratio,1.01
2011,Universidades,Gipuzkoa,Ratio,0.77
2010,Universidades,Gipuzkoa,Ratio,0.76
2017,Universidades,Gipuzkoa,Ratio,1.04
2013,Policía autonómica,Gipuzkoa,Ratio,0.26
2022,Policía autonómica,Gipuzkoa,Ratio,0.36
2012,Policía autonómica,Gipuzkoa,Ratio,0.26
2011,Policía autonómica,Gipuzkoa,Ratio,0.27
2010,Policía autonómica,Gipuzkoa,Ratio,0.24
2017,Policía autonómica,Gipuzkoa,Ratio,0.26
2015,Policía autonómica,Gipuzkoa,Ratio,0.27
2020,Universidades,Gipuzkoa,Ratio,1.1
2014,Universidades,Gipuzkoa,Ratio,1.01
2021,Policía autonómica,Gipuzkoa,Ratio,0.33
2014,Policía autonómica,Gipuzkoa,Ratio,0.27
2016,Policía autonómica,Gipuzkoa,Ratio,0.27
2018,Policía autonómica,Gipuzkoa,Ratio,0.28
2021,Administración de Justicia autonómica,,Ratio,1.55
2012,Administración de Justicia autonómica,,Ratio,1.55
2018,Administración de Justicia autonómica,,Ratio,1.54
2013,Administración de Justicia autonómica,,Ratio,1.54
2016,Administración de Justicia autonómica,,Ratio,1.53
2020,Administración de Justicia autonómica,,Ratio,1.55
2022,Administración de Justicia autonómica,,Ratio,1.54
2015,Administración de Justicia autonómica,,Ratio,1.52
2014,Administración de Justicia autonómica,,Ratio,1.53
2019,Administración de Justicia autonómica,,Ratio,1.54
2011,Administración de Justicia autonómica,,Ratio,1.55
2017,Administración de Justicia autonómica,,Ratio,1.53
2023,Administración de Justicia autonómica,,Ratio,1.54
2010,Administración de Justicia autonómica,,Ratio,1.55
2023,Administración de Justicia autonómica,Araba/Álava,Ratio,1.55
2013,Administración de Justicia autonómica,Araba/Álava,Ratio,1.58
2020,Administración de Justicia autonómica,Araba/Álava,Ratio,1.57
2022,Administración de Justicia autonómica,Araba/Álava,Ratio,1.54
2021,Administración de Justicia autonómica,Araba/Álava,Ratio,1.58
2017,Administración de Justicia autonómica,Araba/Álava,Ratio,1.53
2011,Administración de Justicia autonómica,Araba/Álava,Ratio,1.61
2015,Administración de Justicia autonómica,Araba/Álava,Ratio,1.54
2014,Administración de Justicia autonómica,Araba/Álava,Ratio,1.57
2012,Administración de Justicia autonómica,Araba/Álava,Ratio,1.59
2010,Administración de Justicia autonómica,Araba/Álava,Ratio,1.59
2016,Administración de Justicia autonómica,Araba/Álava,Ratio,1.5
2018,Administración de Justicia autonómica,Araba/Álava,Ratio,1.56
2019,Administración de Justicia autonómica,Araba/Álava,Ratio,1.58
2023,Administración de Justicia autonómica,Bizkaia,Ratio,1.51
2022,Administración de Justicia autonómica,Bizkaia,Ratio,1.5
2021,Administración de Justicia autonómica,Bizkaia,Ratio,1.51
2019,Administración de Justicia autonómica,Bizkaia,Ratio,1.5
2018,Administración de Justicia autonómica,Bizkaia,Ratio,1.49
2017,Administración de Justicia autonómica,Bizkaia,Ratio,1.5
2015,Administración de Justicia autonómica,Bizkaia,Ratio,1.51
2013,Administración de Justicia autonómica,Bizkaia,Ratio,1.5
2011,Administración de Justicia autonómica,Bizkaia,Ratio,1.5
2012,Administración de Justicia autonómica,Bizkaia,Ratio,1.51
2014,Administración de Justicia autonómica,Bizkaia,Ratio,1.49
2016,Administración de Justicia autonómica,Bizkaia,Ratio,1.51
2020,Administración de Justicia autonómica,Bizkaia,Ratio,1.52
2010,Administración de Justicia autonómica,Bizkaia,Ratio,1.51
2023,Administración de Justicia autonómica,Gipuzkoa,Ratio,1.6
2020,Administración de Justicia autonómica,Gipuzkoa,Ratio,1.6
2019,Administración de Justicia autonómica,Gipuzkoa,Ratio,1.6
2015,Administración de Justicia autonómica,Gipuzkoa,Ratio,1.55
2014,Administración de Justicia autonómica,Gipuzkoa,Ratio,1.59
2011,Administración de Justicia autonómica,Gipuzkoa,Ratio,1.61
2010,Administración de Justicia autonómica,Gipuzkoa,Ratio,1.6
2012,Administración de Justicia autonómica,Gipuzkoa,Ratio,1.6
2013,Administración de Justicia autonómica,Gipuzkoa,Ratio,1.58
2018,Administración de Justicia autonómica,Gipuzkoa,Ratio,1.6
2021,Administración de Justicia autonómica,Gipuzkoa,Ratio,1.6
2017,Administración de Justicia autonómica,Gipuzkoa,Ratio,1.6
2022,Administración de Justicia autonómica,Gipuzkoa,Ratio,1.62
2016,Administración de Justicia autonómica,Gipuzkoa,Ratio,1.57
2010,Sector público local,,Ratio,1.0
2021,Sector público local,,Ratio,1.11
2020,Sector público local,,Ratio,1.11
2023,Sector público local,,Ratio,1.12
2016,Sector público local,,Ratio,1.03
2019,Sector público local,,Ratio,1.09
2011,Sector público local,,Ratio,1.0
2015,Sector público local,,Ratio,1.01
2012,Sector público local,,Ratio,1.0
2013,Sector público local,,Ratio,1.01
2014,Sector público local,,Ratio,1.0
2017,Sector público local,,Ratio,1.07
2022,Sector público local,,Ratio,1.13
2018,Sector público local,,Ratio,1.08
2016,Sector público local,Araba/Álava,Ratio,1.24
2019,Sector público local,Araba/Álava,Ratio,1.24
2023,Sector público local,Araba/Álava,Ratio,1.27
2022,Sector público local,Araba/Álava,Ratio,1.28
2020,Sector público local,Araba/Álava,Ratio,1.27
2017,Sector público local,Araba/Álava,Ratio,1.26
2012,Sector público local,Araba/Álava,Ratio,1.22
2010,Sector público local,Araba/Álava,Ratio,1.2
2018,Sector público local,Araba/Álava,Ratio,1.26
2014,Sector público local,Araba/Álava,Ratio,1.23
2021,Sector público local,Araba/Álava,Ratio,1.26
2015,Sector público local,Araba/Álava,Ratio,1.22
2011,Sector público local,Araba/Álava,Ratio,1.17
2013,Sector público local,Araba/Álava,Ratio,1.22
2013,Sector público local,Bizkaia,Ratio,0.89
2018,Sector público local,Bizkaia,Ratio,1.02
2023,Sector público local,Bizkaia,Ratio,1.08
2022,Sector público local,Bizkaia,Ratio,1.08
2021,Sector público local,Bizkaia,Ratio,1.06
2019,Sector público local,Bizkaia,Ratio,1.03
2017,Sector público local,Bizkaia,Ratio,1.01
2015,Sector público local,Bizkaia,Ratio,0.9
2014,Sector público local,Bizkaia,Ratio,0.89
2011,Sector público local,Bizkaia,Ratio,0.91
2010,Sector público local,Bizkaia,Ratio,0.9
2012,Sector público local,Bizkaia,Ratio,0.89
2016,Sector público local,Bizkaia,Ratio,0.92
2020,Sector público local,Bizkaia,Ratio,1.05
2012,Sector público local,Gipuzkoa,Ratio,1.01
2014,Sector público local,Gipuzkoa,Ratio,1.01
2023,Sector público local,Gipuzkoa,Ratio,1.09
2022,Sector público local,Gipuzkoa,Ratio,1.09
2021,Sector público local,Gipuzkoa,Ratio,1.07
2020,Sector público local,Gipuzkoa,Ratio,1.07
2019,Sector público local,Gipuzkoa,Ratio,1.06
2018,Sector público local,Gipuzkoa,Ratio,1.05
2017,Sector público local,Gipuzkoa,Ratio,1.04
2016,Sector público local,Gipuzkoa,Ratio,1.02
2015,Sector público local,Gipuzkoa,Ratio,1.02
2013,Sector público local,Gipuzkoa,Ratio,1.03
2011,Sector público local,Gipuzkoa,Ratio,1.01
2010,Sector público local,Gipuzkoa,Ratio,1.01
2023,Ayuntamientos,,Ratio,1.05
2020,Ayuntamientos,,Ratio,1.03
2021,Ayuntamientos,,Ratio,1.03
2022,Ayuntamientos,,Ratio,1.05
2023,Ayuntamientos,Araba/Álava,Ratio,1.2
2020,Ayuntamientos,Araba/Álava,Ratio,1.19
2022,Ayuntamientos,Araba/Álava,Ratio,1.22
2021,Ayuntamientos,Araba/Álava,Ratio,1.19
2023,Ayuntamientos,Bizkaia,Ratio,1.0
2022,Ayuntamientos,Bizkaia,Ratio,1.0
2021,Ayuntamientos,Bizkaia,Ratio,0.97
2020,Ayuntamientos,Bizkaia,Ratio,0.97
2023,Ayuntamientos,Gipuzkoa,Ratio,1.02
2022,Ayuntamientos,Gipuzkoa,Ratio,1.03
2021,Ayuntamientos,Gipuzkoa,Ratio,1.02
2020,Ayuntamientos,Gipuzkoa,Ratio,1.02
2021,Sector público estatal,,Ratio,0.64
2010,Sector público estatal,,Ratio,0.69
2019,Sector público estatal,,Ratio,0.65
2018,Sector público estatal,,Ratio,0.65
2014,Sector público estatal,,Ratio,0.63
2011,Sector público estatal,,Ratio,0.65
2022,Sector público estatal,,Ratio,0.65
2016,Sector público estatal,,Ratio,0.65
2023,Sector público estatal,,Ratio,0.63
2013,Sector público estatal,,Ratio,0.63
2020,Sector público estatal,,Ratio,0.64
2012,Sector público estatal,,Ratio,0.63
2017,Sector público estatal,,Ratio,0.65
2015,Sector público estatal,,Ratio,0.65
2011,Sector público estatal,Araba/Álava,Ratio,0.6
2015,Sector público estatal,Araba/Álava,Ratio,0.56
2018,Sector público estatal,Araba/Álava,Ratio,0.58
2023,Sector público estatal,Araba/Álava,Ratio,0.62
