Year,Computer skills,Sex,Age,Province,Units,Value
2020,at least one of the computer skills,,16-74 years,Bizkaia,%,69.53
2023,at least one of the computer skills,,16-74 years,Bizkaia,%,71.26
2020,at least one of the computer skills,,16-74 years,Gipuzkoa,%,70.18
2022,at least one of the computer skills,,16-74 years,Gipuzkoa,%,69.41
2021,at least one of the computer skills,,16-74 years,Gipuzkoa,%,75.41
2019,at least one of the computer skills,,16-74 years,Gipuzkoa,%,65.24
2023,at least one of the computer skills,,16-74 years,Gipuzkoa,%,71.95
2020,at least one of the computer skills,,25-74 years,,%,66.6
2021,at least one of the computer skills,,25-74 years,,%,72.16
2023,at least one of the computer skills,,25-74 years,,%,68.27
2022,at least one of the computer skills,,25-74 years,,%,65.26
2019,at least one of the computer skills,,25-74 years,,%,63.8
2022,at least one of the computer skills,,25-74 years,Araba/Álava,%,65.18
2020,at least one of the computer skills,,25-74 years,Araba/Álava,%,66.59
2021,at least one of the computer skills,,25-74 years,Araba/Álava,%,72.47
2023,at least one of the computer skills,,25-74 years,Araba/Álava,%,67.41
2019,at least one of the computer skills,,25-74 years,Araba/Álava,%,65.47
2023,at least one of the computer skills,,25-74 years,Bizkaia,%,68.42
2021,at least one of the computer skills,,25-74 years,Bizkaia,%,72.12
2020,at least one of the computer skills,,25-74 years,Bizkaia,%,66.58
2019,at least one of the computer skills,,25-74 years,Bizkaia,%,64.66
2022,at least one of the computer skills,,25-74 years,Bizkaia,%,65.03
2020,at least one of the computer skills,,25-74 years,Gipuzkoa,%,66.64
2021,at least one of the computer skills,,25-74 years,Gipuzkoa,%,72.07
2022,at least one of the computer skills,,25-74 years,Gipuzkoa,%,65.66
2023,at least one of the computer skills,,25-74 years,Gipuzkoa,%,68.42
2019,at least one of the computer skills,,25-74 years,Gipuzkoa,%,61.65
2023,at least one of the computer skills,Female,16-24 years,,%,98.77
2020,at least one of the computer skills,Female,16-24 years,,%,96.5
2021,at least one of the computer skills,Female,16-24 years,,%,96.66
2019,at least one of the computer skills,Female,16-24 years,,%,97.88
2022,at least one of the computer skills,Female,16-24 years,,%,97.55
2023,at least one of the computer skills,Female,16-24 years,Araba/Álava,%,98.8
2022,at least one of the computer skills,Female,16-24 years,Araba/Álava,%,96.48
2021,at least one of the computer skills,Female,16-24 years,Araba/Álava,%,96.29
2019,at least one of the computer skills,Female,16-24 years,Araba/Álava,%,98.78
2020,at least one of the computer skills,Female,16-24 years,Araba/Álava,%,96.62
2023,at least one of the computer skills,Female,16-24 years,Bizkaia,%,97.92
2019,at least one of the computer skills,Female,16-24 years,Bizkaia,%,96.97
2021,at least one of the computer skills,Female,16-24 years,Bizkaia,%,95.51
2022,at least one of the computer skills,Female,16-24 years,Bizkaia,%,98.96
2020,at least one of the computer skills,Female,16-24 years,Bizkaia,%,96.61
2020,at least one of the computer skills,Female,16-24 years,Gipuzkoa,%,96.29
2022,at least one of the computer skills,Female,16-24 years,Gipuzkoa,%,95.77
2023,at least one of the computer skills,Female,16-24 years,Gipuzkoa,%,100.0
2019,at least one of the computer skills,Female,16-24 years,Gipuzkoa,%,98.73
2021,at least one of the computer skills,Female,16-24 years,Gipuzkoa,%,98.66
2020,at least one of the computer skills,Female,16-74 years,,%,68.3
2023,at least one of the computer skills,Female,16-74 years,,%,70.5
2019,at least one of the computer skills,Female,16-74 years,,%,64.5
2021,at least one of the computer skills,Female,16-74 years,,%,73.76
2022,at least one of the computer skills,Female,16-74 years,,%,68.2
2022,at least one of the computer skills,Female,16-74 years,Araba/Álava,%,67.8
2023,at least one of the computer skills,Female,16-74 years,Araba/Álava,%,72.84
2019,at least one of the computer skills,Female,16-74 years,Araba/Álava,%,66.12
2021,at least one of the computer skills,Female,16-74 years,Araba/Álava,%,74.42
2020,at least one of the computer skills,Female,16-74 years,Araba/Álava,%,70.78
2022,at least one of the computer skills,Female,16-74 years,Bizkaia,%,67.26
2023,at least one of the computer skills,Female,16-74 years,Bizkaia,%,69.6
2020,at least one of the computer skills,Female,16-74 years,Bizkaia,%,67.73
2019,at least one of the computer skills,Female,16-74 years,Bizkaia,%,64.61
2021,at least one of the computer skills,Female,16-74 years,Bizkaia,%,72.8
2022,at least one of the computer skills,Female,16-74 years,Gipuzkoa,%,69.97
2023,at least one of the computer skills,Female,16-74 years,Gipuzkoa,%,70.91
2020,at least one of the computer skills,Female,16-74 years,Gipuzkoa,%,68.07
2019,at least one of the computer skills,Female,16-74 years,Gipuzkoa,%,63.58
2021,at least one of the computer skills,Female,16-74 years,Gipuzkoa,%,75.04
2023,at least one of the computer skills,Female,25-74 years,,%,66.96
2022,at least one of the computer skills,Female,25-74 years,,%,64.48
2020,at least one of the computer skills,Female,25-74 years,,%,64.99
2021,at least one of the computer skills,Female,25-74 years,,%,70.9
2019,at least one of the computer skills,Female,25-74 years,,%,60.78
2019,at least one of the computer skills,Female,25-74 years,Araba/Álava,%,62.2
2023,at least one of the computer skills,Female,25-74 years,Araba/Álava,%,69.76
2020,at least one of the computer skills,Female,25-74 years,Araba/Álava,%,67.82
2022,at least one of the computer skills,Female,25-74 years,Araba/Álava,%,64.47
2021,at least one of the computer skills,Female,25-74 years,Araba/Álava,%,71.75
2022,at least one of the computer skills,Female,25-74 years,Bizkaia,%,63.29
2021,at least one of the computer skills,Female,25-74 years,Bizkaia,%,69.98
2023,at least one of the computer skills,Female,25-74 years,Bizkaia,%,66.18
2020,at least one of the computer skills,Female,25-74 years,Bizkaia,%,64.43
2019,at least one of the computer skills,Female,25-74 years,Bizkaia,%,61.28
2023,at least one of the computer skills,Female,25-74 years,Gipuzkoa,%,66.96
2020,at least one of the computer skills,Female,25-74 years,Gipuzkoa,%,64.55
2021,at least one of the computer skills,Female,25-74 years,Gipuzkoa,%,72.0
2019,at least one of the computer skills,Female,25-74 years,Gipuzkoa,%,59.31
2022,at least one of the computer skills,Female,25-74 years,Gipuzkoa,%,66.5
2021,at least one of the computer skills,Male,16-24 years,,%,95.71
2022,at least one of the computer skills,Male,16-24 years,,%,93.54
2023,at least one of the computer skills,Male,16-24 years,,%,93.15
2020,at least one of the computer skills,Male,16-24 years,,%,95.33
2019,at least one of the computer skills,Male,16-24 years,,%,93.6
2020,at least one of the computer skills,Male,16-24 years,Araba/Álava,%,100.0
2023,at least one of the computer skills,Male,16-24 years,Araba/Álava,%,100.0
2022,at least one of the computer skills,Male,16-24 years,Araba/Álava,%,92.71
2019,at least one of the computer skills,Male,16-24 years,Araba/Álava,%,91.9
2021,at least one of the computer skills,Male,16-24 years,Araba/Álava,%,97.21
2019,at least one of the computer skills,Male,16-24 years,Bizkaia,%,97.15
2022,at least one of the computer skills,Male,16-24 years,Bizkaia,%,91.84
2021,at least one of the computer skills,Male,16-24 years,Bizkaia,%,93.28
2023,at least one of the computer skills,Male,16-24 years,Bizkaia,%,89.75
2020,at least one of the computer skills,Male,16-24 years,Bizkaia,%,91.99
2022,at least one of the computer skills,Male,16-24 years,Gipuzkoa,%,96.4
2023,at least one of the computer skills,Male,16-24 years,Gipuzkoa,%,94.65
2021,at least one of the computer skills,Male,16-24 years,Gipuzkoa,%,98.26
2020,at least one of the computer skills,Male,16-24 years,Gipuzkoa,%,98.09
2019,at least one of the computer skills,Male,16-24 years,Gipuzkoa,%,89.45
2021,at least one of the computer skills,Male,16-74 years,,%,76.24
2019,at least one of the computer skills,Male,16-74 years,,%,69.65
2023,at least one of the computer skills,Male,16-74 years,,%,72.52
2022,at least one of the computer skills,Male,16-74 years,,%,69.4
2020,at least one of the computer skills,Male,16-74 years,,%,71.39
2020,at least one of the computer skills,Male,16-74 years,Araba/Álava,%,69.49
2022,at least one of the computer skills,Male,16-74 years,Araba/Álava,%,68.86
2023,at least one of the computer skills,Male,16-74 years,Araba/Álava,%,69.77
2019,at least one of the computer skills,Male,16-74 years,Araba/Álava,%,71.05
2021,at least one of the computer skills,Male,16-74 years,Araba/Álava,%,76.36
2021,at least one of the computer skills,Male,16-74 years,Bizkaia,%,76.5
2020,at least one of the computer skills,Male,16-74 years,Bizkaia,%,71.36
2019,at least one of the computer skills,Male,16-74 years,Bizkaia,%,71.0
2022,at least one of the computer skills,Male,16-74 years,Bizkaia,%,69.91
2023,at least one of the computer skills,Male,16-74 years,Bizkaia,%,73.02
2022,at least one of the computer skills,Male,16-74 years,Gipuzkoa,%,68.84
2020,at least one of the computer skills,Male,16-74 years,Gipuzkoa,%,72.34
2019,at least one of the computer skills,Male,16-74 years,Gipuzkoa,%,66.91
2021,at least one of the computer skills,Male,16-74 years,Gipuzkoa,%,75.76
2023,at least one of the computer skills,Male,16-74 years,Gipuzkoa,%,73.03
2022,at least one of the computer skills,Male,25-74 years,,%,66.08
2020,at least one of the computer skills,Male,25-74 years,,%,68.27
2021,at least one of the computer skills,Male,25-74 years,,%,73.44
2023,at least one of the computer skills,Male,25-74 years,,%,69.64
2019,at least one of the computer skills,Male,25-74 years,,%,66.92
2023,at least one of the computer skills,Male,25-74 years,Araba/Álava,%,64.99
2020,at least one of the computer skills,Male,25-74 years,Araba/Álava,%,65.32
2021,at least one of the computer skills,Male,25-74 years,Araba/Álava,%,73.2
2022,at least one of the computer skills,Male,25-74 years,Araba/Álava,%,65.93
2019,at least one of the computer skills,Male,25-74 years,Araba/Álava,%,68.85
2020,at least one of the computer skills,Male,25-74 years,Bizkaia,%,68.8
2019,at least one of the computer skills,Male,25-74 years,Bizkaia,%,68.19
2023,at least one of the computer skills,Male,25-74 years,Bizkaia,%,70.81
2022,at least one of the computer skills,Male,25-74 years,Bizkaia,%,66.92
2021,at least one of the computer skills,Male,25-74 years,Bizkaia,%,74.31
2020,at least one of the computer skills,Male,25-74 years,Gipuzkoa,%,68.8
2022,at least one of the computer skills,Male,25-74 years,Gipuzkoa,%,64.8
2021,at least one of the computer skills,Male,25-74 years,Gipuzkoa,%,72.14
2019,at least one of the computer skills,Male,25-74 years,Gipuzkoa,%,64.03
2023,at least one of the computer skills,Male,25-74 years,Gipuzkoa,%,69.92
2020,Copying or moving files or folders,,16-24 years,,%,86.56
2022,Copying or moving files or folders,,16-24 years,,%,87.44
2021,Copying or moving files or folders,,16-24 years,,%,86.58
2019,Copying or moving files or folders,,16-24 years,,%,89.41
2023,Copying or moving files or folders,,16-24 years,,%,89.14
2023,Copying or moving files or folders,,16-24 years,Araba/Álava,%,94.85
2021,Copying or moving files or folders,,16-24 years,Araba/Álava,%,85.68
2020,Copying or moving files or folders,,16-24 years,Araba/Álava,%,80.63
2022,Copying or moving files or folders,,16-24 years,Araba/Álava,%,82.61
2019,Copying or moving files or folders,,16-24 years,Araba/Álava,%,91.07
2019,Copying or moving files or folders,,16-24 years,Bizkaia,%,90.0
2022,Copying or moving files or folders,,16-24 years,Bizkaia,%,88.08
2023,Copying or moving files or folders,,16-24 years,Bizkaia,%,87.1
2021,Copying or moving files or folders,,16-24 years,Bizkaia,%,87.2
2020,Copying or moving files or folders,,16-24 years,Bizkaia,%,83.31
2022,Copying or moving files or folders,,16-24 years,Gipuzkoa,%,88.44
2023,Copying or moving files or folders,,16-24 years,Gipuzkoa,%,89.53
2020,Copying or moving files or folders,,16-24 years,Gipuzkoa,%,94.1
2019,Copying or moving files or folders,,16-24 years,Gipuzkoa,%,87.91
2021,Copying or moving files or folders,,16-24 years,Gipuzkoa,%,86.08
2022,Copying or moving files or folders,,16-74 years,,%,57.2
2019,Copying or moving files or folders,,16-74 years,,%,55.36
2021,Copying or moving files or folders,,16-74 years,,%,61.48
2020,Copying or moving files or folders,,16-74 years,,%,55.36
2023,Copying or moving files or folders,,16-74 years,,%,56.25
2020,Copying or moving files or folders,,16-74 years,Araba/Álava,%,54.04
2023,Copying or moving files or folders,,16-74 years,Araba/Álava,%,54.82
2019,Copying or moving files or folders,,16-74 years,Araba/Álava,%,55.76
2022,Copying or moving files or folders,,16-74 years,Araba/Álava,%,56.74
2021,Copying or moving files or folders,,16-74 years,Araba/Álava,%,61.94
2020,Copying or moving files or folders,,16-74 years,Bizkaia,%,54.32
2019,Copying or moving files or folders,,16-74 years,Bizkaia,%,55.79
2021,Copying or moving files or folders,,16-74 years,Bizkaia,%,61.63
2023,Copying or moving files or folders,,16-74 years,Bizkaia,%,56.04
2022,Copying or moving files or folders,,16-74 years,Bizkaia,%,56.66
2023,Copying or moving files or folders,,16-74 years,Gipuzkoa,%,57.26
2022,Copying or moving files or folders,,16-74 years,Gipuzkoa,%,58.29
2021,Copying or moving files or folders,,16-74 years,Gipuzkoa,%,61.02
2019,Copying or moving files or folders,,16-74 years,Gipuzkoa,%,54.5
2020,Copying or moving files or folders,,16-74 years,Gipuzkoa,%,57.68
2022,Copying or moving files or folders,,25-74 years,,%,53.21
2020,Copying or moving files or folders,,25-74 years,,%,51.5
2021,Copying or moving files or folders,,25-74 years,,%,58.11
2023,Copying or moving files or folders,,25-74 years,,%,51.9
2019,Copying or moving files or folders,,25-74 years,,%,51.53
2021,Copying or moving files or folders,,25-74 years,Araba/Álava,%,58.69
2019,Copying or moving files or folders,,25-74 years,Araba/Álava,%,51.77
2022,Copying or moving files or folders,,25-74 years,Araba/Álava,%,53.65
2020,Copying or moving files or folders,,25-74 years,Araba/Álava,%,50.7
2023,Copying or moving files or folders,,25-74 years,Araba/Álava,%,49.29
2019,Copying or moving files or folders,,25-74 years,Bizkaia,%,52.19
2021,Copying or moving files or folders,,25-74 years,Bizkaia,%,58.38
2023,Copying or moving files or folders,,25-74 years,Bizkaia,%,52.12
2022,Copying or moving files or folders,,25-74 years,Bizkaia,%,52.56
2020,Copying or moving files or folders,,25-74 years,Bizkaia,%,50.87
2022,Copying or moving files or folders,,25-74 years,Gipuzkoa,%,54.06
2023,Copying or moving files or folders,,25-74 years,Gipuzkoa,%,52.75
2020,Copying or moving files or folders,,25-74 years,Gipuzkoa,%,52.91
2021,Copying or moving files or folders,,25-74 years,Gipuzkoa,%,57.39
2019,Copying or moving files or folders,,25-74 years,Gipuzkoa,%,50.33
2022,Copying or moving files or folders,Female,16-24 years,,%,89.57
2023,Copying or moving files or folders,Female,16-24 years,,%,92.94
2019,Copying or moving files or folders,Female,16-24 years,,%,93.7
2020,Copying or moving files or folders,Female,16-24 years,,%,88.02
2021,Copying or moving files or folders,Female,16-24 years,,%,85.56
2023,Copying or moving files or folders,Female,16-24 years,Araba/Álava,%,96.79
2021,Copying or moving files or folders,Female,16-24 years,Araba/Álava,%,86.52
2019,Copying or moving files or folders,Female,16-24 years,Araba/Álava,%,91.79
2022,Copying or moving files or folders,Female,16-24 years,Araba/Álava,%,91.43
2020,Copying or moving files or folders,Female,16-24 years,Araba/Álava,%,80.79
2020,Copying or moving files or folders,Female,16-24 years,Bizkaia,%,85.05
2022,Copying or moving files or folders,Female,16-24 years,Bizkaia,%,90.43
2021,Copying or moving files or folders,Female,16-24 years,Bizkaia,%,84.89
2019,Copying or moving files or folders,Female,16-24 years,Bizkaia,%,92.96
2023,Copying or moving files or folders,Female,16-24 years,Bizkaia,%,90.41
2019,Copying or moving files or folders,Female,16-24 years,Gipuzkoa,%,95.61
2020,Copying or moving files or folders,Female,16-24 years,Gipuzkoa,%,95.62
2021,Copying or moving files or folders,Female,16-24 years,Gipuzkoa,%,86.21
2022,Copying or moving files or folders,Female,16-24 years,Gipuzkoa,%,87.43
2023,Copying or moving files or folders,Female,16-24 years,Gipuzkoa,%,95.08
2021,Copying or moving files or folders,Female,16-74 years,,%,60.25
2022,Copying or moving files or folders,Female,16-74 years,,%,56.49
2023,Copying or moving files or folders,Female,16-74 years,,%,55.85
2019,Copying or moving files or folders,Female,16-74 years,,%,53.04
2020,Copying or moving files or folders,Female,16-74 years,,%,53.47
2021,Copying or moving files or folders,Female,16-74 years,Araba/Álava,%,59.54
2019,Copying or moving files or folders,Female,16-74 years,Araba/Álava,%,51.69
2022,Copying or moving files or folders,Female,16-74 years,Araba/Álava,%,57.56
2023,Copying or moving files or folders,Female,16-74 years,Araba/Álava,%,55.54
2020,Copying or moving files or folders,Female,16-74 years,Araba/Álava,%,53.75
2022,Copying or moving files or folders,Female,16-74 years,Bizkaia,%,55.34
2019,Copying or moving files or folders,Female,16-74 years,Bizkaia,%,53.06
2020,Copying or moving files or folders,Female,16-74 years,Bizkaia,%,51.2
2023,Copying or moving files or folders,Female,16-74 years,Bizkaia,%,55.17
2021,Copying or moving files or folders,Female,16-74 years,Bizkaia,%,59.48
2022,Copying or moving files or folders,Female,16-74 years,Gipuzkoa,%,57.91
2019,Copying or moving files or folders,Female,16-74 years,Gipuzkoa,%,53.63
2023,Copying or moving files or folders,Female,16-74 years,Gipuzkoa,%,57.09
2020,Copying or moving files or folders,Female,16-74 years,Gipuzkoa,%,57.0
2021,Copying or moving files or folders,Female,16-74 years,Gipuzkoa,%,61.84
2023,Copying or moving files or folders,Female,25-74 years,,%,51.2
2020,Copying or moving files or folders,Female,25-74 years,,%,49.4
2022,Copying or moving files or folders,Female,25-74 years,,%,52.3
2019,Copying or moving files or folders,Female,25-74 years,,%,48.51
2021,Copying or moving files or folders,Female,25-74 years,,%,57.08
2019,Copying or moving files or folders,Female,25-74 years,Araba/Álava,%,46.87
2022,Copying or moving files or folders,Female,25-74 years,Araba/Álava,%,53.63
2020,Copying or moving files or folders,Female,25-74 years,Araba/Álava,%,50.65
2021,Copying or moving files or folders,Female,25-74 years,Araba/Álava,%,56.25
2023,Copying or moving files or folders,Female,25-74 years,Araba/Álava,%,50.64
2021,Copying or moving files or folders,Female,25-74 years,Bizkaia,%,56.33
2019,Copying or moving files or folders,Female,25-74 years,Bizkaia,%,48.95
2023,Copying or moving files or folders,Female,25-74 years,Bizkaia,%,50.91
2022,Copying or moving files or folders,Female,25-74 years,Bizkaia,%,50.95
2020,Copying or moving files or folders,Female,25-74 years,Bizkaia,%,47.33
2022,Copying or moving files or folders,Female,25-74 years,Gipuzkoa,%,53.94
2020,Copying or moving files or folders,Female,25-74 years,Gipuzkoa,%,52.18
2023,Copying or moving files or folders,Female,25-74 years,Gipuzkoa,%,51.94
2019,Copying or moving files or folders,Female,25-74 years,Gipuzkoa,%,48.54
2021,Copying or moving files or folders,Female,25-74 years,Gipuzkoa,%,58.7
2023,Copying or moving files or folders,Male,16-24 years,,%,85.58
2020,Copying or moving files or folders,Male,16-24 years,,%,85.21
2021,Copying or moving files or folders,Male,16-24 years,,%,87.49
2019,Copying or moving files or folders,Male,16-24 years,,%,85.09
2022,Copying or moving files or folders,Male,16-24 years,,%,85.38
2023,Copying or moving files or folders,Male,16-24 years,Araba/Álava,%,93.34
2021,Copying or moving files or folders,Male,16-24 years,Araba/Álava,%,84.98
2020,Copying or moving files or folders,Male,16-24 years,Araba/Álava,%,80.49
2019,Copying or moving files or folders,Male,16-24 years,Araba/Álava,%,90.23
2022,Copying or moving files or folders,Male,16-24 years,Araba/Álava,%,73.96
2021,Copying or moving files or folders,Male,16-24 years,Bizkaia,%,89.47
2020,Copying or moving files or folders,Male,16-24 years,Bizkaia,%,81.67
2023,Copying or moving files or folders,Male,16-24 years,Bizkaia,%,83.88
2019,Copying or moving files or folders,Male,16-24 years,Bizkaia,%,87.06
2022,Copying or moving files or folders,Male,16-24 years,Bizkaia,%,85.75
2022,Copying or moving files or folders,Male,16-24 years,Gipuzkoa,%,89.39
2020,Copying or moving files or folders,Male,16-24 years,Gipuzkoa,%,92.67
2023,Copying or moving files or folders,Male,16-24 years,Gipuzkoa,%,84.13
2019,Copying or moving files or folders,Male,16-24 years,Gipuzkoa,%,80.51
2021,Copying or moving files or folders,Male,16-24 years,Gipuzkoa,%,85.97
2020,Copying or moving files or folders,Male,16-74 years,,%,57.3
2022,Copying or moving files or folders,Male,16-74 years,,%,57.94
2023,Copying or moving files or folders,Male,16-74 years,,%,56.67
2021,Copying or moving files or folders,Male,16-74 years,,%,62.72
2019,Copying or moving files or folders,Male,16-74 years,,%,57.75
2019,Copying or moving files or folders,Male,16-74 years,Araba/Álava,%,60.01
2023,Copying or moving files or folders,Male,16-74 years,Araba/Álava,%,54.1
2021,Copying or moving files or folders,Male,16-74 years,Araba/Álava,%,64.32
2022,Copying or moving files or folders,Male,16-74 years,Araba/Álava,%,55.89
2020,Copying or moving files or folders,Male,16-74 years,Araba/Álava,%,54.32
2020,Copying or moving files or folders,Male,16-74 years,Bizkaia,%,57.51
2023,Copying or moving files or folders,Male,16-74 years,Bizkaia,%,56.95
2021,Copying or moving files or folders,Male,16-74 years,Bizkaia,%,63.83
2022,Copying or moving files or folders,Male,16-74 years,Bizkaia,%,58.08
2019,Copying or moving files or folders,Male,16-74 years,Bizkaia,%,58.64
2020,Copying or moving files or folders,Male,16-74 years,Gipuzkoa,%,58.37
2022,Copying or moving files or folders,Male,16-74 years,Gipuzkoa,%,58.68
2021,Copying or moving files or folders,Male,16-74 years,Gipuzkoa,%,60.21
2019,Copying or moving files or folders,Male,16-74 years,Gipuzkoa,%,55.37
2023,Copying or moving files or folders,Male,16-74 years,Gipuzkoa,%,57.43
2022,Copying or moving files or folders,Male,25-74 years,,%,54.17
2021,Copying or moving files or folders,Male,25-74 years,,%,59.16
2020,Copying or moving files or folders,Male,25-74 years,,%,53.66
2019,Copying or moving files or folders,Male,25-74 years,,%,54.64
2023,Copying or moving files or folders,Male,25-74 years,,%,52.63
2021,Copying or moving files or folders,Male,25-74 years,Araba/Álava,%,61.18
2020,Copying or moving files or folders,Male,25-74 years,Araba/Álava,%,50.74
2023,Copying or moving files or folders,Male,25-74 years,Araba/Álava,%,47.9
2019,Copying or moving files or folders,Male,25-74 years,Araba/Álava,%,56.81
2022,Copying or moving files or folders,Male,25-74 years,Araba/Álava,%,53.67
2019,Copying or moving files or folders,Male,25-74 years,Bizkaia,%,55.58
2020,Copying or moving files or folders,Male,25-74 years,Bizkaia,%,54.51
2022,Copying or moving files or folders,Male,25-74 years,Bizkaia,%,54.3
2021,Copying or moving files or folders,Male,25-74 years,Bizkaia,%,60.48
2023,Copying or moving files or folders,Male,25-74 years,Bizkaia,%,53.4
2022,Copying or moving files or folders,Male,25-74 years,Gipuzkoa,%,54.18
2020,Copying or moving files or folders,Male,25-74 years,Gipuzkoa,%,53.66
2021,Copying or moving files or folders,Male,25-74 years,Gipuzkoa,%,56.08
2019,Copying or moving files or folders,Male,25-74 years,Gipuzkoa,%,52.15
2023,Copying or moving files or folders,Male,25-74 years,Gipuzkoa,%,53.59
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-24 years,,%,85.32
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-24 years,,%,82.84
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-24 years,,%,81.29
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-24 years,,%,83.54
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-24 years,,%,86.45
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-24 years,Araba/Álava,%,83.61
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-24 years,Araba/Álava,%,77.02
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-24 years,Araba/Álava,%,83.68
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-24 years,Araba/Álava,%,89.2
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-24 years,Araba/Álava,%,78.9
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-24 years,Bizkaia,%,86.64
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-24 years,Bizkaia,%,82.03
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-24 years,Bizkaia,%,83.32
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-24 years,Bizkaia,%,82.68
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-24 years,Bizkaia,%,88.1
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-24 years,Gipuzkoa,%,85.71
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-24 years,Gipuzkoa,%,78.19
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-24 years,Gipuzkoa,%,84.72
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-24 years,Gipuzkoa,%,79.9
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-24 years,Gipuzkoa,%,89.58
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-74 years,,%,45.95
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-74 years,,%,42.31
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-74 years,,%,45.0
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-74 years,,%,42.23
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-74 years,,%,41.06
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-74 years,Araba/Álava,%,43.03
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-74 years,Araba/Álava,%,38.38
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-74 years,Araba/Álava,%,46.61
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-74 years,Araba/Álava,%,43.54
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-74 years,Araba/Álava,%,41.77
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-74 years,Bizkaia,%,45.11
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-74 years,Bizkaia,%,42.38
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-74 years,Bizkaia,%,46.11
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-74 years,Bizkaia,%,41.94
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-74 years,Bizkaia,%,40.68
