Year,Tipo de violencia,Territorio,Units,Value
2019,Todos los tipos de violencia,Donostia / San Sebastián,Por 10.000,53.2
2018,Todos los tipos de violencia,Elgeta,Por 10.000,55.5
2019,Todos los tipos de violencia,Eskoriatza,Por 10.000,54.1
2021,Todos los tipos de violencia,Harana/Valle de Arana,Por 10.000,0.0
2021,Todos los tipos de violencia,Lagrán,Por 10.000,0.0
2018,Todos los tipos de violencia,Gaintza,Por 10.000,0.0
2021,Todos los tipos de violencia,Altzo,Por 10.000,0.0
2021,Todos los tipos de violencia,Galdakao,Por 10.000,43.6
2020,Todos los tipos de violencia,Donostialdea,Por 10.000,8.2
2019,Todos los tipos de violencia,Etxebarria,Por 10.000,26.0
2020,Todos los tipos de violencia,Getxo,Por 10.000,31.1
2019,Todos los tipos de violencia,Urkabustaiz,Por 10.000,29.4
2020,Todos los tipos de violencia,Nabarniz,Por 10.000,0.0
2019,Todos los tipos de violencia,Lagrán,Por 10.000,0.0
2019,Todos los tipos de violencia,Arabako Kantaurialdea / Cantábrica Alavesa,Por 10.000,39.6
2018,Todos los tipos de violencia,Artea,Por 10.000,0.0
2018,Todos los tipos de violencia,Irun,Por 10.000,68.8
2019,Todos los tipos de violencia,Irura,Por 10.000,11.5
2018,Todos los tipos de violencia,Lemoa,Por 10.000,66.7
2018,Todos los tipos de violencia,Samaniego,Por 10.000,0.0
2020,Todos los tipos de violencia,Berriz,Por 10.000,52.4
2019,Todos los tipos de violencia,Zaratamo,Por 10.000,35.8
2020,Todos los tipos de violencia,Goierri,Por 10.000,41.4
2020,Todos los tipos de violencia,Barrika,Por 10.000,40.1
2021,Todos los tipos de violencia,Meñaka,Por 10.000,58.0
2020,Todos los tipos de violencia,Zegama,Por 10.000,13.5
2019,Todos los tipos de violencia,Muxika,Por 10.000,13.7
2021,Todos los tipos de violencia,Arrigorriaga,Por 10.000,59.0
2020,Todos los tipos de violencia,Lantarón,Por 10.000,24.0
2019,Todos los tipos de violencia,Soraluze-Placencia de las Armas,Por 10.000,35.6
2020,Todos los tipos de violencia,Arrasate/Mondragón,Por 10.000,30.5
2020,Todos los tipos de violencia,Zamudio,Por 10.000,67.1
2021,Todos los tipos de violencia,Elburgo/Burgelu,Por 10.000,0.0
2021,Todos los tipos de violencia,Aduna,Por 10.000,0.0
2018,Todos los tipos de violencia,Olaberria,Por 10.000,45.5
2020,Todos los tipos de violencia,Ayala/Aiara,Por 10.000,6.9
2021,Todos los tipos de violencia,Aizarnazabal,Por 10.000,26.2
2018,Todos los tipos de violencia,Oñati,Por 10.000,10.4
2020,Todos los tipos de violencia,Sopela,Por 10.000,33.0
2019,Todos los tipos de violencia,Zaldibar,Por 10.000,33.0
2020,Todos los tipos de violencia,Olaberria,Por 10.000,44.2
2020,Todos los tipos de violencia,Campezo/Kanpezu,Por 10.000,0.0
2018,Todos los tipos de violencia,Oiartzun,Por 10.000,30.4
2021,Todos los tipos de violencia,,Por 10.000,48.2
2019,Todos los tipos de violencia,Urduña/Orduña,Por 10.000,59.4
2020,Todos los tipos de violencia,Aramaio,Por 10.000,13.9
2019,Todos los tipos de violencia,Trucios-Turtzioz,Por 10.000,39.4
2020,Todos los tipos de violencia,Peñacerrada-Urizaharra,Por 10.000,78.1
2021,Todos los tipos de violencia,Lizartza,Por 10.000,0.0
2020,Todos los tipos de violencia,Larraul,Por 10.000,0.0
2019,Todos los tipos de violencia,Andoain,Por 10.000,40.0
2021,Todos los tipos de violencia,Zaratamo,Por 10.000,83.6
2020,Todos los tipos de violencia,Iurreta,Por 10.000,42.2
2021,Todos los tipos de violencia,Legazpi,Por 10.000,29.1
2021,Todos los tipos de violencia,Atxondo,Por 10.000,14.6
2021,Todos los tipos de violencia,Soraluze-Placencia de las Armas,Por 10.000,64.0
2021,Todos los tipos de violencia,Anoeta,Por 10.000,29.3
2022,Todos los tipos de violencia,Añana (comarca),Por 10.000,46.0
2020,Todos los tipos de violencia,Bergara,Por 10.000,25.4
2019,Todos los tipos de violencia,Alegría-Dulantzi,Por 10.000,46.3
2021,Todos los tipos de violencia,Ordizia,Por 10.000,59.1
2018,Todos los tipos de violencia,Mendexa,Por 10.000,0.0
2020,Todos los tipos de violencia,Zaldibia,Por 10.000,0.0
2021,Todos los tipos de violencia,Antzuola,Por 10.000,18.6
2020,Todos los tipos de violencia,Zarautz,Por 10.000,14.2
2018,Todos los tipos de violencia,Igorre,Por 10.000,18.7
2020,Todos los tipos de violencia,Zuia,Por 10.000,17.7
2018,Todos los tipos de violencia,Goierri,Por 10.000,27.4
2019,Todos los tipos de violencia,Mendaro,Por 10.000,28.3
2018,Todos los tipos de violencia,Legazpi,Por 10.000,43.2
2021,Todos los tipos de violencia,Ataun,Por 10.000,12.2
2018,Todos los tipos de violencia,Kripan,Por 10.000,227.3
2021,Todos los tipos de violencia,Orendain,Por 10.000,0.0
2020,Todos los tipos de violencia,Mendaro,Por 10.000,29.5
2018,Todos los tipos de violencia,Larraul,Por 10.000,0.0
2019,Todos los tipos de violencia,Mundaka,Por 10.000,0.0
2020,Todos los tipos de violencia,Azpeitia,Por 10.000,23.8
2021,Todos los tipos de violencia,Mungia,Por 10.000,39.2
2018,Todos los tipos de violencia,Zambrana,Por 10.000,49.8
2021,Todos los tipos de violencia,Zalla,Por 10.000,56.7
2018,Todos los tipos de violencia,Beasain,Por 10.000,26.2
2019,Todos los tipos de violencia,Plentzia-Mungia,Por 10.000,32.3
2018,Todos los tipos de violencia,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,55.9
2020,Todos los tipos de violencia,Orendain,Por 10.000,87.0
2018,Todos los tipos de violencia,Amorebieta-Etxano,Por 10.000,39.8
2021,Todos los tipos de violencia,Sondika,Por 10.000,55.5
2019,Todos los tipos de violencia,Ribera Baja/Erriberabeitia,Por 10.000,0.0
2021,Todos los tipos de violencia,Gaztelu,Por 10.000,122.0
2021,Todos los tipos de violencia,Munitibar-Arbatzegi Gerrikaitz,Por 10.000,135.1
2019,Todos los tipos de violencia,Gaztelu,Por 10.000,138.9
2019,Todos los tipos de violencia,Añana,Por 10.000,0.0
2020,Todos los tipos de violencia,Igorre,Por 10.000,64.9
2021,Todos los tipos de violencia,Arratia Nerbioi / Arratia-Nervión,Por 10.000,558.6
2020,Todos los tipos de violencia,Mallabia,Por 10.000,17.1
2020,Todos los tipos de violencia,Arrieta,Por 10.000,36.1
2019,Todos los tipos de violencia,Ortuella,Por 10.000,83.8
2021,Todos los tipos de violencia,Berantevilla,Por 10.000,43.1
2022,Todos los tipos de violencia,Gorbeialdea / Estribaciones del Gorbea,Por 10.000,291.5
2019,Todos los tipos de violencia,Errenteria,Por 10.000,66.6
2018,Todos los tipos de violencia,Erriberagoitia/Ribera Alta,Por 10.000,0.0
2020,Todos los tipos de violencia,Zerain,Por 10.000,68.0
2020,Todos los tipos de violencia,Ibarrangelu,Por 10.000,125.8
2018,Todos los tipos de violencia,Markina-Ondarroa,Por 10.000,27.9
2018,Todos los tipos de violencia,Leioa,Por 10.000,60.1
2019,Todos los tipos de violencia,,Por 10.000,48.9
2019,Todos los tipos de violencia,Murueta,Por 10.000,187.5
2019,Todos los tipos de violencia,Bilbo Handia / Gran Bilbao,Por 10.000,52.2
2019,Todos los tipos de violencia,Zalduondo,Por 10.000,0.0
2019,Todos los tipos de violencia,Bilbao,Por 10.000,51.3
2019,Todos los tipos de violencia,Valle de Trápaga-Trapagaran,Por 10.000,53.6
2021,Todos los tipos de violencia,Debagoiena / Alto Deba,Por 10.000,733.4
2019,Todos los tipos de violencia,Arantzazu,Por 10.000,161.3
2019,Todos los tipos de violencia,Kripan,Por 10.000,0.0
2020,Todos los tipos de violencia,Gordexola,Por 10.000,72.6
2018,Todos los tipos de violencia,Zeberio,Por 10.000,18.8
2018,Todos los tipos de violencia,Galdames,Por 10.000,75.0
2021,Todos los tipos de violencia,Ondarroa,Por 10.000,21.5
2020,Todos los tipos de violencia,Otxandio,Por 10.000,30.0
2021,Todos los tipos de violencia,Ea,Por 10.000,50.0
2020,Todos los tipos de violencia,Iruña Oka/Iruña de Oca,Por 10.000,82.2
2021,Todos los tipos de violencia,Elgeta,Por 10.000,0.0
2019,Todos los tipos de violencia,Yécora/Iekora,Por 10.000,0.0
2020,Todos los tipos de violencia,Etxebarria,Por 10.000,27.3
2018,Todos los tipos de violencia,Barakaldo,Por 10.000,48.5
2019,Todos los tipos de violencia,Elantxobe,Por 10.000,56.8
2018,Todos los tipos de violencia,Iruña Oka/Iruña de Oca,Por 10.000,23.7
2020,Todos los tipos de violencia,Ezkio-Itsaso,Por 10.000,34.0
2018,Todos los tipos de violencia,Zumaia,Por 10.000,44.5
2020,Todos los tipos de violencia,Fruiz,Por 10.000,0.0
2018,Todos los tipos de violencia,Galdakao,Por 10.000,45.7
2021,Todos los tipos de violencia,Gaintza,Por 10.000,0.0
2019,Todos los tipos de violencia,Galdames,Por 10.000,24.7
2018,Todos los tipos de violencia,Amurrio,Por 10.000,0.0
2021,Todos los tipos de violencia,Barrundia,Por 10.000,24.3
2018,Todos los tipos de violencia,Ezkio-Itsaso,Por 10.000,0.0
2019,Todos los tipos de violencia,Gatika,Por 10.000,24.3
2019,Todos los tipos de violencia,Gabiria,Por 10.000,45.7
2021,Todos los tipos de violencia,Legutio,Por 10.000,95.1
2022,Todos los tipos de violencia,Arabako Mendialdea / Montaña Alavesa,Por 10.000,481.8
2021,Todos los tipos de violencia,Garai,Por 10.000,0.0
2019,Todos los tipos de violencia,Valdegovía/Gaubea,Por 10.000,41.7
2018,Todos los tipos de violencia,Vitoria-Gasteiz,Por 10.000,46.0
2020,Todos los tipos de violencia,Elgoibar,Por 10.000,55.1
2021,Todos los tipos de violencia,Derio,Por 10.000,41.6
2019,Todos los tipos de violencia,Iruraiz-Gauna,Por 10.000,0.0
2019,Todos los tipos de violencia,Ibarrangelu,Por 10.000,65.8
2020,Todos los tipos de violencia,Urnieta,Por 10.000,67.9
2020,Todos los tipos de violencia,Dima,Por 10.000,83.7
2021,Todos los tipos de violencia,Kortezubi,Por 10.000,0.0
2018,Todos los tipos de violencia,Ikaztegieta,Por 10.000,0.0
2019,Todos los tipos de violencia,Getxo,Por 10.000,41.4
2021,Todos los tipos de violencia,Donostialdea,Por 10.000,8.9
2018,Todos los tipos de violencia,Iurreta,Por 10.000,37.2
2021,Todos los tipos de violencia,Laguardia,Por 10.000,13.9
2020,Todos los tipos de violencia,Vitoria-Gasteiz,Por 10.000,46.3
2021,Todos los tipos de violencia,Vitoria-Gasteiz,Por 10.000,49.3
2020,Todos los tipos de violencia,Elvillar/Bilar,Por 10.000,55.9
2019,Todos los tipos de violencia,Lemoiz,Por 10.000,34.5
2021,Todos los tipos de violencia,Samaniego,Por 10.000,0.0
2019,Todos los tipos de violencia,Mallabia,Por 10.000,17.3
2022,Todos los tipos de violencia,Arabako Kantaurialdea / Cantábrica Alavesa,Por 10.000,6.8
2019,Todos los tipos de violencia,Iurreta,Por 10.000,5.3
2021,Todos los tipos de violencia,Berriatua,Por 10.000,35.1
2018,Todos los tipos de violencia,Markina-Xemein,Por 10.000,25.0
2020,Todos los tipos de violencia,Bermeo,Por 10.000,75.8
2021,Todos los tipos de violencia,Maruri-Jatabe,Por 10.000,0.0
2018,Todos los tipos de violencia,Gizaburuaga,Por 10.000,0.0
2019,Todos los tipos de violencia,Mendexa,Por 10.000,41.3
2020,Todos los tipos de violencia,Lanciego/Lantziego,Por 10.000,0.0
2018,Todos los tipos de violencia,Aramaio,Por 10.000,0.0
2020,Todos los tipos de violencia,Forua,Por 10.000,43.1
2021,Todos los tipos de violencia,Zegama,Por 10.000,13.4
2020,Todos los tipos de violencia,Urola Kosta,Por 10.000,25.3
2020,Todos los tipos de violencia,Mundaka,Por 10.000,30.8
2019,Todos los tipos de violencia,Elciego,Por 10.000,75.3
2020,Todos los tipos de violencia,Mungia,Por 10.000,41.5
2018,Todos los tipos de violencia,Alegia,Por 10.000,47.4
2018,Todos los tipos de violencia,Plentzia-Mungia,Por 10.000,51.1
2018,Todos los tipos de violencia,Yécora/Iekora,Por 10.000,0.0
2019,Todos los tipos de violencia,Muskiz,Por 10.000,49.9
2020,Todos los tipos de violencia,Abaltzisketa,Por 10.000,71.4
2020,Todos los tipos de violencia,Ondarroa,Por 10.000,44.9
2020,Todos los tipos de violencia,Sondika,Por 10.000,42.4
2020,Todos los tipos de violencia,Urduña/Orduña,Por 10.000,34.9
2020,Todos los tipos de violencia,Laukiz,Por 10.000,31.3
2021,Todos los tipos de violencia,Mutiloa,Por 10.000,0.0
2020,Todos los tipos de violencia,Belauntza,Por 10.000,0.0
2020,Todos los tipos de violencia,Plentzia,Por 10.000,56.7
2018,Todos los tipos de violencia,Beizama,Por 10.000,0.0
2018,Todos los tipos de violencia,Aizarnazabal,Por 10.000,0.0
2021,Todos los tipos de violencia,Irura,Por 10.000,34.3
2019,Todos los tipos de violencia,Lezama,Por 10.000,32.5
2018,Todos los tipos de violencia,Tolosaldea,Por 10.000,37.1
2020,Todos los tipos de violencia,Santurtzi,Por 10.000,51.2
2020,Todos los tipos de violencia,Bernedo,Por 10.000,0.0
2020,Todos los tipos de violencia,Laudio/Llodio,Por 10.000,34.2
2020,Todos los tipos de violencia,Valle de Trápaga-Trapagaran,Por 10.000,44.0
2021,Todos los tipos de violencia,Leza,Por 10.000,0.0
2019,Todos los tipos de violencia,Lekeitio,Por 10.000,24.6
2020,Todos los tipos de violencia,Orio,Por 10.000,52.6
2019,Todos los tipos de violencia,Aduna,Por 10.000,0.0
2019,Todos los tipos de violencia,Urduliz,Por 10.000,37.0
2021,Todos los tipos de violencia,Lekeitio,Por 10.000,32.9
2018,Todos los tipos de violencia,Plentzia,Por 10.000,48.9
2019,Todos los tipos de violencia,Mutiloa,Por 10.000,0.0
2018,Todos los tipos de violencia,Aduna,Por 10.000,135.7
2020,Todos los tipos de violencia,Itsasondo,Por 10.000,28.6
2020,Todos los tipos de violencia,Orexa,Por 10.000,0.0
2021,Todos los tipos de violencia,Mutriku,Por 10.000,41.6
2021,Todos los tipos de violencia,Albiztur,Por 10.000,0.0
2018,Todos los tipos de violencia,Mallabia,Por 10.000,0.0
2019,Todos los tipos de violencia,Sopela,Por 10.000,39.4
2021,Todos los tipos de violencia,Altzaga,Por 10.000,0.0
2020,Todos los tipos de violencia,Alegia,Por 10.000,46.1
2021,Todos los tipos de violencia,Elorrio,Por 10.000,18.5
2021,Todos los tipos de violencia,Loiu,Por 10.000,45.8
2018,Todos los tipos de violencia,Lizartza,Por 10.000,0.0
2018,Todos los tipos de violencia,Muskiz,Por 10.000,84.3
2019,Todos los tipos de violencia,Elorrio,Por 10.000,23.8
2021,Todos los tipos de violencia,Forua,Por 10.000,0.0
2018,Todos los tipos de violencia,Lezo,Por 10.000,46.1
2021,Todos los tipos de violencia,Plentzia-Mungia,Por 10.000,45.0
2019,Todos los tipos de violencia,Zambrana,Por 10.000,47.8
2018,Todos los tipos de violencia,Mungia,Por 10.000,48.3
2018,Todos los tipos de violencia,Balmaseda,Por 10.000,58.9
2018,Todos los tipos de violencia,Segura,Por 10.000,0.0
2019,Todos los tipos de violencia,Ataun,Por 10.000,23.8
2020,Todos los tipos de violencia,Oiartzun,Por 10.000,41.7
2021,Todos los tipos de violencia,Oiartzun,Por 10.000,53.2
2019,Todos los tipos de violencia,Arratzu,Por 10.000,0.0
2021,Todos los tipos de violencia,Aretxabaleta,Por 10.000,19.8
2021,Todos los tipos de violencia,Urnieta,Por 10.000,39.0
2018,Todos los tipos de violencia,Pasaia,Por 10.000,56.5
2018,Todos los tipos de violencia,Anoeta,Por 10.000,31.1
2020,Todos los tipos de violencia,Asparrena,Por 10.000,98.3
2021,Todos los tipos de violencia,Bergara,Por 10.000,58.2
2020,Todos los tipos de violencia,Navaridas,Por 10.000,0.0
2018,Todos los tipos de violencia,Villabona,Por 10.000,40.3
2019,Todos los tipos de violencia,Zaldibia,Por 10.000,0.0
2020,Todos los tipos de violencia,Ordizia,Por 10.000,49.2
2022,Todos los tipos de violencia,Goierri,Por 10.000,41.4
2019,Todos los tipos de violencia,Ordizia,Por 10.000,31.5
2018,Todos los tipos de violencia,Urretxu,Por 10.000,26.5
2021,Todos los tipos de violencia,Arama,Por 10.000,0.0
2020,Todos los tipos de violencia,Arabako Lautada / Llanada Alavesa,Por 10.000,1.5
2018,Todos los tipos de violencia,Zaldibia,Por 10.000,0.0
2020,Todos los tipos de violencia,Villabona,Por 10.000,30.5
2020,Todos los tipos de violencia,Aretxabaleta,Por 10.000,17.0
2020,Todos los tipos de violencia,Soraluze-Placencia de las Armas,Por 10.000,41.5
2018,Todos los tipos de violencia,Areatza,Por 10.000,64.0
2018,Todos los tipos de violencia,Artziniega,Por 10.000,103.3
2019,Todos los tipos de violencia,Zumarraga,Por 10.000,20.1
2019,Todos los tipos de violencia,Ugao-Miraballes,Por 10.000,39.5
2021,Todos los tipos de violencia,Okondo,Por 10.000,126.6
2019,Todos los tipos de violencia,Arabako Lautada / Llanada Alavesa,Por 10.000,51.4
2019,Todos los tipos de violencia,Oyón-Oion,Por 10.000,23.2
2019,Todos los tipos de violencia,Aramaio,Por 10.000,13.9
2019,Todos los tipos de violencia,Lasarte-Oria,Por 10.000,39.3
2021,Todos los tipos de violencia,Zarautz,Por 10.000,25.1
2020,Todos los tipos de violencia,Astigarraga,Por 10.000,44.2
2018,Todos los tipos de violencia,Aretxabaleta,Por 10.000,14.4
2018,Todos los tipos de violencia,Astigarraga,Por 10.000,33.2
2019,Todos los tipos de violencia,Gorliz,Por 10.000,29.8
2018,Todos los tipos de violencia,Usurbil,Por 10.000,45.1
2020,Todos los tipos de violencia,Aia,Por 10.000,52.7
2018,Todos los tipos de violencia,Okondo,Por 10.000,88.3
2018,Todos los tipos de violencia,Asteasu,Por 10.000,26.7
2018,Todos los tipos de violencia,Campezo/Kanpezu,Por 10.000,20.0
2018,Todos los tipos de violencia,Muxika,Por 10.000,55.2
2020,Todos los tipos de violencia,Gaztelu,Por 10.000,519.5
2020,Todos los tipos de violencia,Bilbo Handia / Gran Bilbao,Por 10.000,1.6
2021,Todos los tipos de violencia,Bidasoa Beherea / Bajo Bidasoa,Por 10.000,0.9
2020,Todos los tipos de violencia,Lasarte-Oria,Por 10.000,47.0
2021,Todos los tipos de violencia,Azpeitia,Por 10.000,22.4
2020,Todos los tipos de violencia,Zizurkil,Por 10.000,40.4
2018,Todos los tipos de violencia,Zaldibar,Por 10.000,19.7
2021,Todos los tipos de violencia,Markina-Xemein,Por 10.000,52.8
2019,Todos los tipos de violencia,Lapuebla de Labarca,Por 10.000,46.8
2020,Todos los tipos de violencia,Ajangiz,Por 10.000,0.0
2018,Todos los tipos de violencia,Lasarte-Oria,Por 10.000,31.4
2018,Todos los tipos de violencia,Orio,Por 10.000,40.2
2020,Todos los tipos de violencia,Abadiño,Por 10.000,23.3
2018,Todos los tipos de violencia,Errezil,Por 10.000,35.0
2021,Todos los tipos de violencia,Erriberagoitia/Ribera Alta,Por 10.000,78.7
2018,Todos los tipos de violencia,Elburgo/Burgelu,Por 10.000,34.5
2018,Todos los tipos de violencia,Ormaiztegi,Por 10.000,45.9
2021,Todos los tipos de violencia,Campezo/Kanpezu,Por 10.000,19.2
2021,Todos los tipos de violencia,Leintz-Gatzaga,Por 10.000,0.0
2020,Todos los tipos de violencia,Lemoa,Por 10.000,39.3
2019,Todos los tipos de violencia,Amoroto,Por 10.000,96.2
2018,Todos los tipos de violencia,Loiu,Por 10.000,68.9
2019,Todos los tipos de violencia,Arakaldo,Por 10.000,0.0
2021,Todos los tipos de violencia,Iruña Oka/Iruña de Oca,Por 10.000,53.3
2019,Todos los tipos de violencia,Ubide,Por 10.000,0.0
2020,Todos los tipos de violencia,Erriberagoitia/Ribera Alta,Por 10.000,135.5
2020,Todos los tipos de violencia,Altzaga,Por 10.000,0.0
2021,Todos los tipos de violencia,Belauntza,Por 10.000,0.0
2020,Todos los tipos de violencia,Berastegi,Por 10.000,19.2
2019,Todos los tipos de violencia,Campezo/Kanpezu,Por 10.000,40.2
2018,Todos los tipos de violencia,Arrasate/Mondragón,Por 10.000,49.0
