Year,Sex,Province,Units,Value
2013,F,,PT,8.6
2012,F,,PT,10.0
2014,F,,PT,8.4
2022,F,,PT,8.6
2021,F,,PT,9.1
2019,F,,PT,9.4
2017,F,,PT,8.6
2010,F,,PT,10.2
2020,F,,PT,9.1
2018,F,,PT,9.3
2023,F,,PT,7.9
2011,F,,PT,9.7
2022,F,Araba/Álava,PT,10.0
2018,F,Araba/Álava,PT,10.0
2020,F,Araba/Álava,PT,11.1
2010,F,Araba/Álava,PT,11.5
2021,F,Araba/Álava,PT,11.3
2019,F,Araba/Álava,PT,11.3
2017,F,Araba/Álava,PT,7.9
2015,F,Araba/Álava,PT,13.2
2016,F,Araba/Álava,PT,10.5
2013,F,Araba/Álava,PT,10.5
2012,F,Araba/Álava,PT,12.4
2011,F,Araba/Álava,PT,11.5
2014,F,Araba/Álava,PT,8.6
2023,F,Araba/Álava,PT,10.5
2022,F,Bizkaia,PT,6.2
2023,F,Bizkaia,PT,5.6
2019,F,Bizkaia,PT,6.7
2018,F,Bizkaia,PT,7.6
2016,F,Bizkaia,PT,7.3
2017,F,Bizkaia,PT,7.8
2014,F,Bizkaia,PT,7.9
2021,F,Bizkaia,PT,7.1
2013,F,Bizkaia,PT,7.3
2012,F,Bizkaia,PT,8.3
2015,F,Bizkaia,PT,7.0
2011,F,Bizkaia,PT,7.6
2010,F,Bizkaia,PT,8.3
2020,F,Bizkaia,PT,6.6
2022,F,Gipuzkoa,PT,11.9
2021,F,Gipuzkoa,PT,11.4
2020,F,Gipuzkoa,PT,12.2
2019,F,Gipuzkoa,PT,12.7
2018,F,Gipuzkoa,PT,11.7
2017,F,Gipuzkoa,PT,10.1
2023,F,Gipuzkoa,PT,10.4
2016,F,Gipuzkoa,PT,9.8
2015,F,Gipuzkoa,PT,9.8
2014,F,Gipuzkoa,PT,9.2
2013,F,Gipuzkoa,PT,9.8
2012,F,Gipuzkoa,PT,11.7
2011,F,Gipuzkoa,PT,12.2
2010,F,Gipuzkoa,PT,12.6
2021,M,,PT,30.0
2023,M,,PT,29.0
2019,M,,PT,30.5
2013,M,,PT,32.0
2020,M,,PT,30.9
2016,M,,PT,29.9
2015,M,,PT,29.3
2010,M,,PT,33.1
2018,M,,PT,31.3
2017,M,,PT,30.8
2012,M,,PT,32.8
2022,M,,PT,28.9
2014,M,,PT,31.3
2011,M,,PT,33.9
2021,M,Araba/Álava,PT,37.4
2022,M,Araba/Álava,PT,37.7
2012,M,Araba/Álava,PT,39.0
2015,M,Araba/Álava,PT,38.9
2013,M,Araba/Álava,PT,35.7
2020,M,Araba/Álava,PT,37.1
2011,M,Araba/Álava,PT,40.3
2018,M,Araba/Álava,PT,35.5
2016,M,Araba/Álava,PT,41.8
2014,M,Araba/Álava,PT,36.5
2010,M,Araba/Álava,PT,41.3
2023,M,Araba/Álava,PT,34.7
2017,M,Araba/Álava,PT,39.5
2019,M,Araba/Álava,PT,35.8
2023,M,Bizkaia,PT,23.1
2022,M,Bizkaia,PT,23.1
2021,M,Bizkaia,PT,24.0
2020,M,Bizkaia,PT,24.5
2019,M,Bizkaia,PT,24.1
2018,M,Bizkaia,PT,26.2
2016,M,Bizkaia,PT,24.1
2017,M,Bizkaia,PT,26.1
2015,M,Bizkaia,PT,23.8
2014,M,Bizkaia,PT,26.8
2013,M,Bizkaia,PT,27.9
2012,M,Bizkaia,PT,28.1
2011,M,Bizkaia,PT,28.4
2010,M,Bizkaia,PT,27.1
2020,M,Gipuzkoa,PT,37.5
2019,M,Gipuzkoa,PT,37.7
2018,M,Gipuzkoa,PT,37.0
2017,M,Gipuzkoa,PT,34.0
2016,M,Gipuzkoa,PT,33.2
2015,M,Gipuzkoa,PT,33.3
2011,M,Gipuzkoa,PT,39.4
2014,M,Gipuzkoa,PT,35.5
2012,M,Gipuzkoa,PT,37.3
2013,M,Gipuzkoa,PT,36.7
2010,M,Gipuzkoa,PT,38.9
2023,M,Gipuzkoa,PT,35.5
2022,M,Gipuzkoa,PT,33.6
2021,M,Gipuzkoa,PT,35.7
