Year,Series,Sex,Age,Province,Units,Value
2010,"Proportion of youth not in education, employment, or training",,15-24 years,Bizkaia,%,11.4
2011,"Proportion of youth not in education, employment, or training",,15-24 years,Bizkaia,%,11.2
2022,"Proportion of youth not in education, employment, or training",,15-24 years,Bizkaia,%,10.3
2016,"Proportion of youth not in education, employment, or training",,15-24 years,Bizkaia,%,9.6
2012,"Proportion of youth not in education, employment, or training",,15-24 years,Bizkaia,%,11.2
2019,"Proportion of youth not in education, employment, or training",,15-24 years,Bizkaia,%,8.5
2015,"Proportion of youth not in education, employment, or training",,15-24 years,Bizkaia,%,8.3
2017,"Proportion of youth not in education, employment, or training",,15-24 years,Bizkaia,%,8.6
2021,"Proportion of youth not in education, employment, or training",,15-24 years,Bizkaia,%,8.4
2020,"Proportion of youth not in education, employment, or training",,15-24 years,Bizkaia,%,9.2
2023,"Proportion of youth not in education, employment, or training",,15-24 years,Bizkaia,%,8.7
2010,"Proportion of youth not in education, employment, or training",,15-24 years,Gipuzkoa,%,9.3
2018,"Proportion of youth not in education, employment, or training",,15-24 years,Gipuzkoa,%,7.6
2017,"Proportion of youth not in education, employment, or training",,15-24 years,Gipuzkoa,%,9.6
2016,"Proportion of youth not in education, employment, or training",,15-24 years,Gipuzkoa,%,8.8
2015,"Proportion of youth not in education, employment, or training",,15-24 years,Gipuzkoa,%,8.1
2021,"Proportion of youth not in education, employment, or training",,15-24 years,Gipuzkoa,%,7.5
2011,"Proportion of youth not in education, employment, or training",,15-24 years,Gipuzkoa,%,9.5
2019,"Proportion of youth not in education, employment, or training",,15-24 years,Gipuzkoa,%,7.0
2023,"Proportion of youth not in education, employment, or training",,15-24 years,Gipuzkoa,%,6.3
2020,"Proportion of youth not in education, employment, or training",,15-24 years,Gipuzkoa,%,7.1
2014,"Proportion of youth not in education, employment, or training",,15-24 years,Gipuzkoa,%,9.0
2012,"Proportion of youth not in education, employment, or training",,15-24 years,Gipuzkoa,%,11.4
2022,"Proportion of youth not in education, employment, or training",,15-24 years,Gipuzkoa,%,6.1
2013,"Proportion of youth not in education, employment, or training",,15-24 years,Gipuzkoa,%,12.8
2020,"Proportion of youth not in education, employment, or training",Female,15-24 years,,%,8.5
2013,"Proportion of youth not in education, employment, or training",Female,15-24 years,,%,13.0
2016,"Proportion of youth not in education, employment, or training",Female,15-24 years,,%,9.2
2010,"Proportion of youth not in education, employment, or training",Female,15-24 years,,%,9.6
2011,"Proportion of youth not in education, employment, or training",Female,15-24 years,,%,9.7
2014,"Proportion of youth not in education, employment, or training",Female,15-24 years,,%,9.3
2023,"Proportion of youth not in education, employment, or training",Female,15-24 years,,%,8.4
2012,"Proportion of youth not in education, employment, or training",Female,15-24 years,,%,11.1
2015,"Proportion of youth not in education, employment, or training",Female,15-24 years,,%,7.9
2017,"Proportion of youth not in education, employment, or training",Female,15-24 years,,%,9.6
2022,"Proportion of youth not in education, employment, or training",Female,15-24 years,,%,7.9
2021,"Proportion of youth not in education, employment, or training",Female,15-24 years,,%,7.3
2019,"Proportion of youth not in education, employment, or training",Female,15-24 years,,%,8.3
2018,"Proportion of youth not in education, employment, or training",Female,15-24 years,,%,9.2
2011,"Proportion of youth not in education, employment, or training",Female,15-24 years,Araba/Álava,%,11.1
2016,"Proportion of youth not in education, employment, or training",Female,15-24 years,Araba/Álava,%,9.8
2022,"Proportion of youth not in education, employment, or training",Female,15-24 years,Araba/Álava,%,7.6
2012,"Proportion of youth not in education, employment, or training",Female,15-24 years,Araba/Álava,%,12.4
2020,"Proportion of youth not in education, employment, or training",Female,15-24 years,Araba/Álava,%,7.3
2019,"Proportion of youth not in education, employment, or training",Female,15-24 years,Araba/Álava,%,6.0
2021,"Proportion of youth not in education, employment, or training",Female,15-24 years,Araba/Álava,%,7.2
2023,"Proportion of youth not in education, employment, or training",Female,15-24 years,Araba/Álava,%,11.3
2010,"Proportion of youth not in education, employment, or training",Female,15-24 years,Araba/Álava,%,12.2
2013,"Proportion of youth not in education, employment, or training",Female,15-24 years,Araba/Álava,%,13.6
2017,"Proportion of youth not in education, employment, or training",Female,15-24 years,Araba/Álava,%,11.8
2014,"Proportion of youth not in education, employment, or training",Female,15-24 years,Araba/Álava,%,10.6
2015,"Proportion of youth not in education, employment, or training",Female,15-24 years,Araba/Álava,%,7.6
2018,"Proportion of youth not in education, employment, or training",Female,15-24 years,Araba/Álava,%,8.6
2012,"Proportion of youth not in education, employment, or training",Female,15-24 years,Bizkaia,%,10.6
2016,"Proportion of youth not in education, employment, or training",Female,15-24 years,Bizkaia,%,8.5
2022,"Proportion of youth not in education, employment, or training",Female,15-24 years,Bizkaia,%,9.2
2018,"Proportion of youth not in education, employment, or training",Female,15-24 years,Bizkaia,%,10.4
2014,"Proportion of youth not in education, employment, or training",Female,15-24 years,Bizkaia,%,9.3
2010,"Proportion of youth not in education, employment, or training",Female,15-24 years,Bizkaia,%,10.0
2011,"Proportion of youth not in education, employment, or training",Female,15-24 years,Bizkaia,%,9.5
2015,"Proportion of youth not in education, employment, or training",Female,15-24 years,Bizkaia,%,7.3
2019,"Proportion of youth not in education, employment, or training",Female,15-24 years,Bizkaia,%,10.2
2017,"Proportion of youth not in education, employment, or training",Female,15-24 years,Bizkaia,%,9.2
2020,"Proportion of youth not in education, employment, or training",Female,15-24 years,Bizkaia,%,9.9
2021,"Proportion of youth not in education, employment, or training",Female,15-24 years,Bizkaia,%,7.6
2023,"Proportion of youth not in education, employment, or training",Female,15-24 years,Bizkaia,%,9.2
2013,"Proportion of youth not in education, employment, or training",Female,15-24 years,Bizkaia,%,13.0
2015,"Proportion of youth not in education, employment, or training",Female,15-24 years,Gipuzkoa,%,9.0
2019,"Proportion of youth not in education, employment, or training",Female,15-24 years,Gipuzkoa,%,6.2
2016,"Proportion of youth not in education, employment, or training",Female,15-24 years,Gipuzkoa,%,10.1
2020,"Proportion of youth not in education, employment, or training",Female,15-24 years,Gipuzkoa,%,6.8
2018,"Proportion of youth not in education, employment, or training",Female,15-24 years,Gipuzkoa,%,7.7
2021,"Proportion of youth not in education, employment, or training",Female,15-24 years,Gipuzkoa,%,6.9
2022,"Proportion of youth not in education, employment, or training",Female,15-24 years,Gipuzkoa,%,6.1
2014,"Proportion of youth not in education, employment, or training",Female,15-24 years,Gipuzkoa,%,8.6
2023,"Proportion of youth not in education, employment, or training",Female,15-24 years,Gipuzkoa,%,6.2
2017,"Proportion of youth not in education, employment, or training",Female,15-24 years,Gipuzkoa,%,9.3
2013,"Proportion of youth not in education, employment, or training",Female,15-24 years,Gipuzkoa,%,12.7
2012,"Proportion of youth not in education, employment, or training",Female,15-24 years,Gipuzkoa,%,11.0
2010,"Proportion of youth not in education, employment, or training",Female,15-24 years,Gipuzkoa,%,7.9
2011,"Proportion of youth not in education, employment, or training",Female,15-24 years,Gipuzkoa,%,9.5
2015,"Proportion of youth not in education, employment, or training",Male,15-24 years,,%,8.5
2018,"Proportion of youth not in education, employment, or training",Male,15-24 years,,%,8.2
2011,"Proportion of youth not in education, employment, or training",Male,15-24 years,,%,11.9
2020,"Proportion of youth not in education, employment, or training",Male,15-24 years,,%,8.6
2010,"Proportion of youth not in education, employment, or training",Male,15-24 years,,%,12.1
2021,"Proportion of youth not in education, employment, or training",Male,15-24 years,,%,8.6
2012,"Proportion of youth not in education, employment, or training",Male,15-24 years,,%,12.0
2017,"Proportion of youth not in education, employment, or training",Male,15-24 years,,%,9.3
2014,"Proportion of youth not in education, employment, or training",Male,15-24 years,,%,10.5
2013,"Proportion of youth not in education, employment, or training",Male,15-24 years,,%,13.4
2023,"Proportion of youth not in education, employment, or training",Male,15-24 years,,%,7.4
2016,"Proportion of youth not in education, employment, or training",Male,15-24 years,,%,9.1
2019,"Proportion of youth not in education, employment, or training",Male,15-24 years,,%,7.8
2022,"Proportion of youth not in education, employment, or training",Male,15-24 years,,%,9.3
2022,"Proportion of youth not in education, employment, or training",Male,15-24 years,Araba/Álava,%,9.5
2016,"Proportion of youth not in education, employment, or training",Male,15-24 years,Araba/Álava,%,7.3
2023,"Proportion of youth not in education, employment, or training",Male,15-24 years,Araba/Álava,%,6.7
2015,"Proportion of youth not in education, employment, or training",Male,15-24 years,Araba/Álava,%,8.7
2017,"Proportion of youth not in education, employment, or training",Male,15-24 years,Araba/Álava,%,12.2
2010,"Proportion of youth not in education, employment, or training",Male,15-24 years,Araba/Álava,%,13.0
2012,"Proportion of youth not in education, employment, or training",Male,15-24 years,Araba/Álava,%,13.5
2011,"Proportion of youth not in education, employment, or training",Male,15-24 years,Araba/Álava,%,14.0
2018,"Proportion of youth not in education, employment, or training",Male,15-24 years,Araba/Álava,%,8.8
2021,"Proportion of youth not in education, employment, or training",Male,15-24 years,Araba/Álava,%,8.1
2013,"Proportion of youth not in education, employment, or training",Male,15-24 years,Araba/Álava,%,13.7
2019,"Proportion of youth not in education, employment, or training",Male,15-24 years,Araba/Álava,%,12.0
2020,"Proportion of youth not in education, employment, or training",Male,15-24 years,Araba/Álava,%,11.5
2014,"Proportion of youth not in education, employment, or training",Male,15-24 years,Araba/Álava,%,8.2
2023,"Proportion of youth not in education, employment, or training",Male,15-24 years,Bizkaia,%,8.3
2020,"Proportion of youth not in education, employment, or training",Male,15-24 years,Bizkaia,%,8.5
2022,"Proportion of youth not in education, employment, or training",Male,15-24 years,Bizkaia,%,11.4
2018,"Proportion of youth not in education, employment, or training",Male,15-24 years,Bizkaia,%,8.5
2019,"Proportion of youth not in education, employment, or training",Male,15-24 years,Bizkaia,%,6.7
2016,"Proportion of youth not in education, employment, or training",Male,15-24 years,Bizkaia,%,10.6
2010,"Proportion of youth not in education, employment, or training",Male,15-24 years,Bizkaia,%,12.8
2015,"Proportion of youth not in education, employment, or training",Male,15-24 years,Bizkaia,%,9.3
2021,"Proportion of youth not in education, employment, or training",Male,15-24 years,Bizkaia,%,9.1
2014,"Proportion of youth not in education, employment, or training",Male,15-24 years,Bizkaia,%,11.9
2017,"Proportion of youth not in education, employment, or training",Male,15-24 years,Bizkaia,%,8.1
2012,"Proportion of youth not in education, employment, or training",Male,15-24 years,Bizkaia,%,11.7
2011,"Proportion of youth not in education, employment, or training",Male,15-24 years,Bizkaia,%,12.9
2013,"Proportion of youth not in education, employment, or training",Male,15-24 years,Bizkaia,%,13.7
2018,"Proportion of youth not in education, employment, or training",Male,15-24 years,Gipuzkoa,%,7.6
2012,"Proportion of youth not in education, employment, or training",Male,15-24 years,Gipuzkoa,%,11.8
2011,"Proportion of youth not in education, employment, or training",Male,15-24 years,Gipuzkoa,%,9.4
2014,"Proportion of youth not in education, employment, or training",Male,15-24 years,Gipuzkoa,%,9.4
2019,"Proportion of youth not in education, employment, or training",Male,15-24 years,Gipuzkoa,%,7.7
2013,"Proportion of youth not in education, employment, or training",Male,15-24 years,Gipuzkoa,%,12.9
2015,"Proportion of youth not in education, employment, or training",Male,15-24 years,Gipuzkoa,%,7.3
2016,"Proportion of youth not in education, employment, or training",Male,15-24 years,Gipuzkoa,%,7.6
2022,"Proportion of youth not in education, employment, or training",Male,15-24 years,Gipuzkoa,%,6.1
2010,"Proportion of youth not in education, employment, or training",Male,15-24 years,Gipuzkoa,%,10.6
2020,"Proportion of youth not in education, employment, or training",Male,15-24 years,Gipuzkoa,%,7.4
2017,"Proportion of youth not in education, employment, or training",Male,15-24 years,Gipuzkoa,%,10.0
2023,"Proportion of youth not in education, employment, or training",Male,15-24 years,Gipuzkoa,%,6.4
2021,"Proportion of youth not in education, employment, or training",Male,15-24 years,Gipuzkoa,%,8.0
