Year,Series,Province,County,Municipality,Units,GeoCode,Value
2019,EU_XPD_LOCALGBPC,,,Agurain/Salvatierra,%,Agurain/Salvatierra,90.91
2016,EU_XPD_LOCALGBPC,,,Agurain/Salvatierra,%,Agurain/Salvatierra,77.02
2010,EU_XPD_LOCALGBPC,,,Agurain/Salvatierra,%,Agurain/Salvatierra,76.82
2020,EU_XPD_LOCALGBPC,,,Agurain/Salvatierra,%,Agurain/Salvatierra,69.36
2012,EU_XPD_LOCALGBPC,,,Agurain/Salvatierra,%,Agurain/Salvatierra,88.07
2014,EU_XPD_LOCALGBPC,,,Agurain/Salvatierra,%,Agurain/Salvatierra,84.5
2021,EU_XPD_LOCALGBPC,,,Agurain/Salvatierra,%,Agurain/Salvatierra,76.75
2022,EU_XPD_LOCALGBPC,,,Agurain/Salvatierra,%,Agurain/Salvatierra,97.66
2013,EU_XPD_LOCALGBPC,,,Agurain/Salvatierra,%,Agurain/Salvatierra,92.23
2011,EU_XPD_LOCALGBPC,,,Agurain/Salvatierra,%,Agurain/Salvatierra,82.75
2018,EU_XPD_LOCALGBPC,,,Agurain/Salvatierra,%,Agurain/Salvatierra,93.02
2020,EU_XPD_LOCALGBPC,,,Aia,%,Aia,117.81
2015,EU_XPD_LOCALGBPC,,,Aia,%,Aia,71.84
2013,EU_XPD_LOCALGBPC,,,Aia,%,Aia,90.63
2016,EU_XPD_LOCALGBPC,,,Aia,%,Aia,131.32
2017,EU_XPD_LOCALGBPC,,,Aia,%,Aia,83.8
2011,EU_XPD_LOCALGBPC,,,Aia,%,Aia,78.47
2018,EU_XPD_LOCALGBPC,,,Aia,%,Aia,109.51
2012,EU_XPD_LOCALGBPC,,,Aia,%,Aia,65.24
2022,EU_XPD_LOCALGBPC,,,Aia,%,Aia,110.48
2014,EU_XPD_LOCALGBPC,,,Aia,%,Aia,73.0
2021,EU_XPD_LOCALGBPC,,,Aia,%,Aia,87.93
2010,EU_XPD_LOCALGBPC,,,Aia,%,Aia,102.27
2019,EU_XPD_LOCALGBPC,,,Aia,%,Aia,87.75
2011,EU_XPD_LOCALGBPC,,,Aizarnazabal,%,Aizarnazabal,94.91
2015,EU_XPD_LOCALGBPC,,,Aizarnazabal,%,Aizarnazabal,98.57
2021,EU_XPD_LOCALGBPC,,,Aizarnazabal,%,Aizarnazabal,95.68
2014,EU_XPD_LOCALGBPC,,,Aizarnazabal,%,Aizarnazabal,102.83
2013,EU_XPD_LOCALGBPC,,,Aizarnazabal,%,Aizarnazabal,91.73
2012,EU_XPD_LOCALGBPC,,,Aizarnazabal,%,Aizarnazabal,108.54
2022,EU_XPD_LOCALGBPC,,,Aizarnazabal,%,Aizarnazabal,85.96
2017,EU_XPD_LOCALGBPC,,,Aizarnazabal,%,Aizarnazabal,72.13
2018,EU_XPD_LOCALGBPC,,,Aizarnazabal,%,Aizarnazabal,80.24
2019,EU_XPD_LOCALGBPC,,,Aizarnazabal,%,Aizarnazabal,82.54
2016,EU_XPD_LOCALGBPC,,,Aizarnazabal,%,Aizarnazabal,85.77
2010,EU_XPD_LOCALGBPC,,,Aizarnazabal,%,Aizarnazabal,90.33
2020,EU_XPD_LOCALGBPC,,,Aizarnazabal,%,Aizarnazabal,87.93
2021,EU_XPD_LOCALGBPC,,,Ajangiz,%,Ajangiz,112.08
2019,EU_XPD_LOCALGBPC,,,Ajangiz,%,Ajangiz,79.66
2022,EU_XPD_LOCALGBPC,,,Ajangiz,%,Ajangiz,110.21
2017,EU_XPD_LOCALGBPC,,,Ajangiz,%,Ajangiz,82.2
2015,EU_XPD_LOCALGBPC,,,Ajangiz,%,Ajangiz,117.83
2013,EU_XPD_LOCALGBPC,,,Ajangiz,%,Ajangiz,83.47
2016,EU_XPD_LOCALGBPC,,,Ajangiz,%,Ajangiz,121.62
2018,EU_XPD_LOCALGBPC,,,Ajangiz,%,Ajangiz,121.79
2020,EU_XPD_LOCALGBPC,,,Ajangiz,%,Ajangiz,80.61
2010,EU_XPD_LOCALGBPC,,,Ajangiz,%,Ajangiz,77.42
2012,EU_XPD_LOCALGBPC,,,Ajangiz,%,Ajangiz,85.02
2014,EU_XPD_LOCALGBPC,,,Ajangiz,%,Ajangiz,122.79
2011,EU_XPD_LOCALGBPC,,,Ajangiz,%,Ajangiz,117.34
2012,EU_XPD_LOCALGBPC,,,Albiztur,%,Albiztur,107.1
2010,EU_XPD_LOCALGBPC,,,Albiztur,%,Albiztur,141.27
2014,EU_XPD_LOCALGBPC,,,Albiztur,%,Albiztur,91.04
2020,EU_XPD_LOCALGBPC,,,Albiztur,%,Albiztur,100.68
2022,EU_XPD_LOCALGBPC,,,Albiztur,%,Albiztur,136.39
2017,EU_XPD_LOCALGBPC,,,Albiztur,%,Albiztur,124.91
2018,EU_XPD_LOCALGBPC,,,Albiztur,%,Albiztur,109.42
2016,EU_XPD_LOCALGBPC,,,Albiztur,%,Albiztur,105.15
2021,EU_XPD_LOCALGBPC,,,Albiztur,%,Albiztur,111.86
2011,EU_XPD_LOCALGBPC,,,Albiztur,%,Albiztur,119.62
2019,EU_XPD_LOCALGBPC,,,Albiztur,%,Albiztur,111.27
2015,EU_XPD_LOCALGBPC,,,Albiztur,%,Albiztur,170.86
2013,EU_XPD_LOCALGBPC,,,Albiztur,%,Albiztur,111.91
2013,EU_XPD_LOCALGBPC,,,Alegia,%,Alegia,103.7
2022,EU_XPD_LOCALGBPC,,,Alegia,%,Alegia,94.88
2021,EU_XPD_LOCALGBPC,,,Alegia,%,Alegia,114.77
2012,EU_XPD_LOCALGBPC,,,Alegia,%,Alegia,93.99
2018,EU_XPD_LOCALGBPC,,,Alegia,%,Alegia,125.06
2016,EU_XPD_LOCALGBPC,,,Alegia,%,Alegia,95.6
2010,EU_XPD_LOCALGBPC,,,Alegia,%,Alegia,95.89
2015,EU_XPD_LOCALGBPC,,,Alegia,%,Alegia,113.51
2020,EU_XPD_LOCALGBPC,,,Alegia,%,Alegia,84.8
2011,EU_XPD_LOCALGBPC,,,Alegia,%,Alegia,99.18
2014,EU_XPD_LOCALGBPC,,,Alegia,%,Alegia,105.17
2017,EU_XPD_LOCALGBPC,,,Alegia,%,Alegia,127.18
2019,EU_XPD_LOCALGBPC,,,Alegia,%,Alegia,94.13
2016,EU_XPD_LOCALGBPC,,,Alegría-Dulantzi,%,Alegría-Dulantzi,93.39
2010,EU_XPD_LOCALGBPC,,,Alegría-Dulantzi,%,Alegría-Dulantzi,111.59
2022,EU_XPD_LOCALGBPC,,,Alegría-Dulantzi,%,Alegría-Dulantzi,54.78
2013,EU_XPD_LOCALGBPC,,,Alegría-Dulantzi,%,Alegría-Dulantzi,79.92
2014,EU_XPD_LOCALGBPC,,,Alegría-Dulantzi,%,Alegría-Dulantzi,83.02
2011,EU_XPD_LOCALGBPC,,,Alegría-Dulantzi,%,Alegría-Dulantzi,84.32
2019,EU_XPD_LOCALGBPC,,,Alegría-Dulantzi,%,Alegría-Dulantzi,86.44
2015,EU_XPD_LOCALGBPC,,,Alegría-Dulantzi,%,Alegría-Dulantzi,103.17
2021,EU_XPD_LOCALGBPC,,,Alegría-Dulantzi,%,Alegría-Dulantzi,52.09
2012,EU_XPD_LOCALGBPC,,,Alegría-Dulantzi,%,Alegría-Dulantzi,85.94
2020,EU_XPD_LOCALGBPC,,,Alegría-Dulantzi,%,Alegría-Dulantzi,91.86
2018,EU_XPD_LOCALGBPC,,,Alegría-Dulantzi,%,Alegría-Dulantzi,105.87
2017,EU_XPD_LOCALGBPC,,,Alegría-Dulantzi,%,Alegría-Dulantzi,72.53
2016,EU_XPD_LOCALGBPC,,,Alkiza,%,Alkiza,112.05
2010,EU_XPD_LOCALGBPC,,,Alkiza,%,Alkiza,97.9
2018,EU_XPD_LOCALGBPC,,,Alkiza,%,Alkiza,101.96
2021,EU_XPD_LOCALGBPC,,,Alkiza,%,Alkiza,101.3
2015,EU_XPD_LOCALGBPC,,,Alkiza,%,Alkiza,97.72
2017,EU_XPD_LOCALGBPC,,,Alkiza,%,Alkiza,94.44
2020,EU_XPD_LOCALGBPC,,,Alkiza,%,Alkiza,101.57
2022,EU_XPD_LOCALGBPC,,,Alkiza,%,Alkiza,79.44
2012,EU_XPD_LOCALGBPC,,,Alkiza,%,Alkiza,77.96
2013,EU_XPD_LOCALGBPC,,,Alkiza,%,Alkiza,94.06
2011,EU_XPD_LOCALGBPC,,,Alkiza,%,Alkiza,90.01
2014,EU_XPD_LOCALGBPC,,,Alkiza,%,Alkiza,97.93
2019,EU_XPD_LOCALGBPC,,,Alkiza,%,Alkiza,79.59
2012,EU_XPD_LOCALGBPC,,,Alonsotegi,%,Alonsotegi,111.24
2017,EU_XPD_LOCALGBPC,,,Alonsotegi,%,Alonsotegi,115.21
2011,EU_XPD_LOCALGBPC,,,Alonsotegi,%,Alonsotegi,82.74
2022,EU_XPD_LOCALGBPC,,,Alonsotegi,%,Alonsotegi,125.08
2014,EU_XPD_LOCALGBPC,,,Alonsotegi,%,Alonsotegi,104.54
2016,EU_XPD_LOCALGBPC,,,Alonsotegi,%,Alonsotegi,106.37
2019,EU_XPD_LOCALGBPC,,,Alonsotegi,%,Alonsotegi,97.29
2015,EU_XPD_LOCALGBPC,,,Alonsotegi,%,Alonsotegi,95.08
2020,EU_XPD_LOCALGBPC,,,Alonsotegi,%,Alonsotegi,103.49
2010,EU_XPD_LOCALGBPC,,,Alonsotegi,%,Alonsotegi,103.28
2021,EU_XPD_LOCALGBPC,,,Alonsotegi,%,Alonsotegi,116.02
2018,EU_XPD_LOCALGBPC,,,Alonsotegi,%,Alonsotegi,125.82
2013,EU_XPD_LOCALGBPC,,,Alonsotegi,%,Alonsotegi,103.16
2015,EU_XPD_LOCALGBPC,,,Altzaga,%,Altzaga,113.51
2019,EU_XPD_LOCALGBPC,,,Altzaga,%,Altzaga,86.54
2020,EU_XPD_LOCALGBPC,,,Altzaga,%,Altzaga,65.28
2010,EU_XPD_LOCALGBPC,,,Altzaga,%,Altzaga,97.25
2017,EU_XPD_LOCALGBPC,,,Altzaga,%,Altzaga,42.28
2012,EU_XPD_LOCALGBPC,,,Altzaga,%,Altzaga,113.79
2022,EU_XPD_LOCALGBPC,,,Altzaga,%,Altzaga,100.42
2016,EU_XPD_LOCALGBPC,,,Altzaga,%,Altzaga,103.37
2013,EU_XPD_LOCALGBPC,,,Altzaga,%,Altzaga,79.12
2018,EU_XPD_LOCALGBPC,,,Altzaga,%,Altzaga,129.31
2011,EU_XPD_LOCALGBPC,,,Altzaga,%,Altzaga,105.24
2021,EU_XPD_LOCALGBPC,,,Altzaga,%,Altzaga,117.75
2014,EU_XPD_LOCALGBPC,,,Altzaga,%,Altzaga,101.83
2014,EU_XPD_LOCALGBPC,,,Altzo,%,Altzo,86.95
2010,EU_XPD_LOCALGBPC,,,Altzo,%,Altzo,156.0
2020,EU_XPD_LOCALGBPC,,,Altzo,%,Altzo,99.48
2019,EU_XPD_LOCALGBPC,,,Altzo,%,Altzo,118.58
2021,EU_XPD_LOCALGBPC,,,Altzo,%,Altzo,146.41
2016,EU_XPD_LOCALGBPC,,,Altzo,%,Altzo,95.93
2012,EU_XPD_LOCALGBPC,,,Altzo,%,Altzo,123.95
2015,EU_XPD_LOCALGBPC,,,Altzo,%,Altzo,105.45
2013,EU_XPD_LOCALGBPC,,,Altzo,%,Altzo,91.09
2017,EU_XPD_LOCALGBPC,,,Altzo,%,Altzo,151.2
2011,EU_XPD_LOCALGBPC,,,Altzo,%,Altzo,94.99
2022,EU_XPD_LOCALGBPC,,,Altzo,%,Altzo,115.0
2018,EU_XPD_LOCALGBPC,,,Altzo,%,Altzo,148.61
2015,EU_XPD_LOCALGBPC,,,Amezketa,%,Amezketa,115.38
2014,EU_XPD_LOCALGBPC,,,Amezketa,%,Amezketa,105.55
2013,EU_XPD_LOCALGBPC,,,Amezketa,%,Amezketa,121.27
2021,EU_XPD_LOCALGBPC,,,Amezketa,%,Amezketa,116.22
2012,EU_XPD_LOCALGBPC,,,Amezketa,%,Amezketa,101.91
2018,EU_XPD_LOCALGBPC,,,Amezketa,%,Amezketa,114.69
2022,EU_XPD_LOCALGBPC,,,Amezketa,%,Amezketa,84.75
2011,EU_XPD_LOCALGBPC,,,Amezketa,%,Amezketa,145.65
2010,EU_XPD_LOCALGBPC,,,Amezketa,%,Amezketa,80.5
2020,EU_XPD_LOCALGBPC,,,Amezketa,%,Amezketa,102.86
2016,EU_XPD_LOCALGBPC,,,Amezketa,%,Amezketa,92.66
2017,EU_XPD_LOCALGBPC,,,Amezketa,%,Amezketa,125.35
2019,EU_XPD_LOCALGBPC,,,Amezketa,%,Amezketa,90.39
2010,EU_XPD_LOCALGBPC,,,Amorebieta-Etxano,%,Amorebieta-Etxano,112.82
2018,EU_XPD_LOCALGBPC,,,Amorebieta-Etxano,%,Amorebieta-Etxano,101.06
2014,EU_XPD_LOCALGBPC,,,Amorebieta-Etxano,%,Amorebieta-Etxano,105.44
2022,EU_XPD_LOCALGBPC,,,Amorebieta-Etxano,%,Amorebieta-Etxano,101.59
2013,EU_XPD_LOCALGBPC,,,Amorebieta-Etxano,%,Amorebieta-Etxano,93.78
2012,EU_XPD_LOCALGBPC,,,Amorebieta-Etxano,%,Amorebieta-Etxano,92.66
2020,EU_XPD_LOCALGBPC,,,Amorebieta-Etxano,%,Amorebieta-Etxano,91.04
2021,EU_XPD_LOCALGBPC,,,Amorebieta-Etxano,%,Amorebieta-Etxano,92.45
2015,EU_XPD_LOCALGBPC,,,Amorebieta-Etxano,%,Amorebieta-Etxano,91.69
2019,EU_XPD_LOCALGBPC,,,Amorebieta-Etxano,%,Amorebieta-Etxano,96.31
2017,EU_XPD_LOCALGBPC,,,Amorebieta-Etxano,%,Amorebieta-Etxano,89.32
2016,EU_XPD_LOCALGBPC,,,Amorebieta-Etxano,%,Amorebieta-Etxano,94.81
2011,EU_XPD_LOCALGBPC,,,Amorebieta-Etxano,%,Amorebieta-Etxano,92.65
2013,EU_XPD_LOCALGBPC,,,Amoroto,%,Amoroto,93.23
2020,EU_XPD_LOCALGBPC,,,Amoroto,%,Amoroto,106.37
2014,EU_XPD_LOCALGBPC,,,Amoroto,%,Amoroto,83.76
2015,EU_XPD_LOCALGBPC,,,Amoroto,%,Amoroto,95.62
2021,EU_XPD_LOCALGBPC,,,Amoroto,%,Amoroto,85.92
2018,EU_XPD_LOCALGBPC,,,Amoroto,%,Amoroto,79.53
2022,EU_XPD_LOCALGBPC,,,Amoroto,%,Amoroto,68.53
2017,EU_XPD_LOCALGBPC,,,Amoroto,%,Amoroto,95.8
2011,EU_XPD_LOCALGBPC,,,Amoroto,%,Amoroto,118.12
2019,EU_XPD_LOCALGBPC,,,Amoroto,%,Amoroto,75.34
2010,EU_XPD_LOCALGBPC,,,Amoroto,%,Amoroto,88.93
2012,EU_XPD_LOCALGBPC,,,Amoroto,%,Amoroto,97.44
2016,EU_XPD_LOCALGBPC,,,Amoroto,%,Amoroto,99.48
2018,EU_XPD_LOCALGBPC,,,Amurrio,%,Amurrio,81.93
2014,EU_XPD_LOCALGBPC,,,Amurrio,%,Amurrio,87.08
2021,EU_XPD_LOCALGBPC,,,Amurrio,%,Amurrio,91.41
2010,EU_XPD_LOCALGBPC,,,Amurrio,%,Amurrio,81.29
2016,EU_XPD_LOCALGBPC,,,Amurrio,%,Amurrio,85.32
2012,EU_XPD_LOCALGBPC,,,Amurrio,%,Amurrio,79.96
2011,EU_XPD_LOCALGBPC,,,Amurrio,%,Amurrio,78.16
2022,EU_XPD_LOCALGBPC,,,Amurrio,%,Amurrio,84.48
2013,EU_XPD_LOCALGBPC,,,Amurrio,%,Amurrio,83.33
2019,EU_XPD_LOCALGBPC,,,Amurrio,%,Amurrio,77.55
2015,EU_XPD_LOCALGBPC,,,Amurrio,%,Amurrio,88.67
2017,EU_XPD_LOCALGBPC,,,Amurrio,%,Amurrio,92.4
2020,EU_XPD_LOCALGBPC,,,Amurrio,%,Amurrio,78.62
2012,EU_XPD_LOCALGBPC,,,Andoain,%,Andoain,98.45
2021,EU_XPD_LOCALGBPC,,,Andoain,%,Andoain,97.64
2014,EU_XPD_LOCALGBPC,,,Andoain,%,Andoain,95.11
2016,EU_XPD_LOCALGBPC,,,Andoain,%,Andoain,101.6
2011,EU_XPD_LOCALGBPC,,,Andoain,%,Andoain,104.37
2022,EU_XPD_LOCALGBPC,,,Andoain,%,Andoain,99.56
2010,EU_XPD_LOCALGBPC,,,Andoain,%,Andoain,108.22
2017,EU_XPD_LOCALGBPC,,,Andoain,%,Andoain,96.18
2019,EU_XPD_LOCALGBPC,,,Andoain,%,Andoain,95.44
2015,EU_XPD_LOCALGBPC,,,Andoain,%,Andoain,95.38
2018,EU_XPD_LOCALGBPC,,,Andoain,%,Andoain,98.06
2013,EU_XPD_LOCALGBPC,,,Andoain,%,Andoain,98.15
2020,EU_XPD_LOCALGBPC,,,Andoain,%,Andoain,84.82
2020,EU_XPD_LOCALGBPC,,,Anoeta,%,Anoeta,108.49
2018,EU_XPD_LOCALGBPC,,,Anoeta,%,Anoeta,95.41
2016,EU_XPD_LOCALGBPC,,,Anoeta,%,Anoeta,68.48
2021,EU_XPD_LOCALGBPC,,,Anoeta,%,Anoeta,106.07
2013,EU_XPD_LOCALGBPC,,,Anoeta,%,Anoeta,82.97
2019,EU_XPD_LOCALGBPC,,,Anoeta,%,Anoeta,101.45
2012,EU_XPD_LOCALGBPC,,,Anoeta,%,Anoeta,87.17
2015,EU_XPD_LOCALGBPC,,,Anoeta,%,Anoeta,75.6
2022,EU_XPD_LOCALGBPC,,,Anoeta,%,Anoeta,85.02
2011,EU_XPD_LOCALGBPC,,,Anoeta,%,Anoeta,80.81
2010,EU_XPD_LOCALGBPC,,,Anoeta,%,Anoeta,69.14
2014,EU_XPD_LOCALGBPC,,,Anoeta,%,Anoeta,95.89
2017,EU_XPD_LOCALGBPC,,,Anoeta,%,Anoeta,109.14
2020,EU_XPD_LOCALGBPC,,,Antzuola,%,Antzuola,104.92
2014,EU_XPD_LOCALGBPC,,,Antzuola,%,Antzuola,111.43
2010,EU_XPD_LOCALGBPC,,,Antzuola,%,Antzuola,94.1
2017,EU_XPD_LOCALGBPC,,,Antzuola,%,Antzuola,93.8
2015,EU_XPD_LOCALGBPC,,,Antzuola,%,Antzuola,95.44
2019,EU_XPD_LOCALGBPC,,,Antzuola,%,Antzuola,101.07
2018,EU_XPD_LOCALGBPC,,,Antzuola,%,Antzuola,110.99
2016,EU_XPD_LOCALGBPC,,,Antzuola,%,Antzuola,102.96
2011,EU_XPD_LOCALGBPC,,,Antzuola,%,Antzuola,101.46
2021,EU_XPD_LOCALGBPC,,,Antzuola,%,Antzuola,86.47
2012,EU_XPD_LOCALGBPC,,,Antzuola,%,Antzuola,95.13
2022,EU_XPD_LOCALGBPC,,,Antzuola,%,Antzuola,113.26
2013,EU_XPD_LOCALGBPC,,,Antzuola,%,Antzuola,108.32
2020,EU_XPD_LOCALGBPC,,,Añana,%,Añana,46.8
2015,EU_XPD_LOCALGBPC,,,Añana,%,Añana,152.05
2011,EU_XPD_LOCALGBPC,,,Añana,%,Añana,172.0
2016,EU_XPD_LOCALGBPC,,,Añana,%,Añana,94.4
2012,EU_XPD_LOCALGBPC,,,Añana,%,Añana,154.2
2019,EU_XPD_LOCALGBPC,,,Añana,%,Añana,77.01
2017,EU_XPD_LOCALGBPC,,,Añana,%,Añana,47.57
2010,EU_XPD_LOCALGBPC,,,Añana,%,Añana,289.5
2014,EU_XPD_LOCALGBPC,,,Añana,%,Añana,105.39
2021,EU_XPD_LOCALGBPC,,,Añana,%,Añana,23.85
2022,EU_XPD_LOCALGBPC,,,Añana,%,Añana,46.86
2013,EU_XPD_LOCALGBPC,,,Añana,%,Añana,121.97
2018,EU_XPD_LOCALGBPC,,,Añana,%,Añana,91.99
2015,EU_XPD_LOCALGBPC,,,Arakaldo,%,Arakaldo,118.44
2020,EU_XPD_LOCALGBPC,,,Arakaldo,%,Arakaldo,109.72
2016,EU_XPD_LOCALGBPC,,,Arakaldo,%,Arakaldo,99.86
2014,EU_XPD_LOCALGBPC,,,Arakaldo,%,Arakaldo,84.79
2013,EU_XPD_LOCALGBPC,,,Arakaldo,%,Arakaldo,94.05
2010,EU_XPD_LOCALGBPC,,,Arakaldo,%,Arakaldo,113.2
2011,EU_XPD_LOCALGBPC,,,Arakaldo,%,Arakaldo,142.75
2017,EU_XPD_LOCALGBPC,,,Arakaldo,%,Arakaldo,111.1
2021,EU_XPD_LOCALGBPC,,,Arakaldo,%,Arakaldo,52.52
2022,EU_XPD_LOCALGBPC,,,Arakaldo,%,Arakaldo,141.74
2018,EU_XPD_LOCALGBPC,,,Arakaldo,%,Arakaldo,90.98
2012,EU_XPD_LOCALGBPC,,,Arakaldo,%,Arakaldo,152.77
2019,EU_XPD_LOCALGBPC,,,Arakaldo,%,Arakaldo,100.54
2012,EU_XPD_LOCALGBPC,,,Arama,%,Arama,91.89
2022,EU_XPD_LOCALGBPC,,,Arama,%,Arama,74.42
2011,EU_XPD_LOCALGBPC,,,Arama,%,Arama,175.23
