Year,ServEsencial,Administracion,Province,County,Municipality,Unidad,GeoCode,Value
2017,ESSRV,ADM_MUN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,16.6
2018,ESSRV,ADM_MUN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,15.0
2019,ESSRV,ADM_MUN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,18.8
2020,ESSRV,ADM_MUN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,18.7
2021,ESSRV,ADM_MUN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,20.6
2017,HLTH,ADM_MUN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,0.4
2018,HLTH,ADM_MUN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,0.4
2019,HLTH,ADM_MUN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,0.4
2020,HLTH,ADM_MUN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,0.6
2021,HLTH,ADM_MUN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,0.5
2017,PROT,ADM_MUN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,11.1
2018,PROT,ADM_MUN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,10.5
2019,PROT,ADM_MUN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,12.7
2020,PROT,ADM_MUN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,12.4
2021,PROT,ADM_MUN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,14.9
2017,ESED,ADM_MUN,,,Amurrio,Percentage,Amurrio,7.5
2018,ESED,ADM_MUN,,,Amurrio,Percentage,Amurrio,11.7
2019,ESED,ADM_MUN,,,Amurrio,Percentage,Amurrio,11.6
2020,ESED,ADM_MUN,,,Amurrio,Percentage,Amurrio,4.6
2021,ESED,ADM_MUN,,,Amurrio,Percentage,Amurrio,9.6
2017,ESSRV,ADM_MUN,,,Amurrio,Percentage,Amurrio,17.1
2018,ESSRV,ADM_MUN,,,Amurrio,Percentage,Amurrio,22.2
2019,ESSRV,ADM_MUN,,,Amurrio,Percentage,Amurrio,21.8
2020,ESSRV,ADM_MUN,,,Amurrio,Percentage,Amurrio,14.3
2021,ESSRV,ADM_MUN,,,Amurrio,Percentage,Amurrio,19.3
2017,HLTH,ADM_MUN,,,Amurrio,Percentage,Amurrio,0.2
2018,HLTH,ADM_MUN,,,Amurrio,Percentage,Amurrio,0.3
2019,HLTH,ADM_MUN,,,Amurrio,Percentage,Amurrio,0.4
2020,HLTH,ADM_MUN,,,Amurrio,Percentage,Amurrio,0.2
2021,HLTH,ADM_MUN,,,Amurrio,Percentage,Amurrio,0.2
2017,PROT,ADM_MUN,,,Amurrio,Percentage,Amurrio,9.3
2018,PROT,ADM_MUN,,,Amurrio,Percentage,Amurrio,10.1
2019,PROT,ADM_MUN,,,Amurrio,Percentage,Amurrio,9.8
2020,PROT,ADM_MUN,,,Amurrio,Percentage,Amurrio,9.5
2021,PROT,ADM_MUN,,,Amurrio,Percentage,Amurrio,9.5
2017,ESED,ADM_MUN,,,Aramaio,Percentage,Aramaio,7.0
2018,ESED,ADM_MUN,,,Aramaio,Percentage,Aramaio,8.1
2019,ESED,ADM_MUN,,,Aramaio,Percentage,Aramaio,7.5
2020,ESED,ADM_MUN,,,Aramaio,Percentage,Aramaio,18.1
2021,ESED,ADM_MUN,,,Aramaio,Percentage,Aramaio,6.4
2017,ESSRV,ADM_MUN,,,Aramaio,Percentage,Aramaio,10.3
2018,ESSRV,ADM_MUN,,,Aramaio,Percentage,Aramaio,11.8
2019,ESSRV,ADM_MUN,,,Aramaio,Percentage,Aramaio,12.0
2020,ESSRV,ADM_MUN,,,Aramaio,Percentage,Aramaio,23.1
2021,ESSRV,ADM_MUN,,,Aramaio,Percentage,Aramaio,10.7
2017,HLTH,ADM_MUN,,,Aramaio,Percentage,Aramaio,0.2
2018,HLTH,ADM_MUN,,,Aramaio,Percentage,Aramaio,0.3
2019,HLTH,ADM_MUN,,,Aramaio,Percentage,Aramaio,0.2
2020,HLTH,ADM_MUN,,,Aramaio,Percentage,Aramaio,0.4
2021,HLTH,ADM_MUN,,,Aramaio,Percentage,Aramaio,0.4
2017,PROT,ADM_MUN,,,Aramaio,Percentage,Aramaio,3.1
2018,PROT,ADM_MUN,,,Aramaio,Percentage,Aramaio,3.4
2019,PROT,ADM_MUN,,,Aramaio,Percentage,Aramaio,4.3
2020,PROT,ADM_MUN,,,Aramaio,Percentage,Aramaio,4.5
2021,PROT,ADM_MUN,,,Aramaio,Percentage,Aramaio,3.9
2017,ESED,ADM_MUN,,,Artziniega,Percentage,Artziniega,0.0
2018,ESED,ADM_MUN,,,Artziniega,Percentage,Artziniega,8.1
2019,ESED,ADM_MUN,,,Artziniega,Percentage,Artziniega,7.0
2020,ESED,ADM_MUN,,,Artziniega,Percentage,Artziniega,5.7
2021,ESED,ADM_MUN,,,Artziniega,Percentage,Artziniega,5.1
2017,ESSRV,ADM_MUN,,,Artziniega,Percentage,Artziniega,9.7
2018,ESSRV,ADM_MUN,,,Artziniega,Percentage,Artziniega,16.5
2019,ESSRV,ADM_MUN,,,Artziniega,Percentage,Artziniega,15.3
2020,ESSRV,ADM_MUN,,,Artziniega,Percentage,Artziniega,13.6
2021,ESSRV,ADM_MUN,,,Artziniega,Percentage,Artziniega,10.8
2017,HLTH,ADM_MUN,,,Artziniega,Percentage,Artziniega,0.2
2018,HLTH,ADM_MUN,,,Artziniega,Percentage,Artziniega,0.3
2019,HLTH,ADM_MUN,,,Artziniega,Percentage,Artziniega,0.3
2020,HLTH,ADM_MUN,,,Artziniega,Percentage,Artziniega,0.3
2021,HLTH,ADM_MUN,,,Artziniega,Percentage,Artziniega,0.2
2017,PROT,ADM_MUN,,,Artziniega,Percentage,Artziniega,9.5
2018,PROT,ADM_MUN,,,Artziniega,Percentage,Artziniega,8.1
2019,PROT,ADM_MUN,,,Artziniega,Percentage,Artziniega,8.0
2020,PROT,ADM_MUN,,,Artziniega,Percentage,Artziniega,7.6
2021,PROT,ADM_MUN,,,Artziniega,Percentage,Artziniega,5.5
2017,ESED,ADM_MUN,,,Armiñón,Percentage,Armiñón,5.1
2018,ESED,ADM_MUN,,,Armiñón,Percentage,Armiñón,6.3
2019,ESED,ADM_MUN,,,Armiñón,Percentage,Armiñón,9.5
2020,ESED,ADM_MUN,,,Armiñón,Percentage,Armiñón,0.0
2021,ESED,ADM_MUN,,,Armiñón,Percentage,Armiñón,6.3
2017,ESSRV,ADM_MUN,,,Armiñón,Percentage,Armiñón,6.3
2018,ESSRV,ADM_MUN,,,Armiñón,Percentage,Armiñón,6.7
2019,ESSRV,ADM_MUN,,,Armiñón,Percentage,Armiñón,10.0
2020,ESSRV,ADM_MUN,,,Armiñón,Percentage,Armiñón,1.4
2021,ESSRV,ADM_MUN,,,Armiñón,Percentage,Armiñón,7.8
2017,HLTH,ADM_MUN,,,Armiñón,Percentage,Armiñón,0.5
2018,HLTH,ADM_MUN,,,Armiñón,Percentage,Armiñón,0.3
2019,HLTH,ADM_MUN,,,Armiñón,Percentage,Armiñón,0.0
2020,HLTH,ADM_MUN,,,Armiñón,Percentage,Armiñón,0.2
2021,HLTH,ADM_MUN,,,Armiñón,Percentage,Armiñón,0.0
2017,PROT,ADM_MUN,,,Armiñón,Percentage,Armiñón,0.6
2018,PROT,ADM_MUN,,,Armiñón,Percentage,Armiñón,0.1
2019,PROT,ADM_MUN,,,Armiñón,Percentage,Armiñón,0.5
2020,PROT,ADM_MUN,,,Armiñón,Percentage,Armiñón,1.2
2021,PROT,ADM_MUN,,,Armiñón,Percentage,Armiñón,1.4
2017,ESED,ADM_MUN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,0.7
2018,ESED,ADM_MUN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,0.8
2019,ESED,ADM_MUN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,0.6
2020,ESED,ADM_MUN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,0.5
2021,ESED,ADM_MUN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,0.7
2017,ESSRV,ADM_MUN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,5.8
2018,ESSRV,ADM_MUN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,4.7
2019,ESSRV,ADM_MUN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,7.5
2020,ESSRV,ADM_MUN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,5.8
2021,ESSRV,ADM_MUN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,6.7
2017,HLTH,ADM_MUN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,0.7
2018,HLTH,ADM_MUN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,0.9
2019,HLTH,ADM_MUN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,1.3
2020,HLTH,ADM_MUN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,1.6
2021,HLTH,ADM_MUN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,2.5
2017,PROT,ADM_MUN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,4.4
2018,PROT,ADM_MUN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,2.9
2019,PROT,ADM_MUN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,5.6
2020,PROT,ADM_MUN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,3.6
2021,PROT,ADM_MUN,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,3.5
2017,ESED,ADM_MUN,,,Asparrena,Percentage,Asparrena,3.5
2018,ESED,ADM_MUN,,,Asparrena,Percentage,Asparrena,5.0
2019,ESED,ADM_MUN,,,Asparrena,Percentage,Asparrena,6.5
2020,ESED,ADM_MUN,,,Asparrena,Percentage,Asparrena,6.9
2021,ESED,ADM_MUN,,,Asparrena,Percentage,Asparrena,16.1
2017,ESSRV,ADM_MUN,,,Asparrena,Percentage,Asparrena,13.9
2018,ESSRV,ADM_MUN,,,Asparrena,Percentage,Asparrena,22.9
2019,ESSRV,ADM_MUN,,,Asparrena,Percentage,Asparrena,22.6
2020,ESSRV,ADM_MUN,,,Asparrena,Percentage,Asparrena,21.0
2021,ESSRV,ADM_MUN,,,Asparrena,Percentage,Asparrena,32.6
2017,HLTH,ADM_MUN,,,Asparrena,Percentage,Asparrena,3.9
2018,HLTH,ADM_MUN,,,Asparrena,Percentage,Asparrena,9.5
2019,HLTH,ADM_MUN,,,Asparrena,Percentage,Asparrena,5.5
2020,HLTH,ADM_MUN,,,Asparrena,Percentage,Asparrena,3.6
2021,HLTH,ADM_MUN,,,Asparrena,Percentage,Asparrena,6.3
2017,PROT,ADM_MUN,,,Asparrena,Percentage,Asparrena,6.4
2018,PROT,ADM_MUN,,,Asparrena,Percentage,Asparrena,8.5
2019,PROT,ADM_MUN,,,Asparrena,Percentage,Asparrena,10.6
2020,PROT,ADM_MUN,,,Asparrena,Percentage,Asparrena,10.5
2021,PROT,ADM_MUN,,,Asparrena,Percentage,Asparrena,10.2
2017,ESED,ADM_MUN,,ES0101,,Percentage,ES0101,7.0
2018,ESED,ADM_MUN,,ES0101,,Percentage,ES0101,6.4
2019,ESED,ADM_MUN,,ES0101,,Percentage,ES0101,6.8
2020,ESED,ADM_MUN,,ES0101,,Percentage,ES0101,6.5
2021,ESED,ADM_MUN,,ES0101,,Percentage,ES0101,7.4
2017,ESSRV,ADM_MUN,,ES0101,,Percentage,ES0101,15.4
2018,ESSRV,ADM_MUN,,ES0101,,Percentage,ES0101,15.2
2019,ESSRV,ADM_MUN,,ES0101,,Percentage,ES0101,15.5
2020,ESSRV,ADM_MUN,,ES0101,,Percentage,ES0101,16.1
2021,ESSRV,ADM_MUN,,ES0101,,Percentage,ES0101,15.8
2017,HLTH,ADM_MUN,,ES0101,,Percentage,ES0101,1.3
2018,HLTH,ADM_MUN,,ES0101,,Percentage,ES0101,0.9
2019,HLTH,ADM_MUN,,ES0101,,Percentage,ES0101,1.0
2020,HLTH,ADM_MUN,,ES0101,,Percentage,ES0101,1.6
2021,HLTH,ADM_MUN,,ES0101,,Percentage,ES0101,0.9
2017,PROT,ADM_MUN,,ES0101,,Percentage,ES0101,7.0
2018,PROT,ADM_MUN,,ES0101,,Percentage,ES0101,7.9
2019,PROT,ADM_MUN,,ES0101,,Percentage,ES0101,7.7
2020,PROT,ADM_MUN,,ES0101,,Percentage,ES0101,8.0
2021,PROT,ADM_MUN,,ES0101,,Percentage,ES0101,7.5
2017,ESED,ADM_MUN,,,Ayala/Aiara,Percentage,Ayala/Aiara,2.3
2018,ESED,ADM_MUN,,,Ayala/Aiara,Percentage,Ayala/Aiara,8.6
2019,ESED,ADM_MUN,,,Ayala/Aiara,Percentage,Ayala/Aiara,2.5
2020,ESED,ADM_MUN,,,Ayala/Aiara,Percentage,Ayala/Aiara,2.6
2021,ESED,ADM_MUN,,,Ayala/Aiara,Percentage,Ayala/Aiara,2.4
2017,ESSRV,ADM_MUN,,,Ayala/Aiara,Percentage,Ayala/Aiara,27.3
2018,ESSRV,ADM_MUN,,,Ayala/Aiara,Percentage,Ayala/Aiara,17.9
2019,ESSRV,ADM_MUN,,,Ayala/Aiara,Percentage,Ayala/Aiara,18.4
2020,ESSRV,ADM_MUN,,,Ayala/Aiara,Percentage,Ayala/Aiara,17.5
2021,ESSRV,ADM_MUN,,,Ayala/Aiara,Percentage,Ayala/Aiara,17.5
2017,HLTH,ADM_MUN,,,Ayala/Aiara,Percentage,Ayala/Aiara,11.5
2018,HLTH,ADM_MUN,,,Ayala/Aiara,Percentage,Ayala/Aiara,2.9
2019,HLTH,ADM_MUN,,,Ayala/Aiara,Percentage,Ayala/Aiara,1.1
2020,HLTH,ADM_MUN,,,Ayala/Aiara,Percentage,Ayala/Aiara,1.1
2021,HLTH,ADM_MUN,,,Ayala/Aiara,Percentage,Ayala/Aiara,0.9
2017,PROT,ADM_MUN,,,Ayala/Aiara,Percentage,Ayala/Aiara,13.5
2018,PROT,ADM_MUN,,,Ayala/Aiara,Percentage,Ayala/Aiara,6.4
2019,PROT,ADM_MUN,,,Ayala/Aiara,Percentage,Ayala/Aiara,14.8
2020,PROT,ADM_MUN,,,Ayala/Aiara,Percentage,Ayala/Aiara,13.9
2021,PROT,ADM_MUN,,,Ayala/Aiara,Percentage,Ayala/Aiara,14.2
2017,ESED,ADM_MUN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,0.3
2018,ESED,ADM_MUN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,1.0
2019,ESED,ADM_MUN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,0.7
2020,ESED,ADM_MUN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,0.8
2021,ESED,ADM_MUN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,1.0
2017,ESSRV,ADM_MUN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,1.2
2018,ESSRV,ADM_MUN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,6.8
2019,ESSRV,ADM_MUN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,2.8
2020,ESSRV,ADM_MUN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,5.1
2021,ESSRV,ADM_MUN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,5.5
2017,HLTH,ADM_MUN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,0.1
2018,HLTH,ADM_MUN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,0.6
2019,HLTH,ADM_MUN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,0.3
2020,HLTH,ADM_MUN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,2.0
2021,HLTH,ADM_MUN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,2.4
2017,PROT,ADM_MUN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,0.8
2018,PROT,ADM_MUN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,5.3
2019,PROT,ADM_MUN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,1.7
2020,PROT,ADM_MUN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,2.3
2021,PROT,ADM_MUN,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,2.0
2017,ESED,ADM_MUN,,,Barrundia,Percentage,Barrundia,4.1
2018,ESED,ADM_MUN,,,Barrundia,Percentage,Barrundia,4.1
2019,ESED,ADM_MUN,,,Barrundia,Percentage,Barrundia,5.8
2020,ESED,ADM_MUN,,,Barrundia,Percentage,Barrundia,14.4
2021,ESED,ADM_MUN,,,Barrundia,Percentage,Barrundia,10.3
2017,ESSRV,ADM_MUN,,,Barrundia,Percentage,Barrundia,5.2
2018,ESSRV,ADM_MUN,,,Barrundia,Percentage,Barrundia,4.6
2019,ESSRV,ADM_MUN,,,Barrundia,Percentage,Barrundia,6.5
2020,ESSRV,ADM_MUN,,,Barrundia,Percentage,Barrundia,15.3
2021,ESSRV,ADM_MUN,,,Barrundia,Percentage,Barrundia,11.1
2017,HLTH,ADM_MUN,,,Barrundia,Percentage,Barrundia,0.4
2018,HLTH,ADM_MUN,,,Barrundia,Percentage,Barrundia,0.2
2019,HLTH,ADM_MUN,,,Barrundia,Percentage,Barrundia,0.2
2020,HLTH,ADM_MUN,,,Barrundia,Percentage,Barrundia,0.2
2021,HLTH,ADM_MUN,,,Barrundia,Percentage,Barrundia,0.3
2017,PROT,ADM_MUN,,,Barrundia,Percentage,Barrundia,0.6
2018,PROT,ADM_MUN,,,Barrundia,Percentage,Barrundia,0.3
2019,PROT,ADM_MUN,,,Barrundia,Percentage,Barrundia,0.5
2020,PROT,ADM_MUN,,,Barrundia,Percentage,Barrundia,0.7
2021,PROT,ADM_MUN,,,Barrundia,Percentage,Barrundia,0.5
2017,ESED,ADM_MUN,,,Berantevilla,Percentage,Berantevilla,1.8
2018,ESED,ADM_MUN,,,Berantevilla,Percentage,Berantevilla,2.6
2019,ESED,ADM_MUN,,,Berantevilla,Percentage,Berantevilla,1.9
2020,ESED,ADM_MUN,,,Berantevilla,Percentage,Berantevilla,1.2
2021,ESED,ADM_MUN,,,Berantevilla,Percentage,Berantevilla,2.1
2017,ESSRV,ADM_MUN,,,Berantevilla,Percentage,Berantevilla,11.4
2018,ESSRV,ADM_MUN,,,Berantevilla,Percentage,Berantevilla,7.0
2019,ESSRV,ADM_MUN,,,Berantevilla,Percentage,Berantevilla,5.4
2020,ESSRV,ADM_MUN,,,Berantevilla,Percentage,Berantevilla,5.2
2021,ESSRV,ADM_MUN,,,Berantevilla,Percentage,Berantevilla,7.5
2017,HLTH,ADM_MUN,,,Berantevilla,Percentage,Berantevilla,9.4
2018,HLTH,ADM_MUN,,,Berantevilla,Percentage,Berantevilla,3.4
2019,HLTH,ADM_MUN,,,Berantevilla,Percentage,Berantevilla,2.5
2020,HLTH,ADM_MUN,,,Berantevilla,Percentage,Berantevilla,1.6
2021,HLTH,ADM_MUN,,,Berantevilla,Percentage,Berantevilla,2.5
2017,PROT,ADM_MUN,,,Berantevilla,Percentage,Berantevilla,0.2
2018,PROT,ADM_MUN,,,Berantevilla,Percentage,Berantevilla,0.9
2019,PROT,ADM_MUN,,,Berantevilla,Percentage,Berantevilla,1.0
2020,PROT,ADM_MUN,,,Berantevilla,Percentage,Berantevilla,2.4
2021,PROT,ADM_MUN,,,Berantevilla,Percentage,Berantevilla,2.8
2017,ESED,ADM_MUN,,,Bernedo,Percentage,Bernedo,3.7
2018,ESED,ADM_MUN,,,Bernedo,Percentage,Bernedo,3.1
2019,ESED,ADM_MUN,,,Bernedo,Percentage,Bernedo,1.0
2020,ESED,ADM_MUN,,,Bernedo,Percentage,Bernedo,1.8
2021,ESED,ADM_MUN,,,Bernedo,Percentage,Bernedo,1.5
2017,ESSRV,ADM_MUN,,,Bernedo,Percentage,Bernedo,9.9
2018,ESSRV,ADM_MUN,,,Bernedo,Percentage,Bernedo,10.7
2019,ESSRV,ADM_MUN,,,Bernedo,Percentage,Bernedo,10.8
2020,ESSRV,ADM_MUN,,,Bernedo,Percentage,Bernedo,11.7
2021,ESSRV,ADM_MUN,,,Bernedo,Percentage,Bernedo,13.9
2017,HLTH,ADM_MUN,,,Bernedo,Percentage,Bernedo,2.9
2018,HLTH,ADM_MUN,,,Bernedo,Percentage,Bernedo,2.4
2019,HLTH,ADM_MUN,,,Bernedo,Percentage,Bernedo,1.7
2020,HLTH,ADM_MUN,,,Bernedo,Percentage,Bernedo,3.3
2021,HLTH,ADM_MUN,,,Bernedo,Percentage,Bernedo,4.9
2017,PROT,ADM_MUN,,,Bernedo,Percentage,Bernedo,3.3
2018,PROT,ADM_MUN,,,Bernedo,Percentage,Bernedo,5.2
2019,PROT,ADM_MUN,,,Bernedo,Percentage,Bernedo,8.1
2020,PROT,ADM_MUN,,,Bernedo,Percentage,Bernedo,6.6
2021,PROT,ADM_MUN,,,Bernedo,Percentage,Bernedo,7.5
2017,ESED,ADM_MUN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,6.8
2018,ESED,ADM_MUN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,6.6
2019,ESED,ADM_MUN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,5.2
2020,ESED,ADM_MUN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,3.9
2021,ESED,ADM_MUN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,0.0
2017,ESSRV,ADM_MUN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,22.0
2018,ESSRV,ADM_MUN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,28.1
2019,ESSRV,ADM_MUN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,24.6
2020,ESSRV,ADM_MUN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,18.3
2021,ESSRV,ADM_MUN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,31.2
2017,HLTH,ADM_MUN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,0.6
2018,HLTH,ADM_MUN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,0.0
2019,HLTH,ADM_MUN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,0.0
2020,HLTH,ADM_MUN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,0.0
2021,HLTH,ADM_MUN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,0.0
2017,PROT,ADM_MUN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,14.6
2018,PROT,ADM_MUN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,21.5
2019,PROT,ADM_MUN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,19.4
2020,PROT,ADM_MUN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,14.4
2021,PROT,ADM_MUN,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,31.2
2017,ESED,ADM_MUN,,,Zigoitia,Percentage,Zigoitia,5.0
2018,ESED,ADM_MUN,,,Zigoitia,Percentage,Zigoitia,3.2
2019,ESED,ADM_MUN,,,Zigoitia,Percentage,Zigoitia,4.0
2020,ESED,ADM_MUN,,,Zigoitia,Percentage,Zigoitia,4.4
2021,ESED,ADM_MUN,,,Zigoitia,Percentage,Zigoitia,5.4
2017,ESSRV,ADM_MUN,,,Zigoitia,Percentage,Zigoitia,13.0
2018,ESSRV,ADM_MUN,,,Zigoitia,Percentage,Zigoitia,10.3
2019,ESSRV,ADM_MUN,,,Zigoitia,Percentage,Zigoitia,12.9
2020,ESSRV,ADM_MUN,,,Zigoitia,Percentage,Zigoitia,11.6
2021,ESSRV,ADM_MUN,,,Zigoitia,Percentage,Zigoitia,13.7
2017,HLTH,ADM_MUN,,,Zigoitia,Percentage,Zigoitia,0.7
2018,HLTH,ADM_MUN,,,Zigoitia,Percentage,Zigoitia,0.6
2019,HLTH,ADM_MUN,,,Zigoitia,Percentage,Zigoitia,1.8
2020,HLTH,ADM_MUN,,,Zigoitia,Percentage,Zigoitia,0.5
2021,HLTH,ADM_MUN,,,Zigoitia,Percentage,Zigoitia,0.3
2017,PROT,ADM_MUN,,,Zigoitia,Percentage,Zigoitia,7.3
2018,PROT,ADM_MUN,,,Zigoitia,Percentage,Zigoitia,6.4
2019,PROT,ADM_MUN,,,Zigoitia,Percentage,Zigoitia,7.1
2020,PROT,ADM_MUN,,,Zigoitia,Percentage,Zigoitia,6.8
2021,PROT,ADM_MUN,,,Zigoitia,Percentage,Zigoitia,8.0
2017,ESED,ADM_MUN,,,Kripan,Percentage,Kripan,2.0
2018,ESED,ADM_MUN,,,Kripan,Percentage,Kripan,2.4
