Year,Province,County,Municipality,Unidad,GeoCode,Value
2018,,,Aramaio,"Per 1,000 people",Aramaio,0.0
2019,,,Aramaio,"Per 1,000 people",Aramaio,0.0
2020,,,Aramaio,"Per 1,000 people",Aramaio,0.0
2021,,,Aramaio,"Per 1,000 people",Aramaio,0.0
2022,,,Aramaio,"Per 1,000 people",Aramaio,0.0
2010,,,Artziniega,"Per 1,000 people",Artziniega,0.0
2011,,,Artziniega,"Per 1,000 people",Artziniega,0.0
2012,,,Artziniega,"Per 1,000 people",Artziniega,0.0
2013,,,Artziniega,"Per 1,000 people",Artziniega,0.0
2014,,,Artziniega,"Per 1,000 people",Artziniega,0.0
2015,,,Artziniega,"Per 1,000 people",Artziniega,0.0
2016,,,Artziniega,"Per 1,000 people",Artziniega,0.0
2017,,,Artziniega,"Per 1,000 people",Artziniega,0.0
2018,,,Artziniega,"Per 1,000 people",Artziniega,0.0
2019,,,Artziniega,"Per 1,000 people",Artziniega,0.0
2020,,,Artziniega,"Per 1,000 people",Artziniega,0.0
2021,,,Artziniega,"Per 1,000 people",Artziniega,0.0
2022,,,Artziniega,"Per 1,000 people",Artziniega,0.0
2010,,,Armiñón,"Per 1,000 people",Armiñón,0.0
2011,,,Armiñón,"Per 1,000 people",Armiñón,0.0
2012,,,Armiñón,"Per 1,000 people",Armiñón,0.0
2013,,,Armiñón,"Per 1,000 people",Armiñón,0.0
2014,,,Armiñón,"Per 1,000 people",Armiñón,0.0
2015,,,Armiñón,"Per 1,000 people",Armiñón,0.0
2016,,,Armiñón,"Per 1,000 people",Armiñón,0.0
2017,,,Armiñón,"Per 1,000 people",Armiñón,0.0
2018,,,Armiñón,"Per 1,000 people",Armiñón,0.0
2019,,,Armiñón,"Per 1,000 people",Armiñón,0.0
2020,,,Armiñón,"Per 1,000 people",Armiñón,0.0
2021,,,Armiñón,"Per 1,000 people",Armiñón,0.0
2022,,,Armiñón,"Per 1,000 people",Armiñón,0.0
2010,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,0.0
2011,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,0.0
2012,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,0.0
2013,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,0.0
2014,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,0.0
2015,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,0.0
2016,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,0.0
2017,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,0.0
2018,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,0.0
2019,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,0.0
2020,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,0.0
2021,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,0.0
2022,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,0.0
2010,,,Asparrena,"Per 1,000 people",Asparrena,0.0
2011,,,Asparrena,"Per 1,000 people",Asparrena,0.0
2012,,,Asparrena,"Per 1,000 people",Asparrena,0.0
2013,,,Asparrena,"Per 1,000 people",Asparrena,0.0
2014,,,Asparrena,"Per 1,000 people",Asparrena,0.0
2015,,,Asparrena,"Per 1,000 people",Asparrena,0.0
2016,,,Asparrena,"Per 1,000 people",Asparrena,0.0
2017,,,Asparrena,"Per 1,000 people",Asparrena,0.0
2018,,,Asparrena,"Per 1,000 people",Asparrena,0.0
2019,,,Asparrena,"Per 1,000 people",Asparrena,0.0
2020,,,Asparrena,"Per 1,000 people",Asparrena,0.0
2021,,,Asparrena,"Per 1,000 people",Asparrena,0.0
2022,,,Asparrena,"Per 1,000 people",Asparrena,0.0
2010,,ES0101,,"Per 1,000 people",ES0101,0.7
2011,,ES0101,,"Per 1,000 people",ES0101,0.0
2012,,ES0101,,"Per 1,000 people",ES0101,0.0
2013,,ES0101,,"Per 1,000 people",ES0101,0.0
2014,,ES0101,,"Per 1,000 people",ES0101,0.0
2015,,ES0101,,"Per 1,000 people",ES0101,0.0
2016,,ES0101,,"Per 1,000 people",ES0101,0.0
2017,,ES0101,,"Per 1,000 people",ES0101,0.0
2018,,ES0101,,"Per 1,000 people",ES0101,0.0
2019,,ES0101,,"Per 1,000 people",ES0101,0.0
2020,,ES0101,,"Per 1,000 people",ES0101,0.0
2021,,ES0101,,"Per 1,000 people",ES0101,0.0
2022,,ES0101,,"Per 1,000 people",ES0101,0.0
2010,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,0.0
2011,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,0.0
2012,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,0.0
2013,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,0.0
2014,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,0.0
2015,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,0.0
2016,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,0.0
2017,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,0.0
2018,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,0.0
2019,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,0.0
2020,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,0.0
2021,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,0.0
2022,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,0.0
2010,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,0.0
2011,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,0.0
2012,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,0.0
2013,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,0.0
2014,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,0.0
2015,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,0.0
2016,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,0.0
2017,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,0.0
2018,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,0.0
2019,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,0.0
2020,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,0.0
2021,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,0.0
2022,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,0.0
2010,,,Barrundia,"Per 1,000 people",Barrundia,0.0
2011,,,Barrundia,"Per 1,000 people",Barrundia,0.0
2012,,,Barrundia,"Per 1,000 people",Barrundia,0.0
2013,,,Barrundia,"Per 1,000 people",Barrundia,0.0
2014,,,Barrundia,"Per 1,000 people",Barrundia,0.0
2015,,,Barrundia,"Per 1,000 people",Barrundia,0.0
2016,,,Barrundia,"Per 1,000 people",Barrundia,0.0
2017,,,Barrundia,"Per 1,000 people",Barrundia,0.0
2018,,,Barrundia,"Per 1,000 people",Barrundia,0.0
2019,,,Barrundia,"Per 1,000 people",Barrundia,0.0
2020,,,Barrundia,"Per 1,000 people",Barrundia,0.0
2021,,,Barrundia,"Per 1,000 people",Barrundia,0.0
2022,,,Barrundia,"Per 1,000 people",Barrundia,0.0
2010,,,Berantevilla,"Per 1,000 people",Berantevilla,0.0
2011,,,Berantevilla,"Per 1,000 people",Berantevilla,0.0
2012,,,Berantevilla,"Per 1,000 people",Berantevilla,0.0
2013,,,Berantevilla,"Per 1,000 people",Berantevilla,0.0
2014,,,Berantevilla,"Per 1,000 people",Berantevilla,0.0
2015,,,Berantevilla,"Per 1,000 people",Berantevilla,0.0
2016,,,Berantevilla,"Per 1,000 people",Berantevilla,0.0
2017,,,Berantevilla,"Per 1,000 people",Berantevilla,0.0
2018,,,Berantevilla,"Per 1,000 people",Berantevilla,0.0
2019,,,Berantevilla,"Per 1,000 people",Berantevilla,0.0
2020,,,Berantevilla,"Per 1,000 people",Berantevilla,0.0
2021,,,Berantevilla,"Per 1,000 people",Berantevilla,0.0
2022,,,Berantevilla,"Per 1,000 people",Berantevilla,0.0
2010,,,Bernedo,"Per 1,000 people",Bernedo,0.0
2011,,,Bernedo,"Per 1,000 people",Bernedo,0.0
2012,,,Bernedo,"Per 1,000 people",Bernedo,0.0
2013,,,Bernedo,"Per 1,000 people",Bernedo,0.0
2014,,,Bernedo,"Per 1,000 people",Bernedo,0.0
2015,,,Bernedo,"Per 1,000 people",Bernedo,0.0
2016,,,Bernedo,"Per 1,000 people",Bernedo,0.0
2017,,,Bernedo,"Per 1,000 people",Bernedo,0.0
2018,,,Bernedo,"Per 1,000 people",Bernedo,0.0
2019,,,Bernedo,"Per 1,000 people",Bernedo,0.0
2020,,,Bernedo,"Per 1,000 people",Bernedo,0.0
2021,,,Bernedo,"Per 1,000 people",Bernedo,0.0
2022,,,Bernedo,"Per 1,000 people",Bernedo,0.0
2010,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,0.0
2011,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,0.0
2012,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,0.0
2013,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,0.0
2014,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,0.0
2015,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,0.0
2016,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,0.0
2017,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,0.0
2018,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,0.0
2019,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,0.0
2020,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,0.0
2021,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,0.0
2022,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,0.0
2010,,,Zigoitia,"Per 1,000 people",Zigoitia,0.0
2011,,,Zigoitia,"Per 1,000 people",Zigoitia,0.0
2012,,,Zigoitia,"Per 1,000 people",Zigoitia,0.0
2013,,,Zigoitia,"Per 1,000 people",Zigoitia,0.0
2014,,,Zigoitia,"Per 1,000 people",Zigoitia,0.0
2015,,,Zigoitia,"Per 1,000 people",Zigoitia,0.0
2016,,,Zigoitia,"Per 1,000 people",Zigoitia,0.0
2017,,,Zigoitia,"Per 1,000 people",Zigoitia,0.0
2018,,,Zigoitia,"Per 1,000 people",Zigoitia,0.0
2019,,,Zigoitia,"Per 1,000 people",Zigoitia,0.0
2020,,,Zigoitia,"Per 1,000 people",Zigoitia,0.0
2021,,,Zigoitia,"Per 1,000 people",Zigoitia,0.0
2022,,,Zigoitia,"Per 1,000 people",Zigoitia,0.0
2010,,,Kripan,"Per 1,000 people",Kripan,0.0
2011,,,Kripan,"Per 1,000 people",Kripan,0.0
2012,,,Kripan,"Per 1,000 people",Kripan,0.0
2013,,,Kripan,"Per 1,000 people",Kripan,0.0
2014,,,Kripan,"Per 1,000 people",Kripan,0.0
2015,,,Kripan,"Per 1,000 people",Kripan,0.0
2016,,,Kripan,"Per 1,000 people",Kripan,0.0
2017,,,Kripan,"Per 1,000 people",Kripan,0.0
2018,,,Kripan,"Per 1,000 people",Kripan,0.0
2019,,,Kripan,"Per 1,000 people",Kripan,0.0
2020,,,Kripan,"Per 1,000 people",Kripan,0.0
2021,,,Kripan,"Per 1,000 people",Kripan,0.0
2022,,,Kripan,"Per 1,000 people",Kripan,0.0
2010,,ES0102,,"Per 1,000 people",ES0102,10.3
2011,,ES0102,,"Per 1,000 people",ES0102,7.5
2012,,ES0102,,"Per 1,000 people",ES0102,7.4
2013,,ES0102,,"Per 1,000 people",ES0102,6.0
2014,,ES0102,,"Per 1,000 people",ES0102,4.6
2015,,ES0102,,"Per 1,000 people",ES0102,1.7
2016,,ES0102,,"Per 1,000 people",ES0102,1.5
2017,,ES0102,,"Per 1,000 people",ES0102,1.5
2018,,ES0102,,"Per 1,000 people",ES0102,1.5
2019,,ES0102,,"Per 1,000 people",ES0102,0.5
2020,,ES0102,,"Per 1,000 people",ES0102,0.7
2021,,ES0102,,"Per 1,000 people",ES0102,0.3
2022,,ES0102,,"Per 1,000 people",ES0102,0.7
2010,,,Kuartango,"Per 1,000 people",Kuartango,0.0
2011,,,Kuartango,"Per 1,000 people",Kuartango,0.0
2012,,,Kuartango,"Per 1,000 people",Kuartango,0.0
2013,,,Kuartango,"Per 1,000 people",Kuartango,0.0
2014,,,Kuartango,"Per 1,000 people",Kuartango,0.0
2015,,,Kuartango,"Per 1,000 people",Kuartango,0.0
2016,,,Kuartango,"Per 1,000 people",Kuartango,0.0
2017,,,Kuartango,"Per 1,000 people",Kuartango,0.0
2018,,,Kuartango,"Per 1,000 people",Kuartango,0.0
2019,,,Kuartango,"Per 1,000 people",Kuartango,0.0
2020,,,Kuartango,"Per 1,000 people",Kuartango,0.0
2021,,,Kuartango,"Per 1,000 people",Kuartango,0.0
2022,,,Kuartango,"Per 1,000 people",Kuartango,0.0
2010,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,0.0
2011,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,0.0
2012,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,0.0
2013,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,0.0
2014,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,0.0
2015,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,0.0
2016,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,0.0
2017,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,0.0
2018,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,0.0
2019,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,0.0
2020,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,0.0
2021,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,0.0
2022,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,0.0
2010,,,Elciego,"Per 1,000 people",Elciego,0.0
2011,,,Elciego,"Per 1,000 people",Elciego,0.0
2012,,,Elciego,"Per 1,000 people",Elciego,0.0
2013,,,Elciego,"Per 1,000 people",Elciego,0.0
2014,,,Elciego,"Per 1,000 people",Elciego,0.0
2015,,,Elciego,"Per 1,000 people",Elciego,0.0
2016,,,Elciego,"Per 1,000 people",Elciego,0.0
2017,,,Elciego,"Per 1,000 people",Elciego,0.0
2018,,,Elciego,"Per 1,000 people",Elciego,0.0
2019,,,Elciego,"Per 1,000 people",Elciego,0.0
2020,,,Elciego,"Per 1,000 people",Elciego,0.0
2021,,,Elciego,"Per 1,000 people",Elciego,0.0
2022,,,Elciego,"Per 1,000 people",Elciego,0.0
2010,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,0.0
2011,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,0.0
2012,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,0.0
2013,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,0.0
2014,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,0.0
2015,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,0.0
2016,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,0.0
2017,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,0.0
2018,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,0.0
2019,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,0.0
2020,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,0.0
2021,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,0.0
2022,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,0.0
2010,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,0.0
2011,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,0.0
2012,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,0.0
2013,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,0.0
2014,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,0.0
2015,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,0.0
2016,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,0.0
2017,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,0.0
2018,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,0.0
2019,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,0.0
2020,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,0.0
2021,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,0.0
2022,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,0.0
2010,,,Labastida/Bastida,"Per 1,000 people",Labastida/Bastida,0.0
2011,,,Labastida/Bastida,"Per 1,000 people",Labastida/Bastida,0.0
2012,,,Labastida/Bastida,"Per 1,000 people",Labastida/Bastida,0.0
2013,,,Labastida/Bastida,"Per 1,000 people",Labastida/Bastida,0.0
2014,,,Labastida/Bastida,"Per 1,000 people",Labastida/Bastida,0.0
2015,,,Labastida/Bastida,"Per 1,000 people",Labastida/Bastida,0.0
2016,,,Labastida/Bastida,"Per 1,000 people",Labastida/Bastida,0.0
2017,,,Labastida/Bastida,"Per 1,000 people",Labastida/Bastida,0.0
2018,,,Labastida/Bastida,"Per 1,000 people",Labastida/Bastida,0.0
2019,,,Labastida/Bastida,"Per 1,000 people",Labastida/Bastida,0.0
2020,,,Labastida/Bastida,"Per 1,000 people",Labastida/Bastida,0.0
2021,,,Labastida/Bastida,"Per 1,000 people",Labastida/Bastida,0.0
2022,,,Labastida/Bastida,"Per 1,000 people",Labastida/Bastida,0.0
2010,,ES0103,,"Per 1,000 people",ES0103,0.0
2011,,ES0103,,"Per 1,000 people",ES0103,0.0
2012,,ES0103,,"Per 1,000 people",ES0103,0.0
2013,,ES0103,,"Per 1,000 people",ES0103,0.0
2014,,ES0103,,"Per 1,000 people",ES0103,0.0
2015,,ES0103,,"Per 1,000 people",ES0103,0.0
2016,,ES0103,,"Per 1,000 people",ES0103,0.0
2017,,ES0103,,"Per 1,000 people",ES0103,0.0
2018,,ES0103,,"Per 1,000 people",ES0103,0.0
2019,,ES0103,,"Per 1,000 people",ES0103,0.0
2020,,ES0103,,"Per 1,000 people",ES0103,0.0
2021,,ES0103,,"Per 1,000 people",ES0103,0.0
2022,,ES0103,,"Per 1,000 people",ES0103,0.0
2010,,,Lagrán,"Per 1,000 people",Lagrán,0.0
2011,,,Lagrán,"Per 1,000 people",Lagrán,0.0
2012,,,Lagrán,"Per 1,000 people",Lagrán,0.0
2013,,,Lagrán,"Per 1,000 people",Lagrán,0.0
2014,,,Lagrán,"Per 1,000 people",Lagrán,0.0
2015,,,Lagrán,"Per 1,000 people",Lagrán,0.0
2016,,,Lagrán,"Per 1,000 people",Lagrán,0.0
2017,,,Lagrán,"Per 1,000 people",Lagrán,0.0
2018,,,Lagrán,"Per 1,000 people",Lagrán,0.0
2019,,,Lagrán,"Per 1,000 people",Lagrán,0.0
2020,,,Lagrán,"Per 1,000 people",Lagrán,0.0
2021,,,Lagrán,"Per 1,000 people",Lagrán,0.0
2022,,,Lagrán,"Per 1,000 people",Lagrán,0.0
2010,,,Laguardia,"Per 1,000 people",Laguardia,0.0
2011,,,Laguardia,"Per 1,000 people",Laguardia,0.0
2012,,,Laguardia,"Per 1,000 people",Laguardia,0.0
2013,,,Laguardia,"Per 1,000 people",Laguardia,0.0
2014,,,Laguardia,"Per 1,000 people",Laguardia,0.0
2015,,,Laguardia,"Per 1,000 people",Laguardia,0.0
2016,,,Laguardia,"Per 1,000 people",Laguardia,0.0
2017,,,Laguardia,"Per 1,000 people",Laguardia,0.0
2018,,,Laguardia,"Per 1,000 people",Laguardia,0.0
2019,,,Laguardia,"Per 1,000 people",Laguardia,0.0
2020,,,Laguardia,"Per 1,000 people",Laguardia,0.0
2021,,,Laguardia,"Per 1,000 people",Laguardia,0.0
2022,,,Laguardia,"Per 1,000 people",Laguardia,0.0
2010,,,Lanciego/Lantziego,"Per 1,000 people",Lanciego/Lantziego,0.0
2011,,,Lanciego/Lantziego,"Per 1,000 people",Lanciego/Lantziego,0.0
2012,,,Lanciego/Lantziego,"Per 1,000 people",Lanciego/Lantziego,0.0
2013,,,Lanciego/Lantziego,"Per 1,000 people",Lanciego/Lantziego,0.0
2014,,,Lanciego/Lantziego,"Per 1,000 people",Lanciego/Lantziego,0.0
2015,,,Lanciego/Lantziego,"Per 1,000 people",Lanciego/Lantziego,0.0
2016,,,Lanciego/Lantziego,"Per 1,000 people",Lanciego/Lantziego,0.0
2017,,,Lanciego/Lantziego,"Per 1,000 people",Lanciego/Lantziego,0.0
2018,,,Lanciego/Lantziego,"Per 1,000 people",Lanciego/Lantziego,0.0
2019,,,Lanciego/Lantziego,"Per 1,000 people",Lanciego/Lantziego,0.0
2020,,,Lanciego/Lantziego,"Per 1,000 people",Lanciego/Lantziego,0.0
2021,,,Lanciego/Lantziego,"Per 1,000 people",Lanciego/Lantziego,0.0
2022,,,Lanciego/Lantziego,"Per 1,000 people",Lanciego/Lantziego,0.0
2010,,,Lapuebla de Labarca,"Per 1,000 people",Lapuebla de Labarca,0.0
2011,,,Lapuebla de Labarca,"Per 1,000 people",Lapuebla de Labarca,0.0
2012,,,Lapuebla de Labarca,"Per 1,000 people",Lapuebla de Labarca,0.0
2013,,,Lapuebla de Labarca,"Per 1,000 people",Lapuebla de Labarca,0.0
2014,,,Lapuebla de Labarca,"Per 1,000 people",Lapuebla de Labarca,0.0
2015,,,Lapuebla de Labarca,"Per 1,000 people",Lapuebla de Labarca,0.0
2016,,,Lapuebla de Labarca,"Per 1,000 people",Lapuebla de Labarca,0.0
2017,,,Lapuebla de Labarca,"Per 1,000 people",Lapuebla de Labarca,0.0
2018,,,Lapuebla de Labarca,"Per 1,000 people",Lapuebla de Labarca,0.0
2019,,,Lapuebla de Labarca,"Per 1,000 people",Lapuebla de Labarca,0.0
2020,,,Lapuebla de Labarca,"Per 1,000 people",Lapuebla de Labarca,0.0
2021,,,Lapuebla de Labarca,"Per 1,000 people",Lapuebla de Labarca,0.0
2022,,,Lapuebla de Labarca,"Per 1,000 people",Lapuebla de Labarca,0.0
2010,,,Leza,"Per 1,000 people",Leza,0.0
2011,,,Leza,"Per 1,000 people",Leza,0.0
2012,,,Leza,"Per 1,000 people",Leza,0.0
2013,,,Leza,"Per 1,000 people",Leza,0.0
2014,,,Leza,"Per 1,000 people",Leza,0.0
2015,,,Leza,"Per 1,000 people",Leza,0.0
2016,,,Leza,"Per 1,000 people",Leza,0.0
2017,,,Leza,"Per 1,000 people",Leza,0.0
2018,,,Leza,"Per 1,000 people",Leza,0.0
2019,,,Leza,"Per 1,000 people",Leza,0.0
2020,,,Leza,"Per 1,000 people",Leza,0.0
2021,,,Leza,"Per 1,000 people",Leza,0.0
2022,,,Leza,"Per 1,000 people",Leza,0.0
2010,,,Laudio/Llodio,"Per 1,000 people",Laudio/Llodio,10.7
2011,,,Laudio/Llodio,"Per 1,000 people",Laudio/Llodio,10.7
2012,,,Laudio/Llodio,"Per 1,000 people",Laudio/Llodio,10.7
2013,,,Laudio/Llodio,"Per 1,000 people",Laudio/Llodio,10.6
2014,,,Laudio/Llodio,"Per 1,000 people",Laudio/Llodio,1.3
