Year,ServBasico,Lurraldea,Eskualdea,Udalerria,Unidad,GeoCode,Value
2011,BSRVH2O,,,Ayala/Aiara,Ehunekoa,Ayala/Aiara,99.4
2013,BSRVH2O,,,Ayala/Aiara,Ehunekoa,Ayala/Aiara,99.5
2014,BSRVH2O,,,Ayala/Aiara,Ehunekoa,Ayala/Aiara,99.5
2015,BSRVH2O,,,Ayala/Aiara,Ehunekoa,Ayala/Aiara,99.5
2016,BSRVH2O,,,Ayala/Aiara,Ehunekoa,Ayala/Aiara,99.6
2017,BSRVH2O,,,Ayala/Aiara,Ehunekoa,Ayala/Aiara,99.6
2018,BSRVH2O,,,Ayala/Aiara,Ehunekoa,Ayala/Aiara,99.6
2019,BSRVH2O,,,Ayala/Aiara,Ehunekoa,Ayala/Aiara,99.6
2020,BSRVH2O,,,Ayala/Aiara,Ehunekoa,Ayala/Aiara,99.6
2021,BSRVH2O,,,Ayala/Aiara,Ehunekoa,Ayala/Aiara,99.6
2022,BSRVH2O,,,Ayala/Aiara,Ehunekoa,Ayala/Aiara,99.6
2010,BSRVSAN,,,Ayala/Aiara,Ehunekoa,Ayala/Aiara,99.0
2011,BSRVSAN,,,Ayala/Aiara,Ehunekoa,Ayala/Aiara,98.9
2013,BSRVSAN,,,Ayala/Aiara,Ehunekoa,Ayala/Aiara,99.2
2014,BSRVSAN,,,Ayala/Aiara,Ehunekoa,Ayala/Aiara,99.2
2015,BSRVSAN,,,Ayala/Aiara,Ehunekoa,Ayala/Aiara,99.2
2016,BSRVSAN,,,Ayala/Aiara,Ehunekoa,Ayala/Aiara,99.2
2017,BSRVSAN,,,Ayala/Aiara,Ehunekoa,Ayala/Aiara,99.3
2018,BSRVSAN,,,Ayala/Aiara,Ehunekoa,Ayala/Aiara,99.3
2019,BSRVSAN,,,Ayala/Aiara,Ehunekoa,Ayala/Aiara,99.3
2020,BSRVSAN,,,Ayala/Aiara,Ehunekoa,Ayala/Aiara,99.3
2021,BSRVSAN,,,Ayala/Aiara,Ehunekoa,Ayala/Aiara,99.4
2022,BSRVSAN,,,Ayala/Aiara,Ehunekoa,Ayala/Aiara,99.4
2010,BSRVH2O,,,Baños de Ebro/Mañueta,Ehunekoa,Baños de Ebro/Mañueta,100.0
2011,BSRVH2O,,,Baños de Ebro/Mañueta,Ehunekoa,Baños de Ebro/Mañueta,100.0
2013,BSRVH2O,,,Baños de Ebro/Mañueta,Ehunekoa,Baños de Ebro/Mañueta,100.0
2014,BSRVH2O,,,Baños de Ebro/Mañueta,Ehunekoa,Baños de Ebro/Mañueta,100.0
2015,BSRVH2O,,,Baños de Ebro/Mañueta,Ehunekoa,Baños de Ebro/Mañueta,100.0
2016,BSRVH2O,,,Baños de Ebro/Mañueta,Ehunekoa,Baños de Ebro/Mañueta,100.0
2017,BSRVH2O,,,Baños de Ebro/Mañueta,Ehunekoa,Baños de Ebro/Mañueta,100.0
2018,BSRVH2O,,,Baños de Ebro/Mañueta,Ehunekoa,Baños de Ebro/Mañueta,100.0
2019,BSRVH2O,,,Baños de Ebro/Mañueta,Ehunekoa,Baños de Ebro/Mañueta,100.0
2020,BSRVH2O,,,Baños de Ebro/Mañueta,Ehunekoa,Baños de Ebro/Mañueta,100.0
2021,BSRVH2O,,,Baños de Ebro/Mañueta,Ehunekoa,Baños de Ebro/Mañueta,100.0
2022,BSRVH2O,,,Baños de Ebro/Mañueta,Ehunekoa,Baños de Ebro/Mañueta,100.0
2010,BSRVSAN,,,Baños de Ebro/Mañueta,Ehunekoa,Baños de Ebro/Mañueta,100.0
2011,BSRVSAN,,,Baños de Ebro/Mañueta,Ehunekoa,Baños de Ebro/Mañueta,100.0
2013,BSRVSAN,,,Baños de Ebro/Mañueta,Ehunekoa,Baños de Ebro/Mañueta,100.0
2014,BSRVSAN,,,Baños de Ebro/Mañueta,Ehunekoa,Baños de Ebro/Mañueta,100.0
2015,BSRVSAN,,,Baños de Ebro/Mañueta,Ehunekoa,Baños de Ebro/Mañueta,100.0
2016,BSRVSAN,,,Baños de Ebro/Mañueta,Ehunekoa,Baños de Ebro/Mañueta,100.0
2017,BSRVSAN,,,Baños de Ebro/Mañueta,Ehunekoa,Baños de Ebro/Mañueta,100.0
2018,BSRVSAN,,,Baños de Ebro/Mañueta,Ehunekoa,Baños de Ebro/Mañueta,100.0
2019,BSRVSAN,,,Baños de Ebro/Mañueta,Ehunekoa,Baños de Ebro/Mañueta,100.0
2020,BSRVSAN,,,Baños de Ebro/Mañueta,Ehunekoa,Baños de Ebro/Mañueta,100.0
2021,BSRVSAN,,,Baños de Ebro/Mañueta,Ehunekoa,Baños de Ebro/Mañueta,100.0
2022,BSRVSAN,,,Baños de Ebro/Mañueta,Ehunekoa,Baños de Ebro/Mañueta,100.0
2010,BSRVH2O,,,Barrundia,Ehunekoa,Barrundia,100.0
2011,BSRVH2O,,,Barrundia,Ehunekoa,Barrundia,100.0
2013,BSRVH2O,,,Barrundia,Ehunekoa,Barrundia,100.0
2014,BSRVH2O,,,Barrundia,Ehunekoa,Barrundia,100.0
2015,BSRVH2O,,,Barrundia,Ehunekoa,Barrundia,100.0
2016,BSRVH2O,,,Barrundia,Ehunekoa,Barrundia,100.0
2017,BSRVH2O,,,Barrundia,Ehunekoa,Barrundia,100.0
2018,BSRVH2O,,,Barrundia,Ehunekoa,Barrundia,100.0
2019,BSRVH2O,,,Barrundia,Ehunekoa,Barrundia,100.0
2020,BSRVH2O,,,Barrundia,Ehunekoa,Barrundia,100.0
2021,BSRVH2O,,,Barrundia,Ehunekoa,Barrundia,100.0
2022,BSRVH2O,,,Barrundia,Ehunekoa,Barrundia,100.0
2010,BSRVSAN,,,Barrundia,Ehunekoa,Barrundia,97.2
2011,BSRVSAN,,,Barrundia,Ehunekoa,Barrundia,97.5
2013,BSRVSAN,,,Barrundia,Ehunekoa,Barrundia,97.5
2014,BSRVSAN,,,Barrundia,Ehunekoa,Barrundia,97.5
2015,BSRVSAN,,,Barrundia,Ehunekoa,Barrundia,97.5
2016,BSRVSAN,,,Barrundia,Ehunekoa,Barrundia,97.5
2017,BSRVSAN,,,Barrundia,Ehunekoa,Barrundia,98.0
2018,BSRVSAN,,,Barrundia,Ehunekoa,Barrundia,98.0
2019,BSRVSAN,,,Barrundia,Ehunekoa,Barrundia,98.0
2020,BSRVSAN,,,Barrundia,Ehunekoa,Barrundia,97.7
2021,BSRVSAN,,,Barrundia,Ehunekoa,Barrundia,97.8
2022,BSRVSAN,,,Barrundia,Ehunekoa,Barrundia,97.8
2010,BSRVH2O,,,Berantevilla,Ehunekoa,Berantevilla,100.0
2011,BSRVH2O,,,Berantevilla,Ehunekoa,Berantevilla,100.0
2013,BSRVH2O,,,Berantevilla,Ehunekoa,Berantevilla,100.0
2014,BSRVH2O,,,Berantevilla,Ehunekoa,Berantevilla,100.0
2015,BSRVH2O,,,Berantevilla,Ehunekoa,Berantevilla,100.0
2016,BSRVH2O,,,Berantevilla,Ehunekoa,Berantevilla,100.0
2017,BSRVH2O,,,Berantevilla,Ehunekoa,Berantevilla,100.0
2018,BSRVH2O,,,Berantevilla,Ehunekoa,Berantevilla,100.0
2019,BSRVH2O,,,Berantevilla,Ehunekoa,Berantevilla,100.0
2020,BSRVH2O,,,Berantevilla,Ehunekoa,Berantevilla,100.0
2021,BSRVH2O,,,Berantevilla,Ehunekoa,Berantevilla,100.0
2022,BSRVH2O,,,Berantevilla,Ehunekoa,Berantevilla,100.0
2010,BSRVSAN,,,Berantevilla,Ehunekoa,Berantevilla,97.3
2011,BSRVSAN,,,Berantevilla,Ehunekoa,Berantevilla,98.4
2013,BSRVSAN,,,Berantevilla,Ehunekoa,Berantevilla,98.4
2014,BSRVSAN,,,Berantevilla,Ehunekoa,Berantevilla,97.9
2015,BSRVSAN,,,Berantevilla,Ehunekoa,Berantevilla,98.4
2016,BSRVSAN,,,Berantevilla,Ehunekoa,Berantevilla,98.9
2017,BSRVSAN,,,Berantevilla,Ehunekoa,Berantevilla,98.9
2018,BSRVSAN,,,Berantevilla,Ehunekoa,Berantevilla,99.4
2019,BSRVSAN,,,Berantevilla,Ehunekoa,Berantevilla,99.5
2020,BSRVSAN,,,Berantevilla,Ehunekoa,Berantevilla,98.9
2021,BSRVSAN,,,Berantevilla,Ehunekoa,Berantevilla,99.0
2022,BSRVSAN,,,Berantevilla,Ehunekoa,Berantevilla,99.0
2010,BSRVH2O,,,Bernedo,Ehunekoa,Bernedo,100.0
2011,BSRVH2O,,,Bernedo,Ehunekoa,Bernedo,100.0
2013,BSRVH2O,,,Bernedo,Ehunekoa,Bernedo,100.0
2014,BSRVH2O,,,Bernedo,Ehunekoa,Bernedo,100.0
2015,BSRVH2O,,,Bernedo,Ehunekoa,Bernedo,100.0
2016,BSRVH2O,,,Bernedo,Ehunekoa,Bernedo,100.0
2017,BSRVH2O,,,Bernedo,Ehunekoa,Bernedo,100.0
2018,BSRVH2O,,,Bernedo,Ehunekoa,Bernedo,100.0
2019,BSRVH2O,,,Bernedo,Ehunekoa,Bernedo,100.0
2020,BSRVH2O,,,Bernedo,Ehunekoa,Bernedo,100.0
2021,BSRVH2O,,,Bernedo,Ehunekoa,Bernedo,100.0
2022,BSRVH2O,,,Bernedo,Ehunekoa,Bernedo,100.0
2010,BSRVSAN,,,Bernedo,Ehunekoa,Bernedo,96.2
2011,BSRVSAN,,,Bernedo,Ehunekoa,Bernedo,96.1
2013,BSRVSAN,,,Bernedo,Ehunekoa,Bernedo,95.9
2014,BSRVSAN,,,Bernedo,Ehunekoa,Bernedo,95.9
2015,BSRVSAN,,,Bernedo,Ehunekoa,Bernedo,96.2
2016,BSRVSAN,,,Bernedo,Ehunekoa,Bernedo,96.5
2017,BSRVSAN,,,Bernedo,Ehunekoa,Bernedo,96.4
