Year,Sex,Habilidad_IT,Edad,Province,Units,Value
2019,,ICTPRGM,Y16T24,,Percentage,12.34
2019,,ICTTRFF,Y16T24,,Percentage,84.87
2019,,ICTSFWR,Y16T24,,Percentage,83.37
2019,,ICTPRVCY,Y16T24,,Percentage,26.84
2019,,,Y16T24,,Percentage,95.75
2019,,ICTCPT,Y16T24,Araba/Álava,Percentage,91.07
2019,,ICTPST,Y16T24,Araba/Álava,Percentage,89.2
2019,,ICTSSHT,Y16T24,Araba/Álava,Percentage,70.0
2019,,ICTPRGM,Y16T24,Araba/Álava,Percentage,10.56
2019,,ICTTRFF,Y16T24,Araba/Álava,Percentage,84.7
2019,,ICTSFWR,Y16T24,Araba/Álava,Percentage,82.82
2019,,ICTPRVCY,Y16T24,Araba/Álava,Percentage,24.81
2019,,,Y16T24,Araba/Álava,Percentage,95.61
2019,,ICTCPT,Y16T24,Gipuzkoa,Percentage,87.91
2019,,ICTPST,Y16T24,Gipuzkoa,Percentage,79.9
2019,,ICTSSHT,Y16T24,Gipuzkoa,Percentage,71.5
2019,,ICTPRGM,Y16T24,Gipuzkoa,Percentage,10.54
2019,,ICTTRFF,Y16T24,Gipuzkoa,Percentage,80.35
2019,,ICTSFWR,Y16T24,Gipuzkoa,Percentage,81.54
2019,,ICTPRVCY,Y16T24,Gipuzkoa,Percentage,26.03
2019,,,Y16T24,Gipuzkoa,Percentage,94.0
2019,,ICTCPT,Y16T24,Bizkaia,Percentage,90.0
2019,,ICTPST,Y16T24,Bizkaia,Percentage,88.1
2019,,ICTSSHT,Y16T24,Bizkaia,Percentage,69.07
2019,,ICTPRGM,Y16T24,Bizkaia,Percentage,14.19
2019,,ICTTRFF,Y16T24,Bizkaia,Percentage,88.2
2019,,ICTSFWR,Y16T24,Bizkaia,Percentage,84.86
2019,,ICTPRVCY,Y16T24,Bizkaia,Percentage,28.04
2019,,,Y16T24,Bizkaia,Percentage,97.06
2019,,ICTCPT,Y25T74,,Percentage,51.53
2019,,ICTPST,Y25T74,,Percentage,37.38
2019,,ICTSSHT,Y25T74,,Percentage,38.75
2019,,ICTPRGM,Y25T74,,Percentage,4.79
2019,,ICTTRFF,Y25T74,,Percentage,48.18
2019,,ICTSFWR,Y25T74,,Percentage,50.6
2019,,ICTPRVCY,Y25T74,,Percentage,14.77
2019,,,Y25T74,,Percentage,63.8
2019,,ICTCPT,Y25T74,Araba/Álava,Percentage,51.77
2019,,ICTPST,Y25T74,Araba/Álava,Percentage,36.41
2019,,ICTSSHT,Y25T74,Araba/Álava,Percentage,39.83
2019,,ICTPRGM,Y25T74,Araba/Álava,Percentage,4.67
2019,,ICTTRFF,Y25T74,Araba/Álava,Percentage,47.91
2019,,ICTSFWR,Y25T74,Araba/Álava,Percentage,51.29
2019,,ICTPRVCY,Y25T74,Araba/Álava,Percentage,15.19
2019,,,Y25T74,Araba/Álava,Percentage,65.47
2019,,ICTCPT,Y25T74,Gipuzkoa,Percentage,50.33
2019,,ICTPST,Y25T74,Gipuzkoa,Percentage,37.51
2019,,ICTSSHT,Y25T74,Gipuzkoa,Percentage,39.19
2019,,ICTPRGM,Y25T74,Gipuzkoa,Percentage,4.58
2019,,ICTTRFF,Y25T74,Gipuzkoa,Percentage,46.88
2019,,ICTSFWR,Y25T74,Gipuzkoa,Percentage,47.92
2019,,ICTPRVCY,Y25T74,Gipuzkoa,Percentage,13.32
2019,,,Y25T74,Gipuzkoa,Percentage,61.65
2019,,ICTCPT,Y25T74,Bizkaia,Percentage,52.19
2019,,ICTPST,Y25T74,Bizkaia,Percentage,37.57
2019,,ICTSSHT,Y25T74,Bizkaia,Percentage,38.17
2019,,ICTPRGM,Y25T74,Bizkaia,Percentage,4.96
2019,,ICTTRFF,Y25T74,Bizkaia,Percentage,49.05
2019,,ICTSFWR,Y25T74,Bizkaia,Percentage,52.06
2019,,ICTPRVCY,Y25T74,Bizkaia,Percentage,15.54
2019,,,Y25T74,Bizkaia,Percentage,64.66
2019,1.0,ICTCPT,Y16T74,,Percentage,57.75
2019,1.0,ICTPST,Y16T74,,Percentage,42.74
2019,1.0,ICTSSHT,Y16T74,,Percentage,44.35
2019,1.0,ICTPRGM,Y16T74,,Percentage,8.14
2019,1.0,ICTTRFF,Y16T74,,Percentage,53.76
2019,1.0,ICTSFWR,Y16T74,,Percentage,57.35
2019,1.0,ICTPRVCY,Y16T74,,Percentage,20.51
2019,1.0,,Y16T74,,Percentage,69.65
2019,1.0,ICTCPT,Y16T74,Araba/Álava,Percentage,60.01
2019,1.0,ICTPST,Y16T74,Araba/Álava,Percentage,40.61
2019,1.0,ICTSSHT,Y16T74,Araba/Álava,Percentage,45.71
2019,1.0,ICTPRGM,Y16T74,Araba/Álava,Percentage,7.6
2019,1.0,ICTTRFF,Y16T74,Araba/Álava,Percentage,54.78
2019,1.0,ICTSFWR,Y16T74,Araba/Álava,Percentage,59.34
2019,1.0,ICTPRVCY,Y16T74,Araba/Álava,Percentage,23.92
2019,1.0,,Y16T74,Araba/Álava,Percentage,71.05
2019,1.0,ICTCPT,Y16T74,Gipuzkoa,Percentage,55.37
2019,1.0,ICTPST,Y16T74,Gipuzkoa,Percentage,41.41
2019,1.0,ICTSSHT,Y16T74,Gipuzkoa,Percentage,43.91
2019,1.0,ICTPRGM,Y16T74,Gipuzkoa,Percentage,7.79
2019,1.0,ICTTRFF,Y16T74,Gipuzkoa,Percentage,50.86
2019,1.0,ICTSFWR,Y16T74,Gipuzkoa,Percentage,53.9
2019,1.0,ICTPRVCY,Y16T74,Gipuzkoa,Percentage,19.69
2019,1.0,,Y16T74,Gipuzkoa,Percentage,66.91
2019,1.0,ICTCPT,Y16T74,Bizkaia,Percentage,58.64
2019,1.0,ICTPST,Y16T74,Bizkaia,Percentage,44.18
2019,1.0,ICTSSHT,Y16T74,Bizkaia,Percentage,44.24
2019,1.0,ICTPRGM,Y16T74,Bizkaia,Percentage,8.5
2019,1.0,ICTTRFF,Y16T74,Bizkaia,Percentage,55.31
2019,1.0,ICTSFWR,Y16T74,Bizkaia,Percentage,58.97
2019,1.0,ICTPRVCY,Y16T74,Bizkaia,Percentage,20.07
2019,1.0,,Y16T74,Bizkaia,Percentage,71.0
2019,1.0,ICTCPT,Y16T24,,Percentage,85.09
2019,1.0,ICTPST,Y16T24,,Percentage,81.93
2019,1.0,ICTSSHT,Y16T24,,Percentage,69.81
2019,1.0,ICTPRGM,Y16T24,,Percentage,15.83
2019,1.0,ICTTRFF,Y16T24,,Percentage,81.15
2019,1.0,ICTSFWR,Y16T24,,Percentage,81.0
2019,1.0,ICTPRVCY,Y16T24,,Percentage,32.81
2019,1.0,,Y16T24,,Percentage,93.6
2019,1.0,ICTCPT,Y16T24,Araba/Álava,Percentage,90.23
2019,1.0,ICTPST,Y16T24,Araba/Álava,Percentage,88.54
2019,1.0,ICTSSHT,Y16T24,Araba/Álava,Percentage,69.71
2019,1.0,ICTPRGM,Y16T24,Araba/Álava,Percentage,13.71
2019,1.0,ICTTRFF,Y16T24,Araba/Álava,Percentage,81.76
2019,1.0,ICTSFWR,Y16T24,Araba/Álava,Percentage,82.04
2019,1.0,ICTPRVCY,Y16T24,Araba/Álava,Percentage,35.16
2019,1.0,,Y16T24,Araba/Álava,Percentage,91.9
2019,1.0,ICTCPT,Y16T24,Gipuzkoa,Percentage,80.51
2019,1.0,ICTPST,Y16T24,Gipuzkoa,Percentage,74.65
2019,1.0,ICTSSHT,Y16T24,Gipuzkoa,Percentage,69.19
2019,1.0,ICTPRGM,Y16T24,Gipuzkoa,Percentage,14.1
2019,1.0,ICTTRFF,Y16T24,Gipuzkoa,Percentage,72.44
2019,1.0,ICTSFWR,Y16T24,Gipuzkoa,Percentage,78.05
2019,1.0,ICTPRVCY,Y16T24,Gipuzkoa,Percentage,32.18
2019,1.0,,Y16T24,Gipuzkoa,Percentage,89.45
2019,1.0,ICTCPT,Y16T24,Bizkaia,Percentage,87.06
2019,1.0,ICTPST,Y16T24,Bizkaia,Percentage,85.49
2019,1.0,ICTSSHT,Y16T24,Bizkaia,Percentage,70.3
2019,1.0,ICTPRGM,Y16T24,Bizkaia,Percentage,17.71
2019,1.0,ICTTRFF,Y16T24,Bizkaia,Percentage,87.43
2019,1.0,ICTSFWR,Y16T24,Bizkaia,Percentage,82.9
2019,1.0,ICTPRVCY,Y16T24,Bizkaia,Percentage,32.63
2019,1.0,,Y16T24,Bizkaia,Percentage,97.15
2019,1.0,ICTCPT,Y25T74,,Percentage,54.64
2019,1.0,ICTPST,Y25T74,,Percentage,38.27
2019,1.0,ICTSSHT,Y25T74,,Percentage,41.44
2019,1.0,ICTPRGM,Y25T74,,Percentage,7.26
2019,1.0,ICTTRFF,Y25T74,,Percentage,50.64
2019,1.0,ICTSFWR,Y25T74,,Percentage,54.65
2019,1.0,ICTPRVCY,Y25T74,,Percentage,19.11
2019,1.0,,Y25T74,,Percentage,66.92
2019,1.0,ICTCPT,Y25T74,Araba/Álava,Percentage,56.81
2019,1.0,ICTPST,Y25T74,Araba/Álava,Percentage,35.55
2019,1.0,ICTSSHT,Y25T74,Araba/Álava,Percentage,43.17
2019,1.0,ICTPRGM,Y25T74,Araba/Álava,Percentage,6.95
2019,1.0,ICTTRFF,Y25T74,Araba/Álava,Percentage,51.93
2019,1.0,ICTSFWR,Y25T74,Araba/Álava,Percentage,56.94
2019,1.0,ICTPRVCY,Y25T74,Araba/Álava,Percentage,22.74
2019,1.0,,Y25T74,Araba/Álava,Percentage,68.85
2019,1.0,ICTCPT,Y25T74,Gipuzkoa,Percentage,52.15
2019,1.0,ICTPST,Y25T74,Gipuzkoa,Percentage,37.15
2019,1.0,ICTSSHT,Y25T74,Gipuzkoa,Percentage,40.67
2019,1.0,ICTPRGM,Y25T74,Gipuzkoa,Percentage,6.98
2019,1.0,ICTTRFF,Y25T74,Gipuzkoa,Percentage,48.09
2019,1.0,ICTSFWR,Y25T74,Gipuzkoa,Percentage,50.81
2019,1.0,ICTPRVCY,Y25T74,Gipuzkoa,Percentage,18.09
2019,1.0,,Y25T74,Gipuzkoa,Percentage,64.03
2019,1.0,ICTCPT,Y25T74,Bizkaia,Percentage,55.58
2019,1.0,ICTPST,Y25T74,Bizkaia,Percentage,39.73
2019,1.0,ICTSSHT,Y25T74,Bizkaia,Percentage,41.44
2019,1.0,ICTPRGM,Y25T74,Bizkaia,Percentage,7.51
2019,1.0,ICTTRFF,Y25T74,Bizkaia,Percentage,51.86
2019,1.0,ICTSFWR,Y25T74,Bizkaia,Percentage,56.39
2019,1.0,ICTPRVCY,Y25T74,Bizkaia,Percentage,18.72
2019,1.0,,Y25T74,Bizkaia,Percentage,68.19
2019,2.0,ICTCPT,Y16T74,,Percentage,53.04
2019,2.0,ICTPST,Y16T74,,Percentage,41.74
2019,2.0,ICTSSHT,Y16T74,,Percentage,39.57
2019,2.0,ICTPRGM,Y16T74,,Percentage,3.05
2019,2.0,ICTTRFF,Y16T74,,Percentage,50.08
2019,2.0,ICTSFWR,Y16T74,,Percentage,50.6
2019,2.0,ICTPRVCY,Y16T74,,Percentage,11.61
2019,2.0,,Y16T74,,Percentage,64.5
2019,2.0,ICTCPT,Y16T74,Araba/Álava,Percentage,51.69
2019,2.0,ICTPST,Y16T74,Araba/Álava,Percentage,42.88
2019,2.0,ICTSSHT,Y16T74,Araba/Álava,Percentage,40.2
2019,2.0,ICTPRGM,Y16T74,Araba/Álava,Percentage,3.04
2019,2.0,ICTTRFF,Y16T74,Araba/Álava,Percentage,48.64
2019,2.0,ICTSFWR,Y16T74,Araba/Álava,Percentage,49.85
2019,2.0,ICTPRVCY,Y16T74,Araba/Álava,Percentage,8.75
2019,2.0,,Y16T74,Araba/Álava,Percentage,66.12
2019,2.0,ICTCPT,Y16T74,Gipuzkoa,Percentage,53.63
2019,2.0,ICTPST,Y16T74,Gipuzkoa,Percentage,43.01
2019,2.0,ICTSSHT,Y16T74,Gipuzkoa,Percentage,41.65
2019,2.0,ICTPRGM,Y16T74,Gipuzkoa,Percentage,2.71
2019,2.0,ICTTRFF,Y16T74,Gipuzkoa,Percentage,50.32
2019,2.0,ICTSFWR,Y16T74,Gipuzkoa,Percentage,49.41
2019,2.0,ICTPRVCY,Y16T74,Gipuzkoa,Percentage,9.81
2019,2.0,,Y16T74,Gipuzkoa,Percentage,63.58
2019,2.0,ICTCPT,Y16T74,Bizkaia,Percentage,53.06
2019,2.0,ICTPST,Y16T74,Bizkaia,Percentage,40.65
2019,2.0,ICTSSHT,Y16T74,Bizkaia,Percentage,38.1
2019,2.0,ICTPRGM,Y16T74,Bizkaia,Percentage,3.27
2019,2.0,ICTTRFF,Y16T74,Bizkaia,Percentage,50.34
2019,2.0,ICTSFWR,Y16T74,Bizkaia,Percentage,51.54
2019,2.0,ICTPRVCY,Y16T74,Bizkaia,Percentage,13.52
2019,2.0,,Y16T74,Bizkaia,Percentage,64.61
2019,2.0,ICTCPT,Y16T24,,Percentage,93.7
2019,2.0,ICTPST,Y16T24,,Percentage,88.68
2019,2.0,ICTSSHT,Y16T24,,Percentage,70.34
2019,2.0,ICTPRGM,Y16T24,,Percentage,8.88
2019,2.0,ICTTRFF,Y16T24,,Percentage,88.56
2019,2.0,ICTSFWR,Y16T24,,Percentage,85.71
2019,2.0,ICTPRVCY,Y16T24,,Percentage,20.92
2019,2.0,,Y16T24,,Percentage,97.88
2019,2.0,ICTCPT,Y16T24,Araba/Álava,Percentage,91.79
2019,2.0,ICTPST,Y16T24,Araba/Álava,Percentage,89.77
2019,2.0,ICTSSHT,Y16T24,Araba/Álava,Percentage,70.26
2019,2.0,ICTPRGM,Y16T24,Araba/Álava,Percentage,7.88
2019,2.0,ICTTRFF,Y16T24,Araba/Álava,Percentage,87.2
2019,2.0,ICTSFWR,Y16T24,Araba/Álava,Percentage,83.47
2019,2.0,ICTPRVCY,Y16T24,Araba/Álava,Percentage,15.98
2019,2.0,,Y16T24,Araba/Álava,Percentage,98.78
2019,2.0,ICTCPT,Y16T24,Gipuzkoa,Percentage,95.61
2019,2.0,ICTPST,Y16T24,Gipuzkoa,Percentage,85.35
2019,2.0,ICTSSHT,Y16T24,Gipuzkoa,Percentage,73.9
2019,2.0,ICTPRGM,Y16T24,Gipuzkoa,Percentage,6.83
2019,2.0,ICTTRFF,Y16T24,Gipuzkoa,Percentage,88.57
2019,2.0,ICTSFWR,Y16T24,Gipuzkoa,Percentage,85.17
2019,2.0,ICTPRVCY,Y16T24,Gipuzkoa,Percentage,19.62
2019,2.0,,Y16T24,Gipuzkoa,Percentage,98.73
2019,2.0,ICTCPT,Y16T24,Bizkaia,Percentage,92.96
2019,2.0,ICTPST,Y16T24,Bizkaia,Percentage,90.71
2019,2.0,ICTSSHT,Y16T24,Bizkaia,Percentage,67.84
2019,2.0,ICTPRGM,Y16T24,Bizkaia,Percentage,10.67
2019,2.0,ICTTRFF,Y16T24,Bizkaia,Percentage,88.98
2019,2.0,ICTSFWR,Y16T24,Bizkaia,Percentage,86.82
2019,2.0,ICTPRVCY,Y16T24,Bizkaia,Percentage,23.45
2019,2.0,,Y16T24,Bizkaia,Percentage,96.97
2019,2.0,ICTCPT,Y25T74,,Percentage,48.51
2019,2.0,ICTPST,Y25T74,,Percentage,36.51
2019,2.0,ICTSSHT,Y25T74,,Percentage,36.14
2019,2.0,ICTPRGM,Y25T74,,Percentage,2.4
2019,2.0,ICTTRFF,Y25T74,,Percentage,45.79
2019,2.0,ICTSFWR,Y25T74,,Percentage,46.69
2019,2.0,ICTPRVCY,Y25T74,,Percentage,10.57
2019,2.0,,Y25T74,,Percentage,60.78
2019,2.0,ICTCPT,Y25T74,Araba/Álava,Percentage,46.87
2019,2.0,ICTPST,Y25T74,Araba/Álava,Percentage,37.25
2019,2.0,ICTSSHT,Y25T74,Araba/Álava,Percentage,36.59
2019,2.0,ICTPRGM,Y25T74,Araba/Álava,Percentage,2.46
2019,2.0,ICTTRFF,Y25T74,Araba/Álava,Percentage,44.01
2019,2.0,ICTSFWR,Y25T74,Araba/Álava,Percentage,45.81
2019,2.0,ICTPRVCY,Y25T74,Araba/Álava,Percentage,7.88
2019,2.0,,Y25T74,Araba/Álava,Percentage,62.2
2019,2.0,ICTCPT,Y25T74,Gipuzkoa,Percentage,48.54
2019,2.0,ICTPST,Y25T74,Gipuzkoa,Percentage,37.87
2019,2.0,ICTSSHT,Y25T74,Gipuzkoa,Percentage,37.74
2019,2.0,ICTPRGM,Y25T74,Gipuzkoa,Percentage,2.21
2019,2.0,ICTTRFF,Y25T74,Gipuzkoa,Percentage,45.68
2019,2.0,ICTSFWR,Y25T74,Gipuzkoa,Percentage,45.07
2019,2.0,ICTPRVCY,Y25T74,Gipuzkoa,Percentage,8.62
2019,2.0,,Y25T74,Gipuzkoa,Percentage,59.31
2019,2.0,ICTCPT,Y25T74,Bizkaia,Percentage,48.95
2019,2.0,ICTPST,Y25T74,Bizkaia,Percentage,35.49
2019,2.0,ICTSSHT,Y25T74,Bizkaia,Percentage,35.04
2019,2.0,ICTPRGM,Y25T74,Bizkaia,Percentage,2.51
2019,2.0,ICTTRFF,Y25T74,Bizkaia,Percentage,46.36
2019,2.0,ICTSFWR,Y25T74,Bizkaia,Percentage,47.91
2019,2.0,ICTPRVCY,Y25T74,Bizkaia,Percentage,12.49
2019,2.0,,Y25T74,Bizkaia,Percentage,61.28
2020,,ICTCPT,Y16T74,,Percentage,55.36
2020,,ICTPST,Y16T74,,Percentage,45.0
2020,,ICTSSHT,Y16T74,,Percentage,41.11
2020,,ICTPRGM,Y16T74,,Percentage,5.69
2020,,ICTTRFF,Y16T74,,Percentage,55.16
2020,,ICTSFWR,Y16T74,,Percentage,58.78
2020,,ICTPRVCY,Y16T74,,Percentage,28.44
2020,,,Y16T74,,Percentage,69.83
2020,,ICTCPT,Y16T74,Araba/Álava,Percentage,54.04
2020,,ICTPST,Y16T74,Araba/Álava,Percentage,43.03
2020,,ICTSSHT,Y16T74,Araba/Álava,Percentage,39.71
2020,,ICTPRGM,Y16T74,Araba/Álava,Percentage,5.73
2020,,ICTTRFF,Y16T74,Araba/Álava,Percentage,55.92
2020,,ICTSFWR,Y16T74,Araba/Álava,Percentage,57.26
2020,,ICTPRVCY,Y16T74,Araba/Álava,Percentage,26.81
2020,,,Y16T74,Araba/Álava,Percentage,70.14
2020,,ICTCPT,Y16T74,Gipuzkoa,Percentage,57.68
2020,,ICTPST,Y16T74,Gipuzkoa,Percentage,45.75
2020,,ICTSSHT,Y16T74,Gipuzkoa,Percentage,41.61
2020,,ICTPRGM,Y16T74,Gipuzkoa,Percentage,5.58
2020,,ICTTRFF,Y16T74,Gipuzkoa,Percentage,56.4
2020,,ICTSFWR,Y16T74,Gipuzkoa,Percentage,60.23
2020,,ICTPRVCY,Y16T74,Gipuzkoa,Percentage,30.07
2020,,,Y16T74,Gipuzkoa,Percentage,70.18
2020,,ICTCPT,Y16T74,Bizkaia,Percentage,54.32
2020,,ICTPST,Y16T74,Bizkaia,Percentage,45.11
2020,,ICTSSHT,Y16T74,Bizkaia,Percentage,41.21
2020,,ICTPRGM,Y16T74,Bizkaia,Percentage,5.74
2020,,ICTTRFF,Y16T74,Bizkaia,Percentage,54.17
2020,,ICTSFWR,Y16T74,Bizkaia,Percentage,58.33
2020,,ICTPRVCY,Y16T74,Bizkaia,Percentage,27.9
2020,,,Y16T74,Bizkaia,Percentage,69.53
2020,,ICTCPT,Y16T24,,Percentage,86.56
2020,,ICTPST,Y16T24,,Percentage,86.45
2020,,ICTSSHT,Y16T24,,Percentage,70.73
2020,,ICTPRGM,Y16T24,,Percentage,13.21
2020,,ICTTRFF,Y16T24,,Percentage,84.6
2020,,ICTSFWR,Y16T24,,Percentage,87.51
2020,,ICTPRVCY,Y16T24,,Percentage,47.09
2020,,,Y16T24,,Percentage,95.9
2020,,ICTCPT,Y16T24,Araba/Álava,Percentage,80.63
2020,,ICTPST,Y16T24,Araba/Álava,Percentage,78.9
2020,,ICTSSHT,Y16T24,Araba/Álava,Percentage,68.93
2020,,ICTPRGM,Y16T24,Araba/Álava,Percentage,7.03
2020,,ICTTRFF,Y16T24,Araba/Álava,Percentage,86.93
2020,,ICTSFWR,Y16T24,Araba/Álava,Percentage,92.37
2020,,ICTPRVCY,Y16T24,Araba/Álava,Percentage,50.88
2020,,,Y16T24,Araba/Álava,Percentage,98.43
2020,,ICTCPT,Y16T24,Gipuzkoa,Percentage,94.1
2020,,ICTPST,Y16T24,Gipuzkoa,Percentage,89.58
2020,,ICTSSHT,Y16T24,Gipuzkoa,Percentage,74.4
2020,,ICTPRGM,Y16T24,Gipuzkoa,Percentage,11.7
2020,,ICTTRFF,Y16T24,Gipuzkoa,Percentage,84.57
2020,,ICTSFWR,Y16T24,Gipuzkoa,Percentage,85.98
2020,,ICTPRVCY,Y16T24,Gipuzkoa,Percentage,46.46
2020,,,Y16T24,Gipuzkoa,Percentage,97.22
2020,,ICTCPT,Y16T24,Bizkaia,Percentage,83.31
2020,,ICTPST,Y16T24,Bizkaia,Percentage,86.64
2020,,ICTSSHT,Y16T24,Bizkaia,Percentage,68.82
2020,,ICTPRGM,Y16T24,Bizkaia,Percentage,16.12
2020,,ICTTRFF,Y16T24,Bizkaia,Percentage,83.91
2020,,ICTSFWR,Y16T24,Bizkaia,Percentage,87.06
2020,,ICTPRVCY,Y16T24,Bizkaia,Percentage,46.35
2020,,,Y16T24,Bizkaia,Percentage,94.24
2020,,ICTCPT,Y25T74,,Percentage,51.5
2020,,ICTPST,Y25T74,,Percentage,39.86
2020,,ICTSSHT,Y25T74,,Percentage,37.44
2020,,ICTPRGM,Y25T74,,Percentage,4.76
2020,,ICTTRFF,Y25T74,,Percentage,51.51
2020,,ICTSFWR,Y25T74,,Percentage,55.22
2020,,ICTPRVCY,Y25T74,,Percentage,26.13
2020,,,Y25T74,,Percentage,66.6
2020,,ICTCPT,Y25T74,Araba/Álava,Percentage,50.7
2020,,ICTPST,Y25T74,Araba/Álava,Percentage,38.53
2020,,ICTSSHT,Y25T74,Araba/Álava,Percentage,36.04
2020,,ICTPRGM,Y25T74,Araba/Álava,Percentage,5.57
2020,,ICTTRFF,Y25T74,Araba/Álava,Percentage,52.03
2020,,ICTSFWR,Y25T74,Araba/Álava,Percentage,52.86
2020,,ICTPRVCY,Y25T74,Araba/Álava,Percentage,23.79
2020,,,Y25T74,Araba/Álava,Percentage,66.59
2020,,ICTCPT,Y25T74,Gipuzkoa,Percentage,52.91
2020,,ICTPST,Y25T74,Gipuzkoa,Percentage,40.01
2020,,ICTSSHT,Y25T74,Gipuzkoa,Percentage,37.32
2020,,ICTPRGM,Y25T74,Gipuzkoa,Percentage,4.78
2020,,ICTTRFF,Y25T74,Gipuzkoa,Percentage,52.71
2020,,ICTSFWR,Y25T74,Gipuzkoa,Percentage,56.86
2020,,ICTPRVCY,Y25T74,Gipuzkoa,Percentage,27.92
2020,,,Y25T74,Gipuzkoa,Percentage,66.64
2020,,ICTCPT,Y25T74,Bizkaia,Percentage,50.87
2020,,ICTPST,Y25T74,Bizkaia,Percentage,40.16
2020,,ICTSSHT,Y25T74,Bizkaia,Percentage,37.91
2020,,ICTPRGM,Y25T74,Bizkaia,Percentage,4.51
2020,,ICTTRFF,Y25T74,Bizkaia,Percentage,50.63
2020,,ICTSFWR,Y25T74,Bizkaia,Percentage,54.9
2020,,ICTPRVCY,Y25T74,Bizkaia,Percentage,25.71
2020,,,Y25T74,Bizkaia,Percentage,66.58
2020,1.0,ICTCPT,Y16T74,,Percentage,57.3
2020,1.0,ICTPST,Y16T74,,Percentage,45.46
2020,1.0,ICTSSHT,Y16T74,,Percentage,42.48
2020,1.0,ICTPRGM,Y16T74,,Percentage,7.37
2020,1.0,ICTTRFF,Y16T74,,Percentage,57.79
2020,1.0,ICTSFWR,Y16T74,,Percentage,60.91
2020,1.0,ICTPRVCY,Y16T74,,Percentage,31.46
2020,1.0,,Y16T74,,Percentage,71.39
2020,1.0,ICTCPT,Y16T74,Araba/Álava,Percentage,54.32
2020,1.0,ICTPST,Y16T74,Araba/Álava,Percentage,43.65
2020,1.0,ICTSSHT,Y16T74,Araba/Álava,Percentage,39.7
2020,1.0,ICTPRGM,Y16T74,Araba/Álava,Percentage,6.83
2020,1.0,ICTTRFF,Y16T74,Araba/Álava,Percentage,57.59
2020,1.0,ICTSFWR,Y16T74,Araba/Álava,Percentage,58.72
2020,1.0,ICTPRVCY,Y16T74,Araba/Álava,Percentage,29.26
2020,1.0,,Y16T74,Araba/Álava,Percentage,69.49
2020,1.0,ICTCPT,Y16T74,Gipuzkoa,Percentage,58.37
2020,1.0,ICTPST,Y16T74,Gipuzkoa,Percentage,44.97
2020,1.0,ICTSSHT,Y16T74,Gipuzkoa,Percentage,40.86
2020,1.0,ICTPRGM,Y16T74,Gipuzkoa,Percentage,6.65
2020,1.0,ICTTRFF,Y16T74,Gipuzkoa,Percentage,59.22
2020,1.0,ICTSFWR,Y16T74,Gipuzkoa,Percentage,63.68
2020,1.0,ICTPRVCY,Y16T74,Gipuzkoa,Percentage,33.15
2020,1.0,,Y16T74,Gipuzkoa,Percentage,72.34
2020,1.0,ICTCPT,Y16T74,Bizkaia,Percentage,57.51
2020,1.0,ICTPST,Y16T74,Bizkaia,Percentage,46.29
2020,1.0,ICTSSHT,Y16T74,Bizkaia,Percentage,44.29
2020,1.0,ICTPRGM,Y16T74,Bizkaia,Percentage,7.98
2020,1.0,ICTTRFF,Y16T74,Bizkaia,Percentage,56.96
