Year,Series,Age,Sex,Type of contract,Province,County,Municipality,Units,GeoCode,Value
2021,Employment rate,16 years and over,,,,,Aizarnazabal,%,Aizarnazabal,53.6
2023,Employment rate,16 years and over,,,,,Ajangiz,%,Ajangiz,54.8
2010,Employment rate,16 years and over,,,,,Ajangiz,%,Ajangiz,56.5
2019,Employment rate,16 years and over,,,,,Ajangiz,%,Ajangiz,58.7
2021,Employment rate,16 years and over,,,,,Ajangiz,%,Ajangiz,52.7
2018,Employment rate,16 years and over,,,,,Ajangiz,%,Ajangiz,56.8
2020,Employment rate,16 years and over,,,,,Ajangiz,%,Ajangiz,56.7
2015,Employment rate,16 years and over,,,,,Ajangiz,%,Ajangiz,55.7
2016,Employment rate,16 years and over,,,,,Ajangiz,%,Ajangiz,57.7
2022,Employment rate,16 years and over,,,,,Ajangiz,%,Ajangiz,54.5
2020,Employment rate,16 years and over,,,,,Albiztur,%,Albiztur,62.1
2022,Employment rate,16 years and over,,,,,Albiztur,%,Albiztur,59.1
2015,Employment rate,16 years and over,,,,,Albiztur,%,Albiztur,59.7
2018,Employment rate,16 years and over,,,,,Albiztur,%,Albiztur,57.9
2023,Employment rate,16 years and over,,,,,Albiztur,%,Albiztur,60.5
2016,Employment rate,16 years and over,,,,,Albiztur,%,Albiztur,56.6
2010,Employment rate,16 years and over,,,,,Albiztur,%,Albiztur,53.2
2019,Employment rate,16 years and over,,,,,Albiztur,%,Albiztur,62.4
2021,Employment rate,16 years and over,,,,,Albiztur,%,Albiztur,57.1
2019,Employment rate,16 years and over,,,,,Alegia,%,Alegia,51.1
2020,Employment rate,16 years and over,,,,,Alegia,%,Alegia,52.4
2023,Employment rate,16 years and over,,,,,Alegia,%,Alegia,53.2
2010,Employment rate,16 years and over,,,,,Alegia,%,Alegia,53.0
2015,Employment rate,16 years and over,,,,,Alegia,%,Alegia,49.2
2022,Employment rate,16 years and over,,,,,Alegia,%,Alegia,53.6
2021,Employment rate,16 years and over,,,,,Alegia,%,Alegia,51.3
2018,Employment rate,16 years and over,,,,,Alegia,%,Alegia,51.0
2016,Employment rate,16 years and over,,,,,Alegia,%,Alegia,48.2
2016,Employment rate,16 years and over,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,62.4
2019,Employment rate,16 years and over,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,61.7
2021,Employment rate,16 years and over,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,59.4
2023,Employment rate,16 years and over,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,62.0
2018,Employment rate,16 years and over,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,63.2
2020,Employment rate,16 years and over,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,61.8
2010,Employment rate,16 years and over,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,66.2
2015,Employment rate,16 years and over,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,64.0
2022,Employment rate,16 years and over,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,61.4
2018,Employment rate,16 years and over,,,,,Alkiza,%,Alkiza,63.3
2010,Employment rate,16 years and over,,,,,Alkiza,%,Alkiza,61.4
2019,Employment rate,16 years and over,,,,,Alkiza,%,Alkiza,61.0
2022,Employment rate,16 years and over,,,,,Alkiza,%,Alkiza,60.8
2015,Employment rate,16 years and over,,,,,Alkiza,%,Alkiza,63.5
2020,Employment rate,16 years and over,,,,,Alkiza,%,Alkiza,60.4
2021,Employment rate,16 years and over,,,,,Alkiza,%,Alkiza,55.7
2016,Employment rate,16 years and over,,,,,Alkiza,%,Alkiza,62.0
2023,Employment rate,16 years and over,,,,,Alkiza,%,Alkiza,58.5
2023,Employment rate,16 years and over,,,,,Alonsotegi,%,Alonsotegi,50.8
2022,Employment rate,16 years and over,,,,,Alonsotegi,%,Alonsotegi,50.7
2019,Employment rate,16 years and over,,,,,Alonsotegi,%,Alonsotegi,48.1
2016,Employment rate,16 years and over,,,,,Alonsotegi,%,Alonsotegi,46.0
2021,Employment rate,16 years and over,,,,,Alonsotegi,%,Alonsotegi,49.2
2015,Employment rate,16 years and over,,,,,Alonsotegi,%,Alonsotegi,45.8
2010,Employment rate,16 years and over,,,,,Alonsotegi,%,Alonsotegi,48.7
2018,Employment rate,16 years and over,,,,,Alonsotegi,%,Alonsotegi,49.2
2020,Employment rate,16 years and over,,,,,Alonsotegi,%,Alonsotegi,49.9
2022,Employment rate,16 years and over,,,,,Altzaga,%,Altzaga,57.9
2020,Employment rate,16 years and over,,,,,Altzaga,%,Altzaga,50.7
2019,Employment rate,16 years and over,,,,,Altzaga,%,Altzaga,53.6
2015,Employment rate,16 years and over,,,,,Altzaga,%,Altzaga,55.1
2021,Employment rate,16 years and over,,,,,Altzaga,%,Altzaga,50.8
2018,Employment rate,16 years and over,,,,,Altzaga,%,Altzaga,50.0
2023,Employment rate,16 years and over,,,,,Altzaga,%,Altzaga,52.6
2010,Employment rate,16 years and over,,,,,Altzaga,%,Altzaga,67.2
2016,Employment rate,16 years and over,,,,,Altzaga,%,Altzaga,53.9
2020,Employment rate,16 years and over,,,,,Altzo,%,Altzo,55.1
2010,Employment rate,16 years and over,,,,,Altzo,%,Altzo,61.6
2015,Employment rate,16 years and over,,,,,Altzo,%,Altzo,55.6
2019,Employment rate,16 years and over,,,,,Altzo,%,Altzo,62.5
2022,Employment rate,16 years and over,,,,,Altzo,%,Altzo,57.6
2023,Employment rate,16 years and over,,,,,Altzo,%,Altzo,57.4
2016,Employment rate,16 years and over,,,,,Altzo,%,Altzo,55.4
2021,Employment rate,16 years and over,,,,,Altzo,%,Altzo,54.7
2018,Employment rate,16 years and over,,,,,Altzo,%,Altzo,57.4
2018,Employment rate,16 years and over,,,,,Amezketa,%,Amezketa,53.4
2020,Employment rate,16 years and over,,,,,Amezketa,%,Amezketa,54.1
2016,Employment rate,16 years and over,,,,,Amezketa,%,Amezketa,50.9
2010,Employment rate,16 years and over,,,,,Amezketa,%,Amezketa,53.4
2019,Employment rate,16 years and over,,,,,Amezketa,%,Amezketa,54.3
2015,Employment rate,16 years and over,,,,,Amezketa,%,Amezketa,52.5
2022,Employment rate,16 years and over,,,,,Amezketa,%,Amezketa,56.3
2021,Employment rate,16 years and over,,,,,Amezketa,%,Amezketa,52.5
2023,Employment rate,16 years and over,,,,,Amezketa,%,Amezketa,53.2
2019,Employment rate,16 years and over,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,54.4
2021,Employment rate,16 years and over,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,53.4
2018,Employment rate,16 years and over,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,54.1
2016,Employment rate,16 years and over,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,52.4
2020,Employment rate,16 years and over,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,54.6
2010,Employment rate,16 years and over,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,52.8
2023,Employment rate,16 years and over,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,56.6
2015,Employment rate,16 years and over,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,52.1
2022,Employment rate,16 years and over,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,55.4
2019,Employment rate,16 years and over,,,,,Amoroto,%,Amoroto,50.9
2020,Employment rate,16 years and over,,,,,Amoroto,%,Amoroto,49.3
2015,Employment rate,16 years and over,,,,,Amoroto,%,Amoroto,53.3
2016,Employment rate,16 years and over,,,,,Amoroto,%,Amoroto,52.3
2018,Employment rate,16 years and over,,,,,Amoroto,%,Amoroto,51.0
2023,Employment rate,16 years and over,,,,,Amoroto,%,Amoroto,52.2
2010,Employment rate,16 years and over,,,,,Amoroto,%,Amoroto,52.5
2021,Employment rate,16 years and over,,,,,Amoroto,%,Amoroto,49.6
2022,Employment rate,16 years and over,,,,,Amoroto,%,Amoroto,49.7
2018,Employment rate,16 years and over,,,,,Amurrio,%,Amurrio,50.6
2020,Employment rate,16 years and over,,,,,Amurrio,%,Amurrio,51.1
2015,Employment rate,16 years and over,,,,,Amurrio,%,Amurrio,49.5
2022,Employment rate,16 years and over,,,,,Amurrio,%,Amurrio,52.4
2021,Employment rate,16 years and over,,,,,Amurrio,%,Amurrio,50.7
2016,Employment rate,16 years and over,,,,,Amurrio,%,Amurrio,49.1
2019,Employment rate,16 years and over,,,,,Amurrio,%,Amurrio,51.5
2010,Employment rate,16 years and over,,,,,Amurrio,%,Amurrio,51.0
2023,Employment rate,16 years and over,,,,,Amurrio,%,Amurrio,52.3
2021,Employment rate,16 years and over,,,,,Andoain,%,Andoain,51.3
2010,Employment rate,16 years and over,,,,,Andoain,%,Andoain,52.2
2023,Employment rate,16 years and over,,,,,Andoain,%,Andoain,53.0
2018,Employment rate,16 years and over,,,,,Andoain,%,Andoain,51.1
2019,Employment rate,16 years and over,,,,,Andoain,%,Andoain,51.9
2016,Employment rate,16 years and over,,,,,Andoain,%,Andoain,49.6
2020,Employment rate,16 years and over,,,,,Andoain,%,Andoain,52.4
2022,Employment rate,16 years and over,,,,,Andoain,%,Andoain,52.1
2015,Employment rate,16 years and over,,,,,Andoain,%,Andoain,50.1
2018,Employment rate,16 years and over,,,,,Anoeta,%,Anoeta,57.0
2020,Employment rate,16 years and over,,,,,Anoeta,%,Anoeta,58.3
2015,Employment rate,16 years and over,,,,,Anoeta,%,Anoeta,54.2
2010,Employment rate,16 years and over,,,,,Anoeta,%,Anoeta,55.3
2016,Employment rate,16 years and over,,,,,Anoeta,%,Anoeta,54.6
2021,Employment rate,16 years and over,,,,,Anoeta,%,Anoeta,56.6
2019,Employment rate,16 years and over,,,,,Anoeta,%,Anoeta,57.8
2023,Employment rate,16 years and over,,,,,Anoeta,%,Anoeta,58.0
2022,Employment rate,16 years and over,,,,,Anoeta,%,Anoeta,57.7
2010,Employment rate,16 years and over,,,,,Antzuola,%,Antzuola,55.9
2019,Employment rate,16 years and over,,,,,Antzuola,%,Antzuola,57.1
2020,Employment rate,16 years and over,,,,,Antzuola,%,Antzuola,57.1
2018,Employment rate,16 years and over,,,,,Antzuola,%,Antzuola,57.6
2016,Employment rate,16 years and over,,,,,Antzuola,%,Antzuola,55.7
2021,Employment rate,16 years and over,,,,,Antzuola,%,Antzuola,56.2
2015,Employment rate,16 years and over,,,,,Antzuola,%,Antzuola,55.4
2022,Employment rate,16 years and over,,,,,Antzuola,%,Antzuola,58.4
2023,Employment rate,16 years and over,,,,,Antzuola,%,Antzuola,57.2
2022,Employment rate,16 years and over,,,,,Añana,%,Añana,53.3
2016,Employment rate,16 years and over,,,,,Añana,%,Añana,49.7
2018,Employment rate,16 years and over,,,,,Añana,%,Añana,53.3
2021,Employment rate,16 years and over,,,,,Añana,%,Añana,54.3
2020,Employment rate,16 years and over,,,,,Añana,%,Añana,54.0
2019,Employment rate,16 years and over,,,,,Añana,%,Añana,55.7
2023,Employment rate,16 years and over,,,,,Añana,%,Añana,53.7
2015,Employment rate,16 years and over,,,,,Añana,%,Añana,43.7
2010,Employment rate,16 years and over,,,,,Añana,%,Añana,46.3
2016,Employment rate,16 years and over,,,,,Arakaldo,%,Arakaldo,62.2
2019,Employment rate,16 years and over,,,,,Arakaldo,%,Arakaldo,62.4
2022,Employment rate,16 years and over,,,,,Arakaldo,%,Arakaldo,63.1
2020,Employment rate,16 years and over,,,,,Arakaldo,%,Arakaldo,59.0
2021,Employment rate,16 years and over,,,,,Arakaldo,%,Arakaldo,58.0
2010,Employment rate,16 years and over,,,,,Arakaldo,%,Arakaldo,58.4
2015,Employment rate,16 years and over,,,,,Arakaldo,%,Arakaldo,54.0
2018,Employment rate,16 years and over,,,,,Arakaldo,%,Arakaldo,60.2
2023,Employment rate,16 years and over,,,,,Arakaldo,%,Arakaldo,64.2
2022,Employment rate,16 years and over,,,,,Arama,%,Arama,52.7
2016,Employment rate,16 years and over,,,,,Arama,%,Arama,55.6
2019,Employment rate,16 years and over,,,,,Arama,%,Arama,55.0
2018,Employment rate,16 years and over,,,,,Arama,%,Arama,58.4
2020,Employment rate,16 years and over,,,,,Arama,%,Arama,56.7
2015,Employment rate,16 years and over,,,,,Arama,%,Arama,54.1
2023,Employment rate,16 years and over,,,,,Arama,%,Arama,57.5
2010,Employment rate,16 years and over,,,,,Arama,%,Arama,53.5
2021,Employment rate,16 years and over,,,,,Arama,%,Arama,53.3
2019,Employment rate,16 years and over,,,,,Aramaio,%,Aramaio,55.3
2023,Employment rate,16 years and over,,,,,Aramaio,%,Aramaio,53.8
2016,Employment rate,16 years and over,,,,,Aramaio,%,Aramaio,52.9
2010,Employment rate,16 years and over,,,,,Aramaio,%,Aramaio,55.9
2015,Employment rate,16 years and over,,,,,Aramaio,%,Aramaio,52.9
2018,Employment rate,16 years and over,,,,,Aramaio,%,Aramaio,54.8
2022,Employment rate,16 years and over,,,,,Aramaio,%,Aramaio,53.1
2021,Employment rate,16 years and over,,,,,Aramaio,%,Aramaio,51.5
2020,Employment rate,16 years and over,,,,,Aramaio,%,Aramaio,53.6
2010,Employment rate,16 years and over,,,,,Arantzazu,%,Arantzazu,52.7
2020,Employment rate,16 years and over,,,,,Arantzazu,%,Arantzazu,54.1
2018,Employment rate,16 years and over,,,,,Arantzazu,%,Arantzazu,53.5
2022,Employment rate,16 years and over,,,,,Arantzazu,%,Arantzazu,53.3
2019,Employment rate,16 years and over,,,,,Arantzazu,%,Arantzazu,54.2
2021,Employment rate,16 years and over,,,,,Arantzazu,%,Arantzazu,51.1
2016,Employment rate,16 years and over,,,,,Arantzazu,%,Arantzazu,54.3
2023,Employment rate,16 years and over,,,,,Arantzazu,%,Arantzazu,55.1
2015,Employment rate,16 years and over,,,,,Arantzazu,%,Arantzazu,53.4
2015,Employment rate,16 years and over,,,,,Areatza,%,Areatza,51.0
2016,Employment rate,16 years and over,,,,,Areatza,%,Areatza,51.4
2019,Employment rate,16 years and over,,,,,Areatza,%,Areatza,55.8
2010,Employment rate,16 years and over,,,,,Areatza,%,Areatza,51.8
2021,Employment rate,16 years and over,,,,,Areatza,%,Areatza,51.7
2022,Employment rate,16 years and over,,,,,Areatza,%,Areatza,53.5
2018,Employment rate,16 years and over,,,,,Areatza,%,Areatza,54.0
2020,Employment rate,16 years and over,,,,,Areatza,%,Areatza,54.1
2023,Employment rate,16 years and over,,,,,Areatza,%,Areatza,56.0
2016,Employment rate,16 years and over,,,,,Aretxabaleta,%,Aretxabaleta,53.1
2015,Employment rate,16 years and over,,,,,Aretxabaleta,%,Aretxabaleta,52.6
2020,Employment rate,16 years and over,,,,,Aretxabaleta,%,Aretxabaleta,54.6
2010,Employment rate,16 years and over,,,,,Aretxabaleta,%,Aretxabaleta,55.2
2021,Employment rate,16 years and over,,,,,Aretxabaleta,%,Aretxabaleta,53.2
2018,Employment rate,16 years and over,,,,,Aretxabaleta,%,Aretxabaleta,54.2
2019,Employment rate,16 years and over,,,,,Aretxabaleta,%,Aretxabaleta,54.2
2022,Employment rate,16 years and over,,,,,Aretxabaleta,%,Aretxabaleta,54.4
2023,Employment rate,16 years and over,,,,,Aretxabaleta,%,Aretxabaleta,55.3
2015,Employment rate,16 years and over,,,,,Armiñón,%,Armiñón,62.3
2018,Employment rate,16 years and over,,,,,Armiñón,%,Armiñón,63.4
2021,Employment rate,16 years and over,,,,,Armiñón,%,Armiñón,58.9
2010,Employment rate,16 years and over,,,,,Armiñón,%,Armiñón,53.2
2022,Employment rate,16 years and over,,,,,Armiñón,%,Armiñón,64.2
2019,Employment rate,16 years and over,,,,,Armiñón,%,Armiñón,62.9
2020,Employment rate,16 years and over,,,,,Armiñón,%,Armiñón,61.5
2023,Employment rate,16 years and over,,,,,Armiñón,%,Armiñón,59.7
2016,Employment rate,16 years and over,,,,,Armiñón,%,Armiñón,61.6
2022,Employment rate,16 years and over,,,,,Arraia-Maeztu,%,Arraia-Maeztu,58.6
2019,Employment rate,16 years and over,,,,,Arraia-Maeztu,%,Arraia-Maeztu,57.0
2018,Employment rate,16 years and over,,,,,Arraia-Maeztu,%,Arraia-Maeztu,56.1
2023,Employment rate,16 years and over,,,,,Arraia-Maeztu,%,Arraia-Maeztu,58.1
2010,Employment rate,16 years and over,,,,,Arraia-Maeztu,%,Arraia-Maeztu,55.3
2021,Employment rate,16 years and over,,,,,Arraia-Maeztu,%,Arraia-Maeztu,55.7
2016,Employment rate,16 years and over,,,,,Arraia-Maeztu,%,Arraia-Maeztu,54.5
2015,Employment rate,16 years and over,,,,,Arraia-Maeztu,%,Arraia-Maeztu,53.7
2020,Employment rate,16 years and over,,,,,Arraia-Maeztu,%,Arraia-Maeztu,58.2
2020,Employment rate,16 years and over,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,54.8
2015,Employment rate,16 years and over,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,52.9
2018,Employment rate,16 years and over,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,56.3
2010,Employment rate,16 years and over,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,53.2
2021,Employment rate,16 years and over,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,56.2
2023,Employment rate,16 years and over,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,58.4
2019,Employment rate,16 years and over,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,55.8
2016,Employment rate,16 years and over,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,54.6
2022,Employment rate,16 years and over,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,58.0
2023,Employment rate,16 years and over,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,49.6
2010,Employment rate,16 years and over,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,49.5
2021,Employment rate,16 years and over,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,47.6
2020,Employment rate,16 years and over,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,48.6
2016,Employment rate,16 years and over,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,46.4
2019,Employment rate,16 years and over,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,48.1
2022,Employment rate,16 years and over,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,48.8
2018,Employment rate,16 years and over,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,48.4
2015,Employment rate,16 years and over,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,46.4
2021,Employment rate,16 years and over,,,,,Arratzu,%,Arratzu,49.0
2022,Employment rate,16 years and over,,,,,Arratzu,%,Arratzu,51.7
2016,Employment rate,16 years and over,,,,,Arratzu,%,Arratzu,54.2
2023,Employment rate,16 years and over,,,,,Arratzu,%,Arratzu,55.9
2010,Employment rate,16 years and over,,,,,Arratzu,%,Arratzu,54.8
2018,Employment rate,16 years and over,,,,,Arratzu,%,Arratzu,53.7
2015,Employment rate,16 years and over,,,,,Arratzu,%,Arratzu,54.0
2019,Employment rate,16 years and over,,,,,Arratzu,%,Arratzu,51.3
2020,Employment rate,16 years and over,,,,,Arratzu,%,Arratzu,52.5
2010,Employment rate,16 years and over,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,60.3
2020,Employment rate,16 years and over,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,55.4
2023,Employment rate,16 years and over,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,56.6
2021,Employment rate,16 years and over,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,55.2
2015,Employment rate,16 years and over,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,57.8
2019,Employment rate,16 years and over,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,57.6
2018,Employment rate,16 years and over,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,56.3
2016,Employment rate,16 years and over,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,59.6
2022,Employment rate,16 years and over,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,57.5
2023,Employment rate,16 years and over,,,,,Arrieta,%,Arrieta,56.5
2016,Employment rate,16 years and over,,,,,Arrieta,%,Arrieta,54.8
2022,Employment rate,16 years and over,,,,,Arrieta,%,Arrieta,57.6
2010,Employment rate,16 years and over,,,,,Arrieta,%,Arrieta,54.1
2019,Employment rate,16 years and over,,,,,Arrieta,%,Arrieta,55.1
2015,Employment rate,16 years and over,,,,,Arrieta,%,Arrieta,53.7
2018,Employment rate,16 years and over,,,,,Arrieta,%,Arrieta,54.0
2021,Employment rate,16 years and over,,,,,Arrieta,%,Arrieta,56.2
2020,Employment rate,16 years and over,,,,,Arrieta,%,Arrieta,53.2
2018,Employment rate,16 years and over,,,,,Arrigorriaga,%,Arrigorriaga,53.2
2021,Employment rate,16 years and over,,,,,Arrigorriaga,%,Arrigorriaga,53.1
2019,Employment rate,16 years and over,,,,,Arrigorriaga,%,Arrigorriaga,54.1
2010,Employment rate,16 years and over,,,,,Arrigorriaga,%,Arrigorriaga,54.7
2023,Employment rate,16 years and over,,,,,Arrigorriaga,%,Arrigorriaga,56.0
2022,Employment rate,16 years and over,,,,,Arrigorriaga,%,Arrigorriaga,54.3
2015,Employment rate,16 years and over,,,,,Arrigorriaga,%,Arrigorriaga,51.4
2020,Employment rate,16 years and over,,,,,Arrigorriaga,%,Arrigorriaga,54.1
2016,Employment rate,16 years and over,,,,,Arrigorriaga,%,Arrigorriaga,51.3
2019,Employment rate,16 years and over,,,,,Artea,%,Artea,52.8
2016,Employment rate,16 years and over,,,,,Artea,%,Artea,49.4
2021,Employment rate,16 years and over,,,,,Artea,%,Artea,49.0
2022,Employment rate,16 years and over,,,,,Artea,%,Artea,51.3
