Year,Sexo,Habilidad_IT,Edad,Territorio,Units,Value
2019,_T,ICTTRFF,Y16T24,Gipuzkoa,Porcentaje,80.35
2019,_T,ICTSFWR,Y16T24,Gipuzkoa,Porcentaje,81.54
2019,_T,ICTPRVCY,Y16T24,Gipuzkoa,Porcentaje,26.03
2019,_T,ICT_TOT,Y16T24,Gipuzkoa,Porcentaje,94.0
2019,_T,ICTCPT,Y16T24,Bizkaia,Porcentaje,90.0
2019,_T,ICTPST,Y16T24,Bizkaia,Porcentaje,88.1
2019,_T,ICTSSHT,Y16T24,Bizkaia,Porcentaje,69.07
2019,_T,ICTPRGM,Y16T24,Bizkaia,Porcentaje,14.19
2019,_T,ICTTRFF,Y16T24,Bizkaia,Porcentaje,88.2
2019,_T,ICTSFWR,Y16T24,Bizkaia,Porcentaje,84.86
2019,_T,ICTPRVCY,Y16T24,Bizkaia,Porcentaje,28.04
2019,_T,ICT_TOT,Y16T24,Bizkaia,Porcentaje,97.06
2019,_T,ICTCPT,Y25T74,,Porcentaje,51.53
2019,_T,ICTPST,Y25T74,,Porcentaje,37.38
2019,_T,ICTSSHT,Y25T74,,Porcentaje,38.75
2019,_T,ICTPRGM,Y25T74,,Porcentaje,4.79
2019,_T,ICTTRFF,Y25T74,,Porcentaje,48.18
2019,_T,ICTSFWR,Y25T74,,Porcentaje,50.6
2019,_T,ICTPRVCY,Y25T74,,Porcentaje,14.77
2019,_T,ICT_TOT,Y25T74,,Porcentaje,63.8
2019,_T,ICTCPT,Y25T74,Araba/Álava,Porcentaje,51.77
2019,_T,ICTPST,Y25T74,Araba/Álava,Porcentaje,36.41
2019,_T,ICTSSHT,Y25T74,Araba/Álava,Porcentaje,39.83
2019,_T,ICTPRGM,Y25T74,Araba/Álava,Porcentaje,4.67
2019,_T,ICTTRFF,Y25T74,Araba/Álava,Porcentaje,47.91
2019,_T,ICTSFWR,Y25T74,Araba/Álava,Porcentaje,51.29
2019,_T,ICTPRVCY,Y25T74,Araba/Álava,Porcentaje,15.19
2019,_T,ICT_TOT,Y25T74,Araba/Álava,Porcentaje,65.47
2019,_T,ICTCPT,Y25T74,Gipuzkoa,Porcentaje,50.33
2019,_T,ICTPST,Y25T74,Gipuzkoa,Porcentaje,37.51
2019,_T,ICTSSHT,Y25T74,Gipuzkoa,Porcentaje,39.19
2019,_T,ICTPRGM,Y25T74,Gipuzkoa,Porcentaje,4.58
2019,_T,ICTTRFF,Y25T74,Gipuzkoa,Porcentaje,46.88
2019,_T,ICTSFWR,Y25T74,Gipuzkoa,Porcentaje,47.92
2019,_T,ICTPRVCY,Y25T74,Gipuzkoa,Porcentaje,13.32
2019,_T,ICT_TOT,Y25T74,Gipuzkoa,Porcentaje,61.65
2019,_T,ICTCPT,Y25T74,Bizkaia,Porcentaje,52.19
2019,_T,ICTPST,Y25T74,Bizkaia,Porcentaje,37.57
2019,_T,ICTSSHT,Y25T74,Bizkaia,Porcentaje,38.17
2019,_T,ICTPRGM,Y25T74,Bizkaia,Porcentaje,4.96
2019,_T,ICTTRFF,Y25T74,Bizkaia,Porcentaje,49.05
2019,_T,ICTSFWR,Y25T74,Bizkaia,Porcentaje,52.06
2019,_T,ICTPRVCY,Y25T74,Bizkaia,Porcentaje,15.54
2019,_T,ICT_TOT,Y25T74,Bizkaia,Porcentaje,64.66
2019,1,ICTCPT,Y16T74,,Porcentaje,57.75
2019,1,ICTPST,Y16T74,,Porcentaje,42.74
2019,1,ICTSSHT,Y16T74,,Porcentaje,44.35
2019,1,ICTPRGM,Y16T74,,Porcentaje,8.14
2019,1,ICTTRFF,Y16T74,,Porcentaje,53.76
2019,1,ICTSFWR,Y16T74,,Porcentaje,57.35
2019,1,ICTPRVCY,Y16T74,,Porcentaje,20.51
2019,1,ICT_TOT,Y16T74,,Porcentaje,69.65
2019,1,ICTCPT,Y16T74,Araba/Álava,Porcentaje,60.01
2019,1,ICTPST,Y16T74,Araba/Álava,Porcentaje,40.61
2019,1,ICTSSHT,Y16T74,Araba/Álava,Porcentaje,45.71
2019,1,ICTPRGM,Y16T74,Araba/Álava,Porcentaje,7.6
2019,1,ICTTRFF,Y16T74,Araba/Álava,Porcentaje,54.78
2019,1,ICTSFWR,Y16T74,Araba/Álava,Porcentaje,59.34
2019,1,ICTPRVCY,Y16T74,Araba/Álava,Porcentaje,23.92
2019,1,ICT_TOT,Y16T74,Araba/Álava,Porcentaje,71.05
2019,1,ICTCPT,Y16T74,Gipuzkoa,Porcentaje,55.37
2019,1,ICTPST,Y16T74,Gipuzkoa,Porcentaje,41.41
2019,1,ICTSSHT,Y16T74,Gipuzkoa,Porcentaje,43.91
2019,1,ICTPRGM,Y16T74,Gipuzkoa,Porcentaje,7.79
2019,1,ICTTRFF,Y16T74,Gipuzkoa,Porcentaje,50.86
2019,1,ICTSFWR,Y16T74,Gipuzkoa,Porcentaje,53.9
2019,1,ICTPRVCY,Y16T74,Gipuzkoa,Porcentaje,19.69
2019,1,ICT_TOT,Y16T74,Gipuzkoa,Porcentaje,66.91
2019,1,ICTCPT,Y16T74,Bizkaia,Porcentaje,58.64
2019,1,ICTPST,Y16T74,Bizkaia,Porcentaje,44.18
2019,1,ICTSSHT,Y16T74,Bizkaia,Porcentaje,44.24
2019,1,ICTPRGM,Y16T74,Bizkaia,Porcentaje,8.5
2019,1,ICTTRFF,Y16T74,Bizkaia,Porcentaje,55.31
2019,1,ICTSFWR,Y16T74,Bizkaia,Porcentaje,58.97
2019,1,ICTPRVCY,Y16T74,Bizkaia,Porcentaje,20.07
2019,1,ICT_TOT,Y16T74,Bizkaia,Porcentaje,71.0
2019,1,ICTCPT,Y16T24,,Porcentaje,85.09
2019,1,ICTPST,Y16T24,,Porcentaje,81.93
2019,1,ICTSSHT,Y16T24,,Porcentaje,69.81
2019,1,ICTPRGM,Y16T24,,Porcentaje,15.83
2019,1,ICTTRFF,Y16T24,,Porcentaje,81.15
2019,1,ICTSFWR,Y16T24,,Porcentaje,81.0
2019,1,ICTPRVCY,Y16T24,,Porcentaje,32.81
2019,1,ICT_TOT,Y16T24,,Porcentaje,93.6
2019,1,ICTCPT,Y16T24,Araba/Álava,Porcentaje,90.23
2019,1,ICTPST,Y16T24,Araba/Álava,Porcentaje,88.54
2019,1,ICTSSHT,Y16T24,Araba/Álava,Porcentaje,69.71
2019,1,ICTPRGM,Y16T24,Araba/Álava,Porcentaje,13.71
2019,1,ICTTRFF,Y16T24,Araba/Álava,Porcentaje,81.76
2019,1,ICTSFWR,Y16T24,Araba/Álava,Porcentaje,82.04
2019,1,ICTPRVCY,Y16T24,Araba/Álava,Porcentaje,35.16
2019,1,ICT_TOT,Y16T24,Araba/Álava,Porcentaje,91.9
2019,1,ICTCPT,Y16T24,Gipuzkoa,Porcentaje,80.51
2019,1,ICTPST,Y16T24,Gipuzkoa,Porcentaje,74.65
2019,1,ICTSSHT,Y16T24,Gipuzkoa,Porcentaje,69.19
2019,1,ICTPRGM,Y16T24,Gipuzkoa,Porcentaje,14.1
2019,1,ICTTRFF,Y16T24,Gipuzkoa,Porcentaje,72.44
2019,1,ICTSFWR,Y16T24,Gipuzkoa,Porcentaje,78.05
2019,1,ICTPRVCY,Y16T24,Gipuzkoa,Porcentaje,32.18
2019,1,ICT_TOT,Y16T24,Gipuzkoa,Porcentaje,89.45
2019,1,ICTCPT,Y16T24,Bizkaia,Porcentaje,87.06
2019,1,ICTPST,Y16T24,Bizkaia,Porcentaje,85.49
2019,1,ICTSSHT,Y16T24,Bizkaia,Porcentaje,70.3
2019,1,ICTPRGM,Y16T24,Bizkaia,Porcentaje,17.71
2019,1,ICTTRFF,Y16T24,Bizkaia,Porcentaje,87.43
2019,1,ICTSFWR,Y16T24,Bizkaia,Porcentaje,82.9
2019,1,ICTPRVCY,Y16T24,Bizkaia,Porcentaje,32.63
2019,1,ICT_TOT,Y16T24,Bizkaia,Porcentaje,97.15
2019,1,ICTCPT,Y25T74,,Porcentaje,54.64
2019,1,ICTPST,Y25T74,,Porcentaje,38.27
2019,1,ICTSSHT,Y25T74,,Porcentaje,41.44
2019,1,ICTPRGM,Y25T74,,Porcentaje,7.26
2019,1,ICTTRFF,Y25T74,,Porcentaje,50.64
2019,1,ICTSFWR,Y25T74,,Porcentaje,54.65
2019,1,ICTPRVCY,Y25T74,,Porcentaje,19.11
2019,1,ICT_TOT,Y25T74,,Porcentaje,66.92
2019,1,ICTCPT,Y25T74,Araba/Álava,Porcentaje,56.81
2019,1,ICTPST,Y25T74,Araba/Álava,Porcentaje,35.55
2019,1,ICTSSHT,Y25T74,Araba/Álava,Porcentaje,43.17
2019,1,ICTPRGM,Y25T74,Araba/Álava,Porcentaje,6.95
2019,1,ICTTRFF,Y25T74,Araba/Álava,Porcentaje,51.93
2019,1,ICTSFWR,Y25T74,Araba/Álava,Porcentaje,56.94
2019,1,ICTPRVCY,Y25T74,Araba/Álava,Porcentaje,22.74
2019,1,ICT_TOT,Y25T74,Araba/Álava,Porcentaje,68.85
2019,1,ICTCPT,Y25T74,Gipuzkoa,Porcentaje,52.15
2019,1,ICTPST,Y25T74,Gipuzkoa,Porcentaje,37.15
2019,1,ICTSSHT,Y25T74,Gipuzkoa,Porcentaje,40.67
2019,1,ICTPRGM,Y25T74,Gipuzkoa,Porcentaje,6.98
2019,1,ICTTRFF,Y25T74,Gipuzkoa,Porcentaje,48.09
2019,1,ICTSFWR,Y25T74,Gipuzkoa,Porcentaje,50.81
2019,1,ICTPRVCY,Y25T74,Gipuzkoa,Porcentaje,18.09
2019,1,ICT_TOT,Y25T74,Gipuzkoa,Porcentaje,64.03
2019,1,ICTCPT,Y25T74,Bizkaia,Porcentaje,55.58
2019,1,ICTPST,Y25T74,Bizkaia,Porcentaje,39.73
2019,1,ICTSSHT,Y25T74,Bizkaia,Porcentaje,41.44
2019,1,ICTPRGM,Y25T74,Bizkaia,Porcentaje,7.51
2019,1,ICTTRFF,Y25T74,Bizkaia,Porcentaje,51.86
2019,1,ICTSFWR,Y25T74,Bizkaia,Porcentaje,56.39
2019,1,ICTPRVCY,Y25T74,Bizkaia,Porcentaje,18.72
2019,1,ICT_TOT,Y25T74,Bizkaia,Porcentaje,68.19
2019,_T,ICTCPT,Y16T74,,Porcentaje,53.04
2019,_T,ICTPST,Y16T74,,Porcentaje,41.74
2019,_T,ICTSSHT,Y16T74,,Porcentaje,39.57
2019,_T,ICTPRGM,Y16T74,,Porcentaje,3.05
2019,_T,ICTTRFF,Y16T74,,Porcentaje,50.08
2019,_T,ICTSFWR,Y16T74,,Porcentaje,50.6
2019,_T,ICTPRVCY,Y16T74,,Porcentaje,11.61
2019,_T,ICT_TOT,Y16T74,,Porcentaje,64.5
2019,_T,ICTCPT,Y16T74,Araba/Álava,Porcentaje,51.69
2019,_T,ICTPST,Y16T74,Araba/Álava,Porcentaje,42.88
2019,_T,ICTSSHT,Y16T74,Araba/Álava,Porcentaje,40.2
2019,_T,ICTPRGM,Y16T74,Araba/Álava,Porcentaje,3.04
2019,_T,ICTTRFF,Y16T74,Araba/Álava,Porcentaje,48.64
2019,_T,ICTSFWR,Y16T74,Araba/Álava,Porcentaje,49.85
2019,_T,ICTPRVCY,Y16T74,Araba/Álava,Porcentaje,8.75
2019,_T,ICT_TOT,Y16T74,Araba/Álava,Porcentaje,66.12
2019,_T,ICTCPT,Y16T74,Gipuzkoa,Porcentaje,53.63
2019,_T,ICTPST,Y16T74,Gipuzkoa,Porcentaje,43.01
2019,_T,ICTSSHT,Y16T74,Gipuzkoa,Porcentaje,41.65
2019,_T,ICTPRGM,Y16T74,Gipuzkoa,Porcentaje,2.71
2019,_T,ICTTRFF,Y16T74,Gipuzkoa,Porcentaje,50.32
2019,_T,ICTSFWR,Y16T74,Gipuzkoa,Porcentaje,49.41
2019,_T,ICTPRVCY,Y16T74,Gipuzkoa,Porcentaje,9.81
2019,_T,ICT_TOT,Y16T74,Gipuzkoa,Porcentaje,63.58
2019,_T,ICTCPT,Y16T74,Bizkaia,Porcentaje,53.06
2019,_T,ICTPST,Y16T74,Bizkaia,Porcentaje,40.65
2019,_T,ICTSSHT,Y16T74,Bizkaia,Porcentaje,38.1
2019,_T,ICTPRGM,Y16T74,Bizkaia,Porcentaje,3.27
2019,_T,ICTTRFF,Y16T74,Bizkaia,Porcentaje,50.34
2019,_T,ICTSFWR,Y16T74,Bizkaia,Porcentaje,51.54
2019,_T,ICTPRVCY,Y16T74,Bizkaia,Porcentaje,13.52
2019,_T,ICT_TOT,Y16T74,Bizkaia,Porcentaje,64.61
2019,_T,ICTCPT,Y16T24,,Porcentaje,93.7
2019,_T,ICTPST,Y16T24,,Porcentaje,88.68
2019,_T,ICTSSHT,Y16T24,,Porcentaje,70.34
2019,_T,ICTPRGM,Y16T24,,Porcentaje,8.88
2019,_T,ICTTRFF,Y16T24,,Porcentaje,88.56
2019,_T,ICTSFWR,Y16T24,,Porcentaje,85.71
2019,_T,ICTPRVCY,Y16T24,,Porcentaje,20.92
2019,_T,ICT_TOT,Y16T24,,Porcentaje,97.88
2019,_T,ICTCPT,Y16T24,Araba/Álava,Porcentaje,91.79
2019,_T,ICTPST,Y16T24,Araba/Álava,Porcentaje,89.77
2019,_T,ICTSSHT,Y16T24,Araba/Álava,Porcentaje,70.26
2019,_T,ICTPRGM,Y16T24,Araba/Álava,Porcentaje,7.88
2019,_T,ICTTRFF,Y16T24,Araba/Álava,Porcentaje,87.2
2019,_T,ICTSFWR,Y16T24,Araba/Álava,Porcentaje,83.47
2019,_T,ICTPRVCY,Y16T24,Araba/Álava,Porcentaje,15.98
2019,_T,ICT_TOT,Y16T24,Araba/Álava,Porcentaje,98.78
2019,_T,ICTCPT,Y16T24,Gipuzkoa,Porcentaje,95.61
2019,_T,ICTPST,Y16T24,Gipuzkoa,Porcentaje,85.35
2019,_T,ICTSSHT,Y16T24,Gipuzkoa,Porcentaje,73.9
2019,_T,ICTPRGM,Y16T24,Gipuzkoa,Porcentaje,6.83
2019,_T,ICTTRFF,Y16T24,Gipuzkoa,Porcentaje,88.57
2019,_T,ICTSFWR,Y16T24,Gipuzkoa,Porcentaje,85.17
2019,_T,ICTPRVCY,Y16T24,Gipuzkoa,Porcentaje,19.62
2019,_T,ICT_TOT,Y16T24,Gipuzkoa,Porcentaje,98.73
2019,_T,ICTCPT,Y16T24,Bizkaia,Porcentaje,92.96
2019,_T,ICTPST,Y16T24,Bizkaia,Porcentaje,90.71
2019,_T,ICTSSHT,Y16T24,Bizkaia,Porcentaje,67.84
2019,_T,ICTPRGM,Y16T24,Bizkaia,Porcentaje,10.67
2019,_T,ICTTRFF,Y16T24,Bizkaia,Porcentaje,88.98
2019,_T,ICTSFWR,Y16T24,Bizkaia,Porcentaje,86.82
2019,_T,ICTPRVCY,Y16T24,Bizkaia,Porcentaje,23.45
2019,_T,ICT_TOT,Y16T24,Bizkaia,Porcentaje,96.97
2019,_T,ICTCPT,Y25T74,,Porcentaje,48.51
2019,_T,ICTPST,Y25T74,,Porcentaje,36.51
2019,_T,ICTSSHT,Y25T74,,Porcentaje,36.14
2019,_T,ICTPRGM,Y25T74,,Porcentaje,2.4
2019,_T,ICTTRFF,Y25T74,,Porcentaje,45.79
2019,_T,ICTSFWR,Y25T74,,Porcentaje,46.69
2019,_T,ICTPRVCY,Y25T74,,Porcentaje,10.57
2019,_T,ICT_TOT,Y25T74,,Porcentaje,60.78
2019,_T,ICTCPT,Y25T74,Araba/Álava,Porcentaje,46.87
2019,_T,ICTPST,Y25T74,Araba/Álava,Porcentaje,37.25
2019,_T,ICTSSHT,Y25T74,Araba/Álava,Porcentaje,36.59
2019,_T,ICTPRGM,Y25T74,Araba/Álava,Porcentaje,2.46
2019,_T,ICTTRFF,Y25T74,Araba/Álava,Porcentaje,44.01
2019,_T,ICTSFWR,Y25T74,Araba/Álava,Porcentaje,45.81
2019,_T,ICTPRVCY,Y25T74,Araba/Álava,Porcentaje,7.88
2019,_T,ICT_TOT,Y25T74,Araba/Álava,Porcentaje,62.2
2019,_T,ICTCPT,Y25T74,Gipuzkoa,Porcentaje,48.54
2019,_T,ICTPST,Y25T74,Gipuzkoa,Porcentaje,37.87
2019,_T,ICTSSHT,Y25T74,Gipuzkoa,Porcentaje,37.74
2019,_T,ICTPRGM,Y25T74,Gipuzkoa,Porcentaje,2.21
2019,_T,ICTTRFF,Y25T74,Gipuzkoa,Porcentaje,45.68
2019,_T,ICTSFWR,Y25T74,Gipuzkoa,Porcentaje,45.07
2019,_T,ICTPRVCY,Y25T74,Gipuzkoa,Porcentaje,8.62
2019,_T,ICT_TOT,Y25T74,Gipuzkoa,Porcentaje,59.31
2019,_T,ICTCPT,Y25T74,Bizkaia,Porcentaje,48.95
2019,_T,ICTPST,Y25T74,Bizkaia,Porcentaje,35.49
2019,_T,ICTSSHT,Y25T74,Bizkaia,Porcentaje,35.04
2019,_T,ICTPRGM,Y25T74,Bizkaia,Porcentaje,2.51
2019,_T,ICTTRFF,Y25T74,Bizkaia,Porcentaje,46.36
2019,_T,ICTSFWR,Y25T74,Bizkaia,Porcentaje,47.91
2019,_T,ICTPRVCY,Y25T74,Bizkaia,Porcentaje,12.49
2019,_T,ICT_TOT,Y25T74,Bizkaia,Porcentaje,61.28
2020,_T,ICTCPT,Y16T74,,Porcentaje,55.36
2020,_T,ICTPST,Y16T74,,Porcentaje,45.0
2020,_T,ICTSSHT,Y16T74,,Porcentaje,41.11
2020,_T,ICTPRGM,Y16T74,,Porcentaje,5.69
2020,_T,ICTTRFF,Y16T74,,Porcentaje,55.16
2020,_T,ICTSFWR,Y16T74,,Porcentaje,58.78
2020,_T,ICTPRVCY,Y16T74,,Porcentaje,28.44
2020,_T,ICT_TOT,Y16T74,,Porcentaje,69.83
2020,_T,ICTCPT,Y16T74,Araba/Álava,Porcentaje,54.04
2020,_T,ICTPST,Y16T74,Araba/Álava,Porcentaje,43.03
2020,_T,ICTSSHT,Y16T74,Araba/Álava,Porcentaje,39.71
2020,_T,ICTPRGM,Y16T74,Araba/Álava,Porcentaje,5.73
2020,_T,ICTTRFF,Y16T74,Araba/Álava,Porcentaje,55.92
2020,_T,ICTSFWR,Y16T74,Araba/Álava,Porcentaje,57.26
2020,_T,ICTPRVCY,Y16T74,Araba/Álava,Porcentaje,26.81
2020,_T,ICT_TOT,Y16T74,Araba/Álava,Porcentaje,70.14
2020,_T,ICTCPT,Y16T74,Gipuzkoa,Porcentaje,57.68
2020,_T,ICTPST,Y16T74,Gipuzkoa,Porcentaje,45.75
2020,_T,ICTSSHT,Y16T74,Gipuzkoa,Porcentaje,41.61
2020,_T,ICTPRGM,Y16T74,Gipuzkoa,Porcentaje,5.58
2020,_T,ICTTRFF,Y16T74,Gipuzkoa,Porcentaje,56.4
2020,_T,ICTSFWR,Y16T74,Gipuzkoa,Porcentaje,60.23
2020,_T,ICTPRVCY,Y16T74,Gipuzkoa,Porcentaje,30.07
2020,_T,ICT_TOT,Y16T74,Gipuzkoa,Porcentaje,70.18
2020,_T,ICTCPT,Y16T74,Bizkaia,Porcentaje,54.32
2020,_T,ICTPST,Y16T74,Bizkaia,Porcentaje,45.11
2020,_T,ICTSSHT,Y16T74,Bizkaia,Porcentaje,41.21
2020,_T,ICTPRGM,Y16T74,Bizkaia,Porcentaje,5.74
2020,_T,ICTTRFF,Y16T74,Bizkaia,Porcentaje,54.17
2020,_T,ICTSFWR,Y16T74,Bizkaia,Porcentaje,58.33
2020,_T,ICTPRVCY,Y16T74,Bizkaia,Porcentaje,27.9
2020,_T,ICT_TOT,Y16T74,Bizkaia,Porcentaje,69.53
2020,_T,ICTCPT,Y16T24,,Porcentaje,86.56
2020,_T,ICTPST,Y16T24,,Porcentaje,86.45
2020,_T,ICTSSHT,Y16T24,,Porcentaje,70.73
2020,_T,ICTPRGM,Y16T24,,Porcentaje,13.21
2020,_T,ICTTRFF,Y16T24,,Porcentaje,84.6
2020,_T,ICTSFWR,Y16T24,,Porcentaje,87.51
2020,_T,ICTPRVCY,Y16T24,,Porcentaje,47.09
2020,_T,ICT_TOT,Y16T24,,Porcentaje,95.9
2020,_T,ICTCPT,Y16T24,Araba/Álava,Porcentaje,80.63
2020,_T,ICTPST,Y16T24,Araba/Álava,Porcentaje,78.9
2020,_T,ICTSSHT,Y16T24,Araba/Álava,Porcentaje,68.93
2020,_T,ICTPRGM,Y16T24,Araba/Álava,Porcentaje,7.03
2020,_T,ICTTRFF,Y16T24,Araba/Álava,Porcentaje,86.93
2020,_T,ICTSFWR,Y16T24,Araba/Álava,Porcentaje,92.37
2020,_T,ICTPRVCY,Y16T24,Araba/Álava,Porcentaje,50.88
2020,_T,ICT_TOT,Y16T24,Araba/Álava,Porcentaje,98.43
2020,_T,ICTCPT,Y16T24,Gipuzkoa,Porcentaje,94.1
2020,_T,ICTPST,Y16T24,Gipuzkoa,Porcentaje,89.58
2020,_T,ICTSSHT,Y16T24,Gipuzkoa,Porcentaje,74.4
2020,_T,ICTPRGM,Y16T24,Gipuzkoa,Porcentaje,11.7
2020,_T,ICTTRFF,Y16T24,Gipuzkoa,Porcentaje,84.57
2020,_T,ICTSFWR,Y16T24,Gipuzkoa,Porcentaje,85.98
2020,_T,ICTPRVCY,Y16T24,Gipuzkoa,Porcentaje,46.46
2020,_T,ICT_TOT,Y16T24,Gipuzkoa,Porcentaje,97.22
2020,_T,ICTCPT,Y16T24,Bizkaia,Porcentaje,83.31
2020,_T,ICTPST,Y16T24,Bizkaia,Porcentaje,86.64
2020,_T,ICTSSHT,Y16T24,Bizkaia,Porcentaje,68.82
2020,_T,ICTPRGM,Y16T24,Bizkaia,Porcentaje,16.12
2020,_T,ICTTRFF,Y16T24,Bizkaia,Porcentaje,83.91
2020,_T,ICTSFWR,Y16T24,Bizkaia,Porcentaje,87.06
2020,_T,ICTPRVCY,Y16T24,Bizkaia,Porcentaje,46.35
2020,_T,ICT_TOT,Y16T24,Bizkaia,Porcentaje,94.24
2020,_T,ICTCPT,Y25T74,,Porcentaje,51.5
2020,_T,ICTPST,Y25T74,,Porcentaje,39.86
2020,_T,ICTSSHT,Y25T74,,Porcentaje,37.44
2020,_T,ICTPRGM,Y25T74,,Porcentaje,4.76
2020,_T,ICTTRFF,Y25T74,,Porcentaje,51.51
2020,_T,ICTSFWR,Y25T74,,Porcentaje,55.22
2020,_T,ICTPRVCY,Y25T74,,Porcentaje,26.13
2020,_T,ICT_TOT,Y25T74,,Porcentaje,66.6
2020,_T,ICTCPT,Y25T74,Araba/Álava,Porcentaje,50.7
2020,_T,ICTPST,Y25T74,Araba/Álava,Porcentaje,38.53
2020,_T,ICTSSHT,Y25T74,Araba/Álava,Porcentaje,36.04
2020,_T,ICTPRGM,Y25T74,Araba/Álava,Porcentaje,5.57
2020,_T,ICTTRFF,Y25T74,Araba/Álava,Porcentaje,52.03
2020,_T,ICTSFWR,Y25T74,Araba/Álava,Porcentaje,52.86
2020,_T,ICTPRVCY,Y25T74,Araba/Álava,Porcentaje,23.79
2020,_T,ICT_TOT,Y25T74,Araba/Álava,Porcentaje,66.59
2020,_T,ICTCPT,Y25T74,Gipuzkoa,Porcentaje,52.91
2020,_T,ICTPST,Y25T74,Gipuzkoa,Porcentaje,40.01
2020,_T,ICTSSHT,Y25T74,Gipuzkoa,Porcentaje,37.32
2020,_T,ICTPRGM,Y25T74,Gipuzkoa,Porcentaje,4.78
2020,_T,ICTTRFF,Y25T74,Gipuzkoa,Porcentaje,52.71
2020,_T,ICTSFWR,Y25T74,Gipuzkoa,Porcentaje,56.86
2020,_T,ICTPRVCY,Y25T74,Gipuzkoa,Porcentaje,27.92
2020,_T,ICT_TOT,Y25T74,Gipuzkoa,Porcentaje,66.64
2020,_T,ICTCPT,Y25T74,Bizkaia,Porcentaje,50.87
2020,_T,ICTPST,Y25T74,Bizkaia,Porcentaje,40.16
2020,_T,ICTSSHT,Y25T74,Bizkaia,Porcentaje,37.91
