Year,Serie,Sexua,Cobertura,Residencia,Discapacidad,Lurraldea,Eskualdea,Udalerria,Unidad,GeoCode,Value
2013,AES,,TIT,,,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,0.0
2014,AES,,TIT,,,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,0.0
2015,AES,,TIT,,,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,0.0
2016,AES,,TIT,,,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,6.2
2017,AES,,TIT,,,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,7.4
2018,AES,,TIT,,,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,9.1
2019,AES,,TIT,,,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,9.7
2020,AES,,TIT,,,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,10.7
2021,AES,,TIT,,,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,11.3
2022,AES,,TIT,,,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,10.7
2010,AES,,TIT,,,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,6.6
2011,AES,,TIT,,,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,2.6
2012,AES,,TIT,,,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,2.0
2013,AES,,TIT,,,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,2.6
2014,AES,,TIT,,,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,1.3
2015,AES,,TIT,,,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,2.6
2016,AES,,TIT,,,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,2.6
2017,AES,,TIT,,,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,2.6
2018,AES,,TIT,,,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,2.6
2019,AES,,TIT,,,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,4.0
2020,AES,,TIT,,,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,4.0
2021,AES,,TIT,,,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,4.1
2022,AES,,TIT,,,,,Aramaio,1.000 biztanle bakoitzeko,Aramaio,4.8
2010,AES,,TIT,,,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,11.9
2011,AES,,TIT,,,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,5.4
2012,AES,,TIT,,,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,8.6
2013,AES,,TIT,,,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,4.9
2014,AES,,TIT,,,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,3.8
2015,AES,,TIT,,,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,5.4
2016,AES,,TIT,,,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,8.0
2017,AES,,TIT,,,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,7.3
2018,AES,,TIT,,,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,10.9
2019,AES,,TIT,,,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,10.4
2020,AES,,TIT,,,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,12.2
2021,AES,,TIT,,,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,15.0
2022,AES,,TIT,,,,,Artziniega,1.000 biztanle bakoitzeko,Artziniega,11.7
2010,AES,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2011,AES,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2012,AES,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2013,AES,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2014,AES,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2015,AES,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,8.9
2016,AES,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,4.5
2017,AES,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,4.6
2018,AES,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2019,AES,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2020,AES,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2021,AES,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2022,AES,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,4.4
2010,AES,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,8.4
2011,AES,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,5.0
2012,AES,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,1.0
2013,AES,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,1.0
2014,AES,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,1.0
2015,AES,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,3.9
2016,AES,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,4.9
2017,AES,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,1.9
2018,AES,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,1.9
2019,AES,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,1.9
2020,AES,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,1.0
2021,AES,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,2.8
2022,AES,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,1.9
2010,AES,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,18.3
2011,AES,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,9.4
2012,AES,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,4.7
2013,AES,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,10.8
2014,AES,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,7.9
2015,AES,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,15.8
2016,AES,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,16.0
2017,AES,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,14.7
2018,AES,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,19.7
2019,AES,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,19.2
2020,AES,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,20.2
2021,AES,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,18.7
2022,AES,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,21.3
2010,AES,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),2.2
2011,AES,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),2.0
2012,AES,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),3.2
2013,AES,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),2.2
2014,AES,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),3.0
2015,AES,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),5.2
2016,AES,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),6.4
2017,AES,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),3.3
2018,AES,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),4.1
2019,AES,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),2.8
2020,AES,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),3.2
2021,AES,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),3.7
2022,AES,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),3.5
2010,AES,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,3.6
2011,AES,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,0.7
2012,AES,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,1.4
2013,AES,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,1.4
2014,AES,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,0.4
2015,AES,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,1.4
2016,AES,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,2.1
2017,AES,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,1.0
2018,AES,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,1.4
2019,AES,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,2.8
2020,AES,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,3.4
2021,AES,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,4.1
2022,AES,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,2.8
2010,AES,,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,0.0
2011,AES,,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,0.0
2012,AES,,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,0.0
2013,AES,,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,3.1
2014,AES,,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,0.0
2015,AES,,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,3.2
2016,AES,,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,3.2
2017,AES,,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,0.0
2018,AES,,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,0.0
2019,AES,,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,0.0
2020,AES,,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,0.0
2021,AES,,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,0.0
2022,AES,,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,3.1
2010,AES,,TIT,,,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,3.2
2011,AES,,TIT,,,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,1.1
2012,AES,,TIT,,,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,2.1
2013,AES,,TIT,,,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,2.1
2014,AES,,TIT,,,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,2.1
2015,AES,,TIT,,,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,3.2
2016,AES,,TIT,,,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,1.1
2017,AES,,TIT,,,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,2.1
2018,AES,,TIT,,,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,4.2
2019,AES,,TIT,,,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,3.2
2020,AES,,TIT,,,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,3.2
2021,AES,,TIT,,,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,1.1
2022,AES,,TIT,,,,,Barrundia,1.000 biztanle bakoitzeko,Barrundia,3.2
2010,AES,,TIT,,,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,0.0
2011,AES,,TIT,,,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,2.1
2012,AES,,TIT,,,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,0.0
2013,AES,,TIT,,,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,0.0
2014,AES,,TIT,,,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,2.1
2015,AES,,TIT,,,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,4.2
2016,AES,,TIT,,,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,2.1
2017,AES,,TIT,,,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,2.1
2018,AES,,TIT,,,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,6.2
2019,AES,,TIT,,,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,8.1
2020,AES,,TIT,,,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,10.0
2021,AES,,TIT,,,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,8.0
2022,AES,,TIT,,,,,Berantevilla,1.000 biztanle bakoitzeko,Berantevilla,6.0
2010,AES,,TIT,,,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,1.7
2011,AES,,TIT,,,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,1.7
2012,AES,,TIT,,,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,1.7
2013,AES,,TIT,,,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,1.8
2014,AES,,TIT,,,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,5.5
2015,AES,,TIT,,,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,5.7
2016,AES,,TIT,,,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,7.6
2017,AES,,TIT,,,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,7.5
2018,AES,,TIT,,,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,3.8
2019,AES,,TIT,,,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,5.7
2020,AES,,TIT,,,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,5.6
2021,AES,,TIT,,,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,3.6
2022,AES,,TIT,,,,,Bernedo,1.000 biztanle bakoitzeko,Bernedo,1.8
2010,AES,,TIT,,,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,3.6
2011,AES,,TIT,,,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,4.5
2012,AES,,TIT,,,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,7.1
2013,AES,,TIT,,,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,5.4
2014,AES,,TIT,,,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,5.6
2015,AES,,TIT,,,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,4.7
2016,AES,,TIT,,,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,1.9
2017,AES,,TIT,,,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,2.8
2018,AES,,TIT,,,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,5.6
2019,AES,,TIT,,,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,5.6
2020,AES,,TIT,,,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,7.4
2021,AES,,TIT,,,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,5.4
2022,AES,,TIT,,,,,Campezo/Kanpezu,1.000 biztanle bakoitzeko,Campezo/Kanpezu,6.3
2010,AES,,TIT,,,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,2.3
2011,AES,,TIT,,,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,1.1
2012,AES,,TIT,,,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,0.6
2013,AES,,TIT,,,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,1.7
2014,AES,,TIT,,,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,1.7
2015,AES,,TIT,,,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,1.7
2016,AES,,TIT,,,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,1.2
2017,AES,,TIT,,,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,0.0
2018,AES,,TIT,,,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,0.6
2019,AES,,TIT,,,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,0.6
2020,AES,,TIT,,,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,1.1
2021,AES,,TIT,,,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,1.1
2022,AES,,TIT,,,,,Zigoitia,1.000 biztanle bakoitzeko,Zigoitia,1.6
2010,AES,,TIT,,,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2011,AES,,TIT,,,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2012,AES,,TIT,,,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2013,AES,,TIT,,,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2014,AES,,TIT,,,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2015,AES,,TIT,,,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2016,AES,,TIT,,,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2017,AES,,TIT,,,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2018,AES,,TIT,,,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2019,AES,,TIT,,,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2020,AES,,TIT,,,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2021,AES,,TIT,,,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2022,AES,,TIT,,,,,Kripan,1.000 biztanle bakoitzeko,Kripan,0.0
2010,AES,,TIT,,,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,6.7
2011,AES,,TIT,,,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,6.8
2012,AES,,TIT,,,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,9.5
2013,AES,,TIT,,,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,12.3
2014,AES,,TIT,,,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,14.4
2015,AES,,TIT,,,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,15.1
2016,AES,,TIT,,,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,15.0
2017,AES,,TIT,,,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,14.7
2018,AES,,TIT,,,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,14.3
2019,AES,,TIT,,,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,14.2
2020,AES,,TIT,,,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,15.4
2021,AES,,TIT,,,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,15.3
2022,AES,,TIT,,,,Arabako Lautada / Llanada Alavesa,,1.000 biztanle bakoitzeko,Arabako Lautada / Llanada Alavesa,13.9
2010,AES,,TIT,,,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,0.0
2011,AES,,TIT,,,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,2.9
2012,AES,,TIT,,,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,2.9
2013,AES,,TIT,,,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,2.9
2014,AES,,TIT,,,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,0.0
2015,AES,,TIT,,,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,0.0
2016,AES,,TIT,,,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,0.0
2017,AES,,TIT,,,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,0.0
2018,AES,,TIT,,,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,0.0
2019,AES,,TIT,,,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,2.7
2020,AES,,TIT,,,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,0.0
2021,AES,,TIT,,,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,2.5
2022,AES,,TIT,,,,,Kuartango,1.000 biztanle bakoitzeko,Kuartango,2.5
2010,AES,,TIT,,,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,1.6
2011,AES,,TIT,,,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,1.6
2012,AES,,TIT,,,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,3.1
2013,AES,,TIT,,,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,3.1
2014,AES,,TIT,,,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,3.1
2015,AES,,TIT,,,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,3.2
2016,AES,,TIT,,,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,3.1
2017,AES,,TIT,,,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,1.6
2018,AES,,TIT,,,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,1.6
2019,AES,,TIT,,,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,0.0
2020,AES,,TIT,,,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,1.6
2021,AES,,TIT,,,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,1.5
2022,AES,,TIT,,,,,Elburgo/Burgelu,1.000 biztanle bakoitzeko,Elburgo/Burgelu,3.1
2010,AES,,TIT,,,,,Elciego,1.000 biztanle bakoitzeko,Elciego,3.7
2011,AES,,TIT,,,,,Elciego,1.000 biztanle bakoitzeko,Elciego,0.9
