Year,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2012,,,Aizarnazabal,Porcentaje,Aizarnazabal,1.1
2019,,,Aizarnazabal,Porcentaje,Aizarnazabal,1.0
2020,,,Aizarnazabal,Porcentaje,Aizarnazabal,1.2
2015,,,Aizarnazabal,Porcentaje,Aizarnazabal,1.1
2016,,,Aizarnazabal,Porcentaje,Aizarnazabal,1.0
2018,,,Aizarnazabal,Porcentaje,Aizarnazabal,1.0
2010,,,Aizarnazabal,Porcentaje,Aizarnazabal,1.1
2014,,,Aizarnazabal,Porcentaje,Aizarnazabal,0.8
2010,,,Ajangiz,Porcentaje,Ajangiz,0.9
2017,,,Ajangiz,Porcentaje,Ajangiz,0.9
2019,,,Ajangiz,Porcentaje,Ajangiz,0.9
2018,,,Ajangiz,Porcentaje,Ajangiz,0.8
2016,,,Ajangiz,Porcentaje,Ajangiz,1.0
2014,,,Ajangiz,Porcentaje,Ajangiz,0.8
2020,,,Ajangiz,Porcentaje,Ajangiz,1.0
2021,,,Ajangiz,Porcentaje,Ajangiz,1.0
2015,,,Ajangiz,Porcentaje,Ajangiz,0.9
2012,,,Ajangiz,Porcentaje,Ajangiz,1.0
2021,,,Albiztur,Porcentaje,Albiztur,3.7
2018,,,Albiztur,Porcentaje,Albiztur,3.2
2014,,,Albiztur,Porcentaje,Albiztur,4.9
2012,,,Albiztur,Porcentaje,Albiztur,2.4
2019,,,Albiztur,Porcentaje,Albiztur,4.1
2016,,,Albiztur,Porcentaje,Albiztur,4.2
2015,,,Albiztur,Porcentaje,Albiztur,4.0
2020,,,Albiztur,Porcentaje,Albiztur,3.5
2010,,,Albiztur,Porcentaje,Albiztur,2.5
2017,,,Albiztur,Porcentaje,Albiztur,4.7
2017,,,Alegia,Porcentaje,Alegia,0.9
2015,,,Alegia,Porcentaje,Alegia,0.7
2010,,,Alegia,Porcentaje,Alegia,0.8
2019,,,Alegia,Porcentaje,Alegia,0.8
2014,,,Alegia,Porcentaje,Alegia,0.8
2018,,,Alegia,Porcentaje,Alegia,0.6
2020,,,Alegia,Porcentaje,Alegia,0.6
2012,,,Alegia,Porcentaje,Alegia,0.7
2021,,,Alegia,Porcentaje,Alegia,0.7
2016,,,Alegia,Porcentaje,Alegia,0.8
2015,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,3.6
2020,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,3.2
2014,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,2.5
2012,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,1.7
2010,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,1.7
2021,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,3.7
2016,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,3.4
2019,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,3.5
2017,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,4.1
2018,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,4.0
2021,,,Alkiza,Porcentaje,Alkiza,12.2
2016,,,Alkiza,Porcentaje,Alkiza,9.4
2012,,,Alkiza,Porcentaje,Alkiza,8.5
2010,,,Alkiza,Porcentaje,Alkiza,9.4
2020,,,Alkiza,Porcentaje,Alkiza,11.5
2019,,,Alkiza,Porcentaje,Alkiza,11.3
2017,,,Alkiza,Porcentaje,Alkiza,11.3
2015,,,Alkiza,Porcentaje,Alkiza,10.6
2018,,,Alkiza,Porcentaje,Alkiza,9.5
2014,,,Alkiza,Porcentaje,Alkiza,8.8
2014,,,Alonsotegi,Porcentaje,Alonsotegi,0.7
2018,,,Alonsotegi,Porcentaje,Alonsotegi,0.7
2012,,,Alonsotegi,Porcentaje,Alonsotegi,0.5
2019,,,Alonsotegi,Porcentaje,Alonsotegi,0.7
2017,,,Alonsotegi,Porcentaje,Alonsotegi,0.8
2021,,,Alonsotegi,Porcentaje,Alonsotegi,1.1
2016,,,Alonsotegi,Porcentaje,Alonsotegi,0.8
2010,,,Alonsotegi,Porcentaje,Alonsotegi,0.5
2015,,,Alonsotegi,Porcentaje,Alonsotegi,0.6
2020,,,Alonsotegi,Porcentaje,Alonsotegi,0.7
2016,,,Altzaga,Porcentaje,Altzaga,5.4
2010,,,Altzaga,Porcentaje,Altzaga,5.5
2012,,,Altzaga,Porcentaje,Altzaga,5.1
2018,,,Altzaga,Porcentaje,Altzaga,4.7
2017,,,Altzaga,Porcentaje,Altzaga,6.0
2015,,,Altzaga,Porcentaje,Altzaga,5.5
2020,,,Altzaga,Porcentaje,Altzaga,4.8
2014,,,Altzaga,Porcentaje,Altzaga,4.7
2019,,,Altzaga,Porcentaje,Altzaga,4.9
2021,,,Altzaga,Porcentaje,Altzaga,6.5
2015,,,Altzo,Porcentaje,Altzo,1.2
2019,,,Altzo,Porcentaje,Altzo,1.3
2021,,,Altzo,Porcentaje,Altzo,1.2
2010,,,Altzo,Porcentaje,Altzo,1.2
2016,,,Altzo,Porcentaje,Altzo,1.2
2020,,,Altzo,Porcentaje,Altzo,1.0
2017,,,Altzo,Porcentaje,Altzo,1.8
2018,,,Altzo,Porcentaje,Altzo,1.2
2012,,,Altzo,Porcentaje,Altzo,1.4
2014,,,Altzo,Porcentaje,Altzo,1.3
2018,,,Amezketa,Porcentaje,Amezketa,1.6
2012,,,Amezketa,Porcentaje,Amezketa,2.4
2010,,,Amezketa,Porcentaje,Amezketa,3.0
2014,,,Amezketa,Porcentaje,Amezketa,1.9
2015,,,Amezketa,Porcentaje,Amezketa,1.7
2016,,,Amezketa,Porcentaje,Amezketa,1.8
2017,,,Amezketa,Porcentaje,Amezketa,2.1
2021,,,Amezketa,Porcentaje,Amezketa,1.4
2019,,,Amezketa,Porcentaje,Amezketa,1.5
2020,,,Amezketa,Porcentaje,Amezketa,1.5
2018,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,0.3
2021,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,0.3
2016,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,0.4
2010,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,0.4
2020,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,0.3
2012,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,0.4
2017,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,0.3
2015,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,0.4
2019,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,0.3
2014,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,0.4
2012,,,Amoroto,Porcentaje,Amoroto,4.4
2016,,,Amoroto,Porcentaje,Amoroto,5.6
2017,,,Amoroto,Porcentaje,Amoroto,4.8
2015,,,Amoroto,Porcentaje,Amoroto,5.7
2020,,,Amoroto,Porcentaje,Amoroto,4.0
2021,,,Amoroto,Porcentaje,Amoroto,5.7
2010,,,Amoroto,Porcentaje,Amoroto,3.3
2018,,,Amoroto,Porcentaje,Amoroto,4.0
2019,,,Amoroto,Porcentaje,Amoroto,4.0
2014,,,Amoroto,Porcentaje,Amoroto,4.7
2021,,,Amurrio,Porcentaje,Amurrio,1.4
2015,,,Amurrio,Porcentaje,Amurrio,1.3
2017,,,Amurrio,Porcentaje,Amurrio,1.3
2012,,,Amurrio,Porcentaje,Amurrio,1.0
2019,,,Amurrio,Porcentaje,Amurrio,0.9
2020,,,Amurrio,Porcentaje,Amurrio,1.0
2016,,,Amurrio,Porcentaje,Amurrio,1.2
2010,,,Amurrio,Porcentaje,Amurrio,1.2
2014,,,Amurrio,Porcentaje,Amurrio,1.5
2018,,,Amurrio,Porcentaje,Amurrio,1.2
2016,,,Andoain,Porcentaje,Andoain,0.2
2014,,,Andoain,Porcentaje,Andoain,0.2
2015,,,Andoain,Porcentaje,Andoain,0.3
2019,,,Andoain,Porcentaje,Andoain,0.2
2021,,,Andoain,Porcentaje,Andoain,0.3
2020,,,Andoain,Porcentaje,Andoain,0.2
2012,,,Andoain,Porcentaje,Andoain,0.2
2010,,,Andoain,Porcentaje,Andoain,0.2
2017,,,Andoain,Porcentaje,Andoain,0.2
2018,,,Andoain,Porcentaje,Andoain,0.2
2016,,,Anoeta,Porcentaje,Anoeta,0.4
2018,,,Anoeta,Porcentaje,Anoeta,0.4
2021,,,Anoeta,Porcentaje,Anoeta,0.5
2012,,,Anoeta,Porcentaje,Anoeta,0.3
2015,,,Anoeta,Porcentaje,Anoeta,0.4
2010,,,Anoeta,Porcentaje,Anoeta,0.3
2020,,,Anoeta,Porcentaje,Anoeta,0.5
2019,,,Anoeta,Porcentaje,Anoeta,0.5
2017,,,Anoeta,Porcentaje,Anoeta,0.5
2014,,,Anoeta,Porcentaje,Anoeta,0.3
2015,,,Antzuola,Porcentaje,Antzuola,1.3
2019,,,Antzuola,Porcentaje,Antzuola,1.6
2010,,,Antzuola,Porcentaje,Antzuola,1.1
2021,,,Antzuola,Porcentaje,Antzuola,1.7
2012,,,Antzuola,Porcentaje,Antzuola,1.1
2016,,,Antzuola,Porcentaje,Antzuola,1.2
2020,,,Antzuola,Porcentaje,Antzuola,1.4
2018,,,Antzuola,Porcentaje,Antzuola,1.2
2014,,,Antzuola,Porcentaje,Antzuola,1.1
2017,,,Antzuola,Porcentaje,Antzuola,1.5
2020,,,Añana,Porcentaje,Añana,13.6
2015,,,Añana,Porcentaje,Añana,16.8
2016,,,Añana,Porcentaje,Añana,15.8
2010,,,Añana,Porcentaje,Añana,9.6
2012,,,Añana,Porcentaje,Añana,12.3
2014,,,Añana,Porcentaje,Añana,13.6
2018,,,Añana,Porcentaje,Añana,11.8
2017,,,Añana,Porcentaje,Añana,14.3
2019,,,Añana,Porcentaje,Añana,14.7
2021,,,Añana,Porcentaje,Añana,17.3
2017,,,Arakaldo,Porcentaje,Arakaldo,4.4
2018,,,Arakaldo,Porcentaje,Arakaldo,3.8
2019,,,Arakaldo,Porcentaje,Arakaldo,4.0
2020,,,Arakaldo,Porcentaje,Arakaldo,5.2
2012,,,Arakaldo,Porcentaje,Arakaldo,2.0
2021,,,Arakaldo,Porcentaje,Arakaldo,6.6
2014,,,Arakaldo,Porcentaje,Arakaldo,2.5
2015,,,Arakaldo,Porcentaje,Arakaldo,4.6
2016,,,Arakaldo,Porcentaje,Arakaldo,4.7
2010,,,Arakaldo,Porcentaje,Arakaldo,1.4
2014,,,Arama,Porcentaje,Arama,1.5
2016,,,Arama,Porcentaje,Arama,0.4
2020,,,Arama,Porcentaje,Arama,0.4
2017,,,Arama,Porcentaje,Arama,0.5
2012,,,Arama,Porcentaje,Arama,1.5
2018,,,Arama,Porcentaje,Arama,0.4
2015,,,Arama,Porcentaje,Arama,1.5
2021,,,Arama,Porcentaje,Arama,0.3
2010,,,Arama,Porcentaje,Arama,1.3
2019,,,Arama,Porcentaje,Arama,0.3
2014,,,Aramaio,Porcentaje,Aramaio,17.4
2018,,,Aramaio,Porcentaje,Aramaio,16.5
2020,,,Aramaio,Porcentaje,Aramaio,12.5
2015,,,Aramaio,Porcentaje,Aramaio,15.9
2021,,,Aramaio,Porcentaje,Aramaio,17.2
2010,,,Aramaio,Porcentaje,Aramaio,16.8
2012,,,Aramaio,Porcentaje,Aramaio,13.7
2016,,,Aramaio,Porcentaje,Aramaio,14.4
2017,,,Aramaio,Porcentaje,Aramaio,16.4
2019,,,Aramaio,Porcentaje,Aramaio,13.8
2015,,,Arantzazu,Porcentaje,Arantzazu,3.4
2012,,,Arantzazu,Porcentaje,Arantzazu,3.4
2010,,,Arantzazu,Porcentaje,Arantzazu,3.4
2016,,,Arantzazu,Porcentaje,Arantzazu,4.2
2021,,,Arantzazu,Porcentaje,Arantzazu,8.4
2017,,,Arantzazu,Porcentaje,Arantzazu,4.2
2019,,,Arantzazu,Porcentaje,Arantzazu,5.8
2018,,,Arantzazu,Porcentaje,Arantzazu,4.9
2014,,,Arantzazu,Porcentaje,Arantzazu,3.7
2020,,,Arantzazu,Porcentaje,Arantzazu,6.6
2012,,,Areatza,Porcentaje,Areatza,1.6
2015,,,Areatza,Porcentaje,Areatza,1.9
2017,,,Areatza,Porcentaje,Areatza,2.3
2020,,,Areatza,Porcentaje,Areatza,3.0
2016,,,Areatza,Porcentaje,Areatza,2.5
2018,,,Areatza,Porcentaje,Areatza,2.2
2021,,,Areatza,Porcentaje,Areatza,3.9
2019,,,Areatza,Porcentaje,Areatza,2.4
2014,,,Areatza,Porcentaje,Areatza,1.9
2010,,,Areatza,Porcentaje,Areatza,1.2
2017,,,Aretxabaleta,Porcentaje,Aretxabaleta,0.5
2020,,,Aretxabaleta,Porcentaje,Aretxabaleta,0.4
2014,,,Aretxabaleta,Porcentaje,Aretxabaleta,0.3
2018,,,Aretxabaleta,Porcentaje,Aretxabaleta,0.4
2021,,,Aretxabaleta,Porcentaje,Aretxabaleta,0.5
2016,,,Aretxabaleta,Porcentaje,Aretxabaleta,0.4
2015,,,Aretxabaleta,Porcentaje,Aretxabaleta,0.4
2019,,,Aretxabaleta,Porcentaje,Aretxabaleta,0.5
2012,,,Aretxabaleta,Porcentaje,Aretxabaleta,0.3
2010,,,Aretxabaleta,Porcentaje,Aretxabaleta,0.4
2010,,,Armiñón,Porcentaje,Armiñón,6.5
2020,,,Armiñón,Porcentaje,Armiñón,9.6
2021,,,Armiñón,Porcentaje,Armiñón,10.5
2015,,,Armiñón,Porcentaje,Armiñón,7.3
2016,,,Armiñón,Porcentaje,Armiñón,9.2
2018,,,Armiñón,Porcentaje,Armiñón,7.2
2019,,,Armiñón,Porcentaje,Armiñón,8.1
2012,,,Armiñón,Porcentaje,Armiñón,6.6
2014,,,Armiñón,Porcentaje,Armiñón,6.6
2017,,,Armiñón,Porcentaje,Armiñón,7.4
2017,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,13.4
2021,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,14.3
2019,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,12.2
2010,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,6.8
2014,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,12.6
2016,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,12.7
2020,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,12.0
2012,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,10.2
2015,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,11.0
2018,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,13.4
2015,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,2.0
2016,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,2.1
2019,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,1.9
2020,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,1.7
2017,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,1.7
2010,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,1.9
2012,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,2.4
2021,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,2.1
2014,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,2.2
2018,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,1.5
2014,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,0.1
2016,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,0.2
2019,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,0.2
2020,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,0.2
2017,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,0.2
2010,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,0.1
2018,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,0.1
2021,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,0.2
2012,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,0.1
2015,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,0.1
2010,,,Arratzu,Porcentaje,Arratzu,8.0
2015,,,Arratzu,Porcentaje,Arratzu,13.4
2014,,,Arratzu,Porcentaje,Arratzu,11.3
2021,,,Arratzu,Porcentaje,Arratzu,12.0
2017,,,Arratzu,Porcentaje,Arratzu,12.8
2012,,,Arratzu,Porcentaje,Arratzu,12.6
2016,,,Arratzu,Porcentaje,Arratzu,13.1
2018,,,Arratzu,Porcentaje,Arratzu,11.3
2019,,,Arratzu,Porcentaje,Arratzu,12.9
2020,,,Arratzu,Porcentaje,Arratzu,11.8
2010,,,Arratzua-Ubarrundia,Porcentaje,Arratzua-Ubarrundia,8.1
2014,,,Arratzua-Ubarrundia,Porcentaje,Arratzua-Ubarrundia,10.7
2021,,,Arratzua-Ubarrundia,Porcentaje,Arratzua-Ubarrundia,7.2
2012,,,Arratzua-Ubarrundia,Porcentaje,Arratzua-Ubarrundia,7.4
2016,,,Arratzua-Ubarrundia,Porcentaje,Arratzua-Ubarrundia,9.0
2020,,,Arratzua-Ubarrundia,Porcentaje,Arratzua-Ubarrundia,6.4
2015,,,Arratzua-Ubarrundia,Porcentaje,Arratzua-Ubarrundia,9.3
2018,,,Arratzua-Ubarrundia,Porcentaje,Arratzua-Ubarrundia,7.5
2019,,,Arratzua-Ubarrundia,Porcentaje,Arratzua-Ubarrundia,6.8
2017,,,Arratzua-Ubarrundia,Porcentaje,Arratzua-Ubarrundia,8.8
2021,,,Arrieta,Porcentaje,Arrieta,15.4
2019,,,Arrieta,Porcentaje,Arrieta,12.2
2020,,,Arrieta,Porcentaje,Arrieta,13.7
2012,,,Arrieta,Porcentaje,Arrieta,12.7
2018,,,Arrieta,Porcentaje,Arrieta,13.6
2015,,,Arrieta,Porcentaje,Arrieta,15.7
2014,,,Arrieta,Porcentaje,Arrieta,14.1
2016,,,Arrieta,Porcentaje,Arrieta,15.6
2017,,,Arrieta,Porcentaje,Arrieta,15.1
2010,,,Arrieta,Porcentaje,Arrieta,11.2
2021,,,Arrigorriaga,Porcentaje,Arrigorriaga,0.4
2020,,,Arrigorriaga,Porcentaje,Arrigorriaga,0.4
2010,,,Arrigorriaga,Porcentaje,Arrigorriaga,0.1
2015,,,Arrigorriaga,Porcentaje,Arrigorriaga,0.2
2016,,,Arrigorriaga,Porcentaje,Arrigorriaga,0.2
2012,,,Arrigorriaga,Porcentaje,Arrigorriaga,0.2
2017,,,Arrigorriaga,Porcentaje,Arrigorriaga,0.2
2014,,,Arrigorriaga,Porcentaje,Arrigorriaga,0.2
2019,,,Arrigorriaga,Porcentaje,Arrigorriaga,0.3
2018,,,Arrigorriaga,Porcentaje,Arrigorriaga,0.2
2012,,,Artea,Porcentaje,Artea,1.6
2015,,,Artea,Porcentaje,Artea,2.1
2021,,,Artea,Porcentaje,Artea,2.3
2019,,,Artea,Porcentaje,Artea,1.9
2018,,,Artea,Porcentaje,Artea,1.7
2017,,,Artea,Porcentaje,Artea,2.0
2020,,,Artea,Porcentaje,Artea,2.1
2014,,,Artea,Porcentaje,Artea,1.7
2016,,,Artea,Porcentaje,Artea,2.1
2010,,,Artea,Porcentaje,Artea,1.5
2020,,,Artzentales,Porcentaje,Artzentales,15.0
2015,,,Artzentales,Porcentaje,Artzentales,10.1
2017,,,Artzentales,Porcentaje,Artzentales,12.5
2016,,,Artzentales,Porcentaje,Artzentales,12.1
2018,,,Artzentales,Porcentaje,Artzentales,13.6
2019,,,Artzentales,Porcentaje,Artzentales,13.6
2010,,,Artzentales,Porcentaje,Artzentales,10.2
2014,,,Artzentales,Porcentaje,Artzentales,12.3
2021,,,Artzentales,Porcentaje,Artzentales,19.8
2012,,,Artzentales,Porcentaje,Artzentales,11.0
2015,,,Artziniega,Porcentaje,Artziniega,2.2
2016,,,Artziniega,Porcentaje,Artziniega,2.1
2018,,,Artziniega,Porcentaje,Artziniega,2.7
2020,,,Artziniega,Porcentaje,Artziniega,1.7
2010,,,Artziniega,Porcentaje,Artziniega,2.0
2017,,,Artziniega,Porcentaje,Artziniega,2.4
2021,,,Artziniega,Porcentaje,Artziniega,2.8
2014,,,Artziniega,Porcentaje,Artziniega,2.9
2019,,,Artziniega,Porcentaje,Artziniega,2.0
2012,,,Artziniega,Porcentaje,Artziniega,2.0
2015,,,Asparrena,Porcentaje,Asparrena,3.1
2021,,,Asparrena,Porcentaje,Asparrena,1.6
2012,,,Asparrena,Porcentaje,Asparrena,3.3
2017,,,Asparrena,Porcentaje,Asparrena,1.7
2019,,,Asparrena,Porcentaje,Asparrena,1.3
2016,,,Asparrena,Porcentaje,Asparrena,2.4
2010,,,Asparrena,Porcentaje,Asparrena,2.1
2018,,,Asparrena,Porcentaje,Asparrena,1.5
2014,,,Asparrena,Porcentaje,Asparrena,3.5
2020,,,Asparrena,Porcentaje,Asparrena,1.7
2019,,,Asteasu,Porcentaje,Asteasu,1.5
2015,,,Asteasu,Porcentaje,Asteasu,2.1
2021,,,Asteasu,Porcentaje,Asteasu,1.3
2012,,,Asteasu,Porcentaje,Asteasu,2.4
2016,,,Asteasu,Porcentaje,Asteasu,1.6
2014,,,Asteasu,Porcentaje,Asteasu,2.2
2018,,,Asteasu,Porcentaje,Asteasu,1.4
2020,,,Asteasu,Porcentaje,Asteasu,1.5
2010,,,Asteasu,Porcentaje,Asteasu,3.0
2017,,,Asteasu,Porcentaje,Asteasu,1.6
2016,,,Astigarraga,Porcentaje,Astigarraga,0.1
2015,,,Astigarraga,Porcentaje,Astigarraga,0.1
2012,,,Astigarraga,Porcentaje,Astigarraga,0.1
2010,,,Astigarraga,Porcentaje,Astigarraga,0.1
2014,,,Astigarraga,Porcentaje,Astigarraga,0.1
2017,,,Astigarraga,Porcentaje,Astigarraga,0.2
2021,,,Astigarraga,Porcentaje,Astigarraga,0.3
2018,,,Astigarraga,Porcentaje,Astigarraga,0.2
2020,,,Astigarraga,Porcentaje,Astigarraga,0.3
2019,,,Astigarraga,Porcentaje,Astigarraga,0.2
2018,,,Ataun,Porcentaje,Ataun,6.1
2010,,,Ataun,Porcentaje,Ataun,7.5
2016,,,Ataun,Porcentaje,Ataun,7.2
2014,,,Ataun,Porcentaje,Ataun,8.4
2012,,,Ataun,Porcentaje,Ataun,8.0
2015,,,Ataun,Porcentaje,Ataun,7.5
2019,,,Ataun,Porcentaje,Ataun,7.7
2020,,,Ataun,Porcentaje,Ataun,7.2
2021,,,Ataun,Porcentaje,Ataun,8.5
2017,,,Ataun,Porcentaje,Ataun,7.9
2015,,,Atxondo,Porcentaje,Atxondo,0.7
2012,,,Atxondo,Porcentaje,Atxondo,0.7
