Year,Actividad económica,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2017,AGRI_ECO,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,5.9
2021,AGRI_ECO,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,14.3
2012,AGRI_ECO,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.0
2014,AGRI_ECO,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.0
2018,AGRI_ECO,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,5.9
2015,AGRI_ECO,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.0
2020,AGRI_ECO,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.0
2013,AGRI_ECO,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.0
2011,AGRI_ECO,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.0
2016,AGRI_ECO,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.0
2010,AGRI_ECO,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.0
2019,AGRI_ECO,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,5.9
2022,AGRI_ECO,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,14.3
2017,AGRI_ECO,,,Aduna,Porcentaje,Aduna,0.0
2016,AGRI_ECO,,,Aduna,Porcentaje,Aduna,0.0
2013,AGRI_ECO,,,Aduna,Porcentaje,Aduna,0.0
2014,AGRI_ECO,,,Aduna,Porcentaje,Aduna,0.0
2022,AGRI_ECO,,,Aduna,Porcentaje,Aduna,0.0
2011,AGRI_ECO,,,Aduna,Porcentaje,Aduna,0.0
2015,AGRI_ECO,,,Aduna,Porcentaje,Aduna,0.0
2010,AGRI_ECO,,,Aduna,Porcentaje,Aduna,0.0
2021,AGRI_ECO,,,Aduna,Porcentaje,Aduna,0.0
2018,AGRI_ECO,,,Aduna,Porcentaje,Aduna,0.0
2019,AGRI_ECO,,,Aduna,Porcentaje,Aduna,0.0
2020,AGRI_ECO,,,Aduna,Porcentaje,Aduna,0.0
2012,AGRI_ECO,,,Aduna,Porcentaje,Aduna,0.0
2021,AGRI_ECO,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,0.0
2022,AGRI_ECO,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,0.0
2016,AGRI_ECO,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,2.8
2020,AGRI_ECO,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,3.0
2011,AGRI_ECO,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,2.8
2015,AGRI_ECO,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,5.6
2010,AGRI_ECO,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,2.8
2014,AGRI_ECO,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,2.8
2013,AGRI_ECO,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,2.8
2018,AGRI_ECO,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,2.8
2019,AGRI_ECO,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,2.8
2017,AGRI_ECO,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,2.8
2012,AGRI_ECO,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,2.8
2010,AGRI_ECO,,,Aia,Porcentaje,Aia,6.5
2018,AGRI_ECO,,,Aia,Porcentaje,Aia,9.7
2016,AGRI_ECO,,,Aia,Porcentaje,Aia,9.7
2021,AGRI_ECO,,,Aia,Porcentaje,Aia,14.6
2020,AGRI_ECO,,,Aia,Porcentaje,Aia,14.6
2012,AGRI_ECO,,,Aia,Porcentaje,Aia,6.5
2014,AGRI_ECO,,,Aia,Porcentaje,Aia,9.7
2022,AGRI_ECO,,,Aia,Porcentaje,Aia,7.3
2015,AGRI_ECO,,,Aia,Porcentaje,Aia,12.9
2013,AGRI_ECO,,,Aia,Porcentaje,Aia,9.7
2017,AGRI_ECO,,,Aia,Porcentaje,Aia,9.7
2011,AGRI_ECO,,,Aia,Porcentaje,Aia,12.9
2019,AGRI_ECO,,,Aia,Porcentaje,Aia,16.1
2017,AGRI_ECO,,,Aizarnazabal,Porcentaje,Aizarnazabal,28.6
2011,AGRI_ECO,,,Aizarnazabal,Porcentaje,Aizarnazabal,42.9
2022,AGRI_ECO,,,Aizarnazabal,Porcentaje,Aizarnazabal,12.5
2014,AGRI_ECO,,,Aizarnazabal,Porcentaje,Aizarnazabal,28.6
2013,AGRI_ECO,,,Aizarnazabal,Porcentaje,Aizarnazabal,42.9
2012,AGRI_ECO,,,Aizarnazabal,Porcentaje,Aizarnazabal,42.9
2010,AGRI_ECO,,,Aizarnazabal,Porcentaje,Aizarnazabal,42.9
2019,AGRI_ECO,,,Aizarnazabal,Porcentaje,Aizarnazabal,14.3
2021,AGRI_ECO,,,Aizarnazabal,Porcentaje,Aizarnazabal,12.5
2015,AGRI_ECO,,,Aizarnazabal,Porcentaje,Aizarnazabal,28.6
2016,AGRI_ECO,,,Aizarnazabal,Porcentaje,Aizarnazabal,28.6
2020,AGRI_ECO,,,Aizarnazabal,Porcentaje,Aizarnazabal,12.5
2018,AGRI_ECO,,,Aizarnazabal,Porcentaje,Aizarnazabal,28.6
2012,AGRI_ECO,,,Ajangiz,Porcentaje,Ajangiz,5.9
2010,AGRI_ECO,,,Ajangiz,Porcentaje,Ajangiz,5.9
2016,AGRI_ECO,,,Ajangiz,Porcentaje,Ajangiz,8.8
2021,AGRI_ECO,,,Ajangiz,Porcentaje,Ajangiz,33.3
2022,AGRI_ECO,,,Ajangiz,Porcentaje,Ajangiz,22.2
2017,AGRI_ECO,,,Ajangiz,Porcentaje,Ajangiz,8.8
2011,AGRI_ECO,,,Ajangiz,Porcentaje,Ajangiz,8.8
2015,AGRI_ECO,,,Ajangiz,Porcentaje,Ajangiz,8.8
2020,AGRI_ECO,,,Ajangiz,Porcentaje,Ajangiz,22.2
2018,AGRI_ECO,,,Ajangiz,Porcentaje,Ajangiz,5.9
2013,AGRI_ECO,,,Ajangiz,Porcentaje,Ajangiz,8.8
2014,AGRI_ECO,,,Ajangiz,Porcentaje,Ajangiz,8.8
2019,AGRI_ECO,,,Ajangiz,Porcentaje,Ajangiz,8.8
2014,AGRI_ECO,,,Albiztur,Porcentaje,Albiztur,0.0
2017,AGRI_ECO,,,Albiztur,Porcentaje,Albiztur,0.0
2020,AGRI_ECO,,,Albiztur,Porcentaje,Albiztur,0.0
2012,AGRI_ECO,,,Albiztur,Porcentaje,Albiztur,0.0
2018,AGRI_ECO,,,Albiztur,Porcentaje,Albiztur,0.0
2011,AGRI_ECO,,,Albiztur,Porcentaje,Albiztur,0.0
2022,AGRI_ECO,,,Albiztur,Porcentaje,Albiztur,25.0
2019,AGRI_ECO,,,Albiztur,Porcentaje,Albiztur,0.0
2016,AGRI_ECO,,,Albiztur,Porcentaje,Albiztur,0.0
2010,AGRI_ECO,,,Albiztur,Porcentaje,Albiztur,0.0
2021,AGRI_ECO,,,Albiztur,Porcentaje,Albiztur,0.0
2015,AGRI_ECO,,,Albiztur,Porcentaje,Albiztur,0.0
2013,AGRI_ECO,,,Albiztur,Porcentaje,Albiztur,0.0
2011,AGRI_ECO,,,Alegia,Porcentaje,Alegia,0.0
2017,AGRI_ECO,,,Alegia,Porcentaje,Alegia,0.0
2013,AGRI_ECO,,,Alegia,Porcentaje,Alegia,0.0
2010,AGRI_ECO,,,Alegia,Porcentaje,Alegia,0.0
2014,AGRI_ECO,,,Alegia,Porcentaje,Alegia,0.0
2012,AGRI_ECO,,,Alegia,Porcentaje,Alegia,0.0
2016,AGRI_ECO,,,Alegia,Porcentaje,Alegia,0.0
2020,AGRI_ECO,,,Alegia,Porcentaje,Alegia,0.0
2018,AGRI_ECO,,,Alegia,Porcentaje,Alegia,0.0
2021,AGRI_ECO,,,Alegia,Porcentaje,Alegia,0.0
2022,AGRI_ECO,,,Alegia,Porcentaje,Alegia,0.0
2019,AGRI_ECO,,,Alegia,Porcentaje,Alegia,0.0
2015,AGRI_ECO,,,Alegia,Porcentaje,Alegia,0.0
2020,AGRI_ECO,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,6.3
2021,AGRI_ECO,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,6.3
2013,AGRI_ECO,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,0.0
2010,AGRI_ECO,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,0.0
2018,AGRI_ECO,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,5.9
2011,AGRI_ECO,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,0.0
2017,AGRI_ECO,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,0.0
2022,AGRI_ECO,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,6.3
2014,AGRI_ECO,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,5.9
2016,AGRI_ECO,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,0.0
2012,AGRI_ECO,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,0.0
2015,AGRI_ECO,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,5.9
2019,AGRI_ECO,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,5.9
2011,AGRI_ECO,,,Alkiza,Porcentaje,Alkiza,0.0
2020,AGRI_ECO,,,Alkiza,Porcentaje,Alkiza,14.3
2022,AGRI_ECO,,,Alkiza,Porcentaje,Alkiza,42.9
2013,AGRI_ECO,,,Alkiza,Porcentaje,Alkiza,0.0
2014,AGRI_ECO,,,Alkiza,Porcentaje,Alkiza,0.0
2018,AGRI_ECO,,,Alkiza,Porcentaje,Alkiza,0.0
2012,AGRI_ECO,,,Alkiza,Porcentaje,Alkiza,0.0
2021,AGRI_ECO,,,Alkiza,Porcentaje,Alkiza,14.3
2016,AGRI_ECO,,,Alkiza,Porcentaje,Alkiza,0.0
2015,AGRI_ECO,,,Alkiza,Porcentaje,Alkiza,50.0
2019,AGRI_ECO,,,Alkiza,Porcentaje,Alkiza,0.0
2017,AGRI_ECO,,,Alkiza,Porcentaje,Alkiza,0.0
2010,AGRI_ECO,,,Alkiza,Porcentaje,Alkiza,0.0
2011,AGRI_ECO,,,Alonsotegi,Porcentaje,Alonsotegi,0.0
2010,AGRI_ECO,,,Alonsotegi,Porcentaje,Alonsotegi,0.0
2021,AGRI_ECO,,,Alonsotegi,Porcentaje,Alonsotegi,0.0
2013,AGRI_ECO,,,Alonsotegi,Porcentaje,Alonsotegi,16.7
2014,AGRI_ECO,,,Alonsotegi,Porcentaje,Alonsotegi,16.7
2016,AGRI_ECO,,,Alonsotegi,Porcentaje,Alonsotegi,16.7
2012,AGRI_ECO,,,Alonsotegi,Porcentaje,Alonsotegi,16.7
2022,AGRI_ECO,,,Alonsotegi,Porcentaje,Alonsotegi,50.0
2019,AGRI_ECO,,,Alonsotegi,Porcentaje,Alonsotegi,16.7
2018,AGRI_ECO,,,Alonsotegi,Porcentaje,Alonsotegi,16.7
2020,AGRI_ECO,,,Alonsotegi,Porcentaje,Alonsotegi,50.0
2017,AGRI_ECO,,,Alonsotegi,Porcentaje,Alonsotegi,16.7
2015,AGRI_ECO,,,Alonsotegi,Porcentaje,Alonsotegi,16.7
2019,AGRI_ECO,,,Altzaga,Porcentaje,Altzaga,16.7
2020,AGRI_ECO,,,Altzaga,Porcentaje,Altzaga,0.0
2017,AGRI_ECO,,,Altzaga,Porcentaje,Altzaga,16.7
2014,AGRI_ECO,,,Altzaga,Porcentaje,Altzaga,16.7
2010,AGRI_ECO,,,Altzaga,Porcentaje,Altzaga,0.0
2011,AGRI_ECO,,,Altzaga,Porcentaje,Altzaga,0.0
2016,AGRI_ECO,,,Altzaga,Porcentaje,Altzaga,16.7
2021,AGRI_ECO,,,Altzaga,Porcentaje,Altzaga,16.7
2022,AGRI_ECO,,,Altzaga,Porcentaje,Altzaga,16.7
2015,AGRI_ECO,,,Altzaga,Porcentaje,Altzaga,16.7
2013,AGRI_ECO,,,Altzaga,Porcentaje,Altzaga,16.7
2018,AGRI_ECO,,,Altzaga,Porcentaje,Altzaga,16.7
2012,AGRI_ECO,,,Altzaga,Porcentaje,Altzaga,0.0
2014,AGRI_ECO,,,Altzo,Porcentaje,Altzo,14.3
2010,AGRI_ECO,,,Altzo,Porcentaje,Altzo,14.3
2013,AGRI_ECO,,,Altzo,Porcentaje,Altzo,14.3
2021,AGRI_ECO,,,Altzo,Porcentaje,Altzo,22.2
2018,AGRI_ECO,,,Altzo,Porcentaje,Altzo,14.3
2020,AGRI_ECO,,,Altzo,Porcentaje,Altzo,11.1
2016,AGRI_ECO,,,Altzo,Porcentaje,Altzo,14.3
2022,AGRI_ECO,,,Altzo,Porcentaje,Altzo,22.2
2019,AGRI_ECO,,,Altzo,Porcentaje,Altzo,28.6
2011,AGRI_ECO,,,Altzo,Porcentaje,Altzo,14.3
2012,AGRI_ECO,,,Altzo,Porcentaje,Altzo,14.3
2015,AGRI_ECO,,,Altzo,Porcentaje,Altzo,14.3
2017,AGRI_ECO,,,Altzo,Porcentaje,Altzo,14.3
2015,AGRI_ECO,,,Amezketa,Porcentaje,Amezketa,0.0
2011,AGRI_ECO,,,Amezketa,Porcentaje,Amezketa,6.7
2010,AGRI_ECO,,,Amezketa,Porcentaje,Amezketa,0.0
2017,AGRI_ECO,,,Amezketa,Porcentaje,Amezketa,0.0
2012,AGRI_ECO,,,Amezketa,Porcentaje,Amezketa,0.0
2018,AGRI_ECO,,,Amezketa,Porcentaje,Amezketa,0.0
2013,AGRI_ECO,,,Amezketa,Porcentaje,Amezketa,0.0
2021,AGRI_ECO,,,Amezketa,Porcentaje,Amezketa,0.0
2022,AGRI_ECO,,,Amezketa,Porcentaje,Amezketa,0.0
2016,AGRI_ECO,,,Amezketa,Porcentaje,Amezketa,0.0
2020,AGRI_ECO,,,Amezketa,Porcentaje,Amezketa,0.0
2019,AGRI_ECO,,,Amezketa,Porcentaje,Amezketa,0.0
2014,AGRI_ECO,,,Amezketa,Porcentaje,Amezketa,0.0
2014,AGRI_ECO,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,1.1
2013,AGRI_ECO,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,1.1
2016,AGRI_ECO,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,2.1
2019,AGRI_ECO,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,3.2
2021,AGRI_ECO,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,12.8
2012,AGRI_ECO,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,0.0
2010,AGRI_ECO,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,0.0
2017,AGRI_ECO,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,3.2
2020,AGRI_ECO,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,10.3
2015,AGRI_ECO,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,1.1
2018,AGRI_ECO,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,2.1
2011,AGRI_ECO,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,0.0
2022,AGRI_ECO,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,10.3
2020,AGRI_ECO,,,Amoroto,Porcentaje,Amoroto,20.0
2016,AGRI_ECO,,,Amoroto,Porcentaje,Amoroto,5.3
2021,AGRI_ECO,,,Amoroto,Porcentaje,Amoroto,20.0
2019,AGRI_ECO,,,Amoroto,Porcentaje,Amoroto,10.5
2018,AGRI_ECO,,,Amoroto,Porcentaje,Amoroto,5.3
2014,AGRI_ECO,,,Amoroto,Porcentaje,Amoroto,0.0
2012,AGRI_ECO,,,Amoroto,Porcentaje,Amoroto,10.5
2010,AGRI_ECO,,,Amoroto,Porcentaje,Amoroto,5.3
2011,AGRI_ECO,,,Amoroto,Porcentaje,Amoroto,10.5
2017,AGRI_ECO,,,Amoroto,Porcentaje,Amoroto,5.3
2015,AGRI_ECO,,,Amoroto,Porcentaje,Amoroto,5.3
2013,AGRI_ECO,,,Amoroto,Porcentaje,Amoroto,10.5
2022,AGRI_ECO,,,Amoroto,Porcentaje,Amoroto,0.0
2018,AGRI_ECO,,,Amurrio,Porcentaje,Amurrio,9.3
2020,AGRI_ECO,,,Amurrio,Porcentaje,Amurrio,10.7
2015,AGRI_ECO,,,Amurrio,Porcentaje,Amurrio,16.3
2011,AGRI_ECO,,,Amurrio,Porcentaje,Amurrio,4.7
2021,AGRI_ECO,,,Amurrio,Porcentaje,Amurrio,17.9
2012,AGRI_ECO,,,Amurrio,Porcentaje,Amurrio,4.7
2016,AGRI_ECO,,,Amurrio,Porcentaje,Amurrio,7.0
2017,AGRI_ECO,,,Amurrio,Porcentaje,Amurrio,9.3
2022,AGRI_ECO,,,Amurrio,Porcentaje,Amurrio,14.3
2010,AGRI_ECO,,,Amurrio,Porcentaje,Amurrio,7.0
2013,AGRI_ECO,,,Amurrio,Porcentaje,Amurrio,9.3
2019,AGRI_ECO,,,Amurrio,Porcentaje,Amurrio,9.3
2014,AGRI_ECO,,,Amurrio,Porcentaje,Amurrio,14.0
2010,AGRI_ECO,,,Andoain,Porcentaje,Andoain,0.0
2020,AGRI_ECO,,,Andoain,Porcentaje,Andoain,9.5
2021,AGRI_ECO,,,Andoain,Porcentaje,Andoain,9.5
2013,AGRI_ECO,,,Andoain,Porcentaje,Andoain,0.0
2018,AGRI_ECO,,,Andoain,Porcentaje,Andoain,4.3
2011,AGRI_ECO,,,Andoain,Porcentaje,Andoain,0.0
2017,AGRI_ECO,,,Andoain,Porcentaje,Andoain,4.3
2022,AGRI_ECO,,,Andoain,Porcentaje,Andoain,9.5
2014,AGRI_ECO,,,Andoain,Porcentaje,Andoain,4.3
2012,AGRI_ECO,,,Andoain,Porcentaje,Andoain,0.0
2016,AGRI_ECO,,,Andoain,Porcentaje,Andoain,4.3
2015,AGRI_ECO,,,Andoain,Porcentaje,Andoain,13.0
2019,AGRI_ECO,,,Andoain,Porcentaje,Andoain,8.7
2018,AGRI_ECO,,,Anoeta,Porcentaje,Anoeta,14.3
2022,AGRI_ECO,,,Anoeta,Porcentaje,Anoeta,9.1
2013,AGRI_ECO,,,Anoeta,Porcentaje,Anoeta,14.3
2017,AGRI_ECO,,,Anoeta,Porcentaje,Anoeta,14.3
2012,AGRI_ECO,,,Anoeta,Porcentaje,Anoeta,14.3
2015,AGRI_ECO,,,Anoeta,Porcentaje,Anoeta,14.3
2021,AGRI_ECO,,,Anoeta,Porcentaje,Anoeta,9.1
2020,AGRI_ECO,,,Anoeta,Porcentaje,Anoeta,0.0
2016,AGRI_ECO,,,Anoeta,Porcentaje,Anoeta,14.3
2019,AGRI_ECO,,,Anoeta,Porcentaje,Anoeta,14.3
2014,AGRI_ECO,,,Anoeta,Porcentaje,Anoeta,14.3
2011,AGRI_ECO,,,Anoeta,Porcentaje,Anoeta,14.3
2010,AGRI_ECO,,,Anoeta,Porcentaje,Anoeta,14.3
2013,AGRI_ECO,,,Antzuola,Porcentaje,Antzuola,6.7
2021,AGRI_ECO,,,Antzuola,Porcentaje,Antzuola,12.5
2010,AGRI_ECO,,,Antzuola,Porcentaje,Antzuola,6.7
2017,AGRI_ECO,,,Antzuola,Porcentaje,Antzuola,20.0
2014,AGRI_ECO,,,Antzuola,Porcentaje,Antzuola,6.7
2012,AGRI_ECO,,,Antzuola,Porcentaje,Antzuola,6.7
2019,AGRI_ECO,,,Antzuola,Porcentaje,Antzuola,13.3
2020,AGRI_ECO,,,Antzuola,Porcentaje,Antzuola,12.5
2022,AGRI_ECO,,,Antzuola,Porcentaje,Antzuola,6.3
2016,AGRI_ECO,,,Antzuola,Porcentaje,Antzuola,20.0
2015,AGRI_ECO,,,Antzuola,Porcentaje,Antzuola,13.3
2018,AGRI_ECO,,,Antzuola,Porcentaje,Antzuola,13.3
2011,AGRI_ECO,,,Antzuola,Porcentaje,Antzuola,13.3
2015,AGRI_ECO,,,Añana,Porcentaje,Añana,8.3
2018,AGRI_ECO,,,Añana,Porcentaje,Añana,0.0
2012,AGRI_ECO,,,Añana,Porcentaje,Añana,0.0
2017,AGRI_ECO,,,Añana,Porcentaje,Añana,0.0
2022,AGRI_ECO,,,Añana,Porcentaje,Añana,12.5
2014,AGRI_ECO,,,Añana,Porcentaje,Añana,0.0
2010,AGRI_ECO,,,Añana,Porcentaje,Añana,0.0
2013,AGRI_ECO,,,Añana,Porcentaje,Añana,0.0
2019,AGRI_ECO,,,Añana,Porcentaje,Añana,0.0
2021,AGRI_ECO,,,Añana,Porcentaje,Añana,0.0
2011,AGRI_ECO,,,Añana,Porcentaje,Añana,0.0
2016,AGRI_ECO,,,Añana,Porcentaje,Añana,0.0
2020,AGRI_ECO,,,Añana,Porcentaje,Añana,0.0
2017,AGRI_ECO,,,Arakaldo,Porcentaje,Arakaldo,0.0
2018,AGRI_ECO,,,Arakaldo,Porcentaje,Arakaldo,0.0
2014,AGRI_ECO,,,Arakaldo,Porcentaje,Arakaldo,0.0
2013,AGRI_ECO,,,Arakaldo,Porcentaje,Arakaldo,0.0
2021,AGRI_ECO,,,Arakaldo,Porcentaje,Arakaldo,0.0
2012,AGRI_ECO,,,Arakaldo,Porcentaje,Arakaldo,0.0
2016,AGRI_ECO,,,Arakaldo,Porcentaje,Arakaldo,0.0
2020,AGRI_ECO,,,Arakaldo,Porcentaje,Arakaldo,0.0
2010,AGRI_ECO,,,Arakaldo,Porcentaje,Arakaldo,0.0
2019,AGRI_ECO,,,Arakaldo,Porcentaje,Arakaldo,0.0
2011,AGRI_ECO,,,Arakaldo,Porcentaje,Arakaldo,0.0
2015,AGRI_ECO,,,Arakaldo,Porcentaje,Arakaldo,0.0
2022,AGRI_ECO,,,Arakaldo,Porcentaje,Arakaldo,0.0
2022,AGRI_ECO,,,Arama,Porcentaje,Arama,0.0
2012,AGRI_ECO,,,Arama,Porcentaje,Arama,0.0
2017,AGRI_ECO,,,Arama,Porcentaje,Arama,0.0
2020,AGRI_ECO,,,Arama,Porcentaje,Arama,0.0
2010,AGRI_ECO,,,Arama,Porcentaje,Arama,0.0
2011,AGRI_ECO,,,Arama,Porcentaje,Arama,0.0
2018,AGRI_ECO,,,Arama,Porcentaje,Arama,0.0
2021,AGRI_ECO,,,Arama,Porcentaje,Arama,0.0
2013,AGRI_ECO,,,Arama,Porcentaje,Arama,0.0
2016,AGRI_ECO,,,Arama,Porcentaje,Arama,0.0
2014,AGRI_ECO,,,Arama,Porcentaje,Arama,0.0
2015,AGRI_ECO,,,Arama,Porcentaje,Arama,0.0
2019,AGRI_ECO,,,Arama,Porcentaje,Arama,0.0
2022,AGRI_ECO,,,Aramaio,Porcentaje,Aramaio,36.8
2018,AGRI_ECO,,,Aramaio,Porcentaje,Aramaio,31.6
2010,AGRI_ECO,,,Aramaio,Porcentaje,Aramaio,21.1
2019,AGRI_ECO,,,Aramaio,Porcentaje,Aramaio,31.6
2012,AGRI_ECO,,,Aramaio,Porcentaje,Aramaio,26.3
2011,AGRI_ECO,,,Aramaio,Porcentaje,Aramaio,26.3
2015,AGRI_ECO,,,Aramaio,Porcentaje,Aramaio,36.8
2017,AGRI_ECO,,,Aramaio,Porcentaje,Aramaio,31.6
2014,AGRI_ECO,,,Aramaio,Porcentaje,Aramaio,42.1
2016,AGRI_ECO,,,Aramaio,Porcentaje,Aramaio,36.8
2013,AGRI_ECO,,,Aramaio,Porcentaje,Aramaio,31.6
2020,AGRI_ECO,,,Aramaio,Porcentaje,Aramaio,36.8
2021,AGRI_ECO,,,Aramaio,Porcentaje,Aramaio,36.8
2012,AGRI_ECO,,,Arantzazu,Porcentaje,Arantzazu,0.0
2019,AGRI_ECO,,,Arantzazu,Porcentaje,Arantzazu,0.0
2018,AGRI_ECO,,,Arantzazu,Porcentaje,Arantzazu,0.0
2022,AGRI_ECO,,,Arantzazu,Porcentaje,Arantzazu,0.0
