Year,Sexua,Lurralde historikoa,Units,Value
2011,Emakumea,,PER_1000_LIVE_BIRTHS,4.23
2022,Emakumea,Araba / Álava,PER_1000_LIVE_BIRTHS,1.83
2018,Emakumea,Araba / Álava,PER_1000_LIVE_BIRTHS,3.08
2020,Emakumea,Araba / Álava,PER_1000_LIVE_BIRTHS,1.72
2010,Emakumea,Araba / Álava,PER_1000_LIVE_BIRTHS,2.49
2021,Emakumea,Araba / Álava,PER_1000_LIVE_BIRTHS,3.53
2019,Emakumea,Araba / Álava,PER_1000_LIVE_BIRTHS,2.39
2017,Emakumea,Araba / Álava,PER_1000_LIVE_BIRTHS,2.73
2015,Emakumea,Araba / Álava,PER_1000_LIVE_BIRTHS,1.31
2016,Emakumea,Araba / Álava,PER_1000_LIVE_BIRTHS,2.62
2013,Emakumea,Araba / Álava,PER_1000_LIVE_BIRTHS,2.03
2012,Emakumea,Araba / Álava,PER_1000_LIVE_BIRTHS,4.5
2011,Emakumea,Araba / Álava,PER_1000_LIVE_BIRTHS,5.34
2014,Emakumea,Araba / Álava,PER_1000_LIVE_BIRTHS,2.5
2023,Emakumea,Araba / Álava,PER_1000_LIVE_BIRTHS,2.86
2022,Emakumea,Bizkaia,PER_1000_LIVE_BIRTHS,2.37
2023,Emakumea,Bizkaia,PER_1000_LIVE_BIRTHS,3.68
2019,Emakumea,Bizkaia,PER_1000_LIVE_BIRTHS,4.02
2018,Emakumea,Bizkaia,PER_1000_LIVE_BIRTHS,4.1
2016,Emakumea,Bizkaia,PER_1000_LIVE_BIRTHS,2.92
2017,Emakumea,Bizkaia,PER_1000_LIVE_BIRTHS,2.44
2014,Emakumea,Bizkaia,PER_1000_LIVE_BIRTHS,2.93
2021,Emakumea,Bizkaia,PER_1000_LIVE_BIRTHS,2.7
2013,Emakumea,Bizkaia,PER_1000_LIVE_BIRTHS,2.75
2012,Emakumea,Bizkaia,PER_1000_LIVE_BIRTHS,3.2
2015,Emakumea,Bizkaia,PER_1000_LIVE_BIRTHS,5.42
2011,Emakumea,Bizkaia,PER_1000_LIVE_BIRTHS,4.72
2010,Emakumea,Bizkaia,PER_1000_LIVE_BIRTHS,4.24
2020,Emakumea,Bizkaia,PER_1000_LIVE_BIRTHS,3.14
2022,Emakumea,Gipuzkoa,PER_1000_LIVE_BIRTHS,2.8
2021,Emakumea,Gipuzkoa,PER_1000_LIVE_BIRTHS,2.51
2020,Emakumea,Gipuzkoa,PER_1000_LIVE_BIRTHS,2.87
2019,Emakumea,Gipuzkoa,PER_1000_LIVE_BIRTHS,2.77
2018,Emakumea,Gipuzkoa,PER_1000_LIVE_BIRTHS,3.41
2017,Emakumea,Gipuzkoa,PER_1000_LIVE_BIRTHS,1.49
2023,Emakumea,Gipuzkoa,PER_1000_LIVE_BIRTHS,2.22
2016,Emakumea,Gipuzkoa,PER_1000_LIVE_BIRTHS,2.73
2015,Emakumea,Gipuzkoa,PER_1000_LIVE_BIRTHS,1.58
2014,Emakumea,Gipuzkoa,PER_1000_LIVE_BIRTHS,2.88
2013,Emakumea,Gipuzkoa,PER_1000_LIVE_BIRTHS,2.61
2012,Emakumea,Gipuzkoa,PER_1000_LIVE_BIRTHS,3.7
2011,Emakumea,Gipuzkoa,PER_1000_LIVE_BIRTHS,2.91
2010,Emakumea,Gipuzkoa,PER_1000_LIVE_BIRTHS,3.66
2021,Gizona,,PER_1000_LIVE_BIRTHS,3.1
2023,Gizona,,PER_1000_LIVE_BIRTHS,3.19
2019,Gizona,,PER_1000_LIVE_BIRTHS,3.8
2013,Gizona,,PER_1000_LIVE_BIRTHS,2.95
2020,Gizona,,PER_1000_LIVE_BIRTHS,3.27
2016,Gizona,,PER_1000_LIVE_BIRTHS,3.43
2015,Gizona,,PER_1000_LIVE_BIRTHS,3.49
2010,Gizona,,PER_1000_LIVE_BIRTHS,3.24
2018,Gizona,,PER_1000_LIVE_BIRTHS,3.52
2017,Gizona,,PER_1000_LIVE_BIRTHS,3.29
2012,Gizona,,PER_1000_LIVE_BIRTHS,2.8
2022,Gizona,,PER_1000_LIVE_BIRTHS,4.7
2014,Gizona,,PER_1000_LIVE_BIRTHS,2.94
2011,Gizona,,PER_1000_LIVE_BIRTHS,2.51
2021,Gizona,Araba / Álava,PER_1000_LIVE_BIRTHS,4.05
2022,Gizona,Araba / Álava,PER_1000_LIVE_BIRTHS,6.8
2012,Gizona,Araba / Álava,PER_1000_LIVE_BIRTHS,2.3
2015,Gizona,Araba / Álava,PER_1000_LIVE_BIRTHS,3.67
2013,Gizona,Araba / Álava,PER_1000_LIVE_BIRTHS,4.33
2020,Gizona,Araba / Álava,PER_1000_LIVE_BIRTHS,4.85
2011,Gizona,Araba / Álava,PER_1000_LIVE_BIRTHS,2.29
2018,Gizona,Araba / Álava,PER_1000_LIVE_BIRTHS,5.77
2016,Gizona,Araba / Álava,PER_1000_LIVE_BIRTHS,3.88
2014,Gizona,Araba / Álava,PER_1000_LIVE_BIRTHS,3.58
2010,Gizona,Araba / Álava,PER_1000_LIVE_BIRTHS,3.45
2023,Gizona,Araba / Álava,PER_1000_LIVE_BIRTHS,6.85
2017,Gizona,Araba / Álava,PER_1000_LIVE_BIRTHS,3.34
2019,Gizona,Araba / Álava,PER_1000_LIVE_BIRTHS,2.29
2023,Gizona,Bizkaia,PER_1000_LIVE_BIRTHS,3.22
2022,Gizona,Bizkaia,PER_1000_LIVE_BIRTHS,4.31
2021,Gizona,Bizkaia,PER_1000_LIVE_BIRTHS,2.76
2020,Gizona,Bizkaia,PER_1000_LIVE_BIRTHS,2.88
2019,Gizona,Bizkaia,PER_1000_LIVE_BIRTHS,3.76
2018,Gizona,Bizkaia,PER_1000_LIVE_BIRTHS,3.22
2016,Gizona,Bizkaia,PER_1000_LIVE_BIRTHS,3.83
2017,Gizona,Bizkaia,PER_1000_LIVE_BIRTHS,3.17
2015,Gizona,Bizkaia,PER_1000_LIVE_BIRTHS,3.47
2014,Gizona,Bizkaia,PER_1000_LIVE_BIRTHS,2.22
2013,Gizona,Bizkaia,PER_1000_LIVE_BIRTHS,2.2
2012,Gizona,Bizkaia,PER_1000_LIVE_BIRTHS,3.19
2011,Gizona,Bizkaia,PER_1000_LIVE_BIRTHS,2.78
2010,Gizona,Bizkaia,PER_1000_LIVE_BIRTHS,4.07
2020,Gizona,Gipuzkoa,PER_1000_LIVE_BIRTHS,3.09
2019,Gizona,Gipuzkoa,PER_1000_LIVE_BIRTHS,4.61
2018,Gizona,Gipuzkoa,PER_1000_LIVE_BIRTHS,2.83
2017,Gizona,Gipuzkoa,PER_1000_LIVE_BIRTHS,3.44
2016,Gizona,Gipuzkoa,PER_1000_LIVE_BIRTHS,2.6
2015,Gizona,Gipuzkoa,PER_1000_LIVE_BIRTHS,3.44
2011,Gizona,Gipuzkoa,PER_1000_LIVE_BIRTHS,2.2
2014,Gizona,Gipuzkoa,PER_1000_LIVE_BIRTHS,3.71
2012,Gizona,Gipuzkoa,PER_1000_LIVE_BIRTHS,2.46
2013,Gizona,Gipuzkoa,PER_1000_LIVE_BIRTHS,3.42
2010,Gizona,Gipuzkoa,PER_1000_LIVE_BIRTHS,1.91
2023,Gizona,Gipuzkoa,PER_1000_LIVE_BIRTHS,1.3
2022,Gizona,Gipuzkoa,PER_1000_LIVE_BIRTHS,4.22
2021,Gizona,Gipuzkoa,PER_1000_LIVE_BIRTHS,3.15
