Year,Series,Operación de tratamiento de residuos,Territorio histórico,Units,Value
2010,Residuos peligrosos generados per cápita,,Bizkaia,Kg per cápita,201.2
2022,Residuos peligrosos generados per cápita,,Bizkaia,Kg per cápita,173.8
2019,Residuos peligrosos generados per cápita,,Bizkaia,Kg per cápita,168.3
2016,Residuos peligrosos generados per cápita,,Gipuzkoa,Kg per cápita,90.3
2021,Residuos peligrosos generados per cápita,,Gipuzkoa,Kg per cápita,115.2
2019,Residuos peligrosos generados per cápita,,Gipuzkoa,Kg per cápita,96.7
2013,Residuos peligrosos generados per cápita,,Gipuzkoa,Kg per cápita,83.9
2011,Residuos peligrosos generados per cápita,,Gipuzkoa,Kg per cápita,99.7
2018,Residuos peligrosos generados per cápita,,Gipuzkoa,Kg per cápita,93.2
2017,Residuos peligrosos generados per cápita,,Gipuzkoa,Kg per cápita,88.6
2022,Residuos peligrosos generados per cápita,,Gipuzkoa,Kg per cápita,111.6
2020,Residuos peligrosos generados per cápita,,Gipuzkoa,Kg per cápita,105.6
2014,Residuos peligrosos generados per cápita,,Gipuzkoa,Kg per cápita,86.4
2012,Residuos peligrosos generados per cápita,,Gipuzkoa,Kg per cápita,89.3
2015,Residuos peligrosos generados per cápita,,Gipuzkoa,Kg per cápita,92.6
2010,Residuos peligrosos generados per cápita,,Gipuzkoa,Kg per cápita,109.7
2019,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,65.0
2021,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,65.7
2012,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,61.5
2022,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,60.4
2020,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,85.6
2014,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,99.1
2010,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,62.2
2011,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,66.7
2011,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,100.6
2018,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,96.6
2016,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,66.1
2013,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,68.7
2013,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,89.8
2015,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,102.2
2020,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,59.1
2017,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,93.6
2018,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,64.7
2015,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,67.7
2016,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,97.8
2022,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,95.2
2019,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,97.5
2014,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,66.6
2010,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,101.3
2017,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,64.4
2021,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,99.0
2012,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,84.4
2011,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,Kg per cápita,0.8
2022,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,0.0
2019,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,1.1
2016,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,1.0
2020,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,1.0
2014,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,1.0
2011,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,0.5
2015,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,1.8
2021,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,Kg per cápita,0.0
2019,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,Kg per cápita,1.6
2010,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,0.5
2018,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,Kg per cápita,1.4
2017,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,0.9
2015,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,Kg per cápita,2.7
2022,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,Kg per cápita,0.0
2013,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,0.5
2018,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,0.9
2014,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,Kg per cápita,1.5
2017,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,Kg per cápita,1.3
2012,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,Kg per cápita,0.3
2020,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,Kg per cápita,1.4
2010,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,Kg per cápita,0.9
2013,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,Kg per cápita,0.7
2021,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,0.0
2012,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,%,0.2
2016,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,Kg per cápita,1.4
2019,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,%,0.2
2022,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,%,0.1
2012,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,Kg per cápita,0.2
2017,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,%,0.2
2011,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,Kg per cápita,0.2
2021,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,%,0.0
2018,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,%,0.1
2010,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,%,0.9
2018,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,Kg per cápita,0.2
2016,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,Kg per cápita,1.1
2020,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,Kg per cápita,0.5
2014,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,Kg per cápita,1.3
2015,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,%,0.6
2016,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,%,0.8
2013,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,%,0.1
2021,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,Kg per cápita,0.1
2015,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,Kg per cápita,0.9
2014,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,%,0.8
2019,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,Kg per cápita,0.3
2012,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,%,0.1
2011,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,%,0.1
2017,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,Kg per cápita,0.2
2020,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,%,0.3
2013,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,Kg per cápita,0.2
2010,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,Kg per cápita,1.4
2022,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Incineración sin recuperación de energía,,Kg per cápita,0.2
2013,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,40.0
2018,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,51.1
2015,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,45.1
2011,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,49.3
2021,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,34.2
2020,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,39.6
2020,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,57.3
2022,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,62.1
2016,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,32.2
2011,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,32.6
2022,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,39.5
2014,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,31.5
2017,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,34.6
2018,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,34.2
2010,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,36.4
2015,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,29.9
2019,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,50.6
2012,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,38.1
2012,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,52.2
2021,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,51.6
2014,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,46.9
2019,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,33.7
2016,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,47.6
2013,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,%,30.6
2010,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,59.3
2017,"Proporción de residuos peligrosos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Kg per cápita,50.2
