Year,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2018,,,Agurain / Salvatierra,PT,Agurain / Salvatierra,1.4
2017,,,Agurain / Salvatierra,PT,Agurain / Salvatierra,1.6
2019,,,Agurain / Salvatierra,PT,Agurain / Salvatierra,1.4
2015,,,Agurain / Salvatierra,PT,Agurain / Salvatierra,2.4
2016,,,Agurain / Salvatierra,PT,Agurain / Salvatierra,2.0
2020,,,Agurain / Salvatierra,PT,Agurain / Salvatierra,1.3
2016,,,Aia,PT,Aia,4.2
2017,,,Aia,PT,Aia,4.7
2021,,,Aia,PT,Aia,4.2
2015,,,Aia,PT,Aia,4.7
2020,,,Aia,PT,Aia,4.4
2014,,,Aia,PT,Aia,4.8
2019,,,Aia,PT,Aia,4.5
2018,,,Aia,PT,Aia,3.8
2021,,,Aizarnazabal,PT,Aizarnazabal,0.8
2014,,,Aizarnazabal,PT,Aizarnazabal,0.8
2018,,,Aizarnazabal,PT,Aizarnazabal,0.9
2019,,,Aizarnazabal,PT,Aizarnazabal,0.9
2015,,,Aizarnazabal,PT,Aizarnazabal,1.0
2020,,,Aizarnazabal,PT,Aizarnazabal,1.1
2017,,,Aizarnazabal,PT,Aizarnazabal,0.9
2016,,,Aizarnazabal,PT,Aizarnazabal,0.9
2019,,,ES48911,PT,ES48911,0.9
2021,,,ES48911,PT,ES48911,0.9
2018,,,ES48911,PT,ES48911,0.7
2014,,,ES48911,PT,ES48911,0.8
2020,,,ES48911,PT,ES48911,0.9
2017,,,ES48911,PT,ES48911,0.9
2016,,,ES48911,PT,ES48911,0.9
2015,,,ES48911,PT,ES48911,0.8
2014,,,Albiztur,PT,Albiztur,4.4
2019,,,Albiztur,PT,Albiztur,3.7
2017,,,Albiztur,PT,Albiztur,4.2
2015,,,Albiztur,PT,Albiztur,3.6
2020,,,Albiztur,PT,Albiztur,3.2
2021,,,Albiztur,PT,Albiztur,3.3
2016,,,Albiztur,PT,Albiztur,3.8
2018,,,Albiztur,PT,Albiztur,2.9
2021,,,Alegia,PT,Alegia,0.6
2019,,,Alegia,PT,Alegia,0.8
2020,,,Alegia,PT,Alegia,0.6
2015,,,Alegia,PT,Alegia,0.6
2014,,,Alegia,PT,Alegia,0.7
2018,,,Alegia,PT,Alegia,0.6
2016,,,Alegia,PT,Alegia,0.7
2017,,,Alegia,PT,Alegia,0.8
2015,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,3.3
2017,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,3.7
2014,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,2.3
2018,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,3.6
2016,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,3.0
2019,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,3.1
2021,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,3.3
2020,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,2.8
2015,,,Alkiza,PT,Alkiza,9.5
2014,,,Alkiza,PT,Alkiza,7.9
2020,,,Alkiza,PT,Alkiza,10.4
2016,,,Alkiza,PT,Alkiza,8.5
2017,,,Alkiza,PT,Alkiza,10.2
2018,,,Alkiza,PT,Alkiza,8.5
2019,,,Alkiza,PT,Alkiza,10.2
2021,,,Alkiza,PT,Alkiza,11.0
2015,,,ES48912,PT,ES48912,0.5
2021,,,ES48912,PT,ES48912,1.0
2014,,,ES48912,PT,ES48912,0.6
2018,,,ES48912,PT,ES48912,0.6
2017,,,ES48912,PT,ES48912,0.7
2019,,,ES48912,PT,ES48912,0.7
2016,,,ES48912,PT,ES48912,0.7
2020,,,ES48912,PT,ES48912,0.7
2019,,,ES20906,PT,ES20906,4.5
2016,,,ES20906,PT,ES20906,4.9
2020,,,ES20906,PT,ES20906,4.3
2017,,,ES20906,PT,ES20906,5.4
2021,,,ES20906,PT,ES20906,5.8
2015,,,ES20906,PT,ES20906,5.0
2014,,,ES20906,PT,ES20906,4.3
2018,,,ES20906,PT,ES20906,4.2
2015,,,Altzo,PT,Altzo,1.1
2018,,,Altzo,PT,Altzo,1.1
2014,,,Altzo,PT,Altzo,1.2
2016,,,Altzo,PT,Altzo,1.1
2020,,,Altzo,PT,Altzo,0.9
2021,,,Altzo,PT,Altzo,1.1
2017,,,Altzo,PT,Altzo,1.7
2019,,,Altzo,PT,Altzo,1.1
2014,,,Amezketa,PT,Amezketa,1.7
2017,,,Amezketa,PT,Amezketa,1.9
2020,,,Amezketa,PT,Amezketa,1.4
2021,,,Amezketa,PT,Amezketa,1.2
2019,,,Amezketa,PT,Amezketa,1.4
2016,,,Amezketa,PT,Amezketa,1.7
2015,,,Amezketa,PT,Amezketa,1.5
2018,,,Amezketa,PT,Amezketa,1.4
2019,,,ES48003,PT,ES48003,0.3
2018,,,ES48003,PT,ES48003,0.2
2017,,,ES48003,PT,ES48003,0.3
2016,,,ES48003,PT,ES48003,0.3
2020,,,ES48003,PT,ES48003,0.3
2021,,,ES48003,PT,ES48003,0.3
2015,,,ES48003,PT,ES48003,0.4
2014,,,ES48003,PT,ES48003,0.3
2019,,,ES48004,PT,ES48004,3.6
2015,,,ES48004,PT,ES48004,5.2
2018,,,ES48004,PT,ES48004,3.6
2017,,,ES48004,PT,ES48004,4.3
2014,,,ES48004,PT,ES48004,4.2
2020,,,ES48004,PT,ES48004,3.6
2021,,,ES48004,PT,ES48004,5.1
2016,,,ES48004,PT,ES48004,5.0
2020,,,Amurrio,PT,Amurrio,0.9
2019,,,Amurrio,PT,Amurrio,0.9
2017,,,Amurrio,PT,Amurrio,1.2
2014,,,Amurrio,PT,Amurrio,1.4
2018,,,Amurrio,PT,Amurrio,1.1
2021,,,Amurrio,PT,Amurrio,1.3
2016,,,Amurrio,PT,Amurrio,1.1
2015,,,Amurrio,PT,Amurrio,1.2
2014,,,Andoain,PT,Andoain,0.2
2020,,,Andoain,PT,Andoain,0.2
2018,,,Andoain,PT,Andoain,0.2
2017,,,Andoain,PT,Andoain,0.2
2019,,,Andoain,PT,Andoain,0.2
2016,,,Andoain,PT,Andoain,0.2
2021,,,Andoain,PT,Andoain,0.2
2015,,,Andoain,PT,Andoain,0.3
2018,,,Anoeta,PT,Anoeta,0.4
2014,,,Anoeta,PT,Anoeta,0.3
2019,,,Anoeta,PT,Anoeta,0.4
2017,,,Anoeta,PT,Anoeta,0.5
2016,,,Anoeta,PT,Anoeta,0.4
2021,,,Anoeta,PT,Anoeta,0.4
2020,,,Anoeta,PT,Anoeta,0.4
2015,,,Anoeta,PT,Anoeta,0.4
2017,,,Antzuola,PT,Antzuola,1.4
2016,,,Antzuola,PT,Antzuola,1.1
2018,,,Antzuola,PT,Antzuola,1.1
2020,,,Antzuola,PT,Antzuola,1.2
2015,,,Antzuola,PT,Antzuola,1.2
2019,,,Antzuola,PT,Antzuola,1.4
2014,,,Antzuola,PT,Antzuola,1.0
2021,,,Antzuola,PT,Antzuola,1.5
2016,,,Añana,PT,Añana,14.2
2019,,,Añana,PT,Añana,13.2
2017,,,Añana,PT,Añana,12.9
2014,,,Añana,PT,Añana,12.3
2021,,,Añana,PT,Añana,15.4
2020,,,Añana,PT,Añana,12.2
2015,,,Añana,PT,Añana,15.2
2018,,,Añana,PT,Añana,10.7
2016,,,ES48005,PT,ES48005,4.2
2018,,,ES48005,PT,ES48005,3.4
2014,,,ES48005,PT,ES48005,2.2
2021,,,ES48005,PT,ES48005,5.9
2015,,,ES48005,PT,ES48005,4.1
2020,,,ES48005,PT,ES48005,4.7
2019,,,ES48005,PT,ES48005,3.6
2017,,,ES48005,PT,ES48005,4.0
2019,,,Arama,PT,Arama,0.3
2017,,,Arama,PT,Arama,0.4
2015,,,Arama,PT,Arama,1.3
2020,,,Arama,PT,Arama,0.4
2021,,,Arama,PT,Arama,0.3
2014,,,Arama,PT,Arama,1.4
2018,,,Arama,PT,Arama,0.3
2016,,,Arama,PT,Arama,0.4
2018,,,Aramaio,PT,Aramaio,14.9
2020,,,Aramaio,PT,Aramaio,11.3
2014,,,Aramaio,PT,Aramaio,15.7
2021,,,Aramaio,PT,Aramaio,15.3
2017,,,Aramaio,PT,Aramaio,14.8
2016,,,Aramaio,PT,Aramaio,12.9
2019,,,Aramaio,PT,Aramaio,12.4
2015,,,Aramaio,PT,Aramaio,14.4
2019,,,ES48006,PT,ES48006,5.3
2014,,,ES48006,PT,ES48006,3.3
2016,,,ES48006,PT,ES48006,3.8
2015,,,ES48006,PT,ES48006,3.1
2020,,,ES48006,PT,ES48006,6.0
2021,,,ES48006,PT,ES48006,7.6
2018,,,ES48006,PT,ES48006,4.4
2017,,,ES48006,PT,ES48006,3.8
2016,,,ES48093,PT,ES48093,2.2
2018,,,ES48093,PT,ES48093,2.0
2020,,,ES48093,PT,ES48093,2.7
2019,,,ES48093,PT,ES48093,2.2
2021,,,ES48093,PT,ES48093,3.5
2017,,,ES48093,PT,ES48093,2.1
2014,,,ES48093,PT,ES48093,1.7
2015,,,ES48093,PT,ES48093,1.7
2017,,,Aretxabaleta,PT,Aretxabaleta,0.5
2018,,,Aretxabaleta,PT,Aretxabaleta,0.3
2016,,,Aretxabaleta,PT,Aretxabaleta,0.4
2019,,,Aretxabaleta,PT,Aretxabaleta,0.4
2015,,,Aretxabaleta,PT,Aretxabaleta,0.3
2014,,,Aretxabaleta,PT,Aretxabaleta,0.3
2021,,,Aretxabaleta,PT,Aretxabaleta,0.4
2020,,,Aretxabaleta,PT,Aretxabaleta,0.4
2018,,,Armiñón,PT,Armiñón,6.5
2015,,,Armiñón,PT,Armiñón,6.6
2014,,,Armiñón,PT,Armiñón,6.0
2021,,,Armiñón,PT,Armiñón,10.0
2020,,,Armiñón,PT,Armiñón,8.6
2019,,,Armiñón,PT,Armiñón,7.3
2017,,,Armiñón,PT,Armiñón,6.7
2016,,,Armiñón,PT,Armiñón,8.2
2020,,,Arraia-Maeztu,PT,Arraia-Maeztu,10.8
2014,,,Arraia-Maeztu,PT,Arraia-Maeztu,11.4
2016,,,Arraia-Maeztu,PT,Arraia-Maeztu,11.4
2015,,,Arraia-Maeztu,PT,Arraia-Maeztu,9.9
2019,,,Arraia-Maeztu,PT,Arraia-Maeztu,10.9
2021,,,Arraia-Maeztu,PT,Arraia-Maeztu,12.8
2017,,,Arraia-Maeztu,PT,Arraia-Maeztu,12.1
2018,,,Arraia-Maeztu,PT,Arraia-Maeztu,12.1
2020,,,ES48009,PT,ES48009,1.6
2015,,,ES48009,PT,ES48009,1.8
2021,,,ES48009,PT,ES48009,1.9
2019,,,ES48009,PT,ES48009,1.7
2017,,,ES48009,PT,ES48009,1.5
2018,,,ES48009,PT,ES48009,1.3
2014,,,ES48009,PT,ES48009,2.0
2016,,,ES48009,PT,ES48009,1.9
2017,,,Arrasate / Mondragón,PT,Arrasate / Mondragón,0.2
2014,,,Arrasate / Mondragón,PT,Arrasate / Mondragón,0.1
2020,,,Arrasate / Mondragón,PT,Arrasate / Mondragón,0.1
2016,,,Arrasate / Mondragón,PT,Arrasate / Mondragón,0.1
2019,,,Arrasate / Mondragón,PT,Arrasate / Mondragón,0.2
2018,,,Arrasate / Mondragón,PT,Arrasate / Mondragón,0.1
2021,,,Arrasate / Mondragón,PT,Arrasate / Mondragón,0.2
2015,,,Arrasate / Mondragón,PT,Arrasate / Mondragón,0.1
2018,,,ES48914,PT,ES48914,10.1
2021,,,ES48914,PT,ES48914,10.8
2016,,,ES48914,PT,ES48914,11.8
2020,,,ES48914,PT,ES48914,10.7
2014,,,ES48914,PT,ES48914,10.1
2019,,,ES48914,PT,ES48914,11.6
2015,,,ES48914,PT,ES48914,12.2
2017,,,ES48914,PT,ES48914,11.6
2018,,,Arratzua-Ubarrundia,PT,Arratzua-Ubarrundia,6.8
2021,,,Arratzua-Ubarrundia,PT,Arratzua-Ubarrundia,6.4
2016,,,Arratzua-Ubarrundia,PT,Arratzua-Ubarrundia,8.1
2020,,,Arratzua-Ubarrundia,PT,Arratzua-Ubarrundia,5.8
2015,,,Arratzua-Ubarrundia,PT,Arratzua-Ubarrundia,8.4
2014,,,Arratzua-Ubarrundia,PT,Arratzua-Ubarrundia,9.6
2019,,,Arratzua-Ubarrundia,PT,Arratzua-Ubarrundia,6.1
2017,,,Arratzua-Ubarrundia,PT,Arratzua-Ubarrundia,8.0
2021,,,ES48010,PT,ES48010,13.8
2020,,,ES48010,PT,ES48010,12.4
2014,,,ES48010,PT,ES48010,12.6
2016,,,ES48010,PT,ES48010,14.0
2017,,,ES48010,PT,ES48010,13.6
2019,,,ES48010,PT,ES48010,11.0
2018,,,ES48010,PT,ES48010,12.2
2015,,,ES48010,PT,ES48010,14.2
2015,,,ES48011,PT,ES48011,0.2
2018,,,ES48011,PT,ES48011,0.2
2019,,,ES48011,PT,ES48011,0.3
2014,,,ES48011,PT,ES48011,0.2
2016,,,ES48011,PT,ES48011,0.2
2017,,,ES48011,PT,ES48011,0.2
2020,,,ES48011,PT,ES48011,0.3
2021,,,ES48011,PT,ES48011,0.4
2014,,,ES48023,PT,ES48023,1.5
2017,,,ES48023,PT,ES48023,1.8
2016,,,ES48023,PT,ES48023,1.9
2021,,,ES48023,PT,ES48023,2.1
2015,,,ES48023,PT,ES48023,1.9
2018,,,ES48023,PT,ES48023,1.6
2019,,,ES48023,PT,ES48023,1.7
2020,,,ES48023,PT,ES48023,1.9
2021,,,ES48008,PT,ES48008,17.7
2017,,,ES48008,PT,ES48008,11.3
2014,,,ES48008,PT,ES48008,11.0
2016,,,ES48008,PT,ES48008,10.9
2020,,,ES48008,PT,ES48008,13.5
2015,,,ES48008,PT,ES48008,9.1
2018,,,ES48008,PT,ES48008,12.2
2019,,,ES48008,PT,ES48008,12.2
2015,,,Artziniega,PT,Artziniega,2.0
2014,,,Artziniega,PT,Artziniega,2.6
2021,,,Artziniega,PT,Artziniega,2.5
2017,,,Artziniega,PT,Artziniega,2.1
2018,,,Artziniega,PT,Artziniega,2.4
2020,,,Artziniega,PT,Artziniega,1.5
2016,,,Artziniega,PT,Artziniega,1.9
2019,,,Artziniega,PT,Artziniega,1.8
2017,,,Asparrena,PT,Asparrena,1.5
2015,,,Asparrena,PT,Asparrena,2.8
2021,,,Asparrena,PT,Asparrena,1.4
2018,,,Asparrena,PT,Asparrena,1.4
2014,,,Asparrena,PT,Asparrena,3.1
2019,,,Asparrena,PT,Asparrena,1.2
2016,,,Asparrena,PT,Asparrena,2.2
2020,,,Asparrena,PT,Asparrena,1.5
2014,,,Asteasu,PT,Asteasu,2.0
2019,,,Asteasu,PT,Asteasu,1.3
2017,,,Asteasu,PT,Asteasu,1.4
2020,,,Asteasu,PT,Asteasu,1.3
2018,,,Asteasu,PT,Asteasu,1.2
2015,,,Asteasu,PT,Asteasu,1.9
2021,,,Asteasu,PT,Asteasu,1.1
2016,,,Asteasu,PT,Asteasu,1.5
2014,,,ES20903,PT,ES20903,0.1
2018,,,ES20903,PT,ES20903,0.1
2016,,,ES20903,PT,ES20903,0.1
2020,,,ES20903,PT,ES20903,0.2
2019,,,ES20903,PT,ES20903,0.2
2015,,,ES20903,PT,ES20903,0.1
2017,,,ES20903,PT,ES20903,0.1
2021,,,ES20903,PT,ES20903,0.3
2014,,,Ataun,PT,Ataun,7.6
2017,,,Ataun,PT,Ataun,7.1
2016,,,Ataun,PT,Ataun,6.5
2015,,,Ataun,PT,Ataun,6.8
2021,,,Ataun,PT,Ataun,7.6
2020,,,Ataun,PT,Ataun,6.5
2018,,,Ataun,PT,Ataun,5.5
2019,,,Ataun,PT,Ataun,6.9
2019,,,ES48091,PT,ES48091,1.0
2014,,,ES48091,PT,ES48091,0.7
2021,,,ES48091,PT,ES48091,1.2
2017,,,ES48091,PT,ES48091,0.8
2018,,,ES48091,PT,ES48091,0.9
2016,,,ES48091,PT,ES48091,0.8
2015,,,ES48091,PT,ES48091,0.6
2020,,,ES48091,PT,ES48091,0.9
2014,,,ES48070,PT,ES48070,5.3
2018,,,ES48070,PT,ES48070,7.1
2019,,,ES48070,PT,ES48070,7.9
2015,,,ES48070,PT,ES48070,5.6
2017,,,ES48070,PT,ES48070,7.4
2021,,,ES48070,PT,ES48070,9.4
2020,,,ES48070,PT,ES48070,6.5
2016,,,ES48070,PT,ES48070,7.5
2018,,,Ayala / Aiara,PT,Ayala / Aiara,7.0
2020,,,Ayala / Aiara,PT,Ayala / Aiara,5.4
2021,,,Ayala / Aiara,PT,Ayala / Aiara,6.9
2016,,,Ayala / Aiara,PT,Ayala / Aiara,7.1
2015,,,Ayala / Aiara,PT,Ayala / Aiara,8.3
2014,,,Ayala / Aiara,PT,Ayala / Aiara,10.7
2017,,,Ayala / Aiara,PT,Ayala / Aiara,7.6
2019,,,Ayala / Aiara,PT,Ayala / Aiara,5.5
2019,,,Azkoitia,PT,Azkoitia,0.8
2015,,,Azkoitia,PT,Azkoitia,0.5
2021,,,Azkoitia,PT,Azkoitia,0.8
2016,,,Azkoitia,PT,Azkoitia,0.6
2018,,,Azkoitia,PT,Azkoitia,0.6
2014,,,Azkoitia,PT,Azkoitia,0.5
2020,,,Azkoitia,PT,Azkoitia,0.7
2017,,,Azkoitia,PT,Azkoitia,0.8
2014,,,Azpeitia,PT,Azpeitia,0.5
2021,,,Azpeitia,PT,Azpeitia,0.9
2015,,,Azpeitia,PT,Azpeitia,0.6
2016,,,Azpeitia,PT,Azpeitia,0.7
2018,,,Azpeitia,PT,Azpeitia,0.6
2017,,,Azpeitia,PT,Azpeitia,0.8
2020,,,Azpeitia,PT,Azpeitia,0.8
2019,,,Azpeitia,PT,Azpeitia,0.8
2021,,,ES48012,PT,ES48012,3.3
2019,,,ES48012,PT,ES48012,2.6
2016,,,ES48012,PT,ES48012,3.6
2014,,,ES48012,PT,ES48012,4.5
2017,,,ES48012,PT,ES48012,3.0
2020,,,ES48012,PT,ES48012,2.8
2018,,,ES48012,PT,ES48012,2.4
2015,,,ES48012,PT,ES48012,4.4
2018,,,ES20904,PT,ES20904,5.6
2015,,,ES20904,PT,ES20904,7.4
2021,,,ES20904,PT,ES20904,4.6
2019,,,ES20904,PT,ES20904,6.1
2014,,,ES20904,PT,ES20904,8.6
2016,,,ES20904,PT,ES20904,6.5
2017,,,ES20904,PT,ES20904,6.4
2020,,,ES20904,PT,ES20904,5.6
2017,,,ES48090,PT,ES48090,0.8
2018,,,ES48090,PT,ES48090,0.8
2020,,,ES48090,PT,ES48090,0.9
2016,,,ES48090,PT,ES48090,0.8
2014,,,ES48090,PT,ES48090,0.6
2021,,,ES48090,PT,ES48090,1.2
2015,,,ES48090,PT,ES48090,0.6
2019,,,ES48090,PT,ES48090,0.8
2016,,,Baños de Ebro / Mañueta,PT,Baños de Ebro / Mañueta,30.7
2014,,,Baños de Ebro / Mañueta,PT,Baños de Ebro / Mañueta,24.0
2017,,,Baños de Ebro / Mañueta,PT,Baños de Ebro / Mañueta,31.1
2019,,,Baños de Ebro / Mañueta,PT,Baños de Ebro / Mañueta,32.1
2015,,,Baños de Ebro / Mañueta,PT,Baños de Ebro / Mañueta,29.4
2018,,,Baños de Ebro / Mañueta,PT,Baños de Ebro / Mañueta,33.4
2021,,,Baños de Ebro / Mañueta,PT,Baños de Ebro / Mañueta,32.6
2020,,,Baños de Ebro / Mañueta,PT,Baños de Ebro / Mañueta,35.6
2016,,,ES48013,PT,ES48013,0.0
2014,,,ES48013,PT,ES48013,0.0
2017,,,ES48013,PT,ES48013,0.0
2021,,,ES48013,PT,ES48013,0.0
2020,,,ES48013,PT,ES48013,0.0
2015,,,ES48013,PT,ES48013,0.0
2019,,,ES48013,PT,ES48013,0.0
2018,,,ES48013,PT,ES48013,0.0
2019,,,ES48014,PT,ES48014,1.6
2016,,,ES48014,PT,ES48014,1.4
2018,,,ES48014,PT,ES48014,1.5
2020,,,ES48014,PT,ES48014,1.8
2021,,,ES48014,PT,ES48014,1.6
2015,,,ES48014,PT,ES48014,1.2
2017,,,ES48014,PT,ES48014,1.7
2014,,,ES48014,PT,ES48014,1.0
2014,,,Barrundia,PT,Barrundia,27.9
2016,,,Barrundia,PT,Barrundia,24.5
2021,,,Barrundia,PT,Barrundia,27.4
2017,,,Barrundia,PT,Barrundia,25.4
2015,,,Barrundia,PT,Barrundia,23.3
2020,,,Barrundia,PT,Barrundia,24.0
2019,,,Barrundia,PT,Barrundia,23.9
2018,,,Barrundia,PT,Barrundia,24.8
2014,,,ES48015,PT,ES48015,0.1
2015,,,ES48015,PT,ES48015,0.1
2019,,,ES48015,PT,ES48015,0.0
2017,,,ES48015,PT,ES48015,0.0
2021,,,ES48015,PT,ES48015,0.0
2020,,,ES48015,PT,ES48015,0.0
2018,,,ES48015,PT,ES48015,0.0
2016,,,ES48015,PT,ES48015,0.0
2019,,,Beasain,PT,Beasain,0.1
2015,,,Beasain,PT,Beasain,0.2
2018,,,Beasain,PT,Beasain,0.1
2016,,,Beasain,PT,Beasain,0.2
2021,,,Beasain,PT,Beasain,0.2
2014,,,Beasain,PT,Beasain,0.2
2017,,,Beasain,PT,Beasain,0.2
2020,,,Beasain,PT,Beasain,0.1
2016,,,ES48092,PT,ES48092,2.1
2017,,,ES48092,PT,ES48092,2.3
2014,,,ES48092,PT,ES48092,2.0
2019,,,ES48092,PT,ES48092,2.3
2018,,,ES48092,PT,ES48092,2.3
2015,,,ES48092,PT,ES48092,1.9
2021,,,ES48092,PT,ES48092,2.9
2020,,,ES48092,PT,ES48092,2.7
2021,,,Beizama,PT,Beizama,22.2
2014,,,Beizama,PT,Beizama,14.1
2017,,,Beizama,PT,Beizama,18.0
2018,,,Beizama,PT,Beizama,16.7
2016,,,Beizama,PT,Beizama,17.3
2015,,,Beizama,PT,Beizama,14.9
2020,,,Beizama,PT,Beizama,18.5
2019,,,Beizama,PT,Beizama,21.4
2020,,,Belauntza,PT,Belauntza,0.9
2019,,,Belauntza,PT,Belauntza,1.0
2017,,,Belauntza,PT,Belauntza,1.1
2016,,,Belauntza,PT,Belauntza,1.2
2021,,,Belauntza,PT,Belauntza,0.9
2018,,,Belauntza,PT,Belauntza,0.8
2015,,,Belauntza,PT,Belauntza,1.3
2014,,,Belauntza,PT,Belauntza,1.5
2014,,,ES48016,PT,ES48016,1.0
2018,,,ES48016,PT,ES48016,0.5
2016,,,ES48016,PT,ES48016,0.7
2020,,,ES48016,PT,ES48016,0.4
2019,,,ES48016,PT,ES48016,0.4
2021,,,ES48016,PT,ES48016,0.3
2017,,,ES48016,PT,ES48016,0.6
2015,,,ES48016,PT,ES48016,0.8
2014,,,Berantevilla,PT,Berantevilla,3.7
2019,,,Berantevilla,PT,Berantevilla,3.5
2015,,,Berantevilla,PT,Berantevilla,5.4
2020,,,Berantevilla,PT,Berantevilla,3.9
2017,,,Berantevilla,PT,Berantevilla,3.6
2016,,,Berantevilla,PT,Berantevilla,4.4
2018,,,Berantevilla,PT,Berantevilla,3.9
2021,,,Berantevilla,PT,Berantevilla,5.4
2019,,,Berastegi,PT,Berastegi,3.3
2020,,,Berastegi,PT,Berastegi,2.8
2016,,,Berastegi,PT,Berastegi,2.6
2015,,,Berastegi,PT,Berastegi,2.5
2014,,,Berastegi,PT,Berastegi,2.4
2021,,,Berastegi,PT,Berastegi,2.9
2017,,,Berastegi,PT,Berastegi,3.3
2018,,,Berastegi,PT,Berastegi,2.4
2015,,,Bergara,PT,Bergara,0.7
2018,,,Bergara,PT,Bergara,0.5
2016,,,Bergara,PT,Bergara,0.7
2021,,,Bergara,PT,Bergara,0.7
2014,,,Bergara,PT,Bergara,0.6
2017,,,Bergara,PT,Bergara,0.8
2019,,,Bergara,PT,Bergara,0.7
2020,,,Bergara,PT,Bergara,0.6
2016,,,ES48017,PT,ES48017,12.9
2017,,,ES48017,PT,ES48017,30.1
2021,,,ES48017,PT,ES48017,21.9
2020,,,ES48017,PT,ES48017,26.6
2018,,,ES48017,PT,ES48017,27.7
2019,,,ES48017,PT,ES48017,29.3
2014,,,ES48017,PT,ES48017,14.9
2015,,,ES48017,PT,ES48017,11.7
2017,,,Bernedo,PT,Bernedo,6.8
2015,,,Bernedo,PT,Bernedo,7.1
2021,,,Bernedo,PT,Bernedo,6.6
2016,,,Bernedo,PT,Bernedo,6.9
2019,,,Bernedo,PT,Bernedo,6.2
2018,,,Bernedo,PT,Bernedo,6.7
2014,,,Bernedo,PT,Bernedo,6.8
2020,,,Bernedo,PT,Bernedo,5.0
2017,,,ES48018,PT,ES48018,1.1
2019,,,ES48018,PT,ES48018,1.2
2020,,,ES48018,PT,ES48018,1.4
2021,,,ES48018,PT,ES48018,2.1
2015,,,ES48018,PT,ES48018,1.4
2018,,,ES48018,PT,ES48018,1.1
2016,,,ES48018,PT,ES48018,1.3
2014,,,ES48018,PT,ES48018,1.4
2018,,,ES48019,PT,ES48019,0.7
2014,,,ES48019,PT,ES48019,0.6
2015,,,ES48019,PT,ES48019,0.7
2017,,,ES48019,PT,ES48019,0.8
2021,,,ES48019,PT,ES48019,1.1
2020,,,ES48019,PT,ES48019,1.0
2019,,,ES48019,PT,ES48019,0.8
2016,,,ES48019,PT,ES48019,0.8
2015,,,Berrobi,PT,Berrobi,3.3
2014,,,Berrobi,PT,Berrobi,2.9
2019,,,Berrobi,PT,Berrobi,2.9
2021,,,Berrobi,PT,Berrobi,3.2
2018,,,Berrobi,PT,Berrobi,2.3
2020,,,Berrobi,PT,Berrobi,3.1
2017,,,Berrobi,PT,Berrobi,3.1
2016,,,Berrobi,PT,Berrobi,3.0
2015,,,Bidania-Goiatz,PT,Bidania-Goiatz,6.1
2017,,,Bidania-Goiatz,PT,Bidania-Goiatz,5.7
