Year,Serie,Sex,Cobertura,Residencia,Discapacidad,Province,County,Municipality,Unidad,GeoCode,Value
2021,AES,,TIT,,,,,Aramaio,"Per 1,000 people",Aramaio,4.1
2022,AES,,TIT,,,,,Aramaio,"Per 1,000 people",Aramaio,4.8
2010,AES,,TIT,,,,,Artziniega,"Per 1,000 people",Artziniega,11.9
2011,AES,,TIT,,,,,Artziniega,"Per 1,000 people",Artziniega,5.4
2012,AES,,TIT,,,,,Artziniega,"Per 1,000 people",Artziniega,8.6
2013,AES,,TIT,,,,,Artziniega,"Per 1,000 people",Artziniega,4.9
2014,AES,,TIT,,,,,Artziniega,"Per 1,000 people",Artziniega,3.8
2015,AES,,TIT,,,,,Artziniega,"Per 1,000 people",Artziniega,5.4
2016,AES,,TIT,,,,,Artziniega,"Per 1,000 people",Artziniega,8.0
2017,AES,,TIT,,,,,Artziniega,"Per 1,000 people",Artziniega,7.3
2018,AES,,TIT,,,,,Artziniega,"Per 1,000 people",Artziniega,10.9
2019,AES,,TIT,,,,,Artziniega,"Per 1,000 people",Artziniega,10.4
2020,AES,,TIT,,,,,Artziniega,"Per 1,000 people",Artziniega,12.2
2021,AES,,TIT,,,,,Artziniega,"Per 1,000 people",Artziniega,15.0
2022,AES,,TIT,,,,,Artziniega,"Per 1,000 people",Artziniega,11.7
2010,AES,,TIT,,,,,Armiñón,"Per 1,000 people",Armiñón,0.0
2011,AES,,TIT,,,,,Armiñón,"Per 1,000 people",Armiñón,0.0
2012,AES,,TIT,,,,,Armiñón,"Per 1,000 people",Armiñón,0.0
2013,AES,,TIT,,,,,Armiñón,"Per 1,000 people",Armiñón,0.0
2014,AES,,TIT,,,,,Armiñón,"Per 1,000 people",Armiñón,0.0
2015,AES,,TIT,,,,,Armiñón,"Per 1,000 people",Armiñón,8.9
2016,AES,,TIT,,,,,Armiñón,"Per 1,000 people",Armiñón,4.5
2017,AES,,TIT,,,,,Armiñón,"Per 1,000 people",Armiñón,4.6
2018,AES,,TIT,,,,,Armiñón,"Per 1,000 people",Armiñón,0.0
2019,AES,,TIT,,,,,Armiñón,"Per 1,000 people",Armiñón,0.0
2020,AES,,TIT,,,,,Armiñón,"Per 1,000 people",Armiñón,0.0
2021,AES,,TIT,,,,,Armiñón,"Per 1,000 people",Armiñón,0.0
2022,AES,,TIT,,,,,Armiñón,"Per 1,000 people",Armiñón,4.4
2010,AES,,TIT,,,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,8.4
2011,AES,,TIT,,,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,5.0
2012,AES,,TIT,,,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,1.0
2013,AES,,TIT,,,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,1.0
2014,AES,,TIT,,,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,1.0
2015,AES,,TIT,,,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,3.9
2016,AES,,TIT,,,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,4.9
2017,AES,,TIT,,,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,1.9
2018,AES,,TIT,,,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,1.9
2019,AES,,TIT,,,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,1.9
2020,AES,,TIT,,,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,1.0
2021,AES,,TIT,,,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,2.8
2022,AES,,TIT,,,,,Arratzua-Ubarrundia,"Per 1,000 people",Arratzua-Ubarrundia,1.9
2010,AES,,TIT,,,,,Asparrena,"Per 1,000 people",Asparrena,18.3
2011,AES,,TIT,,,,,Asparrena,"Per 1,000 people",Asparrena,9.4
2012,AES,,TIT,,,,,Asparrena,"Per 1,000 people",Asparrena,4.7
2013,AES,,TIT,,,,,Asparrena,"Per 1,000 people",Asparrena,10.8
2014,AES,,TIT,,,,,Asparrena,"Per 1,000 people",Asparrena,7.9
2015,AES,,TIT,,,,,Asparrena,"Per 1,000 people",Asparrena,15.8
2016,AES,,TIT,,,,,Asparrena,"Per 1,000 people",Asparrena,16.0
2017,AES,,TIT,,,,,Asparrena,"Per 1,000 people",Asparrena,14.7
2018,AES,,TIT,,,,,Asparrena,"Per 1,000 people",Asparrena,19.7
2019,AES,,TIT,,,,,Asparrena,"Per 1,000 people",Asparrena,19.2
2020,AES,,TIT,,,,,Asparrena,"Per 1,000 people",Asparrena,20.2
2021,AES,,TIT,,,,,Asparrena,"Per 1,000 people",Asparrena,18.7
2022,AES,,TIT,,,,,Asparrena,"Per 1,000 people",Asparrena,21.3
2010,AES,,TIT,,,,ES0101,,"Per 1,000 people",ES0101,2.2
2011,AES,,TIT,,,,ES0101,,"Per 1,000 people",ES0101,2.0
2012,AES,,TIT,,,,ES0101,,"Per 1,000 people",ES0101,3.2
2013,AES,,TIT,,,,ES0101,,"Per 1,000 people",ES0101,2.2
2014,AES,,TIT,,,,ES0101,,"Per 1,000 people",ES0101,3.0
2015,AES,,TIT,,,,ES0101,,"Per 1,000 people",ES0101,5.2
2016,AES,,TIT,,,,ES0101,,"Per 1,000 people",ES0101,6.4
2017,AES,,TIT,,,,ES0101,,"Per 1,000 people",ES0101,3.3
2018,AES,,TIT,,,,ES0101,,"Per 1,000 people",ES0101,4.1
2019,AES,,TIT,,,,ES0101,,"Per 1,000 people",ES0101,2.8
2020,AES,,TIT,,,,ES0101,,"Per 1,000 people",ES0101,3.2
2021,AES,,TIT,,,,ES0101,,"Per 1,000 people",ES0101,3.7
2022,AES,,TIT,,,,ES0101,,"Per 1,000 people",ES0101,3.5
2010,AES,,TIT,,,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,3.6
2011,AES,,TIT,,,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,0.7
2012,AES,,TIT,,,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,1.4
2013,AES,,TIT,,,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,1.4
2014,AES,,TIT,,,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,0.4
2015,AES,,TIT,,,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,1.4
2016,AES,,TIT,,,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,2.1
2017,AES,,TIT,,,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,1.0
2018,AES,,TIT,,,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,1.4
2019,AES,,TIT,,,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,2.8
2020,AES,,TIT,,,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,3.4
2021,AES,,TIT,,,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,4.1
2022,AES,,TIT,,,,,Ayala/Aiara,"Per 1,000 people",Ayala/Aiara,2.8
2010,AES,,TIT,,,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,0.0
2011,AES,,TIT,,,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,0.0
2012,AES,,TIT,,,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,0.0
2013,AES,,TIT,,,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,3.1
2014,AES,,TIT,,,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,0.0
2015,AES,,TIT,,,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,3.2
2016,AES,,TIT,,,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,3.2
2017,AES,,TIT,,,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,0.0
2018,AES,,TIT,,,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,0.0
2019,AES,,TIT,,,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,0.0
2020,AES,,TIT,,,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,0.0
2021,AES,,TIT,,,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,0.0
2022,AES,,TIT,,,,,Baños de Ebro/Mañueta,"Per 1,000 people",Baños de Ebro/Mañueta,3.1
2010,AES,,TIT,,,,,Barrundia,"Per 1,000 people",Barrundia,3.2
2011,AES,,TIT,,,,,Barrundia,"Per 1,000 people",Barrundia,1.1
2012,AES,,TIT,,,,,Barrundia,"Per 1,000 people",Barrundia,2.1
2013,AES,,TIT,,,,,Barrundia,"Per 1,000 people",Barrundia,2.1
2014,AES,,TIT,,,,,Barrundia,"Per 1,000 people",Barrundia,2.1
2015,AES,,TIT,,,,,Barrundia,"Per 1,000 people",Barrundia,3.2
2016,AES,,TIT,,,,,Barrundia,"Per 1,000 people",Barrundia,1.1
2017,AES,,TIT,,,,,Barrundia,"Per 1,000 people",Barrundia,2.1
2018,AES,,TIT,,,,,Barrundia,"Per 1,000 people",Barrundia,4.2
2019,AES,,TIT,,,,,Barrundia,"Per 1,000 people",Barrundia,3.2
2020,AES,,TIT,,,,,Barrundia,"Per 1,000 people",Barrundia,3.2
2021,AES,,TIT,,,,,Barrundia,"Per 1,000 people",Barrundia,1.1
2022,AES,,TIT,,,,,Barrundia,"Per 1,000 people",Barrundia,3.2
2010,AES,,TIT,,,,,Berantevilla,"Per 1,000 people",Berantevilla,0.0
2011,AES,,TIT,,,,,Berantevilla,"Per 1,000 people",Berantevilla,2.1
2012,AES,,TIT,,,,,Berantevilla,"Per 1,000 people",Berantevilla,0.0
2013,AES,,TIT,,,,,Berantevilla,"Per 1,000 people",Berantevilla,0.0
2014,AES,,TIT,,,,,Berantevilla,"Per 1,000 people",Berantevilla,2.1
2015,AES,,TIT,,,,,Berantevilla,"Per 1,000 people",Berantevilla,4.2
2016,AES,,TIT,,,,,Berantevilla,"Per 1,000 people",Berantevilla,2.1
2017,AES,,TIT,,,,,Berantevilla,"Per 1,000 people",Berantevilla,2.1
2018,AES,,TIT,,,,,Berantevilla,"Per 1,000 people",Berantevilla,6.2
2019,AES,,TIT,,,,,Berantevilla,"Per 1,000 people",Berantevilla,8.1
2020,AES,,TIT,,,,,Berantevilla,"Per 1,000 people",Berantevilla,10.0
2021,AES,,TIT,,,,,Berantevilla,"Per 1,000 people",Berantevilla,8.0
2022,AES,,TIT,,,,,Berantevilla,"Per 1,000 people",Berantevilla,6.0
2010,AES,,TIT,,,,,Bernedo,"Per 1,000 people",Bernedo,1.7
2011,AES,,TIT,,,,,Bernedo,"Per 1,000 people",Bernedo,1.7
2012,AES,,TIT,,,,,Bernedo,"Per 1,000 people",Bernedo,1.7
2013,AES,,TIT,,,,,Bernedo,"Per 1,000 people",Bernedo,1.8
2014,AES,,TIT,,,,,Bernedo,"Per 1,000 people",Bernedo,5.5
2015,AES,,TIT,,,,,Bernedo,"Per 1,000 people",Bernedo,5.7
2016,AES,,TIT,,,,,Bernedo,"Per 1,000 people",Bernedo,7.6
2017,AES,,TIT,,,,,Bernedo,"Per 1,000 people",Bernedo,7.5
2018,AES,,TIT,,,,,Bernedo,"Per 1,000 people",Bernedo,3.8
2019,AES,,TIT,,,,,Bernedo,"Per 1,000 people",Bernedo,5.7
2020,AES,,TIT,,,,,Bernedo,"Per 1,000 people",Bernedo,5.6
2021,AES,,TIT,,,,,Bernedo,"Per 1,000 people",Bernedo,3.6
2022,AES,,TIT,,,,,Bernedo,"Per 1,000 people",Bernedo,1.8
2010,AES,,TIT,,,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,3.6
2011,AES,,TIT,,,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,4.5
2012,AES,,TIT,,,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,7.1
2013,AES,,TIT,,,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,5.4
2014,AES,,TIT,,,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,5.6
2015,AES,,TIT,,,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,4.7
2016,AES,,TIT,,,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,1.9
2017,AES,,TIT,,,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,2.8
2018,AES,,TIT,,,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,5.6
2019,AES,,TIT,,,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,5.6
2020,AES,,TIT,,,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,7.4
2021,AES,,TIT,,,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,5.4
2022,AES,,TIT,,,,,Campezo/Kanpezu,"Per 1,000 people",Campezo/Kanpezu,6.3
2010,AES,,TIT,,,,,Zigoitia,"Per 1,000 people",Zigoitia,2.3
2011,AES,,TIT,,,,,Zigoitia,"Per 1,000 people",Zigoitia,1.1
2012,AES,,TIT,,,,,Zigoitia,"Per 1,000 people",Zigoitia,0.6
2013,AES,,TIT,,,,,Zigoitia,"Per 1,000 people",Zigoitia,1.7
2014,AES,,TIT,,,,,Zigoitia,"Per 1,000 people",Zigoitia,1.7
2015,AES,,TIT,,,,,Zigoitia,"Per 1,000 people",Zigoitia,1.7
2016,AES,,TIT,,,,,Zigoitia,"Per 1,000 people",Zigoitia,1.2
2017,AES,,TIT,,,,,Zigoitia,"Per 1,000 people",Zigoitia,0.0
2018,AES,,TIT,,,,,Zigoitia,"Per 1,000 people",Zigoitia,0.6
2019,AES,,TIT,,,,,Zigoitia,"Per 1,000 people",Zigoitia,0.6
2020,AES,,TIT,,,,,Zigoitia,"Per 1,000 people",Zigoitia,1.1
2021,AES,,TIT,,,,,Zigoitia,"Per 1,000 people",Zigoitia,1.1
2022,AES,,TIT,,,,,Zigoitia,"Per 1,000 people",Zigoitia,1.6
2010,AES,,TIT,,,,,Kripan,"Per 1,000 people",Kripan,0.0
2011,AES,,TIT,,,,,Kripan,"Per 1,000 people",Kripan,0.0
2012,AES,,TIT,,,,,Kripan,"Per 1,000 people",Kripan,0.0
2013,AES,,TIT,,,,,Kripan,"Per 1,000 people",Kripan,0.0
2014,AES,,TIT,,,,,Kripan,"Per 1,000 people",Kripan,0.0
2015,AES,,TIT,,,,,Kripan,"Per 1,000 people",Kripan,0.0
2016,AES,,TIT,,,,,Kripan,"Per 1,000 people",Kripan,0.0
2017,AES,,TIT,,,,,Kripan,"Per 1,000 people",Kripan,0.0
2018,AES,,TIT,,,,,Kripan,"Per 1,000 people",Kripan,0.0
2019,AES,,TIT,,,,,Kripan,"Per 1,000 people",Kripan,0.0
2020,AES,,TIT,,,,,Kripan,"Per 1,000 people",Kripan,0.0
2021,AES,,TIT,,,,,Kripan,"Per 1,000 people",Kripan,0.0
2022,AES,,TIT,,,,,Kripan,"Per 1,000 people",Kripan,0.0
2010,AES,,TIT,,,,ES0102,,"Per 1,000 people",ES0102,6.7
2011,AES,,TIT,,,,ES0102,,"Per 1,000 people",ES0102,6.8
2012,AES,,TIT,,,,ES0102,,"Per 1,000 people",ES0102,9.5
2013,AES,,TIT,,,,ES0102,,"Per 1,000 people",ES0102,12.3
2014,AES,,TIT,,,,ES0102,,"Per 1,000 people",ES0102,14.4
2015,AES,,TIT,,,,ES0102,,"Per 1,000 people",ES0102,15.1
2016,AES,,TIT,,,,ES0102,,"Per 1,000 people",ES0102,15.0
2017,AES,,TIT,,,,ES0102,,"Per 1,000 people",ES0102,14.7
2018,AES,,TIT,,,,ES0102,,"Per 1,000 people",ES0102,14.3
2019,AES,,TIT,,,,ES0102,,"Per 1,000 people",ES0102,14.2
2020,AES,,TIT,,,,ES0102,,"Per 1,000 people",ES0102,15.4
2021,AES,,TIT,,,,ES0102,,"Per 1,000 people",ES0102,15.3
2022,AES,,TIT,,,,ES0102,,"Per 1,000 people",ES0102,13.9
2010,AES,,TIT,,,,,Kuartango,"Per 1,000 people",Kuartango,0.0
2011,AES,,TIT,,,,,Kuartango,"Per 1,000 people",Kuartango,2.9
2012,AES,,TIT,,,,,Kuartango,"Per 1,000 people",Kuartango,2.9
2013,AES,,TIT,,,,,Kuartango,"Per 1,000 people",Kuartango,2.9
2014,AES,,TIT,,,,,Kuartango,"Per 1,000 people",Kuartango,0.0
2015,AES,,TIT,,,,,Kuartango,"Per 1,000 people",Kuartango,0.0
2016,AES,,TIT,,,,,Kuartango,"Per 1,000 people",Kuartango,0.0
2017,AES,,TIT,,,,,Kuartango,"Per 1,000 people",Kuartango,0.0
2018,AES,,TIT,,,,,Kuartango,"Per 1,000 people",Kuartango,0.0
2019,AES,,TIT,,,,,Kuartango,"Per 1,000 people",Kuartango,2.7
2020,AES,,TIT,,,,,Kuartango,"Per 1,000 people",Kuartango,0.0
2021,AES,,TIT,,,,,Kuartango,"Per 1,000 people",Kuartango,2.5
2022,AES,,TIT,,,,,Kuartango,"Per 1,000 people",Kuartango,2.5
2010,AES,,TIT,,,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,1.6
2011,AES,,TIT,,,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,1.6
2012,AES,,TIT,,,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,3.1
2013,AES,,TIT,,,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,3.1
2014,AES,,TIT,,,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,3.1
2015,AES,,TIT,,,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,3.2
2016,AES,,TIT,,,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,3.1
2017,AES,,TIT,,,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,1.6
2018,AES,,TIT,,,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,1.6
2019,AES,,TIT,,,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,0.0
2020,AES,,TIT,,,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,1.6
2021,AES,,TIT,,,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,1.5
2022,AES,,TIT,,,,,Elburgo/Burgelu,"Per 1,000 people",Elburgo/Burgelu,3.1
2010,AES,,TIT,,,,,Elciego,"Per 1,000 people",Elciego,3.7
2011,AES,,TIT,,,,,Elciego,"Per 1,000 people",Elciego,0.9
2012,AES,,TIT,,,,,Elciego,"Per 1,000 people",Elciego,1.9
2013,AES,,TIT,,,,,Elciego,"Per 1,000 people",Elciego,1.9
2014,AES,,TIT,,,,,Elciego,"Per 1,000 people",Elciego,1.8
2015,AES,,TIT,,,,,Elciego,"Per 1,000 people",Elciego,2.8
2016,AES,,TIT,,,,,Elciego,"Per 1,000 people",Elciego,2.9
2017,AES,,TIT,,,,,Elciego,"Per 1,000 people",Elciego,1.9
2018,AES,,TIT,,,,,Elciego,"Per 1,000 people",Elciego,2.9
2019,AES,,TIT,,,,,Elciego,"Per 1,000 people",Elciego,3.9
2020,AES,,TIT,,,,,Elciego,"Per 1,000 people",Elciego,5.8
2021,AES,,TIT,,,,,Elciego,"Per 1,000 people",Elciego,2.0
2022,AES,,TIT,,,,,Elciego,"Per 1,000 people",Elciego,1.0
2010,AES,,TIT,,,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,0.0
2011,AES,,TIT,,,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,0.0
2012,AES,,TIT,,,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,0.0
2013,AES,,TIT,,,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,2.9
2014,AES,,TIT,,,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,2.9
2015,AES,,TIT,,,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,0.0
2016,AES,,TIT,,,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,8.4
2017,AES,,TIT,,,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,8.2
2018,AES,,TIT,,,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,8.3
2019,AES,,TIT,,,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,2.8
2020,AES,,TIT,,,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,0.0
2021,AES,,TIT,,,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,5.9
2022,AES,,TIT,,,,,Elvillar/Bilar,"Per 1,000 people",Elvillar/Bilar,12.1
2010,AES,,TIT,,,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,1.8
2011,AES,,TIT,,,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,1.8
2012,AES,,TIT,,,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,1.8
2013,AES,,TIT,,,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,5.5
2014,AES,,TIT,,,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,7.4
2015,AES,,TIT,,,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,1.9
2016,AES,,TIT,,,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,0.0
2017,AES,,TIT,,,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,0.0
2018,AES,,TIT,,,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,0.0
2019,AES,,TIT,,,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,0.0
2020,AES,,TIT,,,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,1.8
2021,AES,,TIT,,,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,1.8
2022,AES,,TIT,,,,,Iruraiz-Gauna,"Per 1,000 people",Iruraiz-Gauna,0.0
2010,AES,,TIT,,,,,Labastida/Bastida,"Per 1,000 people",Labastida/Bastida,8.1
2011,AES,,TIT,,,,,Labastida/Bastida,"Per 1,000 people",Labastida/Bastida,8.0
2012,AES,,TIT,,,,,Labastida/Bastida,"Per 1,000 people",Labastida/Bastida,7.3
2013,AES,,TIT,,,,,Labastida/Bastida,"Per 1,000 people",Labastida/Bastida,6.6
2014,AES,,TIT,,,,,Labastida/Bastida,"Per 1,000 people",Labastida/Bastida,9.3
2015,AES,,TIT,,,,,Labastida/Bastida,"Per 1,000 people",Labastida/Bastida,14.7
