Year,Series,Tipo de valor,Territorio,Units,Value
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Gorbeialdea / Estribaciones del Gorbea,Porcentaje,43.9
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ibarra,Porcentaje,46.9
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Hernani,Porcentaje,37.4
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Bermeo,Porcentaje,8.8
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Gatika,Porcentaje,17.1
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Labastida/Bastida,Porcentaje,39.2
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Elorrio,Porcentaje,23.2
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Harana/Valle de Arana,Porcentaje,1.6
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Dima,Porcentaje,10.8
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Elorrio,Porcentaje,28.6
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Aramaio,Porcentaje,26.5
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ezkio-Itsaso,Porcentaje,59.0
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ayala/Aiara,Porcentaje,32.0
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Urkabustaiz,Porcentaje,32.5
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Elduain,Porcentaje,58.1
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Elciego,Porcentaje,43.8
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Debagoiena / Alto Deba,Porcentaje,41.2
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Donostialdea,Porcentaje,11.4
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Aramaio,Porcentaje,24.0
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Baños de Ebro/Mañueta,Porcentaje,43.4
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Artea,Porcentaje,50.3
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Garai,Porcentaje,0.0
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Elvillar/Bilar,Porcentaje,27.9
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ayala/Aiara,Porcentaje,31.5
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Harana/Valle de Arana,Porcentaje,8.1
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,San Millán/Donemiliaga,Porcentaje,0.6
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Villabuena de Álava/Eskuernaga,Porcentaje,58.9
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Galdakao,Porcentaje,19.6
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Gamiz-Fika,Porcentaje,10.2
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Berango,Porcentaje,11.6
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Gautegiz Arteaga,Porcentaje,0.7
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Getxo,Porcentaje,1.2
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arabako Kantaurialdea / Cantábrica Alavesa,Porcentaje,31.6
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Gizaburuaga,Porcentaje,63.2
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Yécora/Iekora,Porcentaje,12.8
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Irura,Porcentaje,61.0
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Itsasondo,Porcentaje,60.3
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lazkao,Porcentaje,27.3
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arakaldo,Porcentaje,3.1
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Mallabia,Porcentaje,69.1
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Markina-Ondarroa,Porcentaje,28.4
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Legazpi,Porcentaje,46.2
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Mendexa,Porcentaje,9.8
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Berantevilla,Porcentaje,64.3
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lantarón,Porcentaje,71.0
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Morga,Porcentaje,21.3
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Abaltzisketa,Porcentaje,2.4
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Oyón-Oion,Porcentaje,59.9
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Aia,Porcentaje,38.0
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Muskiz,Porcentaje,63.8
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Bernedo,Porcentaje,19.0
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Aizarnazabal,Porcentaje,41.0
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Orio,Porcentaje,2.1
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Samaniego,Porcentaje,39.3
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Añana (comarca),Porcentaje,49.1
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Agurain/Salvatierra,Porcentaje,26.3
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Añana (comarca),Porcentaje,47.9
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Gernika-Lumo,Porcentaje,12.7
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arabako Kantaurialdea / Cantábrica Alavesa,Porcentaje,36.3
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Irun,Porcentaje,12.8
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zerain,Porcentaje,40.3
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Gorbeialdea / Estribaciones del Gorbea,Porcentaje,45.0
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Elburgo/Burgelu,Porcentaje,2.2
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Bidania-Goiatz,Porcentaje,28.3
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Añana,Porcentaje,0.0
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Laguardia,Porcentaje,49.1
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,Porcentaje,18.7
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Kuartango,Porcentaje,0.0
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ribera Baja/Erriberabeitia,Porcentaje,47.1
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Urretxu,Porcentaje,19.1
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Legazpi,Porcentaje,49.1
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arabako Errioxa / Rioja Alavesa,Porcentaje,48.1
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Santurtzi,Porcentaje,2.3
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Tolosaldea,Porcentaje,36.7
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arratzu,Porcentaje,0.0
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,Porcentaje,18.8
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Beasain,Porcentaje,52.2
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lanciego/Lantziego,Porcentaje,48.9
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Antzuola,Porcentaje,65.4
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Aizarnazabal,Porcentaje,37.7
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ortuella,Porcentaje,19.2
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Bergara,Porcentaje,36.9
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lezo,Porcentaje,31.5
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Beasain,Porcentaje,58.2
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ortuella,Porcentaje,22.1
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Debabarrena / Bajo Deba,Porcentaje,33.5
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Legorreta,Porcentaje,49.0
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Beizama,Porcentaje,7.1
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Aulesti,Porcentaje,5.5
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Erriberagoitia/Ribera Alta,Porcentaje,4.8
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Amurrio,Porcentaje,39.9
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ribera Baja/Erriberabeitia,Porcentaje,40.6
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lekeitio,Porcentaje,1.2
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Amoroto,Porcentaje,65.3
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lazkao,Porcentaje,28.8
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Bidania-Goiatz,Porcentaje,27.8
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Larrabetzu,Porcentaje,13.2
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zegama,Porcentaje,30.9
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Aramaio,Porcentaje,23.8
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zerain,Porcentaje,33.5
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Gorliz,Porcentaje,1.2
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zestoa,Porcentaje,47.1
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Gernika-Lumo,Porcentaje,10.3
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Barakaldo,Porcentaje,3.5
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Gorliz,Porcentaje,1.5
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Deba,Porcentaje,41.0
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ayala/Aiara,Porcentaje,33.4
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Bermeo,Porcentaje,10.3
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Legutio,Porcentaje,59.8
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Eibar,Porcentaje,13.6
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Galdakao,Porcentaje,17.6
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Elduain,Porcentaje,61.6
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Gabiria,Porcentaje,35.1
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Elgoibar,Porcentaje,53.4
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Aramaio,Porcentaje,26.0
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Elgeta,Porcentaje,60.1
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arama,Porcentaje,72.4
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Eskoriatza,Porcentaje,51.7
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ea,Porcentaje,26.9
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ezkio-Itsaso,Porcentaje,59.3
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zeberio,Porcentaje,11.3
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Hondarribia,Porcentaje,1.8
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Aramaio,Porcentaje,23.7
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Gaintza,Porcentaje,0.0
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Karrantza Harana/Valle de Carranza,Porcentaje,9.0
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Gabiria,Porcentaje,31.6
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Busturia,Porcentaje,6.7
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Iruraiz-Gauna,Porcentaje,0.2
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Gabiria,Porcentaje,29.7
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Donostialdea,Porcentaje,11.0
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Eibar,Porcentaje,15.7
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Garai,Porcentaje,0.4
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Legutio,Porcentaje,57.1
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Hernialde,Porcentaje,2.2
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Vitoria-Gasteiz,Porcentaje,20.8
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Gordexola,Porcentaje,8.0
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Vitoria-Gasteiz,Porcentaje,20.5
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Barrika,Porcentaje,0.3
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Barakaldo,Porcentaje,3.6
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Gernika-Lumo,Porcentaje,12.1
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Yécora/Iekora,Porcentaje,11.1
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Irun,Porcentaje,14.4
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arrieta,Porcentaje,6.1
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Irura,Porcentaje,57.3
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arabako Kantaurialdea / Cantábrica Alavesa,Porcentaje,34.7
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zegama,Porcentaje,38.2
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Larrabetzu,Porcentaje,15.1
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Larraul,Porcentaje,4.4
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Laukiz,Porcentaje,1.9
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lazkao,Porcentaje,30.0
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arakaldo,Porcentaje,6.1
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Goierri,Porcentaje,45.0
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ribera Baja/Erriberabeitia,Porcentaje,40.5
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Mañaria,Porcentaje,29.1
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Markina-Ondarroa,Porcentaje,27.8
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Markina-Xemein,Porcentaje,17.5
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arratzu,Porcentaje,0.0
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Mendata,Porcentaje,0.0
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,Porcentaje,18.8
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Meñaka,Porcentaje,0.8
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ibarrangelu,Porcentaje,0.5
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ziortza-Bolibar,Porcentaje,2.3
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Maruri-Jatabe,Porcentaje,0.8
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Peñacerrada-Urizaharra,Porcentaje,2.9
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lantarón,Porcentaje,73.2
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lezo,Porcentaje,32.5
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Morga,Porcentaje,8.5
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lizartza,Porcentaje,47.7
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Oyón-Oion,Porcentaje,55.6
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Gaztelu,Porcentaje,0.0
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Mungia,Porcentaje,32.8
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Orendain,Porcentaje,13.0
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Astigarraga,Porcentaje,17.9
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Tolosaldea,Porcentaje,34.7
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Astigarraga,Porcentaje,17.5
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Orexa,Porcentaje,9.8
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Urduña/Orduña,Porcentaje,9.7
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Aduna,Porcentaje,37.9
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Albiztur,Porcentaje,45.7
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Kripan,Porcentaje,11.2
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Azkoitia,Porcentaje,41.2
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Amurrio,Porcentaje,50.8
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Oyón-Oion,Porcentaje,56.6
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Aia,Porcentaje,43.4
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Mutriku,Porcentaje,19.4
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Aulesti,Porcentaje,8.3
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Asparrena,Porcentaje,51.0
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Okondo,Porcentaje,32.4
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ataun,Porcentaje,8.2
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Armiñón,Porcentaje,61.9
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Kripan,Porcentaje,12.4
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Asteasu,Porcentaje,59.5
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Orozko,Porcentaje,17.9
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Orozko,Porcentaje,11.9
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Kripan,Porcentaje,9.0
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zumarraga,Porcentaje,12.5
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Bernedo,Porcentaje,20.1
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lapuebla de Labarca,Porcentaje,59.4
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arama,Porcentaje,2.4
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Errigoiti,Porcentaje,4.0
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Leza,Porcentaje,15.9
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Urretxu,Porcentaje,17.8
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arratzua-Ubarrundia,Porcentaje,6.3
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arabako Errioxa / Rioja Alavesa,Porcentaje,49.4
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ordizia,Porcentaje,22.9
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Villabona,Porcentaje,19.1
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ziortza-Bolibar,Porcentaje,1.7
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ortuella,Porcentaje,18.9
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zigoitia,Porcentaje,39.5
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Antzuola,Porcentaje,67.6
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Antzuola,Porcentaje,67.8
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Portugalete,Porcentaje,2.5
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zaldibia,Porcentaje,26.0
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arratzua-Ubarrundia,Porcentaje,4.8
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arama,Porcentaje,70.3
