Year,Tipo de violencia,Territorio,Comarca,Municipio,Units,GeoCode,Value
2020,Todos los tipos de violencia,,,Arantzazu,Por 10.000,Arantzazu,0.0
2021,Todos los tipos de violencia,,,Arantzazu,Por 10.000,Arantzazu,99.0
2019,Todos los tipos de violencia,,,Areatza,Por 10.000,Areatza,111.8
2021,Todos los tipos de violencia,,,Areatza,Por 10.000,Areatza,46.3
2020,Todos los tipos de violencia,,,Areatza,Por 10.000,Areatza,62.2
2018,Todos los tipos de violencia,,,Areatza,Por 10.000,Areatza,64.0
2020,Todos los tipos de violencia,,,Aretxabaleta,Por 10.000,Aretxabaleta,17.0
2018,Todos los tipos de violencia,,,Aretxabaleta,Por 10.000,Aretxabaleta,14.4
2021,Todos los tipos de violencia,,,Aretxabaleta,Por 10.000,Aretxabaleta,19.8
2019,Todos los tipos de violencia,,,Aretxabaleta,Por 10.000,Aretxabaleta,22.8
2018,Todos los tipos de violencia,,,Armiñón,Por 10.000,Armiñón,89.3
2020,Todos los tipos de violencia,,,Armiñón,Por 10.000,Armiñón,0.0
2019,Todos los tipos de violencia,,,Armiñón,Por 10.000,Armiñón,0.0
2021,Todos los tipos de violencia,,,Armiñón,Por 10.000,Armiñón,0.0
2020,Todos los tipos de violencia,,,Arraia-Maeztu,Por 10.000,Arraia-Maeztu,29.7
2019,Todos los tipos de violencia,,,Arraia-Maeztu,Por 10.000,Arraia-Maeztu,93.2
2021,Todos los tipos de violencia,,,Arraia-Maeztu,Por 10.000,Arraia-Maeztu,55.7
2018,Todos los tipos de violencia,,,Arraia-Maeztu,Por 10.000,Arraia-Maeztu,372.7
2020,Todos los tipos de violencia,,,Arrankudiaga-Zollo,Por 10.000,Arrankudiaga-Zollo,0.0
2021,Todos los tipos de violencia,,,Arrankudiaga-Zollo,Por 10.000,Arrankudiaga-Zollo,38.7
2019,Todos los tipos de violencia,,,Arrankudiaga-Zollo,Por 10.000,Arrankudiaga-Zollo,39.1
2018,Todos los tipos de violencia,,,Arrankudiaga-Zollo,Por 10.000,Arrankudiaga-Zollo,98.4
2019,Todos los tipos de violencia,,,Arrasate/Mondragón,Por 10.000,Arrasate/Mondragón,41.9
2021,Todos los tipos de violencia,,,Arrasate/Mondragón,Por 10.000,Arrasate/Mondragón,55.2
2018,Todos los tipos de violencia,,,Arrasate/Mondragón,Por 10.000,Arrasate/Mondragón,49.0
2020,Todos los tipos de violencia,,,Arrasate/Mondragón,Por 10.000,Arrasate/Mondragón,30.5
2021,Todos los tipos de violencia,,,Arratzu,Por 10.000,Arratzu,45.5
2020,Todos los tipos de violencia,,,Arratzu,Por 10.000,Arratzu,0.0
2019,Todos los tipos de violencia,,,Arratzu,Por 10.000,Arratzu,0.0
2018,Todos los tipos de violencia,,,Arratzu,Por 10.000,Arratzu,0.0
2019,Todos los tipos de violencia,,,Arratzua-Ubarrundia,Por 10.000,Arratzua-Ubarrundia,21.4
2018,Todos los tipos de violencia,,,Arratzua-Ubarrundia,Por 10.000,Arratzua-Ubarrundia,21.3
2021,Todos los tipos de violencia,,,Arratzua-Ubarrundia,Por 10.000,Arratzua-Ubarrundia,20.2
2020,Todos los tipos de violencia,,,Arratzua-Ubarrundia,Por 10.000,Arratzua-Ubarrundia,62.9
2020,Todos los tipos de violencia,,,Arrieta,Por 10.000,Arrieta,36.1
2018,Todos los tipos de violencia,,,Arrieta,Por 10.000,Arrieta,36.6
2019,Todos los tipos de violencia,,,Arrieta,Por 10.000,Arrieta,0.0
2021,Todos los tipos de violencia,,,Arrieta,Por 10.000,Arrieta,0.0
2019,Todos los tipos de violencia,,,Arrigorriaga,Por 10.000,Arrigorriaga,30.9
2020,Todos los tipos de violencia,,,Arrigorriaga,Por 10.000,Arrigorriaga,66.6
2021,Todos los tipos de violencia,,,Arrigorriaga,Por 10.000,Arrigorriaga,59.0
2018,Todos los tipos de violencia,,,Arrigorriaga,Por 10.000,Arrigorriaga,47.2
2021,Todos los tipos de violencia,,,Artea,Por 10.000,Artea,0.0
2019,Todos los tipos de violencia,,,Artea,Por 10.000,Artea,0.0
2018,Todos los tipos de violencia,,,Artea,Por 10.000,Artea,0.0
2020,Todos los tipos de violencia,,,Artea,Por 10.000,Artea,27.9
2021,Todos los tipos de violencia,,,Artzentales,Por 10.000,Artzentales,58.8
2019,Todos los tipos de violencia,,,Artzentales,Por 10.000,Artzentales,61.0
2018,Todos los tipos de violencia,,,Artzentales,Por 10.000,Artzentales,30.1
2020,Todos los tipos de violencia,,,Artzentales,Por 10.000,Artzentales,30.0
2020,Todos los tipos de violencia,,,Artziniega,Por 10.000,Artziniega,31.3
2021,Todos los tipos de violencia,,,Artziniega,Por 10.000,Artziniega,10.6
2018,Todos los tipos de violencia,,,Artziniega,Por 10.000,Artziniega,103.3
2019,Todos los tipos de violencia,,,Artziniega,Por 10.000,Artziniega,72.5
2018,Todos los tipos de violencia,,,Asparrena,Por 10.000,Asparrena,24.7
2021,Todos los tipos de violencia,,,Asparrena,Por 10.000,Asparrena,72.2
2019,Todos los tipos de violencia,,,Asparrena,Por 10.000,Asparrena,25.0
2020,Todos los tipos de violencia,,,Asparrena,Por 10.000,Asparrena,98.3
2020,Todos los tipos de violencia,,,Asteasu,Por 10.000,Asteasu,13.2
2019,Todos los tipos de violencia,,,Asteasu,Por 10.000,Asteasu,52.3
2021,Todos los tipos de violencia,,,Asteasu,Por 10.000,Asteasu,67.7
2018,Todos los tipos de violencia,,,Asteasu,Por 10.000,Asteasu,26.7
2021,Todos los tipos de violencia,,,Astigarraga,Por 10.000,Astigarraga,28.3
2018,Todos los tipos de violencia,,,Astigarraga,Por 10.000,Astigarraga,33.2
2020,Todos los tipos de violencia,,,Astigarraga,Por 10.000,Astigarraga,44.2
2019,Todos los tipos de violencia,,,Astigarraga,Por 10.000,Astigarraga,46.8
2019,Todos los tipos de violencia,,,Ataun,Por 10.000,Ataun,23.8
2018,Todos los tipos de violencia,,,Ataun,Por 10.000,Ataun,12.0
2020,Todos los tipos de violencia,,,Ataun,Por 10.000,Ataun,47.9
2021,Todos los tipos de violencia,,,Ataun,Por 10.000,Ataun,12.2
2018,Todos los tipos de violencia,,,Atxondo,Por 10.000,Atxondo,69.9
2021,Todos los tipos de violencia,,,Atxondo,Por 10.000,Atxondo,14.6
2020,Todos los tipos de violencia,,,Atxondo,Por 10.000,Atxondo,0.0
2019,Todos los tipos de violencia,,,Atxondo,Por 10.000,Atxondo,28.4
2018,Todos los tipos de violencia,,,Aulesti,Por 10.000,Aulesti,0.0
2021,Todos los tipos de violencia,,,Aulesti,Por 10.000,Aulesti,0.0
2019,Todos los tipos de violencia,,,Aulesti,Por 10.000,Aulesti,0.0
2020,Todos los tipos de violencia,,,Aulesti,Por 10.000,Aulesti,0.0
2018,Todos los tipos de violencia,,,Ayala/Aiara,Por 10.000,Ayala/Aiara,6.9
2021,Todos los tipos de violencia,,,Ayala/Aiara,Por 10.000,Ayala/Aiara,20.8
2019,Todos los tipos de violencia,,,Ayala/Aiara,Por 10.000,Ayala/Aiara,27.5
2020,Todos los tipos de violencia,,,Ayala/Aiara,Por 10.000,Ayala/Aiara,6.9
2020,Todos los tipos de violencia,,,Azkoitia,Por 10.000,Azkoitia,33.8
2019,Todos los tipos de violencia,,,Azkoitia,Por 10.000,Azkoitia,8.5
2018,Todos los tipos de violencia,,,Azkoitia,Por 10.000,Azkoitia,27.1
2021,Todos los tipos de violencia,,,Azkoitia,Por 10.000,Azkoitia,18.6
2018,Todos los tipos de violencia,,,Azpeitia,Por 10.000,Azpeitia,29.6
2020,Todos los tipos de violencia,,,Azpeitia,Por 10.000,Azpeitia,23.8
2019,Todos los tipos de violencia,,,Azpeitia,Por 10.000,Azpeitia,24.0
2021,Todos los tipos de violencia,,,Azpeitia,Por 10.000,Azpeitia,22.4
2021,Todos los tipos de violencia,,,Bakio,Por 10.000,Bakio,92.9
2018,Todos los tipos de violencia,,,Bakio,Por 10.000,Bakio,53.6
2019,Todos los tipos de violencia,,,Bakio,Por 10.000,Bakio,38.1
2020,Todos los tipos de violencia,,,Bakio,Por 10.000,Bakio,66.8
2020,Todos los tipos de violencia,,,Baliarrain,Por 10.000,Baliarrain,0.0
2019,Todos los tipos de violencia,,,Baliarrain,Por 10.000,Baliarrain,0.0
2018,Todos los tipos de violencia,,,Baliarrain,Por 10.000,Baliarrain,0.0
2021,Todos los tipos de violencia,,,Baliarrain,Por 10.000,Baliarrain,0.0
2020,Todos los tipos de violencia,,,Balmaseda,Por 10.000,Balmaseda,52.8
2021,Todos los tipos de violencia,,,Balmaseda,Por 10.000,Balmaseda,57.4
2019,Todos los tipos de violencia,,,Balmaseda,Por 10.000,Balmaseda,43.2
2018,Todos los tipos de violencia,,,Balmaseda,Por 10.000,Balmaseda,58.9
2021,Todos los tipos de violencia,,,Baños de Ebro/Mañueta,Por 10.000,Baños de Ebro/Mañueta,73.0
2018,Todos los tipos de violencia,,,Baños de Ebro/Mañueta,Por 10.000,Baños de Ebro/Mañueta,0.0
2019,Todos los tipos de violencia,,,Baños de Ebro/Mañueta,Por 10.000,Baños de Ebro/Mañueta,0.0
2020,Todos los tipos de violencia,,,Baños de Ebro/Mañueta,Por 10.000,Baños de Ebro/Mañueta,146.0
2021,Todos los tipos de violencia,,,Barakaldo,Por 10.000,Barakaldo,65.4
2019,Todos los tipos de violencia,,,Barakaldo,Por 10.000,Barakaldo,58.5
2020,Todos los tipos de violencia,,,Barakaldo,Por 10.000,Barakaldo,55.5
2018,Todos los tipos de violencia,,,Barakaldo,Por 10.000,Barakaldo,48.5
2019,Todos los tipos de violencia,,,Barrika,Por 10.000,Barrika,13.6
2020,Todos los tipos de violencia,,,Barrika,Por 10.000,Barrika,40.1
2021,Todos los tipos de violencia,,,Barrika,Por 10.000,Barrika,77.9
2018,Todos los tipos de violencia,,,Barrika,Por 10.000,Barrika,67.6
2020,Todos los tipos de violencia,,,Barrundia,Por 10.000,Barrundia,48.2
2018,Todos los tipos de violencia,,,Barrundia,Por 10.000,Barrundia,24.1
2019,Todos los tipos de violencia,,,Barrundia,Por 10.000,Barrundia,47.7
2021,Todos los tipos de violencia,,,Barrundia,Por 10.000,Barrundia,24.3
2019,Todos los tipos de violencia,,,Basauri,Por 10.000,Basauri,50.1
2020,Todos los tipos de violencia,,,Basauri,Por 10.000,Basauri,51.0
2018,Todos los tipos de violencia,,,Basauri,Por 10.000,Basauri,34.1
2021,Todos los tipos de violencia,,,Basauri,Por 10.000,Basauri,36.7
2021,Todos los tipos de violencia,,,Beasain,Por 10.000,Beasain,39.5
2020,Todos los tipos de violencia,,,Beasain,Por 10.000,Beasain,29.1
2018,Todos los tipos de violencia,,,Beasain,Por 10.000,Beasain,26.2
2019,Todos los tipos de violencia,,,Beasain,Por 10.000,Beasain,33.4
2020,Todos los tipos de violencia,,,Bedia,Por 10.000,Bedia,0.0
2021,Todos los tipos de violencia,,,Bedia,Por 10.000,Bedia,35.2
2018,Todos los tipos de violencia,,,Bedia,Por 10.000,Bedia,18.0
2019,Todos los tipos de violencia,,,Bedia,Por 10.000,Bedia,35.4
2021,Todos los tipos de violencia,,,Beizama,Por 10.000,Beizama,0.0
2018,Todos los tipos de violencia,,,Beizama,Por 10.000,Beizama,0.0
2020,Todos los tipos de violencia,,,Beizama,Por 10.000,Beizama,0.0
2019,Todos los tipos de violencia,,,Beizama,Por 10.000,Beizama,0.0
2020,Todos los tipos de violencia,,,Belauntza,Por 10.000,Belauntza,0.0
2019,Todos los tipos de violencia,,,Belauntza,Por 10.000,Belauntza,0.0
2021,Todos los tipos de violencia,,,Belauntza,Por 10.000,Belauntza,0.0
2018,Todos los tipos de violencia,,,Belauntza,Por 10.000,Belauntza,82.6
2021,Todos los tipos de violencia,,,Berango,Por 10.000,Berango,28.7
2020,Todos los tipos de violencia,,,Berango,Por 10.000,Berango,23.8
2019,Todos los tipos de violencia,,,Berango,Por 10.000,Berango,29.5
2018,Todos los tipos de violencia,,,Berango,Por 10.000,Berango,59.5
2018,Todos los tipos de violencia,,,Berantevilla,Por 10.000,Berantevilla,0.0
2020,Todos los tipos de violencia,,,Berantevilla,Por 10.000,Berantevilla,126.1
2021,Todos los tipos de violencia,,,Berantevilla,Por 10.000,Berantevilla,43.1
2019,Todos los tipos de violencia,,,Berantevilla,Por 10.000,Berantevilla,43.1
2020,Todos los tipos de violencia,,,Berastegi,Por 10.000,Berastegi,19.2
2018,Todos los tipos de violencia,,,Berastegi,Por 10.000,Berastegi,0.0
2019,Todos los tipos de violencia,,,Berastegi,Por 10.000,Berastegi,0.0
2021,Todos los tipos de violencia,,,Berastegi,Por 10.000,Berastegi,0.0
2019,Todos los tipos de violencia,,,Bergara,Por 10.000,Bergara,33.2
2020,Todos los tipos de violencia,,,Bergara,Por 10.000,Bergara,25.4
2018,Todos los tipos de violencia,,,Bergara,Por 10.000,Bergara,23.9
2021,Todos los tipos de violencia,,,Bergara,Por 10.000,Bergara,58.2
2019,Todos los tipos de violencia,,,Bermeo,Por 10.000,Bermeo,57.1
2021,Todos los tipos de violencia,,,Bermeo,Por 10.000,Bermeo,57.4
2018,Todos los tipos de violencia,,,Bermeo,Por 10.000,Bermeo,38.6
2020,Todos los tipos de violencia,,,Bermeo,Por 10.000,Bermeo,75.8
2020,Todos los tipos de violencia,,,Bernedo,Por 10.000,Bernedo,0.0
2018,Todos los tipos de violencia,,,Bernedo,Por 10.000,Bernedo,0.0
2021,Todos los tipos de violencia,,,Bernedo,Por 10.000,Bernedo,0.0
2019,Todos los tipos de violencia,,,Bernedo,Por 10.000,Bernedo,0.0
2019,Todos los tipos de violencia,,,Berriatua,Por 10.000,Berriatua,0.0
2020,Todos los tipos de violencia,,,Berriatua,Por 10.000,Berriatua,17.4
2021,Todos los tipos de violencia,,,Berriatua,Por 10.000,Berriatua,35.1
2018,Todos los tipos de violencia,,,Berriatua,Por 10.000,Berriatua,122.8
2020,Todos los tipos de violencia,,,Berriz,Por 10.000,Berriz,52.4
2021,Todos los tipos de violencia,,,Berriz,Por 10.000,Berriz,8.8
2018,Todos los tipos de violencia,,,Berriz,Por 10.000,Berriz,12.7
2019,Todos los tipos de violencia,,,Berriz,Por 10.000,Berriz,25.7
2021,Todos los tipos de violencia,,,Berrobi,Por 10.000,Berrobi,34.5
2018,Todos los tipos de violencia,,,Berrobi,Por 10.000,Berrobi,0.0
2020,Todos los tipos de violencia,,,Berrobi,Por 10.000,Berrobi,68.0
2019,Todos los tipos de violencia,,,Berrobi,Por 10.000,Berrobi,33.6
2021,Todos los tipos de violencia,,,Bidania-Goiatz,Por 10.000,Bidania-Goiatz,0.0
2019,Todos los tipos de violencia,,,Bidania-Goiatz,Por 10.000,Bidania-Goiatz,0.0
2018,Todos los tipos de violencia,,,Bidania-Goiatz,Por 10.000,Bidania-Goiatz,0.0
2020,Todos los tipos de violencia,,,Bidania-Goiatz,Por 10.000,Bidania-Goiatz,38.0
2019,Todos los tipos de violencia,,,Bilbao,Por 10.000,Bilbao,51.3
2020,Todos los tipos de violencia,,,Bilbao,Por 10.000,Bilbao,48.3
2021,Todos los tipos de violencia,,,Bilbao,Por 10.000,Bilbao,43.6
2018,Todos los tipos de violencia,,,Bilbao,Por 10.000,Bilbao,53.6
2020,Todos los tipos de violencia,,,Busturia,Por 10.000,Busturia,60.3
2021,Todos los tipos de violencia,,,Busturia,Por 10.000,Busturia,35.5
2019,Todos los tipos de violencia,,,Busturia,Por 10.000,Busturia,73.3
2018,Todos los tipos de violencia,,,Busturia,Por 10.000,Busturia,73.3
2018,Todos los tipos de violencia,,,Campezo/Kanpezu,Por 10.000,Campezo/Kanpezu,20.0
2021,Todos los tipos de violencia,,,Campezo/Kanpezu,Por 10.000,Campezo/Kanpezu,19.2
2019,Todos los tipos de violencia,,,Campezo/Kanpezu,Por 10.000,Campezo/Kanpezu,40.2
2020,Todos los tipos de violencia,,,Campezo/Kanpezu,Por 10.000,Campezo/Kanpezu,0.0
2021,Todos los tipos de violencia,,,Deba,Por 10.000,Deba,36.5
2019,Todos los tipos de violencia,,,Deba,Por 10.000,Deba,18.4
2020,Todos los tipos de violencia,,,Deba,Por 10.000,Deba,11.0
2018,Todos los tipos de violencia,,,Deba,Por 10.000,Deba,14.8
2021,Todos los tipos de violencia,,,Derio,Por 10.000,Derio,41.6
2018,Todos los tipos de violencia,,,Derio,Por 10.000,Derio,27.1
2020,Todos los tipos de violencia,,,Derio,Por 10.000,Derio,57.2
2019,Todos los tipos de violencia,,,Derio,Por 10.000,Derio,53.4
2018,Todos los tipos de violencia,,,Dima,Por 10.000,Dima,0.0
2020,Todos los tipos de violencia,,,Dima,Por 10.000,Dima,83.7
2019,Todos los tipos de violencia,,,Dima,Por 10.000,Dima,14.1
2021,Todos los tipos de violencia,,,Dima,Por 10.000,Dima,28.1
2021,Todos los tipos de violencia,,,Donostia / San Sebastián,Por 10.000,Donostia / San Sebastián,47.5
2019,Todos los tipos de violencia,,,Donostia / San Sebastián,Por 10.000,Donostia / San Sebastián,53.2
2020,Todos los tipos de violencia,,,Donostia / San Sebastián,Por 10.000,Donostia / San Sebastián,44.4
2018,Todos los tipos de violencia,,,Donostia / San Sebastián,Por 10.000,Donostia / San Sebastián,46.4
2020,Todos los tipos de violencia,,,Durango,Por 10.000,Durango,35.0
2018,Todos los tipos de violencia,,,Durango,Por 10.000,Durango,43.5
2019,Todos los tipos de violencia,,,Durango,Por 10.000,Durango,45.1
2021,Todos los tipos de violencia,,,Durango,Por 10.000,Durango,39.6
2018,Todos los tipos de violencia,,,Ea,Por 10.000,Ea,0.0
2020,Todos los tipos de violencia,,,Ea,Por 10.000,Ea,75.8
2021,Todos los tipos de violencia,,,Ea,Por 10.000,Ea,50.0
2019,Todos los tipos de violencia,,,Ea,Por 10.000,Ea,25.2
2021,Todos los tipos de violencia,,,Eibar,Por 10.000,Eibar,58.7
2019,Todos los tipos de violencia,,,Eibar,Por 10.000,Eibar,47.5
2018,Todos los tipos de violencia,,,Eibar,Por 10.000,Eibar,47.8
2020,Todos los tipos de violencia,,,Eibar,Por 10.000,Eibar,58.2
2019,Todos los tipos de violencia,,,Elantxobe,Por 10.000,Elantxobe,56.8
2020,Todos los tipos de violencia,,,Elantxobe,Por 10.000,Elantxobe,0.0
2018,Todos los tipos de violencia,,,Elantxobe,Por 10.000,Elantxobe,0.0
2021,Todos los tipos de violencia,,,Elantxobe,Por 10.000,Elantxobe,0.0
