Year,Series,Sexo,Territorio histórico,Units,Value
2022,SL_EMP_INJUR,,Gipuzkoa,PER_100000_EMP,6618.1
2022,SL_EMP_FTLINJUR,,Gipuzkoa,PER_100000_EMP,0.3
2024,SL_EMP_FTLINJUR,,Gipuzkoa,PER_100000_EMP,0.6
2020,SL_EMP_FTLINJUR,,Gipuzkoa,PER_100000_EMP,1.0
2023,SL_EMP_FTLINJUR,,Gipuzkoa,PER_100000_EMP,0.6
2020,SL_EMP_INJUR,,Gipuzkoa,PER_100000_EMP,5844.2
2024,SL_EMP_INJUR,,Gipuzkoa,PER_100000_EMP,6597.6
2021,SL_EMP_INJUR,,Gipuzkoa,PER_100000_EMP,6587.1
2023,SL_EMP_INJUR,,Gipuzkoa,PER_100000_EMP,6675.8
2021,SL_EMP_FTLINJUR,,Gipuzkoa,PER_100000_EMP,0.3
2021,SL_EMP_INJUR,Mujer,,PER_100000_EMP,4361.3
2022,SL_EMP_FTLINJUR,Mujer,,PER_100000_EMP,0.4
2022,SL_EMP_INJUR,Mujer,,PER_100000_EMP,4289.3
2020,SL_EMP_FTLINJUR,Mujer,,PER_100000_EMP,0.2
2020,SL_EMP_INJUR,Mujer,,PER_100000_EMP,3465.3
2021,SL_EMP_FTLINJUR,Mujer,,PER_100000_EMP,0.2
2023,SL_EMP_INJUR,Mujer,,PER_100000_EMP,3978.4
2024,SL_EMP_FTLINJUR,Mujer,,PER_100000_EMP,0.2
2023,SL_EMP_FTLINJUR,Mujer,,PER_100000_EMP,0.0
2024,SL_EMP_INJUR,Mujer,,PER_100000_EMP,4212.9
2023,SL_EMP_INJUR,Mujer,Araba/Álava,PER_100000_EMP,4375.4
2023,SL_EMP_FTLINJUR,Mujer,Araba/Álava,PER_100000_EMP,0.0
2024,SL_EMP_INJUR,Mujer,Araba/Álava,PER_100000_EMP,5878.4
2024,SL_EMP_FTLINJUR,Mujer,Araba/Álava,PER_100000_EMP,0.0
2020,SL_EMP_INJUR,Mujer,Araba/Álava,PER_100000_EMP,4131.4
2021,SL_EMP_INJUR,Mujer,Araba/Álava,PER_100000_EMP,5917.8
2020,SL_EMP_FTLINJUR,Mujer,Araba/Álava,PER_100000_EMP,0.0
2022,SL_EMP_INJUR,Mujer,Araba/Álava,PER_100000_EMP,5025.1
2021,SL_EMP_FTLINJUR,Mujer,Araba/Álava,PER_100000_EMP,1.5
2022,SL_EMP_FTLINJUR,Mujer,Araba/Álava,PER_100000_EMP,0.0
2020,SL_EMP_INJUR,Mujer,Bizkaia,PER_100000_EMP,3469.1
2022,SL_EMP_INJUR,Mujer,Bizkaia,PER_100000_EMP,4328.5
2024,SL_EMP_FTLINJUR,Mujer,Bizkaia,PER_100000_EMP,0.0
2020,SL_EMP_FTLINJUR,Mujer,Bizkaia,PER_100000_EMP,0.0
2022,SL_EMP_FTLINJUR,Mujer,Bizkaia,PER_100000_EMP,0.4
2023,SL_EMP_FTLINJUR,Mujer,Bizkaia,PER_100000_EMP,0.0
2023,SL_EMP_INJUR,Mujer,Bizkaia,PER_100000_EMP,3996.3
2021,SL_EMP_INJUR,Mujer,Bizkaia,PER_100000_EMP,4246.0
2021,SL_EMP_FTLINJUR,Mujer,Bizkaia,PER_100000_EMP,0.0
2024,SL_EMP_INJUR,Mujer,Bizkaia,PER_100000_EMP,4017.7
2021,SL_EMP_INJUR,Mujer,Gipuzkoa,PER_100000_EMP,3845.4
2022,SL_EMP_INJUR,Mujer,Gipuzkoa,PER_100000_EMP,3900.8
2024,SL_EMP_INJUR,Mujer,Gipuzkoa,PER_100000_EMP,3781.6
2021,SL_EMP_FTLINJUR,Mujer,Gipuzkoa,PER_100000_EMP,0.0
2022,SL_EMP_FTLINJUR,Mujer,Gipuzkoa,PER_100000_EMP,0.7
2023,SL_EMP_INJUR,Mujer,Gipuzkoa,PER_100000_EMP,3776.6
2024,SL_EMP_FTLINJUR,Mujer,Gipuzkoa,PER_100000_EMP,0.6
2023,SL_EMP_FTLINJUR,Mujer,Gipuzkoa,PER_100000_EMP,0.0
2020,SL_EMP_FTLINJUR,Mujer,Gipuzkoa,PER_100000_EMP,0.7
2020,SL_EMP_INJUR,Mujer,Gipuzkoa,PER_100000_EMP,3168.2
2022,SL_EMP_INJUR,Hombre,,PER_100000_EMP,9806.7
2020,SL_EMP_FTLINJUR,Hombre,,PER_100000_EMP,1.0
2024,SL_EMP_INJUR,Hombre,,PER_100000_EMP,10149.5
2022,SL_EMP_FTLINJUR,Hombre,,PER_100000_EMP,0.6
2020,SL_EMP_INJUR,Hombre,,PER_100000_EMP,8606.3
2024,SL_EMP_FTLINJUR,Hombre,,PER_100000_EMP,0.8
2023,SL_EMP_INJUR,Hombre,,PER_100000_EMP,9758.5
2023,SL_EMP_FTLINJUR,Hombre,,PER_100000_EMP,0.8
2021,SL_EMP_INJUR,Hombre,,PER_100000_EMP,9472.5
2021,SL_EMP_FTLINJUR,Hombre,,PER_100000_EMP,0.6
2020,SL_EMP_FTLINJUR,Hombre,Araba/Álava,PER_100000_EMP,1.3
2022,SL_EMP_INJUR,Hombre,Araba/Álava,PER_100000_EMP,11421.9
2023,SL_EMP_FTLINJUR,Hombre,Araba/Álava,PER_100000_EMP,0.0
2020,SL_EMP_INJUR,Hombre,Araba/Álava,PER_100000_EMP,9547.7
2021,SL_EMP_INJUR,Hombre,Araba/Álava,PER_100000_EMP,10857.7
2023,SL_EMP_INJUR,Hombre,Araba/Álava,PER_100000_EMP,9205.6
2024,SL_EMP_INJUR,Hombre,Araba/Álava,PER_100000_EMP,13494.4
2022,SL_EMP_FTLINJUR,Hombre,Araba/Álava,PER_100000_EMP,1.3
2021,SL_EMP_FTLINJUR,Hombre,Araba/Álava,PER_100000_EMP,0.0
2024,SL_EMP_FTLINJUR,Hombre,Araba/Álava,PER_100000_EMP,1.2
2023,SL_EMP_FTLINJUR,Hombre,Bizkaia,PER_100000_EMP,0.8
2022,SL_EMP_FTLINJUR,Hombre,Bizkaia,PER_100000_EMP,0.8
2020,SL_EMP_INJUR,Hombre,Bizkaia,PER_100000_EMP,8531.5
2022,SL_EMP_INJUR,Hombre,Bizkaia,PER_100000_EMP,9836.4
2024,SL_EMP_INJUR,Hombre,Bizkaia,PER_100000_EMP,9722.1
2021,SL_EMP_INJUR,Hombre,Bizkaia,PER_100000_EMP,9291.6
2023,SL_EMP_INJUR,Hombre,Bizkaia,PER_100000_EMP,10203.9
2024,SL_EMP_FTLINJUR,Hombre,Bizkaia,PER_100000_EMP,0.8
2020,SL_EMP_FTLINJUR,Hombre,Bizkaia,PER_100000_EMP,0.8
2021,SL_EMP_FTLINJUR,Hombre,Bizkaia,PER_100000_EMP,0.8
2020,SL_EMP_INJUR,Hombre,Gipuzkoa,PER_100000_EMP,8270.8
2022,SL_EMP_INJUR,Hombre,Gipuzkoa,PER_100000_EMP,9041.0
2021,SL_EMP_FTLINJUR,Hombre,Gipuzkoa,PER_100000_EMP,0.6
2024,SL_EMP_INJUR,Hombre,Gipuzkoa,PER_100000_EMP,9250.7
2023,SL_EMP_FTLINJUR,Hombre,Gipuzkoa,PER_100000_EMP,1.2
2024,SL_EMP_FTLINJUR,Hombre,Gipuzkoa,PER_100000_EMP,0.6
2023,SL_EMP_INJUR,Hombre,Gipuzkoa,PER_100000_EMP,9332.9
2021,SL_EMP_INJUR,Hombre,Gipuzkoa,PER_100000_EMP,9100.4
2022,SL_EMP_FTLINJUR,Hombre,Gipuzkoa,PER_100000_EMP,0.0
2020,SL_EMP_FTLINJUR,Hombre,Gipuzkoa,PER_100000_EMP,1.2
