Year,Series,Sex,Type of tenure,Province,Units,Value
2013,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",F,Rented,Gipuzkoa,PT,30.3
2009,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",F,Rented,Gipuzkoa,PT,23.1
2016,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",F,Rented,Gipuzkoa,PT,19.0
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,M,,,PT,53.9
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,M,,,PT,56.7
2016,Proportion of the total agricultural population with property rights or secure rights to agricultural land,M,,,PT,50.7
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,M,,Araba/Álava,PT,49.2
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,M,,Araba/Álava,PT,48.5
2016,Proportion of the total agricultural population with property rights or secure rights to agricultural land,M,,Araba/Álava,PT,42.6
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,M,,Bizkaia,PT,61.4
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,M,,Bizkaia,PT,57.1
2016,Proportion of the total agricultural population with property rights or secure rights to agricultural land,M,,Bizkaia,PT,52.9
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,M,,Gipuzkoa,PT,56.9
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,M,,Gipuzkoa,PT,53.4
2016,Proportion of the total agricultural population with property rights or secure rights to agricultural land,M,,Gipuzkoa,PT,52.8
