Year,Province,County,Municipality,Units,GeoCode,Value
2019,,,Asparrena,Percentage,Asparrena,1.3
2020,,,Asparrena,Percentage,Asparrena,1.7
2014,,EU0101,,Percentage,EU0101,8.1
2015,,EU0101,,Percentage,EU0101,7.4
2016,,EU0101,,Percentage,EU0101,7.1
2017,,EU0101,,Percentage,EU0101,6.7
2018,,EU0101,,Percentage,EU0101,7.0
2019,,EU0101,,Percentage,EU0101,6.5
2020,,EU0101,,Percentage,EU0101,6.3
2014,,,Ayala/Aiara,Percentage,Ayala/Aiara,11.9
2015,,,Ayala/Aiara,Percentage,Ayala/Aiara,9.2
2016,,,Ayala/Aiara,Percentage,Ayala/Aiara,7.9
2017,,,Ayala/Aiara,Percentage,Ayala/Aiara,8.4
2018,,,Ayala/Aiara,Percentage,Ayala/Aiara,7.8
2019,,,Ayala/Aiara,Percentage,Ayala/Aiara,6.1
2020,,,Ayala/Aiara,Percentage,Ayala/Aiara,6.0
2014,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,26.6
2015,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,32.6
2016,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,34.2
2017,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,34.5
2018,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,37.1
2019,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,35.7
2020,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,39.7
2014,,,Barrundia,Percentage,Barrundia,30.9
2015,,,Barrundia,Percentage,Barrundia,25.8
2016,,,Barrundia,Percentage,Barrundia,27.3
2017,,,Barrundia,Percentage,Barrundia,28.2
2018,,,Barrundia,Percentage,Barrundia,27.5
2019,,,Barrundia,Percentage,Barrundia,26.6
2020,,,Barrundia,Percentage,Barrundia,26.7
2014,,,Berantevilla,Percentage,Berantevilla,4.1
2015,,,Berantevilla,Percentage,Berantevilla,6.0
2016,,,Berantevilla,Percentage,Berantevilla,4.9
2017,,,Berantevilla,Percentage,Berantevilla,4.0
2018,,,Berantevilla,Percentage,Berantevilla,4.4
2019,,,Berantevilla,Percentage,Berantevilla,3.9
2020,,,Berantevilla,Percentage,Berantevilla,4.4
2014,,,Bernedo,Percentage,Bernedo,7.5
2015,,,Bernedo,Percentage,Bernedo,7.8
2016,,,Bernedo,Percentage,Bernedo,7.6
2017,,,Bernedo,Percentage,Bernedo,7.5
2018,,,Bernedo,Percentage,Bernedo,7.4
2019,,,Bernedo,Percentage,Bernedo,7.0
2020,,,Bernedo,Percentage,Bernedo,5.6
2014,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,11.5
2015,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,12.9
2016,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,13.1
2017,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,11.3
2018,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,12.6
2019,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,11.3
2020,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,9.7
2014,,,Zigoitia,Percentage,Zigoitia,4.4
2015,,,Zigoitia,Percentage,Zigoitia,2.7
2016,,,Zigoitia,Percentage,Zigoitia,2.9
2017,,,Zigoitia,Percentage,Zigoitia,3.4
2018,,,Zigoitia,Percentage,Zigoitia,3.5
2019,,,Zigoitia,Percentage,Zigoitia,2.8
2020,,,Zigoitia,Percentage,Zigoitia,3.2
2014,,,Kripan,Percentage,Kripan,45.8
2015,,,Kripan,Percentage,Kripan,59.0
2016,,,Kripan,Percentage,Kripan,60.7
2017,,,Kripan,Percentage,Kripan,59.9
2018,,,Kripan,Percentage,Kripan,63.8
2019,,,Kripan,Percentage,Kripan,60.2
2020,,,Kripan,Percentage,Kripan,58.9
2014,,EU0102,,Percentage,EU0102,0.5
2015,,EU0102,,Percentage,EU0102,0.6
2016,,EU0102,,Percentage,EU0102,0.5
2017,,EU0102,,Percentage,EU0102,0.5
2018,,EU0102,,Percentage,EU0102,0.5
2019,,EU0102,,Percentage,EU0102,0.4
2020,,EU0102,,Percentage,EU0102,0.4
2014,,,Kuartango,Percentage,Kuartango,41.3
2015,,,Kuartango,Percentage,Kuartango,29.5
2016,,,Kuartango,Percentage,Kuartango,32.8
2017,,,Kuartango,Percentage,Kuartango,33.0
2018,,,Kuartango,Percentage,Kuartango,37.3
2019,,,Kuartango,Percentage,Kuartango,35.4
2020,,,Kuartango,Percentage,Kuartango,33.3
2014,,,Elburgo/Burgelu,Percentage,Elburgo/Burgelu,17.0
2015,,,Elburgo/Burgelu,Percentage,Elburgo/Burgelu,25.6
2016,,,Elburgo/Burgelu,Percentage,Elburgo/Burgelu,20.2
2017,,,Elburgo/Burgelu,Percentage,Elburgo/Burgelu,17.3
2018,,,Elburgo/Burgelu,Percentage,Elburgo/Burgelu,17.3
2019,,,Elburgo/Burgelu,Percentage,Elburgo/Burgelu,18.1
2020,,,Elburgo/Burgelu,Percentage,Elburgo/Burgelu,18.9
2014,,,Elciego,Percentage,Elciego,9.8
2015,,,Elciego,Percentage,Elciego,13.3
2016,,,Elciego,Percentage,Elciego,13.8
2017,,,Elciego,Percentage,Elciego,12.6
2018,,,Elciego,Percentage,Elciego,14.1
2019,,,Elciego,Percentage,Elciego,12.5
2020,,,Elciego,Percentage,Elciego,12.3
2014,,,Elvillar/Bilar,Percentage,Elvillar/Bilar,25.5
2015,,,Elvillar/Bilar,Percentage,Elvillar/Bilar,33.6
2016,,,Elvillar/Bilar,Percentage,Elvillar/Bilar,39.7
2017,,,Elvillar/Bilar,Percentage,Elvillar/Bilar,43.1
2018,,,Elvillar/Bilar,Percentage,Elvillar/Bilar,50.6
2019,,,Elvillar/Bilar,Percentage,Elvillar/Bilar,48.9
2020,,,Elvillar/Bilar,Percentage,Elvillar/Bilar,53.4
2014,,,Iruraiz-Gauna,Percentage,Iruraiz-Gauna,35.9
2015,,,Iruraiz-Gauna,Percentage,Iruraiz-Gauna,44.1
2016,,,Iruraiz-Gauna,Percentage,Iruraiz-Gauna,37.2
2017,,,Iruraiz-Gauna,Percentage,Iruraiz-Gauna,34.5
2018,,,Iruraiz-Gauna,Percentage,Iruraiz-Gauna,33.5
2019,,,Iruraiz-Gauna,Percentage,Iruraiz-Gauna,36.5
2020,,,Iruraiz-Gauna,Percentage,Iruraiz-Gauna,35.3
2014,,,Labastida/Bastida,Percentage,Labastida/Bastida,8.2
2015,,,Labastida/Bastida,Percentage,Labastida/Bastida,10.8
2016,,,Labastida/Bastida,Percentage,Labastida/Bastida,8.9
2017,,,Labastida/Bastida,Percentage,Labastida/Bastida,8.6
2018,,,Labastida/Bastida,Percentage,Labastida/Bastida,9.8
2019,,,Labastida/Bastida,Percentage,Labastida/Bastida,8.2
2020,,,Labastida/Bastida,Percentage,Labastida/Bastida,6.8
2014,,EU0103,,Percentage,EU0103,12.0
2015,,EU0103,,Percentage,EU0103,12.2
2016,,EU0103,,Percentage,EU0103,12.6
2017,,EU0103,,Percentage,EU0103,12.0
2018,,EU0103,,Percentage,EU0103,12.4
2019,,EU0103,,Percentage,EU0103,11.4
2020,,EU0103,,Percentage,EU0103,10.0
2014,,,Lagrán,Percentage,Lagrán,18.9
2015,,,Lagrán,Percentage,Lagrán,24.0
2016,,,Lagrán,Percentage,Lagrán,21.5
2017,,,Lagrán,Percentage,Lagrán,17.9
2018,,,Lagrán,Percentage,Lagrán,22.0
2019,,,Lagrán,Percentage,Lagrán,18.9
2020,,,Lagrán,Percentage,Lagrán,22.1
2014,,,Laguardia,Percentage,Laguardia,8.3
2015,,,Laguardia,Percentage,Laguardia,9.3
2016,,,Laguardia,Percentage,Laguardia,10.4
2017,,,Laguardia,Percentage,Laguardia,9.8
2018,,,Laguardia,Percentage,Laguardia,11.2
2019,,,Laguardia,Percentage,Laguardia,9.0
2020,,,Laguardia,Percentage,Laguardia,8.6
2014,,,Lanciego/Lantziego,Percentage,Lanciego/Lantziego,13.0
2015,,,Lanciego/Lantziego,Percentage,Lanciego/Lantziego,17.7
2016,,,Lanciego/Lantziego,Percentage,Lanciego/Lantziego,17.3
2017,,,Lanciego/Lantziego,Percentage,Lanciego/Lantziego,17.4
2018,,,Lanciego/Lantziego,Percentage,Lanciego/Lantziego,18.9
2019,,,Lanciego/Lantziego,Percentage,Lanciego/Lantziego,16.3
2020,,,Lanciego/Lantziego,Percentage,Lanciego/Lantziego,12.9
2014,,,Lapuebla de Labarca,Percentage,Lapuebla de Labarca,1.8
2015,,,Lapuebla de Labarca,Percentage,Lapuebla de Labarca,2.5
2016,,,Lapuebla de Labarca,Percentage,Lapuebla de Labarca,3.0
2017,,,Lapuebla de Labarca,Percentage,Lapuebla de Labarca,3.7
2018,,,Lapuebla de Labarca,Percentage,Lapuebla de Labarca,4.8
2019,,,Lapuebla de Labarca,Percentage,Lapuebla de Labarca,5.6
2020,,,Lapuebla de Labarca,Percentage,Lapuebla de Labarca,5.8
2014,,,Leza,Percentage,Leza,23.4
2015,,,Leza,Percentage,Leza,29.8
2016,,,Leza,Percentage,Leza,32.1
2017,,,Leza,Percentage,Leza,29.1
2018,,,Leza,Percentage,Leza,48.6
2019,,,Leza,Percentage,Leza,44.3
2020,,,Leza,Percentage,Leza,37.5
2014,,,Laudio/Llodio,Percentage,Laudio/Llodio,0.3
2015,,,Laudio/Llodio,Percentage,Laudio/Llodio,0.3
2016,,,Laudio/Llodio,Percentage,Laudio/Llodio,0.3
2017,,,Laudio/Llodio,Percentage,Laudio/Llodio,0.3
2018,,,Laudio/Llodio,Percentage,Laudio/Llodio,0.3
2019,,,Laudio/Llodio,Percentage,Laudio/Llodio,0.2
2020,,,Laudio/Llodio,Percentage,Laudio/Llodio,0.2
2014,,,Arraia-Maeztu,Percentage,Arraia-Maeztu,12.6
2015,,,Arraia-Maeztu,Percentage,Arraia-Maeztu,11.0
2016,,,Arraia-Maeztu,Percentage,Arraia-Maeztu,12.7
2017,,,Arraia-Maeztu,Percentage,Arraia-Maeztu,13.4
2018,,,Arraia-Maeztu,Percentage,Arraia-Maeztu,13.4
2019,,,Arraia-Maeztu,Percentage,Arraia-Maeztu,12.2
2020,,,Arraia-Maeztu,Percentage,Arraia-Maeztu,12.0
2014,,,Moreda de Álava/Moreda Araba,Percentage,Moreda de Álava/Moreda Araba,34.0
2015,,,Moreda de Álava/Moreda Araba,Percentage,Moreda de Álava/Moreda Araba,31.2
2016,,,Moreda de Álava/Moreda Araba,Percentage,Moreda de Álava/Moreda Araba,38.6
2017,,,Moreda de Álava/Moreda Araba,Percentage,Moreda de Álava/Moreda Araba,36.7
2018,,,Moreda de Álava/Moreda Araba,Percentage,Moreda de Álava/Moreda Araba,39.4
2019,,,Moreda de Álava/Moreda Araba,Percentage,Moreda de Álava/Moreda Araba,34.7
2020,,,Moreda de Álava/Moreda Araba,Percentage,Moreda de Álava/Moreda Araba,26.0
2014,,EU0104,,Percentage,EU0104,8.9
2015,,EU0104,,Percentage,EU0104,11.4
2016,,EU0104,,Percentage,EU0104,12.6
2017,,EU0104,,Percentage,EU0104,12.6
2018,,EU0104,,Percentage,EU0104,14.8
2019,,EU0104,,Percentage,EU0104,12.7
2020,,EU0104,,Percentage,EU0104,11.2
2014,,,Navaridas,Percentage,Navaridas,27.9
2015,,,Navaridas,Percentage,Navaridas,36.1
2016,,,Navaridas,Percentage,Navaridas,40.4
2017,,,Navaridas,Percentage,Navaridas,38.1
2018,,,Navaridas,Percentage,Navaridas,43.2
2019,,,Navaridas,Percentage,Navaridas,39.5
2020,,,Navaridas,Percentage,Navaridas,37.6
2014,,,Okondo,Percentage,Okondo,5.7
2015,,,Okondo,Percentage,Okondo,4.8
2016,,,Okondo,Percentage,Okondo,5.5
2017,,,Okondo,Percentage,Okondo,5.7
2018,,,Okondo,Percentage,Okondo,5.2
2019,,,Okondo,Percentage,Okondo,4.1
2020,,,Okondo,Percentage,Okondo,4.4
2014,,,Oyón-Oion,Percentage,Oyón-Oion,3.6
2015,,,Oyón-Oion,Percentage,Oyón-Oion,4.9
2016,,,Oyón-Oion,Percentage,Oyón-Oion,5.9
2017,,,Oyón-Oion,Percentage,Oyón-Oion,7.0
2018,,,Oyón-Oion,Percentage,Oyón-Oion,9.0
2019,,,Oyón-Oion,Percentage,Oyón-Oion,8.6
2020,,,Oyón-Oion,Percentage,Oyón-Oion,6.7
2014,,,Peñacerrada-Urizaharra,Percentage,Peñacerrada-Urizaharra,29.7
2015,,,Peñacerrada-Urizaharra,Percentage,Peñacerrada-Urizaharra,28.7
2016,,,Peñacerrada-Urizaharra,Percentage,Peñacerrada-Urizaharra,31.5
2017,,,Peñacerrada-Urizaharra,Percentage,Peñacerrada-Urizaharra,30.2
2018,,,Peñacerrada-Urizaharra,Percentage,Peñacerrada-Urizaharra,31.7
2019,,,Peñacerrada-Urizaharra,Percentage,Peñacerrada-Urizaharra,33.2
2020,,,Peñacerrada-Urizaharra,Percentage,Peñacerrada-Urizaharra,34.2
2014,,,Erriberagoitia/Ribera Alta,Percentage,Erriberagoitia/Ribera Alta,28.5
2015,,,Erriberagoitia/Ribera Alta,Percentage,Erriberagoitia/Ribera Alta,22.5
2016,,,Erriberagoitia/Ribera Alta,Percentage,Erriberagoitia/Ribera Alta,25.1
2017,,,Erriberagoitia/Ribera Alta,Percentage,Erriberagoitia/Ribera Alta,23.0
2018,,,Erriberagoitia/Ribera Alta,Percentage,Erriberagoitia/Ribera Alta,25.8
2019,,,Erriberagoitia/Ribera Alta,Percentage,Erriberagoitia/Ribera Alta,26.9
2020,,,Erriberagoitia/Ribera Alta,Percentage,Erriberagoitia/Ribera Alta,27.1
2014,,,Ribera Baja/Erribera Beitia,Percentage,Ribera Baja/Erribera Beitia,1.3
2015,,,Ribera Baja/Erribera Beitia,Percentage,Ribera Baja/Erribera Beitia,1.3
2016,,,Ribera Baja/Erribera Beitia,Percentage,Ribera Baja/Erribera Beitia,1.5
2017,,,Ribera Baja/Erribera Beitia,Percentage,Ribera Baja/Erribera Beitia,1.7
2018,,,Ribera Baja/Erribera Beitia,Percentage,Ribera Baja/Erribera Beitia,1.8
2019,,,Ribera Baja/Erribera Beitia,Percentage,Ribera Baja/Erribera Beitia,1.6
2020,,,Ribera Baja/Erribera Beitia,Percentage,Ribera Baja/Erribera Beitia,1.5
2014,,,Añana,Percentage,Añana,13.6
2015,,,Añana,Percentage,Añana,16.8
2016,,,Añana,Percentage,Añana,15.8
2017,,,Añana,Percentage,Añana,14.3
2018,,,Añana,Percentage,Añana,11.8
2019,,,Añana,Percentage,Añana,14.7
2020,,,Añana,Percentage,Añana,13.6
2014,,EU0105,,Percentage,EU0105,4.3
2015,,EU0105,,Percentage,EU0105,3.1
2016,,EU0105,,Percentage,EU0105,2.8
2017,,EU0105,,Percentage,EU0105,2.7
2018,,EU0105,,Percentage,EU0105,2.6
2019,,EU0105,,Percentage,EU0105,2.0
2020,,EU0105,,Percentage,EU0105,2.1
2014,,,Agurain/Salvatierra,Percentage,Agurain/Salvatierra,2.8
2015,,,Agurain/Salvatierra,Percentage,Agurain/Salvatierra,2.7
2016,,,Agurain/Salvatierra,Percentage,Agurain/Salvatierra,2.2
2017,,,Agurain/Salvatierra,Percentage,Agurain/Salvatierra,1.7
2018,,,Agurain/Salvatierra,Percentage,Agurain/Salvatierra,1.6
2019,,,Agurain/Salvatierra,Percentage,Agurain/Salvatierra,1.5
2020,,,Agurain/Salvatierra,Percentage,Agurain/Salvatierra,1.5
2014,,,Samaniego,Percentage,Samaniego,13.9
2015,,,Samaniego,Percentage,Samaniego,19.5
2016,,,Samaniego,Percentage,Samaniego,23.0
2017,,,Samaniego,Percentage,Samaniego,21.1
2018,,,Samaniego,Percentage,Samaniego,23.3
2019,,,Samaniego,Percentage,Samaniego,19.6
2020,,,Samaniego,Percentage,Samaniego,14.2
2014,,,San Millán/Donemiliaga,Percentage,San Millán/Donemiliaga,22.3
2015,,,San Millán/Donemiliaga,Percentage,San Millán/Donemiliaga,23.0
2016,,,San Millán/Donemiliaga,Percentage,San Millán/Donemiliaga,23.9
2017,,,San Millán/Donemiliaga,Percentage,San Millán/Donemiliaga,22.8
2018,,,San Millán/Donemiliaga,Percentage,San Millán/Donemiliaga,23.9
2019,,,San Millán/Donemiliaga,Percentage,San Millán/Donemiliaga,20.4
2020,,,San Millán/Donemiliaga,Percentage,San Millán/Donemiliaga,19.9
2014,,,Urkabustaiz,Percentage,Urkabustaiz,9.6
2015,,,Urkabustaiz,Percentage,Urkabustaiz,6.9
2016,,,Urkabustaiz,Percentage,Urkabustaiz,6.0
2017,,,Urkabustaiz,Percentage,Urkabustaiz,6.3
2018,,,Urkabustaiz,Percentage,Urkabustaiz,6.9
2019,,,Urkabustaiz,Percentage,Urkabustaiz,4.6
2020,,,Urkabustaiz,Percentage,Urkabustaiz,4.2
2014,,,Valdegovía/Gaubea,Percentage,Valdegovía/Gaubea,22.8
2015,,,Valdegovía/Gaubea,Percentage,Valdegovía/Gaubea,19.8
2016,,,Valdegovía/Gaubea,Percentage,Valdegovía/Gaubea,19.2
2017,,,Valdegovía/Gaubea,Percentage,Valdegovía/Gaubea,18.9
2018,,,Valdegovía/Gaubea,Percentage,Valdegovía/Gaubea,19.8
2019,,,Valdegovía/Gaubea,Percentage,Valdegovía/Gaubea,20.5
2020,,,Valdegovía/Gaubea,Percentage,Valdegovía/Gaubea,19.3
2014,,,Harana/Valle de Arana,Percentage,Harana/Valle de Arana,34.9
2015,,,Harana/Valle de Arana,Percentage,Harana/Valle de Arana,32.3
2016,,,Harana/Valle de Arana,Percentage,Harana/Valle de Arana,30.9
2017,,,Harana/Valle de Arana,Percentage,Harana/Valle de Arana,29.5
2018,,,Harana/Valle de Arana,Percentage,Harana/Valle de Arana,30.6
2019,,,Harana/Valle de Arana,Percentage,Harana/Valle de Arana,23.9
2020,,,Harana/Valle de Arana,Percentage,Harana/Valle de Arana,24.6
2014,,,Villabuena de Álava/Eskuernaga,Percentage,Villabuena de Álava/Eskuernaga,11.3
2015,,,Villabuena de Álava/Eskuernaga,Percentage,Villabuena de Álava/Eskuernaga,15.4
2016,,,Villabuena de Álava/Eskuernaga,Percentage,Villabuena de Álava/Eskuernaga,15.5
2017,,,Villabuena de Álava/Eskuernaga,Percentage,Villabuena de Álava/Eskuernaga,13.8
2018,,,Villabuena de Álava/Eskuernaga,Percentage,Villabuena de Álava/Eskuernaga,16.2
2019,,,Villabuena de Álava/Eskuernaga,Percentage,Villabuena de Álava/Eskuernaga,13.8
2020,,,Villabuena de Álava/Eskuernaga,Percentage,Villabuena de Álava/Eskuernaga,14.7
2014,,,Legutio,Percentage,Legutio,1.6
2015,,,Legutio,Percentage,Legutio,1.2
2016,,,Legutio,Percentage,Legutio,0.9
2017,,,Legutio,Percentage,Legutio,0.6
2018,,,Legutio,Percentage,Legutio,0.6
2019,,,Legutio,Percentage,Legutio,0.4
2020,,,Legutio,Percentage,Legutio,0.5
2014,,,Vitoria-Gasteiz,Percentage,Vitoria-Gasteiz,0.2
2015,,,Vitoria-Gasteiz,Percentage,Vitoria-Gasteiz,0.2
2016,,,Vitoria-Gasteiz,Percentage,Vitoria-Gasteiz,0.2
2017,,,Vitoria-Gasteiz,Percentage,Vitoria-Gasteiz,0.2
2018,,,Vitoria-Gasteiz,Percentage,Vitoria-Gasteiz,0.2
2019,,,Vitoria-Gasteiz,Percentage,Vitoria-Gasteiz,0.2
2020,,,Vitoria-Gasteiz,Percentage,Vitoria-Gasteiz,0.2
2014,,EU0106,,Percentage,EU0106,1.7
2015,,EU0106,,Percentage,EU0106,1.3
2016,,EU0106,,Percentage,EU0106,1.3
2017,,EU0106,,Percentage,EU0106,1.3
2018,,EU0106,,Percentage,EU0106,1.2
2019,,EU0106,,Percentage,EU0106,0.9
2020,,EU0106,,Percentage,EU0106,0.9
2014,,,Yécora/Iekora,Percentage,Yécora/Iekora,41.0
2015,,,Yécora/Iekora,Percentage,Yécora/Iekora,46.7
2016,,,Yécora/Iekora,Percentage,Yécora/Iekora,53.0
2017,,,Yécora/Iekora,Percentage,Yécora/Iekora,58.5
2018,,,Yécora/Iekora,Percentage,Yécora/Iekora,66.1
2019,,,Yécora/Iekora,Percentage,Yécora/Iekora,63.4
2020,,,Yécora/Iekora,Percentage,Yécora/Iekora,60.3
2014,,,Zalduondo,Percentage,Zalduondo,32.1
2015,,,Zalduondo,Percentage,Zalduondo,29.5
2016,,,Zalduondo,Percentage,Zalduondo,27.3
2017,,,Zalduondo,Percentage,Zalduondo,23.9
2018,,,Zalduondo,Percentage,Zalduondo,27.1
2019,,,Zalduondo,Percentage,Zalduondo,25.8
2020,,,Zalduondo,Percentage,Zalduondo,23.8
2014,,,Zambrana,Percentage,Zambrana,30.2
2015,,,Zambrana,Percentage,Zambrana,33.3
2016,,,Zambrana,Percentage,Zambrana,28.7
2017,,,Zambrana,Percentage,Zambrana,24.3
2018,,,Zambrana,Percentage,Zambrana,22.8
2019,,,Zambrana,Percentage,Zambrana,20.9
2020,,,Zambrana,Percentage,Zambrana,16.1
2014,,,Zuia,Percentage,Zuia,5.8
2015,,,Zuia,Percentage,Zuia,3.9
2016,,,Zuia,Percentage,Zuia,3.9
2017,,,Zuia,Percentage,Zuia,4.1
2018,,,Zuia,Percentage,Zuia,4.7
2019,,,Zuia,Percentage,Zuia,3.2
2020,,,Zuia,Percentage,Zuia,3.3
2014,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,1.4
2015,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,1.2
2016,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,1.0
2017,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,0.9
2018,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,0.9
2019,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,0.9
2020,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,0.7
2014,,,Lantarón,Percentage,Lantarón,5.7
2015,,,Lantarón,Percentage,Lantarón,4.5
2016,,,Lantarón,Percentage,Lantarón,3.8
2017,,,Lantarón,Percentage,Lantarón,3.4
2018,,,Lantarón,Percentage,Lantarón,3.0
2019,,,Lantarón,Percentage,Lantarón,3.1
2020,,,Lantarón,Percentage,Lantarón,2.8
2010,Gipuzkoa,,,Percentage,Gipuzkoa,0.5
2011,Gipuzkoa,,,Percentage,Gipuzkoa,0.5
2012,Gipuzkoa,,,Percentage,Gipuzkoa,0.6
2013,Gipuzkoa,,,Percentage,Gipuzkoa,0.5
2014,Gipuzkoa,,,Percentage,Gipuzkoa,0.5
2015,Gipuzkoa,,,Percentage,Gipuzkoa,0.5
2016,Gipuzkoa,,,Percentage,Gipuzkoa,0.5
2017,Gipuzkoa,,,Percentage,Gipuzkoa,0.6
2018,Gipuzkoa,,,Percentage,Gipuzkoa,0.5
2019,Gipuzkoa,,,Percentage,Gipuzkoa,0.6
2020,Gipuzkoa,,,Percentage,Gipuzkoa,0.5
2021,Gipuzkoa,,,Percentage,Gipuzkoa,0.6
2022,Gipuzkoa,,,Percentage,Gipuzkoa,0.7
2014,,,Abaltzisketa,Percentage,Abaltzisketa,6.7
2015,,,Abaltzisketa,Percentage,Abaltzisketa,9.7
2016,,,Abaltzisketa,Percentage,Abaltzisketa,7.7
2017,,,Abaltzisketa,Percentage,Abaltzisketa,7.0
2018,,,Abaltzisketa,Percentage,Abaltzisketa,5.6
2019,,,Abaltzisketa,Percentage,Abaltzisketa,6.5
2020,,,Abaltzisketa,Percentage,Abaltzisketa,6.5
2014,,,Aduna,Percentage,Aduna,0.6
2015,,,Aduna,Percentage,Aduna,0.7
2016,,,Aduna,Percentage,Aduna,0.6
2017,,,Aduna,Percentage,Aduna,0.7
2018,,,Aduna,Percentage,Aduna,0.5
2019,,,Aduna,Percentage,Aduna,0.5
