Year,Sexua,Lurralde historikoa,Units,Value
2012,Emakumea,,Porcentaje,7.6
2018,Emakumea,,Porcentaje,8.9
2020,Emakumea,,Porcentaje,6.0
2017,Emakumea,,Porcentaje,7.5
2021,Emakumea,,Porcentaje,7.0
2012,Emakumea,Araba / Álava,Porcentaje,6.7
2016,Emakumea,Araba / Álava,Porcentaje,6.6
2013,Emakumea,Araba / Álava,Porcentaje,9.7
2022,Emakumea,Araba / Álava,Porcentaje,6.3
2021,Emakumea,Araba / Álava,Porcentaje,5.4
2020,Emakumea,Araba / Álava,Porcentaje,6.9
2018,Emakumea,Araba / Álava,Porcentaje,9.5
2017,Emakumea,Araba / Álava,Porcentaje,5.4
2014,Emakumea,Araba / Álava,Porcentaje,6.3
2023,Emakumea,Araba / Álava,Porcentaje,6.5
2015,Emakumea,Araba / Álava,Porcentaje,4.2
2019,Emakumea,Araba / Álava,Porcentaje,10.2
2014,Emakumea,Bizkaia,Porcentaje,0.0
2013,Emakumea,Bizkaia,Porcentaje,0.0
2012,Emakumea,Bizkaia,Porcentaje,0.0
2015,Emakumea,Bizkaia,Porcentaje,0.0
2023,Emakumea,Bizkaia,Porcentaje,0.0
2019,Emakumea,Bizkaia,Porcentaje,0.0
2021,Emakumea,Bizkaia,Porcentaje,0.0
2022,Emakumea,Bizkaia,Porcentaje,0.0
2020,Emakumea,Bizkaia,Porcentaje,0.0
2018,Emakumea,Bizkaia,Porcentaje,0.0
2017,Emakumea,Bizkaia,Porcentaje,0.0
2016,Emakumea,Bizkaia,Porcentaje,0.0
2023,Emakumea,Gipuzkoa,Porcentaje,12.5
2022,Emakumea,Gipuzkoa,Porcentaje,16.7
2020,Emakumea,Gipuzkoa,Porcentaje,9.5
2019,Emakumea,Gipuzkoa,Porcentaje,12.5
2018,Emakumea,Gipuzkoa,Porcentaje,11.1
2021,Emakumea,Gipuzkoa,Porcentaje,13.8
2017,Emakumea,Gipuzkoa,Porcentaje,17.2
2016,Emakumea,Gipuzkoa,Porcentaje,10.5
2015,Emakumea,Gipuzkoa,Porcentaje,0.0
2013,Emakumea,Gipuzkoa,Porcentaje,13.9
2012,Emakumea,Gipuzkoa,Porcentaje,13.8
2014,Emakumea,Gipuzkoa,Porcentaje,0.0
2012,Gizona,,Porcentaje,13.3
2017,Gizona,,Porcentaje,10.5
2022,Gizona,,Porcentaje,11.5
2016,Gizona,,Porcentaje,10.6
2015,Gizona,,Porcentaje,10.1
2013,Gizona,,Porcentaje,9.2
2019,Gizona,,Porcentaje,13.1
2023,Gizona,,Porcentaje,13.5
2014,Gizona,,Porcentaje,8.3
2021,Gizona,,Porcentaje,10.7
2020,Gizona,,Porcentaje,12.8
2018,Gizona,,Porcentaje,13.4
2013,Gizona,Araba / Álava,Porcentaje,6.0
2018,Gizona,Araba / Álava,Porcentaje,8.4
2023,Gizona,Araba / Álava,Porcentaje,9.8
2021,Gizona,Araba / Álava,Porcentaje,8.1
2014,Gizona,Araba / Álava,Porcentaje,5.3
2022,Gizona,Araba / Álava,Porcentaje,7.8
2016,Gizona,Araba / Álava,Porcentaje,6.1
2020,Gizona,Araba / Álava,Porcentaje,8.2
2017,Gizona,Araba / Álava,Porcentaje,6.1
2012,Gizona,Araba / Álava,Porcentaje,9.8
2015,Gizona,Araba / Álava,Porcentaje,5.7
2019,Gizona,Araba / Álava,Porcentaje,9.0
2018,Gizona,Bizkaia,Porcentaje,16.8
2017,Gizona,Bizkaia,Porcentaje,13.4
2016,Gizona,Bizkaia,Porcentaje,15.7
2015,Gizona,Bizkaia,Porcentaje,15.4
2014,Gizona,Bizkaia,Porcentaje,11.9
2013,Gizona,Bizkaia,Porcentaje,14.2
2012,Gizona,Bizkaia,Porcentaje,18.1
2023,Gizona,Bizkaia,Porcentaje,16.8
2022,Gizona,Bizkaia,Porcentaje,16.1
2021,Gizona,Bizkaia,Porcentaje,13.7
2020,Gizona,Bizkaia,Porcentaje,14.3
2019,Gizona,Bizkaia,Porcentaje,19.3
2018,Gizona,Gipuzkoa,Porcentaje,21.1
2017,Gizona,Gipuzkoa,Porcentaje,17.7
2016,Gizona,Gipuzkoa,Porcentaje,17.2
2015,Gizona,Gipuzkoa,Porcentaje,15.0
2014,Gizona,Gipuzkoa,Porcentaje,10.2
2013,Gizona,Gipuzkoa,Porcentaje,10.0
2012,Gizona,Gipuzkoa,Porcentaje,15.6
2023,Gizona,Gipuzkoa,Porcentaje,18.3
2022,Gizona,Gipuzkoa,Porcentaje,15.3
2021,Gizona,Gipuzkoa,Porcentaje,13.9
2020,Gizona,Gipuzkoa,Porcentaje,22.2
2019,Gizona,Gipuzkoa,Porcentaje,16.9
