Year,Series,Gaixotasun ez-kutsakorra,Sexua,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2019,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,PER_100000_POP,,631.2
2022,Heriotza-tasa,Diabetesa,,,,,PER_100000_POP,,22.1
2014,Heriotza-tasa,Diabetesa,,,,,PER_100000_POP,,20.1
2010,Heriotza-tasa,Arnas gaixotasun kronikoak,,,,,PER_100000_POP,,63.5
2013,Heriotza-tasa,Minbizia,,,,,PER_100000_POP,,272.0
2011,Heriotza-tasa,Gaixotasun kardiobaskularrak,,,,,PER_100000_POP,,259.7
2011,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,PER_100000_POP,,626.2
2021,Heriotza-tasa,Diabetesa,,,,,PER_100000_POP,,21.0
2021,Heriotza-tasa,Arnas gaixotasun kronikoak,,,,,PER_100000_POP,,54.6
2017,Heriotza-tasa,Diabetesa,,,,,PER_100000_POP,,17.4
2021,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,PER_100000_POP,,622.4
2016,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,PER_100000_POP,,641.2
2015,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,PER_100000_POP,,651.4
2012,Heriotza-tasa,Minbizia,,,,,PER_100000_POP,,272.4
2021,Heriotza-tasa,Gaixotasun kardiobaskularrak,,,,,PER_100000_POP,,270.2
2015,Heriotza-tasa,Gaixotasun kardiobaskularrak,,,,,PER_100000_POP,,266.4
2022,Heriotza-tasa,Gaixotasun kardiobaskularrak,,,,,PER_100000_POP,,263.1
2023,Heriotza-tasa,Arnas gaixotasun kronikoak,,,,,PER_100000_POP,,59.1
2017,Heriotza-tasa,Arnas gaixotasun kronikoak,,,,,PER_100000_POP,,82.8
2022,Heriotza-tasa,Arnas gaixotasun kronikoak,,,,,PER_100000_POP,,58.3
2011,Heriotza-tasa,Minbizia,,,,,PER_100000_POP,,279.1
2016,Heriotza-tasa,Minbizia,,,,,PER_100000_POP,,281.6
2010,Heriotza-tasa,Minbizia,,,,,PER_100000_POP,,267.5
2012,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,PER_100000_POP,Araba / Álava,524.5
2014,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,57.6
2022,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,218.9
2017,Heriotza-tasa,Diabetesa,,Araba / Álava,,,PER_100000_POP,Araba / Álava,16.9
2010,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,216.1
2023,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,232.4
2011,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,PER_100000_POP,Araba / Álava,539.2
2020,Heriotza-tasa,Diabetesa,,Araba / Álava,,,PER_100000_POP,Araba / Álava,19.4
2019,Heriotza-tasa,Minbizia,,Araba / Álava,,,PER_100000_POP,Araba / Álava,250.4
2020,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,57.8
2016,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,218.3
2019,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,204.2
2014,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,PER_100000_POP,Araba / Álava,496.1
2012,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,66.0
2013,Heriotza-tasa,Diabetesa,,Araba / Álava,,,PER_100000_POP,Araba / Álava,21.2
2016,Heriotza-tasa,Diabetesa,,Araba / Álava,,,PER_100000_POP,Araba / Álava,17.3
2016,Heriotza-tasa,Minbizia,,Araba / Álava,,,PER_100000_POP,Araba / Álava,250.5
2018,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,PER_100000_POP,Araba / Álava,538.3
2010,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,PER_100000_POP,Araba / Álava,521.0
2020,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,190.5
2013,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,206.2
2018,Heriotza-tasa,Diabetesa,,Araba / Álava,,,PER_100000_POP,Araba / Álava,17.1
2023,Heriotza-tasa,Minbizia,,Araba / Álava,,,PER_100000_POP,Araba / Álava,241.4
2010,Heriotza-tasa,Minbizia,,Araba / Álava,,,PER_100000_POP,Araba / Álava,224.0
2021,Heriotza-tasa,Minbizia,,Araba / Álava,,,PER_100000_POP,Araba / Álava,250.6
2014,Heriotza-tasa,Minbizia,,Araba / Álava,,,PER_100000_POP,Araba / Álava,234.3
2021,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,45.1
2017,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,PER_100000_POP,Araba / Álava,567.5
2015,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,220.1
2022,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,56.0
2023,Heriotza-tasa,Diabetesa,,Araba / Álava,,,PER_100000_POP,Araba / Álava,19.5
2011,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,201.4
2017,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,68.7
2018,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,68.9
2019,Heriotza-tasa,Diabetesa,,Araba / Álava,,,PER_100000_POP,Araba / Álava,14.0
2017,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,213.2
2018,Heriotza-tasa,Minbizia,,Araba / Álava,,,PER_100000_POP,Araba / Álava,243.0
2020,Heriotza-tasa,Minbizia,,Araba / Álava,,,PER_100000_POP,Araba / Álava,224.1
2021,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,217.6
2019,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,PER_100000_POP,Araba / Álava,546.4
2012,Heriotza-tasa,Minbizia,,Araba / Álava,,,PER_100000_POP,Araba / Álava,232.0
2011,Heriotza-tasa,Minbizia,,Araba / Álava,,,PER_100000_POP,Araba / Álava,257.9
2023,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,51.5
2021,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,PER_100000_POP,Araba / Álava,536.3
2022,Heriotza-tasa,Minbizia,,Araba / Álava,,,PER_100000_POP,Araba / Álava,243.6
2016,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,PER_100000_POP,Araba / Álava,553.9
2022,Heriotza-tasa,Diabetesa,,Araba / Álava,,,PER_100000_POP,Araba / Álava,19.6
2019,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,77.8
2015,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,PER_100000_POP,Araba / Álava,574.1
2013,Heriotza-tasa,Minbizia,,Araba / Álava,,,PER_100000_POP,Araba / Álava,247.7
2010,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,55.4
2016,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,67.8
2012,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,207.1
2017,Heriotza-tasa,Minbizia,,Araba / Álava,,,PER_100000_POP,Araba / Álava,268.7
2013,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,71.5
2022,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,PER_100000_POP,Araba / Álava,538.1
2013,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,PER_100000_POP,Araba / Álava,546.6
2015,Heriotza-tasa,Diabetesa,,Araba / Álava,,,PER_100000_POP,Araba / Álava,21.1
2012,Heriotza-tasa,Diabetesa,,Araba / Álava,,,PER_100000_POP,Araba / Álava,19.3
2018,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,209.3
2014,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,191.6
2021,Heriotza-tasa,Diabetesa,,Araba / Álava,,,PER_100000_POP,Araba / Álava,23.0
2020,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,PER_100000_POP,Araba / Álava,491.8
2014,Heriotza-tasa,Diabetesa,,Araba / Álava,,,PER_100000_POP,Araba / Álava,12.5
2023,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,PER_100000_POP,Araba / Álava,544.7
2011,Heriotza-tasa,Diabetesa,,Araba / Álava,,,PER_100000_POP,Araba / Álava,22.5
2015,Heriotza-tasa,Minbizia,,Araba / Álava,,,PER_100000_POP,Araba / Álava,263.6
2011,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,57.4
2010,Heriotza-tasa,Diabetesa,,Araba / Álava,,,PER_100000_POP,Araba / Álava,25.5
2015,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,PER_100000_POP,Araba / Álava,69.2
2017,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,PER_100000_POP,Bizkaia,684.1
2022,Heriotza-tasa,Minbizia,,Bizkaia,,,PER_100000_POP,Bizkaia,301.6
2016,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,PER_100000_POP,Bizkaia,285.3
2012,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,PER_100000_POP,Bizkaia,72.9
2018,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,PER_100000_POP,Bizkaia,691.0
2023,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,PER_100000_POP,Bizkaia,259.4
2016,Heriotza-tasa,Minbizia,,Bizkaia,,,PER_100000_POP,Bizkaia,303.7
2012,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,PER_100000_POP,Bizkaia,285.8
2016,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,PER_100000_POP,Bizkaia,79.5
2020,Heriotza-tasa,Minbizia,,Bizkaia,,,PER_100000_POP,Bizkaia,292.3
2015,Heriotza-tasa,Diabetesa,,Bizkaia,,,PER_100000_POP,Bizkaia,23.8
2020,Heriotza-tasa,Diabetesa,,Bizkaia,,,PER_100000_POP,Bizkaia,24.4
2013,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,PER_100000_POP,Bizkaia,263.0
2015,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,PER_100000_POP,Bizkaia,696.8
2015,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,PER_100000_POP,Bizkaia,83.8
2013,Heriotza-tasa,Diabetesa,,Bizkaia,,,PER_100000_POP,Bizkaia,22.4
2020,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,PER_100000_POP,Bizkaia,651.0
2022,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,PER_100000_POP,Bizkaia,61.3
2018,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,PER_100000_POP,Bizkaia,89.1
2019,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,PER_100000_POP,Bizkaia,276.2
2014,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,PER_100000_POP,Bizkaia,274.4
2018,Heriotza-tasa,Minbizia,,Bizkaia,,,PER_100000_POP,Bizkaia,293.8
2012,Heriotza-tasa,Diabetesa,,Bizkaia,,,PER_100000_POP,Bizkaia,21.8
2022,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,PER_100000_POP,Bizkaia,275.1
2020,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,PER_100000_POP,Bizkaia,277.0
2017,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,PER_100000_POP,Bizkaia,285.9
2014,Heriotza-tasa,Diabetesa,,Bizkaia,,,PER_100000_POP,Bizkaia,22.3
2019,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,PER_100000_POP,Bizkaia,676.6
2010,Heriotza-tasa,Minbizia,,Bizkaia,,,PER_100000_POP,Bizkaia,287.6
2012,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,PER_100000_POP,Bizkaia,669.6
2018,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,PER_100000_POP,Bizkaia,287.8
2016,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,PER_100000_POP,Bizkaia,689.2
2013,Heriotza-tasa,Minbizia,,Bizkaia,,,PER_100000_POP,Bizkaia,285.8
2015,Heriotza-tasa,Minbizia,,Bizkaia,,,PER_100000_POP,Bizkaia,295.8
2019,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,PER_100000_POP,Bizkaia,79.1
2023,Heriotza-tasa,Diabetesa,,Bizkaia,,,PER_100000_POP,Bizkaia,20.1
2014,Heriotza-tasa,Minbizia,,Bizkaia,,,PER_100000_POP,Bizkaia,303.4
2013,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,PER_100000_POP,Bizkaia,71.0
2017,Heriotza-tasa,Minbizia,,Bizkaia,,,PER_100000_POP,Bizkaia,291.2
2012,Heriotza-tasa,Minbizia,,Bizkaia,,,PER_100000_POP,Bizkaia,289.1
2023,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,PER_100000_POP,Bizkaia,623.5
2021,Heriotza-tasa,Diabetesa,,Bizkaia,,,PER_100000_POP,Bizkaia,22.1
2014,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,PER_100000_POP,Bizkaia,68.9
2017,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,PER_100000_POP,Bizkaia,89.0
2021,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,PER_100000_POP,Bizkaia,276.1
2016,Heriotza-tasa,Diabetesa,,Bizkaia,,,PER_100000_POP,Bizkaia,20.7
2023,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,PER_100000_POP,Bizkaia,61.7
2015,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,PER_100000_POP,Bizkaia,293.5
2010,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,PER_100000_POP,Bizkaia,280.5
2017,Heriotza-tasa,Diabetesa,,Bizkaia,,,PER_100000_POP,Bizkaia,18.0
2011,Heriotza-tasa,Minbizia,,Bizkaia,,,PER_100000_POP,Bizkaia,291.5
2021,Heriotza-tasa,Minbizia,,Bizkaia,,,PER_100000_POP,Bizkaia,291.9
2010,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,PER_100000_POP,Bizkaia,64.1
2023,Heriotza-tasa,Minbizia,,Bizkaia,,,PER_100000_POP,Bizkaia,282.4
2019,Heriotza-tasa,Diabetesa,,Bizkaia,,,PER_100000_POP,Bizkaia,23.4
2013,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,PER_100000_POP,Bizkaia,642.3
2011,Heriotza-tasa,Diabetesa,,Bizkaia,,,PER_100000_POP,Bizkaia,21.9
2019,Heriotza-tasa,Minbizia,,Bizkaia,,,PER_100000_POP,Bizkaia,297.8
2010,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,PER_100000_POP,Bizkaia,654.2
2018,Heriotza-tasa,Diabetesa,,Bizkaia,,,PER_100000_POP,Bizkaia,20.4
2014,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,PER_100000_POP,Bizkaia,669.0
2022,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,PER_100000_POP,Bizkaia,659.6
2011,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,PER_100000_POP,Bizkaia,282.1
2021,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,PER_100000_POP,Bizkaia,57.9
2021,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,PER_100000_POP,Bizkaia,648.0
2011,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,PER_100000_POP,Bizkaia,662.9
2022,Heriotza-tasa,Diabetesa,,Bizkaia,,,PER_100000_POP,Bizkaia,21.6
2020,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,PER_100000_POP,Bizkaia,57.2
2010,Heriotza-tasa,Diabetesa,,Bizkaia,,,PER_100000_POP,Bizkaia,22.0
2011,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,PER_100000_POP,Bizkaia,67.4
2010,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,596.9
2011,Heriotza-tasa,Minbizia,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,268.4
2018,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,631.8
2017,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,624.4
2018,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,22.2
2020,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,53.2
2019,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,597.6
2010,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,66.3
2018,Heriotza-tasa,Minbizia,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,280.0
2012,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,70.5
2014,Heriotza-tasa,Minbizia,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,274.9
2020,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,251.1
2011,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,65.7
2018,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,75.7
2016,Heriotza-tasa,Minbizia,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,260.3
2015,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,244.0
2016,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,75.0
2017,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,16.7
2016,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,249.8
2014,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,73.5
2013,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,65.2
2012,Heriotza-tasa,Minbizia,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,263.6
