Year,Erakundea,Lurralde historikoa,Units,Value
2017,Foru-gobernuetako sailburuak,Bizkaia,%,55.6
2014,Foru-gobernuetako sailburuak,Bizkaia,%,40.0
2010,Foru-gobernuetako sailburuak,Bizkaia,%,33.3
2012,Foru-gobernuetako sailburuak,Bizkaia,%,40.0
2016,Foru-gobernuetako sailburuak,Bizkaia,%,55.6
2020,Foru-gobernuetako sailburuak,Bizkaia,%,50.0
2024,Foru-gobernuetako sailburuak,Bizkaia,%,43.6
2011,Foru-gobernuetako sailburuak,Bizkaia,%,40.0
2025,Foru-gobernuetako sailburuak,Bizkaia,%,43.6
2021,Foru-gobernuetako sailburuak,Bizkaia,%,50.0
2018,Foru-gobernuetako sailburuak,Bizkaia,%,55.6
2011,Foru-gobernuetako sailburuak,Gipuzkoa,%,37.5
2014,Foru-gobernuetako sailburuak,Gipuzkoa,%,37.5
2025,Foru-gobernuetako sailburuak,Gipuzkoa,%,56.5
2023,Foru-gobernuetako sailburuak,Gipuzkoa,%,56.5
2021,Foru-gobernuetako sailburuak,Gipuzkoa,%,50.0
2020,Foru-gobernuetako sailburuak,Gipuzkoa,%,50.0
2017,Foru-gobernuetako sailburuak,Gipuzkoa,%,44.4
2015,Foru-gobernuetako sailburuak,Gipuzkoa,%,44.4
2013,Foru-gobernuetako sailburuak,Gipuzkoa,%,37.5
2010,Foru-gobernuetako sailburuak,Gipuzkoa,%,36.4
2012,Foru-gobernuetako sailburuak,Gipuzkoa,%,37.5
2016,Foru-gobernuetako sailburuak,Gipuzkoa,%,44.4
2019,Foru-gobernuetako sailburuak,Gipuzkoa,%,50.0
2022,Foru-gobernuetako sailburuak,Gipuzkoa,%,50.0
2024,Foru-gobernuetako sailburuak,Gipuzkoa,%,56.5
2018,Foru-gobernuetako sailburuak,Gipuzkoa,%,44.4
2013,Batzar Nagusietako hautetsiak,,%,48.4
2024,Batzar Nagusietako hautetsiak,,%,48.4
2018,Batzar Nagusietako hautetsiak,,%,48.1
2011,Batzar Nagusietako hautetsiak,,%,48.4
2023,Batzar Nagusietako hautetsiak,,%,48.4
2025,Batzar Nagusietako hautetsiak,,%,44.4
2012,Batzar Nagusietako hautetsiak,,%,48.4
2021,Batzar Nagusietako hautetsiak,,%,54.2
2014,Batzar Nagusietako hautetsiak,,%,48.4
2016,Batzar Nagusietako hautetsiak,,%,48.1
2015,Batzar Nagusietako hautetsiak,,%,48.1
2019,Batzar Nagusietako hautetsiak,,%,54.2
2022,Batzar Nagusietako hautetsiak,,%,54.2
2020,Batzar Nagusietako hautetsiak,,%,54.2
2010,Batzar Nagusietako hautetsiak,,%,41.2
2017,Batzar Nagusietako hautetsiak,,%,48.1
2013,Batzar Nagusietako hautetsiak,Araba / Álava,%,51.0
2015,Batzar Nagusietako hautetsiak,Araba / Álava,%,45.1
2019,Batzar Nagusietako hautetsiak,Araba / Álava,%,56.9
2021,Batzar Nagusietako hautetsiak,Araba / Álava,%,56.9
2025,Batzar Nagusietako hautetsiak,Araba / Álava,%,43.1
2024,Batzar Nagusietako hautetsiak,Araba / Álava,%,43.2
2018,Batzar Nagusietako hautetsiak,Araba / Álava,%,45.1
2012,Batzar Nagusietako hautetsiak,Araba / Álava,%,51.0
2023,Batzar Nagusietako hautetsiak,Araba / Álava,%,43.2
2022,Batzar Nagusietako hautetsiak,Araba / Álava,%,56.9
2020,Batzar Nagusietako hautetsiak,Araba / Álava,%,56.9
2017,Batzar Nagusietako hautetsiak,Araba / Álava,%,45.1
2016,Batzar Nagusietako hautetsiak,Araba / Álava,%,45.1
2014,Batzar Nagusietako hautetsiak,Araba / Álava,%,51.0
2010,Batzar Nagusietako hautetsiak,Araba / Álava,%,41.2
2011,Batzar Nagusietako hautetsiak,Araba / Álava,%,51.0
2025,Batzar Nagusietako hautetsiak,Bizkaia,%,47.1
2022,Batzar Nagusietako hautetsiak,Bizkaia,%,51.0
2019,Batzar Nagusietako hautetsiak,Bizkaia,%,51.0
2017,Batzar Nagusietako hautetsiak,Bizkaia,%,49.0
2015,Batzar Nagusietako hautetsiak,Bizkaia,%,49.0
2014,Batzar Nagusietako hautetsiak,Bizkaia,%,45.1
2012,Batzar Nagusietako hautetsiak,Bizkaia,%,45.1
2011,Batzar Nagusietako hautetsiak,Bizkaia,%,45.1
2010,Batzar Nagusietako hautetsiak,Bizkaia,%,39.2
2016,Batzar Nagusietako hautetsiak,Bizkaia,%,49.0
2020,Batzar Nagusietako hautetsiak,Bizkaia,%,51.0
2013,Batzar Nagusietako hautetsiak,Bizkaia,%,45.1
2024,Batzar Nagusietako hautetsiak,Bizkaia,%,46.4
2018,Batzar Nagusietako hautetsiak,Bizkaia,%,49.0
2021,Batzar Nagusietako hautetsiak,Bizkaia,%,51.0
2023,Batzar Nagusietako hautetsiak,Bizkaia,%,46.4
2025,Batzar Nagusietako hautetsiak,Gipuzkoa,%,43.1
2023,Batzar Nagusietako hautetsiak,Gipuzkoa,%,54.7
2022,Batzar Nagusietako hautetsiak,Gipuzkoa,%,54.9
2021,Batzar Nagusietako hautetsiak,Gipuzkoa,%,54.9
2020,Batzar Nagusietako hautetsiak,Gipuzkoa,%,54.9
2019,Batzar Nagusietako hautetsiak,Gipuzkoa,%,54.9
2018,Batzar Nagusietako hautetsiak,Gipuzkoa,%,50.0
2017,Batzar Nagusietako hautetsiak,Gipuzkoa,%,50.0
2024,Batzar Nagusietako hautetsiak,Gipuzkoa,%,54.7
2016,Batzar Nagusietako hautetsiak,Gipuzkoa,%,50.0
2014,Batzar Nagusietako hautetsiak,Gipuzkoa,%,49.0
2010,Batzar Nagusietako hautetsiak,Gipuzkoa,%,43.1
2013,Batzar Nagusietako hautetsiak,Gipuzkoa,%,49.0
2011,Batzar Nagusietako hautetsiak,Gipuzkoa,%,49.0
2012,Batzar Nagusietako hautetsiak,Gipuzkoa,%,49.0
2015,Batzar Nagusietako hautetsiak,Gipuzkoa,%,50.0
2018,Alkatetzak,,%,25.2
2017,Alkatetzak,,%,25.2
2019,Alkatetzak,,%,29.2
2025,Alkatetzak,,%,35.7
2021,Alkatetzak,,%,30.3
2015,Alkatetzak,,%,25.2
2013,Alkatetzak,,%,22.3
2023,Alkatetzak,,%,33.1
2010,Alkatetzak,,%,19.9
2011,Alkatetzak,,%,22.0
2014,Alkatetzak,,%,23.1
2022,Alkatetzak,,%,30.3
2016,Alkatetzak,,%,25.2
2012,Alkatetzak,,%,22.0
2020,Alkatetzak,,%,29.2
2024,Alkatetzak,,%,34.3
2025,Zinegotziak,,%,46.8
2010,Zinegotziak,,%,27.8
2023,Zinegotziak,,%,48.3
2016,Zinegotziak,,%,41.4
2018,Zinegotziak,,%,41.4
2021,Zinegotziak,,%,47.5
2019,Zinegotziak,,%,47.8
2013,Zinegotziak,,%,40.5
2011,Zinegotziak,,%,40.4
2012,Zinegotziak,,%,40.4
2015,Zinegotziak,,%,41.4
2017,Zinegotziak,,%,41.4
2024,Zinegotziak,,%,46.5
2022,Zinegotziak,,%,47.5
2014,Zinegotziak,,%,40.3
2020,Zinegotziak,,%,47.8
