Year,Comunidad Autónoma,Units,Value
2022,Extremadura,Porcentaje,13.79
2023,Extremadura,Porcentaje,16.98
2010,España,Porcentaje,19.48
2010,Illes Balears,Porcentaje,24.96
2011,España,Porcentaje,19.37
2011,Illes Balears,Porcentaje,23.48
2012,España,Porcentaje,19.69
2012,Illes Balears,Porcentaje,20.54
2013,España,Porcentaje,19.3
2013,Illes Balears,Porcentaje,19.77
2014,España,Porcentaje,20.45
2014,Illes Balears,Porcentaje,19.42
2015,España,Porcentaje,20.23
2015,Illes Balears,Porcentaje,25.86
2016,España,Porcentaje,20.18
2016,Illes Balears,Porcentaje,18.81
2017,España,Porcentaje,20.62
2017,Illes Balears,Porcentaje,20.78
2018,España,Porcentaje,20.23
2018,Illes Balears,Porcentaje,21.6
2019,Illes Balears,Porcentaje,18.12
2019,España,Porcentaje,19.49
2020,España,Porcentaje,19.71
2020,Illes Balears,Porcentaje,20.66
2021,España,Porcentaje,20.61
2021,Illes Balears,Porcentaje,17.52
2022,España,Porcentaje,19.39
2023,España,Porcentaje,18.29
2022,Illes Balears,Porcentaje,16.98
2023,Illes Balears,Porcentaje,18.8
2010,Canarias,Porcentaje,23.8
2011,Canarias,Porcentaje,20.6
2012,Canarias,Porcentaje,20.1
2013,Canarias,Porcentaje,21.1
2014,Canarias,Porcentaje,21.7
2015,Canarias,Porcentaje,24.4
2016,Canarias,Porcentaje,20.6
2017,Canarias,Porcentaje,22.9
2018,Canarias,Porcentaje,23.7
2019,Canarias,Porcentaje,18.8
2020,Canarias,Porcentaje,22.0
2021,Canarias,Porcentaje,24.1
