Year,Series,Lurralde historikoa,Units,Value
2018,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,3.7
2010,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,0.6
2013,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,-1.9
2016,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,3.3
2022,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,4.3
2011,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,0.3
2019,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,2.6
2014,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,1.7
2020,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,-10.0
2021,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,6.0
2017,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,2.8
2018,Langabezia-tasa,,Porcentaje,10.5
2013,Langabezia-tasa,,Porcentaje,15.1
2014,Langabezia-tasa,,Porcentaje,16.1
2021,Langabezia-tasa,,Porcentaje,10.0
2023,Langabezia-tasa,,Porcentaje,7.8
2016,Langabezia-tasa,,Porcentaje,13.8
2015,Langabezia-tasa,,Porcentaje,15.7
2022,Langabezia-tasa,,Porcentaje,8.6
2010,Langabezia-tasa,,Porcentaje,9.2
2017,Langabezia-tasa,,Porcentaje,11.6
2012,Langabezia-tasa,,Porcentaje,11.8
2019,Langabezia-tasa,,Porcentaje,9.8
2020,Langabezia-tasa,,Porcentaje,10.6
2011,Langabezia-tasa,,Porcentaje,10.8
2011,Langabezia-tasa,Araba / Álava,Porcentaje,7.8
2018,Langabezia-tasa,Araba / Álava,Porcentaje,11.2
2010,Langabezia-tasa,Araba / Álava,Porcentaje,10.0
2017,Langabezia-tasa,Araba / Álava,Porcentaje,11.9
2012,Langabezia-tasa,Araba / Álava,Porcentaje,9.4
2013,Langabezia-tasa,Araba / Álava,Porcentaje,15.1
2019,Langabezia-tasa,Araba / Álava,Porcentaje,10.8
2021,Langabezia-tasa,Araba / Álava,Porcentaje,10.6
2023,Langabezia-tasa,Araba / Álava,Porcentaje,7.9
2016,Langabezia-tasa,Araba / Álava,Porcentaje,14.1
2015,Langabezia-tasa,Araba / Álava,Porcentaje,16.3
2022,Langabezia-tasa,Araba / Álava,Porcentaje,9.5
2014,Langabezia-tasa,Araba / Álava,Porcentaje,17.1
2020,Langabezia-tasa,Araba / Álava,Porcentaje,11.1
2019,Langabezia-tasa,Bizkaia,Porcentaje,11.1
2021,Langabezia-tasa,Bizkaia,Porcentaje,11.2
2018,Langabezia-tasa,Bizkaia,Porcentaje,11.9
2016,Langabezia-tasa,Bizkaia,Porcentaje,15.3
2013,Langabezia-tasa,Bizkaia,Porcentaje,16.7
2010,Langabezia-tasa,Bizkaia,Porcentaje,10.0
2014,Langabezia-tasa,Bizkaia,Porcentaje,17.2
2011,Langabezia-tasa,Bizkaia,Porcentaje,13.2
2022,Langabezia-tasa,Bizkaia,Porcentaje,9.3
2017,Langabezia-tasa,Bizkaia,Porcentaje,12.9
2012,Langabezia-tasa,Bizkaia,Porcentaje,14.2
2020,Langabezia-tasa,Bizkaia,Porcentaje,11.9
2015,Langabezia-tasa,Bizkaia,Porcentaje,17.0
2023,Langabezia-tasa,Bizkaia,Porcentaje,8.7
2015,Langabezia-tasa,Gipuzkoa,Porcentaje,13.3
2020,Langabezia-tasa,Gipuzkoa,Porcentaje,8.2
2018,Langabezia-tasa,Gipuzkoa,Porcentaje,8.1
2023,Langabezia-tasa,Gipuzkoa,Porcentaje,6.4
2010,Langabezia-tasa,Gipuzkoa,Porcentaje,7.4
2022,Langabezia-tasa,Gipuzkoa,Porcentaje,7.0
2021,Langabezia-tasa,Gipuzkoa,Porcentaje,8.0
2019,Langabezia-tasa,Gipuzkoa,Porcentaje,7.4
2017,Langabezia-tasa,Gipuzkoa,Porcentaje,9.3
2014,Langabezia-tasa,Gipuzkoa,Porcentaje,13.9
2013,Langabezia-tasa,Gipuzkoa,Porcentaje,12.5
2012,Langabezia-tasa,Gipuzkoa,Porcentaje,8.9
2011,Langabezia-tasa,Gipuzkoa,Porcentaje,8.2
2016,Langabezia-tasa,Gipuzkoa,Porcentaje,11.3
2017,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,Porcentaje,2.0
2011,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,Porcentaje,3.1
2010,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,Porcentaje,1.7
2015,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,Porcentaje,-0.3
2014,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,Porcentaje,0.2
2023,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,Porcentaje,3.6
2020,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,Porcentaje,-0.1
2012,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,Porcentaje,2.3
2021,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,Porcentaje,3.1
2018,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,Porcentaje,1.6
2019,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,Porcentaje,1.0
2016,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,Porcentaje,0.0
2013,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,Porcentaje,1.6
2022,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,Porcentaje,8.0
2015,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,-0.2
2018,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,1.4
2011,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,3.1
2019,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,0.9
2014,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,0.1
2017,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,2.1
2012,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,2.1
2022,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,8.1
2010,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,1.8
2016,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,-0.1
2020,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,-0.3
2023,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,3.0
2021,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,3.2
2013,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,Porcentaje,1.3
2021,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,3.1
2022,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,8.3
2020,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,0.0
2023,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,3.6
2010,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,1.8
2016,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,0.1
2019,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,0.9
2012,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,2.4
2014,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,0.2
2018,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,1.6
2015,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,-0.4
2017,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,2.0
2013,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,1.6
2011,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,Porcentaje,3.1
2021,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,3.1
2020,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,-0.2
2023,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,3.9
2018,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,1.8
2010,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,1.5
2013,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,1.6
2019,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,1.1
2017,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,1.9
2022,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,7.7
2016,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,0.0
2015,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,-0.1
2014,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,0.2
2012,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,2.3
2011,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,Porcentaje,3.0
2014,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",,Porcentaje,0.4
2022,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",,Porcentaje,0.5
2020,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",,Porcentaje,0.5
2016,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",,Porcentaje,0.4
2021,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",,Porcentaje,0.5
2013,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",,Porcentaje,0.4
2017,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",,Porcentaje,0.4
2019,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",,Porcentaje,0.5
2018,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",,Porcentaje,0.5
2015,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan",,Porcentaje,0.4
2021,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,Porcentaje,14.3
2020,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,Porcentaje,15.0
2013,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,Porcentaje,12.8
2010,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,Porcentaje,7.6
2014,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,Porcentaje,13.4
2016,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,Porcentaje,14.0
2015,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,Porcentaje,13.8
2017,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,Porcentaje,13.8
2019,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,Porcentaje,11.8
2012,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,Porcentaje,11.0
2011,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,Porcentaje,8.3
2018,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,Porcentaje,13.1
2018,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan",,Porcentaje,0.7
2017,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan",,Porcentaje,1.5
2020,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan",,Porcentaje,-1.0
2012,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan",,Porcentaje,-1.4
2021,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan",,Porcentaje,0.8
2010,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan",,Porcentaje,-2.7
2011,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan",,Porcentaje,-2.6
2013,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan",,Porcentaje,-1.2
2019,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan",,Porcentaje,0.5
2014,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan",,Porcentaje,-1.0
2015,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan",,Porcentaje,-0.6
2016,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan",,Porcentaje,-0.6
