Year,Province,County,Municipality,Units,GeoCode,Value
2011,,,Aramaio,Percentage,Aramaio,0.62
2012,,,Aramaio,Percentage,Aramaio,0.75
2013,,,Aramaio,Percentage,Aramaio,0.77
2014,,,Aramaio,Percentage,Aramaio,0.8
2015,,,Aramaio,Percentage,Aramaio,1.78
2016,,,Aramaio,Percentage,Aramaio,1.84
2017,,,Aramaio,Percentage,Aramaio,1.62
2018,,,Aramaio,Percentage,Aramaio,1.75
2019,,,Aramaio,Percentage,Aramaio,1.86
2020,,,Aramaio,Percentage,Aramaio,2.05
2021,,,Aramaio,Percentage,Aramaio,1.96
2010,,,Artziniega,Percentage,Artziniega,0.0
2011,,,Artziniega,Percentage,Artziniega,1.53
2012,,,Artziniega,Percentage,Artziniega,0.04
2013,,,Artziniega,Percentage,Artziniega,0.0
2014,,,Artziniega,Percentage,Artziniega,0.0
2015,,,Artziniega,Percentage,Artziniega,0.0
2016,,,Artziniega,Percentage,Artziniega,0.0
2017,,,Artziniega,Percentage,Artziniega,0.0
2018,,,Artziniega,Percentage,Artziniega,0.0
2019,,,Artziniega,Percentage,Artziniega,0.0
2020,,,Artziniega,Percentage,Artziniega,0.0
2021,,,Artziniega,Percentage,Artziniega,0.0
2010,,,Armiñón,Percentage,Armiñón,0.0
2011,,,Armiñón,Percentage,Armiñón,0.0
2012,,,Armiñón,Percentage,Armiñón,0.0
2013,,,Armiñón,Percentage,Armiñón,0.0
2014,,,Armiñón,Percentage,Armiñón,0.0
2015,,,Armiñón,Percentage,Armiñón,0.0
2016,,,Armiñón,Percentage,Armiñón,0.0
2017,,,Armiñón,Percentage,Armiñón,0.0
2018,,,Armiñón,Percentage,Armiñón,0.0
2019,,,Armiñón,Percentage,Armiñón,0.0
2020,,,Armiñón,Percentage,Armiñón,0.62
2021,,,Armiñón,Percentage,Armiñón,0.62
2010,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,0.21
2011,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,0.21
2012,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,0.21
2013,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,0.13
2014,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,0.09
2015,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,0.08
2016,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,0.08
2017,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,0.08
2018,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,0.08
2019,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,0.09
2020,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,0.1
2021,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,0.1
2010,,,Asparrena,Percentage,Asparrena,0.0
2011,,,Asparrena,Percentage,Asparrena,0.0
2012,,,Asparrena,Percentage,Asparrena,0.0
2013,,,Asparrena,Percentage,Asparrena,0.0
2014,,,Asparrena,Percentage,Asparrena,0.0
2015,,,Asparrena,Percentage,Asparrena,0.0
2016,,,Asparrena,Percentage,Asparrena,0.0
2017,,,Asparrena,Percentage,Asparrena,0.0
2018,,,Asparrena,Percentage,Asparrena,0.0
2019,,,Asparrena,Percentage,Asparrena,0.0
2020,,,Asparrena,Percentage,Asparrena,0.0
2021,,,Asparrena,Percentage,Asparrena,0.0
2010,,Añana (county),,Percentage,Añana (county),0.26
2011,,Añana (county),,Percentage,Añana (county),0.26
2012,,Añana (county),,Percentage,Añana (county),0.31
2013,,Añana (county),,Percentage,Añana (county),0.74
2014,,Añana (county),,Percentage,Añana (county),0.81
2015,,Añana (county),,Percentage,Añana (county),0.89
2016,,Añana (county),,Percentage,Añana (county),1.03
2017,,Añana (county),,Percentage,Añana (county),2.78
2018,,Añana (county),,Percentage,Añana (county),2.03
2019,,Añana (county),,Percentage,Añana (county),2.35
2020,,Añana (county),,Percentage,Añana (county),3.7
2021,,Añana (county),,Percentage,Añana (county),3.94
2010,,,Ayala/Aiara,Percentage,Ayala/Aiara,0.0
2011,,,Ayala/Aiara,Percentage,Ayala/Aiara,0.0
2012,,,Ayala/Aiara,Percentage,Ayala/Aiara,0.1
2013,,,Ayala/Aiara,Percentage,Ayala/Aiara,0.08
2014,,,Ayala/Aiara,Percentage,Ayala/Aiara,0.09
2015,,,Ayala/Aiara,Percentage,Ayala/Aiara,0.09
2016,,,Ayala/Aiara,Percentage,Ayala/Aiara,0.09
2017,,,Ayala/Aiara,Percentage,Ayala/Aiara,0.1
2018,,,Ayala/Aiara,Percentage,Ayala/Aiara,0.1
2019,,,Ayala/Aiara,Percentage,Ayala/Aiara,0.1
2020,,,Ayala/Aiara,Percentage,Ayala/Aiara,0.1
2021,,,Ayala/Aiara,Percentage,Ayala/Aiara,0.1
2010,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,1.8
2011,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,3.4
2012,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,3.98
2013,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,4.72
2014,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,1.66
2015,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,1.77
2016,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,2.56
2017,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,2.6
2018,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,5.68
2019,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,4.02
2020,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,11.03
2021,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,4.6
2010,,,Barrundia,Percentage,Barrundia,3.31
2011,,,Barrundia,Percentage,Barrundia,2.84
2012,,,Barrundia,Percentage,Barrundia,2.96
2013,,,Barrundia,Percentage,Barrundia,2.78
2014,,,Barrundia,Percentage,Barrundia,2.31
2015,,,Barrundia,Percentage,Barrundia,2.29
2016,,,Barrundia,Percentage,Barrundia,2.37
2017,,,Barrundia,Percentage,Barrundia,2.4
2018,,,Barrundia,Percentage,Barrundia,3.6
2019,,,Barrundia,Percentage,Barrundia,4.81
2020,,,Barrundia,Percentage,Barrundia,5.16
2021,,,Barrundia,Percentage,Barrundia,5.1
2010,,,Berantevilla,Percentage,Berantevilla,0.27
2011,,,Berantevilla,Percentage,Berantevilla,0.27
2012,,,Berantevilla,Percentage,Berantevilla,0.27
2013,,,Berantevilla,Percentage,Berantevilla,0.27
2014,,,Berantevilla,Percentage,Berantevilla,0.26
2015,,,Berantevilla,Percentage,Berantevilla,0.27
2016,,,Berantevilla,Percentage,Berantevilla,0.24
2017,,,Berantevilla,Percentage,Berantevilla,0.0
2018,,,Berantevilla,Percentage,Berantevilla,0.0
2019,,,Berantevilla,Percentage,Berantevilla,0.0
2020,,,Berantevilla,Percentage,Berantevilla,0.08
2021,,,Berantevilla,Percentage,Berantevilla,0.08
2010,,,Bernedo,Percentage,Bernedo,0.0
2011,,,Bernedo,Percentage,Bernedo,0.0
2012,,,Bernedo,Percentage,Bernedo,0.0
2013,,,Bernedo,Percentage,Bernedo,0.0
2014,,,Bernedo,Percentage,Bernedo,0.0
2015,,,Bernedo,Percentage,Bernedo,0.04
2016,,,Bernedo,Percentage,Bernedo,0.11
2017,,,Bernedo,Percentage,Bernedo,5.52
2018,,,Bernedo,Percentage,Bernedo,5.83
2019,,,Bernedo,Percentage,Bernedo,5.87
2020,,,Bernedo,Percentage,Bernedo,5.79
2021,,,Bernedo,Percentage,Bernedo,6.75
2010,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,0.24
2011,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,1.14
2012,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,1.85
2013,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,1.91
2014,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,1.74
2015,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,1.66
2016,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,2.28
2017,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,2.5
2018,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,2.52
2019,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,3.61
2020,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,3.77
2021,,,Campezo/Kanpezu,Percentage,Campezo/Kanpezu,3.76
2010,,,Zigoitia,Percentage,Zigoitia,0.95
2011,,,Zigoitia,Percentage,Zigoitia,1.08
2012,,,Zigoitia,Percentage,Zigoitia,2.0
2013,,,Zigoitia,Percentage,Zigoitia,1.98
2014,,,Zigoitia,Percentage,Zigoitia,2.62
2015,,,Zigoitia,Percentage,Zigoitia,2.37
2016,,,Zigoitia,Percentage,Zigoitia,1.96
2017,,,Zigoitia,Percentage,Zigoitia,2.27
2018,,,Zigoitia,Percentage,Zigoitia,2.05
2019,,,Zigoitia,Percentage,Zigoitia,2.51
2020,,,Zigoitia,Percentage,Zigoitia,2.67
2021,,,Zigoitia,Percentage,Zigoitia,3.06
2010,,,Kripan,Percentage,Kripan,0.14
2011,,,Kripan,Percentage,Kripan,0.0
2012,,,Kripan,Percentage,Kripan,0.14
2013,,,Kripan,Percentage,Kripan,0.14
2014,,,Kripan,Percentage,Kripan,0.14
2015,,,Kripan,Percentage,Kripan,0.29
2016,,,Kripan,Percentage,Kripan,0.29
2017,,,Kripan,Percentage,Kripan,0.39
2018,,,Kripan,Percentage,Kripan,0.3
2019,,,Kripan,Percentage,Kripan,0.43
2020,,,Kripan,Percentage,Kripan,0.7
2021,,,Kripan,Percentage,Kripan,0.66
2010,,Arabako Lautada / Llanada Alavesa,,Percentage,Arabako Lautada / Llanada Alavesa,0.73
2011,,Arabako Lautada / Llanada Alavesa,,Percentage,Arabako Lautada / Llanada Alavesa,0.7
2012,,Arabako Lautada / Llanada Alavesa,,Percentage,Arabako Lautada / Llanada Alavesa,0.65
2013,,Arabako Lautada / Llanada Alavesa,,Percentage,Arabako Lautada / Llanada Alavesa,0.75
2014,,Arabako Lautada / Llanada Alavesa,,Percentage,Arabako Lautada / Llanada Alavesa,0.88
2015,,Arabako Lautada / Llanada Alavesa,,Percentage,Arabako Lautada / Llanada Alavesa,0.84
2016,,Arabako Lautada / Llanada Alavesa,,Percentage,Arabako Lautada / Llanada Alavesa,0.95
2017,,Arabako Lautada / Llanada Alavesa,,Percentage,Arabako Lautada / Llanada Alavesa,0.97
2018,,Arabako Lautada / Llanada Alavesa,,Percentage,Arabako Lautada / Llanada Alavesa,1.14
2019,,Arabako Lautada / Llanada Alavesa,,Percentage,Arabako Lautada / Llanada Alavesa,1.2
2020,,Arabako Lautada / Llanada Alavesa,,Percentage,Arabako Lautada / Llanada Alavesa,1.36
2021,,Arabako Lautada / Llanada Alavesa,,Percentage,Arabako Lautada / Llanada Alavesa,1.78
2010,,,Kuartango,Percentage,Kuartango,0.0
2011,,,Kuartango,Percentage,Kuartango,0.19
2012,,,Kuartango,Percentage,Kuartango,0.19
2013,,,Kuartango,Percentage,Kuartango,0.17
2014,,,Kuartango,Percentage,Kuartango,0.08
2015,,,Kuartango,Percentage,Kuartango,0.08
2016,,,Kuartango,Percentage,Kuartango,0.08
2017,,,Kuartango,Percentage,Kuartango,6.06
2018,,,Kuartango,Percentage,Kuartango,6.23
2019,,,Kuartango,Percentage,Kuartango,5.6
2020,,,Kuartango,Percentage,Kuartango,14.95
2021,,,Kuartango,Percentage,Kuartango,16.64
2010,,,Elburgo/Burgelu,Percentage,Elburgo/Burgelu,1.53
2011,,,Elburgo/Burgelu,Percentage,Elburgo/Burgelu,2.1
2012,,,Elburgo/Burgelu,Percentage,Elburgo/Burgelu,1.22
2013,,,Elburgo/Burgelu,Percentage,Elburgo/Burgelu,1.84
2014,,,Elburgo/Burgelu,Percentage,Elburgo/Burgelu,1.38
2015,,,Elburgo/Burgelu,Percentage,Elburgo/Burgelu,1.19
2016,,,Elburgo/Burgelu,Percentage,Elburgo/Burgelu,1.59
2017,,,Elburgo/Burgelu,Percentage,Elburgo/Burgelu,1.84
2018,,,Elburgo/Burgelu,Percentage,Elburgo/Burgelu,1.78
2019,,,Elburgo/Burgelu,Percentage,Elburgo/Burgelu,2.05
2020,,,Elburgo/Burgelu,Percentage,Elburgo/Burgelu,1.96
2021,,,Elburgo/Burgelu,Percentage,Elburgo/Burgelu,1.98
2010,,,Elciego,Percentage,Elciego,0.0
2011,,,Elciego,Percentage,Elciego,0.0
2012,,,Elciego,Percentage,Elciego,18.53
2013,,,Elciego,Percentage,Elciego,7.71
2014,,,Elciego,Percentage,Elciego,0.45
2015,,,Elciego,Percentage,Elciego,0.45
2016,,,Elciego,Percentage,Elciego,0.98
2017,,,Elciego,Percentage,Elciego,0.98
2018,,,Elciego,Percentage,Elciego,12.16
2019,,,Elciego,Percentage,Elciego,15.22
2020,,,Elciego,Percentage,Elciego,59.92
2021,,,Elciego,Percentage,Elciego,18.67
2010,,,Elvillar/Bilar,Percentage,Elvillar/Bilar,0.27
2011,,,Elvillar/Bilar,Percentage,Elvillar/Bilar,0.27
2012,,,Elvillar/Bilar,Percentage,Elvillar/Bilar,1.85
2013,,,Elvillar/Bilar,Percentage,Elvillar/Bilar,1.86
2014,,,Elvillar/Bilar,Percentage,Elvillar/Bilar,1.67
2015,,,Elvillar/Bilar,Percentage,Elvillar/Bilar,2.3
2016,,,Elvillar/Bilar,Percentage,Elvillar/Bilar,2.49
2017,,,Elvillar/Bilar,Percentage,Elvillar/Bilar,2.67
2018,,,Elvillar/Bilar,Percentage,Elvillar/Bilar,2.76
2019,,,Elvillar/Bilar,Percentage,Elvillar/Bilar,3.11
2020,,,Elvillar/Bilar,Percentage,Elvillar/Bilar,10.29
2021,,,Elvillar/Bilar,Percentage,Elvillar/Bilar,3.92
2010,,,Iruraiz-Gauna,Percentage,Iruraiz-Gauna,1.2
2011,,,Iruraiz-Gauna,Percentage,Iruraiz-Gauna,1.12
2012,,,Iruraiz-Gauna,Percentage,Iruraiz-Gauna,1.08
2013,,,Iruraiz-Gauna,Percentage,Iruraiz-Gauna,1.17
2014,,,Iruraiz-Gauna,Percentage,Iruraiz-Gauna,1.51
2015,,,Iruraiz-Gauna,Percentage,Iruraiz-Gauna,1.04
2016,,,Iruraiz-Gauna,Percentage,Iruraiz-Gauna,1.03
2017,,,Iruraiz-Gauna,Percentage,Iruraiz-Gauna,1.13
2018,,,Iruraiz-Gauna,Percentage,Iruraiz-Gauna,1.13
2019,,,Iruraiz-Gauna,Percentage,Iruraiz-Gauna,1.15
2020,,,Iruraiz-Gauna,Percentage,Iruraiz-Gauna,0.87
2021,,,Iruraiz-Gauna,Percentage,Iruraiz-Gauna,0.79
2010,,,Labastida/Bastida,Percentage,Labastida/Bastida,3.1
2011,,,Labastida/Bastida,Percentage,Labastida/Bastida,3.11
2012,,,Labastida/Bastida,Percentage,Labastida/Bastida,3.06
2013,,,Labastida/Bastida,Percentage,Labastida/Bastida,2.72
2014,,,Labastida/Bastida,Percentage,Labastida/Bastida,2.36
2015,,,Labastida/Bastida,Percentage,Labastida/Bastida,2.46
2016,,,Labastida/Bastida,Percentage,Labastida/Bastida,2.38
2017,,,Labastida/Bastida,Percentage,Labastida/Bastida,2.38
2018,,,Labastida/Bastida,Percentage,Labastida/Bastida,2.57
2019,,,Labastida/Bastida,Percentage,Labastida/Bastida,2.56
2020,,,Labastida/Bastida,Percentage,Labastida/Bastida,4.54
2021,,,Labastida/Bastida,Percentage,Labastida/Bastida,2.65
2010,,Arabako Mendialdea / Montaña Alavesa,,Percentage,Arabako Mendialdea / Montaña Alavesa,1.32
2011,,Arabako Mendialdea / Montaña Alavesa,,Percentage,Arabako Mendialdea / Montaña Alavesa,1.73
2012,,Arabako Mendialdea / Montaña Alavesa,,Percentage,Arabako Mendialdea / Montaña Alavesa,1.97
2013,,Arabako Mendialdea / Montaña Alavesa,,Percentage,Arabako Mendialdea / Montaña Alavesa,2.09
2014,,Arabako Mendialdea / Montaña Alavesa,,Percentage,Arabako Mendialdea / Montaña Alavesa,2.1
2015,,Arabako Mendialdea / Montaña Alavesa,,Percentage,Arabako Mendialdea / Montaña Alavesa,1.66
2016,,Arabako Mendialdea / Montaña Alavesa,,Percentage,Arabako Mendialdea / Montaña Alavesa,1.73
2017,,Arabako Mendialdea / Montaña Alavesa,,Percentage,Arabako Mendialdea / Montaña Alavesa,3.39
2018,,Arabako Mendialdea / Montaña Alavesa,,Percentage,Arabako Mendialdea / Montaña Alavesa,3.5
2019,,Arabako Mendialdea / Montaña Alavesa,,Percentage,Arabako Mendialdea / Montaña Alavesa,3.88
2020,,Arabako Mendialdea / Montaña Alavesa,,Percentage,Arabako Mendialdea / Montaña Alavesa,5.37
2021,,Arabako Mendialdea / Montaña Alavesa,,Percentage,Arabako Mendialdea / Montaña Alavesa,6.03
2010,,,Lagrán,Percentage,Lagrán,0.0
2011,,,Lagrán,Percentage,Lagrán,0.0
2012,,,Lagrán,Percentage,Lagrán,0.0
2013,,,Lagrán,Percentage,Lagrán,1.28
2014,,,Lagrán,Percentage,Lagrán,1.35
2015,,,Lagrán,Percentage,Lagrán,1.49
2016,,,Lagrán,Percentage,Lagrán,1.43
2017,,,Lagrán,Percentage,Lagrán,1.5
2018,,,Lagrán,Percentage,Lagrán,1.76
2019,,,Lagrán,Percentage,Lagrán,1.25
2020,,,Lagrán,Percentage,Lagrán,3.88
2021,,,Lagrán,Percentage,Lagrán,0.8
2010,,,Laguardia,Percentage,Laguardia,0.22
2011,,,Laguardia,Percentage,Laguardia,0.39
2012,,,Laguardia,Percentage,Laguardia,1.65
2013,,,Laguardia,Percentage,Laguardia,3.12
2014,,,Laguardia,Percentage,Laguardia,3.14
2015,,,Laguardia,Percentage,Laguardia,3.19
2016,,,Laguardia,Percentage,Laguardia,3.48
2017,,,Laguardia,Percentage,Laguardia,3.49
2018,,,Laguardia,Percentage,Laguardia,3.43
2019,,,Laguardia,Percentage,Laguardia,4.96
2020,,,Laguardia,Percentage,Laguardia,12.77
2021,,,Laguardia,Percentage,Laguardia,5.63
2010,,,Lanciego/Lantziego,Percentage,Lanciego/Lantziego,1.67
2011,,,Lanciego/Lantziego,Percentage,Lanciego/Lantziego,1.71
2012,,,Lanciego/Lantziego,Percentage,Lanciego/Lantziego,2.64
2013,,,Lanciego/Lantziego,Percentage,Lanciego/Lantziego,2.98
2014,,,Lanciego/Lantziego,Percentage,Lanciego/Lantziego,2.91
2015,,,Lanciego/Lantziego,Percentage,Lanciego/Lantziego,3.06
2016,,,Lanciego/Lantziego,Percentage,Lanciego/Lantziego,3.05
2017,,,Lanciego/Lantziego,Percentage,Lanciego/Lantziego,3.05
2018,,,Lanciego/Lantziego,Percentage,Lanciego/Lantziego,3.33
2019,,,Lanciego/Lantziego,Percentage,Lanciego/Lantziego,3.77
2020,,,Lanciego/Lantziego,Percentage,Lanciego/Lantziego,8.38
2021,,,Lanciego/Lantziego,Percentage,Lanciego/Lantziego,4.26
2010,,,Lapuebla de Labarca,Percentage,Lapuebla de Labarca,0.0
2011,,,Lapuebla de Labarca,Percentage,Lapuebla de Labarca,0.0
2012,,,Lapuebla de Labarca,Percentage,Lapuebla de Labarca,0.0
2013,,,Lapuebla de Labarca,Percentage,Lapuebla de Labarca,0.0
2014,,,Lapuebla de Labarca,Percentage,Lapuebla de Labarca,0.0
2015,,,Lapuebla de Labarca,Percentage,Lapuebla de Labarca,0.0
2016,,,Lapuebla de Labarca,Percentage,Lapuebla de Labarca,0.0
2017,,,Lapuebla de Labarca,Percentage,Lapuebla de Labarca,0.0
2018,,,Lapuebla de Labarca,Percentage,Lapuebla de Labarca,0.0
2019,,,Lapuebla de Labarca,Percentage,Lapuebla de Labarca,0.0
2020,,,Lapuebla de Labarca,Percentage,Lapuebla de Labarca,1.24
2021,,,Lapuebla de Labarca,Percentage,Lapuebla de Labarca,0.34
2010,,,Leza,Percentage,Leza,0.0
2011,,,Leza,Percentage,Leza,0.27
2012,,,Leza,Percentage,Leza,1.25
2013,,,Leza,Percentage,Leza,1.25
2014,,,Leza,Percentage,Leza,1.47
2015,,,Leza,Percentage,Leza,0.0
2016,,,Leza,Percentage,Leza,0.31
2017,,,Leza,Percentage,Leza,0.32
2018,,,Leza,Percentage,Leza,0.65
2019,,,Leza,Percentage,Leza,0.68
2020,,,Leza,Percentage,Leza,1.95
2021,,,Leza,Percentage,Leza,2.04
2010,,,Laudio/Llodio,Percentage,Laudio/Llodio,1.22
2011,,,Laudio/Llodio,Percentage,Laudio/Llodio,1.22
2012,,,Laudio/Llodio,Percentage,Laudio/Llodio,1.65
2013,,,Laudio/Llodio,Percentage,Laudio/Llodio,1.73
2014,,,Laudio/Llodio,Percentage,Laudio/Llodio,1.51
2015,,,Laudio/Llodio,Percentage,Laudio/Llodio,1.49
2016,,,Laudio/Llodio,Percentage,Laudio/Llodio,1.67
2017,,,Laudio/Llodio,Percentage,Laudio/Llodio,1.49
2018,,,Laudio/Llodio,Percentage,Laudio/Llodio,1.49
2019,,,Laudio/Llodio,Percentage,Laudio/Llodio,2.65
2020,,,Laudio/Llodio,Percentage,Laudio/Llodio,2.58
2021,,,Laudio/Llodio,Percentage,Laudio/Llodio,1.33
2010,,,Arraia-Maeztu,Percentage,Arraia-Maeztu,5.79
2011,,,Arraia-Maeztu,Percentage,Arraia-Maeztu,6.82
2012,,,Arraia-Maeztu,Percentage,Arraia-Maeztu,7.27
2013,,,Arraia-Maeztu,Percentage,Arraia-Maeztu,7.33
2014,,,Arraia-Maeztu,Percentage,Arraia-Maeztu,6.97
2015,,,Arraia-Maeztu,Percentage,Arraia-Maeztu,4.9
2016,,,Arraia-Maeztu,Percentage,Arraia-Maeztu,4.1
2017,,,Arraia-Maeztu,Percentage,Arraia-Maeztu,4.17
2018,,,Arraia-Maeztu,Percentage,Arraia-Maeztu,4.35
2019,,,Arraia-Maeztu,Percentage,Arraia-Maeztu,5.0
2020,,,Arraia-Maeztu,Percentage,Arraia-Maeztu,10.84
2021,,,Arraia-Maeztu,Percentage,Arraia-Maeztu,13.67
2010,,,Moreda de Álava/Moreda Araba,Percentage,Moreda de Álava/Moreda Araba,0.0
2011,,,Moreda de Álava/Moreda Araba,Percentage,Moreda de Álava/Moreda Araba,0.0
2012,,,Moreda de Álava/Moreda Araba,Percentage,Moreda de Álava/Moreda Araba,0.29
2013,,,Moreda de Álava/Moreda Araba,Percentage,Moreda de Álava/Moreda Araba,0.67
2014,,,Moreda de Álava/Moreda Araba,Percentage,Moreda de Álava/Moreda Araba,0.6
2015,,,Moreda de Álava/Moreda Araba,Percentage,Moreda de Álava/Moreda Araba,0.98
2016,,,Moreda de Álava/Moreda Araba,Percentage,Moreda de Álava/Moreda Araba,1.17
2017,,,Moreda de Álava/Moreda Araba,Percentage,Moreda de Álava/Moreda Araba,1.28
2018,,,Moreda de Álava/Moreda Araba,Percentage,Moreda de Álava/Moreda Araba,1.3
2019,,,Moreda de Álava/Moreda Araba,Percentage,Moreda de Álava/Moreda Araba,1.29
2020,,,Moreda de Álava/Moreda Araba,Percentage,Moreda de Álava/Moreda Araba,2.07
2021,,,Moreda de Álava/Moreda Araba,Percentage,Moreda de Álava/Moreda Araba,1.42
2010,,Arabako Errioxa / Rioja Alavesa,,Percentage,Arabako Errioxa / Rioja Alavesa,0.74
2011,,Arabako Errioxa / Rioja Alavesa,,Percentage,Arabako Errioxa / Rioja Alavesa,0.84
2012,,Arabako Errioxa / Rioja Alavesa,,Percentage,Arabako Errioxa / Rioja Alavesa,2.47
2013,,Arabako Errioxa / Rioja Alavesa,,Percentage,Arabako Errioxa / Rioja Alavesa,2.17
2014,,Arabako Errioxa / Rioja Alavesa,,Percentage,Arabako Errioxa / Rioja Alavesa,1.64
2015,,Arabako Errioxa / Rioja Alavesa,,Percentage,Arabako Errioxa / Rioja Alavesa,1.82
2016,,Arabako Errioxa / Rioja Alavesa,,Percentage,Arabako Errioxa / Rioja Alavesa,1.98
2017,,Arabako Errioxa / Rioja Alavesa,,Percentage,Arabako Errioxa / Rioja Alavesa,2.0
2018,,Arabako Errioxa / Rioja Alavesa,,Percentage,Arabako Errioxa / Rioja Alavesa,2.87
2019,,Arabako Errioxa / Rioja Alavesa,,Percentage,Arabako Errioxa / Rioja Alavesa,3.5
2020,,Arabako Errioxa / Rioja Alavesa,,Percentage,Arabako Errioxa / Rioja Alavesa,7.97
2021,,Arabako Errioxa / Rioja Alavesa,,Percentage,Arabako Errioxa / Rioja Alavesa,4.32
2010,,,Navaridas,Percentage,Navaridas,0.0
2011,,,Navaridas,Percentage,Navaridas,0.0
2012,,,Navaridas,Percentage,Navaridas,0.28
2013,,,Navaridas,Percentage,Navaridas,0.28
2014,,,Navaridas,Percentage,Navaridas,0.0
2015,,,Navaridas,Percentage,Navaridas,0.06
2016,,,Navaridas,Percentage,Navaridas,0.05
2017,,,Navaridas,Percentage,Navaridas,0.83
2018,,,Navaridas,Percentage,Navaridas,0.83
2019,,,Navaridas,Percentage,Navaridas,0.86
