Year,Sexua,Lurralde historikoa,Units,Value
2015,Emakumea,,PT,8.8
2013,Emakumea,,PT,8.6
2012,Emakumea,,PT,10.0
2014,Emakumea,,PT,8.4
2022,Emakumea,,PT,8.6
2021,Emakumea,,PT,9.1
2019,Emakumea,,PT,9.4
2017,Emakumea,,PT,8.6
2010,Emakumea,,PT,10.2
2020,Emakumea,,PT,9.1
2018,Emakumea,,PT,9.3
2023,Emakumea,,PT,7.9
2011,Emakumea,,PT,9.7
2022,Emakumea,Araba / Álava,PT,10.0
2018,Emakumea,Araba / Álava,PT,10.0
2020,Emakumea,Araba / Álava,PT,11.1
2010,Emakumea,Araba / Álava,PT,11.5
2021,Emakumea,Araba / Álava,PT,11.3
2019,Emakumea,Araba / Álava,PT,11.3
2017,Emakumea,Araba / Álava,PT,7.9
2015,Emakumea,Araba / Álava,PT,13.2
2016,Emakumea,Araba / Álava,PT,10.5
2013,Emakumea,Araba / Álava,PT,10.5
2012,Emakumea,Araba / Álava,PT,12.4
2011,Emakumea,Araba / Álava,PT,11.5
2014,Emakumea,Araba / Álava,PT,8.6
2023,Emakumea,Araba / Álava,PT,10.5
2022,Emakumea,Bizkaia,PT,6.2
2023,Emakumea,Bizkaia,PT,5.6
2019,Emakumea,Bizkaia,PT,6.7
2018,Emakumea,Bizkaia,PT,7.6
2016,Emakumea,Bizkaia,PT,7.3
2017,Emakumea,Bizkaia,PT,7.8
2014,Emakumea,Bizkaia,PT,7.9
2021,Emakumea,Bizkaia,PT,7.1
2013,Emakumea,Bizkaia,PT,7.3
2012,Emakumea,Bizkaia,PT,8.3
2015,Emakumea,Bizkaia,PT,7.0
2011,Emakumea,Bizkaia,PT,7.6
2010,Emakumea,Bizkaia,PT,8.3
2020,Emakumea,Bizkaia,PT,6.6
2022,Emakumea,Gipuzkoa,PT,11.9
2021,Emakumea,Gipuzkoa,PT,11.4
2020,Emakumea,Gipuzkoa,PT,12.2
2019,Emakumea,Gipuzkoa,PT,12.7
2018,Emakumea,Gipuzkoa,PT,11.7
2017,Emakumea,Gipuzkoa,PT,10.1
2023,Emakumea,Gipuzkoa,PT,10.4
2016,Emakumea,Gipuzkoa,PT,9.8
2015,Emakumea,Gipuzkoa,PT,9.8
2014,Emakumea,Gipuzkoa,PT,9.2
2013,Emakumea,Gipuzkoa,PT,9.8
2012,Emakumea,Gipuzkoa,PT,11.7
2011,Emakumea,Gipuzkoa,PT,12.2
2010,Emakumea,Gipuzkoa,PT,12.6
2021,Gizona,,PT,30.0
2023,Gizona,,PT,29.0
2019,Gizona,,PT,30.5
2013,Gizona,,PT,32.0
2020,Gizona,,PT,30.9
2016,Gizona,,PT,29.9
2015,Gizona,,PT,29.3
2010,Gizona,,PT,33.1
2018,Gizona,,PT,31.3
2017,Gizona,,PT,30.8
2012,Gizona,,PT,32.8
2022,Gizona,,PT,28.9
2014,Gizona,,PT,31.3
2011,Gizona,,PT,33.9
2021,Gizona,Araba / Álava,PT,37.4
2022,Gizona,Araba / Álava,PT,37.7
2012,Gizona,Araba / Álava,PT,39.0
2015,Gizona,Araba / Álava,PT,38.9
2013,Gizona,Araba / Álava,PT,35.7
2020,Gizona,Araba / Álava,PT,37.1
2011,Gizona,Araba / Álava,PT,40.3
2018,Gizona,Araba / Álava,PT,35.5
2016,Gizona,Araba / Álava,PT,41.8
2014,Gizona,Araba / Álava,PT,36.5
2010,Gizona,Araba / Álava,PT,41.3
2023,Gizona,Araba / Álava,PT,34.7
2017,Gizona,Araba / Álava,PT,39.5
2019,Gizona,Araba / Álava,PT,35.8
2023,Gizona,Bizkaia,PT,23.1
2022,Gizona,Bizkaia,PT,23.1
2021,Gizona,Bizkaia,PT,24.0
2020,Gizona,Bizkaia,PT,24.5
2019,Gizona,Bizkaia,PT,24.1
2018,Gizona,Bizkaia,PT,26.2
2016,Gizona,Bizkaia,PT,24.1
2017,Gizona,Bizkaia,PT,26.1
2015,Gizona,Bizkaia,PT,23.8
2014,Gizona,Bizkaia,PT,26.8
2013,Gizona,Bizkaia,PT,27.9
2012,Gizona,Bizkaia,PT,28.1
2011,Gizona,Bizkaia,PT,28.4
2010,Gizona,Bizkaia,PT,27.1
2020,Gizona,Gipuzkoa,PT,37.5
2019,Gizona,Gipuzkoa,PT,37.7
2018,Gizona,Gipuzkoa,PT,37.0
2017,Gizona,Gipuzkoa,PT,34.0
2016,Gizona,Gipuzkoa,PT,33.2
2015,Gizona,Gipuzkoa,PT,33.3
2011,Gizona,Gipuzkoa,PT,39.4
2014,Gizona,Gipuzkoa,PT,35.5
2012,Gizona,Gipuzkoa,PT,37.3
2013,Gizona,Gipuzkoa,PT,36.7
2010,Gizona,Gipuzkoa,PT,38.9
2023,Gizona,Gipuzkoa,PT,35.5
2022,Gizona,Gipuzkoa,PT,33.6
2021,Gizona,Gipuzkoa,PT,35.7
